Suivant la Copie imprimée	Suivant la Copie imprimée
En la mort d’un amant vous ne perdez qu’un homme Dont la perte eſt aisée à reparer dans Romé, Apres cette victoire il n’eſt point de Romain Qui ne ſoit glorieux de vous donner la main.	En la mort dun amant vous ne perdez qu'un homme Dont la perte est aisée à réparer dans Romé, Après cette victoire il n'est point de Romain Qui ne soit glorieux de vous donner la main.
Il me faut à Sabine en porter la nouvelle, Ce coup ſera ſans doute aſſez rude pour elle, Et ſes trois freres morts par la main d’un époux Luy donneront des pletrs bie prus juiles qu’à vous.	Il me faut à Sabine en porter la nouvelle, Ce coup sera sans doute assez rude pour elle, Et ses trois frères morts par la main d'un époux Lui donneront des pletrs bye prus juiles qu'à vous.
Mais Mais j’eſpere aiſément en diſſiper l’orage, Et qu’un peu de prudence aidant ſon grand courage, Fera bien-toſt regner ſur un ſi noble cœur Le genereux amour qu’elle doit au vainqueur.	Mais Mais j'espère aisément en dissiper l'orage, Et qu'un peu de prudence aidant son grand courage, Fera bientôt régner sur un si noble cœur Le généreux amour qu'elle doit au vainqueur.
Cependant étouffez cette lâche triſteſſe, Recevez-le, s’il vient, avec moins de foibleſſe, Faites-vous voir la fœeur, & qu’en un meſme flanc Le Ciel vous a tous deux formez d’un meſme ſang.	Cependant étouffez cette lâche tristesse, Recevez-le, s'il vient, avec moins de faiblesse, Faites-vous voir la fœeur, et qu'en un même flanc Le Ciel vous a tous deux formez d'un même sang.
SCENE IV.	SCÈNE IV.
CAMILLE.	CAMILLE.
Vy, je luy feray voir par d’infaillibles marques Qu’un veritable amour brave la main des Parques,  D10 Et ne prend point de loix de ces cruels tyrans Qu’un aſtre injurieux nous donne pour parens.	Vi, je lui ferai voir par d'infaillibles marques Qu'un véritable amour brave la main des Parques, D10 Et ne prend point de lois de ces cruels tyrans Qu'un astre injurieux nous donne pour parents.
Tu blâmes ma douleur, tu l’oſes nommer lâche, Jel’ayme d’autant plus que plus elle te fâche, Impitoyable pere, & par un juſte effort Je la veux rendre égale aux rigueurs de mon ſort.	Tu blâmes ma douleur, tu l'oses nommer lâche, Jel'aime d'autant plus que plus elle te fâche, Impitoyable père, et par un juste effort Je la veux rendre égale aux rigueurs de mon sort.
En vit-on jamais un dont les rudes traverſes Priſſent en moins de rien tant de faces diverſes, Qui fuſt doux tant de fois, & tant de fois cruel, Et portaſt tant de coups avant le çoup mortel?	En vit-on jamais un dont les rudes traverses Prissent en moins de rien tant de faces diverses, Qui fût doux tant de fois, et tant de fois cruel, Et portât tant de coups avant le oup mortel?
Vit-on jamais une ame en un jour plus atteinte De joye & de douleur, d’eſperance & de crainte, Aſſervie en eſclave à plus d’évenemens, Et le piteux joüet de plus de changemens?	Vit-on jamais une âme en un jour plus atteinte De joie et de douleur, d'espérance et de crainte, Asservie en esclave à plus d'évenemens, Et le piteux jet de plus de changements?
Un Orâcle m’aſſeure, un ſonge me travaille, La Pate calme l’effroy que me fait la bataille, mon ny men le prepare, & preſque en un moment Pour combatre mon frere on choiſit mon amant, Ce choix me deſeſpere, & tous le deſavoüent, La partie eſt rompuë, & les Dieux la renoüent, Rome ſemble vaincuë, & ſeul des trois Albains Curiace en mon ſang n’a point trempé ſes mains.	Un Orâcle m'assure, un songe me travaille, La Pate calme l'effroi que me fait la bataille, mon ni Jen le prépare, et presque en un moment Pour combattre mon frère on choisit mon amant, Ce choix me désespère, et tous le désavouent, La partie est rompue, et les Dieux la renoüent, Rome semble vaincue, et seul des trois Albains Curiace en mon sang n'a point trempé ses mains.
Ne ſentois-je point lors des douleurs trop legeres Pour le malheur de Rome & la mort de deux freres ?	Ne sentais-je point lors des douleurs trop légères Pour le malheur de Rome et la mort de deux frères ?
Ne me flatois-je point quand je croyois pouvoir.	Ne me flattais-je point quand je croyais pouvoir.
L’aymer encor ſãs crime & nourrir quelque eſpoir?	L'aimer encor su crime et nourrir quelque espoir?
Sa mort m’en punit bien, & la façon cruelle Dont mon ame éperduë en reçoit la nouvelle;	Sa mort m'en punit bien, et la façon cruelle Dont mon âme éperdue en reçoit la nouvelle;
Son rival me l’apprend, & faiſant à mes yeux D’un ſi triſte ſuccez le recit odieux.	Son rival me l'apprend, et faisant à mes yeux D'un si triste succès le récit odieux.
Il porte ſur le front une allegreſſe ouverte Que le bonheur public fait bien moins que ma perte, Et bâtiſſant en l’air ſur le malheur d’autruy, Auſſi-bien que mon frere il triomphe de luy.	Il porte sur le front une allégresse ouverte Que le bonheur public fait bien moins que ma perte, Et bâtissant en l'air sur le malheur d'autrui, Aussi-bien que mon frère il triomphe de lui.
Mais ce n’eſt rien encor au prix de ce qui reſte.	Mais ce n'est rien encor au prix de ce qui reste.
On demande ma joye en un jour ſi funeſte, Il me faut applaudir aux exploits du vainqueur, Et baiſer une main qui me perce le cœur.	On demande ma joie en un jour si funeste, Il me faut applaudir aux exploits du vainqueur, Et baiser une main qui me perce le cœur.
En un ſujet de pleurs ſi grand, ſi legitime, L !	En un sujet de pleurs si grand, si légitime, L !
Se plaindre eſt une honte, & ſoûpirer un crime, Leur brutale vertu veut qu’on s’eſtime heureux, Et ſi l’on n’eſt barbare, on n’eſt point genereux.	Se plaindre est une honte, et soupirer un crime, Lu tale vertu veut qu'on s'estime heureux, Et si l'on n'est barbare, on n'est point généreux.
Degenerons, mon cœur, d’un ſi vertueux pere, Soyons indigne ſœur d’un ſi genereux frere, C’eſt gloire de paſſer pour un cœur abatu Quand la brutalité fait la haute yertu.	Degénérons, mon cœur, d'un si vertueux père, Soyons indigne sœur d'un si généreux frère, C'est gloire de passer pour un cœur abattu Quand la brutalité fait la haute yertu.
Eſclatez, mes douleurs, à quoy bon vous cõtraindre?	Éclatez, mes douleurs, à quoi bon vous conntraindre?
Quand on a tout perdu que ſçauroit-on plus craindre?	Quand on a tout perdu que saurait-on plus craindre?
Pour ce cruel vainqueur n’ayez point de reſpect, Loin d’éviter ſes yeux, croiſſez à ſon aſpect, Offenſez ſa victoire, irritez ſa colere, Et prenez, s’il ſe peut, plaiſir à luy déplaire.	Pour ce cruel vainqueur n'ayez point de respect, Loin d'éviter ses yeux, croissez à son aspect, Offensez sa victoire, irrités sa colère, Et prenez, s'il se peut, plaisir à lui déplaire.
Il vient, preparons-nous à montrer conſtamment Ce que doit une amante à la mort d’un amant.	Il vient, préparons-nous à montrer constamment Ce que doit une amante à la mort d'un amant.
SCE	SCE
SCENE V.	SCÈNE V.
HORACE, CAMILLE, PROCULE, te ueur autres ſoldats portant chacun une épée des Cunaces.	HORACE, CAMILLE, PROCULE, te uteur autres soldats portant chacun une épée des Cunacunes.
M HORACE.	M HORACE.
A ſœur, voicy le bras qui vange nos deux freres, Le bras qui rompt le cours de nos deſtins cõtraires, Qui nous rend maiſtres d’Albe, enfin voicy le bras Qui ſeul fait aujoud’huy le ſort de deux Eſtats.	À sœur, voici le bras qui venge nos deux frères, Le bras qui rompt le cours de nos destins contraires, Qui nous rend maîtres d'Albe, enfin voicy le bras Qui seul fait aujoud'hui le sort de deux États.
voy ces iaiquey dnomeue;	vois ces jaiquei dnomève;
ces temoins de ma gloire, Et rens cé que tu dois a i'heur de ſia victone.	ces témoins de ma gloire, Et rens cé que tu dois a j'heur de zia victone.
CAMILLE.	CAMILLE.
Recevez donc mes pleurs, c’eſt ce que je luy dois.	Recevez donc mes pleurs, c'est ce que je lui dois.
HORACE.	HORACE.
ſtome fren veut pomt voir aprés de tels explois, Et nos deux freres morts dans le malheur des armes Sont trop payez de ſang pour exiger des larmes;	stome fren veut pompt voir après de tels exploits, Et nos deux frères morts dans le malheur des armes Sont trop payés de sang pour exiger des larmes;
Quand la perte eſt vangée on n’a plus rien perdu.	Quand la perte est vengée on n'a plus rien perdu.
CAMILLE.	CAMILLE.
miſqu’ils ſont ſatisfaits par le ſang épandu, Je ceſſeray pour eux de paroiſtre affligée, Et j’oublîray leur thoit quoraburenthgée.	misqu'ils sont satisfaits par le sang épandu, Je cesserai pour eux de paraître affligée, Et j'oublîtrai leur thoit quoraburenthgée.
Mais qui me vangera de celle d’un amant, Pour me faire oublier la perte en un moment?	Mais qui me vengera de celle d'un amant, Pour me faire oublier la perte en un moment?
HORACE.	HORACE.
Que dis-tu, malheureuſe?	Que dis-tu, malheureuse?
CAMILLE.	CAMILLE.
O mon cher Curiace ?	Ô mon cher Curiace ?
HORACE.	HORACE.
1 O d’une indigne ſœur l’inſupportable audace!	1 Ô d'une indigne sœur l'insupportable audace!
D’un ennemy public dont je reviens vainqueur Le nom eſt dãs ta bouche, & l’amour dãs ton cœur!	D'un ennemi public dont je reviens vainqueur Le nom est dans ta bouche, et l'amour dans ton cœur!
Ton ardeur criminelle à la vangeance aipire!	Ton ardeur criminelle à la vengeance aipire!
Ta bouche la demande, & ton cœur la reſpire!	Ta bouche la demande, et ton cœur la respire!
* F2 Suy Suy moins ta paſſion, regle mieux tes deſirs, Ne me fais plus rougir d’entendre tes ſoûpirs, Tes flames deſormais doivent eſtre étouffées, Banny-les de ton ame, & ſonge à mes trophées, Qu’ils ſoient doreſnavant ton unique entretien.	* FAIS Sui Sui moins ta passion, règle mieux tes désirs, Ne me fais plus rougir d'entendre tes soupirs, Tes flammes désormais doivent être étouffées, Banny-les de ton âme, et songe à mes trophées, Qu'ils soient dorénavant ton unique entretien.
CAMILLE.	CAMILLE.
Donne-moy donc, barbare, un cœur comme le tien, Et ſi tu veux enfin que je t’ouvre mon ame, Rens-moy mon Curiace, ou laiſſe agir ma flame.	Donne-moi donc, barbare, un cœur comme le tien, Et si tu veux enfin que je t'ouvre mon âme, Rends-moi mon Curiace, ou laisse agir ma flamme.
Ma joye & mes douleurs dépendoient de ſon ſort, Je l’adorois vivant, & je le pleure mort.	Ma joie et mes douleurs dépendaient de son sort, Je l'adorais vivant, et je le pleure mort.
Ne cherche plus ta ſœur où tu l’avois laiſſée, Tu ne revois en moy qu’une amante offencée, Qui comme une Furie attachée à tes pas Te veut inceſſamment reprocher ſon trépas.	Ne cherche plus ta sœur où tu l'avais laissée, Tu ne revois en moi qu'une amante offensée, Qui comme une Furie attachée à tes pas Te veut incessamment reprocher son trépas.
Tigre alteré de ſang qui me défens les larmes, Qui veux que dans ſa mort je trouve encor de charmes, Et que juſques au Ciel élevant tes explois, Moy-meſme je le tuë une ſeconde fois.	Tigre altéré de sang qui me défends les larmes, Qui veux que dans sa mort je trouve encor de charmes, Et que jusques au Ciel élevant tes exploits, Moi-même je le tue une seconde fois.
Puilient tant de mamnedis accompagner ta vie Que tu tombes au point de me porter envie, Et toy bien-toſt ſoüiller par quelque lâcheté Cette gloire ſi chere à ta brutalité.	Puilient tant de mamnedis accompagner ta vie Que tu tombes au point de me porter envie, Et toi bientôt souiller par quelque lâcheté Cette gloire si chère à ta brutalité.
HORACE.	HORACE.
O Ciel, qui vit jamais une pareille rage!	Ô Ciel, qui vit jamais une pareille rage!
Cloas-tu dunc que je lois menioie a routfage, Que je ſouffre en mon ſang ce mortel deshonneur?	Clofas-tu dunc que je lois menioie a routfage, Que je souffre en mon sang ce mortel déshonneur?
Ayme, ayme cette mort qui fait noſtre bonheur, Et préfere du moins au ſouvenir d’un homme Ce que doit ta naiſſance aux intereſts de Rome.	Aime, aime cette mort qui fait notre bonheur, Et préfère du moins au souvenir d'un homme Ce que doit ta naissance aux intérêts de Rome.
CAMILLE.	CAMILLE.
Rome, l’unique objet de mon reſſentiment!	Rome, l'unique objet de mon ressentiment!
Rome, à qui vient ton bras d’immoler mon amant !	Rome, à qui vient ton bras d'immoler mon amant !
Rome, qui t’a veu naiſtre, & que ton cœur adore!	Rome, qui t'a vu naître, et que ton cœur adore!
Rome, enfin que je hay par ce qu’elle t’honore!	Rome, enfin que je hais par ce qu'elle t'honore!
Puiſſent tous ſes voiſins enſemble conjurez Sapper ſes fondemens encor mal aſſeurez, Et ſi ce n’eſt aſſez de toute l’Italie, Que l’Orient contre elle à l’occident s’allie, Que cent peuples unis des bouts de l’Univers 2 Paſſent pour la détruire & les monts & les mers, Qu’elle meſme ſur ſoy renverſe ſes murailles, Et de ſes propres mains déchire ſes entrailles, Que le couroux du Ciel allumé par mes vœux Faſſe pleuvoir ſur elle un deluge de feux, Puiſſay-je de mes yeux y voir tomber ce foudre, Voir ſes maiſons en cẽdre & tes lauriers en poudre, Voir le dernier Romain à ſon dernier ſoûpir, Moy ſeule en eſtre cauſe, & mourir de plaiſir!	Puissent tous ses voisins ensemble conjurés Saper ses fondements encor mal assurés, Et si ce n'est assez de toute l'Italie, Que l'Orient contre elle à l'occident s'allie, Que cent peuples unis des bouts de l'Univers 2 Passent pour la détruire et les monts et les mers, Qu'elle avait sur soi renverse ses murailles, Et de ses propres mains déchire ses entrailles, Que le couroux , Que allumé par mes vœux Fasse pleuvoir sur elle un déluge de feux, Puissays-je de mes yeux y voir tomber ce foudre, Voir ses maisons en cẽdre et tes lauriers en pou, Voir le dernier Romain son dernier soûpir, seule en être cause, et mourir de plaisir!
HORACE mettant la main à l’épée, & pourſuivant ſa ſœur qui s’enfuit.	HORACE mettant la main à l'épée, et poursuivant sa sœur qui s'enfuit.
C’eſt trop, ma patience à la raiſon fait place.	C'est trop, ma patience à la raison fait place.
Va dedans les Enfers plaindre ton Curiace.	Va dedans les Enfers plaindre ton Curiace.
CAMILLE bleſſée derriere le theatre.	CAMILLE blessée derrière le théâtre.
Ah, traiſtre!	Ah, traître!
4 HORACE revenant ſur le theatre.	4 HORACE revenant sur le théâtre.
Ainſi reçoive un châtiment ſoudain Quiconque oſe pleurer un ennemy Romain.	Ainsi reçoive un châtiment soudain Quiconque ose pleurer un ennemi Romain.
SCENE VI.	SCÈNE VI.
HORACE, PROCULE.	HORACE, PROCULE.
Pie oc o Bna.	Pie oc ô Bna.
QUe venez-vous de faire?	QUe venez-vous de faire?
HORACE.	HORACE.
Un acte de juſtice, Un ſemblable forfait veut un pareil ſupplice.	Un acte de justice, Un semblable forfait veut un pareil supplice.
PROCULE.	PROCULE.
Vous deviez la traiter ur ce moins de rigueur.	Vous deviez la traiter ur ce moins de rigueur.
