LES CHASTES ET LOYALES AMOVRS DE IEIEIECDAV.	LES CHASTES ET LOYALES AMOURS DE IEIEIECDAV.
Ma fille c’eſt qu’il faut en habit déguiſé, En habit loqueteus, miſerable, & vſé, Ta beautè de noirceur & de craſſe enlaidie, Que ſon viure en chemin chacun de nous mandie, Ainſi nous jrantmtons tes pius apres dangers, Ainſinous paſſerons aux pays étrangers, Sans aguet, ſans frayeur, ſans mauuaiſe rencontre, Et ainſi l’amitié au beſoin ſe demontre.	Ma fille c'est qu'il faut en habit déguisé, En habit loqueteus, misérable, et usé, Ta beauté de noirceur et de crasse enlaidie, Que son vivre en chemin chacun de nous mandie, Ainsi nous jrantmantons tes pius après dangers, Ainsinous passerons aux pays étrangers, Sans aguet, sans frayeur, sans mauvaise rencontre, Et ainsi l'amitié au besoin se demontre.
CARICLEE.	CARICLE.
Ne ſe laſſent iamais les Dieux de m’affliger, Si Theagene & moy deſirant voyager, N'auions premedité voſtre ruſe, (mon Pere) Alaquelle d’vn cœur pur & franc i'obtempere:	Ne se lassent jamais les Dieux de m'affliger, Si Théagène et moi désirant voyager, N'avions prémédité votre ruse, (mon Père) Alaquelle d'un cœur pur et franc j'obtempère:
La beauté, l’ornement, la parure du corps, L’Empire de la terre, auec tous ſes threſors, Ne me ſont qu’odieux, que fange & que nuiſance, Leur comparant mon frere, & ſa chere preſence, pounasprajeeas, asyssens Ie me ſoumets à tout pour rompre ſes liens.	La beauté, l'ornement, la parure du corps, L'Empire de la terre, avec tous ses trésors, Ne me sont qu'odieux, que fange et que nuisance, Leur comparant mon frère, et sa chère présence, pounasprajeeas, asyssens Je me soumets à tout pour rompre ses liens.
NAVSICLE.	NAUSICLE.
Mes bons amis, l’honneur de voſtre connoiſſance par l’habitude a pris ſi profonde accroiſſance, Tant dauantage aquis deſſus mon amitié, Que ie voudrois touſiours vous eſtre aſſocié, Que nous n’eußions enſemble à viure qu’vne vie, Mais ma vacation autre part me conuie, Le retour du Printemps qui ſerene les flots, Du trafic maintenant m'ouure le chemin clos, Ce m’eſt comme au Soldat le ſon de la tromperte, Il faut bon gré malgré qu’au départ ie m'apréte:	Mes bons amis, l'honneur de votre connaissance par l'habitude a pris si profonde accroissance, Tant davantage aquis dessus mon amitié, Que ie voudrais toujours vous chang associé, Que nous n'eussions ensemble à vivre qu'une vie, Mais ma vacation autre part me convie, Le retour du Printemps qui serène les flots, Du trafic maintenant m'ouvre le chemin clos, Ce m'est comme au Soldat le son de la tromperte, Il faut bon gr malgré Yau faut ie gapréte:
Dispoſez parauant de tout ce que ie puis, Excuſant la contrainte, où nous ſommes reduis.	Disposez paravant de tout ce que je puis, Excusant la contrainte, où nous sommes réduis.
CALASIRE.	CALASIRE.
Mercure vous conduiſe, & à voſtre voyage Donne outre le profit vn heureux nauigage.	Mercure vous conduise, et à votre voyage Donne outre le profit un heureux navigage.
Eole de ſon creux ne láche que les vens, A voſtre ſûreté fauorables ſeruans;	Éole de son creux ne lâche que les vends, À votre sûreté favorables servants;
Thetis vous ſoit propice, & qu’aucune infortune Ne vous puiſſe arriuer pelerin de Neptune, A nos contentemens nous puiſſions nous reuoir ne pousrenarc oien tyt vn mutuet deuoir.	Thétis vous soit propice, et qu'aucune infortune Ne vous puisse arriver pèlerin de Neptune, A nos contentements nous puissions nous revoir ne pousrenarc oien tît un mutuet devoir.
GNEMON.	GNEMON.
La raiſon ne veut pas qu’à mon aiſe ie viue.	La raison ne veut pas qu'à mon aise main vive.
Tant que vous filerez vne erreur fugitiue, Que pemier Theagene en liberté remis D’vſer du repos méme il vous ſera permis;	Tant que vous filerez une erreur fugitive, Que pemier Théagène en liberté remis D'user du repos même il vous sera permis;
oxtond enfemtetomtemproent a juſauoniſe, Compagnon du labeur ie m’offre ſans feintiſe.	oxtond enfemtetomtemproent à jusavonise, Compagnon du labeur Elle m'offre sans feintise.
CALASIRE.	CALASIRE.
Non, non, car ma preſence où il eſt en vaut deux Ores nous ne tentons vn deſſein hazardeux, Qui deſire autre eſcorte, & plus de compagnie;	Non, non, car ma présence où il est en vaut deux Ores nous ne tentons un dessein hasardeux, Qui désire autre escorte, et plus de compagnie;
Demeurez, & le Ciel vôtre couple benie.	Demeurez, et le Ciel votre couple bénie.
GNEMON.	GNEMON.
Puis qu’ainſi le voulez ie vous obeiray, Et dux Dieux cependant humble ſacrifiray, Ma priere & mes vœux ainſi qu’en leur tutelle, Ce bon eſpoir conçeu enſuiue vne fin telle.	Puis qu'ainsi le voulez je vous obéirai, Et dux Dieux cependant humble sacrifirai, Ma prière et mes vœux ainsi qu'en leur tutelle, Ce bon espoir conçu ensuive une fin telle.
AVSICLE.	AUSICLE.
Entrons dans la maiſon nos adieux acheuer, Helas!	Entrons dans la maison nos adieux achever, Hélas!
ie ſens mon cœur de regret ſouleuer.	Ne sens mon cœur de regret soulever.
SCENE II.	SCÈNE II.
MESSAGER, CHOEVR DE MIEMIHIERO.	MESSAGER, CHOEUR DE MIEMIHIERO.
MESSAGER Achemenes.	MESSAGER Achemènes.
Eſclandre!	Esclandre!
ô malheur t ô deffaite honteuſe?	ô malheur t ô défaite honteuse?
UOjournée cent fois, & cent calamiteuſe!	UOjournée cent fois, et cent calamiteuse!
Bous Dieux qui l’eut penſé!	Bous Dieux qui l'eut pensé!
des brigans ramaſſe?	des brigants ramasse?
Auoir pour nous domter de la vaillance aſſez!	Avoir pour nous dompter de la vaillance assez!
Auoir aſſez d’eſprit pour vu tel Stratageme!	Avoir assez d'esprit pour vu tel Stratage!
Où Mitrane ſurpris eſt demeuré luy méme!	Où Mitrane surpris est demeuré notre même!
Mitrane noſtre chef!	Mitrane notre chef!
ah!	ah!
de fureur glacé, Ie ne differe rien d'vn homme trepaſſe, L’ennemy pourſuiuant me talonne en idée, Et la ville me fuit encore qu'abordée.	de fureur glacé, Je ne diffère rien d' Homme trepasse, L'ennemi poursuivant me talonne en idée, Et la ville me fuit encore qu'abordée.
CHOEVR.	CHOEUR.
Arréte vn peu ſoldat, où cours-tu ſi hátif?	Arrête un peu soldat, où cours-tu si hîtif?
I'augure en te voyant quelque cas de chétif.	J'augure en te voyant quelque cas de chétif.
MESSAGER Achemenes.	MESSAGER Achemènes.
Penſez à vous ſauuer, ou bien à vous défendre, Ou bien ſans m’informer courez les armes prendre, Vn peuple de brigans qui Mitrane a défait.	Pensez à vous sauver, ou bien à vous défendre, Ou bien sans m'informer courez les armes prendre, Un peuple de brigants qui Mitrane a défait.
Que nous auons ſenty trop vaillant à l’éfet, Accourt à toute bride enflé de ſa victoire Pour emporter la ville.	Que nous avons senti trop vaillant à l'éfet, Accourt à toute bride enflé de sa victoire Pour emporter la ville.
CHOEVR.	CHOEUR.
O Dieux!	Ô Dieux!
eſt il à croir Que ces deſeſperez atentent iuſques la.	est il à croir Que ces désespérez atentent jusques la.
MESSAGER Achemenes.	MESSAGER Achemènes.
Croyez-moy qu’il n'eſt rien plus certain que cels La vûë en fera foy, car d'icy la poußiere	Croyez-moi qu'il n'est rien plus certain que cels La vue en fera foi, car d'ici la poussiere
CHOEVR.	CHOEUR.
Courons ſubitement la Princeſſe auertir, Et deſſus nos remparts des gardes départir, Faire ſelon le temps au moins mal toute choſe, Qu'à ce rogue torrent de bonne heure on s’oppoſe.	Courons subitement la Princesse avertir, Et dessus nos remparts des gardes départir, Faire selon le temps au moins mal toute chose, Qu'à ce rogue torrent de bonne heure on s'oppose.
SCENE III.	SCÈNE III.
THIAMIS, HERAVT, TROVPE DE BESSAINS, ARSACE, CHOEVR DE MEMPHIENS.	THIAMIS, HÉRAUT, TROUPE DE BESAINS, ARSACE, CHOEUR DE MEMPHIENS.
THIAMIS.	THIAMIS.
Nuincibles guerriers qui pour vous premier, INe pouuez receuoir de capable laurier, De loüange condigne, & d’honneur qui ſuffiſe, C’eſticy compagnons que n’vſant de remiſe Vne ville opulente à l’aſſaut preſenté Tout ſon peuple confus, & ſon chef abſenté, Se courbe, s’humilie, à vos valeurs ſe donne,	Nuincibles guerriers qui pour vous premier, INe pouvez recevoir de capable laurier, De louange condigne, et d'honneur qui suffise, C'étici compagnons que n'usant de remise V ville opulente à l'assaut presenté Tout son peuple confus, et son chef absenté, Se courbe, s'humilie, à vos valeurs se donne,
Et de tous les trauaux du paſſe reguerdonne:	Et de tous les travaux du passe réguerdonne:
Ce grand nombre confus inutile aux combats, Vous regardant en front mettra les armes bas;	Ce grand nombre confus inutile aux combats, Vous regardant en front mettra les armes bas;
La pluſpart compoſé de vieillars, & de femmes;	La plupart composé de vieillars, et de femmes;
Mais au fer d’abordade il faut méler les flâmes, De morts indi ferens combler leurs carefours, Pour acroitre leur trouble, & leur éfroy touſiours, Que ſi le mauuais ſort trompoit ma conjecture, Où pouuons nous trouuer plus belle ſepulture?	Mais au fer d'abordade il faut mêler les flammes, De morts indy ferments combler leurs carefours, Pour acroitre leur trouble, et leur éfroi toujours, Que si le mauvais sort trompait ma conjecture, Où pouvons nous trouver plus belle sépulture?
Aquerir en mourant plus de gloire & d’hõnneur?	Aquérir en mourant plus de gloire et d'honneur?
Ie le repute à tous vn ſouuerain bon heur, Au pris d’auoir coüars tapis en vne place, Semblables au poiſſon qui s’enferme en la naſſe Orondate atendu d’vn grand Roy Lieutenant, Vn monde tout armé contre nous amenant, Pris de meſme façon, qu’en ſa foible taniere Le connil on atrape à l’ame caſaniere:	Je le repute à tous un souverain bon heur, Au pris d'avoir coüars tapis en une place, Semblables au poisson qui s'enferme en la nasse Orondate atendu d'un grand Roi Lieutenant, Un monde tout armé contre nous amenant, Pris de rendre façon, qu'en sa faible tanière Le connil on atrape à l'âme casanière:
Ah!	Ah!
qu’il me fácheroit de ſoufrir vn trépas, Vntrépas vergogneux & ne me vanger pas De vous voir mes amis garoter à ma vüé, Ladextre en vn beſoin de ſecours dépouruûë.	qu'il me fácheroit de souffrir un trépas, Vntrépas vergonneux et ne me venger pas De vous voir mes amis garoter à ma venue, Ladextre en un besoin de secours dépouruûë.
Auanture impoßible, au hazar entrepris, Qui ſurprenons autruy, auant qu’être ſurpris;	Aventure imposible, au hasar entrepris, Qui surprenons autrui, avant qu'être surpris;
Qui d’vn commencement foible, & de peu d’eſtime Des ſuprèmes honneurs pouuons toucher la cime, L'Egypte ſubiuguer changeant ce nom vilain De Corſaire à celuy d’vn Prince ſouuerain:	Qui d'un commencement faible, et de peu d'estime Des suprême honneurs pouvons toucher la cime, L'Égypte subiuguer changeant ce nom vilain De Corsaire celui Prince souuerain:
Ne vousy trompeZ pas, il n’y a difference Entre les Roys & nous, qu’vn titre d’aparence Que leur force s’étend plus grande, en plus de lieux Et qu’ils ſe font d’vn peuple adorer comme Dieux ,, Quiconque eſt vertueux par deſſus vn vulgaire , Merite commandant le rendre tributaire, 55 Ainſi les animaux du lion commandez ,Ainſi du grand Soleil les aſtres ſont guidez Or l’éfet nous demande, & vn plus long langage Ne feroit qu’offencer voſtre braue courage, Que chacun en ſon rang ſe diſpoſe a l aſſaut:	Ne vous plaignez pas, il n'y a différence Entre les Rois et nous, qu'un titre d'apparence Que leur force s'étend plus grande, en plus de lieux Et qu'ils se font d'un peuple adorer comme Dieux ,, Quiconque est vertueux par dessus un vulgaire , Mérite commandant le rendre tributaire, 55 Ainsi les animaux du lion commandez AInsi du grand Soleil les astres sont guidez Or l'éfet nous demande, et un plus long langage Ne ferait qu'offenser votre brave courage, Que chacun en son rang se dispose à l' assaut:
Mais voicy de la ville arriuer vn Heraut?	Mais voici de la ville arriver un Héraut?
HERAVT.	HÉRAUT.
Arſace deuers vous qui que ſoyez me mande Sçauoir quelle manie inspire vôtre bande, Ce que vous pretendez ſur la ville, & comment Vous oſéz proceder ainſi hoſtilement, Contre le droit des gens, contre la loy des armes, En façon de brigans plutoſt que de gendarmes, Premier que nous auoir la guerre declaré;	Arsace devers vous qui que soyez me mande Savoir quelle manie inspire votre bande, Ce que vous prétendez sur la ville, et comment Vous oséz procéder ainsi hostilement, Contre le droit des gens, contre la loi des armes, En façon de brigants plutôt que de gendarmes, Premier que nous avoir la guerre déclaré;
Donques vôtre bon ſens retreuuez égaré, Que l’vn des principaux (car la voicy preſente) Sur le bord du rempart réponde ſans atente.	Donc votre bon sens retruez égaré, Que l'un des principaux (car la voici présente) Sur le bord du rempart réponde sans atente.
THIAMIS.	THIAMIS.
La charge m'apartient, à moy qui ſuis moteur De la iuſte entrepriſe, & d’eux tous conducteur, Retourne deuers elle impoſant du ſilence;	La charge m'appartient, à moi qui suis moteur De la juste entreprise, et d'eux tous conducteur, Retourne devers elle imposant du silence;
Lors ie me purgeray de telle violence, L’éliſant de bou cœur arbitre de mon tort;	Lors ie me purgerai de telle violence, L'élisant de bou cœur arbitre de mon tort;
Vous autres cependant ne faites point d’éfort, Demeurez ſeulement ordonnez en bataille, préts au moindre ſignal d’écheler la muraille, Ie la voy qui paroit diſpoſée à m’oüyr:	Vous autres cependant ne faites point d'éfort, Demeurez seulement ordonnés en bataille, prêts au moindre signal d'écheler la muraille, Je la vois qui parait disposée à m'oüyr:
grantes fois de ce vœu i’ay deſiré joüyr!	grantes fois de ce vœu j'ai désiré jouir!
princeſſe, puis qu’il plaiſt à ta prudence ſage.	princesse, puis qu'il plaît à ta prudence sage.
ARSRCL.	ARSRCL.
O Dieux!	Ô Dieux!
c’eſt Thiamis de voix, & de viſage,	c'est Thiamis de voix, et de visage,
THIAMIS.	THIAMIS.
Que ie luy rememore vn outrage reçeu, Ie dy rememorer, déja tu l’auois ſçeu, D’vn frere rauiſſeur le plus traître qui viue, Qui tient injuſtement ma fortune captiue, De Pontife ſacré l’office m’a ſouſtrait, Obtenu mon exil ſous ombre d'vn forfait;	Que m luy remore int outrage reçu, Je dis remémorer, déjà tu l'avais su, D'un frère ravisseur le plus traître qui vive, Qui tient injustement ma fortune captive, De Pontife sacré l'office m'a soustrait, Obtenu mon exil sous ombre d'un forfait;
D'vn forfait ſupoſé, qui toy méme te touche, Comme auec moy voulant abuſer de ta couche, (Peu chaſte) violer la conjugale loy, Et mille autres excéz de cét homme ſans foy, Me forcent malgré moy de venir aduerſaire Repeter deſſus luy mon droit hereditaire, Par armes obtenir (mon genereux recours) Ce que m’a refuſé la iuſtice touſiours;	D'un forfait suposé, qui toi même te touche, Comme avec moi voulant abuser de ta couche, (Peu chaste) violer la conjugale loi, Et mille autres excéz de cet homme sans foi, Me forcent malgré moi de venir adversaire Répéter dessus lu mon droit héréditaire, Par armes obtenir (mon généreux recours) Ce que m'a refusé la justice toujours;
De me ſacrifier, & tous ceux de ma troupe, Permettre qu’vn à vn plutôt on nous decoupe, Que l’impieux ne ſoit de ſes crimes puny, Et de la dignité de Pontife banny:	De me sacrifier, et tous ceux de ma troupe, Permettre qu'un à un plutôt on nous decoupe, Que l'impieux ne soit de ses crimes puni, Et de la dignité de Pontife banni:
