dMmMlM dHO.	dMmlM dHO.
Ce n’eſt pas que l’ingrate aux yeux de mon Rival, N’ait fait contre mes feux un aveu trop fatal;	Ce n'est pas que l'ingrate aux yeux de mon Rival, N'ait fait contre mes feux un aveu trop fatal;
Et témoigné pour luy des excez de tendreſſe, Dont le cruel objet me reviendra ſans ceſſe:	Et témoigné pour cela des excès de tendresse, Dont le cruel objet me reviendra sans cesse:
Mais comme trop d’ardeur, enfin, m’avoit ſeduit, Ouand j’ay creu qu’en ces lieux elle l’ait introduit, D’un trop cuiſant ennuy je ſentirois l’atteinte, A luy laiſſer ſur moy quelque ſujet de plainte.	Mais comme trop d'ardeur, enfin, m'avait séduit, Ouand j'ai cru qu'en ces lieux elle l'ait introduit, D'un trop cuisant ennui je sentirais l'atteinte, A deux laisser sur moi quelque sujet de plainte.
Oüy, je veux faire au moins, ſi je m’en vois quitQue ce ſoit de ſon cœur pure infidelité;	Oui, je veux faire au moins, si je m'en vois quitue ce soit de son cœur pure infidélité;
Et venant m’excuſer d’un trait de promptitude, Dérober tout pretexte à ſon ingratitude.	Et venant m'excuser d'un trait de promptitude, Dérober tout prétexte à son ingratitude.
ELISE.	ÉLISE.
Laiſſez un peu de temps à ſon reſſentiment, Et ne la voyez point, Seigneur, ſi promptement.	Laissez un peu de temps à son ressentiment, Et ne la voyez point, Seigneur, si promptement.
GARCIE.	GARCIE.
Ah!	Ah!
ſi tu me cheris, obtiens que je la voye, C’eſt une liberté qu’il faut qu’elle m’octroye;	si tu me chéris, obtiens que je la voie, C'est une liberté qu'il faut qu'elle m'octroie;
Je ne pars point d’icy qu’au mohis ionfler dedain.	Je ne pars point d'ici qu'au molys ionfler dédain.
LISE.	LISE.
De grace differez l’effet de ce deſſein.	De grâce différez l'effet de ce dessein.
D.	D.
GARCIE.	GARCIE.
Ron, ne m’oppoſe point une excuſe frivole.	Ron, ne m'oppose point une excuse frivole.
LISE.	LISE.
Il faut que ce ſoit elle, avec une parole, Qui trouve les moyens de le faile en aller;	Il faut que ce soit elle, avec une parole, Qui trouve les moyens de le faile en aller;
Demeurez donc, Seigneur, je m’en vais luy parler.	Demeurez donc, Seigneur, je m'en vaisblé parler.
D.	D.
GARCIE.	GARCIE.
Dy luy, que j’ay d’abord banny de ma preſence, Celuy dont les avis ont cauſé mon offence.	Dis était, que j'ai d'abord banni de ma présence, Celui dont les avis ont causé mon offense.
Que D.	Que D.
Lope jamais.	Lope jamais.
SCENE VII.	SCÈNE VII.
D.	D.
GARCIE, D.	GARCIE, D.
ALVAR.	ALVAR.
D.	D.
GARCIE.	GARCIE.
QUe vois je!	QUe vois -je!
ô juſtes Dieux, Faut-il que je m’aſſure au rapport de mes yeux?	ô justes Dieux, Faut-il que je m'assure au rapport de mes yeux?
Ah!	Ah!
ſans doute ils me ſont des teſmoins trop fidelles.	sans doute ils me sont des témoins trop fidèles.
Voilà le comble affreux de mes peines mortelles.	Voilà le comble affreux de mes peines mortelles.
Voicy le coup fatal qui devoit m’accabler, Le quanld par des ſoupçons je me ientois troubler, C’eſtoit, c’eſtoit le Ciel, dont la ſourde menace Preſageoit à mon cœur cette horrible diſgrace.	Voici le coup fatal qui devait m'accabler, Le quanld par des soupçons je me jentais troubler, C'était, c'était le Ciel, dont la sourde menace Presageait à mon cœur cette horrible disgrâce.
D.	D.
ALVAR.	ALVAR.
Qu’avez-vous veu, Seigneur, qui vous puiſſe eſmouvoir?	Qu'avez-vous vu, Seigneur, qui vous puisse émouvoir?
D.	D.
GARCEE.	GARCE.
ay veu ce que mon ane a peme à concevoir, Et le renverſement de toute la nature Ne m’etonneroit pas comme cette avanture, C’en eſt fait.	ai vu ce que mon ane a peme à concevoir, Et le renversement de toute la nature Ne m'étonnerait pas comme cette aventure, C'en est fait.
le deſtin.	le destin.
je ne ſçaurois parler,	je ne saurais parler,
D.	D.
ALVAR.	ALVAR.
Seigneur, que vonle ciprie tatne a le rapeller.	Seigneur, que vonle ciprie tatne a le rappeler.
D.	D.
GARCIE.	GARCIE.
J'ay veu.	J'ai vu.
vangeance, ô Ciel.	vengeance, ô Ciel.
D.	D.
ALVAE.	ÀLVAE.
Quelle atteinte ſoudaine.	Quelle atteinte soudaine.
D.	D.
GARCIE.	GARCIE.
J’en mourray, D.	J'en mourrai, D.
Alvar, la choſe eſt bien certaine.	Alvar, la chose est bien certaine.
D.	D.
A LVAR.	À LVAR.
Mais, Seigneur, qui pourroit.	Mais, Seigneur, qui pourrait.
D.	D.
GARCIE.	GARCIE.
Ah!	Ah!
tout eſt ruiné;	tout est ruiné;
Je ſuis, je ſuis trahi, je ſuis aſſaſſiné;	Je suis, je suis trahi, je suis assassiné;
Un Un homme, ſans mourir te le puis-je bien direOn homme dans les bras de linfidelle Eluire?	Un Un homme. sans mourir te le puis-je bien direOn homme dans les bras de linfidèle Élvire?
D.	D.
ALVAR.	ALVAR.
Ah!	Ah!
Seigneur, la Princeſſe eſt vertueuſe au point.	Seigneur, la Princesse est vertueuse au point.
D.	D.
GARCIE.	GARCIE.
Ah!	Ah!
ſur ce que j’ay veu, ne me conteſtez point, Mrantvar;	sur ce que j'ai vu, ne me contestez point, Mrantvar;
cen cit tiop que louiciiil la gloie, Lorſque mes yeux font ſoy d’une action ſi noire.	cen cit tiop que louiciil la gloie, Lorsque mes yeux font soi d'une action si noire.
D.	D.
ALVAR.	ALVAR.
Seigneur, nos paſſions nous font prendre ſouvent Pour choſe veritable un objet décevant;	Seigneur, nos passions nous font prendre souvent Pour chose véritable un objet décevant;
2 Et de croire qu’une ame à la vertu nourrie, Se puiſſe.	2 Et de croire qu'une âme à la vertu nourrie, Se puisse.
D.	D.
GARCIE.	GARCIE.
D.	D.
Aivar, faiſiez moy je vous prie, Un Conſeiller me choque en cette occaſion, Et je ne prens avis que de ma paſſion.	Aivar, faisiez -moi je vous prie, Un Conseiller me choque en cette occasion, Et je ne prends avis que de ma passion.
D.	D.
ALVAR.	ALVAR.
Il ne faut rien répondre à cet eſprit farouche.	Il ne faut rien répondre à cet esprit farouche.
D.	D.
GAREIE.	GAREIE.
Ah!	Ah!
que ſenſiblement cette atteinte me touche;	que sensiblement cette atteinte me touche;
Mais il faut voir qui c’eſt, & de ma main punir.	Mais il faut voir qui c'est, et de ma main punir.
La voicy, ma fureur, te peux-tu retenir?	La voici, ma fureur, te peux-tu retenir?
SCENE VIII.	SCÈNE VIII.
D.	D.
ELUIRE, D.	ÉLUIRE, D.
GARCIE, D.	GARCIE, D.
ALVAR,	ALVAR,
D.	D.
ELUIRE.	ÉLUIRE.
E' bien que voulez-vous, & quel eſpoir, de grace, Aprés vos procedez peur flater voſtre audace?	E' bien que voulez-vous, et quel espoir, de grâce, Après vos procédez peur flatter votre audace?
Oſez-vous à mes yeux encor vous preienter, Et que me direz-vous que je doive écouter?	Osez-vous à mes yeux encore vous préienter, Et que me direz-vous que je doive écouter?
D.	D.
GARCIE.	GARCIE.
Que toutes les horreurs, dont une ame eſt capable.	Que toutes les horreurs, dont une âme est capable.
A vos déloyautez n’ont rien de comparable, K Que Que le ſort, les demons & le Ciel en courroux, Nont jailiais rien produit de ſi mechant que vous.	À vos déloyautés n'ont rien de comparable, Que Que le sort, les démons et le Ciel en courroux, Nont jailiais rien produit de si méchant que vous.
D.	D.
ELUIRE.	ÉLUIRE.
Ah!	Ah!
vrayment j’attendois l’excuſe d’un outrage, Mais à ce que je vois, c’eſt un autre langage.	vraiment j'attendais l'excuse d'un outrage, Mais à ce que je vois, c'est un autre langage.
D.	D.
GARCIE.	GARCIE.
Oüy, oüy, c’en eſt un autre, & vous n’attendiez pas Que j’euſſe découvert le traiſtre dans vos bras, Qu’un funeſte haſard par la porte entr’ouverte, Euſt offert à mes yeux voſtre honte, & ma perte.	Oui, oui, c'en est un autre, et vous n'attendiez pas Que j'eusse découvert le traître dans vos bras, Qu'un este hasard par la porte entr'ouverte, Eut offert à mes yeux votre honte, et ma perte.
Eſt-ce l’heureux Amant ſur ſes pas revenu, Ou quelque autre Rival qui m’eſtoit inconnu?	Est-ce l'heureux Amant sur ses pas revenu, Ou quelque autre Rival qui m'était inconnu?
O Ciel!	Ô Ciel!
donne à mon cœur des forces ſuffiſantes Pour pouvoir ſupporter des douleurs ſi cuiſantes.	donne à mon cœur des forces suffisantes Pour pouvoir supporter des douleurs si cuisantes.
Rougiſſez maintenant, vous en avez raiſon, Et le maſque eſt levé de voſtre trahiſon.	Rougissez maintenant, vous en avez raison, Et le masque est levé de votre trahison.
Voilà ce que marquoient les troubles de mon ame, Ce n’eſtoit pas en vain que s’allarmoit ma flame;	Voilà ce que marquaient les troubles de mon âme, Ce n'était pas en vain que s'alarmait ma flamme;
Par ces frequens ſoupçons qu’on trouvoit odieux, Je cherchois le malheur qu’ont rẽcontré mes yeux.	Par ces fréquents soupçons qu'on trouvait odieux, Je cherchais le malheur qu'ont rẽcontré mes yeux.
Et malgré tous vos ſoins, & voſtre adreſſe à feindre, Mon aſtre me diſoit ce que j’avois à craindre;	Et malgré tous vos soins, et votre adresse à feindre, Mon astre me disait ce que j'avais à craindre;
Mais ne preſumez pas que ſans eſtre vangé, Je ſouffre le dépit de me voir outragé.	Mais ne présumez pas que sans être vengé, Je souffre le dépit de me voir outragé.
Je ſçay que ſur les vœux on n’a point de puiſſance, Que l’amour veut par tout naiſtre ſans dépendance, Que jamais par la force on n’entra dans un cœur, Et que toute ame eſt libre à nommer ſon vainqueur Auſſi ne trouverois-je aucun ſujet de plainte, Si pour moy voſtre bouche avoit parlé ſans feinte, Et ſon arreſt livrant mon eſpoir à la mort, Mon cœur n’auroit eu droit de s’en prendre qu’au ſort.	Je sais que sur les vœux on n'a point de puissance, Que l'amour veut par tout naître sans dépendance, Que jamais par la force on n'entra dans un cœur, Et que toute âme est libre à nommer son vainqueur Aussi ne trouverais-je aucun sujet de plainte, Si pour moi votre bouche avait parlé sans feinte, Et son arrêt livrant mon espoir à la mort, Mon cœur n'aurait eu droit de s'en prendre qu'au sort.
Mais d’un aveu trompeur voir ma flâme applaudie, C’eſt une trahiſon, c’eſt une perfidie, Qui ne ſçauroit trouver de trop grands châtimens, Et je puis tout permettre à mes reſſentimens;	Mais d'un aveu trompeur voir ma flamme applaudie, C'est une trahison, c'est une perfidie, Qui ne saurait trouver de trop grands châtiments, Et je puis tout permettre à mes ressentiments;
Non, Non, non, n’eſperez rien aprés un tel outrage, Je ne ſuis plus à moy, je ſuis tout à la rage, Trahy de tous coſtez, mis dans un triſte eſtat, Il faut que mon amour ſe vange avec éclat, Qu’icy j’immole tout à ma fureur entreme, Et que mon deſeſpoir achere par moy-meſme.	Non, Non, non, n'espérez rien après un tel outrage, Je ne suis plus à moi, je suis tout à la rage, Trahi de tous côtés, mis dans un triste état, Il faut que mon amour se venge avec éclat, Qu'ici j'immole tout à ma fureur entreme, Et que mon désespoir achère par moi-même.
D.	D.
ELUIRE.	ÉLUIRE.
Aliez pailiblement vous a-f-on'écouté, Et pourray-je à mon tour parler en liberté?	Aliez pailiblement vous a-f-on'écouté, Et pourrai-je à mon tour parler en liberté?
D.	D.
GARCIE.	GARCIE.
Et par quels beaux diſcours que l’artifice inſpire.	Et par quels beaux discours que l'artifice inspire.
D.	D.
ELUIRE.	ÉLUIRE.
Si vous avez encor quelque choſe à me dire, pous pouvez l'ajouter, je iuis preſte à l’oüir, Si non, faites au moins que je puiſſe joüir De deux, ou trois momens de paiſible audience.	Si vous avez encore quelque chose à me dire, pous pouvez l'ajouter, je juis prête à l'ouïr, Si non, faites au moins que je puisse jouir De deux, ou trois moments de paisible audience.
D.	D.
GARCIE.	GARCIE.
Hé bien, j’écoute, ô Ciel, quelle en ma patience.	Hé bien, j'écoute. ô Ciel, quelle en ma patience.
D.	D.
ELUIRE.	ÉLUIRE.
pororée ma coicie, & veux lans nuſle aigreur, Répondre à ce diſcours ſi rempli de fureur.	pororée ma coicie, et veux lans nûle aigreur, Répondre à ce discours si rempli de fureur.
D.	D.
GARCIE.	GARCIE.
C’eſt que vous voyez bien.	C'est que vous voyez bien.
D.	D.
ELUIRE.	ÉLUIRE.
Ah!	Ah!
j’ay preſté l'oreille, Autant qu’il vous a pleu;	j'ai prêté l'oreille, Autant qu'il vous a plu;
rendez-moy la pareille.	rendez-moi la pareille.
J'admire mon deſtin, & jamais ſous les Cieux, Il ne fut rien, je croy, de ſi prodigieux, Rien dont la nouveauté ſoit plus inconcevable, Et rien que la raiſon rende moins ſupportable.	J'admire mon destin, et jamais sous les Cieux, Il ne fut rien, je crois, de si prodigieux, Rien dont la nouveauté soit plus inconcevable, Et rien que la raison rende moins supportable.
Je me vois un Amant, qui ſans ſe rebuter, Applique tous ſes ſoins à me perſecuter, Qui dans tout cet amour que ſa bouche m’exprime, Ne conſerve pour moy nul ſentiment d’eſtime, Rien au fond de ce cœur qu’ont pû bleſſer mes yeux, Qui faſſe droit au ſang que j’ay reçû des Cieux, Et de mes actions défende l’innocence	Je me vois un Amant, qui sans se rebuter, Applique tous ses soins à me persécuter, Qui dans tout cet amour que sa bouche m'exprime, Ne conserve pour moi nul sentiment d'estime, Rien au fond de ce cœur qu'ont pu blesser mes yeux, Qui fasse droit au sang que j'ai reçu des Cieux, Et de mes actions défende l'innocence
Contre le moindre effort d’une fauſſe apparence, Oüy, jevous.	Contre le moindre effort d'une fausse apparence, Oui, jevous.
ah!	ah!
ſur tout ne m’interrompez point.	sur tout ne m'interrompez point.
Je vois, dis-je, mon ſort malheureux à ce point, Qu’un cœur qui dit qu’il m’ayme, & qui doit faire croire, Que quand tout l’Univers douteroit de ma gloire, Il voudroit contre tous en eſtre le garant, Eſt celuy qui s’en fait l’ennemy le plus grand.	Je vois, dis-je, mon sort malheureux à ce point, Qu'un cœur qui dit qu'il m'aime, et qui doit faire croire, Que quand tout l'Univers douterait de ma gloire, Il voudrait contre tous en chang le garant, Est celui qui s'en fait l'ennemi le plus grand.
On ne voit échaper aux ſoins que prend ſa flame Aucune occaſion de ſoupçonner mon ame;	On ne voit échapper aux soins que prend sa flamme Aucune occasion de soupçonner mon âme;
Mais c’eſt peu des ſoupçons, il en fait des éclats, Que ſans eſtre bleſſé l’amour ne ſouffre pas.	Mais c'est peu des soupçons, il en fait des éclats, Que sans être blessé l'amour ne souffre pas.
Loin d’agir en Amant, qui plus que la mort meſme Apprehende toûjours d’offencer ce qu’il ayme, Qui ſe plaint doucement, & cherche avec reſpect A pouvoir s’éclaircir de ce qu’il croit ſuſpect.	Loin d'agir en Amant, qui plus que la mort même Appréhende toujours d'offenser ce qu'il aime, Qui se plaint doucement, et cherche avec respect À pouvoir s'éclaircir de ce qu'il croit suspect.
A toute extremité dans ſes doutes il paſſe, Et ce n’eſt que fureur, qu’injure, & que menace;	À toute extrémité dans ses doutes il passe, Et ce n'est que fureur, qu'injure, et que menace;
Cependant aujourd’huy je veux fermer les yeux Sur tout ce qui devroit me le rendre odieux, Et luy donner moyen par une bonté pure De tirer ſon ſalut d’une nouvelle injure.	Cependant aujourd'hui je veux fermer les yeux Sur tout ce qui devrait me le rendre odieux, Et quelque donner moyen par une bonté pure De tirer son salut d'une nouvelle injure.
Ce grand emportement qu’il m’a falu ſouffrit, munpmam omepu a vuo youmlomanurdtiond d’offrir, I’aurois tort de vouloir dementir voſtre veuë, Et voſtre ame ſans doute a dû paroiſtre émeuë.	Ce grand emportement qu'il m'a fallu souffrit, munpam omépue a vœuo ymlomanurdtiond d'offrir, J'aurais tort de vouloir démentir votre vue, Et votre âme sans doute a dû paraître émue.
D.	D.
GARCIE.	GARCIE.
Et n’eſt ce pas.	Et n'est ce pas.
D.	D.
ELUIRE.	ÉLUIRE.
Encor un peu d’attention, Et vous allez ſçavoir ma reſolution.	Encore un peu d'attention, Et vous allez sçavoir ma résolution.
