ECPRIVILEGEDU ROY.	ECPRIVILEGEDU ROI.
Tu tiens de ſa Pſiché le Deſtin en tes mains, La Parque au moindre mot va ſuivre ta colere, Parle, & laiſſe toi vaincre aux tendreſſes de Mere;	Tu tiens de sa Psiché le Destin en tes mains, La Parque au moindre mot va suivre ta colère, Parle, et laisse toi vaincre aux tendresses de Mère;
Ou redoute un couroux que moy-même je crains.	Ou redoute un courroux que moi-même je crains.
Veux-tu donner le monde en proye A la haine, au deſordre, à la confuſion, Et d’un Dieu d’union, D’un Dieu de douceurs & de joye Faire un Dieu d’amertume & de diviſion?	Veux-tu donner le monde en proie A la haine, au désordre, à la confusion, Et d'un Dieu d'union, D'un Dieu de douceurs et de joie Faire un Dieu d'amertume et de division?
Conſidere ce que nous ſommes, Et ſi les paſſions doivent nous dominer.	Considère ce que nous sommes, Et si les passions doivent nous dominer.
Plus la vengeance a dequoi plaire aux Hommes, Plus il ſied bien aux Dieux de pardonner.	Plus la vengeance a dequoi plaire aux Hommes, Plus il sied bien aux Dieux de pardonner.
JENUS.	JENUS.
Je pardonne à ce Fils rebelle!	Je pardonne à ce Fils rebelle!
Mais voulez-vous qu’il me ſoit reproché Qu’une miſerable Mortelle, L’obiet de mon couroux, l’orgueilleuſe Pſiché, Sous ombre qu’elle eſt un peu belle, l'ai un riymen dont je reugis, Soüille mon alliance, & le lit de mon Fils?	Mais voulez-vous qu'il me soit reproché Qu'une misérable Mortelle, L'objet de mon courroux, l'orgueilleuse Psiché, Sous ombre qu'elle est un peu belle, l'ai un rimen dont je rempis, Sourille mon alliance, et le lit de mon Fils?
ITER.	ITER.
Hé bien, je la fais immortelle, .	Hé bien, je la fais immortelle, .
Afin d’y rendre tout égal.	Afin d'y rendre tout égal.
IENUS.	JENUS.
Je n’ai plus de mépris, ny de haine pour elle, Et l’admets à l’honneur de ce nœud conjugal.	Je n'ai plus de mépris, Seigneur de haine pour elle, Et l'admets à l'honneur de ce nœud conjugal.
Pſiché, reprenez la lumiere, Pour ne la reperdre jamais, Jupiter a fait vôtre paix, Et je quitte cette humeur fiere Qui s’oppoſoit à vos ſouhaits,	Psiché, reprenez la lumière, Pour ne la reperdre jamais, Jupiter a fait votre paix, Et je quitte cette humeur fière Qui s'opposait à vos souhaits,
SICHE’.	SICHÉE.
C’eſt donc vous, ô grande Déeſſe, Qui redonnez la vie a ce cœur innocent!	C'est donc vous, ô grande Déesse, Qui redonnés la vie à ce cœur innocent!
ENUS.	ENUS.
Jupiter vous fait grace, & ma colere ceſſe.	Jupiter vous fait grâce, et ma colère cesse.
.	.
Venus l’ordonne, aimez elle y conſent.	Venus l'ordonne, aimez elle y consent.
PSICHE' à l'Amour.	PSICHÉE' à l'Amour.
Je vous revois enfin, chęr objet de ma flâme!	Je vous revois enfin, chaîr objet de ma flamme!
L’AMOUR à Pſiché.	L'AMOUR à Psiché.
Je vous poſſede enfin, delices de mon ame!	Je vous possède enfin, délices de mon âme!
JPITER.	JPITER.
Vencz Amans, venez aux Cieux Achever un ſi grand & ſi digne Hymenée:	Vencz Amants, venez aux Cieux Achever un si grand et si digne Hyménée:
Viens y, belle Pſiché, changer de Deſtinée, Viens prendre place au rang des Dieur.	Viens y, belle Psiché, changer de Destinée, Viens prendre place au rang des Dieur.
Eux grandes Machines deſcendent aux deux côDtez de ſupiter, cependant qu’il dit ces derniers Vers.	Eux grandes Machines descendent aux deux côtés de supiter, cependant qu'il dit ces derniers Vers.
Venus avec ſa Suite monte dans l’une.	Venus avec sa Suite monte dans l'une.
L’Amour uott l'fitne aumedutre, & tous enſemble remontent au Ciel.	L'Amour uott l'une aumédutre, et tous ensemble remontent au Ciel.
Les Divinitez qui avoient été partagées entre Vénus & ſon Fils, ſe réunißent en les voyant d’accord;	Les Divinités qui avaient été partagées entre Vénus et son Fils, se réunissent en les voyant d'accord;
& toutes enſemble par des Concerts, des Chants, & des Dances, celebrent la Fête des Nopces de:	et toutes ensemble par des Concerts, des Chants, et des Dances, célèbrent la Fête des Noces de:
l’Amour.	L'Amour.
Eppollon paroît le premier, & comme Dieu le l'Harmonie commence a chanter pour inviter les datres Dieux à ſe rejoüir.	Épollon paraît le premier, et comme Dieu le l'Harmonie commence a chanter pour inviter les datres Dieux à se réjouir.
RECIT D'APPOLLON.	RÉCIT D'APOLLON.
Niſſons-nous, Troupe immortelle;	Nissons-nous, Troupe immortelle;
O Le Dieu d’Amour devient heureux Amant, Et Venus a repris ſa douceur naturelle En faveur d’un Fils ſi charmant:	Ô Ô Dieu d'Amour devient heureux Amant, Et Venus a repris sa douceur naturelle En faveur d'un Fils si charmant:
Il va goûter en paix, aprés un long tourment, Une felicité qui doit être éternelle.	Il va goûter en paix, après un long tourment, Une félicité qui doit être éternelle.
Toutes les Divinitez, chantent enſemble-ce Couplet à la gloire de l’Amour.	Toutes les Divinités, chantent ensemble-ce Couplet à la gloire de l'Amour.
Elebrons ce grand Jour;	Élébrons ce grand Jour;
CCelebrons tous une Feſte ſi belle:	CCélébrons tous une Fête si belle:
Que nos Chants en tous lieux en portent la nouvelle Qu’ils faffent retentir le celeſte ſejour:	Que nos Chants en tous lieux en portent la nouvelle Qu'ils faffent retentir le celeste jour:
Chantons, repetons tour à tour, Qu’il n’eſt point d’Ame ſi cruelle, Qui tôt ou tard ne ſe rende à l’Amour.	Chantons, répétons tour à tour, Qu'il n'est point d'Âme si cruelle, Qui tôt ou tard ne se rende à l'Amour.
APOLLON continuëE Dieu qui nous engage LA lui faire la Cour, Defend qu’on ſoit trop ſage.	APOLLON continueE Dieu qui nous engage LA lui faire la Cour, Défend qu'on soit trop sage.
Les plaiſirs ont leur tour, C’eſt leur plus doux uſage;	Les plaisirs ont leur tour, C'est leur plus doux usage;
Que de finir des ſoins du Jour.	Que de finir des soins du Jour.
La nuit eſt le partage Mee jeur ce de l'Amoure.	La nuit est le partage Me jeur ce de l'Amoure.
Le ſeroit grand dommage Qu’en ce charmant Séjour On eut un cœur ſauvage.	Le serait grand dommage Qu'en ce charmant Séjour On eut un cœur sauvage.
Les Pla ſirs ont leur tour, C’eſt leur plus doux uſage, Que de nn lles ioins du joule La nuit eſt le partage Des Jeux & de l’Amour.	Les Pla sirs ont leur tour, C'est leur plus doux usage, Que de nn les joins du joule La nuit est le partage Des Jeux et de l'Amour.
Deux Muſes qui ont toûjours évitè de s’engager ſous les Loix de l’Amour, conſeillent aux Belles, qui n’ont point encore aimé, de s’en defendre avec ſoin à leur exemple.	Deux Muses qui ont toujours évitèrent de s'engager sous les Lois de l'Amour, conseillent aux Belles, qui n'ont point encore aimé, de s'en défendre avec soin à leur exemple.
CHANSON DES MUSES.	CHANSON DES MUSES.
Ardéz-vous, Beautez ſeveres, C Les Amours font trop d’affaires, Craignez toûjours de vous laiſſer charmer;	Ardéz-vous, Beautés sévères, Ç Les Amours font trop d'affaires, Craignez toujours de vous laisser charmer;
Quand il faut que l’on ſoûpire, Tout le mal n’eſt pas de s’enflâmer?	Quand il faut que l'on soupire, Tout le mal n'est pas de s'enflammer?
Le martire De le dire Coute pius cent lats quea amer.	Le martyre De le dire Coute pius cent lats quea amer.
SECOND COUPLET DES MUSES.	SECOND COUPLET DES MUSES.
On ne peut aimer ſans peines, Il eſt peu de douces chaînes, A tout moment on ſe ſent alarmer;	On ne peut aimer sans peines, Il est peu de douces chaînes, À tout moment on se sent alarmer;
Quand il faut que l’on ſoûpire, Tout le mal n’eſt pas de s’enflâmer;	Quand il faut que l'on soupire, Tout le mal n'est pas de s'enflammer;
Le martire De le dire, Coûte plus cent fois que d’aimer.	Le martyre De le dire, Coûte plus cent fois que d'aimer.
Bachas fait entendre qu’il n’eſt pas ſi dangereux que l’Amour.	Bachas fait entendre qu'il n'est pas si dangereux que l'Amour.
RECIT DE BACCHUS.	RÉCIT DE BACCHUS.
I quelquefois,  Suivant nos douces Loix, La raiſon ſe perd & s’oublie Ce que le Vin nous cauſe de folie Commence & finit en un jour, Mais quand un cœur eſt enyvré d’Amour, Souvent c’eſt pour toute la vie.	I quelquefois, Suivant nos douces Lois, La raison se perd et s'oublie Ce que le Vin nous cause de folie Commence et finit en un jour, Mais quand un cœur est enivré d'Amour, Souvent c'est pour toute la vie.
Mome declare qu’il n’a point de plus doux employ que deméd re, & que ce n’eſt qu’à l’Amour ſeul qu’il n’oſe ſe jouër.	Mome déclare qu'il n'a point de plus doux emploi que deméd ré, et que ce n'est qu'à l'Amour seul qu'il n'ose se jouer.
RECIT DE MOME.	RÉCIT DE MÔME.
E cherche à médire, Sur la Terre & dans les Cieux, Je ſoûmets à ma Satyre Les plus grands des Dieux.	E cherche à médire, Sur la Terre et dans les Cieux, Je soumets à ma Satire Les plus grands des Dieux.
Lh’eſt dans l’Univers que l’Amour qui m’étonne Il eſt le ſeul que j’épargne aujourd’hui, Il n’appartient qu’à luy De n’epargner perlonne.	Lh’est dans l'Univers que l'Amour qui m'étonne Il est le seul que j'épargne aujourd'hui, Il n'appartient qu'à avait Eu n'épargner perlonne.
ENTRE’E DE BALLET.	ENTRE DE BALLET.
Compoſée de deux Mœnades & de deux Ægipans qui Juivent Bacchus.	Composée de deux Mœnades et de deux Ægipans qui Juivent Bacchus.
ENTRE'E DE BALLET.	ENTRE DE BALLET.
Compoſée de quatre Polichinelles & de deux Mataſsins qui ſuivent Mome, & viennent joindre leur plaiſante, ie & leur badinage aux divertißemens de cette grande Fête.	Composée de quatre Polichinelles et de deux Matassins qui suivent Mome, et viennent joindre leur plaisante, on et leur badinage aux divertissements de cette grande Fête.
Bacchus & Mome qui les conduiſent, chantent au miltenm enn & umennum onanjon, batenus a la loüange du Vin, & Mome une Chanſon enjoüée ſur le ſujet & les avantage de la raillerie.	Bacchus et Mome qui les conduisent, chantent au miltenm en et umennum onanjon, batenus a la louange du Vin, et Mome une Chanson enjouée sur le sujet et les avantage de la raillerie.
RECIT DE BACCHUS Dmirons le jus de la Treille:	RÉCIT DE BACCHUS Démirons le jus de la Treille:
A Qu’il eſt puiſſant!	A Qu'il est puissant!
qu’il a d’attraits!	qu'il a d'attraits!
I tert aux douceurs de la Paix, Et dans la Guerre il fait merveille:	I tert aux douceurs de la Paix, Et dans la Guerre il fait merveille:
Mais ſur tout pour les Amours, Le Vin eſt d’un grand ſecours.	Mais sur tout pour les Amours, Le Vin est d'un grand secours.
RECIT DE MOME.	RÉCIT DE MÔME.
Olaſtrons, divertiſſons-nous, L'Raillons, nous ne ſçaurions mie ux faire;	Olâtrons, divertissons-nous, L'Raillons, nous ne saurions mie ux faire;
La raillerie eſt neceſſaire Dans les Jeux les plus dodrJans la douceur que l’on goûte à médire, On trouve peu de plaiſirs ſans ennui, Rien n’eſt ſi plaiſant que de rire, Quand on rit aux dépens d’autrui.	La raillerie est nécessaire Dans les Jeux les plus dodrants la douceur que l'on goûte à médire, On trouve peu de plaisirs sans ennui, Rien n'est si plaisant que de rire, Quand on rit aux dépens d'autrui.
acπἁτο Plaiſantons, ne pardonnons rien, Rions, rien n’eſt plus à la rlode.	acπἁτο Plaisantons, ne pardonnons rien, Rions, rien n'est plus à la rode.
On court péril d’être iucommode, Et diſant trop de bien.	On court péril d'être jucommode, Et disant trop de bien.
Sans la douceur que l’on goûte à médire, On trouve peu de plaiſirs ſans eunuy;	Sans la douceur que l'on goûte à médire, On trouve peu de plaisirs sans eunui;
Rien n’eſt ſi plaiſant que de rire, Quand on rit aux dépens d’autrui.	Rien n'est si plaisant que de rire, Quand on rit aux dépens d'autrui.
RECIT DE MARS.	RÉCIT DE MARS.
Aiſſons en paix toute la Terre, L Cherchons de doux amuſemens;	Aissons en paix toute la Terre, L Cherchons de doux amusements;
Parmy les Jeux les plus charmans, Mêlons l’image de la Guerre.	Parmi les Jeux les plus charmants, Mêlons l'image de la Guerre.
ENNREEDE DALUET.	ENNREDE DALUET.
Suivans de Mars, qui font en dançant avec des Enſeignes une maniere d’Exercice.	Suivants de Mars, qui font en dançant avec des Enseignes une manière d'Exercice.
DERNIERE ENTRE’E DE BALLET.	DERNIÈRE ENTRE DE DE BALLET.
Les Troupes differentes de la Suite d’Apollon, de Bacchus, de Mome, & de Mars, apres avoir achevé leurs Entrées partirulieres, s'unißent enſemble, & forment la derniere Entrée qui renferme toutes les autres.	Les Troupes différentes de la Suite d'Apollon, de Bacchus, de Mome, et de Mars, après avoir achevé leurs Entrées partirulières, s'uni ensemble, et forment la dernière Entrée qui renferme toutes les autres.
Un Chœur de toutes les Voix & de tous les Inſtrumens, qui ſont au nombre de quarante, ſe joint à la Dunje guieiie & termine la Fête des Nopces de l’Amour & de Fiche.	Un Chœur de toutes les Voix et de tous les Instruments, qui sont au nombre de quarante, se joint à la Dunje guieiie et termine la Fête des Nopces de l'Amour et de Fiche.
DERNIER CHOEUR.	DERNIER CHOEUR.
Hantons les plaiſirs charmans ODes heureux Amans, Que tout le Ciel s’empreſſe A leur faire ſa Cour, Celebrons ce beau Jour Par mille doux chants d’allegreſſe, Celebrons ce beau Jour Par mille doux chants pleins d’amour.	Hantons les plaisirs charmands ODes heureux Amants, Que tout le Ciel s'empresse À leur faire sa Cour, Clébrons ce beau Jour Par mille doux chants d'allégresse, Célébrons ce beau Jour Par mille doux chants pleins d'amour.
Dans le grand Sallon du Palais des Tuilleries, où Pſiché a été repreſentée devant Leurs Majeſtez, il y avoit des Timbales:	Dans le grand Sallon du Palais des Tuilleries, où Psiché a été représentée devant Leurs Majectés, il y avait des Timbales:
des Trompettes & des Tambours, mêlez dans ces derniers Concerts;	des Trompettes et des Tambours, mêlés dans ces derniers Concerts;
& ce dernier Couplet Je thantuis ainſi.	et ce dernier Couplet Je thantuis ainsi.
Ll C'Hantons les plaiſirs charmans C Des heureux Amens.	Ll C'Hantons les plaisirs charmants Ç Es heureux Aments.
Répondez nous Trompettes, Timbales & Tambouts:	Répondez nous Trompettes, Timbales et Tambouts:
Accordez-vous toûjours A vec le doux ſon des Muſettes, Accordez vous toûjours vec le doux chant des Amours:	Accordez-vous toujours A vec le doux son des Musettes, Accordez vous toujours vec le doux chant des Amours:
I N.	I N.
Extrait du Privilege du Roi.	Extrait du Privilège du Roi.
AR Grace & Privilege dn Roi, Donné à Paris le I 31.	AR Grâce et Privilège dn Roi, Donné à Paris le I 31.
jour de Decembre, l’an de grace 1670.	jour de Décembre, l'an de grâce 1670.
Signé.	Signé.
Par le Roi en ſon Couſeil, GUITONNEAU;	Par le Roi en son Couseil, GUITONEAU;
Il eſt permis à Jean Baptiſte Pocquelin de Moliere, l’un des Comediens de Sa Majeſté, de faire imprimer, avendre, & debiter une piece de The atre, intitulée, LES AMOURS DE PSICHE', par tel Imprimeur ou Libraire qu’il voudra choiſir, pendant le tems de dix années entieres & accomplies, à compter du jour que ladite Piece ſera achevée d’imprimer pour la «premiere fois:	Il est permis à Jean Baptiste Pocquelin de Molière, l'un des Comédiens de Sa Majesté, de faire imprimer, avendre, et débiter une pièce de Thé âtre, intitulée, LES AMOURS DE PSICHÉE, par tel Imprimeur ou Libraire qu'il voudra choisir, pendant le temps de dix années entières et accomplies, à compter du jour que ladite Pièce sera achevée d'imprimer pour la «premiere fois:
Et defenſes ſont faites à toutes Perſonnes, de quelque qualité & condition qu’elles ſoient d’imprimer, faire imprimer, vendre, ni debiter ladite Piece, ſans le conſentement de l’Expoſant, ou de ceux qui auront droit de luy, à peine de ſix mille livres d'anfemde, connteationdes naemplants contrefaits, & de tous dépens, dommages & intereſts, ainſi que plus au long il eſt porté audit Privilege.	Et défenses sont faites à toutes Personnes, de quelque qualité et condition qu'elles soient d'imprimer, faire imprimer, vendre, ni débiter ladite Pièce, sans le consentement de l'Exposant, ou de ceux qui auront droit de soins, à peine de six mille livres d'anfemde, connationdes namplants contrefaits, et de tous dépens, dommages et intérêts, ainsi que plus au long il est porté audit Privilège.
