An Iem ay Chez CLAVDE LE VILLAIN, Libraite, & Relieur du ROY, ruë du Bec, à la bonne Renommée.	An Iem ai Chez CLAUDE LE VILLAIN, Libraite, et Relieur du ROY, rue du Bec, à la bonne Renommée.
« C’eſt vn peché, que des Dieux la Iuſtice „ Ne peut punir d’aſſeZ digne ſupplice.	" C'est un péché, que des Dieux la Justice „ Ne peut punir d'assez digne supplice.
Chaſte Bergere, épargne ta collere, Adoucy ta rigueur:	Chaste Bergère, épargne ta colère, Adoucy ta rigueur:
Et mets à bas ce deſir ſanguinaire, Qui va brulant ton cœur:	Et mets à bas ce désir sanguinaire, Qui va brûlant ton cœur:
Et ne va pas diffamant ces boccages D’horreur, de ſang, de meurtre, & de carnages,	Et ne va pas diffamant ces bocages D'horreur, de sang, de montre, et de carnages,
ACTE QVATRIESME SCENE IXEMIERE.	ACTE QUATRIÈME SCÈNE IXEMIÈRE.
Phyliris.	Phyliris.
Damon.	Damon.
Doralis.	Doralis.
Phyliris.	Phyliris.
METN Eroit il vray?	METN Erait -il vrai?
la fureur, & la rage da 3 Ont elles prins pour hoſte ſon courage?	la fureur, et la rage da 3 Ont elles prins pour hôte son courage?
A Pourroit l’amour la diſcorde enfãtei Et le deuoir la haint fomenter?	À Pourrait l'amour la discorde enfoutei Et le devoir la haint fomenter?
Paſtoralle.	Pâtoralle.
On ne ſçauroit obliger ma creance A te qui fait contre toute apparence.	On ne saurait obliger ma créance À te qui fait contre toute apparence.
Puis ie connois l’humeur de Lycoris:	Puis ie connoisqu'humeur de Lycoris:
Son œil, ſa grace, & ſon petit ſou-ris 111 Ne monſtrent point vn defir de vengeance;	Son œil, sa grâce, et son petit souris 111 Ne montrent point un désir de vengeance;
Qui ne le croit grandement il s’offenſe.	Qui ne le croit grandement il s'offense.
De m'alleguer que Pan veut les iuger, Et qu'elle craint de ſe voir obliger Aie ne ſçay quelle vaine promeſſe, Qu'elle luy fiſt de fléchir ſa maiſtreſſe:	De m'alléguer que Pan veut les juger, Et qu'elle craint de se voir obliger Aie ne sais quelle vaine promesse, Qu'elle a fist de fléchir sa maîtresse:
Cela ne peut l’obliger nullement:	Cela ne peut l'obliger nullement:
Sçay-ie pas bien comme vint ce ſerment:	Sais-je pas bien comme vint ce serment:
I'eſtois preſente:	J'étais présente:
& Dieu ſçait ſi ſon ame Eſtoit portée à ſoulager ſa flame, Et s’il pouuoit conſequence impoſer Qu'elle euſt deſir vn iour de l’épouſer!	et Dieu était si son âme Était portée à soulager sa flamme, Et s'il pouvait conséquence imposer Qu'elle eût désir un jour de l'épouser!
Et toutesfois il court vn ſourd murmure Que Lycoris le trépas luy procure, Et qu'vn Berger, en vn buiſſon coulé, Sçait le myſtere, & là ià reuelé.	Et toutefois il court un sourd murmure Que Lycoris le trépas était procure, Et qu'un Berger, en un buisson coulé, Sait le mystère, et là jà reuelé.
» Dieu que l’amour nous pouſſe à d’iniuſtice!	" Dieu que l'amour nous pousse à d'injustice!
Que de malheurs ſe couuent ſous ce vice!	Que de malheurs se couvent sous ce vice!
Verſer helas!	Verser hélas!
le ſang d’vn innocent!	le sang d'un innocent!
Ciel tu le vois & ton cœur y conſent.	Ciel tu le vois et ton cœur y consent.
Ie veux pourtant auant que la iournée Ait veu ſa fin par l’ombre retournée, Faire aduertir Doralis ſourdemens:	Je veux pourtant avant que la journée Ait vu sa fin par l'ombre retournée, Faire avertir Doralis sourdements:
», Faire au plus ſeur c’eſt faire ſagement, Et l’ame eſt ſage apres eſtre aduertie.	", Faire au plus sûr c'est faire sagement, Et l'âme est sage après être avertie.
Quel qu'vn m’a dit qu’ils aucient fait partie D’aller chaſſer à trauers ce grand bois:	Quel qu'un m'a dit qu'ils aucient fait partie Daller chasser à travers ce grand bois:
Ojons inpeu ſii tarendray ja orx.	Ojons inpu si tarendrai ja orx.
Damon.	Damon.
où s’en va ſeulle en ces ombres ſecrettes Ma Philiris?	où s'en va seulle en ces ombres secrètes Ma Philiris?
Il faut que ie la guettes:	Il faut que ici la guettes:
Car elle a fait ce deſſain là ſans moy:	Car elle a fait ce dessain là sans moi:
Pourroit ſon cœur manquer à cette foy Que ſi ſouuent m’a donné ſa parole?	Pourrait son cœur manquer à cette foi Que si souvent m'a donné sa parole?
& S’il eſt ainſi, flambeaux qui ſur le Pole Faites vos pas d’vn mouuement diuers, N’éclaireZ plus ſur ce grand vniuers.	et S'il est ainsi, flambeaux qui sur le Pole Faites vos pas d'Un mouvement divers, N'éclairez plus sur ce grand vniuers.
Sans eſtre veu ie veux ſuiure ſa piſte, Et voir en fin ou ſes pas vont ſi viſte.	Sans être vu On veux suivre sa piste, Et voir en fin ou ses pas vont si vite.
Philiris.	Philiris.
I'ay beau chercher, meſme ou iamais ne luit L’œil de Phebus:	J'ai beau chercher, même ou jamais ne luit L'œil de Phebus:
ie penſe qu’il me fuit.	Il pense qu'il me fuit.
Damon.	Damon.
Comme elle va!	Comme elle va!
ſa courſe violente.	sa course violente.
Deuanceroit celle là d' Atalante Suiuons touſiours, ne l’abandonnons pas, Il faut ſçauoir à quoy tendent ſes pas.	Devancerait celle -là d' Atalante Suivons toujours, ne l'abandonnons pas, Il faut sçauoir à quoi tendent ses pas.
Doralis.	Doralis.
Ie m’attendois, entrant ſous ces ombrages, Trouuer vn Cerf en paſture aux gaignages, Et faire boire vne fléche en ſon ſang, Ou d’vn épieu luy tranſpercer le flanc, Mais la iournee eſt fort malencontreuſe, I'ay r’encontré quelque femme boiteuſe, Quelque muet, quel que aueugle, ou boſſu, Lors qu’au matin du toict ie ſuis iſſu.	Je m'attendais, entrant sous ces ombrages, Trouver un Cerf en pâture aux gagnages, Et faire boire une flèche en son sang, Ou d'un épieu lui transpercer le flanc, Mais la journe est fort malencontreuse, J'ai rencontré quelque femme boiteuse, Quelque muet, quel que aveugle, ou bossu, Lors qu'au matin du toit ie suis issu.
Dormons vn peu ſur cette nerbe menne, En attendant que le chaud diminuë.	Dormons un peu sur cette nerbe menne, En attendant que le chaud diminue.
Philiris.	Philiris.
Ie n’en puis plus, ie ſuis laſſe du tout:	Je n'en puis plus, ie suis lasse du tout:
I’ay veu ce bois de l’vn à l’autre boul!	J'ai vu ce bois de l' a autre boul!
Ha!	Ha!
le voici!	le voici!
las, il dort le pauure homme!	las, il dort le pauvre homme!
Haut Doralis.	Haut Doralis.
Doralis.	Doralis.
Qui vient rompre mõ Damon, cache.	Qui vient rompre mon Damon, cache.
CJomme?	COmme?
Cœur deſloyal!	Cœur déloyal!
ſont- ce là les beaux vœux Re tu me fis, me liant en tes nœuds?	sont- ce là les beaux vœux Re tu me fis, me liant en tes nœuds?
Philiris.	Philiris.
1a dors Papreur, & n a paseu penjee.	1a dors Papreur, et n a paseu penjee.
Qu'a tes beaux iours vne embuſche eſt dreſſée?	Qu'a tes beaux jours une embûche est dressée?
Doralis.	Doralis.
Te ris-tu point?	Te ris-tu point?
eſt-il vray par ta foy?	est-il vrai par ta foi?
Philiris.	Philiris.
Il eſt certain.	Il est certain.
Doralis.	Doralis.
Sieds toy dõc pres de moy Ma Philiris, & le reſte me conte:	Sieds toi donner pres de moi Ma Philiris, et le reste me conte:
T iij 114 Le Berger Inconneu, Qua veus ma mont, it veinertne ja ionses	 Taj 114 Le Berger Inconnu, Qua vus ma mont, it veinertne ja jonses
Damon.	Damon.
Pere Occean au dos portebaſteaux, Va nourriſſant la flamme dans tes eaux?	Père Océan au dos portebasteaux, Va nourrissant la flamme dans tes eaux?
Le cœur perfide, en qui i’euZ eſperance, Eſt deuenu le joüet d’inconſtance.	Le cœur perfide, en qui j'eus espérance, Est devenu le jet d'inconstance.
Mais las!	Mais las!
que dis-ie?	que dis-je?
ou ſuis-ie?	ou suis-je?
ou ſont mes yeux?	ou sont mes yeux?
Me trompent-ils en ce fait odieux?	Me trompent-ils en ce fait odieux?
Sont-ils ouuers?	Sont-ils ouvert?
ou bien ſi les tenebres Les vont couurant ſous leurs horreurs funebres Las!	ou bien si les ténèbres Les vont couvrant sous leurs horreurs funèbres Las!
pleuſt à Dieu!	pleût à Dieu!
qu’ils me fuſſent creueZ!	qu'ils me fussent crués!
Et n’auoir point ces obiects éprouueZ!	Et n'avoir point ces objets éprouvés!
O deteſtable, & maudite Bergere!	Ô détestable, et maudite Bergère!
Et plus maudite encor ta ſoy legere!	Et plus maudite encor ta soi légère!
Ne tarde plus, embraſſe, embraſſe lé, Car ai ßi bien ton crime decelé Ira par tout, & d’vne voix hardie Ie le diray par toute l’Arcadie, A tous Bergers, afin qu’en te voyant, Par tous la honte aillets conuoyant, Comme vne eſcorte égalle à ton merite.	Ne tarde plus. embrasse, embrasse lé, Car ai 4 bien ton crime décelé Ira par tout, et d'une voix hardie Je le dirai par toute l'Arcadie, A tous Bergers, afin qu'en te voyant, Par tous la honte aillets convoyant, Comme escorte égalle à ton mérite.
Vilaine engeancél ame de quelque Scythe Je te faiſois trop d’honneur mille ftrs De viure eſclaue, & ſerſ deſſous tes loix!	Vilaine engeancel âme de quelque Scythe Je te faisais trop d'honneur mille ftrs De vivre esclaue, et sers dessous tes lois!
Mais que tarday-ie?	Mais que tardai-je?
il ſemble que ma veuë D'vn tel obiet ſoit doucement repeuë!	il semble que ma vue D'une tel objet soit doucement repeuë!
Que ie conſente au crime perpetré:	Que quelque consente au crime perpetré:
Bien heureux d’eſtre ainſi bien rencontré!	Bien heureux d'être ainsi bien rencontré!
Va malheureuſe, ingratte, & miſerable!	Va malheureuse, ingrate, et misérable!
Vn repentir ſuiura ton fait damnable.	Un repentir suivra ton fait damnable.
Philiris.	Philiris.
Eſcoute donc:	Écoute donc:
la belle Lycoris Dont àgrand tort les beauteZ tu cheris, Ne t’ayme point:	la belle Lycoris Dont àgrand tort les beautés tu chéris, Ne t'aime point:
& ſçachant la rebelle Que Pan deuoit vuider cette querelle, Et redoutant, comme veut toute loy, Que la Sentence inclineroit pour toy, Elle a loüé pour t’arracher la vie, out qu’on dit vn Bouuier d’Arcadie:	et sachant la rebelle Que Pan devait vider cette querelle, Et redoutant, comme veut toute loi, Que la Sentence inclinerait pour toi, Elle a loué pour t'arracher la vie, out qu'on dit un Bouer d'Arcadie:
Donne i’en garde, & du logis ne parts Sans estre armé de carquois & de dards.	Donne j'en garde, et du logis ne parts Sans être armé de carquois et de dards.
Doralis.	Doralis.
Ie ne ſçay pas:	Je ne sais pas:
elle eſt fort inhumaine, Mes feux ardans vont reglaceant ſa haine:	elle est fort inhumaine, Mes feux ardans vont réglaceant sa haine:
Mais toutesfois te penſe que fontun Iuſqu'a ma mort n’a monſtré ſa rigueur.	Mais toutefois te pense que fontun Jusqu'a ma mort n'a montré sa rigueur.
Qu’il ſoit ou non, ie n’en répans des larmes C’eſt mon deſir que mourir de ſes armes.	Qu'il soit ou non, je n'en répans des larmes C'est mon désir que mourir de ses armes.
Phil is.	Phil is.
Fol inſenſé, conſerue tes beaux iour!	Fol insensé, conserve tes beaux jour!
Trop toſt pour toy s'en dois finir le cours.	Trop tôt pour toi s'en dois finir le cours.
Doralis.	Doralis.
Las que dis-tu?	Las que dis-tu?
tu te trompes Bergere!	tu te trompes Bergère!
» Il n’eſt au monde vne telle miſere 3 Que de traiſner nos miſerables ans, Quand les ennuis les rendent mal plaiſans!	" Il n'est au monde une telle misère 3 Que de traîner nos misérables ans, Quand les ennuis les rendent mal plaisants!
Cel uy qui vogue au milieu de l’orage, Sans eſperer de port, ny de riuage, N’a pas grand ſoin ſi le premier rocher Briſe ſa nef, & meurtrit le nocher:	Cel ui qui vogue au milieu de l'orage, Sans espérer de port, toujours de rivage, N'a pas grand soin si le premier rocher Brise sa nef, et meurtrit le nocher:
„, Qui doit perir ſans tarder d'auantage „ Peut ſans peché deſirer vn naufrage.	„, Qui doit périr sans tarder d'avantage „ Peut sans péché des un naufrage.
Philiris.	Philiris.
Quand tu voudrois le tombeau rechercher, C’eſt mon deuoir que de t’en empeſcher, Et ne dois pas t’offenſer à perſonne, De ceſt aduis qu’à preſent ie te donne.	Quand tu voudrais le tombeau rechercher, C'est mon devoir que de t'en empêcher, Et ne dois pas t'offenser à personne, De cette avis qu'à présent assez te donne.
Mais auec toy ie tarde vn peu beaucoup, Mes brebis ſont à la mercy du loup, Ce temps pendant que ie m’en viens te dire Qu'vn autre loup pour queſte te deſire:	Mais avec toi quelque tarde un peu beaucoup, Mes brebis sont à la merci du loup, Ce temps pendant que ie que quelque viens te dire Qu'un autre loup pour quête te désire:
Et n’ay pas craint ſeullette à m’égarer Dedans ce bois, pour te le declarer, Adieu Paſteur!	Et n'ai pas craint seullette à m'égarer Dedans ce bois, pour te le déclarer, Adieu Pasteur!
Doralis.	Doralis.
Adieu belle Ber gere!	Adieu belle Ber gère!
Bien que la mort ſoit le bien que i’eſpere, Comme la fin de mon cruel tourment:	Bien que la mort soit le bien que j'espère, Comme la fin de mon cruel tourment:
I’eſtime fort ton aduertiſſement.	J'estime fort ton avertissement.
Paitorale, Ne laiſſons pas de repoſer encore Sur le tapis de la mignarde Flore, Et puis apres par ces ſauuages lieux Nous pourſuiurons les Sangliers furieux, 119 Ies Daims craintifs, & les Biches legeres, Chaſſe ordinaire aux Nymphes boccageres.	Paitorale, Ne laissons pas de reposer encore Sur le tapis de la mignarde Flore, Et puis après par ces sauvages lieux Nous poursuivrez les Sangliers furieux, 119 Jes Daims craintifs, et les Biches légères, Chasse ordinaire aux Nymphes boccagères.
Mes compagnons au fond de ces foreſts Ont beau garder nos Panneaux, & nos Rets;	Mes compagnons au fond de ces forêts Ont beau garder nos Panneaux, et nos Rets;
Que le repos nous ſoit choſe commune:	Que le repos nous soit chose commune:
Purant le chaud la chaſſe eſt importune.	Purant le chaud la chasse est importune.
Mais ie reuiens à ce mauuais deſſain, Que Lycoris à mis dedans ſon ſein!	Mais ici reviens à ce mauvais dessain, Que Lycoris à mis dedans son sein!
Si doux, & beau, cache vn cœur ſi ſauuage!	Si doux, et beau, cache un cœur si sauvage!
Ie me repens de la faire traicter Par deuant Pan:	Je me repends de la faire traicter Par devant Pan:
ce n’eſt que l’irriter:	ce n'est que l'irriter:
Car außi bien malgré toute contrainte, De ſon vouloir deſpend ſon amour ſainte.	Car aussi bien malgré toute contrainte, De son vouloir dépend son amour sainte.
Mais que mon cœur ſans eſpoir de ſecours, Soit tourmenté le reſte de mes iours, Et que la mort guerdonne ma pourſuitte, Auant qu’on force & qu’on la rende induite A m’eſpouſer:	Mais que mon cœur sans espoir de secours, Soit tourmenté le reste de mes jours, Et que la mort guerdonne ma poursuite, Avant qu'on force et qu'on la rende induite À m'épouser:
ſon repos m’eſt trop cher:	son repos m'est trop cher:
I’ayme bien mieux mourir que la faſcher.	J'aime bien mieux mourir que la fâcher.
I’iray pourtant en ceſte creuſe Roche, Où le Dieu Pan au pied Boucquin et croche, Au front cornu, fait auiourd’huy ſeiour, 118 1 Berger Inconneu, Pour voir iuger de mon fidelle Amour.	J'irai pourtant en cette creuse Roche, Où le Dieu Pan au pied Boucquin et croche, Au front cornu, fait aujourd'hui seiour, 118 1 Berger Inconnu, Pour voir juger de mon fidèle Amour.
Ie ne veux pas auoir autre reſuge Que Lycoris:	Je ne veux pas avoir autre résuge Que Lycoris:
c’eſt mon ſouuerain Iuge.	c'est mon souverain Juge.
SCENE SECONDE DV QVATRIESME ACTE.	SCÈNE SECONDE DU QUATRIÈME ACTE.
Arcadin.	Arcadin.
Doralis.	Doralis.
Arcadin.	Arcadin.
E n’en puis plus:	E n'en puis plus:
ie ſuis las de cercher:	Il suis las de cercher:
Que faire mal, eſt vn trauail bien chere Voicy pourtant la retraicte plus ſombre, Où ie l’ay veu ſe repoſer à l’ombre, Quand la chaleur le faiſant degouter, Sous ces fouteaux le ſembloit inuiter.	Que faire mal, est un travail bien chère Voici pourtant la retraite plus sombre, Où je l'ai vu se reposer à l'ombre, Quand la chaleur le faisant dégoûter, Sous ces fouteaux le semblait inviter.
Qu'il fuſt icy!	Qu'il fût ici!
la place eſt eſcartée!	la place est écartée!
I’aurois bien toſt ma charge executée Sa mort ſeroit inconneuë aux humains Et dans ſon ſang i’aurois trempé mes mains.	J'aurais bien tôt ma charge exécutée Sa mort serait inconnue aux humains Et dans son sang j'aurais trempé mes mains.
Hél le voicy!	Hél le voici!
r’encontre fortunée!	rencontre fortunée!
Dieu comme il dort!	Dieu comme il dort!
ſa noire deſtinée Me l’a liuré!	sa noire destinée Me l'a livré!
ie veux aller tout beau, Pour luy lier les bras de ce cordeau:	Ne veux aller tout beau, Pour mou lier les bras de ce cordeau:
Ses mains ſont bien;	Ses mains sont bien;
mais depéchons nous viſte, ljons ſespieaspour enspeſener ſa jaires.	mais depéchons nous vite, lions sespieaspour enspesener sa jaires.
Doralis.	Doralis.
Que veux-tu faire ô ruſticque villain?	Que veux-tu faire ô rusticque villain?
Que t’ay-ie fait ô Bouuier inhumain, Pour me lier pieds & mains, en la ſorte?	Que t'ai-je fait ô Bouvier inhumain, Pour me lier pieds et mains, en la sorte?
Veux-tu-tuer vne perſonne morte?	Veux-tu-tuer une personne morte?
Es-tu volleur?	Es-tu volleur?
vas-tu donc meurtriſſant Les Paſtoureaux, où le premier paſſant?	vas-tu donc meurtrissant Les Pastoureaux, où le premier passant?
Si c’eſt argent que de moy tu demandes, Ie n’en ay point, mes aux prochaines Landes Vn gras troupeau pour moy ſe va paiſſant, Tu peux aller le meilleur choiſiſſant:	Si c'est argent que de moi tu demandes, Je n'en ai point, mes aux prochaines Landes Ven gras troupeau pour moi se va paissant, Tu peux aller le meilleur choisissant:
Mais las pour Dieu!	Mais las pour Dieu!
que ton bras ne m’offence!	que ton bras ne m'offense!
Tu n’en aurois honneur, n’y recompenſe.	Tu n'en aurais honneur, n'y récompense.
Il eſt vn Dieu pour punir nos forfaits!	Il est un Dieu pour punir nos forfaits!
Songe vn petit à cela que tufaits.	Songe un petit à cela que tufaits.
Arcadin.	Arcadin.
Tout eſt ſongé!	Tout est songé!
n’en ais point l’ame eſmeuë?	n'en ais point l'âme émue?
A ton treſpas mon ame eſt reſoluë.	À ton trépas mon âme est résolue.
Et tous les Dieux ne m’empeſcheront point, Ny tesclemeurs, d’en venir à ce point.	Et tous les Dieux ne m'empêcheront point, Ni tesclemeurs, d'en venir à ce point.
Tu peux penſer, ſi tu n’as la folïe Dans le cerueau, qu’en vain ie ne te lie;	Tu peux penser, si tu n'as la folaie Dans le cerveau, qu'en vain ie ne te lie;
