Le tout enrichy de pluſieurs belles remarques, mumunerans;	Le tout enrichi de plusieurs belles remarques, mumunérants;
Et ſi vous eſtes reſolu d’entretenir voſtre maiſtreſſe i’ay deliberé defaire certaines careſſes à la mienne, qui ne ſeront de refus, ſi tel eſt ſon plaiſir.	Et si vous êtes résolu d'entretenir votre maîtresse j'ai délibéré défaire certaines caresses à la mienne, qui ne seront de refus, si tel est son plaisir.
Toutes- fois ie belle peur qu’il n’en ſera rien de ſon coſté, car elle faict aſſez la ſuccree, & d’ailleurs il me facheroit vn peu qu’elle priat de mon honneur, ſans ſçauoir pourquoy,	Toutes- fois ie belle peur qu'il n'en sera rien de son côté, car elle fait assez la sucre, et d'ailleurs il me fâcherait un peu qu'elle priât de mon honneur, sans savoir pourquoi,
DEM.	DEM.
Il n’eſt pas queſtion de tous cesvieuxcõptes.	Il n'est pas question de tous cesvieuxcõptes.
qui te ſont ordinaires que maintenãt tu vois que le temps de partir:	qui te sont ordinaires que maintenant tu vois que le temps de partir:
me preſſe.	me presse.
A Dieu Moroſophe, ſuy moy ſi tu veux, ie m’en vay:	À Dieu Morosophe, suis -moi si tu veux, Elle m'en vais:
car Tuj touſiours ouy dire, Que les occaſions d’Amour ne peuuẽt poinct ſouffrir de delay	car Tuj toujours ouï dire, Que les occasions d'Amour ne peuvent point souffrir de délai
SCENE.	SCÈNE.
III.	III.
ARONTHE, ET PIRANDRE	ARONTHÉ, ET PIRANDRE
ARONTHE.	ARONTHÉ.
Ertes ie ne puis croire que le Genie qui Clie nos volontez d’vn meſme nœud d’amitié n’ait guidé tes pas iuſques icy pour faire plus ſoudainement reüſſir le deſſain que i’auois deſia fait de t’aller cercher.	Ertes ici ne puis croire que le Génie qui Clie nos volontés d'une seule nœud d'amitié n'ait guidé tes pas jusques ici pour faire plus soudainement réussir le déjà que auois desya fait de t'aller cercher.
Tu ſçais que ie t’auois promis de ne tarder gueres à te venir retreuuer.	Tu sais que personne t'avais promis de ne tarder guère à te venir retrouver.
Mais ie te raconteray l’empechemẽt qui m’eſt ſuruenu depuis, s’il te plaiſt auparauãt de me dire ſi tu n’as point veu ta belle Oreade?	Mais ie te raconterai l'empêchement qui m'est survenu depuis, s'il te plaît auparavant de me dire si tu n'as point vu ta belle Oreade?
l enalilvs Ouy de vray, ie l’ay veüe, & outre la bõne reception que i’en ay receüe, elle m’a permis encore de l’entretenir aſſez long temps de diſcours.	l' enalilvs Encore de vrai, je l'ai vue, et outre la tempête réception que j'en ai reçue, elle m'a permis encore de l'entretenir assez long temps de ours.
1	1
ARON.	ARON.
Il m’en eſt preſque aduenu de meſme:	Il m'en est presque avenu de même:
car comme i’eſtois ſur mon depart pour t’aller treuuer treuuer i’ay faict rencontre d’vne fort belle Nymphe, de qui la grace & l’agreable entretien m’ont tellement pleu, qu’ils m’ont faict perdre le ſouuenir de t’aller retreuuer.	car comme j'étais sur mon départ pour t'aller treuuer treuuer j'ai fait rencontre d'une fort belle Nymphe, de qui la grâce et l'agréable entretien m'ont tellement pleu, qu'ils m'ont fait perdre le souvenir de t'aller retrouver.
PIRAN.	PIRAN.
Vrayement i’auois beau t’attendre.	Vraiment j'avais beau t'attendre.
Vne autre fois ie n’en feray pas de meſme.	Une autre fois je n'en ferai pas de même.
Mais dy moy quelle Nymphe as-tu donc treuué qui t’a fait manquer de parole, contre la foy que tu m’auois donnee de reuenir?	Mais dis -moi quelle Nymphe as-tu donc trouvé qui t'a fait manquer de parole, contre la foi que tu m'avais donnée de revenir?
ARON.	ARON.
C'eit imouice, rvne des Nvymphes de la belle Oreade, & la fidelle compagne de Cleanthe.	C'éit imouice, ruine des Névymphes de la belle Oreade, et la fidèle compagne de Cléanthe.
PIRAN.	PIRAN.
Ie ne le penſe pas pourtant, car elle n’a pas accouſtumé d’aller ſeule.	Je ne le pense pas pourtant, car elle n'a pas accoutumé d'aller seule.
ARON.	ARON.
C’eſt elle meſme pourtant à qui i’ay parle.	C'est elle -elle pourtant à qui j'ai parle.
PIRAN.	PIRAN.
Quels diſcours auez-vous eu enſemble, Ne s’eſt il rien paſſé de nouueau?	Quels discours avez-vous eu ensemble, Ne s'est il rien passé de nouveau?
ARON.	ARON.
La nouueauté qui s’eſt enſuiuie de cette rencontre n'ert autre, ſon qu’elle m’a rendu ſon vaincu, n’vſant point d’autre artifice que celuy de ſa veuë, de ſorte que i’en ſuis à preſent extremement amoureux.	La nouveauté qui s'est ensuivie de cette rencontre n'ert autre, son qu'elle m'a rendu son vaincu, n'usant point d'autre artifice que celui de sa vue, de sorte que j'en suis à présent extrêmement amoureux.
PIRAN.	PIRAN.
Te mocques-tu, Aronthe, ou ſi ton interieur penſe tout autrement que tu ne dis de bouche.	Te moques-tu, Aronthe, ou si ton intérieur pense tout autrement que tu ne dis de bouche.
ARON.	ARON.
Mes actions ne furent iamais deguiſees.	Mes actions ne furent jamais déguisées.
Que ſi tu le veux encore ſçauoir, ie te dis de rechef, Que depuis vne heure en cà, ie me ſuis laiſſé gaigner à l’amour de Philodice, laquelle ie Veux leruir deſormais.	Que si tu le veux encore savoir, je te dis de rêches, Que depuis quelque heure en cet, sans me suis laissé gagner à l'amour de Philodice, laquelle avait Veux lervir désormais.
PIRAN.	PIRAN.
Quej.	Quej.
ouureu tu bien quiter Cleanthe qui t’a la premiere fait ſentir les douces bleſſures d’Amour	ouvre tu bien quit Cléanthe qui t'a la première fait sentir les douces blessures d'Amour
ARON.	ARON.
Pourquoy non ſi mes vœux treuuent vne autre Deeſſe qui les exauce?	Pourquoi non si mes vœux trouvent une autre Déesse qui les exauce?
PIRAN.	PIRAN.
Mais que dira-t'elle de toy?	Mais que dira-t'-elle de toi?
Ne te reprochera-t’elle point ton humeur volage?	Ne te reprochera-t-elle point ton humeur volage?
ARON.	ARON.
Et moy ne la diray-ie pas atteinte & conuaincüe d’ingratitude den’auoir iamais voulu conſentir à m’aimer, moy diſ-ie qui l’ay cy-deuant recerchee auec tant de fidelité?	Et moi ne la dirai-je pas atteinte et conuaincüe d'ingratitude d'avoir jamais voulu consentir à m'aimer, moi dis-je qui l'ai cy-deuant recerchee ue tant de fidélité?
PIRAN.	PIRAN.
Comment peux-tu iuger ſi elle t’ayme ou non?	Comment peux-tu juger si elle t'aime ou non?
poſſible qu’elle a plus d’affection pour toy que tu ne t’imagines par des impreſſions qui peuuent bien eſtre fauſſes.	possible qu'elle a plus d'affection pour toi que tu ne t'imagines par des impressions qui peuvent bien être fausses.
ARON.	ARON.
Il faudroit eſtre bien inſenſible pour ne cognoiſtre pas ſon humeur portee au dedain.	Il faudrait être bien insensible pour ne connaître pas son humeur portée au dédain.
C’eſt vne choſe ſi claire qu’vn aueugle meſme la verro, t en pleine nuict.	C'est assez chose si claire qu'un aveugle même la verro, en pleine nuit.
Que s’il eſt queſtion de le c’onfirmer par l’eſpreuuez Dy moy ie te prie ſi quelqu’vn ayme ne teſmoigne t’il point, à ſon amy les chetis de ſon amitié, s’il en eſt requis?	Que s'il est question de le c'onfirmer par l'espreuuez Dy mo ie te prie si quelqu'un aime ne témoigne t'il point, à son ami les chétis de son amitié, s'il en est requis?
l llenle Il n’en faut pas douter.	l' enle Il n'en faut pas douter.
ARON.	ARON.
Or eſt il qu’eſtant amy de Cleanthe, ie l’ay pluſieurs fois priee de me donner quelque indice de ſon amour, ce qu’elle m’a refuſé, par où ie concluds qu’elle ne m’aime donc point.	Or est il qu'étant ami de Cléanthe, Elle l'ai plusieurs fois prie de me donner quelque indice de son amour, ce qu'elle m'a refusé, par où grande concluds qu'elle ne m'aime donc point.
PIRAN.	PIRAN.
Ce n’eſt pas le tout, Aronthe, il faut voir quel teſmoignage de ſon amour tu luy peux auoir demandé, catij a queiques-vns que la bien ſeance defend de donner, & qui rendent coulpables d’inciuilité ceux qui les recerchent.	Ce n'est pas le tout, Aronthe, il faut voir quel témoignage de son amour tu sens peux avoir demandé, catij à queiques-uns que la bien séance défend de donner, et qui rendent coulpables d'incivilité ceux qui les remerchent.
ARON.	ARON.
Ie ne l’ay iamais importunee d’autre choſe, ſinon qu’elle euſt à m’aymer d’vne affection reciproque à la mienne, & auec intention de m’auoir pour mary.	Je ne l'ai jamais importunée d'autre chose, sinon qu'elle eût à m'aimer d'une affection reciproque à la mienne, et avec intention de m'avoir pour mari.
PIRAN.	PIRAN.
I’appreuue fort ton deſſain, & ce teſmoignage me ſemble louable.	J'approuve fort ton dessain, et ce témoignage me semble louable.
Mais encore ne dois-tu pas la quitter à mon aduis, pour n’auoir d’abort ſatisfait à tes vœux.	Mais encore ne dois-tu pas la quitter à mon avis, pour n'avoir d'abort satisfait à tes vœux.
Car pour en parler franchement, ie ne treuue pas mauuais, que les filles ſoient long temps à recognoiſtre l’humeur de ceux qui ſe 210 ſe diſent leurs ſeruiteurs, auant que leur monſtrer par eſpreuue leur affection.	Car pour en parler franchement, je ne trouve pas mauvais, que les filles soient long temps à reconnaître l'humeur de ceux qui se 210 se disent leurs serviteurs, avant que leur montrer par espreuue leur affection.
Ne ſçais-tu pas bien toy-meſme qu’au temps où nous ſommes il ſe treuue tant de diſcoureurs qui feignent d’aymer, & le confirment par les pariures ſerments, que les filles ſont par maniere de dire obligees de tourner leur naturel amoureux au dedain, de peur d’eſtre deceuës?	Ne sçais-tu pas bien toi-même qu'au temps où nous sommes il se trouve tant de discoureurs qui feignent d'aimer, et le confirment par les pariures serments, que les filles sont par manière de dire obliges de tourner leur naturel amoureux au dédain, de peur d'être déçues?
ARON.	ARON.
Ie t’aduouë que les filles doiuent eſpreuuer leurs Amãts, auant que leur teſmoigner, de l’affection, mais auſſi depuis que l’amour ioinct à la conſtance leur eſt vne fois manifeſte, ne ſont elles pas obligees de les aimer?	Je t'avoue que les filles doivent espreuuer leurs Amants, avant que leur témoigner, de l'affection, mais aussi depuis que l'amour joint à la constance leur est une fois manifeste, ne sont elles pas obligées de les aimer?
Ouy de vray, ſoubs peine d’eſtre conuaincues d’ingratitude.	Oui de vrai, sous peine d'être convaincues d'ingratitude.
Que ſi l’on voit qu’elles ſoient ingrattes, il les faut quitter là, & n’y perdre ſon temps, non plus qu’à lauer la face d’vn More.	Que si l'on voit qu'elles soient ingrattes, il les faut quitter là, et n'y perdre son temps, non plus qu'à laver la face d'Hon Ore.
Ainſi voyons nous que le prudẽt boureur quitte vne terre ſterile apres que l’experience luy a monſtré qu’elle n’eſt aucunement propr e à porter du bled De cette meſme maniere iugeant bien aux façons de rdire de Cleãthe que ſon humeur n’eſt point portee à l’Amour, ie la laiſſe là comme vne terre ſterile, auec deſſain d’aimer Philodice, de qui i’attens beaucoup plus de fruict que d’elle.	Ainsi voyons nous que le prudent boureur quitte une terre stérile après que l'expérience lui a montré qu'elle n'est aucunement propr ès à porter du bled De cette même manière jugeant bien aux façons de rire de Cleãthe que son humeur auest point portée ç l'Amour, une la isse là comme une terre stérile, était dess d'aimer Philodice, de qui j'attends beaucoup plus de fruit que d'elle.
PIRAN.	PIRAN.
Croy moy, cher Aronthe, ne quitte point ſi facilement la belle Cleanthe, ains continuë touſiours à l’aymer, te reſouuenant que l’acquiſition des biens eſt de ſoy-meſme penible.	Crois -moi, cher Aronthe, ne quitte point si facilement la belle Cléanthe, ains continue toujours à l'aimer, te resouuenant que l'acquisition des biens est de soi-même pénible.
Il ne faut qu’vn ſeul moment pour luy faire changer d’opoſition, & l’induire à t’aimer;	Il ne faut qu'un seul moment pour lui faire changer d'opposition, et l'induire à t'aimer;
puis, tu n’ignores pas qu’vne longue patience nous ramene auec le temps ce que nous auons longuement attendu.	puis, tu n'ignores pas qu'une longue patience nous ramène avec le temps ce que nous avons longuement attendu.
Et d’autant que tu t’es n’agueres ſerui de la comparaiſon du laboureur à ſon des aduantage, i’en veux vſer auſſi contre toy pour elle ne m’aduoüeras tu pas qu’il n’eſt point de ſi mauuaiſe terre, qui n’apporte en fin quelque fruit au laboureur eſtant ſoigneuſemẽt cultiuée?	Et d'autant que tu t'es n'aguères servi de la comparaison du laboureur à son des avantage, j'en veux user aussi contre toi pour elle ne m'avoueras tu pas qu'il n'est point de si mauvaise terre, qui n'apporte en fin quelque fruit au laboureur étant soigneusema cultivée?
Que ſi l’experience nous apprend cette verité, ne t’ennuye iamais d’aimer la belle Cleanthe, & t’aſſeure qu’elle ſeroit faſchee d’auoir contredit à ton affection.	Que si l'expérience nous apprend cette vérité, ne t'ennuie jamais d'aimer la belle Cléanthe, et t'assure qu'elle serait fâchée d'avoir contredit à ton affection.
Et pour mieux t’affermir en cette creance, ie te diray que ſi chacun de nousa laiis exception cette faculté naturelle d’aimer, il s’enſuit neceſſairement qu’elle aimera, car il n’ya point de cauſe ſans effect.	Et pour mieux t'affermir en cette créance, Elle te dirai que si chacun de nous laiis exception cette faculté naturelle d'aimer, il s'ensuit nécessairement qu'elle aimera, car il n'ya point de cause sans effet.
ANON.	ÂNON.
Elle aymera, dis tu;	Elle aimera, dis -tu;
ie le croy:	ie Le crois:
mais cela ne ſuffit pas.	mais cela ne suffit pas.
Ie deſirerois ſçauoir dans quel temps, & quelle perſonne?	Je désirerais savoir dans quel temps, et quelle personne?
LIRAIV.	LIRAIV.
De limiter le tẽps de ſon affection ce m’eſt vne choſe impoſſible;	De limiter le temps de son affection ce m'est un chose impossible;
car ie ne ſçay pas l’art de la Sybile Cumee.	car Ne ne sais pas l'art de la Sybile Cumée.
Quant à la perſonne ſe ſera toyſãs doute, s’il eſt ainſi que tu l’aimes.	Quant à la personne se sera toysãs doute, s'il est ainsi que tu l'aimes.
ARON.	ARON.
Ta coniecture eſt pourtant bien incertaine, Pyrandre, ſi tu viens à conſiderer qu’en matiere d’Amour il aduient ſouuent qu’apres que nous auons pris beaucoup de peine à ſemer, vn autre en recueille le fruit.	Ta coniecture est pourtant bien incertaine, Pyrandre, si tu viens à considérer qu'en matière d'Amour il advient souvent qu'après que nous avons pris beaucoup de peine à semer, un autre en recueille le fruit.
