AVEC PRIVILEGE DU ROY.	AVEC PRIVILÈGE DU ROY.
Je ſuis celle qu’il aime, au moins.	Je suis celle qu'il aime, au moins.
MATHURINE	MATHURINE
MATHURINE.	MATHURINE.
C eſt moy qu’Il épouſera.	Ç est moi qu'Il épousera.
SGANARELLE.	SGANARELLE.
Ah, pauvres filles que vous eſtes, j’ay pitié de voſtre innocence, & je ne puis ſouffrir de vous voir courir à voſtre malheur.	Ah, pauvres filles que vous êtes, j'ai pitié de votre innocence, et je ne puis souffrir de vous voir courir à votre malheur.
Croyez-moy l’une & l’autre, ne vous amuſez point à tous les contes qu’on vous fait, & demeurez dans voſtre village.	Croyez-moi l'une et l'autre, ne vous amusez point à tous les contes qu'on vous fait, et demeurez dans votre village.
D.	D.
JUAN revenant.	JUAN revenant.
Je voudrois bien ſçavoir pourquoy Sganarelle ne me ſuit pas.	Je voudrais bien savoir pourquoi Séganarelle ne me suit pas.
SGANARELLE.	SGANARELLE.
Mon Maître eſt un fourbe, il n’a deſſein que de vous abuſer, & en a bien abuſé d’autres, c’eſt I’Epouſeur du genre humain, &.	Mon Maître est un fourbe, il n'a dessein que de vous abuser, et en a bien abusé d'autres, c'est J'Épouseur du genre humain, et.
il apperçoit D.	il aperçoit D.
Juan) cela eſt faux, & quiconque vous dira celay vous luy devez dire qu’il en a menty.	Juan) cela est faux, et quiconque vous dira celai vous lui devez dire qu'il en a menti.
Mon Maître n’eſt point l’Epouſeur du genre humam, iirert pome lourbe, il n’a pas deſſein de vous tromper, & n’en a point abuſé d’autres.	Mon Maître n'est point l'Épouseur du genre humam, jirert pome lourbe, il n'a pas dessein de vous tromper, et n'en a point abusé d'autres.
mn, tener, le vona, demandez-le plutoſt à luymeſme.	mn, tener, le vona, demandez-le plutôt à luymesme.
Oüy.	Oui.
D.	D.
JUAN.	JUAN.
SGANARELLE.	SGANARELLE.
Monſieur, comme le monde eſt plein de médilaus, je vais au devant des choſes, & je leur diſois que ſi quelqu’un leur venoit dire du mal de vous, eſles ſe gardaſſent bien de le croire, & ne manquaſſent pas de luy dire qu’il en auroit menty.	Monsieur, comme le monde est plein de médilaus, je vais au devant des choses, et je leur disais que si quelqu'un leur venait dire du mal de vous, éles se gardassent bien de le croire, et ne manquassent pas de lui dire qu'il en aurait menti.
Sganarelle.	Séganarelle.
D.	D.
JUAN.	JUAN.
SGANARELLE.	SGANARELLE.
Oüy, Monſieur eſt homme d’honneur, je le garantis tel	Oui, Monsieur est homme d'honneur, je le garantis tel
Hon.	Hon.
D.	D.
JUAN.	JUAN.
SGANARELLE.	SGANARELLE.
Ce ſont des impertinens.	Ce sont des impertinents.
SCENE CINQUIESME.	SCÈNE CINQUIÈME.
D.	D.
JUAN, LA RAME'E, CHARLOTE, MATHURINE, SGANARELLE.	JUAN, LA RAME, CHARLOTE, MATHURINE, SGANARELLLE.
LA RAME’E.	LA RAME'E.
Onſieur, je viens vous avertir qu’il ne fait ITpas bon icy pour vous.	Onsieur, je viens vous avertir qu'il ne fait ITas bon ici pour vous.
Comment?	Comment?
D.	D.
JUAN.	JUAN.
LA RAME’E.	LA RAME'E.
Douze hommes à cheval vous cherchent, qui doivent arriver icy dans un moment, je ne ſçay pas par quel moyen ils peuvent vous avoir ſuivi, mais j’ay appris cette nouvelle d’un Païſan qu’ils ont interrogé, & auquel ils vous ont dépeint.	Douze hommes à cheval vous cherchent, qui doivent arriver ici dans un moment, je ne sais pas par quel moyen ils peuvent vous avoir suivi, mais j'ai appris cette nouvelle d'un Paysan qu'ils ont interrogé, et auquel ils vous ont dépeint.
L’affaire preſſe, & le plûtoſt que vous pourrez ſortir d’icy, ſera le meilleur.	L'affaire presse, et le plutôt que vous pourrez sortir d'ici, sera le meilleur.
D.	D.
JUAN à Charlote & Mathurine.	JUAN à Charlote et Mathurine.
Une affaire preſſante m’oblige de partir d’icy, mais je vous prie de vous reſſouvenir de la parole que je vous ay donnée, & de croire que vous aurez de mes nouvelles avant qu’il ſoit demain au ſoir.	Une affaire pressante m'oblige de partir d'ici, mais je vous prie de vous ressouvenir de la parole que je vous ai donnée, et de croire que vous aurez de mes nouvelles avant qu'il soit demain au soir.
Comme la partie n’eſt pas égale, il faut uſer de ſtratageme, & éluder adroitement le malheur qui me cherche, je veux que Sganarelle Ie reveite de mes habits, & moy.	Comme la partie n'est pas égale, il faut user de stratagème, et éluder adroitement le malheur qui me cherche, je veux que Séganarelle Je réveite de mes habits, et moi.
SGANARELLE.	SGANARELLE.
Monſieur, vous vous moquez;	Monsieur, vous vous moquez;
m'expoſer à eſtre tué ſous vos habits, &.	m'exposer à être tué sous vos habits, et.
JUAN.	JUAN.
Allons viſte, c’eſt trop d’honneur que je vous lais, e prei-neureux eſt le vaſet qui peut avoir la gloire de mourir pour ſon Maître.	Allons vite, c'est trop d'honneur que je vous lais, e preyuneureux est le vaset qui peut avoir la gloire de mourir pour son Maître.
SGANARELLE.	SGANARELLE.
Je vous remercie d’un tel honnétir?	Je vous remercie d'un tel honnêtir?
6 Ciel.	6 Ciel.
puis qu’il s’agit de mort, fait-moy la grace de n’eſtre point pris pour un autre.	puis qu'il s'agit de mort, fait-moi la grâce de n'être point pris pour un autre.
Fin du ſecond Acte.	Fin du second Acte.
ACTE III.	ACTE III.
1  SCENE PREMIERE.	1 SCÈNE PREMIÈRE.
L.	L.
IVAN en navit at tampazne.	IVAN en navit at tampazne.
SGANARELLE en Medecin.	SGANARELLE en Médecin.
SGANARELLE.	SGANARELLE.
A foy, Monſieur, avoüez que j’ay eu raiſon, & que nous voila l’un & l’autre déguiſez à merveille.	À foi, Monsieur, avouez que j'ai eu raison, et que nous voilà l'un et l'autre déguisez à merveille.
Voſtre premier denein nentoit point du tout à propos, & cecy nous cache bien mieux que tout ce que vous vouliez faire.	Votre premier dènein nentait point du tout à propos, et ceci nous cache bien mieux que tout ce que vous vouliez faire.
D.	D.
JUAN.	JUAN.
Il eſt vray, que te voila bien, & je ne ſçay où tu as eſté déterrer cét attirail ridicule.	Il est vrai, que te voilà bien, et je ne sais où tu as été déterrer cet attirail ridicule.
SGANARELLE.	SGANARELLE.
Oüy?	Oui?
c’eſt l’habit d’un vieux Medecin qui a eſté laiſſé en gage au lieu où je l’ay pris, & il m’en a coûté de l’argent pour l’avoir.	c'est l'habit d'un vieux Médecin qui a été laissé en gage au lieu où je l'ai pris, et il m'en a coûté de l'argent pour l'avoir.
Mais ſçavezvous, Monſieur, que cét habit me met déja en conſideration?	Mais ainsi, Monsieur, que cet habit me met déjà en considération?
que je ſuis ſalué des gens que je rencontre, & que l’on me vient conſulter ainſi qu’un habile homme?	que je suis salué des gens que je rencontre, et que l'on me vient consulter ainsi qu'un habile homme?
D.	D.
JUAN.	JUAN.
Comment donc?	Comment donc?
SGANARELLE.	SGANARELLE.
Cinq ou ſix Païſans & Païſanes en me voyant paſſer me ſont venus demander mon avis ſur differentes maladies.	Cinq ou six Païsans et Paysanes en me voyant passer me sont venus demander mon avis sur différentes maladies.
D.	D.
JUAN.	JUAN.
Tu leur as répondu que tu n’y entendois rien?	Tu leur as répondu que tu n'y entendais rien?
SGANARELLE.	SGANARELLE.
Moy point du tout, j’ay voulu ſoûtenir l’honneur de mon habit, j’ay raiſonné ſur le mal, & leur ay fait des ordonnances à chacun.	Moi point du tout, j'ai voulu soutenir l'honneur de mon habit, j'ai raisonné sur le mal, et leur ai fait des ordonnances à chacun.
D.	D.
JUAN.	JUAN.
Et quels remedes encore leur as-tu ordonnez?	Et quels remèdes encore leur as-tu ordonnés?
SGANARELLE.	SGANARELLE.
Ma foy, Monſieur, j’en ay pris par où j’en ay pû attraper, j’ay rait mes ordonnances à l’avanture.	Ma foi, Monsieur, j'en ai pris par où j'en ai pu attraper, j'ai rait mes ordonnances à l'aventure.
& ce ſeroit une choſe plaiſante ſi les malades guériſſoient, & qu’on m’en vinſt remercier.	et ce serait une chose plaisante si les malades guérissaient, et qu'on m'en vinst remercier.
D.	D.
JUAN.	JUAN.
Et pourquoy non?	Et pourquoi non?
par quelle raiſon n’aurois- tu pas les meſmes privileges qu’ont tous les autres Medecins?	par quelle raison n'aurais- tu pas les mêmes privilèges qu'ont tous les autres Mèdecins?
ils n’ont pas plus de part que toy aux guériſons des malades, & tout leur art eſt pure grimace.	ils n'ont pas plus de part que toi aux guérisons des malades, et tout leur art est pure grimace.
Ils ne font rien que recevoir la gloire des heureux ſuccez, & tu peux profiter comme eux du bon-heur du malade, & voir atmiouer à tes remedes tout ee qui peut vehir des faveurs du hazard, & des forces de la nature.	Ils ne font rien que recevoir la gloire des heureux succès, et tu peux profiter comme eux du bonheur du malade, et voir atmiouer à tes remèdes tout ce qui peut véhir des faveurs du hasard, et des forces de la nature.
SGANARELLE.	SGANARELLE.
Comment, Monſſeur, vous eſtes auſſi impie en Medecine?	Comment, Monsieur, vous êtes aussi impie en Médecine?
D.	D.
JUAN.	JUAN.
C’eſt une des grandes erreurs qui ſoit parmy les hommes.	C'est une des grandes erreurs qui soit parmi les hommes.
SGANARELLE.	SGANARELLE.
Quoy, vous ne croyez pas au ſené, ny à la caſſe, ny au vin hemetique?	Quoi, vous ne croyez pas au sené, ni à la casse, ni au vin hémétique?
D.	D.
JUAN.	JUAN.
Et pourquoy veux-tu que j’y croye?	Et pourquoi veux-tu que j'y croie?
SGANARELLE.	SGANARELLE.
Vous avez l’ame bien mécreante.	Vous avez l'âme bien mécreante.
Cependant vous voyez depuis un temps que le vin hemetique fait bruire ſes fuſeaux.	Cependant vous voyez depuis un temps que le vin hémétique fait bruire ses fuseaux.
Les miracles ont converty les plus incredules eſprits, & il n’y a pas trois ſemaines que j’en ay veu, moy qui vous parle, un effet merveilleux.	Les miracles ont converti les plus incrédules esprits, et il n'y a pas trois semaines que j'en ai vu, moi qui vous parle, un effet merveilleux.
Et quel?	Et quel?
D.	D.
JUAN.	JUAN.
SGANARELLE.	SGANARELLE.
Il y avoit un homme qui depuis ſix jours eſtoit à Tagonie, on ne Içavoit plus que luy ordonner, & tous les remedes ne faiſoient rien, on s’aviſa à la fin de luy donner de l’hemetique.	Il y avait un homme qui depuis six jours était à Tagonie, on ne Içavoit plus que lui ordonner, et tous les remèdes ne faisaient rien, on s'avisa à la fin de lui donner de l'hémetique.
D.	D.
JUAN.	JUAN.
Il réchapa, n’eſt-ce pas?	Il réchappa, n'est-ce pas?
SONNARELE Lo Non, il mourut.	SONNARELE Lo Non, il mourut.
D.	D.
JUAN.	JUAN.
L’effet eſt admirable.	L'effet est admirable.
SGANARELLE.	SGANARELLE.
Comment?	Comment?
il y avoit ſix jours entiers qu’il ne pouvoit mourir, & cela le fit mourir tout d’un coup.	il y avait six jours entiers qu'il ne pouvait mourir, et cela le fit mourir tout d'un coup.
Voulez-vous rien de plus efficace?	Voulez-vous rien de plus efficace?
Tu as raiſon.	Tu as raison.
D.	D.
JUAN.	JUAN.
SGANARELLE.	SGANARELLE.
Mais laiſſons-là la Medecine où vous ne croyez point, & parlons des autres choſes:	Mais laissons-là la Médecine où vous ne croyez point, et parlons des autres choses:
car cét habit me donne de l’eſprit, & je me ſens en humeur de diſputer contre vous.	car cet habit me donne de l'esprit, et je me sens en humeur de disputer contre vous.
Vous ſçavez bien que vous me permettez les diſputes, & que vous ne me défendez que les remontrances.	Vous savez bien que vous me permettez les disputes, et que vous ne me défendez que les remontrances.
Et bien ?	Et bien ?
D.	D.
JUAN.	JUAN.
SGANARELLE.	SGANARELLE.
Je veux ſçavoir un peu vos penſées à fonds, Eſt-il poſſible que vous ne croyez point du tout au Crer  Laiſſons cela.	Je veux sçavoir un peu vos pensées à fonds, Est-il possible que vous ne croyez point du tout au Ç Laissons cela.
De Joira	De Joira
SGANARELLE.	SGANARELLE.
C’eſt à dire que non.	C'est à dire que non.
Et à l’Enfer?	Et à l'Enfer?
Eh.	Eh.
D.	D.
JUAN.	JUAN.
SGANARELLE.	SGANARELLE.
Tout domini hina Dlauie, sir vous plaît?	Tout domini hina Dlavie, sir vous plaît?
Ouy, ouy.	Oui, oui.
D.	D.
JUAN.	JUAN.
SGANARELLE.	SGANARELLE.
Auſſi peu.	Aussi peu.
Ne croyez-vous point l’autre vie?	Ne croyez-vous point l'autre vie?
Ah, ah, ah.	Ah, ah, ah.
D.	D.
JUAN.	JUAN.
OOINIRELLE.	OOINIRELLE.
Voila un homme que j’auray bien de la peine à convertir.	Voilà un homme que j'aurai bien de la peine à convertir.
Et dites-moy un peu, encore faut-il croire quelque choſe.	Et dites-moi un peu, encore faut-il croire quelque chose.
Qu’eſt-ce que vous croyez	Qu'est-ce que vous croyez
1 D.	1 D.
JUAN.	JUAN.
Ce que je croy?	Ce que je crois?
SGANARETEH.	SGANARETEH.
Oüy.	Oui.
D.	D.
JUAN.	JUAN.
Je croy que deux & deux ſont quatre, Sganarelle, & que quatre & quatre ſont huit.	Je crois que deux et deux sont quatre, Séganarelle, et que quatre et quatre sont huit.
SGANARELLE.	SGANARELLE.
LA belle croyance, que voila!	LA belle croyance, que voilà!
voſtre religion, à ce que je vois, eſt donc l’Arithmetique?	votre religion, à ce que je vois, est donc l'Arithmetique?
il faut avoüer qu’il ſe met d’éianges folies dans la teſte des hommes, & que pour avoir bien eſtudié, on en eſt bien moins ſage le plus ſouvent.	il faut avouer qu'il se met d'éianges folies dans la tête des hommes, et que pour avoir bien étudié, on en est bien moins sage le plus souvent.
Pour moy, Monſieur, je n’ay point eſtudié comme vous, Dieu mercy, & perſonne ne ſçauroit ſe vanter de m’avoir jamais rien appris;	Pour moi, Monsieur, je n'ai point étudié comme vous, Dieu merci, et personne ne saurait se vanter de m'avoir jamais rien appris;
mais avec mon petit ſens, mon petit jugement, je voy les choſes mieux que tous les livres, & je comprends fort bien que ce monde que nous voyons, n’eſt pas un champignon qui ſoit venu tout ſeul en une nuit.	mais avec mon petit sens, mon petit jugement, je vois les choses mieux que tous les livres, et je comprends fort bien que ce monde que nous voyons, n'est pas un champignon qui soit venu tout seul en une nuit.
Je voudrois bien vous demander qui a fait ces arbres-là, ces Rochers, cette Terre, & ce Ciel que voila là-haut, & ſi tout cela s’eſt baſty de luy-meſme?	Je voudrais bien vous demander qui a fait ces arbres-là, ces Rochers, cette Terre, et ce Ciel que voilà là-haut, et si tout cela s'est bâti de lui-même?
Vous voila vous, par exemple, vous eſtes là;	Vous voilà vous, par exemple, vous êtes là;
eſt-ce que vous vous eſtes fait tout ſeul, & n’a-t-il pas falu que voſtre pere ait engroſſé voſtre mere pour vous faire?	est-ce que vous vous êtes fait tout seul, et n'a-t-il pas fallu que votre père ait engrossé votre mère pour vous faire?
Pouvez-vous voir toutes les inventions dont la machine de l’homme eſt compoſée, ſans admirer de quelle façon cela eſt agencé l’un dans l’autre, ces nerfs, ces os, ces veines, ces arteres, ces.	Pouvez-vous voir toutes les inventions dont la machine de l'homme est composée, sans admirer de quelle façon cela est agencé l'un dans l'autre, ces nerfs, ces os, ces veines, ces artères, ces.
ce poumon, ce cœur, ce foye, & tous ces autres ingrediens qui ſont là, & qui.	ce poumon, ce cœur, ce foie, et tous ces autres ingrédients qui sont là, et qui.
On dame, interrompez-moy donc ſi vous voulez, je ne ſçaurois diſputer ſi l’on ne m’interrompt, vous vous taiſez exprés, & me laiſſez parler par belle malice.	On dame, interrompez-moi donc si vous voulez, je ne saurais disputer si l'on ne m'interrompt, vous vous taisez exprès, et me laissez parler par belle malice.
D.	D.
JUAN.	JUAN.
J’attends que ton raiſonnement ſoit finy.	J'attends que ton raisonnement soit fini.
SGANARELLE.	SGANARELLE.
Mon raiſonnement eſt qu’il y a quelque choſe d’admirable dans l’homme, quoy que vous puiſfiez dire, que tous les Sçavans ne ſçauroient expliquer.	Mon raisonnement est qu'il y a quelque chose d'admirable dans l'homme, quoi que vous puissiez dire, que tous les Savants ne sauraient expliquer.
Cela n’eſt-il pas merveilleux que me voila icy, & que j’aye quelque choſe dans la teſte qui penſe cent choſes differentes en un moment, & fait de mon corps tout ce qu’elle veut?	Cela n'est-il pas merveilleux que me voilà ici, et que j'aie quelque chose dans la tête qui pense cent choses différentes en un moment, et fait de mon corps tout ce qu'elle veut?
Je veux fraper des mains, hauſſer le bras, lever les yeux au Ciel, baiſſer la teſte, remuer les pieds, aller à droit, à gauche, en avant, en arriere, tourner.	Je veux frapper des mains, hausser le bras, lever les yeux au Ciel, baisser la tête, remuer les pieds, aller à droit, à gauche, en avant, en arrière, tourner.
Il ſe laiſſe tomber en tournant.	Il se laisse tomber en tournant.
D.	D.
JUAN.	JUAN.
Bon, voila ton raiſonnement qui a le nez caſſé.	Bon, voilà ton raisonnement qui a le nez cassé.
SGANARELLE.	SGANARELLE.
Morbleu, je ſuis bien ſot de m’amuſer à railomer avec vous.	Morbleu, je suis bien sot de m'amuser à railomer avec vous.
Croyer ce que vous vous voudrez, il m’importe bien que vous ſoyez damné.	Croyer ce que vous vou voudrez, il m'importe bien que vous soyez damné.
