M DC LXIX.	M MC LXIX.
Eſt-ce là cet amour ſi tendre, Qui devoit tant durer, quand je vins hier icy?	Est-ce là cet amour si tendre, Qui devait tant durer, quand je vins hier ici?
ALCMENE.	ÀLCMENE.
Non, non, ce ne l’eſt pas;	Non, non, ce ne l'est pas;
& vos lâches injures En ont autrement ordonné.	et vos lâches injures En ont autrement ordonné.
Il n’eſt plus, cet amour tendre, & paſſionné;	Il n'est plus, cet amour tendre, et passionné;
Vous l’avez dans mon Cœur, par cent vives bleſſures, Cruellement aſſaſſiné.	Vous l'avez dans mon Cœur, par cent vives blessures, Cruellement assassiné.
C’eſt en ſa place un courrous inflexible;	C'est en sa place un courrous inflexible;
Un vif reſſentiment;	Un vif ressentiment;
un dépit invincible;	un dépit invincible;
Un deſeſpoir d’un Cœur juſtement animé;	Un désespoir d'un Cœur justement animé;
Qui pretend vous haïr, pour cet affront ſenſible, Autant qu’il eſt d’accord de vous avoir aimé :	Qui prétend vous haïr, pour cet affront sensible, Autant qu'il est d'accord de vous avoir aimé :
Et c’eſt haïr, autant qu’il eſt poſſible.	Et c'est haïr, autant qu'il est possible.
UPITER.	OÙPITER.
Helas!	Hélas!
que voſtre amour n’avoit gueres de force, Si de ſi peu de choſe on le peut voir mourir !	que votre amour n'avait guère de force, Si de si peu de chose on le peut voir mourir !
Ce qui n’eſtoit que jeu, doit-il faire un divorce, Et d’une raillerie, a-t-on lieu de s’aigrir?	Ce qui n'était que jeu, doit-il faire un divorce, Et d'une raillerie, a-t-on lieu de s'aigrir?
ALCMENE.	ÀLCMENE.
Ah!	Ah!
c’eſt cela dont je ſuis offencée;	c'est cela dont je suis offensée;
Et que ne peut pardonner mon courrous.	Et que ne peut pardonner mon courrous.
Des veritables traits d’un mouvement jalous, Je me trouverois moins bleſſée.	Des véritables traits d'un mouvement jalous, Je me trouverais moins blessée.
La Jalouſie a des impreſſions, Dont bien ſouvent la force nous entraiſne;	La Jalousie a des impressions, Dont bien souvent la force nous entraîne;
Et l’Ame la plus ſage en ces occaſions, Sans doute, avec aſſez de peine, Répond de ſes émotions.	Et l'Âme la plus sage en ces occasions, Sans doute, avec assez de peine, Répond de ses émotions.
L’emportement d’un Cœur, qui peut s’eſtre abuſé, A dequoy ramener une Ame, qu’il offence;	L'emportement d'un Cœur, qui peut s'être abusé, A dequoy ramener une Âme, qu'il offense;
Et dans l’amour qui luy donne naiſſance, Il trouve au moins, malgré toute ſa violence, Des raiſons pour eſtre excuſé.	Et dans l'amour qui fer donne naissance, Il trouve au moins, malgré toute sa violence, Des raisons pour être excusé.
De ſemblables tranſports, contre un reſſentiment, Pour deſenſe toujours, ont ce qui les fait naiſtre;	De semblables transports, contre un ressentiment, Pour désense toujours, ont ce qui les fait naître;
Et l’on donne grace, aiſément, A ce dont on n’eſt pas le Maiſtre.	Et l'on donne grâce, aisément, À ce dont on n'est pas le Maître.
Mais que de gayeté de cœur, On paſſe aux mouvemens d’une fureur extréme;	Mais que de gaieté de cœur, On passe aux mouvements d'une fureur extrême;
Que ſans cauſe l’on vienne, avec tant de rigueur, Bleſſer la tendreſſe, & l’honneur Deun Cœur, qui cherement nous aime?	Que sans cause l'on vienne, avec tant de rigueur, Blesser la tendresse, et l'honneur Deun Cœur, qui chèrement nous aime?
Ah!	Ah!
c’eſt un coup trop cruel en luy-même;	c'est un coup trop cruel en était-même;
Et que jamais n’oublîra ma douleur.	Et que jamais n'oublîtra ma douleur.
JPITER.	JPITER.
Ouy, vous avez raiſon, Alcméne, il ſe faut rendre.	Oui, vous avez raison, Alcméne, il se faut rendre.
Cette action, ſans doute, eſt un crime odieux.	Cette action, sans doute, est un crime odieux.
Je ne pretens plus le defendre:	Je ne prétends plus le défendre:
Mais ſouffrez que mon Cœur s’en defende à vos yeux;	Mais souffrez que mon Cœur s'en défende à vos yeux;
Et donne au voſtre à qui ſe prendre, De ce tranſport injurieux.	Et donne au vôtre à qui se prendre, De ce transport injurieux.
A vous en faire un aveu veritable, L’Epous, Alcméne, a commis tout le mal.	À vous en faire un aveu véritable, L'Épous, Alcméne, a commis tout le mal.
C’eſt l’Epous, qu’il vous faut regarder en coupable.	C'est l'Épous, qu'il vous faut regarder en coupable.
L’Amant n’a point de part à ce tranſport brutal;	L'Amant n'a point de part à ce transport brutal;
Et de vous offenſer, ſon Cœur n’eſt point capable.	Et de vous offenser, son Cœur n'est point capable.
Il a pour vous, ce Cœur, pour jamais y penſer, Trop de reſpect, & de tendreſſe:	Il a pour vous, ce Cœur, pour jamais y penser, Trop de respect, et de tendresse:
Et ſi de faire rien à vous pouvoir bleſſer, Il avoit eu la coupable foibleſſe, De cent coups à vos yeux il voudroit le percer.	Et si de faire rien à vous pouvoir blesser, Il avait eu la coupable faiblesse, De cent coups à vos yeux il voudrait le percer.
Mais l’Epous eſt ſorty de ce reſpect ſoûmis, Où pour vous on doit toujours eſtre.	Mais l'Épous est sorti de ce respect soumis, Où pour vous on doit toujours été.
A ſon dur procedé, l’Epous s’eſt fait connoiſtre, Et par le droict d’Hymen, il s’eſt crû tout permis.	À son dur procédé, l'Épous s'est fait connaître, Et par le droit d'Hymen, il s'est cru tout permis.
Ouy, c’eſt luy qui, ſans doute, eſt criminel vers vous.	Oui, c'est lui qui, sans doute, est criminel vers vous.
Luy ſeul a mal-traitté voſtre aimable Perſonne.	Lui seul a maltraité reux aimable Personne.
Haïſſez, deteſtez l’Epoux;	Haïssez, détestez l'Époux;
’y conſens, & vous l’abandonne:	’y consens, & vous l’abandonne:
Mais, Alcméne, ſauvez l’Amant de ce courrous, Qu’une telle offenſe vous donne.	Mais, Alcméne, sauvez l'Amant de ce courrous, Qu'une telle offense vous donne.
N’en jettez pas iur luy lener.	N'en jetez pas jur lui lener.
Démeſlez-le un peu du coupable;	Démeslez-le un peu du coupable;
Et pour eſtre enfin equitable, Ne le puniſſez point, de ce qu’il n’a pas fait.	Et pour être enfin équitable, Ne le punissez point, de ce qu'il n'a pas fait.
A LCMENE.	À LCMENE.
Ah!	Ah!
toutes ces ſubtilitez N’ont que des excuſes frivoles;	toutes ces subtilités N'ont que des excuses frivoles;
Et pour les Eſprits irritez, Ce ſont des contre-temps, que de telles paroles.	Et pour les Esprits irrités, Ce sont des contretemps, que de telles paroles.
Ce détour ridicule eſt en vain pris par vous.	Ce détour ridicule est en vain pris par vous.
Je ne diſtingue rien en celuy qui m’offence.	Je ne distingue rien en celui qui m'offense.
Tout y devient l’objet de mon courrous;	Tout y devient l'objet de mon courrous;
Et dans ſa juſte violence, Sont confondus, & l’Amant, & l’Epous.	Et dans sa juste violence, Sont confondus, et l'Amant, et l'Épous.
Tous deux de même ſorte occupent ma penſée;	Tous deux de même sorte occupent ma pensée;
it des mêmes couleurs, par mon Ame bleſſée, Tous deux ils ſont peints à mes yeux.	Tit des mêmes couleurs, par mon Âme blessée, Tous deux ils sont peints à mes yeux.
Tous deux ſont criminels;	Tous deux sont criminels;
tous deux m’ont offenſée;	tous deux m'ont offensée;
Et tous deux me ſont odieux.	Et tous deux me sont odieux.
45	45
D’avoir offenſé vos beaux yeux.	D'avoir offensé vos beaux yeux.
C’eſt un crime à bleſſer les Hommes, & les Dieux;	C'est un crime à blesser les Hommes, et les Dieux;
Et je merite enfin, pour punir cette audace, Que contre moy voſtre haine ramaſſe Tous ſes traits les plus furieux :	Et je mérite enfin, pour punir cette audace, Que contre moi votre haine ramasse Tous ses traits les plus furieux :
Mais mon Cœur vous demande grace.	Mais mon Cœur vous demande grâce.
Pour vous la demander, je me jette à genous;	Pour vous la demander, je me jette à genous;
Et la demande au nom de la plus vive flame;	Et la demande au nom de la plus vive flamme;
Du plus tendre amour, dont une Ame Puiſſe jamais brûler pour vous.	Du plus tendre amour, dont une Âme Puisse jamais brûler pour vous.
Si voſtre Cœur, charmante Alcméne, Me refuſe la grace, ou j’oſe recourir;	Si votre Cœur, charmante Alcméne, Me refuse la grâce, ou j'ose recourir;
Il faut qu’une atteinte ſoudaine, M’arrache, en me faiſant mourir, Aux dures rigueurs d’une peine, Que je ne ſçaurois plus ſouffrir.	Il faut qu'une atteinte soudaine, M'arrache, en me faisant mourir, Aux dures rigueurs d'une peine, Que je ne saurais plus souffrir.
Oüy, cet état me deſeſpere;	Oui, cet état me désespère;
Alcméne, ne preſumez pas, Qu’aimant, comme je fais, vos celeſtes appas,	Alcméne, ne présumez pas, Qu'aimant, comme je fais, vos célestes appas,
PITER.	PITER.
Hé bien, puis que vous le voulez, Il faut donc me charger du crime.	Hé bien, puis que vous le voulez, Il faut donc me charger du crime.
Ouy, vous avez raiſon, lors que vous m’immolez A vos reſſentimens, en coupable Victime.	Oui, vous avez raison, lors que vous m'immolés À vos ressentiments, en coupable Victime.
Un trop juſte dépit contre moy vous anime;	Un trop juste dépit contre moi vous anime;
Et tout ce grand courrous, qu’icy vous étalez, Ne me fait endurer qu’un tourment legitime.	Et tout ce grand courrous, qu'ici vous étalez, Ne me fait endurer qu'un tourment légitime.
C’eſt avec droict que mon abord vous chaſſe, Et que de me fuir en tous lieux, Voſtre colere me menace.	C'est avec droit que mon abord vous chasse, Et que de me fuir en tous lieux, Votre colère me menace.
je dois vous eitte uil Objet odieux.	je dois vous eitte uil Objet odieux.
Vous devez me vouloir un mal prodigieux.	Vous devez me vouloir un mal prodigieux.
Il n’eſt aucune horreur, que mon forfait ne paſſe, Je puiſſe vivre un jour avec voſtre colere.	Il n'est aucune horreur, que mon forfait ne passe, Je puisse vivre un jour avec votre colère.
Déja, de ces momens, la barbare longueur, Fait, ſous des atteintes mortelles, Succomber tout mon triſte Cœur, Et de mille Vautours, les bleſſures cruelles, N’ont rien de comparable à ma vive douleur.	Déjà, de ces moments, la barbare longueur, Fait, sous des atteintes mortelles, Succomber tout mon triste Cœur, Et de mille Vautours, les blessures cruelles, N'ont rien de comparable à ma vive douleur.
Alcméne, vous n’avez qu’à me le declarer, S’il n’eſt point de pardon que je doive eſperer;	Alcméne, vous n'avez qu'à me le déclarer, S'il n'est point de pardon que je doive espérer;
Cette Epée auſſi-toſt, par un coup favorable, Va percer, à vos yeux, le Cœur d’un Miſerable;	Cette Épée aussitôt, par un coup favorable, Va percer, à vos yeux, le Cœur d'un Misérable;
Ce Cœur, ce traiſtre Cœur, trop digne d’expirer, Puis qu’il a pû fâcher un Objet adorable.	Ce Cœur, ce traître Cœur, trop digne d'expirer, Puis qu'il a pu fâcher un Objet adorable.
Heureux, en deſcendant au tenebreux ſejour, Si de voſtre courrous mon trépas vous rameine;	Heureux, en descendant au ténébreux séjour, Si de votre courrous mon trépas vous ramène;
Et ne laiſſe en voſtre Ame, aprés ce triſte jour, Aueune Impiemon de haine, Au ſouvenir de mon amour.	Et ne laisse en votre Âme, après ce triste jour, Aveune Impiemon de haine, Au souvenir de mon amour.
C’eſt tout ce que j’attens, pour faveur ſouveraine.	C'est tout ce que j'attends, pour faveur souveraine.
ALCMENE.	ÀLCMENE.
Ah!	Ah!
trop cruel Epous!	trop cruel Épous!
UPITER.	OÙPITER.
Diteo, purien, aaremene.	Diteo, purien, aaremène.
ALCMENE.	ÀLCMENE.
Faut-il encor pour vous, conſerver des bontez;	Faut-il encore pour vous, conserver des bontés;
Et vous voir m’outrager, par tant d’indignitez?	Et vous voir m'outrager, par tant d'indignité?
PITER.	PITER.
Quelque reſſentiment, qu’un outrage nous cauſe, Tient-il contre un remords d’un Cœur bien enflaime 2	Quelque ressentiment, qu'un outrage nous cause, Tient-il contre un remords d'un Cœur bien enflaime 2
ALCMENE.	ÀLCMENE.
Un Cœur bien plein de fame, à mille morts s’expoſe, Plutoſt que de vouloir fâcher l’Objet aimé.	Un Cœur bien plein de famé, à mille morts s'expose, Plutôt que de vouloir fâcher l'Objet aimé.
UPITER.	OÙPITER.
Plus on aime quelqu’un, moins on trouve de peine.	Plus on aime quelqu'un, moins on trouve de peine.
ALCMENE.	ÀLCMENE.
Non, ne m’en parlez point, vous meritez ma haine.	Non, ne m'en parlez point, vous méritez ma haine.
PITER.	PITER.
vous me hamce donc.	vous me hamce donc.
A LCMENE.	À LCMENE.
I'y fais tout mon effort;	J'y fais tout mon effort;
Et j’ay dépit de voir, que toute voſtre offence Tte puilie de mon Cœur, juſqu’à cette vangeance, Faire encor aller le tranſport.	Et j'ai dépit de voir, que toute votre offense Tte puilie de mon Cœur, jusqu'à cette vengeance, Faire encor aller le transport.
PITER.	PITER.
Mais pourquoy cette violence, Puis que pour vous vanger, je vous ome ma mort?	Mais pourquoi cette violence, Puis que pour vous venger, je vous ome ma mort?
Prononcez-en l’Arreſt, & j’obeïs ſur l’heure.	Prononcez-en l'Arrêt, et j'obéis sur l'heure.
A LCMENE.	À LCMENE.
Qui ne ſçauroit haïr, peut-il vouloir qu’on meure?	Qui ne saurait haïr, peut-il vouloir qu'on meure?
PITER.	PITER.
Et moy, je ne puis vivre, à moins que vous quittiez Cette colere qui m’accable, Et que vous m’accordiez le pardon favorable, Que je vous demande à vos piez.	Et moi, je ne puis vivre, à moins que vous quittiez Cette colère qui m'accable, Et que vous m'accordiez le pardon favorable, Que je vous demande à vos pieds.
Reſolvez icy l’un des deux, Ou de punir, ou bien d’abſoudre.	Résolvez ici l'un des deux, Ou de punir, ou bien d'absoudre.
ALCMENE.	ÀLCMENE.
Helas!	Hélas!
ce que je puis reſoudre, Paroiſt bien plus, que je ne veux!	ce que je puis résoudre, Paraît bien plus, que je ne veux!
Pour vouloir ſoutenir le courrons qu'on me donne.	Pour vouloir soutenir le courrons qu'on me donne.
Mon Cœur a trop ſçu me trahir.	Mon Cœur a trop suiv me trahir.
Dire qu’on ne ſçauroit haïr, Iteir ce pas dire qu’on pardonne ?	Dire qu'on ne saurait haïr, Iteir ce pas dire qu'on pardonne ?
PITER.	PITER.
Ah!	Ah!
belle Alcméne, il faut que comblé d’allegreſſe.	belle Alcméne, il faut que comblé d'allégresse.
ALCMENE.	ÀLCMENE.
Laiſſez.	Laissez.
Je me veux mal de mon trop de foibleſſe.	Je me veux mal de mon trop de faiblesse.
ITER.	ITER.
Va, Soſie, & depeſche-toy, Voir, dans les doux tranſports dont mon Ame eſt charmée, Ce que tu trouveras d’Officiers de l’Armée;	Va, Sosie, et dépêche-toi, Voir, dans les doux transports dont mon Âme est charmée, Ce que tu trouveras d'Officiers de l'Armée;
Et les invite à diſner avec moy.	Et les invite à dîner avec moi.
Tandis Tandis que d’icy je le chaſſe, Mercure y remplira ſa place.	Tandis Tandis que d'ici je le chasse, Mercure y remplira sa place.
SCENE VII.	SCÈNE VII.
CEBANTATS, SOUIE.	CEBANTATS, SOUIE.
IE.	JE.
é bien, tu vois, Cleanthis, ce ménage.	é bien, tu vois, Cléanthis, ce ménage.
H Veux-tu, qu’à leur exemple icy, Nous faiſions entre nous un peu de paix auſſy?	H Veux-tu, qu'à leur exemple ici, Nous faisions entre nous un peu de paix aussi?
Quelque petit rapatriage?	Quelque petit rapatriage?
EANTHIS.	EANTHIS.
C’eſt pour ton nez, vrayment.	C'est pour ton nez, vraiment.
Cela ſe fait ainſy.	Cela se fait ainsi.
Quoy.	Quoi.
tune veux pas.	tune veux pas.
SIE.	SIE.
CLEANTHIS.	CLÉANTHIS.
Non.	Non.
OSIE.	OSIE.
Tant-pis pour toy.	Tant-pis pour toi.
Il ne m’importe gueres,	Il ne m'importe guère,
CLEANTHIS.	CLÉANTHIS.
Da, la, ſevien.	Da, la, séviens.
SIE.	SIE.
Non, morbleu, je n’en feray rien;	Non, morbleu, je n'en ferai rien;
Et je veux eſtre, à mon tour, en colere.	Et je veux être, à mon tour, en colère.
GILANTHIS.	GILANTHIS.
Va, va, Traiſtre, laiſſe-moy faire;	Va, va, Traître, laisse-moi faire;
On ſe laſſe, par fois, d’eſtre Femme de bien.	On se lasse, par fois, d'être Femme de bien.
Findu Second Acte.	Findu Second Acte.
ACTE	ACTE
ACTE III.	ACTE III.
SCENE I.	SCÈNE I.
AMPHITRYON.	AMPHITRYON.
Uy, ſans doute, le Sort tout exprés me le cache;	Oui, sans doute, le Sort tout exprès me le cache;
Et des tours que je fais, à la fin, je ſuis las.	Et des tours que je fais, à la fin, je suis las.
Il n’eſt point de Deſtin plus cruel, que je ſçache.	Il n'est point de Destin plus cruel, que je sache.
Je ne ſçaurois trouver, portant par tout mes pas, Celuy qu’à chercher je m’attache;	Je ne saurais trouver, portant par tout mes pas, Celui qu'à chercher je m'attache;
Et je trouve tous ceux que je ne cherche pas.	Et je trouve tous ceux que je ne cherche pas.
Mille Fâcheux cruels, qui ne penſent pas l’eſtre, De nos faits, avec moy, ſans beaucoup me connoître, Viennent ſe réjoüir, pour me faire enrager.	Mille Fâcheux cruels, qui ne pensent pas l'être, De nos faits, avec moi, sans beaucoup me connaître, Viennent se réjouir, pour me faire enrager.
Dans l’embarras cruel du ſoucy qui me bleſſe, De leurs embraſſemens, & de leur allegreſſe, Sur mon inquietude, ils viennent tous charger.	Dans l'embarras cruel du souci qui me blesse, De leurs embrassements, et de leur allégresse, Sur mon inquiétude, ils viennent tous charger.
En vain à paſſer je m’apreſte, Pour fuir leurs perſecutions.	En vain à passer je m'apprête, Pour fuir leurs persécutions.
Leur tuante amitié, de tous coſtez m’arreſte;	Leur tuante amitié, de tous côtés m'arrête;
Et tandis qu’à l’ardeur de leurs expreſſions, Je répons d’un geſte de teſte;	Et tandis qu'à l'ardeur de leurs expressions, Je réponds d'un geste de tête;
Je leur donne, tout-bas, cent maledictions.	Je leur donne, tout-bas, cent malédictions.
Ah!	Ah!
qu’on eſt peu flaté de loüange, d’honneur, Et de tout ce que donne une grande Victoire, Lors que dans l’Ame on ſouffre une vive douleur!	qu'on est peu flatté de louange, d'honneur, Et de tout ce que donne une grande Victoire, Lors que dans l'Âme on souffre une vive douleur!
Et que l’on donneroit volontiers cette gloire, Pour avoir le repos du Cœur !	Et que l'on donnerait volontiers cette gloire, Pour avoir le repos du Cœur !
