A	À
Tu l’épouſes demain, oüy, ie n’en doute plus.	Tu l'épouses demain, oui, je n'en doute plus.
ALMANSOR.	ÀLMANSOR.
Ecoutez.	Écoutez.
ZAIDE.	ZAIDE.
Non méchant!	Non méchant!
i'aurois trop de foibleſſe, Pour ne te.	j'aurais trop de faiblesse, Pour ne te.
voir iamais aprens que le te laiſſe, L’entretien d’vn ingrat cache vn ſecret poiſons Et chaque mot d’vn traiſtre eſt vne trahiſon.	voir jamais appris que le te laisse, L'entretien d'un ingrat cache un secret poisons Et chaque mot d'un traître est une trahison.
SCENE IV.	SCÈNE IV.
L ALMANSOR.	L ÀLMANSOR.
E ſuccez eſt bizarre & mon ame eſtonnée, A ceut nouueaux ennuits ſe trouue abandonnée?	E succès est bizarre et mon âme étonnée, À cut nouueaux ennuits se trouve abandonnée?
Quoy, faut-il que le ſouffre & d'vn eſprit ſoumis, La pelne d’vn forfait que ie n’ay point commist:	Quoi, faut-il que le souffre et d'un esprit soumis, La pelne d'un forfait que ie éclair point commît:
Quand de perdre vn ami la vengeance me preſſe:	Quand de perdre un ami la vengeance me presse:
Faut-il qu'au meſme temps ie perde vne Maiſtreſſe;	Faut-il qu'au avait temps avoir perde une Maîtresse;
Faut-il perdre Zaide?	Faut-il perdre Zaide?
oüy mon cœur il le faut:	oui mon cœur il le faut:
Ce n’eſt que d'vn moment que ie la perds trop toſt;	Ce n'est que d'un moment que je la perds trop tôt;
Puiſque dans vn moment en la priuant d’vn frere, Mon bras doit attirer ſa haine & ſa colere, Oüy, mon cœur deſormais ne ſois plus attendry, Il eſt temps que ie ſonge au trepas de Zegry;	Puisque dans un moment en la privant d'un frère, Mon bras doit attirer sa haine et sa colère, Oui, mon cœur désormais ne sois plus attendri, Il est temps que je songe au trépas de Zègri;
Et qu’il donne ſon ſang pour l’honneur qu’il me voCét enneniy que i'ayme & qu'il faut que i'immole, Il vient:	Et qu'il donne son sang pour l'honneur qu'il me voCet ennéni que j'aime et qu'il faut que j'immole, Il vient:
à ſon abord de tendres mouuemens, ſélent quelque foibleſſe à mes reſſentimens, Mon amitié s’oppoſe au couroux qui m’emporte, Ma tendreſſe eſt moins foible, & ma fureur moins forte Arii dlaude la vie, naraui ma leeur, Iray-ie l’embraſſer,ou luy percer le cœur?	à son abord de tendres mouvements, sellent quelque faiblesse à mes ressentiments, Mon amitié s'oppose au courroux qui m'emporte, Ma tendresse est moins faible, et ma fureur moins forte Ari dlaude la vie, naraui ma leeur, Jrai-je l'embrasser,ou lui percer le cœur?
SCENE V.	SCÈNE V.
MEGRI ORHIN, ALMANSOR.	MEGRI ORHIN, ALMANSOR.
ZEGRY.	ZÉGRY.
E le reneontre enſin, cét Ingrat qui m’outrage!	E le renéontre ensin, cet Ingrat qui m'outrage!
IOrmin, laiſſez nous ſeuls!	JOrmin, laissez nous seuls!
ORMIN.	ORMIN.
Paſſons dans ce boccage, I'ay lleu d'aptehéder qu'ils n'en viennẽt aux mains?	Passons dans ce bocage, J'ai lu d'aptehéder qu'ils n'en viennent aux mains?
D’icy ſans nous montrer obſetuons leurs deſſeins,	D'ici sans nous montrer obsetuons leurs desseins,
ALMANSOR.	ÀLMANSOR.
Vous paroiſſés troublé?	Vous paraissez troublé?
ZEGRY.	ZÉGRY.
I'ay bien ſuiet de l'eſtre.	J'ai bien sujet de l'être.
ALMANSOR.	ÀLMANSOR.
Qui vous émeut ſi fort?	Qui vous émut si fort?
ZEGRY.	ZÉGRY.
Vn inſidelle, vn traiſtre, Donc le ciime me caule en legretinnny, Et qui d’vn feul trepas ſera trop peu puny.	Un insidelle, un traître, Donc le ciime me caule en légretinni, Et qui d'un seul trépas sera trop peu puni.
ALMANSOR.	ÀLMANSOR.
Vous pourrois-it ſeruir pour punir cette offence?	Vous pourrais-it servir pour punir cette offense?
ZEGRY.	ZÉGRY.
Ouy plans toy le ne puisueneuel ma vengeance.	Oui plans toi le ne puisveneuel ma vengeance.
ALMANSO.	ÀLMANSO.
R.	R.
aegry de tout mon lang vous pouuez diſpoſer;	aegri de tout mon lang vous pouvez disposer;
ZEGRY.	ZÉGRY.
C’eſt vn offte qu’icy ie ne puis refuſer.	C'est un ôte qu'ici apprendre ne puis refuser.
ALMANSOR.	ÀLMANSOR.
elenuringnes	elenuringnes
ZEGRY.	ZÉGRY.
Ton audace eſt ertréme;	Ton audace est ertrême;
Ne ſçais tu pas aſſez traitre que c’eſt toy-meſme?	Ne sais tu pas assez traître que c'est toi-même?
Moy?	Moi?
AEMANSOR.	AEMANSOR.
ALMANSOR en l’embraſtant.	ÀLMANSOR en l'embrastant.
Que ne te dois.	Que ne te dois.
ie point pour cét emportement?	Ne point pour cet emportement?
C'eſt de ton amitſé le dernier auantage, Ta celere m’oblige encor qu'elle m’outrage, Dans mon cœur iuſtement à ta perte animé, Le deſſein de ta mort s'eſtoit deſia formé.	C'est de ton amitsé le dernier avantage, Ta célère m'oblige encor qu'elle m'outrage, Dans mon cœur iustement à ta perte animé, Le dessein de ta mort s'était déjà formé.
Monbras s'y preparoit quand mal-gré la furie, Mon ame à ton abord ſoudain fur attendrie;	Monbras s'y préparait quand mal-gré la furie, Mon âme à ton abord soudain fur attendrie;
Et ſe vertoit encor redulte à balancer, Les traits que ma fureur contre toy doit lancer, Si ton emportement n'euſt mal-gré ma foibleſſe, Rappellé ma colere & chaſſé ma tendreſſe.	Et se vertait encor rédulte à balancer, Les traits que ma fureur contre toi doit lancer, Si ton emportement n'eût maleure ma faiblesse, Rappelé ma colère et chassé ma tendresse.
ZAGRY.	ZAGRY.
Ie ne tecoute plus, garde toydemes ceups;	Je ne tecte plus, garde toidemes ceups;
ALMANSOR.	ÀLMANSOR.
Vn combat ſi cruel ne peut m'eſtre que doux, Plus iuſtement que toy l'honneur m'y ſolicite:	Un combat si cruel ne peut m'être que doux, Plus iustement que toi l'honneur m'y solicite:
Mais que ie ſçache au moins le ſuiet qui t’irrite, du du veua lalle von que eulde pleins asosss Et me iuſtifier en tedonnant la mort.	Mais que ici sçache au moins le sujet qui t'irrite, du du veua lalle von que eulde pleins asosss Et me justifier en tedonnant la mort.
ZEGRY.	ZÉGRY.
Quoy tu fais l'ignorant, & te ſers de menace?	Quoi tu fais l'ignorant, et te sers de menace?
Ton lâche crime encor s’accroit par ton audace,	Ton lâche crime encor s'accroît par ton audace,
ALMANSOR.	ÀLMANSOR.
Enſin quel eſt ce crime, & ſi lâche & ſi noir?	Ensin quel est ce crime, et si lâche et si noir?
ZEGRY.	ZÉGRY.
Conſulte tes remords, tu le pourras ſçauoir!	Consulte té mords, tu le pourras savoir!
Perſide, ils t'apprendront que d’vn ame traiſtreſſe, Pour le pris de mes ſoins tu m’oſles ma Maiſtreſſe, Et par des lâchetez qu’on ne peut excuſer, Que demain au pluſtard tu la dois épouſes.	Perside, ils t'apprendront que d'un âme traîtresse, Pour le pris de mes soins tu m'osles ma Maîtresse, Et par des lâchetés qu'on ne peut excuser, Que demain au plustard tu la dois épouses.
ALMANSOR.	ÀLMANSOR.
oi le luis cimumer, cen eit pas là mon crime, Ie n'ay iamais conceu de deſirs pour Fatimes Et tu peux ſeulement reprocher a moncour, D'auoir ſans ton aueu ſoupiré pour ta ſœur.	oi le luis cimumer, cen eit pas là mon crime, Je n'ai jamais concevu de désirs pour Fatimes Et tu peux seulement reprocher à moncour, D'avoir sans ton aveu soupiré pour ta sœur.
Quoy tu l’aymes?	Quoi tu l'aimes?
ZEGRY.	ZÉGRY.
di ie lil la llloNe.	di ici lil la llloNe.
Non, non, l'erreur ſeroit extréme Ie dis que ie l’adore, & non pas que ie l’ayme.	Non, non, l'erreur serait extrême Je dis que sans l'adore, et non pas que ie aime.
Ce que pour ſes beautez ie reſſens en ce iour, Surpaſſe de beaucoup ce qu’on appelle Amour,	Ce que pour ses beautés Madame ressens en ce jour, Surpasse de beaucoup ce qu'on appelle Amour,
ZEGRY.	ZÉGRY.
Lecr res cetaueu lu m'as tenee l veei D'vn excez de plaiſir ma triſteſſe eſt ſuiule, zaide eſt trop heuręuſe & ſes vœux les plus dour Ne pouuoient eſperer vn plus illuſtre eſpoux.	Lecr rés aveu lu m'as tence l Déci D'un excès de plaisir ma tristesse est suivle, zaide est trop heurumuse et ses vœux les plus dour Ne pouvaient espérer un plus illustre époux.
L'Amant à qui l'auois ma patole donnée, A veu par le trepas finir ſa deſtinée.	L'Amant à qui l'avais ma patole donnée, A vu par le trépas finir sa destinée.
httetae angtitude Et mon repos ſera plainement affermy, De fenconuer vn nete en mon pius cner amy.	htétae angtitude Et mon repos sera plainement affermi, De fenconuer un nette en mon pius cér ami.
ALMANSOR.	ÀLMANSOR.
L'offre que tu me fais me doit eſtre bien chere;	L'offre que tu me fais me doit être bien chère;
Mais connoy tu celuy que tu choiſis pour frete?	Mais connais tu celui que tu choisis pour frète?
Sçais-tu bien qui ie ſuis?	Sais-tu bien qui ie suis?
ZEGRY.	ZÉGRY.
Qu’ay-ie à ſçauoir encor, Ton pays eſt Tremiſſe, & ton nom Almanſor, Ta famiſſe eſt iſluſtre, & u ie te doy croire, Le nom de mon amy fait ta plus grande gloire,	Qu'ai-je à savoir encor, Ton pays est Tremisse, et ton nom Almands, Ta famisse est islustre, et ie te croire, Le nom de mon amy fait ta plus grande gloire,
ALMANSOR.	ÀLMANSOR.
Tu ne me connois point encore qu’à demy, le lus ne daicesneux, oe né ton ennemy.	Tu ne me connais point encore qu'à demi, le lus ne daicesneux, oue né ton ennemi.
Plus d’vn iuſte motif à ta perte m’engage:	Plus d'un juste motif à ta perte m'engage:
Et pour te dire tout, ie ſuis à Abencerage.	Et pour te dire tout, je suis à Abencérage.
Abencerage?	Abenserage?
ZEGRY.	ZÉGRY.
ORMIN à part.	ORMIN à part.
d clel s	d clel é
ALMANSOR.	ÀLMANSOR.
Ce mot te fait ſçau olr Quels ſont nos differents, & quel eſt mon deuois.	Ce mot te fait sau olr Quels sont nos différents, et quel est mon devais.
ZEGRY.	ZÉGRY.
Ie connois comme toy la haine mutuelle Qui dans nos deux maisõs séble preſque immortelle.	Je connais comme toi la haine mutuelle Qui dans nos deux mais séble presque immortelle.
Mais ton ſang qu’auiourd’huy tu dois à mon ſecours, Doit pour moy dans ton ame en arreſter le cours;	Mais ton sang qu'aujourd'hui tu dois à mon secours, Doit pour moi dans ton âme en arrêter le cours;
Et quoy que ſur ce point mon amitié s’eſtonne, Is veux hair ton nom, & cherir ra perſonne.	Et quoi que sur ce point mon amitié s'étonne, Is veux haïr ton nom, et chérir ra personne.
oüy, garde pour ma ſœur tes deſſeins amoureux, Vn hinié peut nous ioindre auec de nouueaux nœuds;	oui, garde pour ma sœur tes desseins amoureux, Un hinié peut nous joindre avec de nouueaux nœuds;
Et par des feux ſecrets eſtouffer ce qui reſte De cette inimitié ſi vieille &-ſi funeſte.	Et par des feux secrets étouffer ce qui reste De cette inimitié si vieille et-si funeste.
ALMANSOR.	ÀLMANSOR.
cét himen ſeroit doux, maitioliy poierougei, Qu'apret que par ta mort i’auray ſceu me yanger.	cet hymen serait doux, maitiolioli poierougei, Qu'apret que par ta mort j'aurai su me yanger.
ZEGRY.	ZÉGRY.
Couſſlenes ZEGRY.	Cousslènes ZÉGRY.
ALMANSOR:	ÀLMANSOR:
Ce que tu crois n’eſt pas ce qui m’eſtonne, Ie ne hay point ton nom, mals ie hay ta perſonne;	Ce que tu crois n'est pas ce qui m'étonne, Je ne hais point ton nom, mal ie sais ta personne;
Et ce n’eſt qu’en ton ſang par vn tragique effet, Que ſe puis reparer le toit que tu m’as faſt.	Et ce n'est qu'en ton sang par un tragique effet, Que se puis réparer le toit que tu m'as fât.
Moy ?	Moi ?
ZBGRY.	ZBGRY.
ALMANSOR.	ÀLMANSOR.
Tutais Teſtonne de foit mauuaile grace, Ton lâche erlme encor s’aceroiſt par ton audace.	Tutais Testonne de soit mauvaile grâce, Ton lâche erme encor s'acérait par ton audace.
ZEGRY.	ZÉGRY.
Luutt quer eſt ce crime, & ſi lâche & ſi noir?	Luut quer est ce crime, et si lâche et si noir?
ALMANSOR.	ÀLMANSOR.
Conſulte ce billet, tu le pourras ſçauoir.	Consulte ce billet, tu le pourras savoir.
ZEGRY lit.	ZÉGRY lit.
Vous ſans qui ie ne vlurols pas, Apprenez vn mal-heur plre que mon trępas, Qui nous doit obliger à des plaintes communes, Le plus cruels des ſcelerats, 2 ciſttecuo deney voceoeace curescence y Geinde, Et m’arrache d’entre vos bras.	Vous sans qui ici ne veulurols pas, Apprenez un malheur pleure que mon très, Qui nous doit obliger à des plaintes communes, Le plus cruels des scélérats, 2 cisttecuo denei voceoceoce curescence y Geinde, Et m'arrache d'entre vos bras.
ORMIN.	ORMIN.
ZEGRY.	ZÉGRY.
C'eſt enigme eſt obſeur, ie n’y puis rien compreadre,	C'est énigme est obseur, je n'y puis rien compreadre,
au eu de du le dr ns Ie n’y comprend que trop que zelinde ma ſœur Ivous ſait conuontie en toy ſon lãche rauiſſeur.	au eu de du le dr nous Je n'y comprend que trop que zélinde ma sœur Ivous sait convontie en toi son lâche ravisseur.
ZEGRY.	ZÉGRY.
Peux-tu me ſoupçonner d’vne action ſi nolret,	Peux-tu me soupçonner d'une action si nolret,
ALMANSOR.	ÀLMANSOR.
Peux-tu la denier;	Peux-tu la dernier;
traltre!	traltre!
& te puis.	et te puis.
le croires	le croirez
ZEGRY.	ZÉGRY.
Ecoute quatre mots.	Écoute quatre mots.
ALMANSOR.	ÀLMANSOR.
Ils ſeroient ſuperflus:	Ils seraient superflus:
Garde toy de mes coups, ie ne t’écoute plus.	Garde toi de mes coups, tu ne t'écoute plus.
9	9
ZEGRY.	ZÉGRY.
eey Juemedon is vie, oientaquer la miendet	euei Jumedon is vie, aientaquer la miendet
ALMANSOR.	ÀLMANSOR.
Cette obligation n’a rien qui me retienne, Tu cauſas mon ſalut, & le rapt de ma ſœur:	Cette obligation n'a rien qui me retienne, Tu causas mon salut, et le rapt de ma sœur:
Et d’autant que le iour eſt moins cher que l’honneur, L’affront ſur le bien-fait l’emporte dans mon ame, Et ie crains d’eſtre ingrat bien moins que d’eſtre inIame.	Et d'autant que le jour est moins cher que l'honneur, L'affront sur le bienfait l'emporte dans mon âme, Et ie crains d'être ingrat bien moins que d'être inIme.
Mals paſſons aux effets, & quittons les diſcours.	Mals passons aux effets, et quittons les discours.
ARCRTDemeure ingrat, demeure:	ARCRTDemeure ingrat, demeure:
a luaiRe.	à luaiRe.
ô ſecours !	ô secours !
ô ſecours!	ô secours!
SCENE VI.	SCÈNE VI.
& DERNIERE.	et DERNIÈRE.
ADIBAR, ZAIDE, MEDINE, ALABEZ, LINDARACHE, GOMELLE, FATIME, CHARIFFE,ALMANSOR, ZEGRY, ORMIN, GASVL.	ADIBAR, ZAIDE, MEDINE, ALABEZ, LINDARACHÉ, GOMELLE, FATIME, CHARIFFE,ALMANSOR, ZEGR, IN, GASUL.
2AIDE.	2AIDE.
Vel bruitay.	Vel bruitai.
ieentendu ?	Aventendu ?
LINDARACHE.	LINDARACHÉE.
1 Quelle rumeur s’éleue?	1 Quelle rumeur s'éleue?
ADIBAR.	ADIBAR.
Aireſtez, aireſtez?	Airêtez, airêtez?
.	.
LINDARAHE.	LINDARAHÉ.
Non, non, mon fils, acheue!	Non, non, mon fils, achève!
GOMELLE.	GOMELE.
Leur quelelle Adibar ne ſe peut accorder, «uis Ianc secachorc iamons la Gecider.	Leur quelelle Adibar ne se peut accorder, «uis Janc secachorc amons la Gecider.
ADIBAR.	ADIBAR.
Non vn tlers tel que moy ne les peut laiſſer battre;	Non un tlers tel que moi ne les peut laisser battre;
GOMELLE.	GOMELE.
Et olen deffendez vous, nous nous battrons tout quatre.	Et olen défendez -vous, nous nous battrons tout quatre.
ORMIN a Almanſer.	ORMIN a Almander.
Ha mon frere, ſur moy leuez pluſtoſt les bras!	Ha mon frère, sur moi levez plutôt les bras!
Ie ſuls ſeule coupable, & Zegry ne l’eſt pas.	Je suls seule coupable, et Zegri ne l'est pas.
7 LINDARACHE.	7 LINDARACHÉ.
Que voy-ie?	Que vois-je?
ORMIN.	ORMIN.
Vous voyez Zelinde voſtre fille;	Vous voyez Zélinde votre fille;
Qui pour ſuiure Zegry quitta voſtre famille;	Qui pour suivre Zegri quitta votre famille;
Et qui changeant de ſort & d’habit ſeulement;	Et qui changeant de sort et d'habit seulement;
N’a peu ſorcer ſoname au moindre changement, Mon cœur qui prés de luy s’eſt pleu dans l’eſclauage Vn peu trop conſtamment a ſuluy ce volage;	N'a peu sorcer soname au moindre changement, Mon cœur qui près de Rome s'est pleu dans l'esclavage Un peu trop constamment à sului ce volage;
Mais l’ayant reçonnu d’vn autre Obiet épris, I’ay craint me découurant d’attirez ſon mépris, à enereu e Ingratitude Et ſouffritois encor la meſme violence, si ſon propre intereſt ne rompoit mon ſilence.	Mais l'ayant reçonnu d' autre Obiet épris, J'ai craint me découvrant d'attirez son mépris, à enereu eût Ingratitude Et souffritais encor la rendre violence, si son propre intérêt ne rompait mon silence.
LINDARACHE.	LINDARACHÉE.
Ah, ma fille!	Ah, ma fille!
ALMANSOR.	ÀLMANSOR.
AAmalour;	AAmour;
ZEGRY.	ZÉGRY.
Zelinde vangés vout!	OZélinde vengez vout!
le vous plains, ie M’acceis, o le m’onte à vos coups.	le vous plains, Seigneur M'acceis, ou le m'onte à vos coups.
ORMIN.	ORMIN.
De mes reſſentimens vous n’auez rien à craindre:	De mes ressentiments vous n'avez rien à craindre:
Et ſi vous me plaignez ie ne ſuis pas à plaindre.	Et si vous me plaignez ici ne suis pas à plaindre.
ZEGRY.	ZÉGRY.
Apres tant de bontez qui doiuent m'eſtonner, Ie tougis de n’auoir qu’vnc ame à vous douner;	Après tant de bontés qui doivent m'étonner, Je tougis de n'avoir qu'un âme à vous douner;
Et ſi de vos parens l’adueu nous eſt propice, Rien ne peur empęſcher que l’himen nous vniſſe	Et si de vos parents l'aveu nous est propice, Rien ne peur empêcher que l'hymen nous unisse
LINDARACHE.	LINDARACHÉE.
Cét hy men comblera les plus doux de mes vœux!	Cet hy men comblera les plus doux de mes vœux!
ALMANSOR.	ÀLMANSOR.
Amy dans ton bon.	Ami dans ton bon.
heur tu peux me rendre heureux;	heur tu peux me rendre heureux;
Ta ſœur dépend de toy, tu ſçais que le l’adore.	Ta sœur dépend de toi, tu sais que le l'adore.
ZEGRY.	ZÉGRY.
ZEGRY.	ZÉGRY.
Ie te l'oſſtois n’a guerte, & ie te l'offre encore,	Je te l'osstais n'a guerte, et notre te l'offre encore,
ZAIDE.	ZAIDE.
Mes ſoupçons ſont eſteins, & vous deuez ſçauoir que ie ſuy mes deſirs en ſuiuant mon deuois, Adioan s'en plaindra.	Mes soupçons sont éteins, et vous devez savoir que ie tu mes désirs en suivant mon devais, Adioan s'en plaindra.
ADIBAR.	ADIBAR.
Vous vous trompez, Madame?	Vous vous trompez, Madame?
Quand le pers tout eſpoir, ie pers toute ma flame, Et pour vous témoigner que ſ'en ſuis conſolé, Ie val bruler des ſeux dont ſadſs I'ay brulé, Oſeray-ie Gomelle!	Quand le pers tout espoir, je perds toute ma flamme, Et pour vous témoigner que s'en suis consolé, Je val brûler des seux dont sadss J'ai brulé, Oseray-ie Gomelle!
