A PARIS, Chez JEAN MUSiEr, ruë de PetitPont, à l’Image Saint Antoine.	À PARIS, Chez JEAN MUSiEr, rue de PetitPont, à l'Image Saint Antoine.
Ils n’avoient pas envie de me faire languir, ſont des méchans, ils ont coupé la main à nôtre cochon;	Ils n'avaient pas envie de me faire languir, sont des méchants, ils ont coupé la main à notre cochon;
ſans le Seigneur Lidias & ce viſage-là, ils m’euſſent coupé bras & jambes, & m’euſſent envoye aux galeres, en deux coups de jarnac, ils nous délivrerent de cette maudite engeance.	sans le Seigneur Lidias et ce visage-là, ils m'eussent coupé bras et jambes, et m'eussent envoie aux galères, en deux coups de jarnac, ils nous délivrent de cette maudite engeance.
Theſaurus.	Thesaurus.
Mais encore n’avez vous point eu vent qu’ils étoient, vous qui les avez rembarrez.	Mais encore n'avez -vous point eu vent qu'ils étaient, vous qui les avez rembarrez.
Alaigre.	Alaigre.
O ma foy foüillez-moy plûtôt, je vous diray bien qu’il en demeura moins d’une douzaine ſur le carreau, ils étoient tellement hachez de coups d’épées qu’on ne les pouvoit reconnoître.	Ô ma foi foüillez-moi plûtôt, je vous dirai bientôt qu'il en demeura moins d'une douzaine sur le carreau, ils étaient tellement hachez de coups d'épées qu'on ne les pouvait reconnaître.
Avec cela nous les avons percez à jour comme des cribles.	Avec cela nous les avons percés à jour comme des cribles.
Lidias.	Lidias.
1 Nous prîmes langue aux lieux prochains, mais cela ne nous ſervit de rien, car ils coutolent comme des levrleis.	1 Nous prîmes langue aux lieux prochains, mais cela ne nous servit de rien, car ils coutolent comme des levrleis.
Alaigre.	Alaigre.
Ceux qui reſterent ne nous donnerent pas le loiſir pour nous reconnoître, car ils nous tournerent bien tôt le dos, & nous montrerent leur talons, dont ils n'eſcrimoient point mal, quand je vis cela, je jettay mon bonnet par delſus les moulins & je ne ſçay ce qu il devint.	Ceux qui restèrent ne nous donnèrent pas le loisir pour nous reconnaître, car ils nous tournèrent bien tôt le dos, et nous montrèrent leur talons, dont ils n'escrimoient point mal, quand je vis cela, je jetai mon bonnet par délus les moulins et je ne sais ce qu' il devint.
Theſaurus.	Thesaurus.
Il faut que j’appelle nôtre chere moitié.	Il faut que j'appelle notre chère moitié.
Ma Femme, venez voir nôtre geniture, venen vite, notre nemtage eſt de retour.	Ma Femme, venez voir notre géniture, venen vite, notre nemthage est de retour.
Philippin.	Philippin.
Ene eſt revenue Denſle, tout va bien.	Une est revenue Densle, tout va bien.
Alaigre.	Alaigre.
Parlons bas, choſe nous écoute.	Parlons bas, chose nous écoute.
Theſaurus.	Thesaurus.
Seigneur Lidias, il faut que je vous embraſſe j’ay mis en arriere la dent que j’avois contre vous.	Seigneur Lidias, il faut que je vous embrasse j'ai mis en arrière la dent que j'avais contre vous.
Alaigre.	Alaigre.
Alizon, je te baiſe les pieds, les mains ſont trop communes.	Alison, je te baise les pieds, les mains sont trop communes.
Morbleu tu as les yeux riants comme une truye brûlée, tu és d’auſſi belle taille que la perche d’un ramonneur, dy moy ſans mentir, de combien as tu aujourd’huy ferré la mule, regarde Philippin, ce dione il t'ayme, il fit tortu.	Morbleu tu as les yeux riants comme une truie brûlée, tu ès d'aussi belle taille que la perche d'un ramonneur, dis moi sans mentir, de combien as tu aujourd'hui ferré la mule, regarde Philippin, ce dione il t'aime, il fit tortu.
AtiZon.	AtiZon.
Tu n’es qu’un hableux, je ne ſuis pas viande pour ton oyleau.	Tu n'es qu'un hableux, je ne suis pas viande pour ton oileau.
Theſaurus.	Thesaurus.
Puiſque vous aymez ma Fille, oubliez le mal talent que vous pouvez avoir contre moy.	Puisque vous aimez ma Fille, oubliez le mal talent que vous pouvez avoir contre moi.
Je ſuis fâché de ne vous avoir pas traitté comme mon enfant, vous le meritiez mieux que ce donneur de canart à moitié, qui nous promettoit tant de châteaux en Eſpagne.	Je suis fâché de ne vous avoir pas traité comme mon enfant, vous le méritiez mieux que ce donneur de canard à moitié, qui nous promettait tant de châteaux en Espagne.
Lidias.	Lidias.
Monſieur l’homme propoſe & Dieu diſ	Monsieur l'homme propose et Dieu dis
pole.	pôle.
2i3Mippiii.	2i3Mipipi.
Mais que tu faſſe bien les liévres prendront les chiens.	Mais que tu fasse bien les lièvres prendront les chiens.
Alizon.	Alison.
Hé le malitorne, que cela eſt mauſſade, il ne ſçauroit laiſſer le monde comme il eſt.	Hé le malitorne, que cela est maussade, il ne saurait laisser le monde comme il est.
Macée.	Macée.
Helas ma pauvre Fille, je ſuis plus heureuſe de t’avoir recouverte que ſi j’avois trouvé la pierre philoſophale.	Hélas ma pauvre Fille, je suis plus heureuse de t'avoir recouverte que si j'avais trouvé la pierre philosophale.
Je ne faiſois que traîner ma vie en ton abſence, à cette heure il ſemble que je volle, le cœur me ſaute dans le ventre, je m’épanoüis la ratte, ça que je t’embraſſe à mon gogo.	Je ne faisais que traîner ma vie en ton absence, à cette heure il semble que je volle, le cœur me saute dans le ventre, je m'épanoüis la rate, ça que je t'embrasse à mon gogo.
Alaigre.	Alaigre.
Mais à propos qu’eſt devenu ce Capitaine des bandes griſes, il a toûjours été auſſi challceul que le emena bruiquet.	Mais à propos qu'est devenu ce Capitaine des bandes grises, il a toujours été aussi chaleul que le emena bruiquet.
Theſaurus.	Thesaurus.
C’eſt un pipeur, les petits enfans en vont à la moûtarde, un temps durant je l’ay veu honnête homme pourtant.	C'est un pipeur, les petits enfants en vont à la moûtarde, un temps durant je l'ai vu honnête homme pourtant.
Alaigre.	Alaigre.
Honnête homme, c’eſt donc en latin, car cent un grenier à coups de poing ce morfondu-là, fy, fy, au diable.	Honnête homme, c'est donc en latin, car cent un grenier à coups de poing ce morfondu-là, fi, fi, au diable.
Philippin.	Philippin.
Vous lavez donc reconneu Seigneur de nul lieu faute de place, je me doutois bien quimecun des Gentnis-nommes de la Beauſſe qui ſe tiennent au lit pendant qu’on refait leurs chauſſes.	Vous lavez donc reconnu Seigneur de nul lieu faute de place, je me doutais bien quimecun des Gentnis-nommes de la Beausse qui se tiennent au lit pendant qu'on refait leurs chausses.
Theſaurus.	Thesaurus.
Mais ma femme ne faites pas comme les Singes qui ſerrent ſi fort leurs petits quand ils les careſſent qu’ils les étouffent.	Mais ma femme ne faites pas comme les Singes qui serrent si fort leurs petits quand ils les caressent qu'ils les étouffent.
Ma femme rendez un peu l’honneur à qui il partient & taites une colérette à ce Gentil-homme, que vous devez à tout jamais, à perpetuité & par tous les ſiecles cherir comme s’il avoit tourné en vôtre ventre.	Ma femme rendez un peu l'honneur à qui il partient et taites une colrette à ce Gentilhomme, que vous devez à tout jamais, à perpétuité et par tous les siècles chérir comme s'il avait tourné en votre ventre.
Lidias.	Lidias.
Madame je ne merite pas la moindre partie de l’honneur que je reçois de vous, ce que j’ay fait n’a eſté que par de voir, je vous prie de crone que je voudrois tout faire pour votre ſervice.	Madame je ne mérite pas la moindre partie de l'honneur que je reçois de vous, ce que j'ai fait n'a été que par de voir, je vous prie de crone que je voudrais tout faire pour votre service.
Macée.	Macée.
Monſieur, vous nous obligerez ſi fort à faire eſtime de vous, que vous nous pouvez comiunuor adiſſ abroltihennnque le Roy à ſon Sergent, & la Reyne à ſon enfant.	Monsieur, vous nous obligerez si fort à faire estime de vous, que vous nous pouvez comjunuor adiss abroltihennque le Roi à son Sergent, et la Reine à son enfant.
Alaigre.	Alaigre.
Pour luy il à les jambes de fetu & le cul de verre, il rompra tout s’il ſe remuë.	Pour Elle il à les jambes de fétu et le cul de verre, il rompra tout s'il se remue.
Macée.	Macée.
Vous voyez des gens qui ſe repentent de vous avoir fait paſſer tant de mauvaiſes nuits, vous Içavez qu’il vaut imeux ſe repentir tard que jamais, nous l’amanderons de façon ou d’autre.	Vous voyez des gens qui se repent de vous avoir fait passer tant de mauvaises nuits, vous Içavez qu'il vaut imeux se repentir tard que jamais, nous l'amanderons de façon ou d'autre.
Lidias.	Lidias.
Madame rien ne s’acquiert ſans peine, puis que les moindres choſes meritent le travail qu’on y employe, & les bonnes graces du peré de la mere & de la Ilile, que i’eſtime par ſur les montagnes, meritoient bien d’être acquiſes avec toutes ſes peines & même au peril de ma vie, comme j’ay fait.	Madame rien ne s'acquiert sans peine, puis que les moindres choses méritent le travail qu'on y emploie, et les bonnes grâces du péré de la mere et de la Ilile, que j'estime par sur les montagnes, méritaient bien d'être acquises avec toutes ses peines et même au péril de ma vie, comme j'ai fait.
Teſaurus.	Tesaurus.
Ma femme il vaut mieux écu que l’autre maille, Dieu le doint à nôtre fille.	Ma femme il vaut mieux écu que l'autre maille, Dieu le doint à notre fille.
Macée.	Macée.
Monſieur nous vous prions de l’accepter d’auſſi bon cœur que quelque choſe de	Monsieur nous vous prions de l'accepter d'aussi bon cœur que quelque chose de
Nous vous donnons ce que nous avons en amy, ſans aucune condition que celle que	Nous vous donnons ce que nous avons en ami, sans aucune condition que celle que
voudrez.	voudrez.
Lidias.	Lidias.
Momeur, jaccepte cecy & ceia & tout ce qu’ils vous plaira, je vous donne la carte	Momeur, jaccepte ceci et ceia et tout ce qu'ils vous plaira, je vous donne la carte
blanche.	blanche.
Theſaurus.	Thesaurus.
Vous étes un brave homme de recevoir ces compromis ſans barguiner, pour les autres petites bagatelles nous ne nous battrons	Vous êtes un brave homme de recevoir ces compromis sans barguiner, pour les autres petites bagatelles nous ne nous battrons
pas enſemble.	pas ensemble.
Alizon, v ous fęaven bien coimie vous vous en portez ma maîtreſſe, tredame vous voila glallde comme un jour lans pain.	Alison, v ous fęaven bien coimie vous vous en portez ma maîtresse, tredame vous voilà glallde comme un jour lans pain.
Florinde.	Florinde.
Tu caquette toûjours comme un chardonneret.	Tu caquette toujours comme un chardonneret.
Theſaurus.	Thesaurus.
Mais s’il eſt ainſi qu’on connoiſſe par les fleurs l’excellence du fruit, ce Gentil-homme la eit honnete à la mine,	Mais s'il est ainsi qu'on connaisse par les fleurs l'excellence du fruit, ce Gentilhomme la eit honnête à la mine,
Lidias.	Lidias.
Monſieur, s’il n’eſt ce que vous dites, au moins eſt t’il du bois dont on les fait.	Monsieur, s'il n'est ce que vous dites, au moins est t'il du bois dont on les fait.
Philippin.	Philippin.
Pourquoy ne le ſeroit-il pas, par le couſin germain du pere de ſon grand pere avoit envie de l’être.	Pourquoi ne le serait-il pas, par le cousin germain du père de son grand père avait envie de l'être.
Alaigre.	Alaigre.
Il eſt mêchant, je ne voudrois ma foy	Il est mêchant, je ne voudrais ma foi
pas qu’il m’eût rompu une jambe, c’eſt un galland, il a la faſſe tonduë, fol qui donnera ſa Femme en garde, c’eſt un mâ le il a la gorge noire.	pas qu'il m'eût rompu une jambe, c'est un gallant, il a la fasse tondue, fol qui donnera sa Femme en garde, c'est un mât le il a la gorge noire.
Lidias montrant le Prevôt.	Lidias montrant le Prévôt.
Sans vous tenir d’avantage en ſuſpens & pour vous eclaircir de tout, je vous aſſeure qu’il ne peut être plus proche s’il n’eſt mon Pere.	Sans vous tenir d'avantage en suspens et pour vous éclaircir de tout, je vous assure qu'il ne peut être plus proche s'il n'est mon Père.
Le Prevôt.	Le Prévôt.
Monſieur, je ſuis vôtre ſerviteur, quand vous ne le voudriez pas.	Monsieur, je suis votre serviteur, quand vous ne le voudriez pas.
Theſaurus.	Thesaurus.
Monſieur vous nous tiendrez pour excuſez s’il vous plait nous l’avons pas l’honneur de vous connoître, vous ſçavez que nul n’eſt apris n’y inſtruit.	Monsieur vous nous tiendrez pour excusez s'il vous plaît nous l'avons pas l'honneur de vous connaître, vous savez que nul n'est appris n'y instruit.
Philippin.	Philippin.
N’importe, n’importe, tous chats ſont gris de nuit.	N'importe, n'importe, tous chats sont gris de nuit.
Macée careſſe AliZon.	Macée caresse Alison.
Le lreoor.	Le léoor.
Monſieur je ſuis ce que je ſuis :	Monsieur je suis ce que je suis :
mais je vous conjure de croire que je ſuis autant vôtre ſerviteur qu’un pareil à moy.	mais je vous conjure de croire que je suis autant votre serviteur qu'un pareil à moi.
Theſaurus.	Thesaurus.
mia ſemme, ménagez vôtre contentement une ſoudaine joye tuë auſſi-tôt qu’une grande douleur.	mia semme, ménagez votre contentement une soudaine joie tuée aussitôt qu'une grande douleur.
Voila le frere du ſieur Lidias, rendez-luy devoir, il faut honorer la vertu par tout où on la trouve.	Voilà le frère du sieur Lidias, rendez-lui devoir, il faut honorer la vertu par tout où on la trouve.
Macée Vrayement à la bonne heure.	Macée Vraiement à la bonne heure.
Alaigre.	Alaigre.
Nous prit la pluye	Nous prit la pluie
Macée.	Macée.
Il fait bien vivre & rien ſçavoir on aprend toûtoujours quelque chole, Monſſeur par donnez leurs, ils ne ſçavent ce qu’ils font je vous aſſeure.	Il fait bien vivre et rien savoir on apprend toujours quelque chole, Monsieur par donnez leurs, ils ne savent ce qu'ils font je vous assure.
Le Prevôt.	Le Prévôt.
Madame, où il ny a point de faute il ny a point	Madame, où il perd a point de faute il tempête a point
de pardon.	de pardon.
lncée.	lncée.
Vous ſçavez que nous ne ſommes pas maîtres de nus prenliels mouvemiens.	Vous savez que nous ne sommes pas maîtres de nus prenliels mouvements.
Alaigre.	Alaigre.
Je donne au diable h.	Je donne au diable h.
Philippin.	Philippin.
Toubeau je retiens la teſte pour faire un pot à	Toubeau je retiens la tête pour faire un pot à
