RVEI TRAGEDIE Par P.	RVEI TRAGÉDIE Par P.
Si j’avois écouté de plus nobles conſeils, Je vivrois dans la gloire où vivent mes pareils, Je mériterois mieux cette amitié ſi pure Que pour un frére ingrat vous donne la Nature, Céſar embraſſeroit Pompée en ce Palais, Noſtre Egypte à la Terre auroit rendu la Paix, Et verroit ſon Monarque encor à juste tître Amy de tous les deux, & peut-eſtre l’arbitre.	Si j'avais écouté de plus nobles conseils, Je vivrais dans la gloire où vivent mes pareils, Je mériterais mieux cette amitié si pure Que pour un frère ingrat vous donne la Nature, César embrasserait Pompée en ce Palais, Notre Égypte à la Terre aurait rendu la Paix, Et verrait son Monarque encor à juste tître Ami de tous les deux, et peut-être l'arbitre.
Mais puisque le paſſé ne peut ſe révoquer, Trouvez bon qu’avec vous mon cœur s’oje expliquet.	Mais puisque le passé ne peut se révoquer, Trouvez bon qu'avec vous mon cœur s'où expliquet.
Je vous ay maltraitée, & vous étes ſi bonne Que vous me conſervezau tie ee i Eburonne;	Je vous ai maltraitée, et vous êtes si bonne Que vous me conservezau tye ce y Eburonne;
Vainquez-vous tout-à-fait, & par un digne effort Arrachez Achillas & Photin à la mort.	Vainquez-vous tout-à-fait, et par un digne effort Arrachez Achillas et Photin à la mort.
Elle leur eſt bien deuë, ils vous ont offenſée?	Elle leur est bien due, ils vous ont offensée?
Mais ma gloire en leur perte eſt trop intéreſſée:	Mais ma gloire en leur perte est trop intéressée:
Si Céſar les punit des crimes de leur Roy, Toute l’ignominie en réjallit ſur moy, Il me punit en eux, leur ſupplice eſt ma peine.	Si César les punit des crimes de leur Roi, Toute l'ignominie en réjallit sur moi, Il me punit en eux, leur supplice est ma peine.
Forcez en ma faveur une trop juste haine, Dequoy peut ſatisfaire un cœur ſi généreux Le ſang abjet & vil de ces deux malheureux?	Forcez -en ma faveur une trop juste haine, Dequoi peut satisfaire un cœur si généreux Le sang abjet et vil de ces deux malheureux?
Que je vous doive tout, Céſar cherche à vous plaire, Et vous pouvez d’un mot deſarmer ſa colére.	Que je vous doive tout, César cherche à vous plaire, Et vous pouvez d'un mot désarmer sa colère.
CLEOPATRE.	CLÉPATRE.
Je les mépriſe aſſez, pour ne m’en venger pas, Mais ſur le grand Céſar je puis fort peu de choſe.	Je les méprise assez, pour ne m'en venger pas, Mais sur le grand César je puis fort peu de chose.
Quand le ſang de Pompée à mes deſirs s’oppoſe.	Quand le sang de Pompée à mes désirs s'oppose.
Je ne me vante pas de pouvoir le fléchir, J’en ay déja parlé, mais il a ſçeu gauchir, Et tournant le discours ſur une autre matiére, nna;	Je ne me vante pas de pouvoir le fléchir, J'en ai déjà parlé, mais il a su gauchir, Et tournant le discours sur une autre matièvre, na;
njreruie, ny iounert mu pilere.	njreruie, ni jounert mu pilère.
Je veux bien toutefois encor m’y hazarder, Mes efforts redoublez pourront mieux ſuccéder, Et j’oſe croire.	Je veux bien toutefois encor m'y hasarder, Mes efforts redoublés pourront mieux succéder, Et j'ose croire.
PTOLOMEE.	PTOLOMEE.
Il vient, ſouffrez que je l’évite, Je crains que ma preſence à vos yeux ne l’irrite, Que ſon couroux émeu ne s’aigriſſe à me voir, Et vous agirez ſeule avec plus de pouvoir.	Il vient, souffrez que je l'évite, Je crains que ma présence à vos yeux ne l'irrite, Que son courroux ému ne s'aigrisse à me voir, Et vous agirez seule avec plus de pouvoir.
SCENE III.	SCÈNE III.
CESAR, CLEOPATRE, ANTOINE, LEPIDE, CHARGITON, ACHOREE, Romains.	CÉSAR, CLEOPATRE, ANTOINE, LÉPIDE, CHARGITON, ACHORE, Romains.
CESAR.	CÉSAR.
Eine, tout eſt paiſible, & la ville calmée R Qu’un trouble aſſez leger avoit trop alarmée, N’a plus à redouter le divorce intestin Du ſoldat inſolent & du Peuple mucin.	Éine, tout est paisible, et la ville calmée R Qu'un trouble assez léger avait trop alarmée, N'a plus à redouter le divorce intestin Du soldat insolent et du Peuple mucin.
Mais, ô Dieux!	Mais, ô Dieux!
ce moment que je vous ay quittée D’un trouble bien plus grand a mon ame agitée, Et ces ſoins importuns qui m’arrachoient de vous Contre ma grandeur meſme allumoient mon couroux!	ce moment que je vous ai quittée D'un trouble bien plus grand à mon âme agitée, Et ces soins importuns qui m'arrachaient de vous Contre ma grandeur même allumaient mon courroux!
Je luy voulois du mal de m’eſtre ſi contraire, De rendre ma preſence ailleurs ſi néceſſaire;	Je te voulais du mal de m'être si contraire, De rendre ma présence ailleurs si nécessaire;
Mais je luy pardonnois au ſimple ſouvenir Du bonheur qu’à ma flâme elle fait obtenir.	Mais je lui pardonnais au simple souvenir Du bonheur qu'à ma flamme elle fait obtenir.
C’eſt elle dont je tiens cette haute espérance Qui flate mes deſirs d’une illustre apparance, Et fait croire à Céſar qu’il peut former des vœux, Qu’il n’eſt pas tout-à-fait indigne de vos feux, Et qu’il peut en prétendre une juste conqueſte, N’ayant plus que les Dieux au deſſus de ſa teſte:	C'est elle dont je tiens cette haute espérance Qui flatte mes désirs d'une illustre apparance, Et fait croire à César qu'il peut former des vœux, Qu'il n'est pas tout -fait indigne de vos feux, Et qu'il peut en prétendre une juste conquête, N'ayant plus que les Dieux au dessus de sa tête:
Ouy, Reine, ſi quelqu’un dans ce vaste Univers Pouvoit porter plus haut la gloire de vos fers;	Oui, Reine, si quelqu'un dans ce vaste Univers Pouvait porter plus haut la gloire de vos fers;
S’il étoit quelque Troſne où vous pûſſiez paroiſtre Plus dignement aſſiſe en captivant ſon maiſtre;	S'il était quelque Trône où vous pussiez paraître Plus dignement assise en captivant son maître;
J’irois, j’irois à luy, moins pour le luy ravir, Que pour luy disputer le Droit de vous ſervir, Et je n’aspirerois au bonheur de vous plaire, Qu’après avoir mis bas un ſi grand adverſaire.	J'irais, j'irais à peine, moins pour le lui ravir, Que pour lui disputer le Droit de vous servir, Et je n'aspirerais au bonheur de vous plaire, Qu'après avoir mis bas un si grand adversaire.
C’étoit pour acquérir un Droit ſi précieux Que combatoit par tout mon bras ambitieux, Et dans Pharſale meſme il a tiré l’épée Plus pour le conſerver, que pour vaincre Pompée, Je l’ay vaincu, Princeſſe, & le Dieu des combats M’y favoriſoit moins que vos divins appas, Ils conduiſoient ma main, ils enfloient mon courage;	C'était pour acquérir un Droit si précieux Que combattait par tout mon bras ambitieux, Et dans Pharsale même il a tiré l'épée Plus pour le conserver, que pour vaincre Pompée, Je l'ai vaincu, Princesse, et le Dieu des combats M'y favorisait moins que vos divins appas, Ils conduisaient ma main, ils enflaient mon courage;
Cette pleine victoire eſt leur dernier ouvrage, C’eſt l’effet des ardeurs qu’ils daignoient m’inspirer;	Cette pleine victoire est leur dernier ouvrage, C'est l'effet des ardeurs qu'ils daignaient m'inspirer;
Et vos beaux yeux enfin m’ayant fait ſoûpirer, Pour faire que voſtre ame avec gloire y réponde, M’ont rendu le prémier, & de Rome, & du Monde.	Et vos beaux yeux enfin m'ayant fait soupirer, Pour faire que votre âme avec gloire y réponde, M'ont rendu le prémier, et de Rome, et du Monde.
C’eſt ce glorieux tître à preſent effectif Que je viens ennooi pai celuyue cupen 5 Heureux, ſi mon esprit gagne tant ſur le voſtre, Qu’il en estime l’un, & me permette l’autre.	C'est ce glorieux tître à présent effectif Que je viens ennooi pai celuive cupen 5 Heureux, si mon esprit gagne tant sur le vôtre, Qu'il en estime l'un, et me permette l'autre.
CLEOPATRE.	CLÉPATRE.
Je ſçay ce que je dois au ſouverain bonheur (neur, Dont me comble & m’accable un tel excès d’honJe ne vous tiendray plus mes paſſions ſecrettes, Je ſçay ce que je ſuis, je ſçay ce que vous étes, Vous daignaſtes m’aimer dès mes plus jeunes ans, Le ſceptre que je porte eſt un de vos preſens, Vous m’avez par deux fois rendu le Diadème;	Je sais ce que je dois au souverain bonheur (neur, Dont me comble et m'accable un tel excès d'honJe ne vous tiendrai plus mes passions secrètes, Je sais ce que je suis, je sais ce que vous êtes, Vous daignâtes m'aimer dès mes plus jeunes ans, Le sceptre que je porte est un de vos présents, Vous m'avez par deux fois rendu le Diadème;
J’avouë après cela, Seigneur, que je vous aime, Et que mon cœur n’eſt point à l’épreuve des traits Ny de tant de vertus, ny de tant de bien-faits.	J'avoue après cela, Seigneur, que je vous aime, Et que mon cœur n'est point à l'épreuve des traits Ni de tant de vertus, ni de tant de bienfaits.
Mais, hélas!	Mais, hélas!
ce haut rang, cette illustre naiſſance, Cét Etat de nouveau rangé ſous ma puiſſance, Ce ſceptre par vos mains dans les miennes remis, A mes vœux innocens ſont autant d’ennemis.	ce haut rang, cette illustre naissance, Cét At de nouveau rangé sous ma puissance, Ce sceptre par vos mains dans les miennes remis, À mes vœux innocents sont autant d'ennemis.
Ils me font mépriſable, alors qu’ils me font Reine, Et ſi Rome eſt encor telle qu’auparavant, Le troſne où je me ſieds m’abaiſſe en m’élevant, Et ces marques d’honneur, comme tîtres infames, Me rendent à jamais indigne de vos flâmes.	Il me font méprisable, alors qu'ils me font Reine, Et si Rome est encor telle qu'auparavant, Le trône où je me sièds m'abaisse en m'élevant, Et ces marques d'honneur, comme tîtres infâmes, Me rendent à jamais indigne de vos flammes.
J’oſe encor toutefois, voyant voſtre pouvoir, Permettre à mes deſirs un généreux espoir.	J'ose encore toutefois, voyant votre pouvoir, Permettre à mes désirs un généreux espoir.
Après tant de combats, je ſçay qu’un ſi grand homme A droit de triompher des caprices de Rome, Et que l’injuste horreur qu’elle eut toûjours des Rois Peut céder par voſtre ordre à de plus justes loix.	Après tant de combats, je sais qu'un si grand homme A droit de triompher des caprices de Rome, Et que l'injuste horreur qu'elle eut toujours des Rois Peut céder par votre ordre à de plus justes lois.
Je ſçay que vous pouvez forcer d’autres obstacles, Vous me l’avez promis, & j’attens ces miracles, Voſtre bras dans Pharſale a fait de plus grands Coups , Et je ne les demande à d’autres Dieux qu’à vous.	Je sais que vous pouvez forcer d'autres obstacles, Vous me l'avez promis, et j'attends ces miracles, Votre bras dans Pharsale a fait de plus grands Coups , Et je ne les demande à d'autres Dieux qu'à vous.
CESAR.	CÉSAR.
Tout miracle eſt facile où mon amour s’applique, Je n’ay plus qu’à courir les coſtes de l’Afrique, Qu’à montrer mes Drapeaux au reste épouvanté.	Tout miracle est facile où mon amour s'applique, Je n'ai plus qu'à courir les côtes de l'Afrique, Qu'à montrer mes Drapeaux au reste épouvanté.
Du party malheureux qui m’a perſécuté.	Du parti malheureux qui m'a persécuté.
Rome n’ayant plus lors d’ennemis à me faire Par impuiſſance enfin prendra ſoin de me plaire, Et vos yeux la verront par un ſuperbe accueil Immoler à vos pieds ſa haine & ſon orgueil.	Rome n'ayant plus lors d'ennemis à me faire Par impuissance enfin prendra soin de me plaire, Et vos yeux la verront par un superbe il Immoler vos pieds sa haine et son orgueil.
Encor une défaite, & dans Alexandrie Je veux que cette ingrate en ma faveur vous prie, Et qu’un juste respect conduiſant ſes regards A voſtre chaste amour demande des Céſars.	Encor une défaite, et dans Alexandrie Je veux que cette ingrate en ma faveur vous prie, Et qu'un juste respect conduisant ses regards A votre chaste amour demande des Césars.
C’eſt l’unique bonheur où mes deſirs prétendent, C’eſt.	C'est l'unique bonheur où mes désirs prétendent, C'est.
le fruit que j’attens des lauriers qui m’attendent, Heureux, ſi mon destin encor un peu plus doux Me les faiſoit cueillir ſans m’éloigner de vous.	le fruit que j'attends des lauriers qui m'attendent, Heureux, si mon destin encor un peu plus doux M' a faisoit cueillir sans m'éloigner de vous.
Mais, las!	Mais, las!
contre mon feu mon feu me ſollicite, Si je veux eſtre à vous, il faut que je vous quitte, En quelques lieux qu’on fuye, il me faut y courir, Pour achever de vaincre;	contre mon feu mon feu me sollicite, Si je veux être à vous, il faut que je vous quitte, En quelques lieux qu'on fuie, il me faut y courir, Pour achever de vaincre;
de de vous conquerif.	de de vous conquérif.
Permettez cependant qu’à ces douces amorces Je prenne un nouveau cœur, & de nouvelles forces, Pour faire dire encor aux Peuples pleins d’effroy, Que venir, voir, & vaincre, eſt meſme choſe en moy.	Permettez cependant qu'à ces douces amorces Je prenne un nouveau cœur, et de nouvelles forces, Pour faire dire encor aux Peuples pleins d'effroi, Que venir, voir, et vaincre, est même chose en moi.
CLEOPATRE.	CLÉPATRE.
C’eſt trop, c’eſt trop, Seigneur, ſouffrez que j’en abuſe, Voſtre amour fait ma faute, il fera mon excuſe.	C'est trop, c'est trop, Seigneur, souffrez que j'en abuse, Votre amour fait ma faute, il fera mon excuse.
Vous me rendez le ſceptre & peut-eſtre le jour:	Vous me rendez le sceptre et peut-être le jour:
Mais ſi j’oſe abuſer de cét excés d’amour, Je vous conjure encor par ſes plus puiſſans charmes, Par ce juste bonheur qui ſuit toûjours vos armes, Par tout ce que j’espére, & que vous attendez, De n’enſanglanter pas ce que vous me rendez.	Mais si j'ose abuser de cet excès d'amour, Je vous conjure encor par ses plus puissants charmes, Par ce juste bonheur qui suit toujours vos armes, Par tout ce que j'espère, et que vous attendez, De n'ensanglanter pas ce que vous me rendez.
Faites grace, Seigneur, ou ſouffrez que j’en faſſe, Et montre à tous par là que j’ay repris ma place.	Faites grâce, Seigneur, ou souffrez que j'en fasse, Et montre à tous par là que j'ai repris ma place.
Achillas & Photin ſont gens à dédaigner, Il ſont aſſez punis en me voyant régner.	Achillas et Photin sont gens à dédaigner, Il sont assez punis en me voyant régner.
Et leur crime.	Et leur crime.
CESAR.	CÉSAR.
Ah!	Ah!
prenez d’autres marques de Reiner Deſſus mes volontez vous étes ſouveraine, Mais ſi mes ſentimens peuvent eſtre écoutez, Choiſiſſez des ſujets dignes de vos bontez, Ne vous donnez ſur moy qu’un pouvoir légitime, Et ne me rendez point complice de leur crime.	prenez d'autres marques de Reiner Dessus mes volontés -vous êtes souveraine, Mais si mes sentiments peuvent être écoutez, Choisissez des sujets dignes de vos bontés, Ne vous donnez sur moi qu'un pouvoir légitime, Et ne me rendez point complice de leur crime.
C’eſt beaucoup que pour vous j’oſe épargner le Roy ;	C'est beaucoup que pour vous j'ose épargner le Roi ;
Et ſi mes feux n’étoient.	Et si mes feux n'étaient.
HNEIV CESAR, CORNELIE, CLEOPATRE, ACHOREE, ANTOINE, LEPIDE, CHARMION, Romains.	HNEIV CÉSAR, CORNELIE, CLÉPATRE, ACHORE, ANTOINE, LEPIDE, CHARMION, Romains.
Ta mort eſt réſoluë, on la jure, on l’apreſte.	Ta mort est résolue, on la jure, on l'apprête.
A celle de Pompée on veut joindre ta teſte, Prens-y garde, Céſar, ou ton ſang répandu Bien-toſt parmy le ſien ſe verra confondu.	À celle de Pompée on veut joindre ta tête, Prends-y garde, César, ou ton sang répandu Bientôt parmi le sien se verra confondu.
