A M.	À M.
Qu’a-t’il fait apres tout ſi digne de vous plaire Qu’auec vn tel ſecours tout autre n’euſt pû faire, Et tout Heros qu’il eſt, qu’euſt-il oſé pour vous, S’il n’euſt eu que ſa flame & ſon bras comme nous ?	Qu'a-t-il fait après tout si digne de vous plaire Qu'avec un tel secours tout autre n'eût pu faire, Et tout Héros qu'il est, qu'eût-il osé pour vous, S'il n'eût eu que sa flamme et son bras comme nous ?
Mille & mille auroient fait des actions plus belles Si le Ciel comme à luy leur euſt preſté des aiſles, Et vous les auriez veus encor plus genereux, S’ils euſſent veu le Monſtre & le peril ſous eux.	Mille et mille auraient fait des actions plus belles Si le Ciel comme à lui eur eût prêté des ailes, Et vous les auriez vus encor plus généreux, S'ils eussent vu le Monstre et le péril sous eux.
On s’expoſe aiſément quand on n’a rien à craindrẽ.	On s'expose aisément quand on n'a rien à craindr.
Combatre vn ennemy qui ne pouvoit l’atteindre, Voir ſa victoire ſeure & daigner l’accepter, C’eſt tout le rare exploit dont il ſe peut vanter;	Combatre un ennemi qui ne pouvait l'atteindre, Voir sa victoire sûre et daigner l'accepter, C'est tout le rare exploit dont il se peut vanter;
Et ie ne comprens point, ny quelle en eſt la gloire, Ny quel grand prix merite vne telle victoire.	Et personne ne comprends point, ni quelle en est la gloire, Ni quel grand prix mérite une telle victoire.
CASSIOPE.	CASSIOPE.
Et voſtre aueuglement ſera bien moins compris, Qui d’vn ſujet d’eſtime en fait vn de mépris.	Et votre aveuglément sera bien moins compris, Qui d'un sujet d'estime en fait un de mépris.
Le Ciel qui mieux que nous cognoiſt ce que nous ſommes Meſure ſes faueurs au merite des hommes, Et d’vn pareil ſecours vous auriez eu l’appuy S’il euſt pû voir en vous meſmes vertus qu’en luy.	Le Ciel qui mieux que nous connaît ce que nous sommes Mesure ses faveurs au mérite des hommes, Et d'un pareil secours vous auriez eu l'appui S'il eût pu voir en vous mêmes vertus qu'en lui.
Ce ſont graces d’enhaut rares & ſingulieres, Qui n’en deſcendent point pour des ames vulgaires, Ou pour en mieux parler, la iuſtice des Cieux Garde ce priuilege au digne ſang des Dieux, C’eſt Cen par la que lour noy viene er uuuolier leur race.	Ce sont grâces d'enhaut rares et singulières, Qui n'en descendent point pour des âmes vulgaires, Ou pour en mieux parler, la justice des Cieux Garde ce privilège au digne sang des Dieux, C'est Cen par la que lour noi viene er uuuolier leur race.
ANDROMEDE.	ANDROMEDE.
Ie diray plus, Phinée, & pour vous faire grace, Ie veux ne rien deuoir à cet heureux ſecours Dont ce vaillant guerrier a conſerué mes iours:	Je dirai plus, Phinée, et pour vous faire grâce, Je veux ne rien devoir à cet heureux secours Dont ce vaillant guerrier a conservé mes jours:
Ie veux fermer les yeux ſur toute cette gloire, Oublier mon peril, oublier ſa victoire, Et quel qu’en ſoit enfin le merite, ou l’éclat, Ne iuger entre vous que depuis le combat.	Je veux fermer les yeux sur toute cette gloire, Oublier mon péril, oublier sa victoire, Et quel qu'en soit enfin le mérite, ou l'éclat, Ne juger entre vous que depuis le combat.
Voyez ce qu’il a fait lors qu’apres ces alarmes Me voyant toute acquiſe au bon-heur de ſes armes, Ayant pour luy les Dieux, ayant pour luy le Roy, Dans ſa victoire meſme il s’eſt vaincu pour moy.	Voyez ce qu'il a fait lors qu'après ces alarmes Me voyant toute acquise au bonheur de ses armes, Ayant pour lui les Dieux, ayant pour lui le Roi, Dans sa victoire même il s'est vaincu pour moi.
Il m’a ſacrifié tout ce haut auantage, De toute ſa conqueſte il m’a fait vn hommage, Il m’en a fait vn don, & fort de tant de voix, Au peril de tout perdre il met tout en mon choix, Il veut tenir pour grace vn ſi iuſte ſalaire, Il reduit ſon bon-heur à ne me point déplaire, Préſerant mes refus, préferant ſon trépas A l’effet de ſes vœux qui ne me plairoit pas.	Il m'a sacrifié tout ce haut avantage, De toute sa conquête il m'a fait un hommage, Il m'en a fait un don, et fort de tant de voix, Au péril de tout perdre il met tout en mon choix, Il veut tenir pour grâce un si juste salaire, Il réduit son bonheur à ne me point déplaire, Préserant mes refus, préférant son trépas À l'effet de ses vœux qui ne me plaierait pas.
En vſez-vous de meſme, & voſtre violence Garde-t’elle pour moy la meſme déference ?	En Usez-vous de même, et votre violence Garde-t-elle pour moi la même déférence ?
Vous auez contre vous & les Dieux, & le Roy, Et vous voulez encor m’obtenir malgré moy !	Vous avez contre vous et les Dieux, et le Roi, Et vous voulez encor m'obtenir malgré moi !
Sous ombre d’vne foy que vous n’auez pû ſuiure Ie dois à voſtre amour ce qu’vn autre deliure!	Sous ombre d'une foi que vous n'avez pu suivre Je dois à votre amour ce qu'un autre délivre!
A moins que d’eſtre ingrate à mon liberateur, A moins que d’adorer vn lâche adorateur, Que d’eſtre à mes parents, aux Dieux meſmes rebelle, Vous crierez apres moy ſans ceſſe, à l'infidelle!	À moins que d'être ingrate à mon libérateur, À moins que d'adorer un lâche adorateur, Que d'être à mes parents, aux Dieux mêmes rebelle, Vous criez après moi sans cesse, à l'infidèle!
C’eſtoit aux yeux du Monſtre, au pied de ce rocher Que l’effet de ma foy ſe deuoit rechercher.	C'était aux yeux du Monsieur, au pied de ce rocher Que l'effet de ma foi se devait rechercher.
Mon ame encor pour vous de meſme ardeur preſſée Vous euſt tendu la main au mépris de Perſée, Et creu plus glorieux qu’on m’euſt veuë aujourd’huy MouMourir auecque vous, que viure auecque luy :	Mon âme encor pour vous de même ardeur pressée Vous eût tendu la main au mépris de Persée, Et cru plus glorieux qu'on m'eût vue aujourd'hui MouMourir avec vous, que vivre avec lui :
Mais puiſque vous m’auez enuié cette ioye, Ceſſez de m’enuier ce que le Ciel m’enuoye, Et ſouffrez que ie taſche enfin à meriter Au refus de Phinée vn fils de Iuppiter.	Mais puisque vous m'avez envié cette joie, Cessez de m'envier ce que le Ciel m'envoie, Et souffrez que sans tâche enfin à mériter Au refus de Phinée un fils de Jupiter.
PHINEE.	PHINE.
Ie perds donc temps, Madame, & voſtre ame obſtinée N’a plus amour, ny foy, ny pitié pour Phinée ?	Je perds donc temps, Madame, et votre âme obstinée N'a plus amour, ni foi, ni pitié pour Phinée ?
Vn peu de vanité qui flatte vos parents, Et d’vn riual adroit les reſpects apparents, Font plus en vn moment auec leurs artifices Que n’ont fait en ſix ans ma ſlame & mes ſeruices.	Un peu de vanité qui flatte vos parents, Et d' Hival adroit les respects apparents, Font plus en un moment auec leurs artifices Que n'ont fait en six ans ma slamme et mes services.
Ie ne vous diray point que de pareils reſpects A toute autre que vous pourroient eſtre ſuſpects, Que qui peut ſe priuer de la perſonne aymée N’a qu’vne ardeur ciuile & fort mal allumée, Que dans ma violence on doit voir plus d’amour;	Je ne vous dirai point que de pareils respects À toute autre que vous pourraient être suspects, Que qui peut se priver de la personne aimée N'a qu'une ardeur civile et fort mal allumée, Que dans ma violence on doit voir plus d'amour;
C’eſt vn preſent des Cieux, faites-luy voſtre Cour, Plus fidele qu’à moy, tenez-luy mieux parole.	C'est un présent des Cieux, faites-lui votre Cour, Plus fidèle qu'à moi, tenez-lui mieux parole.
I’en vay rougir pour vous cependant qu’il me vole:	J'en vais rougir pour vous cependant qu'il me vole:
Mais ce riual peut-eſtre, apres m’auoir volé, Ne ſera pas touſiours ſur ce cheuur aiſé.	Mais ce rival peut-être, après m'avoir volé, Ne sera pas toujours sur ce chevr aisé.
ANDROMEDE.	ANDROMEDE.
Il i'en a pas beiom s’i na que vous à craindre.	Il j'en a pas beiom s'y na que vous à craindre.
PHINEE.	PHINE.
Il peut auec le temps eſtre le plus à plaindre.	Il peut avec le temps être le plus à plaindre.
ANDROMEDE.	ANDROMEDE.
Il porte à ſon coſté dequoy l’en garantir.	Il porte à son côté dequoy l'en garantir.
PHINEE.	PHINE.
Vous l’attendez icy, ie vay l’en auertir.	Vous l'attendez ici, On vais l'en avertir.
CASSIOPE.	CASSIOPE.
Son amour peut ſans vous nous rendre cet office.	Son amour peut sans vous nous rendre cet office.
PHINEE.	PHINE.
Le mien s’efforcera pour ce dernier ſeruice, Vous pouuez cependant diuertir vos eſprits A rendre conte au Roy de vos iuſtes mépris.	Le mien s'efforcera pour ce dernier service, Vous pouuez cependant divertir vos esprits A rendre conte au Roi de vos justes mépris.
SCE.	SCE.
CENE III.	CÈNE III.
CEPHEE, CASSIOPE, AN DROMEDE, Quite du Roy & de la Reine.	CÉPHÉE, CASSIOPE, AN DROMEDE, Quite du Roi et de la Reine.
CEPHEE.	CÉPHÉE.
ve faiſoit-là Phinée?	ve faisait-là Phinée?
eſt-il ſi temeraire que ce que font les Dieux il penſe à le défaire?	est-il si téméraire que ce que font les Dieux il pense à le défaire?
CASSIOPE.	CASSIOPE.
Apres auoir prié, ſoûpiré, menacé, Al toud à veu, oeigrieur, ce l'’orage à paſſé.	Après avoir prié, soupiré, menacé, Al toud à vu, oeigrieur, ce l'orage à passé.
CEPHEE.	CÉPHÉE.
Et vous preſtiez l’oreille à ſes diſcours friuoles?	Et vous prêtiez l'oreille à ses discours frivoles?
CASSIOPE.	CASSIOPE.
Vn amant qui perd tout peut perdre des paroles, Et l’écouter ſans trouble & ſans rien hazarder, C’eſt la moindre faueur qu’on luy puiſſe accorder.	Un amant qui perd tout peut perdre des paroles, Et l'écouter sans trouble et sans rien hasarder, C'est la moindre faveur qu'on lui puisse accorder.
Mais, Seigneur, dites-nous ſi Iuppiter propice Se declare en faueur de voſtre ſacrifice, Si de noſtre famille il ſe rend le ſouſtien, S’il conſent l’vnion de noſtre ſang au ſien ?	Mais, Seigneur, dites-nous si Jupiter propice De Sclare en faveur de votre sacrifice, Si de notre famille il se rend le soutien, S'il consent l'union de notre sang au sien ?
CEPHEE.	CÉPHÉE.
Iamais les feux ſacrez & la mort des victimes N’ont daigné mieux répondre à des vœux legitimes, Tous auſpices heureux, & le grand Iuppiter Par des ſignes plus clairs ne pouuoit l’accepter, A moins qu’y ioindre encor l’honneur de ſa preſence, Et de ſa propre bouche aſſeurer l’alliance.	Jamais les feux sacrés et la mort des victimes N'ont daigné mieux répondre à des vœux légitimes, Tous auspices heureux, et le grand Juppiter Par des signes plus clairs ne pouvait l'accepter, À moins qu'y joindre encor l'honneur de sa présence, Et de sa propre bouche assurer l'alliance.
CASSIOPE.	CASSIOPE.
Les Nymphes de la mer nous en ont fait autant.	Les Nymphes de la mer nous en ont fait autant.
Toutes ont hors des ſlots paru preſque à l’inſtant, Et leurs benins regards enuoyez au riuage Aveeque noſtre encens ont seceu noſtre hommage.	Toutes ont hors des slots paru presque à l'instant, Et leurs bénins regards envoyés au rivage Avéeque notre encens ont seceu quelque hommage.
Apres Apres le ſacrifice honoré de leurs yeux Où Neptune à l’enuy meſloit ſes demy-Dieux, Toutes ont témoigné d’vn panchement de teſte Conſentir au bon-heur que le Ciel nous apreſte, Et nos ſubmiſſions deſarmant leurs dédains Toutes ont pour Adieu battu l’onde des mains.	Après Après le sacrifice honoré de leurs yeux Où Neptune battu l'en vi ses demi-droit, Toutes ont témoigné d'un penchement de tête Consentir au bonheur que le Ciel nous apprête, Et nos subissions désarmant leurs dédains Toutes ont pour Adieu battu l'onde des mains.
C.	Ç.
ſi meſme bon-heur ſuit les vœux de Perſée, Qu’il ait veu de Iunon la priere exaucée, Nous n’auons plus à craindre aucun ſiniſtre effet.	si même bonheur suit les vœux de Persée, Qu'il ait vu de Junon la prière exaucée, Nous n'avons plus à craindre aucun sinistre effet.
CEPHEE.	CÉPHÉE.
Les Dieux ne laiſſent point leur ouurage imparfait, N’en doutez point, Madame, auſſi-bien que Neptune Iunon conſentira noſtre bonne fortune.	Les Dieux ne laissent point leur ouvrage imparfait, N'en doutez point, Madame, aussi-bien que Neptune Iunon consentira notre bonne fortune.
Mais que nous veut Aglante?	Mais que nous veut Aglante?
SCENE IV.	SCÈNE IV.
EPHEE, CASSTOPE, ANDROMEDE, AGLANTE, Suite du Roy & de la Reyne.	ÉPHÉE, CASTOPE, ANDOMEDE, AGLANTE, Suite du Roi et de la Reine.
AGLANTE.	AGLANTE.
AH Seigneur, au ſecours, Du genereux Perſée on attaque les iours.	AH Seigneur, au secours, Du généreux Persée on attaque les jours.
Preſque au ſortir du Temple vne troupe mutine Vient de l’enuironner & deſia l’affaſſine:	Presque au sortir du Temple une troupe mutine Vient de l'environner et déjà l'affassine:
Phinée en les joignant furieux & jaloux, Leur a crié, main baſſe, à luy ſeul, donnez ivlis.	Phinée en les joignant furieux et jaloux, Leur a crié, main basse, à lui seul, donnez ivlis.
Ceux qui l’accompagnoient tout auſſi-toſt ſe rendent, Clyte & Nylée encor vaillamment le defendent, Mais ce ſont vains efforts de peu d’autres ſuiuis, Et ie viens toute en pleurs vous en donner aduis.	Ceux qui l'accompagnaient tout aussitôt se rendent, Clyte et Nylée encor vaillamment le défendent, Mais ce sont vains efforts de peu d'autres suivis, Et Seigneur viens toute en pleurs vous en donner avis.
CASSIOPE.	CASSIOPE.
Dieux, eſt-ce-là l’effet de tant d’heureux préſaAllez, Gardes, allez ſignaler vos courages, Allez perdre ce traiſtre, & punir ce voleut Qui pretend ſous le nombre accabler la valeur.	Dieux, est-ce-là l'effet de tant d'heureux présaAllez, Gardes, allez signaler vos courages, Allez perdre ce traître, et punir ce volut Qui prétend sous le nombre accabler la valeur.
CEPHEE.	CÉPHÉE.
Moderez vos frayeurs, & vous, ſechez vos larmes.	Modérez vos frayeurs, et vous, séchez vos larmes.
Le Ciel n’a point beſoin du ſecours de nos armes, Il a de ce Heros trop pris les intereſts Pour n’auoir pas pour luy des miracles tout preſts, Et peut-eſtre bien-toſt ſur ce laſche aduerſaire Vous entendrez tomber le foudre de ſon pere.	Le Ciel n'a point besoin du secours de nos armes, Il a de ce Héros trop pris les intérêts Pour n'avoir pas pour lors des miracles tout prêts, Et peut-être bientôt sur ce lâche adversaire Vous entendrez tomber le foudre de son père.
Iugez de l’aduenir par ce qui s’eſt paſſé, Len Dieun deneuerone ce qu'iis ont commencé, Oüy, les Dieux à leur ſang doiuent ce priuilege, Y meſler noſtre main c’eſt faire vn ſacrilege.	Jugez de l'avenir par ce qui s'est passé, Len Dieun denverone ce qu'iis ont commencé, Oui, les Dieux à leur sang doivent ce privilège, Y mêler notre main c'est faire un sacrilège.
CASSIOPE.	CASSIOPE.
Deigneurs mi cet orpon facuiden ce Ieros, C’eſt trop.	Deigneurs mi cet orpon faciden ce Jéros, C'est trop.
SCENE V.	SCÈNE V.
CEPHEE,CASSTOPE,ANDROMEDE, PHORBAS, AGLANTE, Suite du Roy & de la Reyne.	CEPHÉE,CASTOPE,ANDROMEDE, PHORBAS, AGLANTE, Suite du Roi et de la Reine.
PHORBAS.	PHORBAS.
IEttez, grand Roy, voſtre eſprit IVI en repos, La teſte de Meduſe a puny tous ces traiſtres.	JEttez, grand Roi, votre esprit IVI en repos, La tête de Méduse a puni tous ces traîtres.
