TLEDAME DEXXEEXES*	TLÉDAME DEXXEXES*
dãs mon cœur la peur pouroit elle eſtre empreinte?	dans mon cœur la peur pourrait -elle être empreinte?
Non non, reſoluons-nous, banniſſons toute crainte.	Non non, résolvons-nous, bannissons toute crainte.
Ombre, Ange, Diable, Esprit, femme, ou qui que tu ſois Tu n’eſchaperas pas de mes mains cette fois.	Ombre, Ange, Diable, Esprit, femme, ou qui que tu sois Tu n'échapperas pas de mes mains cette fois.
ANGELIQVE ſurpriſe bas.	ANGELIQUE surprise bas.
Ie ſuis ſurpriſe, ô Dieux que ie ſuis miſerable!	Je suis surprise, ô Dieux que je suis misérable!
CARRILLE.	CARRILLE.
Si tu viens de Dieu parle, & ſi tu viens du Diable Retourne t'en ſur l’heure aux Enfers, ſans parler.	Si tu viens de Dieu parle, et si tu viens du Diable Retourne t'en sur l'heure aux Enfers, sans parler.
FLORESTAN.	FLORÊTAN.
Que me veux-tu, reſpons?	Que me veux-tu, réponds?
ANGELIQVE bas.	ANGELIQUE bas.
Il faut dißimuler Genereux Floreſtan, à qui ſeul la Nature Prepare dés long-temps la plus rare aduenture Qui ſoit iamais des Cieux arriuée icy bas, N’approche point de moy, va ne me touche pas, Songe à ce que tu fais, car s’il te prend enuie De paſſer plus auant tu perds l’heure de ta vie, Tu verras, que iamais ſous la voute des Cieux Ne fut homme ſi fort fauoriſé des Dieux, Vne felicité parfaite, & de durée Qui t'eſt par ton deſſein auiourd’huy preparée	Il faut dissimuler Généreux Florestan, à qui seul la Nature Prepare dès longtemps la plus rare aventure Qui soit jamais des Cieux arrivée ici bas, N'approche point de moi, va ne me touche pas, Songe à ce que tu fais, car s'il te prend envie En passer plus avant tu perds l'heure de ta vie, Tu verras, que jamais sous la voute des Cieux Ne fut homme si fort favorisé des Dieux, Vé licité parfaite, et de durée Qui t'est par ton dessein auiourd’hui préparée
M iij T’eſchapera des mains, croy moy, ſi tu pretends Contre l’arreſt du Ciel l’auoir auant le temps, Ie ne dis rien icy qui ne ſoit veritable, Et pour t’en faire foy regarde ſur ta table, Ie te laiſſe vn eſcrit pour la derniere fois, Conſulte là deſſus Florestan, & me crois, Ie t’eſcris qu’auiourd’huy ie me rendray viſible A telle heure qu’il eſt, il eſt donc infaillible Que ie ne te veus point ſelon ton deſir Comme tu le peux voir, i’ay deſiré choiſir La plus humaine forme, & la plus raiſonnable Que i’ay peu pour me rendre à tes yeux agreable, Ne preten rien de moy que ce que ie voudray, Et croy de tout point ie te ſatisferay Si tu ſçais obſeruer l’ordre que ie te donne, Mais pren garde ſur tout de le dire à perſonne, Et croy que tu ſeras mal-heureux à iamais Si tu ne te reſous de me laiſſer en paix.	M Méj Àeschapera des mains, crois -moi, si tu prétends Contre l'arrêt du Ciel l'avoir avant le temps, Je ne dis rien ici qui ne soit véritable, Et pour t'en faire foi regarde sur ta table, Je te laisse un écrit pour la dernière fois, Consulte là -dessus Florêtan, et me crois, Je t'écris qu'aujourd'hu ie me rendrai visible A telle heure qu'il est, il est donc infaillible Que ie ne te veux point selon ton des Comme tu le peux Comme tu le ay des choisir La plus humaine forme, et la plus raisonnable Que tay force pour me rendre à tes yeux agréable, Ne preten rien de moi que ce que ie voudrai, Et croy de tout point ie te satisferay Si tu sçais à lordre que ie te donne, Mais a gré sur tout de le dire personne, Et croy que tu seras mal-heureux iamais Si tu ne te résous de me laisser en paix.
CARRILLE.	CARRILLE.
Puis qu'elle la demande ainſi par courtoiſie Contentez ſur ce poinct, Monſieur, ſa fantaiſie Accordez, luy la paix.	Puis qu'elle la demande ainsi par courtoisie Contentez sur ce point, Monsieur, sa fantaisie Accordez, lui la paix.
FLORESTAN.	FLORÊTAN.
Ie ne crains rien icy Auant qu'elle m'eſchape il faut eſtre eſclaircy, Ie veux preſentement que tu me ſatisfaſſes, Parle donc, ie me ris de toutes tes menaces, Ie rougis ſeulement de honte que mon cœur Ait en cet accident teſmoigné d’auoir peur.	Je ne crains rien ici Avant qu'elle m'échappe il faut être éclairci, Je veux présentement que tu me satisfasses, Parle donc, on me ris de toutes tes menaces, Je rougis seulement de honte que mon cœur Ait en cet accident témoigné d'avoir peur.
Si i’en ſuis venu là, ie te iure & proteſte, De ne te point quitter ſans ſçauoir ce qui reſte.	Si j'en suis venu là, Seigneur te jure et proteste, De ne te point quitter sans savoir ce qui reste.
Quãd ie deurois tout perdre, & tout mettre au hazard.	Quand ici devrais tout perdre, et tout mettre au hasard.
Femme donc, car tu l’és, repons-moy par quel art Par quel ſubtil moyen, que iuſqu’icy i’ignore Entres-tu dans ma chambre, & quel deſſein encore As-tu quand tu m’eſcrits?	Femme donc, car tu l'é, repons-moi par quel art Par quel subtil moyen, que jusqu'ici j'ignore Entres-tu dans ma chambre, et quel dessein encore As-tu quand tu m'écrits?
dy qui te peut mouuoir?	dis qui te peut mouvoir?
Car ie jure les Dieux que ie le veux ſçauoir, J’ay preſentement, ſans vouloir plus attendre, Et le ſouuerain bien où tu me fais pretendre, Je l’auray tout à l’heure, ou bien ie le perdray Ie n’apprehende rien, croy que i’en iouiray Si ie tiens vn Demon par le moyen du Diable, Ou s’il faut que tu ſois, comme il eſt plus croyable Vne femme mortelle, il faut preſentement Qu'vne femme m’eſclaire en cet aueuglement, Quoy que ie ſçache bien, ayant vn corps viſible Qui ſe laiſſe toucher, que c’eſt choſe infaillible Que tu n'és qu’vne femme, & non pas vn Demon.	Car ie jure les Dieux que ie le veux savoir, J'ai présentement, sans vouloir plus attendre, Et le souuerain bien où tu me fais prétendre, Je l'aurai tout à l'heure, ou bien pu le perdrai Je n'appréhende rien, crois que j'en jouirai Si té miens un Démon par le moyen du Diable, Ou s'il faut que tu sois, comme il est plus croyable Une femme mortelle, il faut présentement Qu'une femme m’éclaire en cet aveuglement, Quoi que de sçache bien, ayant corps visible Qui se laisse toucher, que c'est chose infaillible Et non n'as un femme, et non pas Démon.
CARRILLE.	CARRILLE.
I’en donnerois, Monſieur, le choix pour vn teſton Pour moy ie croy que c'eſt preſqu’vne meſme choſe.	J'en donnerais, Monsieur, le choix pour un teston Pour moi tu crois que c'est presqu'une seule chose.
ANGELIQVE.	ANGELIQUE.
Garde de tranſgreſſer la Loy que ie t’impoſe Fay ce que ie te dis, & ne me touche pas Car s’il t’arriue encor tu t’en repentiras,	Garde de transgresser la Loi que sans t'impose Fais ce que ie te dis, et ne me touche pas Car s'il t'arrive encor tu t'en repentiras,
CARRILLE.	CARRILLE.
Peut-eſtre elle eſt, Monſieur, fragile comme verre Et puis n’eſtant ny luth, ny harpe, ny guiterre Que ſert de la toucher?	Peut-être elle est, Monsieur, fragile comme verre Et puis n'étant ici luth, ni harpe, ni guiterre Que sert de la toucher?
FLORESTAN.	FLORÊTAN.
En cette extremité I'en puis bien aiſement ſçauoir la verité Ce fer m’eſclaircira bien-toſt de cette affaire, Car eſtant vn eſprit ie ne te puis mal-faire, Il met la main Et pourras euiter la fureur de mon bras.	En cette extrémité J'en puis bien aisément savoir la vérité Ce fer m'éclaircira bientôt de cette affaire, Car étant un esprit ils ne te puis malhaire, Il met la main Et as éviter la fureur de mon bras.
ANGELIQVE à genoux.	ANGELIQUE à genoux.
Toubeau, Seigneur, de grace, ahne me frappez pas!	Toubeau, Seigneur, de grâce, ahne me frappez pas!
Ie confeſſeray tout, pluſtoſt que cette lame Soit teinte dans le ſang d’vne chetiue femme;	Je confesserai tout, plutôt que cette la Soit teinte dans le sang d'une chétive femme;
Ie la ſuis, ie l’aduouë, & de plus que i’ay tort, Ie confeſſe mon crime;	Je la suis, Madame l'avoue, et de plus que j'ai tort, Je confesse mon crime;
& merite la mort, Si vous vous offenſez en vous diſant que i’ayme Vos rares qualitez à l’eſgal de moy-meſme, C’eſt de ce crime ſeul, dont on me peut m’accuſer Voyez ſi vous deuez vous en formaliſer.	et mérite la mort, Si vous peut offensez en vous disant que j'aime Vos rares qualités à l'égal de moi-même, C'est de ce crime seul, dont on me peut m'accuser Voyez si vous devez vous en formaliser.
FLORE	FLORE
FLORESTAN.	FLORÊTAN.
Que ie ſcache ton nom.	Que ici sache ton nom.
ANGELIQVE.	ANGELIQUE.
Puis que i’y ſuis forcée Vous ſçaurez les mal-heurs, dont ie ſuis trauerſée, Ie ſçay que ie me perds de vous deſabuſer Mais il n’eſt plus ſaiſon de vous rin deſguiſer.	Puis que j'y suis forcée Vous saurez les malheurs, dont je suis traversée, Je sais que je me perds de vous désabuser Mais il n'est plus saison de vous rin déguiser.
Mais ſi par imprudence, ou par mal-heur extreſme On venoit à ſçauoir, ie ne dy pas que i’ayme, Mais qu’on peuſt ſoubçonner ſeulement cet abord, Le Ciel ne pourroit pas me garantir de mort.	Mais si par imprudence, ou par malheur extrême On venait à savoir, assez ne dis pas que j'aime, Mais qu'on pût soubonner seulement cet abord, Le Ciel ne pourrait pas me garantir de mort.
Et c'est ce qui m’eſtonne, & qui fait que ie tremble, Car ie ſuis en effet autre que ie ne ſemble.	Et c'est ce qui m'étonne, et qui fait que personne tremble, Car tu suis en effet autre que ie ne semble.
Et i’ay ſujet de craindre, ou le danger eſt grand, Si quelqu’vn par mal-heur enſemble nous ſurprend, (Car on eſt aux aguets) vous prendroit-il enuie, Que pour vous ie perdiſſe & l’honneur & la vie?	Et j'ai sujet de craindre, ou le danger est grand, Si quelqu'un par malheur ensemble nous surprend, (Car on est aux aguets) vous prendrait-il envie, Que pour vous avez perdisse et l'honneur et la vie?
Ie crains tout par le bruit qu’icy vous auez fait Rendez donc ſur ce poinct mon esprit ſatisfait, Voyez ſi tout est clos, ſi par quelque feneſtre Cette lumiere icy ne pourroit point pareſtre Qharun n'eſt pas encor tout à fait retiré:	Je crains tout par le bruit qu'ici vous avez fait Rendez donc sur ce point mon esprit satisfait, Voyez si tout est clos, si par quelque fenêtre Cette lumière ici ne pourrait point paraître Qharun n'est pas encor tout à fait retiré:
FLORESTAN à Carrille.	FLORÊTAN à Carrille.
Elle a raiſon, eſclaire.	Elle a raison, éclaire.
Et bien, i'euſſe iuré	Et bien, j'eusse juré
Carrille prend la chandelle.	Carrille prend la chandelle.
Que c'eſtoit que ce c’eſt:	Que c'était que ce c'est:
voy ce n’eſt pas vn Diable Comme tu le croyois.	vois ce n'est pas un Diable Comme tu le croyais.
CARRILLE.	CARRILLE.
Il eſt bien amiable S’il faut que c’en ſoit vn, encore n’en ſçay-ie rien.	Il est bien amiable S'il faut que c'en soit un, encore n'en sais-je rien.
FLORESTAN.	FLORÊTAN.
Regarde außicla porte, & ſi tout ferme bien.	Regarde aussicla porte, et si tout ferme bien.
Comme ils ſont attentifs à fermer les portes, & conſiderer les feneſtres, Angelique ſort par les ais de la chambre, & les referme tout à l'heure, & remporte ſa lanterne.	Comme ils sont attentifs à fermer les portes, et considérer les fenestres, Angélique sort par les ais de la chambre, et les referme tout à l'heure, et remporte sa lanterne.
ANGELIQVE bas.	ANGELIQUE bas.
Tout m’arriue grands Dieux comme ie le ſouhaite, I’ay pour m’eſchaper d’eux trouué cette deffaite, Rentrons & refermons außistoſt apres nous	Tout m'arrive grands Dieux comme je le souhaite, J'ai pour m'échapper d'eux trouvé cette défaite, Rentrons et refermons aussitôt après nous
S ENEIIII.	 ENEIIII.
FLORESTAN, CARRILE.	FLORÊTAN, CARILE.
FLORESTAN.	FLORÊTAN.
Out eſt fermé, Madame, auec de bons verrous, I Contez-moy, mais grands Dieux, qu’eſt-elle deuenué?	Out est fermé, Madame, avec de bons verrous, I Contez-moi, mais grands Dieux, qu'est-elle devenué?
Comment s’eſt-elle peu deſrober à ma veuë?	Comment s'est-elle peu dérober à ma vue?
CARRILLE.	CARRILLE.
Moy le puis-je ſçauoir?	Moi le puis-je savoir?
FLORESTAN.	FLORÊTAN.
Ie perds icy le ſens.	Je perds ici le sens.
SARMLE.	SARMLE.
Et bien qu’en dites-vous?	Et bien qu'en dites-vous?
Regarde là dedans, Quel prodige eſt-ce icy?	Regarde là -dedans, Quel prodige est-ce ici?
m'eſchaper de la ſorte?	m'échapper de la sorte?
CARRILLE.	CARRILLE.
N'eſt-elle point encor ſortie par cette porte Le ſouſtiendrez-vous point?	N'est-elle point encor sortie par cette porte Le soutiendrez-vous point?
estes-vos eſclaircy?	êtes-vos éclairci?
Quel autre qu'vn eſprit nous peut traitter ainſi?	Quel autre qu'un esprit nous peut traiter ainsi?
FLORESTAN.	FLORÊTAN.
Non, mon ame iamais ne fut plus eſtonnée.	Non, mon âme jamais ne fut plus étonnée.
L’as-tu point veuë aller?	L'as-tu point vue aller?
CAARILLE.	CARILLE.
Ie l’ay veuë eſchaper.	Je l'ai vue échapper.
Ouy, par la cheminée	Oui, par la cheminée
FLORESTAN.	FLORÊTAN.
Ah l’inſigne maraut!	Ah l'insigne maraud!
CARRILEL.	CARRILEL.
Ouy, Monſieur, ie l’ay veuë, ah regardez la haut?	Oui, Monsieur, Madame l'ai vue, ah regardez la haut?
Comme elle s’eſt ſoudain conuertie en choüette?	Comme elle s'est soudain convertie en choüette?
La voyez,-vous voler?	La voyez,-vous voler?
FLORESTAN.	FLORÊTAN.
Quelle vertu ſecrette A cette femme iey d’eſobaper de mes mains?	Quelle vertu secrète À cette femme esobaper de mes mains.
Il m’en faut oſclaircir, tous ces diſcours ſont vains.	Il m'en faut osclaircir, tous ces discours sont vains.
Ie veux chercher par tout;	Je veux chercher par tout;
Dieux c’eſt choſe admirable, Voyons dans les rideaux, ſous le lit, ſous la table, Derriere le cheuet;	Dieux c'est chose admirable, Voyons dans les rideaux, sous le lit, sous la table, Derrière le chevet;
cherchons, renuerſons tout, Dans cetta chambrs icy, de l'vm à l'autre bout.	cherchons, renversons tout, Dans cetta chambrs ici, de l'une à l'autre bout.
Arrachons, & voyons ſi quelque tromperie, Seroit point en effet ſous la tapiſſerie;	Arrachons, et voyons si quelque tromperie, Serait point en effet sous la tapisserie;
Ce n’eſt qu’vne cloiſon, voyons ſi dans ces ais Seroit point quelque trou qu’elle euſt fait tout expres, Pour pouuoir aiſement de nous deux ſe deffaire:	Ce n'est qu'une cloison, voyons si dans ces ais Serait point quelque trou qu'elle eût fait tout exprès, Pour pouvoir aisément de nous deux se défaire:
Je ne la puis tenir pour choſe imaginaire, Pour vn eſprit non plus, puis qu’elle a craint la mort.	Je ne la puis tenir pour chose imaginaire, Pour un esprit non plus, puis qu'elle a craint la mort.
CARRILLE.	CARRILLE.
Croyez que c’en est vn, ou vous auez grand tort.	Croyez que c'en est un, ou vous avez grand tort.
FLORESTAN.	FLORÊTAN.
Et toy de ton coſté, cherche par tout, regarde Deſſous ces tafetas.	Et toi de ton côté, cherche par tout, regarde Dessous ces tafetas.
CARRILLE.	CARRILLE.
Ah, Monſieur, ie n’ay gardet La chercher!	Ah, Monsieur, Madame n'ai gardet La chercher!
ce ſeroit de tout poinct m'acheuer, Moy qui plus que la mort craindrois de la trouuer.	ce serait de tout point m'achever, Moi qui plus que la mort craindrais de la trouver.
FLORESTAN.	FLORÊTAN.
Sa lumiere en effet a paru plus qu’humaine, Ie ne le cele point, cela me met en peine, Mais d’vn autre coſté, comme femme, elle a craint, Et dans cet action ie n’ay rien veu de feint.	Sa lumière en effet a paru plus qu'humaine, Je ne le cèle point, cela me met en peine, Mais d'un autre côté, comme femme, elle a craint, Et dans cet action ie notre rien vu de feint.
Elle a d’illuſion esbloüy noſtre veuë, Et comme un vray fantoſme apres eſt disparuë.	Elle a d'illusion ébloui notre vue, Et comme un vrai fantôme après est disparue.
Si dans ces vains diſcours ie me laiſſe emporter, I’ay ſujet de tout croire, & doy de tout douter, D’vn & d’autre coſté i’y voy tant d’apparence, Qu'en cela ie ne ſçay que dire, & plus i’y penſe, Plus ma raiſon ſe perd, & mes ſens ſont confus.	Si dans ces vains discours on me laisse emporter, J'ai sujet de tout croire, et dois de tout douter, D'un et d'autre côté j'y vois tant d'apparence, Qu'en cela ie ne sais que dire, et plus j'y pense, Plus ma raison se perd, et mes sens sont confus.
CARRILLE.	CARRILLE.
1u jpu vonto pu ceſt, moy ie n’en doute plus	1u jpu vonto pu cet, moi -être n'en doute plus
Quoy?	Quoi?
FLORESTAN.	FLORÊTAN.
CARRILLE.	CARRILLE.
C’eſt vn Diable femme eſt-il pas raiſonnable, Si la femme paroiſt le plus ſouuent vn Diable, Que le Diable ait pouuoir, vne fois ſeulement De paromire un ſemme:	C'est un Diable femme est-il pas raisonnable, Si la femme paraît le plus souvent un Diable, Que le Diable ait pouvoir, une fois seulement De paromire un semme:
FLORESTAN.	FLORÊTAN.
Eſt-il temps de railler?	Est-il temps de railler?
O le beau iugement.	Ô le beau jugement.
CARRILLE.	CARRILLE.
Ie croy ce que ie dy.	Je crois ce que vertu dis.
Quoy ne peut-il pas eſtre?	Quoi ne peut-il pas être?
FLORESTAN.	FLORÊTAN.
Tay toy, cherchons ſa lettre Eſt-elle ſur la table?	Tais -toi, cherchons sa lettre Est-elle sur la table?
CARRILLE.	CARRILLE.
Ouy, Monſieur, ie la voy.	Oui, Monsieur, Madame la vois.
FLORESTAN.	FLORÊTAN.
Voyons ſi ie pourray par elle eſtre eſclaircy.	Voyons si ici pourrai par elle-même éclairci.
LETTRE.	LETTRE.
Ie ne veux point vous faire attendre dauantage, Il lit.	Je ne veux point vous faire attendre davantage, Il lit.
