LA A REINE REGENTE.	LA A REINE RÉGENTE.
FELIX.	FELIX.
Ne me preſſe point tant dans vn tel déplaiſir, Ie ne puis que reſoudre & ne ſçay que choiſir.	Ne me presse point tant dans un tel déplaisir, Je ne puis que résoudre et ne sais que choisir.
ALBIN	ÀLBIN
ALBIN.	ÀLBIN.
Ie dois vous aduertir en ſeruiteur fidelle Qu’en ſa faueur deſia la ville ſe rebelle, Et ne peut voir paſſer par la rigueur des loir Sa derniere eſperance & le ſang de ſes Roys;	Je dois vous avertir en serviteur fidèle Qu'en sa faveur déjà la ville se rebelle, Et ne peut voir passer par la rigueur des loir Sa dernière espérance et le sang de ses Rois;
Et meſmes ſa priſon n’eſt pas fort aſſeurée, Iay laiſle tout autour vne troupe eploree, Ie crains qu’on ne la force.	Et mêmes sa prison n'est pas fort assurée, Ia isle tout autour une troupe éplorée, Je crains qu'on ne la force.
FELIX Il faut donc l’en tirer, Et l’amener icy pour nous en aſſeurer.	FELIX Il faut donc l'en tirer, Et l'amener ici pour nous en assurer.
ALBIN.	ÀLBIN.
Antes ren done vousememme, & d’vn elpoir de grace Appaiſez la fureur de cette populace.	Antes ren donce vousememme, et d' elpoir de grâce Apaisez la fureur de cette populace.
LIX.	LIX.
Allons, & s’il perſiſte à demeurer Chreſtien Nous en diſpoſerons ſans qu’elle en ſçache rien,	Allons, et s'il persiste à demeurer Chrétien Nous en disposerons sans qu'elle en sache rien,
Fin du troiſieſme Acte.	Fin du troisième Acte.
ACIE IV	ACIE IV
SCENE PREMIERE.	SCÈNE PREMIÈRE.
POLYEUCTE, CLEONe Trois autres Gardes.	POLYEUCTE, CLEONe Trois autres Gardes.
POLYEUCTE.	POLYECTE.
UArdes, que me veut-on?	ORdes, que me veut-on?
CLEON.	CLEON.
Pauline vous demande.	Pauline vous demande.
POLYEUCTE.	POLYECTE.
O preſence!	Ô présence!
ô combat que ſur tout j’apprehende;	ô combat que sur tout j'appréhende;
Felix, dans la priſon j’ay triomphé de toy, J’ay ry de ta menacc & t’ay veu ſans effroy.	Félix, dans la prison j'ai triomphé de toi, J'ai ri de ta menacc et t'ai vu sans effroi.
Tu prends pour t’en venger de plus puiſſantes ar mes, Je craignois beaucoup moins tes bourreaux que ſe larmes.	Tu prends pour t'en venger de plus puissantes ar mes, Je craignais beaucoup moins tes bourreaux que se larmes.
otigneur, qui vois icy les perils que je cours, En ce preſſant beſoin redouble ton ſecours, Et toy qui tout ſortant encor de la victoire Regarde mes travaux du ſejour de la gloire, Cher Nearque pour vaincre un ſi fort ennemy, I'reſte du haut du Ciel la main à ton amy.	otigneur, qui vois ici les périls que je cours, En ce pressant besoin redouble ton secours, Et toi qui tout sortant encor de la victoire Regarde mes travaux du séjour de la gloire, Cher Narque pour vaincre un si fort ennemi, J'reste du haut du Ciel la main à ton ami.
Gardes, oſeriez-vous me rendie vn bon once ;	Gardes, oseriez-vous me rendie un bon once ;
CLEON.	CLEON.
Nous n’oſons plus, Seigneur, vous rendre aucun	Nous n'osons plus, Seigneur, vous rendre aucun
ſeruice.	service.
POLYEVCTE.	POLYEUCTE.
Ie ne vous parle pas de me faire évader, Mais comme il ſuffira de trois à me garder, L’autre m’obligeroit d’aller querir Seuere, Ie croy que ſans peril cela ſe peut bien faire, Si j’auois pu luy dire vn Ieclet iinpoitant ?	Je ne vous parle pas de me faire évader, Mais comme il suffira de trois à me garder, L'autre m'obligerait d'aller quérir Sevère, Je crois que sans péril cela se peut bien faire, Si j'avais pu lui dire un Jeclet iinpoitant ?
Ie viurois plus heureux & je mourrois content,	Je vivrais plus heureux et je mourrais content,
CLEON.	CLEON.
Puiſque c’eſt pour Seuere à tout je me diſpenſe.	Puisque c'est pour Seuère à tout je me dispense.
POLYEUCTE.	POLYECTE.
Luy-meſme à mon defaut fera ta recompenſe.	Lui-même à mon défaut fera ta récompense.
Le pluſtoſt vaut le mieux, va donc, & promptement	Le plutôt vaut le mieux, va donc, et promptement
CLEON.	CLEON.
I’y cours & vous m’aurez icy dans vn moment.	J'y cours et vous m'aurez ici dans un moment.
SCENE II.	SCÈNE II.
POLYEVCTE, ſeul, Ses gardes s’eſtant retirez aux coins du Theatre.	POLYEUCTE, seul, Ses gardes s'étant retirés aux coins du Théâtre.
Ource delicieuſe en miſere feconde, QQue voulez-vous de moy flatteuſes voluptez, Honteux attachemens de la chair & du monde Que ne me quittez-vous quand je vous ay quittez Allez honneurs, plaiſirs qui me liurez la guerre, Toute voſtre felicité Sujette à l’inſtabilité En moins de rien tombe par terre, Et comme elle à l’éclat du verre.	Ource délicieuse en misère feconde, QQue voulez-vous de moi flatteuses volupté, Honteux attachements de la chair et du monde Que ne me quittez-vous quand je vous ai quittez Allez honneurs, plaisirs qui me livrez la guerre, Toute votre félicité Sujet à l'instabilité En moins de rien tombe par terre, Et comme elle à l'éclat du verre.
Elle en a la fragilité.	Elle en a la fragilité.
E ij	E ij
Amſi n'eſperez pas qu’apres vous je ſouſpire	Amsi n'espérez pas qu'après vous je soupire
Vous eſtalez en vain vos charmes impuiſſans, Vous me monſtrez en vain par tout ce vaſte Empire Les ennemis de Dieu pompeux & floriſſans, Il eſtale à ſon tour des revers équitables, Par qui les grands ſont confondus Et les glaiues qu’il tient pendus Deſſus ces illuſtres coupables Sont d’autant plus inéuitables Que leurs coups ſont moins attendus.	Vous étalez en vain vos charmes impuissants, Vous me montrez en vain par tout ce vaste Empire Les ennemis de Dieu pompeux et florissants, Il étale à son tour des revers équitables, Par qui les grands sont confondus Et les glaives qu'il tient pendus Dessus ces illustres coupables Sont d'autant plus inéuitables Que leurs coups sont moins attendus.
Tigre affamé de ſang, Decie impitoyable, Ce Dieu t’a trop long temps abandonné les ſiens, De ton heureux deſtin voy la ſuitte effroyable, Le Scythe va vanger la Perſe & les Chreſtiens:	Tigre affamé de sang, Déci impitoyable, Ce Dieu t'a trop long temps abandonné les siens, De ton heureux destin vois la suitte effroyable, Le Scythe va venger la Perse et les Chrétiens:
Encor vn peu plus outre & ton heure eſt venue, Rien ne t’en ſçauroit garantir, Et la foudre qui va partir Toute preſte à crever la nuë Ne peut plus eſtre retenuë Par l’attente du repentir.	Encor un peu plus outre et ton heure est venue, Rien ne t'en saurait garantir, Et la foudre qui va partir Toute prête à crever la nue Ne peut plus être retenue Par l'attente du repentir.
Que cependant Felix m’immole à ta colere, Qu’vn rival plus puiſſant luy donne dans les yeux Qu’aux depens de ma vie il s’en faſſe beau-pere.	Que cependant Félix m'immole à ta colère, Qu'un rival plus puissant deux donne dans les yeux Qu'aux dépens de ma vie il s'en fasse beau-père.
Et qu’à tiltre d’eſclaue il commande en ces lieux;	Et qu'à titre d'esclave il commande en ces lieux;
Ie conſens ou pluſtoſt j’aſpire à ma ruine, Vains appas, vous ne m’eſtes rien.	Je consens ou plutôt j'aspire à ma ruine, Vains appas, vous ne m'êtes rien.
Ie porte en vn cœur tout Chreſtien Vne flamme toute diuine.	Je porte en un cœur tout Chrétien flamme toute diuine.
Et je ne regarde Pauline Que comme vn obſtacle à mon bien.	Et je ne regarde Pauline Que comme un obstacle à mon bien.
Saintes douceurs du Ciel, adorables Idées Vous rempliſſez un cœur qui vous peut receuoir, De vos ſacrez attraits les ames poſſedeés Ne conçoiuent plus rien qui les puiſſe émouuoir Q4.	Saintes douceurs du Ciel, adorables Idées Vous remplissez un cœur qui vous peut recevoir, De vos sacrez attraits les âmes possedeés Ne conçoivent plus rien qui les puisse émouuoir Q4.
Oſſi ve au toup, & donnez dauantage.	Ossi ve au toup, et donnez davantage.
Vos biens ne ſont point inconſtans, Et l’heureux trépas que j’attens Ne vous ſert que d’vn doux paſſage Pour nous introduire au partage Qui nous rend à jamais contens.	Vos biens ne sont point inconstants, Et l'heureux trépas que j'attends Ne vous sert que d'un doux passage Pour nous introduire au partage Qui nous rend à jamais contents.
C’eſt vous, ô feu diuin!	C'est vous, ô feu divin!
que rien ne peut éteindre, Qui m’allez faire voir Pauline ſans la craindre, Ie la voy, mais mon cœur d’vn ſaint zele enflammé N’en gouſte plus l’appas dont il eſtoit charmé, Et mes yeux éclairez des celeſtes lumieres Ne trouuẽt plus auxſſiens leurs graces couſtumieres.	que rien ne peut éteindre, Qui m'allez faire voir Pauline sans la craindre, Je la vois, mais mon cœur d'un saint zèle enflammé N'en goûte plus l'appas dont il était charmé, Et mes yeux éclairez des célestes lumières Ne trouvent plus auxssiens leurs grâces coutumières.
SCENE III.	SCÈNE III.
POLYEVCTE, PAVLINE, Gardes.	POLYEUCTE, PAULINE, Gardes.
POLYEVCTE Adame, quel deſſein vous fait me demander?	POLYEUCTE Adame, quel dessein vous fait me demander?
MEſt-ce pour me cõbattre, ou pour me ſecõder, Et rerrolt genereux de cette aſoul pallalte Vient-il à mon ſecour, ou bien à ma de ffaite?	MEst-ce pour me connaître, ou pour me seconder, Et rerolt généreux de cette asoul pallalte Vient-il à mon secour, ou bien à ma de faite?
Apportez-vous icy la haine ou l’amitié Comme mon ennemie, ou ma chere moitié?	Apportez-vous ici la haine ou l'amitié Comme mon ennemie, ou ma chère moitié?
PAVLINE.	PAULINE.
Vous n’auez point icy d’ennemis que vous-meſme Vous ſeul vous hayſſez lors que chacun vous ayme, Vous ſeul executez tout ce que j’ay reſué;	Vous n'avez point ici d'ennemis que vous-même Vous seul vous haïssez lors que chacun vous aime, Vous seul exécutez tout ce que j'ai rêvé;
Ne veüillez pas vous perdre, & vous eſtes ſauué, A quelque extremité que voſtre crime paſſe Vous eſtes innocent ſi vous vous faites grace Daignez conſiderer le ſang dont vous ſortez Vos grandes actions, vos rares qualitez, Chery de tout le peuple, eſtimé chez le Prince, Gendre du Gouuerneur de toute la Prouince;	Ne veuillez pas vous perdre, et vous êtes sauvé, A quelque extrémité que votre crime passe Vous êtes innocent si vous vous faites grâce Daignez considérer le sang dont vous sortez Vos grandes actions, vos rares qualités, Chéri de tout le peuple, estimé chez le Prince, G du Ouverneur de toute la Province;
Ie ne vous conte à rien le nom de mon époux, C’eſt vn bon-heur pour moy qui n’eſt pas grand pour vous Mais apres vos exploits, apres voſtre naiſſance, Apres voſtre pouuoir, voyez noſtre eſperance, Et n'abandondez pas à la main d'un bourreau Ce qu’à nos juſtes vœux promet vn ſort ſi beau.	Je ne vous compte à rien le nom de mon époux, C'est un bonheur pour moi qui n'est pas grand pour vous Mais tes vos exploits, après votre naissance, Après votre pouvoir, voyez notre espérance, Et n'abandondez pas à la main d'un bourreau Ce qu'à nos justes vœux promet un sort si beau.
POLYEVCTE.	POLYEUCTE.
Ie conſidere plus.	Je considère plus.
je ſçay mes auantages, Et l’eſpoir que ſur eux forment les grands courages Ils n’aſpirent enfin qu’à des biens paſſagers, Que troublent les ſoucis, que ſuiuent les dangers, La mort nous les rauit, la fortune s’en iouë, Auiourd’huy dans le troſne, & demain dans la bouë Et leur plus haut éclat fait tant de mécontens Que peu de vos Ceſars en ont ioüy long.	je sais mes avantages, Et l'espoir que sur eux forment les grands courages Ils n'aspirent enfin qu'à des biens passagers, Que troublent les soucis, que suivent les dangers, La mort nous les ravit, la fortune s'en joue, Auiourd’ dans le trône, et demain dans le boue Et leur plus haut éclat fait tant de mécontens Que peu de vos Césars en ont y long ;
temps.	temps.
I’ay de l’ambition, mais plus noble & plus belle, Cette grandeur perit, j’en veux vne immortelle, Vn bon-heur aſſeuré, ſans meſure & ſans fin, Au deſſus de l’enuie, au deſſus du deſtin.	J'ai de l'ambition, mais plus noble et plus belle, Cette grandeur périt, j'en veux une immortelle, Un bonheur assuré, sans mesure et sans fin, Au dessus de l'envie, au dessus du destin.
Eit-ce trop l’acheter que d’vne triſte vie, Qui tantoſt, qui ſoudain me peut eſtre rauie, Qui ne me fait iouyr que d’vn inſtant qui fuit, Er ne peut m’aſſeurer de celuy qui le ſuit?	Ét-ce trop l'acheter que d'une triste vie, Qui tantôt, qui soudain me peut -être ravie, Qui ne me fait jouir que d'un instant qui fuit, Ér ne peut m'assurer de celui qui le suit?
PAVLINE.	PAULINE.
Voila de vos Chreſtiens les ridicules ſonges, oila juſqu’à quel point vous charme leurs meuonges tre ſang eſt peu pour vn bon-heur ſi doux, en diſpoſer ce ſang eſt il à vous?	Voilà de vos Chrétiens les ridicules songes, oilà jusqu'à quel point vous charme leurs meuonges tre sang est peu pour un bonheur si doux, en disposer ce sang est -il à vous?
pas la vie ainſi qu’un heritage, vous la dõne en meſme temps l’engage t au Prince, au public, à l’Eſtat.	pas la vie ainsi qu'un héritage, vous la dernière en même temps l'engage t au Prince, au public, à l'État.
POLYEVCTE.	POLYEUCTE.
Ie la voudrois pour eux perdre dans vn combat, Ie ſçay quel en eſt l’heur, & quelle en eſt la gloire Des ayeux de Decie on vante la memoire, Er ce nom precieux encor à vos Romains Au bout de ſix cẽs ans luy met l’Empire aux mains, Ie dois ma vie au peuple, au Prince, à ſa Couronne, Mais je la dois bien plus au Dieu qui me la donne, Si mourir pour ſon prince eſt vn illuſtre ſort, Quand on meurt pour ſon Dieu, quelle ſera la mort?	Je la voudrais pour eux perdre dans un combat, Je sais quel en est l'heur, et quelle en est la gloire Des aïeux de Décie on vante la mémoire, Er ce nom précieux encor à vos Romains Au bout de six cents ans lui met l'Empire aux mains, Je dois ma vie au peuple, au Prince, à sa Couronne, Mais je la dois bien plus au Dieu qui me la donne, Si mourir pour son prince est un illustre sort, Quand on meurt pour son Dieu, quelle sera la mort?
Quel Dieu !	Quel Dieu !
PAULINE.	PAULINE.
POLYEVCTE.	POLYEUCTE.
Tout beau, Pauline, il entend vos paroles, Et ce n’eſt pas vn Dieu comme vos Dieux friuoles.	Tout beau, Pauline, il entend vos paroles, Et ce n'est pas un Dieu comme vos Dieux frivoles.
Inſenſibles & ſourds, impuiſſans, mutilez, De bois, de marbre, ou d’or, comme vous les voulez, C’eſt le Dieu des Chreſtiẽs, c’eſt le miẽ, c’eſt le voſtre Et la terre:	Insensibles et sourds, impuissans, mutilez, De bois, de marbre, ou or, comme vous les voulez, est le Dieu des Chrestiẽs, ibles et miẽou c’est le vôtre Et la terre:
& le Ciel n’en cognoiſſent point d’autre.	et le Ciel n'en connaissent point d'autre.
MVEIRE.	MUEIRE.
Ayez-le dedans l’ame & n’en témoignez rien,	Ayez-le dedans l'âme et n'en témoignez rien,
POLYEVCTE.	POLYEUCTE.
Que je ſois tout enſemble idolatre & Chreſtien!	Que je sois tout ensemble idolatre et Chrétien!
PAVLINE.	PAULINE.
Ne feignez qu’vn moment, laiſſez partir Seuere, Et donnez lieu d’agir aux bontez de mon pere.	Ne feignez qu'Hommes moment, laissez partir Sévère, Et donnez lieu d'agir aux bontés de mon père.
POLYEVCTE.	POLYEUCTE.
Les bontez de mon Dieu ſont bien plus à cherir Il m’oſte des perils que i’aurois pû courir;	Les bontés de mon Dieu sont bien plus à chérir Il m'ôte des périls que j'aurais pu courir;
Et ſans me laiſſer lieu de tourner en arriere Sa faueur me couronne entrant dans la carriere, Du premier coup de vent il me conduit au port, Et ſortant du Bapteſme il m’enuoye à la mort.	Et sans me laisser lieu de tourner en arrière Sa faveur me couronne entrant dans la carrière, Du premier coup de vent il me conduit au port, Et sortant du Baptême il m'envoie à la mort.
Si vous pouuiez comprendre & le peu qu’eſt la vie Et de quelles douceurs cette moit eſt ſuiuie?	Si vous pouviez comprendre et le peu qu'est la vie Et de quelles douceurs cette moit est suiuie?
