Suiuant la Copie imprimée	Suivant la Copie imprimée
Mais ſi ſa flame y garde vne place vſurpée, Dircé dans voſtre erreur n’eſt point enuelopée Elle ſe défend mieux de ce trouble inteſtin, Et ſi c’eſt voſtre fort, ce n’eſt pas ſon deſtin.	Mais si sa flamme y garde une place usurpée, Dircé dans votre erreur n'est point enveloppée Elle se défend mieux de ce trouble intestin, Et si c'est votre fort, ce n'est pas son destin.
Non qu’enfin ſa vertu vous regarde en coupable, Puiſque le Ciel vous force, il vous rend excuſable, Et l’amour pour les ſene eſt vn ſi doux poiſon, Qu’on ne peut pas toûjours écouter la raiſon.	Non qu'enfin sa vertu vous regarde en coupable, Puisque le Ciel vous force, il vous rend excusable, Et l'amour pour les sene est un si doux poison, Qu'on ne peut pas toujours écouter la raison.
Moy-meſme en qui l’honneur n’accepte aucune grace, I’aime en ce douteux ſort tout ce qui m’embaraſſe, Ie ne ſçay quy my’y plaiſt qui n’oſe s’exprimer, Et ce confus mélange a dequoy me charmer.	Moi-même en qui l'honneur n'accepte aucune grâce, J'aime en ce douteux sort tout ce qui m'embarrasse, Je ne sais qui miy plaît qui n'ose s'exprimer, Et ce confus mélange a dequoy me charmer.
Ie n’aime plus qu’en ſœur, & malgré-moy j’eſpere;	Je n'aime plus qu'en sœur, et malgré-moi j'espère;
Ah, Prince, s’il ſe peut ne ſoyez point mon frere, Et laiſſez-moy mourir auec les ſentimens Que la gloire permet aux illuſtres amans,	Ah, Prince, s'il se peut ne soyez point mon frère, Et laissez-moi mourir avec les sentiments Que la gloire permet aux illustres amants,
THESEE.	THESEE.
Ie vous ay deja dit, Princeſſe, que peut-eſtre Si-toſt que vous viurez ie ceſſeray de l’eſtre.	Je vous ai déjà dit, Princesse, que peut-être Si-tôt que vous vivrez trouver cesserai de l'être.
Faut-il que ie m’explique, & toute voſtre ardeur Ne peut-elle ſans moy lire au fond de mon cœur?	Faut-il que Seigneur m'explique, et toute votre ardeur Ne peut-elle sans moi lire au fond de mon cœur?
Puiſqu’il eſt tout à vous, penettrez-y, Madame, Vous verrez que ſans crime il conſerue ſa flame.	Puisqu'il est tout à vous, pénettrez-y, Madame, Vous verrez que sans crime il conserve sa flamme.
Si ie ſuis deſcendu juſqu’à vous abuſer, Vn iuſte deſeſpoir m’auroit fait plus oſer, Et l’amour pour défendre vne ſi chere vie Peut faire vanité d’vn peu de tromperie.	Si je suis descendu jusqu'à vous abuser, Un juste désespoir m'aurait fait plus oser, Et l'amour pour défendre une si chère vie Peut faire vanité d'un peu de tromperie.
I'en ay tiré en fruit, que ce nom deceuant A fait connoiſtre icy que ce Prince eſt viuant.	J'en ai tiré en fruit, que ce nom décevant A fait connaître ici que ce Prince est vivant.
Phorbas l’a confeſſé, Tireſie à luy-meſme Appuyé de ſa voix cet heureux ſtratagême, C’eſt par luy qu’on a ſçeu qu’il reſpire en ces lieux:	Phorbas l'a confessé, Tiresie à lui-même Apuyé de sa voix cet heureux stratagème, C'est parfois qu'on a su qu'il respire en ces lieux:
Souffrez donc qu'vn moment le tompe encor leurs yeux, Et puiſque dans ce iour ce frere doit paroiſtre, fuiqui ce qu’on l’ait veu permettez-moy de l’eſtre	Souffrez donc qu'un moment le tompe encor leurs yeux, Et puisque dans ce jour ce frère doit paraître, fuiqui ce qu'on l'ait vu permettez-moi de l'être
DIRCE, Ie pardonne vn abus que l’amour a formé, Et rieu ne peut déplaire alors qu’on eſt aimé.	DIRCE, Je pardonne un abus que l'amour a formé, Et rieu ne peut déplaire alors qu'on est aimé.
Mais hazardiez-vous tant ſans aucune lumiere?	Mais hasardiez-vous tant sans aucune lumière?
THESEE.	THESEE.
Megare m’auoit dit le ſecret de ſon pere, Il m’a valu l’honneur de m’expoſer pour tous, Mais ie n’en abuſois que pour mourir pour vous.	Mégare m'avait dit le secret de son père, Il m'a valu l'honneur de m'exposer pour tous, Mais apprendre n'en abusais que pour mourir pour vous.
Le ſuccez a paſſé cette triſte eſperance;	Le succès a passé cette triste espérance;
Ma flame en vos perils ne voit plus d’apparance:	Ma flamme en vos périls ne voit plus d'apparance:
Si l’on peut à l’Oracle adjouſter quelque foy, Ce fils a de ſa main verſé le ſang du Roy, Et ſon Ombre, en parlant de punir vn grand crime, Dit aſſez que c’eſt luy qu’elle veut pour viſtime.	Si l'on peut à l'Oracle ajouter quelque foi, Ce fils a de sa main versé le sang du Roi, Et son Ombre, en parlant de punir un grand crime, Dit assez que c'est avoir qu'elle veut pour vistime.
DIR.	DIR.
DIRCE.	DIRCE.
Prince, quoy qu’il en ſoit, n’empeſchez plus ma mort, Si par le Sacrifice on n’éclaircit mon ſort.	Prince, quoi qu'il en soit, n'empêchez plus ma mort, Si par le Sacrifice on n'éclaircit mon sort.
La Reine qui paroit fait que ie me retire, Sçachãt ce que ie ſçay, j’aurois peur d’en trop dire, Et comme enfin ma gloire a d’autres intereſts, Vous ſçaurez mieux ſans moy ménager vos ſecrets, Mais puiſque vous voulez que mon eſpoir reuiue, Ne tenez pas long-temps la veri é captiuc.	La Reine qui parait fait que votre me retire, Sachant ce que tu sais, j'aurais peur d'en trop dire, Et comme enfin ma gloire a d'autres intérêts, Vous saurez mieux sans moi ménager vos secrets, Mais puisque vous voulez que mon espoir revive, Ne tenez pas longtemps la very é ptiuc.
SCENE II.	SCÈNE II.
IOCASTE, THESEE, NERINE.	JOCASTE, THESEE, NERINE.
IOCASTE.	JOCASTE.
DRince, j’ay veu Phorbas, & tout ce qu’il m’a dit Y A ce que vous croyez peut donner du credit.	DRince, j'ai vu Phorbas, et tout ce qu'il m'a dit Y À ce que vous croyez peut donner du crédit.
Vn paſſant inconnu, touché de cette enfance Dont vn Aſtre enuieux condamnoit la naiſſance, Sur le mont Cytheron receut de luy mon fils, Sans qu’il luy demandaſt ſon nom, ny ſon païs, De crainte qu’à ſon tour il ne conceuſt l’enuie D’apprendre dans quel ſang il conſeruoit la vie.	Un passant inconnu, touché de cette enfance Dont un Astre envieux condamnait la naissance, Sur le mont Cytheron reçut de Seigneur mon fils, Sans qu'il lui demandât son nom, ni son pays, De crainte qu'à son tour il ne conçût l'envie D'apprendre dans quel sang il conservoit la vie.
Il l’a reueu depuis, & preſque tous les ans, Dans le Temple d’Elide offrir quelques preſens, Ainſi chacun des deux cognoit l’autre au viſage, Sans s’eſtre l’vn à l’autre expliquez deuantage.	Il l'a revu depuis, et presque tous les ans, Dans le Temple d'Élide offrir quelques présents, Ainsi chacun des deux connaît l'autre au visage, Sans s'être l' a autre expliquez devantage.
Il a bien ſçeu de luy que ce fils conſerué Reſpire encor le iour dans vn rang eſleué, Mais ie damande en vain qu’à mes yeux il le montre, A moins que ce vieillard auec luy ſe rencontre.	Il a bien su de belle que ce fils conservé Respire encor le jour dans un rang élevé, Mais donner damende en vain qu'à mes yeux il le montre, À moins que ce vieillard avec lui se rencontre.
Si Phædime apres luy vous eut en ſon pouuoir, De cet inconnu meſme il pût vous receuoir, Et voyant à Trœzéne une mere affligée De la perte du fils qu’elle auoit eu d’Ægée, Vous offrir en ſa place, elle vous accepter :	Si Phædime après lu vous eut en son pouvoir, De cet inconnu même il put vous recevoir, Et voyant à Trœzéne une mère affligée Du fils perte avait eu d'elle avait eu d'Ægée, Vous offrir en sa place, elle vous accepter :
Tout ce qui ſur ce point pourroit faire douter, C’eſt qu’il vous a ſouffert dans vne flame inceſte, Et n’a parlé de rien qu’en mourant de la peſte.	Tout ce qui sur ce point pourrait faire douter, C'est qu'il vous a souffert dans une flamme inceste, Et n'a parlé de rien qu'en mourant de la peste.
Mais d’ailleurs Tireſie a dit que dans ce iour Nous pourrions voir ce Prince, & qu’il vit dans la Cour, Quelques momens apres on vous a veu paroiſtre, Ainſi vous pouuez l’eſtre, & pouuez ne pas l’eſtre.	Mais d'ailleurs Tiresie a dit que dans ce jour Nous pourrions voir ce Prince, et qu'il vit dans la Cour, Quelques moments après on vous a vu paraître, Ainsi vous pouvez l'être, et pouvez ne pas l'être.
Paſſons outre.	Passons outre.
A Phorbas adjouſteriez-vous foy?	À Phorbas ajouteriez-vous foi?
S’il n’a pas veu mon fils, il vit la mort du Roy, Il cognoit l’aſſaſſin, voulez-vous qu’il vous voye?	S'il n'a pas vu mon fils, il vit la mort du Roi, Il connaît l'assassin, voulez-vous qu'il vous voie?
THESEE.	THESEE.
le le venlay, Mradame, ee jattens auce jojes Seur, cõme ie l’ay dit, qu’il n’eſt màlheurs ſi grands, Qui m’euſſent pû reduire à ſuiure des brigands.	le le venlai, Mradame, ce jattends auce jojes Sûr, comme les l'ai dit, qu'il n'est màlheurs si grands, Qui m'eussent pu réduire à suivre des brigands.
IOCASTE.	JOCASTE.
Ne vous aſſeurez point ſur cette conjecture, Et ſouffrez qu’elle cede à la verité pure.	Ne vous assurez point sur cette conjecture, Et souffrez qu'elle cède à la vérité pure.
Honteux qu’vn homme ſeul euſt triomphé de trois Qu’il en euſt tué deux, & mis l’autre aux abois, Phorbas nous ſuppoſa ce qu’il nous en fit croire, Et parla de brigands pour ſauuer quelque gloire.	Honteux qu'un homme seul eût triomphé de trois Qu'il en eût tué deux, et mis l'autre aux abois, Phorbas nous supposa ce qu'il nous en fit croire, Et parla de brigands pour sauver quelque gloire.
Il me vient d’auoüer ſa foibleſſe à genoux, D'vn bras ſeul, m’a-t’il dit, partirent tous les coups, Vn bras ſeul à tout trois nous ferma le paſſage, Et d’vne ſeule main ce grand crime eſt l’ouurage.	Il me vient d'auoüer sa faiblesse à genoux, D'un bras seul, m'a-t-il dit, partirent tous les coups, Un bras seul à tout trois nous ferma le passage, Et d'une seule main ce grand crime est l'ouvrage.
THESEE.	THESEE.
Le crime n’eſt pas grand s’il fut ſeul contre trois, Mais iamais ſans forfait on ne ſe prend aux Rois, Et fuſſent-ils cachez ſous vn habit champeſtre,, Leur propre Majeſté les doit faire cognoiſtre.	Le crime n'est pas grand s'il fut seul contre trois, Mais jamais sans forfait on ne se prend aux Rois, Et fussent-ils cachez sous un habit champêtre, Leur propre Majesté les doit faire connaître.
L’aſſaſſin de Lajus eſt digne du trépas, Bien que ſeul contre trois il ne le conneuſt pas, Pour moy, ie l’auoûray, que iamais ma vaillance A mon bras contre trois n’a commis ma défenſe, L’œil de voſtre Phorbas aura beau me chercher, Iamais dans la Phocide on ne m’a veu marcher.	L'assassin de Lajus est digne du trépas, Bien que seul contre trois il ne le connut pas, Pour moi, une l'avourai, que jamais ma vaillance À mon bras contre trois n'a commis ma défense, L'œil de votre Porbas aura beau me chercher, Jamais dans la Phocide on ne m'a vu marcher.
Qu’il vienne, à ſes regards ſans crainte ie m’expoſe, Et c’eſt vn impoſteur, s’il vous dit autre choſe.	Qu'il vienne, à ses regards sans crainte jour m'expose, Et c'est un imposteur, s'il vous dit autre chose.
I O	I Ô
LOCASTE.	LOCASTE.
aites entrer l’horbas.	aites entrer l'horbas.
Prince, penlez-y bien.	Prince, penlez-y bien.
THESEE.	THESEE.
S’il eſt homme d’honneur, ie n’en dois craindre rien.	S'il est homme d'honneur, tu n'en dois craindre rien.
JOGASTE.	JOGASTE.
Vous voudrez, mais trop tard, en éuiter la veuë.	Vous voudrez, mais trop tard, en éviter la vue.
THESEE.	THESEE.
Qu’il vienne, il tarde trop, cette lenteur me tuë, Et ſi ie le pouuois, ſans perdre le reſpect, Ie me plaindrois vn peu de me voir trop ſuſpect.	Qu'il vienne, il tarde trop, cette lenteur me tue, Et si tu le pouvais, sans perdre le respect, Je me plaindrais un peu de me voir trop suspect.
SCENE III.	SCÈNE III.
AUOASIE, IIIEUEE, PHORBAS, NERINE.	AUOASIE, IIIEUE, PHORBAS, NERINE.
IOCASTE.	JOCASTE.
Aiſſez-moy lui parler, & prettez-nous ſilence.	Aissez-moi lui parler, et prétez-nous silence.
L.	L.
Phorbas, enuiſagez ce Prince en ma preſence.	Phorbas, envisagez ce Prince en ma présence.
Le reçonnoiez-vous ?	Le reçonnoiez-vous ?
PHORBAS.	PHORBAS.
Quoy?	Quoi?
huit Luſtres aprés, Ie pourrois d’vn enfant reconnoiſtre les traits?	huit Lustres après, Je pourrais d'un enfant reconnaître les traits?
IOCASTE.	JOCASTE.
Ie ſçais ainſi que vous que les traits de l’enfance N’ont auecceux d'vn nomine aucune reſſemblance Mais comme ce Heros, s’il eſt ſorty de moy, Doit auoir de ſa main verſé le ſang du Roy, Seize ans n’ont pas changé tellement ſon viſage, Que vous n’en cõſerviez quelque imparfaite image.	Je sais ainsi que vous que les traits de l'enfance N'ont apprendre d'un nomine aucune ressemblance Mais comme ce Héros, s'il est sorti de moi, Doit avoir de sa main versé le sang du Roi, Seize ans n'ont pas changé tellement son visage, Que vous n'en confserviez quelque imparfaite image.
PHORBAS.	PHORBAS.
Helas!	Hélas!
j’en garde encor ſi bien le ſouuenir, Que ie l’auray preſent durant tout l’auenir.	j'en garde encor si bien le souvenir, Que tu l'aurai présent durant tout l'avenir.
Si pour connoiſtre vn fils il vous faut cette marque, Ce Prinee n’eſt point né de noſtre grand Monarque, Mais deſabuſez-vous, & ſçachez que ſa mort Ne fut jamais d’vn fils le parricide effons.	Si pour connaître un fils il vous faut cette marque, Ce Prine n'est point né de notre grand Monarque, Mais désabusez-vous, et sachez que sa mort Ne fut jamais d' ils le parricide éons.
IOCASTE.	JOCASTE.
Et de qui donc, Phorbas?	Et de qui donc, Phorbas?
auez-vous counoiſſance Du nom du meurtrier?	avez-vous counaissance Du nom du meurtrier?
ſçauez-vous la halſſance?	sçauez-vous la halssance?
PHORBAS.	PHORBAS.
Et de plus ſa demeure, & ſon rang.	Et de plus sa demeure, et son rang.
Eſt-ce aſſez?	Est-ce assez?
OCASTE.	OCACSTE.
Ie ſçauray le punii il vous le comonles, Pourrez-vous le conuaincre?	Je saurai le puni il vous le comonles, Pourrez-vous le convaincre?
PHORBAS.	PHORBAS.
Et par ſa propre bouche.	Et par sa propre bouche.
A nos yeux?	À nos yeux?
TOCASTE.	TOCASTE.
PHORBAS.	PHORBAS.
A vos yeux;	À vos yeux;
mais peut-eſtre il vous touche, Peut-eſtre y prendrez-vous vn peu tiop d’intereſt, Pour m’en croire aiſément, quand j’auray dit qui c’eſt.	mais peut-être il vous touche, Peut-être y prendrez-vous un peu tiop d'intérêt, Pour m'en croire aisément, quand j'aurai dit qui c'est.
THESEE.	THESEE.
Ne nous déguiſez rien, parlez en aſſeurance, Que le fils de Lajus en hâte la vangeance.	Ne nous déguisez rien, parlez en assurance, Que le fils de Lajus en hâte la vengeance.
TOCASTE.	TOCASTE.
Il n’eſt pas aſſeure, Prince, que te fort vous, Comme il eſt que Lajus fut jadis mon époux;	Il n'est pas assure, Prince, que te fort vous, Comme il est que Lajus fut jadis mon époux;
Et d’ailleurs ſi le Ciel vous choiſit pour victime, Vous me deuez laiſſer à punir ce grand crime.	Et d'ailleurs si le Ciel vous choisit pour victime, Vous me devez laisser à punir ce grand crime.
THESEE.	THESEE.
Auant que de mourir vn fils peut le vanger.	Avant que de mourir un fils peut le venger.
PHORBAS.	PHORBAS.
Si vous l’eſtes, ou non, ie ne le puis juger, Mais ie ſçay que Theſée eſt ſi digne de l’eitre, Qu’au ſeul nom qu’il en prend ie l’accepte pour maiſtre.	Si vous l'êtes, ou non, je ne le puis juger, Mais tu sais que Thesée est si digne de l'éitre, Qu'au seul nom qu'il en prend ie l'accepte pour maître.
Seigneur, vangez vn pere, ou ne ſouſtenez plus Que nous voyons en vous le vray ſang de Lajus.	Seigneur, vengez un père, ou ne soutenez plus Que nous voyons en vous le vrai sang de Lajus.
IOCASTE.	JOCASTE.
Phorbas, nommez ce traiſtre, & nous tirez de doute, Et j’atteſte à vos veux le Ciel qui nous écoute, Que pour cet aſſaſſin il n’eſt point de tourmens Qui puiſſent ſatisfaire à mes reſſentimens.	Phorbas, nommés ce traître, et nous tirés de doute, Et j'atteste à vos veux le Ciel qui nous écoute, Que pour cet assassin il n'est point de tourments Qui puissent satisfaire à mes ressentiments.
