ECTIEIOE LTTDETEVTE PERSECVTEE TRAGI-COMEDIE.	ECTIEIOE LTTDETEUTE PERSÉCUTE -THRAGICOMÉDIE.
Pour plus adroitement ſortir de cet affairé La prudence (ma ſœur) eſt icy neceſſaire, La paſſion qui regne en voſtre ieune cœur Eſt 'un nauuais moyen pour le rendre vainqueur Bien que voſtre courroux ſoit aſſez legitime;	Pour plus adroitement sortir de cet affairé La prudence (ma sœur) est ici nécessaire, La passion qui règne en votre jeune cœur Est ' un nauvais moyen pour le rendre vainqueur Bien que votre courroux soit assez légitime;
Son excez, toutesfois offence voſtre eſtime Tuiiun fauteſclutter par ion Zeie maiſeret Le depit d’vn affront qu’il faut tenir ſecret.	Son excès, toutefois offense votre estime Tuiun fautescluter par ion Zédie maisèret Le dépit d'un affront qu'il faut tenir secret.
HELIONE.	HÉLIONE.
Ah!	Ah!
le reſſentiment d’vn ſi viſible outrage Par de nobles tranſports reueille moncourage!	le ressentiment d'un si visible outrage Par de nobles transports réveille moncourage!
Et d’vn aueugle amour eſteignant le flambeau Me fait briſer ſes traits, & rompre ſon bandeau:	Et d'un aveugle amour éteignant le flambeau Me fait briser ses traits, et rompre son bandeau:
Il faut, puis qu'à ce mal il n’eſt point de remede Qu'a mon affection la vangeance ſuccede, Et que pourreparer le meſpris de mes vœux Ie la faſſe paſſer iuſques à nos neueux.	Il faut, puis qu'à ce mal il n'est point de remède Qu'a mon affection la vengeance succède, Et que pourreparer le mépris de mes vœux Je la fasse passer jusqu' à nos neueux.
Si iamais quelque Amant prend le ſoing de me plaire, Mon amour luy rendra ma hayne hereditaire, Et le premier ſerment où ie veux l’obliger Sans doute ceſena celuy de me vanger.	Si jamais quelque Amant prend le soin de me plaire, Mon amour lui rendra ma haine héréditaire, Et le premier serment où tu veux l'obliger Sans doute cesena celui de me venger.
ARIOMANT.	ARIOMANT.
Encorque Ligdamis contre toute apparence Ayt trompé voſtre amour comme voſtre eſperence, Ce point vous ſemble t’il tellement important Q u’il faille tout hayr pour vnhomme inconſtant?	Encorque Ligédamis contre toute apparence Ait trompé votre amour comme votre espérence, Ce point vous semble t'il tellement important Q u'il faille tout haïr pour unhomme inconstant?
Non non, confiderez, que le grand Hermodore,?	Non non, considérez, que le grand Hermodore,?
Le peut faire changer, & vous le rendre encore, Et que l’amour qu’il a pour de moindres appas Eſt vn feu paſſager qui ne durerapas.	Le peut faire changer, et vous le rendre encore, Et que l'amour qu'il a pour de moindres appas Est un feu passager qui ne durerapas.
HELIONE.	HÉLIONE.
Mon ame (Ariomant ) eſt aſſez genereuſe Pour ne pas mandier ne flame amoureuſe, Ce prince deſormais eſt indigne de moy;	Mon âme (Ariomant ) est assez généreuse Pour ne pas mandier ne flamme amoureuse, Ce prince désormais est indigne de moi;
Puis qu’il reçoit d’Orphiſe une honteuſeloy Nonnon, ma paſſion, necueut pas le contraindre, Mais n’ayant pû m’aimer, le forcen à me craindre, i Ouy Thebes, cette main que tu deuois cherir:	Puis qu'il reçoit d'Orphise une honteuseloy Nonnon, ma passion, necueut pas le contraindre, Mais n'ayant pu m'aimer, le forcen à me craindre, y Jui Thebes, cette main que tu devais chérir:
;	;
S’armera quelque iour pour te faire perir, Et mon reſſentiment te prepare la foudre, -.	S'armera quelque jour pour te faire périr, Et mon ressentiment te prépare la foudre, -.
Qui dedans peu de temps te doitreduire en poudre, Ta perte deſormais eſt mon vnique ſoing Et ton perfide Prince en ſera le teſmoing.	Qui dedans peu de temps te doitreduire en poudre, Ta perte désormais est mon unique soin De ton perfide Prince en sera le témoing.
Mais voicy Zaralinde.	Mais voici Zaralinde.
64 O ETTISE 0¶he ebια¶D.	64 Ô TTISE Â0he ebια¶D.
2 3 528	2 3 528
SCENE SIXIESME HELIONE.	SCÈNE SIXIÈME HÉLIONE.
ARIOMANT.	ARIOMANT.
ZARALINDE.	ZARALINDE.
HE LIO.	HÉ LIO.
NE.	NE.
s’auançant vers Zaralinde:	s'avançant vers Zaralinde:
FXcuſez moy Madame;	FXcusez -moi Madame;
Si ie ne puis cacher les tranſports de mon ame, De trop iuſtes vaiſons viennent de m’animer Contre le meſme eſtat que ie deuois aymer, Ne me demandez, pas le ſuiet de ma plainte, Vous ſçauez le depit dont mon ame eſt atteinte, Et que ie ſuls de ſang, & de condition A ne pas endurer vne ſi lache action:	Si personne ne puis cacher les transports de mon âme, De trop justes vaisons viennent de m'animer Contre le même état que je devais aimer, Ne me demandez, pas le sujet de ma plainte, Vous savez le dépit dont mon âme est atteinte, Et que sans suls de sang, et de condition A ne pas endurer une si lache action:
Qneit piinte mvauame auoyeſon aipoile, Qu'ilacheue à mes yeux cette belle entrepriſe, Qu’ilbraue mon amour par vn indigne choix.	Qneit piinte mvauame avoieson aipoile, Qu'ilachève à mes yeux cette belle entreprise, Qu'ilbrave mon amour par un indigne choix.
Helione eſt princeſſe, & la Grece a des rois.	Hélione est princesse, et la Grèce a des rois.
ZARALINDEs.	ZARALINDEs.
Madame:	Madame:
ie ſerois aueugle, & temeraire Si ie prenois icy le party de mon frere;	Ce serais aveugle, et téméraire Si personne prenais ici le parti de mon frère;
Veu que ie ſşay ſa faute, & que voſtre bonté Luy preſente un honneur qu’il n’a pas merité.	Veu que ici sais sa faute, et que votre bonté Lu presente un honneur qu'il n'a pas mérité.
Il eſt vruy que ſurpris parles charmes d’Orphiſe Iln'apû de ſes traits deffendre ſa franchiſe,	Il est vrui que surpris parles charmes d'Orphise Iln'appu de ses traits défendre sa franchise,
Mais	Mais
TAMOIECOMEDIL.	TAMOICOMEDIL.
Mais la mefme beauté qui fit ſa paſſion Parde iuſtes meſpris fait ſa punition Et ſans ſe ſoucier de ce grand aduantage Se declare touſiours en faueur de Theage.	Mais la même beauté qui fit sa passion Parde justes mépris fait sa punition Et sans se soucier de ce grand avantage Se déclare toujours en faveur de Théage.
Moderez, doncq (Madame) vn peu voſtre courroux Montrez, à Zaralinde vn viſage plus doux, Ou bien ſi ie vous faits vne iniuſte prière Vangez vous ſurla ſœur de l’offence dufrere:	Modérez, donc (Madame) un peu votre courroux Montrez, à Zaralinde un visage plus doux, Ou bien si je vous faits une injuste prière Zé vous surla sœur de l'offense dufre:
Pour reparer le tort qu’on fait à vos attraits.	Pour réparer le tort qu'on fait à vos attraits.
Faites vous de mon cœur une butte à vos traits Mais cheriſſez au moins vn Roy qui vous adore, Q u’à commis contre lvous l’innocent Hermodore?	Faites -vous de mon cœur une butte à vos traits Mais chérissez au moins un Roi qui vous adore, Q u’à commis contre lvous 'innocent Hermodore?
Quoy ne voulez pas cet Empire eſpargner?	Quoi ne voulez pas cet Empire épargner?
Abatrez vout le trône ou vous deuez, regner?	Abattrez vout le trône et vous devez, régner?
Ah pour mieux triompher employez d'autres armes, 1.	Ah pour mieux triompher employez d'autres armes, 1.
Eigdamumoins de ſang, que de larmes;	Éigdamumoins de sang, que de larmes;
Mieux qu’vn ferennemy cet œil touſiours vainqueur.	Mieux qu'un ferennemi cet œil toujours vainqueur.
Sans doute trouuera le chemin de ſon cœur.	Sans doute trouvera le chemin de son cœur.
ARIOMANT.	ARIOMANT.
Ah ma ſœur!	Ah ma sœur!
pouuez vous reſiſter à ces charmes Et croyez vous auoir de ſi puiſſantes armes, Que vous ne les ſentiez de vos mains arracher Parles meſmes efforts dont ie me ſens toucher.	pouvez -vous résister à ces charmes Et croyez vous avoir de si puissantes armes, Que vous ne les sentiez de vos mains arracher Parles mêmes efforts dont personne me sens toucher.
Non ſans doute Helione, il n'eſt point de deffence Contre cette admirahle & diuine eſloquence, Il faub, iljaufceder aces diuins appas.	Non sans doute Hélione, il n'est point dé sensé Contre cette admirahle et divine éloquence, Il faub, iljaufceder aces divins appas.
HELIONE.	HÉLIONE.
He bien (Ariomant) ie ne me deffend pas, Puis qu’il n’eſt pas permis deſtre icy genereuſe, Taſchons encore vn coup de nous rendre amoureuſe;	He bien (Ariomant) ici ne me défends pas, Puis qu'il n'est pas permis dêtre ici généreuse, Tâchons encore un coup de nous rendre amoureuse;
Reſoluons nous mon cœur à ce dernier effort, Et recherchons en finle naufrage, ou le port.	Résoluons nous mon cœur à ce dernier effort, Et recherchons en finle naufrage, ou le port.
ZARALINDE.	ZARALINDE.
Madame:	Madame:
aſſeurez vous qu’vne inſigne victoire Reſtablira bientoſt l’eſclat de voſtre gloire, Et que parvos attraits mon frere humilié Rougira qu’il ſe ſoit tellement oublié Que d’auoir preferé l’amour d’vne ſujette A cette Maieſtéſi rare, & ſi parfaitte.	assurez -vous qu'une insigne victoire Rétablira bientôt l'éclat de votre gloire, Et que parvos attraits mon frère humilié Rougira qu'il se soit tellement oublié Que d'avoir préféré l'amour d'une sujet À cette Maiestési rare, et si parfaite.
Ouy Madame, ie ſçay l’adreſſe, & les moyens Q uileaoisenetiner de ſes homeux liens, Et forcerlarigueur de cette ame hautaine A receuoir de vous vne plus noble chaiſne, Pourueu que vous vouliez eſcoutermes aduis.	Oui Madame, Seigneur sais l'adresse, et les moyens Q ouvileaoisenetiner de ses homeux liens, Et forcerlarigueur de cette âme hautaine A recevoir de vous une plus noble chaîne, Pourvu que vous vouliez écoutermes avis.
HELIONE.	HÉLIONE.
Ils ſeront (Zaralinde) eſcoutez, & ſuiuis.	Ils seront (Zaralinde) écoutez, et suivis.
SCENE SEPTIESME LTGDAMIS.	SCÈNE SEPTIÈME LTGDAMIS.
ORPHISE.	ORPHISE.
LIGDAMIS.	LIGDAMIS.
Ebien (chere beauté) ce cœurinexorable INe ſe laſſe t’il point de me voir miſerable?	Ébien (chère beauté) ce cœurinexorable INe se lasse t'il point de me voir misérable?
Voulez vous que i'endure vun iniuſte treſpas Pour auoir fait hommage à vos diuins appas?	Voulez -vous que j'endure vun injuste trépas Pour avoir fait hommage à vos divins appas?
Et ſi ie les prefere aux grandeurs d’Helione Le tombeau ſera t’ille ſalaire d’vn trône?	Et si ici les préfère aux grandeurs d'Hélione Le tombeau sera t'ille salaire d'un trône?
Ah Madame!	Ah Madame!
voyez ou l’amour ma reduit, Surempeiser jpu Me LueN Tuuit, Et ſouffrez maintenant qu’ilvous faſſe connoiſtre Qui vous deuez, aymer ou d’vn Prince, ou d’vn traiſtre.	voyez ou l'amour ma réduit, Surempuiser ju Me LueN Tuuit, Et souffrez maintenant qu'ilvous fasse connaître Qui vous devez, aimer ou d'un Prince, ou d'un traître.
ORPHISE.	ORPHISE.
L’vn n’eſt pas plus que l’autre agreable à mes yeux, Auſſi pour mon repos ie les fuiray tous deux;	L'un n'est pas plus que l'autre agréable à mes yeux, Aussi pour mon repos ie les fuirai tous deux;
Gar le vice de l’vn choque mon innocence, Et l’autre a des grandeurs dont la pompe m'offence.	Gar le vice de l'Hommes choque mon innocence, Et l'autre a des grandeurs dont la pompe m'offense.
LIGDAMIS.	LIGDAMIS.
Si le ſort d’vn Amant eſtoit moins ricoureux Pour voir que ſon riu al eſt au ſſi malheureux N’a plus ſur Ligdamis cet heureux aduantage Quila touſiours tenu de voſtre aueuglement.	Si le sort d'une Amant était moins ricoureux Pour voir que son rivle al est au ssi malheureux N'a plus sur Ligédamis cet heureux avantage Quilla toujours tenu de votre aveuglement.
ORPHISE.	ORPHISE.
Dites de ſon merite, & dejmon iugement Qmipenonn qu iumau nos mnocenes fames Malgré tous vos projets vniront nos deux ames.	Dites de son mérite, et déjmon jugement Qmipenonn qu' au nos mnocène famés Malgré tous vos projets uniront nos deux âmes.
LAGDAMIS.	LAGDAMIS.
Vous démentez icy voſtre propre raiſon, Et voſtre ame en l’aymant ayme la trahiſon:	Vous démentez ic y propre raison, Et votre âme en l'aimant aime la trahison:
Ouy (Madame) ce braue, & genereux Theage Ma fait voirce matin ſon illuſtre courage, Et ſi le ciel euſt pû permettre vn coup ſi beau Voſtre ennemy ſeroit maintenant au tombeau;	Oui (Madame) ce brave, et généreux Thage Ma fait voirce matin son illustre courage, Et si le ciel eût pu permettre un coup si beau Votre ennemi serait maintenant au tombeau;
Ce prince infortuné dont l’amour vous offence Donneroit à vos feux vne entiere licence, Et par des complimens ſi longs, & ſuperflus Comme ie faits encor, ne vous ennuyroit plus:	Ce prince infortuné dont l'amour vous offense Donnerait à vos feux une entière licence, Et par des compliments si longs, et superflus Comme ie faits encor, ne vous ennuyrait plus:
Mais (Orphiſe) les Dieux ennemis duperfide Mont ſauué des appas d’vn breuuage homicide, Et trompant les effets d’vn funeſte poiſon Au lieu de mon cercueil, ont baſty ſa priſon.	Mais (Orphise) les Dieux ennemis duperfide Mont sauvé des appas d'vn breuage homicide, Et trompant les effets d'un este poison Au lieu de mon cercueil, ont bâti sa prison.
ORPHISE.	ORPHISE.
Les princes comme vous pour perdre vn miſerable Rendent quand il leur plaiſt vn innocent coupable, Mais quoy que vous diſiez, Theage eſt trop bien ne Peur croire qu’il en ſoit iuſtement ſoupçonné On l’acuſe pourtant, & là bouche prophane D’un riual enuieux le iuge, & le condamne:	Les princes comme vous pour perdre un misérable Rendent quand il leur plaît un innocent coupable, Mais quoi que vous disiez, Thage est trop bien ne Peur croire qu'il en soit justement soupçonné On l'acuse pourtant, et là bouche prophane D'un rival envieux le juge, et le condamne:
Mais croyez (Ligdamis) que ces laſches moyens Bien qu’ils ſoient ſpecieux aux yeux des Cytoyens Ne trouueront iamais moname aſſez, credulePour luy faire eſtouffer le beau feu qui me bruſle;	Mais croyez (Ligédamis) que ces lâches moyens Bien qu'ils soient spécieux aux yeux des Cytoyens Ne trouveront jamais monme assez, crédulePour a faire étouffer le beau feu qui me brûle;
Ouy ouy continuez à procurerſafin, De prince glorieux, deuenez aſſaſin, Pour vous vanger de moy faites vne iniuſtice, Puis que Theage m'ayme, il merite vn ſupplice, Il faut verſer ſon ſang pour eſteindre ſes feux;	Oui oui continuez à procurersafin, De prince glorieux, devenez assin, Pour vous venger de moi faites une injustice, Puis que Théage m'aime, il mérite un supplice, Il faut verser son sang pour éteindre ses feux;
Mais que vous eſtes loing du ſuccez, de vos vœux, Si vous croyez iamais qu’apres tun teloutrageu?	Mais que vous êtes loin du succès, de vos vœux, Si vous croyez jamais qu'après tun teloutrageu?
Ie puiſſe regarder le meurtrier de Theage:	Je puisse regarder le meurtrier de Thage:
* Non non, n'eſperez pas que ie touche enla main Qui peut eſtre à ſigné cet arreſt inhumain, Le ſang de mon amant me larend odieuſe, Oſtez moy quant & quant vne vie ennuyeuſe, Aſſeure que le coup qui me la rauira Eſt la ſeule action de vous qui me plaira.	* Non non, n'espérez pas que deux touche enla main Qui peut -être à signé cet arrêt inhumain, Le sang de mon amant me larend odieuse, Êtez -moi quant et quant une vie ennuyeuse, Assure que le coup qui me la ravira Est la seule action de vous qui me plaira.
LIGDAMIS:	LIGDAMIS:
Bien bien, puis qu’à mes vœux vous eſtes ſicõtraire Orgueilleuſe beauté ie vay vous ſatisfaire, Et d’vn iuſte treſpas vanger ce noble cœur Et de ſes trahiſons, & de voſtre rigueur.	Bien bien, puis qu'à mes vœux vous êtes sicõtraire Orgueilleuse beauté notre vay vous satisfaire, Et d'un juste trépas venger ce noble cœur Et de ses trahisons, et de votre rigueur.
Ouy Theagé moura Madame, ie le ture:	Oui Théagé moura Madame, je le ture:
Et vos yeux arrogans verront ſon aduanture, Ils verront çet Amant que vous portez, ſi haut.	Et vos yeux arrogants verront son aventure, Ils verront çet Amant que vous portez, si haut.
Mettre bas ſon orgueil ſur vn triſte eſchaffaut;	Mettre bas son orgueil sur un triste échaffaut;
Non pas pour le poiſon dont la preuue eſt trop claire Mais pluſtoſt pour auoir eſté ſi temeraire, Q ue dosereſuherameſpra de ſa joj Ses ſuperbes regards en meſme lieu que moy.	Non pas pour le poison dont la preuve est trop claire Mais plutôt pour avoir été si téméraire, Q ue doseresuheramespra de sa Ses superbes regards en même lieu que moi.
ORPHISE.	ORPHISE.
Va tygre, va cruel, aſſouuis ton enuie, Immole à ta fureur vne ſi belle vie, Si mes iuſtes douleurs ne preuiennenttas ſoins, Mes yeux meſme (barbare) en ſerontles teſmoins, Mais apres mes deuoirs rendus à l’innocence Les tiens verront auſſi mamort, & ma conſtance, Et tu reconnoiſtras quoy qu’il faille endurer Que ce qu'Amour à ioint ne ſe peut ſeparer.	Va tigre, va cruel, assouis ton envie, Immole à ta fureur une si belle vie, Si mes justes douleurs ne preuiennentas soins, Mes yeux même (barbare) en serontles témoins, Mais après mes devoirs rendus à l'innocence Les tiens verront aussi mamort, et ma constance, Et tu reconnaîtras quoi qu'il faille endurer Que ce qu'Amour à joint ne se peut séparer.
