L’IMPOSTEUR,	L'IMPOSTEUR,
Et l’on diroit par tout, que me ſentant coupable, Jefeins, pour qui m’accuſe, vn zele charitable;	Et l'on dirait par tout, que me sentant coupable, Jefeins, pour qui m'accuse, un zèle charitable;
Que mon cœur l’aprehende, & veut le ménager, Pour le pouuoir, ſous-main, au ſilence engager.	Que mon cœur l'appréhende, et veut le ménager, Pour le pouuoir, sous-main, au silence engager.
CLEANTE.	CLÉANTE.
Vous nous payez icy d’excuſes coloré es, Et toutes vos raiſons, Monſieur, ſont trop tirées Des intereſts du Ciel.	Vous nous payez ici d'excuses coloré es, Et toutes vos raisons, Monsieur, sont trop tirées Des intérêts du Ciel.
pourquoy vous chargez-vous Pour punir le coupable, a-t-il beſoin de nous?	pourquoi vous chargez-vous Pour punir le coupable, a-t-il besoin de nous?
Laiſſez-luy, laiſſez luy le ſoin de ſes vangeances, Ne ſongez qu’au pardon qu’il preſcrit des offences;	Laissez-lui, laissez lui le soin de ses vengeances, Ne songez qu'au pardon qu'il prescrit des offenses;
Et ne regardez point aux jugemens humains, Quand vous ſuiuez du Ciel les ordres ſouuerains.	Et ne regardez point aux jugements humains, Quand vous suivez du Ciel les ordres souverains.
Quoy!	Quoi!
le foible intereſt de ce qu’on pourra croire, D'vne bonne action, empe chera la gloire?	le faible intérêt de ce qu'on pourra croire, D'une bonne action, empe chera la gloire?
Non, non, faiſons toûjours ce que le Ciel preſcrit, Et d’aucun autre ſoin ne nous broüillons l’eſprit.	Non, non, faisons toujours ce que le Ciel prescrit, Et d'aucun autre soin ne nous brouillons l'esprit.
TARTUFFE.	TARTUFFE.
Je vous ay déja dit que mon cœur luy pardonne, Et c’eſt faire, Monſieur, ce que le Ciel ordoune:	Je vous ai déjà dit que mon cœur lui pardonne, Et c'est faire, Monsieur, ce que le Ciel ordoune:
Mais apres le ſcandale, & l'affront d’aujourd’huy, Lecleln’ordonne pas que je viue auec luy.	Mais après le scandale, et l'affront d'aujourd'hui, Leclelèn'ordonne pas que je vive auec lui.
CLEANTE.	CLÉANTE.
Et vous ordonne-t-il, Monſieur, d’ouurir l’oreille A ce qu’vn pur caprice à ſon Fere conſeille?	Et vous ordonne-t-il, Monsieur, d'ouvrir l'oreille A ce qu'un pur caprice à son Fère conseille?
Et d’accepter le don qui vous eſt fait d’vn bien Où le droict vous oblige à ne pretendre rien.	Et d'accepter le don qui vous est fait d'un bien Où le droit vous oblige à ne prétendre rien.
TARTUFFE.	TARTUFFE.
Ceux qui me connoiſtront, n’auront pas la penſée Que ce ſoit un effet d’une ame intereſſée.	Ceux qui me connaîtront, n'auront pas la pensée Que ce soit un effet d'une âme intéressée.
pas, Tous les biens de ce monde ont pour moy peu d’aDe leur éclat trompeur je ne m’éblouis pas;	pas, Tous les biens de ce monde ont pour moi peu d'aDe leur éclat trompeur je ne m'éblouis pas;
Et ſi je me réſous à recevoir du Pere Cette donation qu’il a, voulu me faire, Ce n’eſt à dire vray, que parce que je craius Que tout ce bien ne tombe en de mé chantes mains;	Et si je me résous à recevoir du Père Cette donc qu'il a, voulu me faire, Ce n'est à dire vrai, que parce que je craius Que tout ce bien ne tombe en de mé chantes mains;
Qu’il ne trouve des Gens, qui l’ayant en partage, En faſſent, dans le Monde, un criminel uſage;	Qu'il ne trouve des Gens, qui l'ayant en partage, En fassent, dans le Monde, un criminel usage;
Et ne s’en ſervent pas, ainſi que j’ay deſſein, Pour la gloire du Ciel, & le bien du Prochain.	Et ne s'en servent pas, ainsi que j'ai dessein, Pour la gloire du Ciel, et le bien du Prochain.
CLEANTE.	CLÉANTE.
Eh, Monſieur, n’ayz point ces délicates craintes, Qui d’un juſte heritier peuvent cauſer les plaintes.	Eh, Monsieur, n'aiz point ces délicates craintes, Qui d'un juste héritier peuvent causer les plaintes.
Souffrez, ſans vous vouloir embaraſſer de rien, Qu’il ſoit, à ſes périls, poſſeſſeur de ſon bien;	Souffrez, sans vous vouloir embarrasser de rien, Qu'il soit, à ses périls, possesseur de son bien;
Et ſongez qu’il vaut mieux encor qu’il en meſuſe, Que ſi de l’en fruſtrer, il faut qu’on vous accuſe.	Et songez qu'il vaut mieux encor qu'il en mesuse, Que si de l'en frustrer, il faut qu'on vous accuse.
J’admire ſeulement que, ſans confuſion, vous en ayez ſouffert la propoſition :	J'admire seulement que, sans confusion, vous en ayez souffert la proposition :
Car enfin, le vray zele a-t-il quelque maxime Qui montre à dépouiller l’heritier legitime?	Car enfin, le vrai -mêle a-t-il quelque maxime Qui montre à dépouiller l'héritier légitime?
Et s’il faut que le Ciel dans voſtre cœur ait mis Un invincible obſtacle à vivre avee Damis.	Et s'il faut que le Ciel dans votre cœur ait mis Un invincible obstacle à vivre ave Damis.
Ne vaudroit-il pas mieux, qu’enPerſonne diſcrette, Vous niiez de ceans une nonnente recfaite, Que de ſouffrir ainſi, contre toute raiſon.	Ne vaudrait-il pas mieux, qu'enPersonne discrette, Vous niiez de céans une nonnente refaite, Que de souffrir ainsi, contre toute raison.
Qu'on en chaſſe, pour vous, le Fils de la Maiſon?	Qu'on en chasse, pour vous, le Fils de la Maison?
Croyez-moy, c’eſt donner de voſtre prud’hommie, Monſieur.	Croyez-moi, c'est donner de votre prud'hommie, Monsieur.
TARTUFFE.	TARTUFFE.
Il eſt, Monſieur, trois heures & demie;	Il est, Monsieur, trois heures et demie;
Certain devoir pieux me demande là-haut, Et vous m’excuſerez, de vous quitter ſi-toſt.	Certain devoir pieux me demande là-haut, Et vous m'excuserez, de vous quitter si-tôt.
Ah!	Ah!
CLEANTE.	CLÉANTE.
SCENE II.	SCÈNE II.
ELMIRE, MARIANE, DORINE, CLEANTE.	ELMIRE, MARIANE, DORINE, CLEANTE.
DORINE.	DORINE.
DE grace, avec nous, employez-vous pour elle.	DE grâce, avec nous, employez-vous pour elle.
Monſieur, ſon ame ſouffre une douleur mortelle;	Monsieur, son âme souffre une douleur mortelle;
Et l’accord que ſon Pere a conclu pour ce ſoir, La fait, à tous momens, entrer en deſeſpoir.	Et l'accord que son Père a conclu pour ce soir, La fait, à tous moments, entrer en désespoir.
Il va venir;	Il va venir;
joignons nos efforts, je vous prie, Et fachons d’ébranſer de force, od dmduffie, Ce malheureux deſſein qui nous a tous troublez.	joignons nos efforts, je vous prie, Et fâchons d'ébranser de force, od dméduffie, Ce malheureux dessein qui nous a tous troublés.
SCENE III.	SCÈNE III.
ORGON, ELMIRE, MARIANE, CLEANTE, DORINE.	ORGON, ÉLMIRE, MARIANE, CLEANTE, DORINE.
ORGON.	ORGON.
A, je me réjouis de vous voir aſſemblez.	A, je me réjouis de vous voir assemblés.
à Mariane.	à Mariane.
Je porte, en ce Contract, dequoy vous faire rire, Et vous ſçavez déja ce que cela veut dire.	Je porte, en ce Contrat, dequoy vous faire rire, Et vous savez déjà ce que cela veut dire.
MARIANE à genons.	MARIANE à gênons.
Mon Pere, au nom duCiel, qui cõnoiſt ma douleur, Et par tout ce qui peut émouvoir voſtre cœur, Relâchez-vous un peu des droicts de la naiſſance, Et diſpenſez mes vœux de cette obeïſſance.	Mon Père, au nom duCiel, qui cõnoist ma douleur, Et par tout ce qui peut émouvoir votre cœur, Relâchez-vous un peu des droits de la naissance, Et dispensez mes vœux de cette obéissance.
Ne me reduiſez point, par cette dure Loy, Juſqu’a me plaindre au Ciel de ce que je vous doy :	Ne me réduisez point, par cette dure Loi, Jusqu'a me plaindre au Ciel de ce que je vous dois :
Et cette vie, helas!	Et cette vie, hélas!
que vous mavez donnée, Ne me la rendez pas, mon Pere, infortunée.	que vous mavez donnée, Ne me la rendez pas, mon Père, infortunée.
Si contre un dous eſpoir que j’avois pû former, Vous me defendez d’eſtre à ce que j’oſe aimer;	Si contre un dous espoir que j'avais pu former, Vous me défendez d'être à ce que j'ose aimer;
Au moins, par vos bontez, qu’à vos genous j’implore, Sauvez-moy du tourment d’eſtre à ce que j’abhore;	Au moins, par vos bontés, qu'à vos genous j'implore, Sauvez-moi du tourment d'être à ce que j'abhore;
Et ne me portez point à quelque deſeſpoir, En vous ſervant, ſur moy, de tout voſtre pouvoir.	Et ne me portez point à quelque désespoir, En vous servant, sur moi, de tout votre pouvoir.
MARIANE.	MARIANE.
Vos tendreſſes pour luy, ne me font point de peine, Faites-les éclater, donnez-luy voſtre bien;	Vos tendresses pour lui, ne me font point de peine, Faites-les éclater, donnez-lui votre bien;
Et ſi ce n’eſt aſſez, joignez-y tout le mien, I'y conſens de bon cœur, & je vous l’abandonne:	Et si ce n'est assez, joignez-y tout le mien, J'y consens de bon cœur, et je vous l'abandonne:
mais ati iliomo n'urlen pas jurquuodim perſonne, Et ſouffrez qu’un Convent, dans les auſteritez, Uſe les triſtes jours que le Ciel m’a contez.	mais ati iliomo n'urlen pas jurquodim personne, Et souffrez qu'un Convent, dans les austérités, Use les tristes jours que le Ciel m'a comptez.
ORGON.	ORGON.
Ah!	Ah!
voila juſtement de mes Religieuſes, Lors qu’un Pere combat leurs flames amoureuſes.	voilà justement de mes Religieuses, Lors qu'un Père combat leurs flammes amoureuses.
Debout.	Débout.
Plus voſtre cœur répugne à l’accepter, Plus ce ſera pour vous, matiere à mé riter.	Plus votre cœur répugne à l'accepter, Plus ce sera pour vous, matière à mé riter.
auoidner vos engavceceMaige, Et ne me rompez pas la teſte davantage.	avoider vos engavanceMaige, Et ne me rompez pas la tête davantage.
Mais quoy.	Mais quoi.
DORINE.	DORINE.
ORGON.	ORGON.
Taiſez-vous, vous.	Taisez-vous, vous.
Parlez à voſtre écot, Ie vous défens, tout net, d’oſer dire un ſeul mot.	Parlez à votre écot, Je vous défends, tout net, d'oser dire un seul mot.
CLEANTE.	CLÉANTE.
de.	de.
ORGON.	ORGON.
de, Mon Frere, vos conſeils ſont les meilleurs du monIls ſont bien raiſonnez, & j'en fais un grand cas;	de, Mon Frère, vos conseils sont les meilleurs du monIls sont bien raisonnés, et j'en fais un grand cras;
muis vous trouverez bon que je n’en uſe pas.	muis vous trouverez bon que je n'en use pas.
ELMIRE a son Mary.	ELMIRE a son Mari.
A voir ce que je voy, je ne ſȩay plus que dire, Et voſtre aveuglement fait que je vous admire.	À voir ce que je vois, je ne sais plus que dire, Et votre aveuglement fait que je vous admire.
C’eſt eſtre bien coiffé, bien prévenu de luy, Que de nous démentir ſur le fait d’aujourd’huy.	C'est être bien coiffé, bien prévenu de lui, Que de nous démentir sur le fait d'aujourd'hui.
ORGON.	ORGON.
Ie ſuis voſtre Valet, & crois les apparences.	Je suis votre Valet, et crois les apparences.
Pour mon fripon de Fils, je ſçay vos complaiſances, Et vous avez eu peur de le deſavouer Du trait qu’à ce pauvre Homme il a voulu joûer.	Pour mon fripon de Fils, je sais vos complaisances, Et vous avez eu peur de le désavouer Du trait qu'à ce pauvre Homme il a voulu jouer.
Vous eſtiez trop tranquile enfin, pour eſtié creuë, Et vous auriez paru d’autre maniere émeuë.	Vous étiez trop tranquille enfin, pour estié crue, Et vous auriez parue d'autre manière émue.
ELMIRE.	ÉLMIRE.
Eſt-ce qu’au ſimple aveu d’un amoureux tranſport, Il faut que noſtre honneur ſe gendarme ſi fort?	Est-ce qu'au simple aveu d'un amoureux transport, Il faut que notre honneur se gendarme si fort?
Et ne peut-on répondre à tout ce qui le touche, Que le feu dans les yeux, & l’injure à la bouche?	Et ne peut-on répondre à tout ce qui le touche, Que le feu dans les yeux, et l'injure à la bouche?
P'our moy, de tels propos, je me ris ſimplement, Et l’éclat, là-deſſus, ne me plaiſt nullement.	P'our moi, de tels propos, je me ris simplement, Et l'éclat, là-dessus, ne me plaît nullement.
J’aime qu’avec douceur nous nous mõtrions ſages, Et ne ſuis point, du tout, pour ces Prudes ſauvages, Dont l’honneur eſt armé de griffes, & de dents, Et veut, au moindre mot, dé viſager les Gens.	J'aime qu'avec douceur nous nous montrerions sages, Et ne suis point, du tout, pour ces Prudes sauvages, Dont l'honneur est armé de griffes, et de dents, Et veut, au moindre mot, de visager les Gens.
Me preſerve le Ciel d’une telle ſageſſe!	Me preserve le Ciel d'une telle sagesse!
Je veux une Vertu qui ne ſoit point diableſſe, at croy que d’u rerde, la unerete fronedr, N’en eſupas moins puiſſante à rebuter un cœur.	Je veux une Vertu qui ne soit point diablesse, at crois que d'u rerède, la unerete fronedr, N'en esupas moins puissante à rebuter un cœur.
ORGON.	ORGON.
Enfin jeſçay l’affaire, & ne prens point le change.	Enfin jesçai l'affaire, et ne prends point le change.
ELMIRE.	ÉLMIRE.
I'admire, encor un coup, cette foibleſſe étrange.	J'admire, encor un coup, cette faiblesse étrange.
Mais que me répondroit voſtre incredulité, Si je vous faiſois voir qu’on vous dit verité?	Mais que me répondrait votre incredulité, Si je vous faisais voir qu'on vous dit vérité?
VOII* ORGON.	VOII* ORGON.
Ouy.	Oui.
ELMIRE.	ÉLMIRE.
ORGON.	ORGON.
Chanſons.	Chansons.
ELMIRE, Mais quoy!	ELMIRE, Mais quoi!
ſi je trouvois maniere De vous le faire voir avec pleine lumiere?	si je trouvais manière De vous le faire voir avec pleine lumière?
Contes en l’air.	Contes -en l'air.
ORGON.	ORGON.
ELMIRE.	ÉLMIRE.
Quel Homme!	Quel Homme!
Au moins répondez-moy.	Au moins répondez-moi.
Ie ne vous parle pas de nous adjoûter foy:	Je ne vous parle pas de nous ajouter foi:
Mais ſupoſons icy, que dun lieu qu’on peut prendre, on On vous fiſt clairement tout voir, & tout entendre Que diriez-vous alors de voſtre Homme de bien?	Mais suposons ici, que dun lieu qu'on peut prendre, on On vous fît clairement tout voir, et tout entendre Que diriez-vous alors de votre Homme de bien?
ORGON.	ORGON.
Eſl te cas, jeunois que.	Él te cas, jeûnais que.
jonc ahonnen, Car cela ne ſe peut.	jonc ahonnen, Car cela ne se peut.
ELMIRE.	ÉLMIRE.
L’erreur trop long temps dure, Et c'eſt trop condamner ma bouche d’impoſture.	L'erreur trop long temps re, Et c'est trop condamner ma bouche d'imposture.
Il faut que par plaiſir, & ſans aller plus loin, De tout ce qu’on vous dit, je vous ſaſſe temoin.	Il faut que par plaisir, et sans aller plus loin, De tout ce qu'on vous dit, je vous sasse témoin.
ORGON.	ORGON.
dreſſe Soit, je vous prens au mot.	dresse Soit, je vous prends au mot.
Nous verrons voſtre a	Nous verrons votre à
Et comment voûs pourrez remplir cette promeſſe.	Et comment us pourrez remplir cette promesse.
ELMIRE.	ÉLMIRE.
Faites-le moy venir.	Faites-le moi venir.
DORINE.	DORINE.
Son eſprit eſt ruſé, Et peut-eſtre, à ſurprendre, il ſera malaiſé.	Son esprit est rusé, Et peut-être, à surprendre, il sera malaisé.
EBMIRE.	EBMIRE.
Non, on eſt aiſément dupé par ce qu’on aime, Et l’aniour propre, engage a le Hromper ſoy-meſme.	Non, on est aisément dupé par ce qu'on aime, Et l'anjour propre, engage a le Hromper soi-même.
Faites-le moy deſcendre;	Faites-le moi descendre;
& vous, retirez-vous.	et vous, retirez-vous.
Par ant à Cleante, & à Mariane.	Par ant à Cléante, et à Mariane.
SCENE IV.	SCÈNE IV.
ELMIRE, ORGON.	ÉLMIRE, ORGON.
ELMIRE.	ÉLMIRE.
IA Pprochons cette Table, & vous mettez deſſous.	IA Prochons cette Table, et vous mettez dessous.
Comment?	Comment?
encei	encei
ELMIRE.	ÉLMIRE.
Vous bien cacher, eſt un poinct neceſſaire.	Vous bien cacher, est un point nécessaire.
ORGON.	ORGON.
Pourquoy ſous cette Table?	Pourquoi sous cette Table?
ELMIRE.	ÉLMIRE.
Ah!	Ah!
mon Dieu, laiſſez faire, I'ay-mon deſſein en teſte.	mon Dieu, laissez faire, J'ai-mon dessein en tête.
& vous en jugerez.	et vous en jugerez.
MetMettez-vous là, vous dis-je;	MetMettez-vous là, vous dis-je;
& quand vous y ſerez, Gardez qu’on ne vous voye, & qu’on ne vous enORGON.	et quand vous y serez, Gardez qu'on ne vous voie, et qu'on ne vous enORGON.
tende.	tende.
Ie confeſſe qu’icy ma complaiſance eſt grande;	Je confesse qu'ici ma complaisance est grande;
Mais de voſtre entrepriſe, il vous faut voir ſortir.	Mais de votre entreprise, il vous faut voir sortir.
ELMIRE.	ÉLMIRE.
Vous n’aurez, que je croy.	Vous n'aurez, que je crois.
rien à me repartir.	rien à me repartir.
à ſon Mary qui eſt ſous la Table.	à son Mari qui est sous la Table.
Au moins, je vais toucher une étrange matiere, Ne vous ſcandaliſez en aucune maniere.	Au moins, je vais toucher une étrange matière, Ne vous scandalisez en aucune manière.
Quoy que je puiſſe dire, il doit m’eſtre permis, Et c’eſt pous vous convaincre, ainſi que j’ay promis.	Quoi que je puisse dire, il doit m'être permis, Et c'est pous vous convaincre, ainsi que j'ai promis.
Ie vais par des douceurs, puis que j’y ſuis reduite, Faire poſer le maſque à cette ame hypocrite, Flater, de ſon amour, les deſirs effrontez, Et donner un champ libre à ſes temeritez.	Je vais par des douceurs, puis que j'y suis réduite, Faire poser le masque à cette âme hypocrite, Flater, de son amour, les désirs effrontés, Et donner un champ libre à ses témérités.
