DOM PEDRE, Roy d’Aragon.	DOM PÉDRE, Roi d'Aragon.
Ie doits aux actions dont voſtre hiſtoire eſt plaine, Vn triomphe au deſſus de la pompe Romaine:	Je doits aux actions dont votre histoire est plaine, Un triomphe au dessus de la pompe Romaine:
Mais attendãt ce prix de vos exploits vainceurs, Commencez, par celuy des eſprits & des cœurs;	Mais attendant ce prix de vos exploits vainceurs, Commencez, par celui des esprits et des cœurs;
Arurſtoſur tes fronts t'auegreſe puplique, Dont en voſtre faueur, toute la cour s’explique;	Arurstosur tes fronts t'avegrese puplique, Dont en votre faveur, toute la cour s'explique;
Poſſedez voſtre gloire & cepenuuur contez, Albe, Vrgel, & Venoſque entre vos qualitez.	Possédez votre gloire et cepenuuur comptez, Albe, Vrgel, et Venosque entre vos qualités.
D.	D.
BERNARD.	BERNARD.
Ha, Sire!	Ha, Sire!
à vos bienfaits impoſez, des limites:	à vos bienfaits imposés, des limites:
LE ROY.	LE ROY.
Ils n’en auront iamais non plus que vos merites;	Ils n'en auront jamais non plus que vos mérites;
Apprenez nous enfin le plus grand des exploits;	Apprenez nous enfin le plus grand des exploits;
Qeme font it pius gina & te pius craint des Rois.	Queme font it pius gina et te pius craint des Rois.
D.	D.
BERNARD.	BERNARD.
DBet- Si toſt que i’eus reioinct vos legions fideles, lus l'in Degoutanttes encor du ſang de vos rebelles, Lconot Et les cœurs encor pleins des nobles ſentiments;	DBet- Si tôt que j'eus rejet vos légions fidèles, lus l'in Dégoutantes encor du sang de vos rebelles, Léconot Et les cœurs encor pleins des nobles sentiments;
Qui portent aux progrés des grands euenements.	Qui portent aux progrès des grands événements.
Ce grand corps pour ſon chef au trauail inſenſible, Cet inuincible bras d’vn Monarque inuincible;	Ce grand corps pour son chef au travail insensible, Cet invincible bras d'un Monarque invincible;
Marche ſous le pouuoir que vous m’auiez commis, Et bruſle de ſe rendre au camp des ennemis;	Marche sous le pouvoir que vous m'aviez commis, Et brûle de se rendre au camp des ennemis;
Nous marchons iuſqu’au point que de ſes voiles ſombres, La nuict ſur l’vniuers vient eſtendre les ombres, Et que deux eſpions ſurpris à Laugarez, M’apprirent effrayez que l’armee eſtoit prés;	Nous marchons jusqu'au point que de ses voiles sombres, La nuit sur l'univers vient étendre les ombres, Et que deux espions surpris à Laugarés, M'apprirent effrayez que l'armée était près;
A ce bruit épandu le ſangboût, le cœur vole, Nous trouuons en la nuict vn obſtacle friuole, Nous marchons ſans broncher dans les plus ſombres lieux, Pour y guider nos pas, nos cœurs nous ſeruẽt d’yeux, Et l’ardeur qui conduit nos armes inuincibles, Craint d’autãt moins les coups, qu’ils ſeront moins viſibles;	À ce bruit épandu le sangboût, le cœur vole, Nous trouvons en la nuit un obstacle frivole, Nous marchons sans broncher dans les plus sombres lieux, Pour y guider nos pas, nos cœurs nous servent d'yeux, Et l'ardeur qui conduit nos armes invincibles, Craint d'autant moins les coups, qu'ils seront moins visibles;
Enfin dans le ſilence & l’ombrede la nuict, Par vn taillis eſpois, nos rangs filants ſans bruict, Et de tous les coſtez chacun prettant l’oreille, Dans ce calme profond, vn bruit ſourd nous réueille;	Enfin dans le silence et l'ombrede la nuit, Par un taillis épois, nos rangs filants sans bruit, Et de tous les côtés chacun prétant l'oreille, Dans ce calme profond, un bruit sourd nous réueille;
Que du commencement nous ne diſtinguons pas, Mais qui s’eſleue enfin & croiſt à chaque pas, On fait alte, & la doute eſt bien-toſt confirmée, Nous diſcernons au bruit la marche de l’armée;	Que du commencement nous ne distinguons pas, Mais qui s'esleue enfin et croît à chaque pas, On fait alte, et la doute est bientôt confirmée, Nous discernons au bruit la marche de l'armée;
Ie cueille les aduis en ce beſoing inſtant, Autant à noſtre honneur qu’à l’Eſtat important.	Je cueille les avis en ce besoin instant, Autant à notre honneur qu'à l'État important.
Et le deſſein formé, faits donner les alarmes, Par vn ſon de tambours, de trompetes & d’armes, Capable par ſon bruit d’exciter tant d’horreur, Que parmy tout le Camp il iette la terreur:	Et le dessein formé, faits donner les alarmes, Par un son de tambours, de trompetés et d'armes, Capable par son bruit d'exciter tant d'horreur, Que parmi tout le Camp il jette la terreur:
Pendant qu’il delibere au coup de ce tounerre, Dans vn canton du bois le noſtre ſe reſſerre;	Pendant qu'il délibère au coup de ce tounerre, Dans un canton du bois le nôtre se resserre;
Et chacun (mais toûjours par le ſoin quei’en prẽds) En eſtat de donner, s’y couche dans ſes rangs;	Et chacun (mais toujours par le soin quei'en prends) En état de donner, s'y couche dans ses rangs;
Sur ce temps vn ſoldat de merite & de marque, Pour qui i'aurois beſoin, ô genereux Monarque, De toute l’eloquence & de toutes les voix, Dont le Senat Romain retentiſt autres fois;	Sur ce temps un soldat de mérite et de marque, Pour qui j'aurais besoin, ô généreux Monarque, De toute l'éloquence et de toutes les voix, Dont le Sénat Romain retentît autres fois;
Et que l’antiquité donne à la renommée, Tirant un Camp-volant du gros de noſtre armée;	Et que l'antiquité donne à la renommée, Tirant un Camp-volant du gros de notre armée;
Deſcend vne colline, & d’vn cœur indomté, Fauoriſé des lieux & de l’obſcurité, Par vn ſentier ſecret ſe iette où l’aduerſaire, Deſſus cette ſurpriſe, effrayé delibere;	Descend une colline, et d'un cœur indomté, Favorisé des lieux et de l'obscurité, Par un sentier secret se jette où l'adversaire, Dessus cette surprise, effrayé délibère;
Il laſche apres le pied, recule en combattant Feint de faire retraite, & retourne à l’inſtant;	Il lâche après le pied, recule en combattant Feint de faire retraite, et retourne à l'instant;
Suit enfin ſi long-temps ce genereux caprice, Et donne aux ennemis vn ſi long exercice, Que les plus aguerris, & les plus gens de cœur, Douuemnamouitunuuueur puus muſic vigueur, Pendant que dans le bois à l’abry de l’orage, Des noſtres repoſants, la force ſe meſnage.	Suit enfin si longtemps ce généreux caprice, Et donne aux ennemis un si long exercice, Que les plus aguerris, et les plus gens de cœur, Douuemnamouitunuuueur puus music vigueur, Pendant que dans le bois à l'abri de l'orage, Des nôtres repos, la force se ménage.
LE ROI.	LE ROI.
Sous ce nom de Soldat il parle de ſes faits, Et veut, taiſant le ſien, s’épargner mes bienfaits.	Sous ce nom de Soldat il parle de ses faits, Et veut, taisant le sien, s'épargner mes bienfaits.
D.	D.
BERNARD.	BERNARD.
A peine de la nuict, le iour tiroit les voiles, Et de ſes traits dorez faiſoit fuyr les Eſtoiles, Que nos gens reioignant ce genereux ſoldat, Delaſſez, frais, diſpos, & bruſlans du combat, Ont paru dans la plaine & fait voir ſur leur face, Aux ennemis tremblants leur martiale audace;	À peine de la nuit, le jour tirait les voiles, Et de ses traits dorés faisait fuir les Étoiles, Que nos gens rejoignant ce généreux soldat, Délassez, frais, dispos, et brûlants du combat, Ont paru dans la plaine et fait voir sur leur face, Aux ennemis tremblants leur martiale audace;
Les deux Camps approchez, enfin ce jeune Mars, S’eſtant ſaiſy d’ardeur, d’vn de nos eſtendards,	Les deux Camps approchés, enfin ce jeune Mars, S'étant saisi d'ardeur, d'un de nos étendards,
Pour exciter encor nos vigueurs r’affermies, Le lançant dans les rangs des trouppes ennemies, Retirons, a t’il dit, Cœurs nobles & vaillants, Les drappeaux d’Arragon des mains des Caſtillants;	Pour exciter encor nos vigueurs raffermies, Le lançant dans les rangs des troupes ennemies, Retirons, a t'il dit, Cœurs nobles et vaillants, Les drapeaux d'Aragon des mains des Castillants;
Donnons mes compagnons.	Donnons mes compagnons.
A cemot il s’auance, Le Cimetere en main comme vn foudre s’eſlance, Et ſans rien redouter paſſant de rang en rang, Atout le Camp qui ſuit, fraye vn chemin de ſang:	À cédot il s'avance, Le Cimetère en main comme un foudre s'élance, Et sans rien redouter passant de rang en rang, Atout le Camp qui suit, fraie un chemin de sang:
Tout l’obſtacle où nos bras lançent noſtre t'onnerre, Contre noſtre valeur, ne ſemble que du verre;	Tout l'obstacle où nos bras lançent notre t'onnerre, Contre notre valeur, ne semble que du verre;
A ce choc, l’ennemy deſia demy deſtruit, Par l’incommodité du trauail de la nuict, Deffend ſi foiblement & ſa vie & ſa gloire, Qu'il ſemble hors d’eſpoir, negliger la victoire;	À ce choc, l'ennemi déjà demi détruit, Par l'incommodité du travail de la nuit, Défend si faiblement et sa vie et sa gloire, Qu'il semble hors d'espoir, négliger la victoire;
Et nous vouloir oſter preuoyant ſon malheur, La gloire que l’obſtacle apporte à la valeur.	Et nous vouloir ôter prévoyant son malheur, La gloire que l'obstacle apporte à la valeur.
Ce noble cœur enfin pour preſſer ſa conqueſte, Du premier qu’il rencontre ayant tranché la teſte;	Ce noble cœur enfin pour presser sa conquête, Du premier qu'il rencontre ayant tranché la tête;
Et l’expoſant en veuë à touts les deux partis, Le Ciel (dit-il) eſt iuſte, & nous a garantis;	Et l'exposant en vue à touts les deux partis, Le Ciel (dit-il) est juste, et nous a garantis;
Ce bras, de Dom Carlos, vient d’expier l’audace.	Ce bras, de Dom Carlos, vient d'expier l'audace.
Le ſang des ennemis à ce diſcours ſe glace, Et les plus fiers du ſort deteſtants la rigueur, A peine pour la fuitte ont aſſez de vigueur;	Le sang des ennemis à ce discours se glace, Et les plus fiers du sort détestants la rigueur, À peine pour la fuite ont assez de vigueur;
Tout nous fait iour, tout ploye, & par ce ſtratã reſme, Noſtre victoire arriue à ſa gloire ſupréme;	Tout nous fait jour, tout ploie, et par ce stratang rême, Notre victoire arrive à sa gloire suprême;
Ie n’oſe vous nommer ce demon des combats, Mais ie le nommeaſſez en ne le nommant pas:	Je n'ose vous nommer ce démon des combats, Mais grands le nommeassez en ne le nommant pas:
mimen puo meua puluſuepur la violence, Qui me ferme la bouche, & m’oblige au ſilence;	mimen pu meua pulusuepur la violence, Qui me ferme la bouche, et m'oblige au silence;
de lte le Mifante.	de lte le Mifante.
C’eſt aſſez le nommer, que de taire ſon nom.	C'est assez le nommer, que de taire son nom.
LINFANTE.	LINFANTE.
Certes ſa modeſtie eſt ſans comparaiſon.	Certes sa modestie est sans comparaison.
LEONONDAS.	LENONDAS.
O vainqueur fortuné que le ciel me deſtine!	Ô vainqueur fortuné que le ciel me destine!
Que ne peut point ton bras, ſi ton œil aſſaßine!	Que ne peut point ton bras, si ton œil assamène!
LE ROY.	LE ROY.
Ce que vous auez dit, & que vous auez teu, M'apprend de ce ſoldat, le nom & la vertu;	Ce que vous avez dit, et que vous avez tu, M'apprend de ce soldat, le nom et la vertu;
Et mon foible pouuoir ſçait trop à quoy l’inuite, L’ineſtimable excés d’vn ſi rare merite.	Et mon faible pouvoir sais trop à quoi l'inuite, L'estimable excès d'un si rare mérite.
LINFANTE bas.	LINFANTE bas.
Mon cœur eſt le ſeul pruusgme ue ſu ouceur.	Mon cœur est le seul pruusgme ue su ouceur.
D.	D.
LOPE à LAZARILLE.	LOPE à LAZARILLE.
Ma patience enſin laſſera mon malbeur.	Ma patience ensin lassera mon malbeur.
LAZARILLE.	LAZARILLE.
Meſnagez donc le temps & vous faites cognoiſtre.	Mesnagez donc le temps et vous faites connaître.
D.	D.
LOPE.	LOPE.
Attendons que le Roy m’ordonne de paroiſtre.	Attendons que le Roi m'ordonne de paraître.
D.	D.
BERNARD.	BERNARD.
Dom Nugue, & Dom Bernard en ce dernier com, enr 3 De leur zele ordinaire ont ſeruy voſtre Eſtat;	Dom Nugue, et Dom Bernard en ce dernier com, enr 3 De leur zèle ordinaire ont servi votre État;
Et peu dans cette hiſtoire ont mieux gagné leur place.	Et peu dans cette histoire ont mieux gagné leur place.
LE NOY.	LE NOY.
Deux Comtez leur ſeront des arres de ma grace;	Deux Comtez leur seront des arrêtés de ma grâce;
Mais ie cherche, Admiral, & ne voy point de quo M’acquitter enuers vous de ce que ie vous doy.	Mais grande cherche, Admiral, et ne vois point de qu 'acquitter envers vous de ce que je vous dois.
D.	D.
BERNARD.	BERNARD.
Sans plus reuer, Seigneur, ce penſer vous acquitte, Que de l’heur d’eſtre à vous dépend tout mõ merite:	Sans plus rêver, Seigneur, ce penser vous acquitte, Que de l'heur d'être à vous dépend tout mon mérite:
Que c’eſt de vos bontez que ie tiens tout mon bien, Que ie ſuis auiourd’huy, qu’hyer ie n'eſtois rien;	Que c'est de vos bontés que Un tiens tout mon bien, Que Que suis aujourd'hui, qu'hier notre n'étais rien;
Que mon deſtin ſans vous n’a que l’eclat du verre, Et qu’ayant comme Dieu fait vn homme de terre, Comme Dieu quelque iour, vous le pourrés chaſſer, Et de voſtre preſence & de voſtre penſer.	Que mon destin sans vous n'a que l'éclat du verre, Et qu'ayant comme Dieu fait un homme de terre, Comme Dieu quelque jour, vous le pourrez chasser, Et de votre présence et de votre penser.
LE ROY.	LE ROY.
Puiſſay-ie à ſon courroux eſtre à iamais en butte, Et mon trône tomber le iour de voſtre cheutte.	Puissé-je à son courroux être à jamais en butte, Et mon trône tomber le jour de votre chute.
Ie cognois ma foibleſſe, & ſçay que ie ne puis, Faire rien d’immortel, mortel comme ie ſuis;	Je connais ma faiblesse, et sais que personne ne puis, Faire rien d'immortel, mortel comme tu suis;
Mais ie mettray mon heur, & ma gloire ſupréme, A me faire vn vaſſal plus puiſſant que moy-méme, mmdoupummautn puipiuuiront nos vœux, Douter à l’Arragon qui regnera des deux;	Mais mille mettrai mon heur, et ma gloire suprême, A me faire un vassal plus puissant que moi-même, médoupummaut puipiviront nos vœux, Douter à l'Aragon qui régnera des deux;
Puiſque ma paßion apres tant d’auantures, Comme voſtre vertu doit eſtre ſans meſures.	Puisque ma passion après tant d'aventures, Comme votre vertu doit été sans mesures.
L’INFANTE bas.	L'INFANTE bas.
Sans moy ie le croy pauure auecques tant de bien, Et ne me donner pas, c’eſt ne luy donner rien.	Sans mo ie le crois pauvre avec tant de bien, Et ne me donner pas, c'est ne lui donner rien.
LEONORabas.	LEONORabas.
Ses bienfaits ſont trop peu pour ſon merite extréme, S’il ne luy fait encor vn preſent de moy-meſme.	Ses bienfaits sont trop peu pour son mérite extrême, S'il ne le fait encor un présent de moi-même.
Touts s’en vont, le Roy conduit Leonor, & D.	Touts s'en vont, le Roi conduit Leonor, et D.
Bernard l'Infante.	Bernard l'Infante.
ENTE DOM LOPE, LAZARILLE.	ENTE DOM LOPE, LAZARILLE.
D.	D.
LOPE.	LOPE.
Voy!	Voi!
de tant de fumée il flatte mon eſpoir, Et plain de mon eſtime, il s’en va ſans me voir?	de tant de fumée il flatte mon espoir, Et plain de mon estime, il s'en va sans me voir?
Quoy!	Quoi!
d’vne telle amour i’oze nourrir l’attente, Et ne me puis vanter d’vn regard de l’Infante;	d'une telle amour j'oze nourrir l'attente, Et ne me puis vanter d'un regard de l'Infante;
Moy qui des mains du frere & des yeux de la ſœur, M’eſtois (à ce retour) promis tant de douceur!	Moi qui des mains du frère et des yeux de la sœur, M'étais (à ce retour) promis tant de douceur!
Eſt-ce que l’vn differe, & l’autre dißimule!	Est-ce que l'un diffère, et l'autre dissimule!
Mais, ô friuole eſpoir vanité ridicule!	Mais, ô frivole espoir vanité ridicule!
L’vn auec tant d’eſtime, & l’autre tant d’amour, N’auroient pas d’vn regard, honoré mon retour;	L'un avec tant d'estime, et l'autre tant d'amour, N'auraient pas d'un regard, honoré mon retour;
Mais voicy.	Mais voici.
SCLILVL DOROTHEE, D.	SCLILUL DOROTHÉE, D.
LOPE.	LOPE.
DOROTHEE.	DOROTHÉE.
Voy Dom Lope, vne ardeurſi ſenſible, Rencontre-t’elle en vous vne ame inacceßible?	Vois Dom Lope, une ardeurs sensible, Rencontre-t-elle en vous une âme inaccemible?
Ie croyois qu’en amour, traicter ſi froidement, Ne fuſt vne vertu que pour nous ſeulement;	Je croyais qu'en amour, traicter si froidement, Ne fût une vertu que pour nous seulement;
