PAALTAANDRE ITARDI,PaTſnen.	PALTANDRE ITARDI,PaTsnen.
Tandis repreſentant cette image à la Lune, A toy Reyne d’Erebe en pouuoir trois fois vne, Brûlant ces noirs pauots conſacrez au Someil, Par le ſang de mon bras, que ie puiſe vermeil, Par ces noms redoutez, ſous qui tremble l’Auerne, Par l’oculte vertu récluſe dans mon cerne, Ie te coniure eſprit de mon fils trépaßé, Qu'en ton corps retournant l'Acheron repaßé, Tu reuéles quel eſt le deſtin de ton frere, Difanj aithiendiaaeapieje gaenare, Répon, que tarde-tu?	Tandis représentant cette image à la Lune, A d' Es byErebe en pouvoir trois fois une, Brûlant ces noirs pauds consacrez au Someil, Par le sang de mon bras, que je puise vermeil, Par ces noms redoutez, sous qui tremble l'Auerne, Par l'oculte vertu récluse dans mon cerne, Je te conjure esprit de mon fils trépassé, Qu'en ton corps retournant l'Acheron repassé, Tu reuéles quel si le destin de ton frère, Difanj aithiendiaaeapieje gaenare, Répon, que tarde-tu?
que ſert de diférer?	que sert de diférer?
Eſt-ce ainſy que ma voix tu dûſſes réuérer!	Est-ce ainsi que ma voix tu duses révérer!
CARICLEE.	CARICLE.
Mon Pere dormez-vous, ha!	Mon Père dormez-vous, ha!
de frayeur ie pâme, Les coniurations oyant de cette fame, Son front en vn moment a changé de couleur, Pluſieurs fois ie l’ay vuë inſenſible à douleur S incijertont le oras a vne projonde playe, Et rendre à ce corps mort la parole elle eſſaye, Vous plaît-il d'vn chemin que ie l’aille enquerir Du ſort de Theagene?	de frayeur ie pâme, Les conjurations oyant de cette famé, Son front en un moment a changé de couleur, Plusieurs fois était l'ai vue insensible à douleur S cijertont le oras a une projonde plaie, Et rendre à ce corps mort la parole elle essaie, Vous plaît-il d'un chemin que je l'aille enquérir Du sort de Théagène?
CALASIRE.	CALASIRE.
Ha!	Ha!
plutôt qu’encourin Par telle impieté, la celeſte diſgrace, Vn foudre conſomum meuinone en tu paute;	plutôt qu'encourin Par telle impiété, la celeste disgrâce, Un foudre consom meunone en tu paute;
» A quiconque a voulû conſulter les eſpris 5, Et de charmes vſer, iamais il n’eſt bien pris;	" A quiconque a voulu consulter les esprits 5, Et de charmes user, jamais il n'est bien pris;
„ Le tout puiſſant deſtin, ne veut qu’on s’émancipe », De ſçauoir ſes ſecrets par vn art qui nous pipe, Secrets qui ne ſçauroient auancer découuers, Que la confuſion de nous, homes peruers.	„ Le tout puissant destin, ne veut qu'on s'émancipe ", De savoir ses secrets par un art qui nous pipe, Secrets qui ne sauraient avancer découuers, Que la confusion de nous, homes pervers.
CARICLE’E.	CARICLÉLÉ.
Dieux!	Dieux!
quels horribles noms elle murmure encore, Coment vne fureur étrange la deuore, Sa peruque dreßée, & ſon œil furieux Me tranſiſſent le cœur, ô cas prodigieux!	quels horribles noms elle murmure encore, Coment une fureur étrange la dévore, Sa pervque dressée, et son œil furieux Me transissent le cœur, ô cas prodigieux!
Ce corps leue ſur pieZ de parler s’apareille, Quaſy come forcé de l’impieuſe vieille.	Ce corps lève sur piqués de parler s'appareille, Quasy compe forcé de l'impieuse vieille.
L'OMBRE DV FILS DE CANIDE.	L'OMBRE DU FILS DE CANIDÉ.
Qu'eſperes-tu de moy méchante, qui de ſors Le ſomeil inocent oſe rompre des mors!	Qu'espères-tu de moi méchante, qui de sors Le someil inocent ose rompre des mors!
Mere ie te renie, ofençant la nature.	Mère ie te renie, ofensant la nature.
Or enten de ton fils, & de toy l’auanture, Pour auoir indiſcrete en preſence de deux Euanté de ton art les myſteres hydeux, L'vn plein de pieté des grans Dieux interprete, Qui reprouue ton crime, horrible le rejette, L’autre vne ieune amante, à qui le Ciel vn iour Promet le fruit entier de ſon loyal Amour;	Or enten de ton fils, et de toi l'aventure, Pour avoir indiscrète en présence de deux Euanté de ton art les mystères hideux, L'un plein de piété des grans Dieux interprètes, Qui reprouve ton crime, horrible le rejet, L'autre une jeune amante, à qui le Ciel un jour Promet le fruit entier de son loyal Amour;
La fin de ſes erreurs hûreuſe, & deſirée, Pour ta méchanceté de leurs yeux éclairée, Tu mourras violente, ainſy que mon Germain, Les demons infernaux tu réclames en vain, Ils ne peuuent caſſer ta ſentence mortelle, De moy ieredeualé en ta muit ciernene.	La fin de ses erreurs hûreuse, et désirée, Pour ta méchanceté de leurs yeux éclairée, Tu mourras violente, ains , que mon Germ, Les démons infernaux tu réclames en vain, Ils ne peuvent casser ta sentence mortelle, De moi ieredeualé en ta muit ciernène.
CANIDE.	CANIDÉ.
O cruelle réponce!	Ô cruelle réponse!
ô rage!	ô rage!
o déſeſpoir!	ô désespoir!
O Dieux!	Ô Dieux!
ie vous renonce, & tout votre pouuoir Tous, tous, ie vous dépite, & ne crain vos coléres, Vos foudres, vos tourmens, & vos menaces fieres Ne me chaut de mourir, parauant toutefois Ces traîtres eſpions heureux par votre voix, Ie vay ſacrifier, ie m’en vay leur aprendre, A n'entrer aux ſecrets qu'ils ne peuuent com prandre, Où ſont-ils?	Que vous renonce, et tout votre pouvoir Tous, tous, je vous dépite, et ne crain vos colères, Vos foudres, vos tourments, et vos menaces fières Ne me chaut de mourir, paravant toutefois Ces traîtres espions heureux par votre voix, Je vais sacrifier, une m'en vais leur apprendre, A n'entrer aux secrets qu'ils ne peuvent com pandre, Où sont-ils?
où ſont ils?	où sont ils?
courons, cherchons pa tout, De deſſeins plus aransnous venons pren à bout, Leur vie ie n’eſtime;	courons, cherchons pa tout, De desseins plus aransnous venons pren à bout, Leur vie ie n'estime;
à l’aide!	à l'aide!
ie ſuis morte, Vien, vien, prendre mon âme, infernale cohorte!	Elle suis morte, Viens, viens, prendre mon âme, infernale cohorte!
CARICLE’E.	CARICLÉLÉ.
Mon cher pere, fuyons, la Sorciere courant D’vne pique, ô frayeur!	Mon cher père, fuyons, la Sorcière courant D'une pique, ô frayeur!
s’eſt alée enferrant, Voilà que ſes demons au ſecours elle inuoque, Mais ie croy que leur troupe impiteuſe s’en moque	s'est alée enferrant, Voilà que ses démons au secours elle invoque, Mais quelque crois que leur troupe impiteuse s'en moque
CALASIRE.	CALASIRE.
Ma fille cheminons par l’obſcur de la nuit, Plutõt qu'épouuantez arréter à ce bruit, Que d’atandre le iour en ces lieux ſacriléges, Des ſpectres, de luitons ordinaires colleges, Le Ciel nous guidera, d’ailleurs ie reconoy La route de Mtmpnis sunx aftres que ie voy.	Ma fille cheminons par l'obscur de la nuit, Plutôt qu'épouvantez arrêter à ce bruit, Que d'atandre le jour en ces lieux sacrilèges, Des spectres, de luitons ordinaires collèges, Le Ciel nous guidera, d'ailleurs ie reconoy La route de Mtmpuns sunx aftres que je vois.
ACTE V.	ACTE V.
ARSACE, THIAMIS, THEAGENE, PTOSIRE, CHOEVR DE MEMPHIENS, CAHROILE, CCARICLEE.	ARSACE, THIAMIS, THÉGENE, PTOSIRE, CHOEUR DE MEMPHIENS, CAROILE, CCARICLE.
SCENE I.	SCÈNE I.
ARSACE ſeule.	ARSACE seule.
Niurieux Amour, qui te meut implacable IDe réueiller tes feux en mon àme coupable, Tes adulteres feux ſi long-tems aſſoupis, Las!	Nivrieux Amour, qui te meut implacable IDe réveiller tes feux en mon âme coupable, Tes adultères feux si longtemps assoupis, Las!
helas!	hélas!
mà douleur s’accroît de mal en pis;	mà douleur s'accroît de mal en pis;
Ie n’ay plus de repos, ie pers la patience, Vn boureau de remors géne ma conſcience;	Je n'ai plus de repos, une pers la patience, Un boureau de remors gène ma conscience;
La preſſe d'vn côté, & ton dart furieux De l’autre me pourſuit, me répreſente aux yeux La douce Majeſté, les attraits, & la grace, En quoy mon Thiamis tous les autres ſurpaſſe:	La presse d'un côté, et ton dart furieux De l'autre me poursuit, me répresente aux yeux La douce Majesté, les attraits, et la grâce, En quoi mon Thiamis tous les autres surpasse:
Halmot préſomptüeux:	Halmot présomptüeux:
mien!	mien!
folle!	folle!
qu'ay-ie dit, Onc ie n’us, & n'auray vers luy tant de crédit;	qu'ai-je dit, On ie n'us, et n'aurai vers tu tant de crédit;
Le cruel a tou jours repoußé mes prieres, Toujours mes priuautez dédaigné familieres, Il eſt trop ſcrupuleux, trop froid pour vn Amant, Trop pour ateindre au but de mon contentement, Le ſoupçon d vn ialoux, ſa dure tyranie,	Le cruel a tou jours repoussé mes prières, Toujours mes privautés dédaigné familières, Il est trop scrupuleux, trop froid pour un Amant, Trop pour ateindre au but de mon contentement, Le soupçon d ' ialoux, sa dure tyranie,
Qui m’a de ſes beaux yeux vn long ſiecle banie, Vn glaiue ſur le front éternel luy pendra, Vne frayeur de mort ſans ceſſe luy peindra, Et à moy miſerable, & à moy langoureuſe, Retiltra ſans espoir vne mort amoureuſe:	Qui m'a de ses beaux yeux un long siècle banie, Un glaiue sur le front éternel était pendra, Aise ur de mort sans cesse était peindra, Et à moi misérable, et à moi langoureuse, Rettra sans espoir une mort amoureuse:
Quelque inconſideré reprochera crüel, A mon feruent amour l’acord de ce düel, Dira que ie pouuois arbitre fauorable, Détourner de ſon chef vn hazard déplorable, Outrage qui ſeroit grand à la verité, Si ie ne conoiſſois leur inégalité, De combien Thiamis excede ta vaillance, Pour vaincre ſans danger l’aduerſaire inſolence, Foudroyer ce geant d’vn orage de cous, Ioint qu’außy pour purger de ſoupçon mon épous, Ieter vn fondement à notre amour ſolide, I’ay voulu qu'vn düel vous apointât prouide:	Quelque inconsidéré reprochera cruel, À mon fervent amour l'acord de ce dûel, Dira que ie pouuois arbitre favorable, Détourner de son chef un hasard déplorable, Outrage qui serait grand à la vérité, Si tu ne conaissais leur inégalité, De combien Thiamis excède ta vaillance, Pour vaincre sans danger l'adversaire insolence, Foudroyer ce géant d'un orage de cous, Joint qu'avez qu' purger de soupçon mon épous, De vn fondement à notre amour solide, Jay voulu qu'ol düel j' ai voulue:
Mais le voicy venir, tout tel qu'Alcide, alors, Qu’il aloit aſſaillir le fier monſtre à trois corps, Ou quand il étoufa la bête de Lernée, Hé!	Mais le voici venir, tout tel qu'Alcide, alors, Qu'il alait assaillir le fier montre à trois corps, Ou quand il étouffa la bête de Lernée, Hé!
quel Achate ſuit ce généreux Aenće, D’où luy vient ce ſecond, ains premier en beauté, (Si mon œil n’eſt au moins ſeduit de nouueauté,) Seduit, ha!	quel Achate suit ce généreux Aenće, D'où lui vient ce second, ains premier en beauté, (Si mon œil n'est au moins séduit de nouveauté,) Séduit, ha!
nullement, ſon viſage Céleſte, Son port grauement doux, & ſa façon modeſte, Auecque Thiamis pair à pair disputans, Riuiſſent mes eſpris, & les tiennent flotans, Aiüſy l’œil ébloüy demeure en vne prée, De m'lle rares fleurs à l’enuy diaprée, e 7 *3 *t.	nullement, son visage Céleste, Son port gravement doux, et sa façon modeste, Avec Thiamis pair à pair disputants, Rivisent mes épris, et les tiennent flottants, Aussi l'œil ébloui demeure en une prée, De m'lle rares fleurs à l'envi diaprée, eût 7 *3 *t.
° V Volontiers à chacun il doneroit le pris, S’il n'étoit de chacune également épris, Helas!	° V Volontiers à chacun il donerait le pris, S'il n'était de chacune également épris, Hélas!
de meſme ſorte à ma vuẽ charmée, Court, & recourt l’obiet de leur idole aimée, Tous deux ie les admire, ils me plaiſent tous deux, Sans que la pitié puiſſe émouuoir pas vn d’eux Ignares de ma peine, Amour ie te ſuplie, Qu'es trauaux du paßé ta haine enſeuelie, Ie ne languiſſe plus, hõteſſe du tombeau, Où d’étoufer en moy vn renaiſſant flambeau.	de même sorte à ma vument charmée, Court, et recourt l'objet de leur idole aimée, Tous deux sec les admire, ils me plaisent tous deux, Sans que la pitié puisse émouuoir pas vn d'eux Ignares de ma peine, Amour quelque te supplie, Qu'es travaux du passé ta haine ensevelieu, Je ne languisse plus, hommes du tombeau, Où d'étouffer en moi un renaissant flambeau.
SCENE II.	SCÈNE II.
THIAMIS, THEAGENE, PTOSIRE, CHOEVR DE MEMPHIENS, ARSACE, CALASIRE, CARICLEE.	THIAMIS, THEAGENE, PTOSIRE, CHOEUR DE MEMPHIENS, ARACE, CALASIRE, CARICLE.
THIAMIS.	THIAMIS.
’Immuable amitié qu’à tes vertus ie porte, LAmitié que l’on tient d'vne ſemblable ſorte, auoir iadis étreint de ſon plus fort lien Le preux Ixionide, & le Cécropien, Amitié, qui du ioug d’vne âpre ſeruitude S’eſt écloſe entre nous par la longue habitude, Qui t’a d’vn maiſtre, aquis vn frere deſormais, Et qui pour mon regar ne manquera iamais;	Immuable amitié aurates vertus qui porte, LAmitié que l'on tient d'une semblable sorte, avoir jadis êtreint de son plus fort lien Le preux Ixionide, et le Cécropien, Amitié, qui du joug d'une âpre servitude S'est éclose entre nous par la longue habitude, Qui t'a d'un maître, aquis un frère désormais, Et qui pour mon regar ne manquera jamais;
Ce ſaint nœud plus vtile à l’entretien du monde, Que du Soleil doré la lumiere féconde, M’enioint auparauant que tenter le hazar, Qu'vn larmoyable adieu face notre dêpart, De te mettre en auant vn propos ſalutaire, De pouruoir d’vn conſeil à ton ſort neceſſaire, Si la Parque auiourd’huy me prenoit de butin, Si de mon rauißeur la dextre violente, Du corps de ton amy chaſſoit l'ombre dolente, Ocupe (tel qu’il eſt) me voyant decedé, Sur ce peuple brigand mon pouuoir concedé;	Ce saint nœud plus vile à l'entretien du monde, Que du Soleil doré la lumière féconde, M'enioint auparavant que tenter le hasard, Qu'un larmoyable adieu face notre départ, De te mettre en avant un propos salutaire, De pourvoir d'un conseil à ton sort nécessaire, Si la Parque aujourd'hui me prenait de butin, Si de mon ravisseur la dextre violente, Du corps de ton ami chassait l'ombre dolente, Ocupe (tel il est) me voyant decedé, Sur ce peuple brigand mon pouuoir concedé;
Iuſqu'à vn changement de fortune meilleure, Sois leur chef en ma place, & y fais ta demeure, Tous le conſentiront, de tous tu es aimé, Et l’ofice vaquant, de tous digne eſtimé, Au contraire vainqueur ainſy que ie l’espere, me ije que c'eſt la fin du comun improspere, Penſe que ma victoire à notre aiſe ſufit, Et qu’extrême de gloire, elle l'eſt de proufit.	Jusqu'à un changement de fortune meilleure, Sois leur chef en ma place, et y fais ta demeure, Tous le consentiront, de tous tu es aimé, Et l'ofice vaquant, de tous digne estimé, Au contraire vainqueur ains que Un l'espère, me ije que c'est la fin du compr improspère, Pense que ma victoire à notre aise suffit, Et qu'extrême de gloire, elle l'est de prouffit.
THEAGENE.	THÉGENE.
Honorez-moy d'vn bien, me permetant cõbatre Vn qui ne m’atendroit qu’à ſon fatal deſaſtre, Sa victoire méßied à votre pieté, Carût-il mille fois votre état empieté, Toujours de même ſang, tournez en même ventre, Beaucoup de conſcience, & de ſcrupule y entre:	Honorez-moi d'Hommes bien, me permetant cõbatre Et de même m’ atendroit qu'à son fatal désastre, Sa victoire méssied à votre piété, Cart-il mille fois votre état empiété, Toujours de même sang, tournez en même ventre, Beaucoup de conscience, et de scrupule y entre:
» Se polüer du ſang de ſon propre Germain, „ Toujours traine vn remors, & tient de l’inhumain, Au lie- que iuſtement ja teſte criminelle 4e vons aporteray, terminant ia querene.	" Se poluer du sang de son propre Germain, „ Toujours traine un remors, et tient de l'inhumain, Au lie- que justement ja tête criminelle 4e vons apporterai, terminant ja quérène.
THIAMIS.	THIAMIS.
» Qui de conſentement autoriſe vn forfait, ,, Eſt coupable à l’égal de celuy qui le fait, Au ſurplus, de vouloir ſon oficeprétendre, Et refuſer le choc, n'eſt qu'indigne ſe rendre, Indigne d’vmloyer entre tous glorieux, Qu’auiourd’huy la vertu done au victorieux, Iaçoit que mon deſſein ſon meurtre ne conspire, ( Les Dieux m’en ſoient témoins du haut, & bas Il me ſufira bien de luy laiſſer vaincu, (Empire,) Le reproche d’auoir ſa honte ſuruecu, Le remors éternel puniſſeur de ſon crime, Enuers vn bien-faicteur perpetré magnanimes La cruauté ne tombe en vn cœur généreux, Ainſy les animaux de naturepeureux, Ne s’apriuoiſent point, & leur felone rage, S’anime inſatiable au meurtre, & au carnage, Retire-toy mon frere?	» Ou de consentement autorise un forfait, ,, Est coupable à l'égal de celui qui le fait, Au surplus, de vouloir son oficeprétendre, Et refuser le choc, n'est qu'indigne se rendre, Indigne d' une tous glorieux, Qu'aujourd'hui la vertu done au victorieux, Iaçoit que mon dessein son meurtre ne conspire, ( Les Dieux m'en soient témoins du haut, et bas Il et sufira bien de lui laisser vaincu, (Empire,) Le reproche d'avoir sa honte survécu, Leremors éternel eur de son crime, En Un bien-faicteur perpetré magnanimes La cruauté ne tombe en cœur généreux, Ainsy les ur de naturepeureux, Ne son point, et leur ô rage, anime insatiable au meurtre, et au carnage, Re-toi m frère?
adieu, voy là deuant, Le déloyal qui ſort vn long peuple ſuiuant, Iette pour mon ſalut dans le Ciebta priére, Tandis ie vay l’atandre aupres de la bâriere.	adieu, vois là devant, Le déloyal qui sort un long peuple suivant, Jette pour mon salut dans le Cibta prièvre, Tandis homme vais l'atandre auprès de la bâriere.
THEAGENE.	THÉGENE.
Adieu mon cher Pilade, adieu votre valeur, Ne veut qu’on l’encourage encontre ce voleur, Exceßiue pour luy, pour luy, ſecond Troïle, Qui ſe vient préſenter deuant vn preux Achile.	Adieu mon cher Pilade, adieu votre valeur, Ne veut qu'on l'encourage encontre ce voleur, Excessiue pour lui, pour lui, second Troïle, Qui se vient présenter devant un preux Achille.
PTOSIRE.	PTOSIRE.
Vous ofencez les Dieux, derechef ateſtez Au party violent que vous me preſentez, Me preſcrire vne loy, prophane me contraindre, Que leur ſacré Miniſtre on eſt tenu de craindre, D’honorer, d’obëir, & n’eſtre dispenſé Des ſuffrages reçûs d’vn vulgaire inſenſé, Sous l’ombre d'vne peur fantaſque, qui l’aßiege Vous ne pouuez commettre vn pire ſacrilége.	Vous offensez les Dieux, derechef atestez Au parti violent que vous me présentez, Me prescrire quelque loi, prophane me contraindre, Que leur sacré Ministre on est tenu de craindre, D'honorer, d'obéir, et n'être dispensé Des suffrages reçus d'un vulgaire insensé, Sous l'ombre d'une peur fantasque, qui l'asiége Vous ne pouvez commettre un pire sacrilège.
CHOEVR.	CHOEUR.
La loy n’eſt violente, ains pleine d’équité Regarde Votre honeur, & votre vtilité, Quel beſoin de méler vne pauure comune, Qui cherche le repos parmy votre rancune, Il vaut mieux que le ſort tombe ſur l’vn de vous, Coupable reconu, que nous ſouffrions tous, Maintefois on a vù s’extirper la racine De femblaotes iſcors, par telle medecine, Il n’eſt point de moyen, ne plus promt, ne plus ſeur, Inocent vous auez le Ciel pour defenſeur.	La loi n'est violente, ains pleine d'équité Regarde Votre honeur, et votre vtilité, Quel besoin de mêler une pauvre compune, Qui cherche le repos parmi votre rancune, Il vaut mieux que le sort tombe sur l'Honneur de vous, Coupable réponu, que nous souffrions tous, Maintefois on a voit s'extirper la racine De semblâtes iscors, par telle médecine, Il n'est point de moyen, ne plus promît, ne plus sûr, Inocent vous avez le Ciel pour défenseur.
PTOSIRE.	PTOSIRE.
» L’inocence ſouuent par la force eſt éteinte:	" L'inocence souvent par la force est éteinte:
