A 3591.	À 3591.
C’eſt cette illuſion qui l’engage à la chaſſe.	C'est cette illusion qui l'engage à la chasse.
ORISMOND.	ORISMOND.
Qui ſeroit dans ce bois voir ſon ombre en ſa place?	Qui serait dans ce bois voir son ombre en sa place?
LISANDRE.	LISANDRE.
Qu in peidie douiban, vomimoe de la part, Perdroit bien-toſt Golo ſans nous mettre au hazard.	Qu' os pédie douiban, vomimoe de la part, Perdrait bientôt Golo sans nous mettre au hasard.
ORISMOND.	ORISMOND.
Sil ne tient qu’à cela, pourueu que l’on m’aſſure Que Sifroy receura cette ombre ſans injure, Releyptooureray le sonneur dens rons	Sil ne tient qu'à cela, pourvu que l'on m'assure Que Sirefroi recevra cette ombre sans injure, Releyptooureray le sonneur dens rons
LISANDRE.	LISANDRE.
omniond adez.	omniond adez.
vous lur elle ce pouuoits De la part de Sifroy ie vous donne aſſeurance De reſpect & de foy, d’amour & de croyance,	vous lur elle ce pouvaits De la part de Sifroy ie Vous donne assurance De respect et de foi, d'amour et de croyance,
CLEON.	CLEON.
Et vous ne craignez rien de ſon vieil enchantenr?	Et vous ne craignez rien de son vieil enchantenr?
LISANDRE.	LISANDRE.
Si cette ombre vne fois luy parle cœur à cœur,	Si cette ombre toujours fois lui parle cœur à cœur,
Ili ſortese tou dausmmic ir cuonancemene que ton arpeoe ucsompe,	Ili sortes tou dausmic ir cuonancemene que ton arpeoe ucsompe,
CLEON.	CLEON.
Si ce phantôme auſſi dans le beſoin nous trompe.	Si ce phantôme aussi dans le besoin nous trompe.
Et s’il ne paroiſt point lors qu’il l’inuoquera, Voyez en quel ſoupçon le Prince rentrera.	Et s'il ne paraît point lors qu'il l'invoquera, Voyez en quel soupçon le Prince rentrera.
ORISMOND.	ORISMOND.
I'aſſure du ſuccés, & i'en puis bien répondre, Ie n’éntreprendray rien qui vous puiſſe confondre, Pourueu que vous faſſiez ce que i’ordonneray, Et conduiſiez le Comte où ie vous marqueray.	J'assure du succès, et j'en puis bien répondre, Je n'entreprendrai rien qui vous puisse confondre, Pourvu que vous fassiez ce que j'ordonnerai, Et conduisiez le Comte où ie vous marquerai.
LISANDRE.	LISANDRE.
on querned quecoloidiom omo dey conduire, Pourueu qu’à ces deſirs cét eſpoir puiſſe luire.	on querned quecoloidiom omo dey conduire, Pourvu qu'à ces désirs cet espoir puisse luire.
ORISMOND.	ORISMOND.
Vous vous ſouuelez bien tous deux encore de lieu, Où ie mis en vos mains ſa lettre & ſon adieu, Vous y remarquerez vn rocher eſcarpé Dont vn ruiſſeau d’argent en deuxbras eſt couCe ſera ſur ſa cime, & dans ſes grottes ſombres Que ie vous feray voir la plus belle des ombres, Ie m'en vais le premier m'y rendre de ce pas, Vous m’attendrez au pied ſi ie n’y parois pas, Adieu, voicy Golo.	Vous vous souverez bien tous deux encore de lieu, Où votre mis en vos mains sa lettre et son adieu, Vous y remarquerez un rocher escarpé Dont un ruisseau d'argent en deuxbras est couCée sera sur sa cime, et dans ses grottes sombres Que ie vous ferai voir la plus belle des ombres, Je m'en vais le premier m'y rendre de ce pas, Vous m'attendrez au pied si je n'y parais pas, Adieu, voici Golo.
CLEON.	CLEON.
Prenez voſtre aduantage, Cachez luy ce peril où ce complot l’engage.	Prenez votre avantage, Cachez jours ce péril où ce complot l'engage.
Tragedie Chreſtienne.	Tragédie Chrétienne.
SCENE VI.	SCÈNE VI.
LYSANDRE.	LYSANDRE.
GOLO.	GOLO.
LISANDRE luy allant à la rencontre.	LISANDRE était allant à la rencontre.
E Comte n’attendoit qu’apres vous pout partir.	E Comte n'attendait qu'après vous pout partir.
GOLO d’vn œil fier pendant toute la Scene.	GOLO d'une œil fier pendant toute la Scène.
ou pouuiez aiſement ſans moy le diuertir.	ou pouviez aisément sans moi le divertir.
LISANDRE.	LISANDRE.
inegleuolelopge denarme lacolers,	inégleuolelopge denarme lacolers,
GOLO.	GOLO.
Ien detourneray bien le ſujet qu’on eſpere.	Jen détournerai bien le sujet qu'on espère.
LISANDRE.	LISANDRE.
Ce ſonge ne ſçauroit vous faire bien grand tort.	Ce songe ne saurait vous faire bien grand tort.
GOLO.	GOLO.
Ny counquitor parier enc omoicaplesſamort.	Ni counquitor parier enc omoicaplessamort.
LISANDRE.	LISANDRE.
c'eſt eſtre en ſeureté de ne craindre qu'vne omOre.	c'est être en sûreté de ne craindre qu'une omOre.
GOLO.	GOLO.
Qnelques-vns pourroient bien en augmenter le nombre.	Quelques-mêmes pourraient bien en augmenter le nombre.
LISANDRE.	LISANDRE.
Sa lettre, à mon aduis, n’eſt qu’vne illuſion.	Sa lettre, à mon avis, n'est qu'une illusion.
GOLO.	GOLO.
leſçauray le ſecret de cette viſion.	lesçaurai le secret de cette vision.
LISANDRE.	LISANDRE.
Tout ce qu’elle a produit n’eſt qu’vn peu de fumée.	Tout ce qu'elle a produit n'est qu'un peu de fumée.
GOLO.	GOLO.
Dont quelques-vns voudroient noircir ma renommée.	Dont quelques-mêmes voudraient noircir ma renommée.
Source gallica.	Source galica.
bnfffr (81	bnffr (81
L'Innocence Reconnué,	L'Innocence Reconnué,
LISANDRE.	LISANDRE.
Quricroit n’meichant quede vous decrier?	Quricrait n'âmechant quede vous décrier?
GOLO.	GOLO.
Ceux meſme dont i'ay deu le moins me défier,	Ceux même dont j'ai dev le moins me défier,
LISANDRE.	LISANDRE.
ourioutoins ie n’ay point de part en cette offenſe.	ourioutoins Dieux n'ai point de part en cette offense.
GOLO.	GOLO.
itonle cour lor ce point vou, dit ce que i'en penſe.	itonle cour lor ce point vou, dit ce que i'en pense.
LISANDRE.	LISANDRE.
Vous ne m’en ſçauriez pas reprocher vn effet.	Vous ne m'en sauriez pas reprocher un effet.
GOLO.	GOLO.
Ce ſont pieces de Cour dont ie me ſuis défait.	Ce sont pièces de Cour dont on me suis défait.
DIOANLRL.	DIONLRL.
Vous n’auez pas encor grãd ſujet de vous plaindie.	Vous n'avez pas encor grand sujet de vous plaindie.
GOLO.	GOLO.
Ie l'aurois ſi i'auois des riuaux plus à craindre,	Je l'aurais si j'avais des rivaux plus à craindre,
LISANDRE.	LISANDRE.
Vous eſtes aſſeuré toûjours de ſon amour.	Vous êtes assuré toujours de son amour.
CODO.	CODO.
Et de plus ie ſçay bien, que chacun a ſon tour.	Et de plus grands sais bien, que chacun a son tour.
LISANDRE.	LISANDRE.
, Vous demeurez toûjours au deſſus de la rouë,	, Vous erez toujours au -dessus de la roue,
GOLO.	GOLO.
Et de là ie vois mieux les pieces qu’on me ioné,	Et de là grande vois mieux les pièces qu'on me ioné,
LISANDRE.	LISANDRE.
Et vous les regardez de là ſans vous troubler.	Et vous les regardez de là sans vous troubler.
GVLO.	GULO.
Et ie meſure ceux que ie veux accabler.	Et grande mesure ceux que ici veux accabler.
LISANDRE.	LISANDRE.
Dans vn ſi haut pouuoirrien ne peut plus vou nuire.	Dans un si haut pouvoirrien ne peut plus vou nuire.
GOLO.	GOLO.
De tous mes ennemis vous n’eſtes pas le pire.	De tous mes ennemis vous n'êtes pas le pire.
LISANDRE.	LISANDRE.
Ie vous puis aſſeurer que i’ay le cœur trop bon, Pour vn crime ſi bas comme la trahiſon;	Je vous puis assurer que j'ai le coeur trop bon, Pour crime si bas comme la trahison;
Et toutes les faueurs que vous fera le Comte Ne font point mon tourment, ne faiſant point ma honte;	Et toutes les faveurs que vous fera le Comte Ne font point mon tourment, ne faisant point ma honte;
imepuued anioa sumon femuuadetous, le ne ſerois iamais de voſtre part ialour.	imepuéd anioa sumon femuuadetous, le ne serais jamais de votre part jalour.
GOL̈O.	GOLLO.
Comme mes ennemis n’ont rien dont ie m'étonne, Auſſi n’ont-ils rien fait que ie ne leur pardonne.	Comme mes ennemis n'ont rien dont ie m'étonne, Aussi n'ont-ils rien fait que ici ne leur pardonne.
LISANDRE.	LISANDRE.
l'aurois auec Cleon rompu cette partie, UI ION aillos posdole eu elsledenses	l'aurais auec Cleon rompu cette partie, VI JON aillos posdole eu elslèdentses
GOLO.	GOLO.
Peut-eſtre que moy ſeul i’y pourray plus encor.	Peut-être que moi seul j'y pourrai plus encor.
LI SANDRE.	LI SANDRE.
Il faut donc vous haſtér, i’entends déja ſon cor.	Il faut donc vous hâter, j'entends déjà son cor.
En recits de Muſique.	En récits de Musique.
ARGVMENT.	ARGUMENT.
I.	I.
Geneuiéue ayant paſſé doucement la nuit dans ſa Grotte, eſt felicitée à ſon reſueil d’vn Concert de Muſique que luy font les Anges qui la iettent dans vne profonde extaſe.	Geneuiéue ayant passé doucement la nuit dans sa Grotte, est félicitée à son réveil d' Concert de Musique que lui font les Anges qui la jetent dans une profonde extase.
Il.	Il.
Pendant laquelle vn des Amours qui la cherchoit eſtant ſuruenu, & l'ayant reueuë en cét eſtat, croit qu’elle va mourir, & court pour luy preſter ſecours.	Pendant laquelle un des Amours qui la cherchait étant survenu, et l'ayant revue en cet état, croit qu'elle va mourir, et court pour lui prêter secours.
III.	III.
G ii Mais les Anges luy deffendant d’en approchet.	G Gi Mais les Anges avait défendant d'en approchet.
ils luy commandent de luy amener Sifroy qui chaſſe déja dans la Foreſt.	ils avait commandent de gloire amener Sifroy qui chasse déjà dans la Forêt.
IV.	IV.
Pendant qu’il y court, les Anges eſueillent Geneuiéue de ſon ne miacarcataqeopourlacuponror ceccuois,	Pendant qu'il y court, les Anges éveillent Geneuiéue de son ne miacarcataqeopourlacuponror ceccuais,
Le chœur des Anges dans vne nuée couto celcente.	Le chœur des Anges dans une nuée couto celente.
Recits en Muſique.	Recits en Musique.
Geneuiéue, gouſtez dans cette douce extaſe Les effets du beau feu dont voſtre cœur s’embraſe;	Geneuiéue, goûtez dans cette douce extase Les effets du beau feu dont votre cœur s'embrase;
Que ce ſommeil myſterieux Que le Ciel vous enuoye.	Que ce sommeil mystérieux Que le Ciel vous envoie.
Ayant taty les pleurs qui couloient de vos yeux Abiſme voſtre eſprit dans des ſources de ioye.	Ayant taty les pleurs qui coulaient de vos yeux Abisme votre esprit dans des sources de joie.
Diuin tauiſſement, agreable langueur, Ne luy dérobez pas, mais changez.	Divin tavissement, agréable langueur, Ne lui dérobez pas, mais changez.
luy le cœur.	lui Le cœur.
Geneuiéue?	Geneuiéue?
Sifroy n’a rien de comparable Aux charmes innocens d’vn objet adorable.	Sifroy n'a rien de comparable Aux charmes innocents d'un objet adorable.
Ne pleurez donc plus cét Epoux, Puis qu’il vous abandoune;	Ne pleurez donc plus cet Époux, Puis qu'il vous abandoune;
Mais embraſſez celuy dont les traits ſont ſi doux.	Mais embrassez celui dont les traits sont si doux.
Que de vos plus grands maux il fait voſtre coutonne.	Que de vos plus grands maux il fait votre coutonne.
Diuin rauiſſement, agreable langueur, Ne luy dérobez pas, mais changez luy le cœur.	Divin ravissement, agréable langueur, Ne lui dérobez pas, mais changez lui le cœur.
L'Amour.	L'Amour.
Quelle voix me deffend d’approcher?	Quelle voix me défend d'approcher?
Le Chœur.	Le Chœur.
Atſeſte?	Atsête?
L'Amour.	L'Amour.
Faut-il qu’elle meure Sans que ie l’en puiſſe empeſcher.	Faut-il qu'elle meure Sans que . l'en puisse empêcher.
Vne voix du Chœur.	Une voix du Chœur.
Amour, cette mort eſt trop belle, Pour ne l'en laiſſer pas moutir.	Amour, cette mort est trop belle, Pour ne l'en laisser pas moutir.
L Amour.	L Amour.
Au moins permettez-moy de mourir auec elle Siie ne la puis ſecourir.	Au moins permettez-moi de mourir avec elle Siie ne la puis secourir.
Le Chœur.	Le Chœur.
Amour cette mort eſt trop belle,	Amour cette mort est trop belle,
„.	„.
I 3 Source gallicabnffr(t le France	I 3 Source gallicabnffrit le France
*o 8.	*o 8.
L’Innocence Reconnuë, Pour ne l’en laiſſer pas mourir.	L'Innocence Reconnue, Pour ne l'en laisser pas mourir.
L’Amour.	L'Amour.
Encore vn coup ſouffrez que ie meure auec elle, Si ie ne la puis autrement ſecourir.	Encore un coup souffrez que personne meure use elle, Si ici ne la puis autrement secourir.
Vne voix du Chœur.	Une voix du Chœur.
Profane, arreſte toy, cét eſtat fait ſa vie, C’eſt de J’amour diuin que luy vient ce tranſ.	Profane, arrête toi, cet état fait sa vie, C'est de J'amour divin que lui vient ce trans.
port.	port.
Le Chœur.	Le Chœur.
Ses traits auec nos voix ont fait l’aimable effoit Dont cette Denc ame fauie Reçoit vne ſi douce mort.	Ses traits appr nos voix ont fait l'aimable effait Dont cette Denc âme favie Reçoit une si douce mort.
Vne voix du Chœur.	Une voix du Chœur.
dire à Siſtoy qu’il ſe laſſe A courte les cers de ce Dois;	dire à Sistoi qu'il se lasse A courte les cers de ce Dois;
Qu’il peut ſous ce rocher faire meilleur chaſſe, Et que la proye eſt aux abois.	Qu'il peut sous ce rocher faire meilleur chasse, Et que la proie est aux abois.
L’Amour.	L'Amour.
Ccreſtes chaudes, le vous piies Cependant ne l'efueillez pas, Qu'il ne ſe trouue icy pour luy rendre la vie Au ſortir d’vn ſi doux tiépas.	Ccrêtes chaudes, le vous piies Cependant ne l'efillez pas, Qu'il ne se trouve ici pour venir rendre la vie Au sortir d'un si doux tiépas.
D Ebebs.	D Ebebs.
Geneuiéue, il eſt temps que nous rompionsles charmes, Qui dans ce doux ſommeil ont abyſmé vos larmes.	Geneuiéue, il est temps que nous rompions charmes, Qui dans ce doux sommeil ont abîmé vos larmes.
Ouurez les yeux pour voir Sifroy.	Ouvrez les yeux pour voir Sifroy.
Que le Ciel veut vous rendre.	Que le Ciel veut vous rendre.
Ou pluſtoſt attendez auec la meſme foy.	Ou plutôt attendez avec la même foi.
Que cét heureux chaſſeur vienne icy vous reprendre.	Que cet heureux chasseur vienne ici vous surprendre.
Diuin rauiſſement, agreable langueur.	Divin ravissement, agréable langueur.
Aaites placc à Sioy Maintenant daus Ion cœur.	Aaites placc à Sioi Maintenant daus Ion cœur.
ACTE IV	ACTE IV
GENEVIEVE ſeule reuenant de ſon extaſe.	GENEVIÈVE seule revenant de son extase.
Dieu!	Dieu!
ſacrez repos dont mon ame eſt char mée, Ah!	sacrés repos dont mon âme est char mée, Ah!
dans quelles douceurs m’auez-vous abyſmée:	dans quelles douceurs m'avez-vous abîmée:
Celeſtes viſions!	Celestes visions!
agreables appas!	agréables appas!
Que puis-ie voir d’aimable en ne vous voyant pas;	Que puis-je voir d'aimable en ne vous voyant pas;
Brillans écoulemens des ſources de lumiere, Viues effuſions de ſa beauté premiere!	Brillants écoulements des sources de lumière, Vives effusions de sa beauté première!
Si pour iouyr dé vous il faut fermer les yeux Qu’ay-ie à voit ſur la terre ou meſme dans les cieux.	Si pour jouir de vous il faut fermer les yeux Qu'ai-je à voit sur la terre ou même dans les cieux.
Soleil dans quelque éclat que tu ſorte de l’onde Et de quelque beauté que tu pares le monde;	Soleil dans quelque éclat que tu sorte de l'onde Et de quelque beauté que tu pares le monde;
Tu ne me fais rien voir en ramenant le iour, Qui vaille cét objet où i’ay mis mon amour, Et toutes les beautez que découure ta courſe Comme tous tes rayons viennent de cette ſour.	Tu ne me fais rien voir en ramenant le jour, Qui vaille cet objet où j'ai mis mon amour, Et toutes les beautés que découvre ta course Comme tous tes rayons viennent de cette sour.
ce.	ce.
Cher objet de mon cœur vos appas ſont trop doux, Pour pleurer deſormais la perte d’vn Eſpoux;	Cher objet de mon cœur vos appas sont trop doux, Pour pleurer désormais la perte d'un Époux;
Et le moindre moment de vos ſaintes.	Et le moindre moment de vos saintes.
delices M’oſtent le ſouuenir de mes plus longs ſupplices.	délices M'ôtent le souvenir de mes plus longs supplices.
Mais vne grace encor?	Mais une grâce encor?
Et faites que Sifroy En plaignant mon malheur, n’accuſe plus ma foy.	Et faites que Sifroy Que plaignant que Sieur, n'accuse plus ma foi.
Et vous qui ręnaiſſant diſſipez les nuages, Soleil, de ſon eſprit écartez ſes ombrages, Ou vous pluſtoſt de qui j’attends cette faueur, Vierge ſainte, agiſſez pour moy dedans ſon cœur Et faites qu’il connoiſſe mon innocente plainte Que mon amour luy fait par vne lettrefeinte, Qu’il ſçache l’impoſture & la malignité Qui ſuppoſa ce crime à ma pudicité;	Et vous qui ręnaissant dissipez les nuages, Soleil, de son esprit écartez ses ombrages, Ou vous plustost de qui attends cette faueur, Vierge sainte, agissez pour moi dedans son cœur Et faites il connoisse mon innocente plainte Que mon amour lui fait par lettrefeinte, il sçache imposture et la Et Vou supposa ce qui ma rudicité;
Mais permettez encor que ie vous importune Pour cét enfant qui ſuit dans ces bois ma fortune, Apres ma longue mort qui va bien-toſt ſinir, Helas?	Mais permettez encor que ici vous importune Pour cet enfant qui suit dans ces bois ma fortune, Après ma longue mort qui va bientôt sinir, Hélas?
