LE BOURGEOIS GENTILHOMME COMEDIE-BALET.	LE BOURGEOIS GENTILHOMME COMÉDIE-BALET.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Avant que de vous rendre réponſe, Monſieur, je vous prie de me dire, ſi vous eſtes Gentilhomme.	Avant que de vous rendre réponse, Monsieur, je vous prie de me dire, si vous êtes Gentilhomme.
CLEONTE.	CLÉONTE.
Monſieur, la pluſpart des Gens ſur cette queſtion, n’heſitent pas beaucoup.	Monsieur, la plupart des Gens sur cette question, n'hésitent pas beaucoup.
On tranche le mot aisément.	On tranche le mot aisément.
Ce nom ne fait aucun ſcrupule à prendre, & l’uſage aujourd’huy ſemble en authoriſer le vol.	Ce nom ne fait aucun scrupule à prendre, et lusage 'hui semble en autoriser le vol.
Pour moi, je vous l’avouë, j’ai les ſentimens ſur cette matiere un peu plus délicats.	Pour moi, je vous l'avoue, j'ai les sentiments sur cette matière un peu plus délicats.
Je trouve que toute impoſture eſt indigne d’un honneſte Homme, & qu’il y a de la lâcheté à déguiſer ce que le Ciel nous a fait naiſtre;	Je trouve que toute imposture est indigne d'un honnête Homme, et qu'il y a de la lâcheté à déguiser ce que le Ciel nous a fait naître;
à ſe parer aux yeux du monde d’un Titre dérobé;	à se parer aux yeux du monde d'un Titre dérobé;
à ſe vouloir donner pour ce qu’on n’eſt pas.	à se vouloir donner pour ce qu'on n'est pas.
Je ſuis né de Parens, ſans doute, qui ont tenu des Charges honorables.	Je suis né de Parents, sans doute, qui ont tenu des Charges honorables.
Je me ſuis acquis dans les Armes l’honneur de ſix ans de ſervices, & je me trouve aſſez de bien pour tenir dans, le Monde un rang aſſez paſſable:	Je me suis acquis dans les Armes l'honneur de six ans de services, et je me trouve assez de bien pour tenir dans, le Monde un rang assez passable:
mais avec tout cela je ne veux point me donner un nom où d’autres en ma place croiroient pouvoir prétendre;	mais avec tout cela je ne veux point me donner un nom où d'autres en ma place croiraient pouvoir prétendre;
& je vous dirai franchement que je ne luis porfſt Gentilhomme.	et je vous dirai franchement que je ne luis porfst Gentilhomme.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Touchez-là.	Touchez-là.
Monſieur.	Monsieur.
Ma fille n’eſt pas pour vous.	Ma fille n'est pas pour vous.
Comment?	Comment?
CLEONTE.	CLÉONTE.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Vous n’eſtes point Gentilhomme, vous n’aurez pas ma Fille.	Vous n'êtes point Gentilhomme, vous n'aurez pas ma Fille.
MADAME JOURDAIN.	MADAME JOURDAIN.
Que voulez vous donc dire avec voſtre Gentilhomme?	Que voulez -vous donc dire avec votre Gentilhomme?
Eſt-ce que nous ſommes, nous autres, de la Coſte de S.	Est-ce que nous sommes, nous autres, de la Côte de S.
Loüis?	Louis?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Taiſezvous, ma Femme je vous voy venir.	Taisezvous, ma Femme je vous vois venir.
MADAME JOURDAIN.	MADAME JOURDAIN.
Deſcendons-nous tous deux que de bonnt Bourgeoiſie?	Descendons-nous tous deux que de bonnât Bourgeoisie?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Voila pas le coup de langue?	Voilà pas le coup de langue?
MADAME JOURDAIN.	MADAME JOURDAIN.
Et voſtre Pere n’eſtoit-il pas Marchand auſti bien que le mien?	Et votre Père n'était-il pas Marchand austi bien que le mien?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Peſte ſoit de la Femme.	Peste soit de la Femme.
Elle n’y a jamais manqué.	Elle n'y a jamais manqué.
Si voſtre Pere a eſté Marchand, tant-pis pour luy;	Si votre Père a été Marchand, tant-pis pour lui;
mais pour le mien, ce ſont des malaviſez qui diſent cela.	mais pour le mien, ce sont des malavisé qui disent cela.
Tout ce que j’ai à vous dire, moy, c’eſt que je veux avoir un Gendre Gentilhomme.	Tout ce que j'ai à vous dire, moi, c'est que je veux avoir un Gendre Gentilhomme.
MADAME JOURDAIN.	MADAME JOURDAIN.
Il faut à voſtre Fille un Mari qui lui ſoit propre, & il vaut mieux pour elle un honneſte Homme riche & bien fait, qu’un Gentilhomme gueux & mal baſty.	Il faut à votre Fille un Mari qui lui soit propre, et il vaut mieux pour elle un honnête Homme riche et bien fait, qu'un Gentilhomme gueux et mal bâti.
NICOLE.	NICOLE.
Cela eſt vrai.	Cela est vrai.
Nous avons le Fils du Gentilhomme de noſtre Village, qui eſt le plus grand Malitorne & le plus ſot Dadais que j’aie jamais veu.	Nous avons le Fils du Gentilhomme de notre Village, qui est le plus grand Malitorne et le plus sot Dadais que j'aie jamais vu.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Taiſez-vous, impertinente.	Taisez-vous, impertinente.
Vous vous fourrez toûjours dans la converſation;	Vous vous fourrez toujours dans la conversation;
j’ai du bien aſſez pour ma Fille, je n’ai beſoin que d’honneur, & je la veux faire Marquiſe.	j'ai du bien assez pour ma Fille, je n'ai besoin que d'honneur, et je la veux faire Marquise.
MADAME JOURDAIN.	MADAME JOURDAIN.
Marquiſe!	Marquise!
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Oüy, Marquiſe.	Oui, Marquise.
MADAME JOURDAIN.	MADAME JOURDAIN.
Helas!	Hélas!
Dieu m’en garde.	Dieu m'en garde.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
C’eſt une choſe que j’ai reſoluë.	C'est une chose que j'ai résolue.
MADAME JOURDAIN.	MADAME JOURDAIN.
C’eſt une choſe, moi, où je ne conſentirai point.	C'est une chose, moi, où je ne consentirai point.
Les alliances avec plus grand que ſoi, ſont ſujettes toûjours à de fâcheux inconveniens.	Les alliances avec plus grand que soi, sont sujettes toujours à de fâcheux inconvéniens.
Je ne veux point qu’un Gendre puiſſe à ma Fille reprocher ſes Parens, & qu’elle ait des Enfans qui ayent honte de m’apeler leur Grand-Maman.	Je ne veux point qu'un Gendre puisse à ma Fille reprocher ses Parents, et qu'elle ait des Enfants qui aient honte de m'appeler leur Grand-Maman.
S’il faloit qu’elle me vinſt viſiter en équipage de Grand-Dame, & qu’elle manquât par mégarde à ſalüer quelqu’un du Quartier, on ne manqueroit pas auſſi-toſt de dire cent ſottiſes.	S'il fallait qu'elle me vinst visiter en équipage de Grand-Dame, et qu'elle manquât par mégarde à saluer quelqu'un du Quartier, on ne manquerait pas aussitôt de dire cent sottises.
Voyez-vous, diroit-on, cette Madame la Marquiſe qui fait tant la glorieuſe?	Voyez-vous, dirait-on, cette Madame la Marquise qui fait tant la glorieuse?
c’eſt la Fille de Monſieur Jourdain, qui eſtoit trop heureuſe, eſtant petite, de joüer à la Madame avec nous:	c'est la Fille de Monsieur Jourdain, qui était trop heureuse, étant petite, de jouer à la Madame avec nous:
Elle n’a pas toûjours eſté ſi relevée que la voila;	Elle n'a pas toujours été si relevée que la voilà;
& ſes deux Grand Peres vendoient du Drap aupres de la Porte Saint Innocent.	et ses deux Grand Pères vendaient du Drap auprès de la Porte Saint Innocent.
Ils ont amaſſe du bien à leurs Enfans, qu’ils payent maintenant, peut-eſtre, bien cher en l’autre Monde, & l’on ne devient guéres ſi riches à eſtre honneſtes Gens.	Ils ont amasse du bien à leurs Enfants, qu'ils paient maintenant, peut-être, bien cher en l'autre Monde, et l'on ne devient guère si riches à leurs honnêtes Gens.
Je ne veux point tous ces caquets, & je veux un Homme en un mot qui m’ait obligation de ma Fille, & à qui je puiſſe dire, Mettez-vous là, mon Gendre, & diſnez avec moy.	Je ne veux point tous ces caquets, et je veux un Homme en un mot qui m'ait obligation de ma Fille, et à qui je puisse dire, Mettez-vous là, mon Gendre, et dînez avec moi.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Voila bien les ſentimens d’un petit Eſprit, de vouloir demeurer toûjours dans la baſſeſſe.	Voilà bien les sentiments d'un petit Esprit, de vouloir demeurer toujours dans la bassesse.
Ne me repliquez pas davantage, ma Fille ſera Marquiſe en dépit de tout le monde;	Ne me répliquez pas davantage, ma Fille sera Marquise en dépit de tout le monde;
& ſi vous me mettez en colere, je la ferai Ducheſſe.	et si vous me mettez en colère, je la ferai Duchesse.
MADAME JOURDAIN.	MADAME JOURDAIN.
Cleonte, ne perdez point courage encore.	Cléonte, ne perdez point courage encore.
Suivez-moi, ma Fille, & venez dire réſolument à voſtre Pere, que ſi vous ne l’avez, vous ne voulez épouſer perſonne.	Suivez-moi, ma Fille, et venez dire résolument à votre Père, que si vous ne l'avez, vous ne voulez épouser personne.
SCENE XIII.	SCÈNE XIII.
CLEONTE, COVIELLE.	CLÉONTE, COUIELLE.
COVIELLE.	COUIELLE.
* Ous avez fait de belles affaires, avec vos  beaux ſentimens:	* Ous avez fait de belles affaires, avec vos beaux sentiments:
CLEONTE.	CLÉONTE.
Que veux-tu?	Que veux-tu?
J’ai un ſcrupule là-deſſus, que l’exemple ne ſçauroit vaincre.	J'ai un scrupule là-dessus, que l'exemple ne saurait vaincre.
COVIELLE.	COUIELLE.
Vous moquez-vous, de le prendre ſérieuſement avec un Homme comme cela?	Vous moquez-vous, de le prendre sérieusement avec un Homme comme cela?
Ne voyez-vous pas qu’il eſt fou?	Ne voyez-vous pas qu'il est fou?
& vous couſtoit-il quelque choſe de vous accommoder à ſes chimeres?	et vous coûtait-il quelque chose de vous accommoder à ses chimères?
CLEONTE.	CLÉONTE.
Tu as raiſon;	Tu as raison;
mais je ne croyois pas qu’il falût faire ſes preuves de Nobleſſe, pour eſtre Gendre de Monſieur Jourdain.	mais je ne croyais pas qu'il fallût faire ses preuves de Noblesse, pour être Gendre de Monsieur Jourdain'
Ah, ah, ah.	Ah, ah, ah.
COVIELLE.	COUIELLE.
CLEONTE.	CLÉONTE.
Dequoi ris-tu?	Dequoi ris-tu?
COVIELLE.	COUIELLE.
D'une penſée qui me vient pour joüer noſtre Homme, & vous faire obtenir ce que vous ſouhaitez.	D'une pensée qui me vient pour jouer notre Homme, et vous faire obtenir ce que vous souhaitez.
Comment?	Comment?
CLEONTE.	CLÉONTE.
COVIELLE.	COUIELLE.
L’idée eſt tout-à-fait plaiſante.	L'idée est tout-à-fait plaisante.
Quoy donc?	Quoi donc?
CLEÔNTE.	CLENTE.
COVIELLE.	COUIELLE.
Il s’eſt fait depuis peu une certaine Maſcarade qui vient le mieux du monde icy, & que je prétens faire entrer dans une bourle que jeveux faire à noſtre Ridicule.	Il s'est fait depuis peu une certaine Mascarade qui vient le mieux du monde ici, et que je prétends faire entrer dans une bourle que jeveux faire à notre Ridicule.
Tout cela ſent un peu ſa Comédie;	Tout cela sent un peu sa Comédie;
mais avec luy on peut hazarder toute choſe, il n’y faut point chercher tant de façons, & il eſt Homme à y joüer ſon rôle à merveille;	mais avec mille on peut hasarder toute chose, il n'y faut point chercher tant de façons, et il est Homme à y jouer son rôle à merveille;
à donner aiſément dans toutes les fariboles qu’on s’aviſera de luy dire.	à donner aisément dans toutes les fariboles qu'on s'avisera de même dire.
J’ay les Acteurs, j’ay les Habits tout preſts, laiſſez-moĩ faire ſeulement.	J'ai les Acteurs, j'ai les Habits tout prêts, laissez-moint faire seulement.
CLEONTE.	CLÉONTE.
Mais aprens-moy.	Mais apprends-moi.
COVIELLE.	COUIELLE.
Je vais vous inſtruire de tout;	Je vais vous instruire de tout;
retirons-nous, le voila qui revient.	retirons-nous, le voilà qui revient.
SCENE XIV.	SCÈNE XIV.
MONSIEUR JOURDAIN, LAQUAIS.	MONSIEUR JOURDAIN, LAQUAIS.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Ue Diable eſt-ce là?	Que Diable est-ce là?
Ils n’ont rien que les rands Seigneurs à me reprocher;	Ils n'ont rien que les rands Seigneurs à me reprocher;
& moi je ne vois rien de ſi beau, que de hanter les grands Seigneurs;	et moi je ne vois rien de si beau, que de hanter les grands Seigneurs;
il n’y a qu’honneur & que civilité avec eux, & je voudrois qu’il m’euſt couſté deux doigts de la main, & eſtre né Comte, ou Marquis.	il n'y a qu'honneur et que civilité avec eux, et je voudrais qu'il m'eût coûté deux doigts de la main, et être né Comte, ou Marquis.
LAQUAIS.	LAQUAIS.
Monſieur, voicy Monſreur le Comte, & une Daſie qu’irmene par la main.	Monsieur, voici Monsreur le Comte, et une Dasie qu'irmène par la main.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Hé mon Dieu, j’ai quelques ordres à donner.	Hé mon Dieu, j'ai quelques ordres à donner.
Dy-leur que je vais venir iey tout-à-l’heure.	Dis-leur que je vais venir 1 tout-à-l'heure.
SCENE XV.	SCÈNE XV.
DORIMENE, DORANTE, LAQUAIS.	DORIMENE, DORANTE, LAQUAIS.
LAQUAIS.	LAQUAIS.
Onſieur dit comme cela, qu’il va venir M icy tout-à-l'heure.	Onsieur dit comme cela, qu'il va venir M ici tout-à-l'heure.
DORANTE.	DORANTE.
Voila qui eſt bien.	Voilà qui est bien.
DORIMENE.	DORIMENE.
Je ne ſçai pas, Dorante;	Je ne sais pas, Dorante;
je fais encore icy une étrange démarche, de me laiſſer amener par vous dans une Maiſon où je ne connois perſoune.	je fais encore ici une étrange démarche, de me laisser amener par vous dans une Maison où je ne connais persoune.
DORANTE.	DORANTE.
Quel lieu voulez-vous donc, Madame, que mon amour choiſiſſe pour vous régaler, puis que pour fuir l’éclat, vous ne voulez ni voſtre Maiſon, ni la mienne ?	Quel lieu voulez-vous donc, Madame, que mon amour choisisse pour vous régaler, puis que pour fuir l'éclat, vous ne voulez ni votre Maison, ni la mienne ?
DORIMENE.	DORIMENE.
Mais vous ne dites pas que je m’engage inſenſiblemẽt chaque jour à recevoir de trop grands témoignages de voſtre paſſion.	Mais vous ne dites pas que je m'engage insensiblement chaque jour à recevoir de trop grands témoignages de votre passion.
J’ai beau me défendrę des choſes, vous fatiguez ma reſiſtance, & vous avez une civile opiuiâtreté qui me fait venir doucement à tout ce qu’il vous plaiſt.	J'ai beau me défendrait des choses, vous fatiguez ma résistance, et vous avez une civile opiuiâtreté qui me fait venir doucement à tout ce qu'il vous plaît.
Les Viſites frequentes ont commencé;	Les Visites fréquentes ont commencé;
les Declarations ſont venuës en ſuite, qui apres elles ont traiſné les Serenades & les Cadeaux, que les Préſens ont ſuivy.	les Declarations sont venues en suite, qui après elles ont traîné les Sérénades et les Cadeaux, que les Présents ont suivi.
Je me ſuis opoſée à tout cela, mais vous ne vous rebutez point, & pied à pleu vous pagnen mes reſolutions.	Je me suis oposée à tout cela, mais vous ne vous rebutez point, et pied à pleu vous pagnen mes résolutions.
Pour moi je ne puis plus répondre de rien, & je croi qu’à la fin vous me ferez venir au Mariage dont je me ſuis tant éloignée,	Pour moi je ne puis plus répondre de rien, et je crois qu'à la fin vous me ferez venir au Mariage dont je me suis tant éloignée,
DORANTE.	DORANTE.
Ma foi, Madame, vous y devriez déja eſtre.	Ma foi, Madame, vous y devriez déjà être.
Vous eſtes Veuve, & ne dépendez que de vous.	Vous êtes Veuve, et ne dépendez que de vous.
Je ſuis maiſtre de moi, & vous aime plus que ma vie.	Je suis maître de moi, et vous aime plus que ma vie.
A quoy tient-il que dés aujourd’huy vous ne faſſiez tout mon bonheur?	À quoi tient-il que dès aujourd'hui vous ne fassiez tout mon bonheur?
DORIMENE.	DORIMENE.
Mon Dieu, Dorante, il faut des deux parts bien des qualitez pour vivre heureuſement enſemble;	Mon Dieu, Dorante, il faut des deux parts bien des qualités pour vivre heureusement ensemble;
& les deux plus raiſonnables Perſonnes du Monde, ont ſouvent peine à compoſer une union dont ils ſoient ſatisfaits.	et les deux plus raisonnables Personnes du Monde, ont souvent peine à composer une union dont ils soient satisfaits.
DORANTE.	DORANTE.
Vous vous moquez, Madame, de vous y figurer tant de difficultez;	Vous vous moquez, Madame, de vous y figurer tant de difficulté;
& l’experience que vous avez faite, ne conclut rien pour tous les autres.	et l'expérience que vous avez faite, ne conclut rien pour tous les autres.
DORIMENE.	DORIMENE.
Enfin j’en reviens toûjours là.	Enfin j'en reviens toujours là.
Les dépenſes que je vous voi faire pour moi, m’inquietent par deux raiſons;	Les dépenses que je vous vois faire pour moi, m'inquiètent par deux raisons;
l’une, qu’elles m’engagent plus que je ne voudrois;	l'une, qu'elles m'engagent plus que je ne voudrais;
& l’autre, que je ſuis ſeure, ſans vous déplaire, que vous ne les faites point, que vous ne vous incommodiez;	et l'autre, que je suis sûre, sans vous déplaire, que vous ne les faites point, que vous ne vous incommodiez;
& je ne veux point cela.	et je ne veux point cela.
DORANTE.	DORANTE.
Ah, Madame, ce ſont des bagatelles, & ce n’eſt pas par là.	Ah, Madame, ce sont des bagatelles, et ce n'est pas par là.
DORIMENE.	DORIMENE.
Je ſçay ce que je dy;	Je sais ce que je dis;
& entr’autres le Diamant que vous m’avez forcée à prendre, eſt d’un prix.	et entr'autres le Diamant que vous m'avez forcée à prendre, est d'un prix.
DORANTE.	DORANTE.
Eh, Madame, de grace, ne faites point tant valoir une choſe que mon anour trouve indigne de vous;	Eh, Madame, de grâce, ne faites point tant valoir une chose que mon anour trouve indigne de vous;
& ſouffrez.	et souffrez.
Voicy le Maiſtre du Logis.	Voici le Maître du Logis.
SCENE XVI.	SCÈNE XVI.
MONSIEUR JOURDAIN, DORIMENE, DORANTE, LAQUATS.	MONSIEUR JOURDAIN, DORIMENE, DORANTE, LAQUATS.
MONSIEUR JOURDAIN aprés avoir fait deux reverences, ſe trouvant trop prde Dorimene.	MONSIEUR JOURDAIN après avoir fait deux révérences, se trouvant trop prde Dorimène.
N peu plus loin, Madame.	N peu plus loin, Madame.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Un pas, s’il vous plaiſt.	Un pas, s'il vous plaît.
Quoy donc?	Quoi donc?
DORIMENE.	DORIMENE.
MONSIEUR IOURDAIN.	MONSIEUR JOURDAIN.
Reculez un peu, pour la troiſiéme.	Reculez un peu, pour la troisième.
DORANTE.	DORANTE.
Madame, Mouſieur Jourdain ſçait ſon monde.	Madame, Mousieur Jourdain sçait son monde.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Madame, ce m’eſt une gloire bien grande, de me voir aſſez fortuné, pour eſtre ſi heureux, que d’avoir le bonheur, que vous ayez eu la bonté de m’accorder la grace, de me faire l’honneur, de m’honorer de la faveur de voſtre preſence:	Madame, ce m'est une gloire bien grande, de me voir assez fortuné, pour être si heureux, que d'avoir le bonheur, que vous ayez eu la bonté de m'accorder la grâce, de me faire l'honneur, de m'honorer de la faveur de votre présence:
Et ſi j’avois auſſi le mérite, pour mériter un mérite comme le voſtre, & que le Ciel.	Et si j'avais aussi le mérite, pour mériter un mérite comme le vôtre, et que le Ciel.
