MONSEIGNEVR,	MONSEIGNEUR,
Allons, chere Couſine, allons eſprouuer ſi la mer nous ſera plus fauorable que la terre.	Allons, chère Cousine, allons éprouver si la mer nous sera plus favorable que la terre.
LE CAPITAINE des Gardes.	LE CAPITAINE des Gardes.
que l’affliction de cette Princeſſe me touche viuement!	que l'affliction de cette Princesse me touche vivement!
Mais quoy!	Mais quoi!
la prudence me doit rendre muet, auſſi bien que le deuoir de ma charge.	la prudence me doit rendre muet, aussi bien que le devoir de ma charge.
Les actions des Rois ſont au deſſus de la cenſure:	Les actions des Rois sont au dessus de la censure:
ce qui leur plaiſt eſt touſiours raiſonnable.	ce qui leur plaît est toujours raisonnable.
SUSIN 22 IV	SUSIN 22 IV
CLORIMENE, Fille vnique de Thomas	CLORIMENE, Fille unique de Thomas
Morus.	Morus.
N quel eſtat me voy-ie reduitte auiour* d’huy?	N quel état me vois-je réduite aujour* d'hui?
Toutes mes eſperances ſont captiues dans la meſme priſon où mon Pere eſt enfermé.	Toutes mes espérances sont captives dans la même prison où mon Père est enfermé.
Que s’il n’en ſort iamais que par la porte du Tombeau, puis-ie ſans me flatter voir la fin de mes maux qu’auec celle de ma vie?	Que s'il n'en sort jamais que par la porte du Tombeau, puis-je sans me flatter voir la fin de mes maux qu'avec celle de ma vie?
Il faut que ie ine domc cette loibie comolation, de luy repreſenter la verité de mes miſeres, pour le toucher de pitié, puis qu’il eſt inſenſible à l’amour;	Il faut que ici ine domc cette lois comolation, de deux représenter la vérité de mes misères, pour le toucher de pitié, puis qu'il est insensible à l'amour;
Mais il paroiſt à la grille de la priſon;	Mais il paraît à la grille de la prison;
ſi ie ne me trompecelt luy meilnes;	si ici ne me trompecelt Seigneur meilnes;
THOMAS MORVS.	THOMAS MORUS.
Qui vous ameine icy, ma Fille?	Qui vous âmeine ici, ma Fille?
Eſtes vous venuë pour me conſoler?	Êtes vous venue pour me consoler?
Ie n’ay pas beſoin de cette ſorte de remede.	Je n'ai pas besoin de cette sorte de remède.
CLORIMENE.	CLORIMENE.
Monſieur, ie viens pour m’acquitter de ce que ie vous dois;	Monsieur, Seigneur viens pour m'acquitter de ce que je vous dois;
& pour vous teſmoigner la part que ieprens a voſtre infortune.	et pour vous témoigner la part que ieprens à votre infortune.
THOMAS MORVS.	THOMAS MORUS.
Croyez vous que ie ſois mal-heureux?	Croyez -vous que ici sois malheureux?
CLORIMENE.	CLORIMENE.
Voſtre priſon eſt trop funeſte, pour me perſuader autre choſe.	Votre prison est trop funeste, pour me persuader autre chose.
TITOMAS MORVS.	TITOMAS MORUS.
N’auez vous iamais vû des Innocens captifs?	N'avez -vous jamais vu des Inocents captifs?
CLORIMENE.	CLORIMENE.
Ie ne doute point de voſtre innocence, mais voltle captiulte In alllige.	Je ne doute point de votre innocence, mais voltle captiulte In alllige.
THOMAS MORVS.	THOMAS MORUS.
Pourquoy vous affligez vous de mon bonheur?	Pourquoi vous affligez -vous de mon bonheur?
ma priſon eſt digne d’enuie.	ma prison est digne d'envie.
CLORIMENE.	CLORIMENE.
Si faut-il en ſortir, Monſieur à quelque prix que ce ſoit.	Si faut-il en sortir, Monsieur à quelque prix que ce soit.
Le Roy y conſent:	Le Roi y consent:
vos amis le deſirent, & voſtre pauure Fille que voicy abandonnée de tout le monde, vous en ſupplie tres-humblement;	vos amis le désirent, et votre pauvre Fille que voici abandonnée de tout le monde, vous en supplie très-humblement;
mais d’vne priere toute de ſoupirs & de larmes.	mais d'une prière toute de soupirs et de larmes.
THOMAS MORVS.	THOMAS MORUS.
Que ie ſorte de priſon, dites-vous, ma fille, à quelque prix que ce ſoit!	Que quelque sorte de prison, dites-vous, ma fille, à quelque prix que ce soit!
Le Roy a beau le permettre:	Le Roi a beau le permettre:
ma conſcience me le deffend:	ma conscience me le défend:
ſi mes amis le deſirent, mon deuoir ne veut pas que ie l’eſpere.	si mes amis le désirent, mon devoir ne veut pas que sans l'espère.
En fin vous m’enpriez, mais Dieu me commande de reietter vos prieres, & d’eſtre ſourd à vos plaintes, auſſi bien qu’aueugle à vos larmes.	En fin vous m'enpriez, mais Dieu me commande de rejeter vos prières, et d'être sourd à vos plaintes, aussi bien qu'aveugle à vos larmes.
CLORIMENE.	CLORIMENE.
Monſieur, ſi vous conſiderez le déplorable eſtat où voſtre infortune m’a deſia reduite, vous aurez plus de pieté que de raiſon.	Monsieur, si vous considérez le déplorable état où votre infortune m'a déjà réduite, vous aurez plus de piété que de raison.
THOMAS MORVS.	THOMAS MORUS.
La Vertu n’eſt iamais mal-heureuſe:	La Vertu n'est jamais malheureuse:
que craignez vous auec elle?	que craignez -vous apprendre elle?
CLORIMENE.	CLORIMENE.
I’apprehende de vous perdre.	J'appréhende de vous perdre.
THOMAS MORVS.	THOMAS MORUS.
Dans le port où ie ſuis, il n’y a point de peril de naufrage.	Dans le port où je suis, il n'y a point de péril de naufrage.
CLORIMENE.	CLORIMENE.
Si preuoy-ie pourtant que la Mort ſera voſtre eſcueil.	Si prévois-je pourtant que la Mort sera votre écueil.
THOMAS MORVS.	THOMAS MORUS.
Cette preuoyance me menace d’vn bon-heur, qui me fait ſouſpirer d’impatience en ſon attente.	Cette prévoyance me menace d'un bonheur, qui me fait soupirer d'impatience en son attente.
CLORIMENE.	CLORIMENE.
Mais vous ne conſiderez pas, Monſieur, qu’en mourant vous m’entrainez dans la ſepulture.	Mais vous ne considérez pas, Monsieur, qu'en mourant vous m'entraînez dans la sépulture.
THOMAS MORVS.	THOMAS MORUS.
Ne ſeriez vous pas heureuſe de mourir pour la gloire du Ciel, auec celuy qui vous a fait naiſtre?	Ne seriez vous pas heureuse de mourir pour la gloire du Ciel, avec celui qui vous a fait naître?
CLORIMENE.	CLORIMENE.
Ily a plus d’infamie que de gloire à mourir de la main d’vn Bourreau.	Ili a plus d'infamie que de gloire à mourir de la main d'un Bourreau.
THOMAS MORVS.	THOMAS MORUS.
Mon Sauueur m’en a oſté la honte;	Mon Sauveur m'en a ôté la honte;
ie n’en auray que de l’honneur.	Elle n'en aurai que de l'honneur.
CLORIMENE.	CLORIMENE.
Mais pourquoy voulez vous coniurer auec voſtre ruine celle de tout ce que vous aimez au monde?	Mais pourquoi voulez -vous conjurer avec votre ruine celle de tout ce que vous aimez au monde?
Sauuez voſtre Fille comme Pere, puis que la Nature & la Raiſon vous y obligent également.	Sauvez votre Fille comme Père, puis que la Nature et la Raison vous y obligent également.
THOMAS MORVS.	THOMAS MORUS.
Ie ne veux ſonger qu’à ſauuer mon Ame:	Je ne veux songer qu'à sauver mon Âme:
Dieu aura ſoin de vous.	Dieu aura soin de vous.
CLORIMENE.	CLORIMENE.
Où eſt cette grande amour que vous m’auez touriouis temioignee ?	Où est cette grande amour que vous m'avez touriouis témoigne ?
Mie vouiez vous laiſſer pour heritage, les mal-heurs & les miſeres qui vous ſuiuront dans le Tombeau?	Mie vouiez -vous laisser pour héritage, les malheurs et les misères qui vous suivront dans le Tombeau?
THOMAS MORVS.	THOMAS MORUS.
Ie vous aime plus que iamais;	Je vous aime plus que jamais;
& pour vne nouuelle preuue de mon amour, ie vous laiſſe l’exemple de ma conſtance, mourant fidelle à Dieu:	et pour une nouvelle preuve de mon amour, je vous laisse l'exemple de ma constance, mourant fidèle à Dieu:
C’eſt le plus riche Treſor que ie vous puis donner.	C'est le plus riche Trésor que je vous puis donner.
CLORIMENE.	CLORIMENE.
Ha!	Ha!
mon Pere, que voulez vous que ie deuienne?	mon Père, que voulez -vous que sans devienne?
THOMAS MORVS.	THOMAS MORUS.
Ha!	Ha!
ma Fille, que voulez vous que ie faſſe?	ma Fille, que voulez -vous que votre fasse?
CLORIMENE.	CLORIMENE.
Laiſſez vous toucher à l’excés de mes infortunes.	Laissez vous toucher à l'excès de mes infortunes.
THOMAS MORVS.	THOMAS MORUS.
Ouurez les yeux à l’eſclat de mes felicitez.	Ouvrez les yeux à l'éclat de mes félicités.
CLORIMENE.	CLORIMENE.
Ie ne ſçaurois les ouurir qu’à mes larmes.	Je ne saurais les ouvrir qu'à mes larmes.
THOMAS MORVS.	THOMAS MORUS.
Pleurez donc de la ioye de mon trépas.	Pleurez donc de la joie de mon trépas.
GHORIMENE.	GHORIMENE.
I’en pleureray de regret;	J'en pleurerai de regret;
mais auec des larmes de fang, pour celebrer plus dignement vos funerailles.	mais avec des larmes de sang, pour célébrer plus dignement vos funérailles.
THOMAS MORVS.	THOMAS MORUS.
Eſtes-vous ialouſe de ma gloire?	Êtes-vous jalouse de ma gloire?
CLORTMEIL.	CLORTMEIL.
Eſtes-vous ennemy de mon bon-heur?	Êtes-vous ennemi de mon bonheur?
THOMAS MORVS.	THOMAS MORUS.
Quel bon-heur eſperez vous icy bas, où tous les biens ſont faux, & les maux veritables?	Quel bonheur espérez -vous ici bas, où tous les biens sont faux, et les maux véritables?
CLORIMENE.	CLORIMENE.
Quelauantage attendez vous de voſtre mort, ſi la honte & l’infamie vous en preparent le ſupplice?	Quelavantage attendez -vous de votre mort, si la honte et l'infamie vous en préparent le supplice?
THOMAS MORVS, THOMAS MORVS.	THOMAS MORUS, THOMAS MORUS.
Il faut vouloir ce que Dieu veut.	Il faut vouloir ce que Dieu veut.
CLORIMENE.	CLORIMENE.
Que ne veut-il que ie meure?	Que ne veut-il que Seigneur meure?
TITOMHS MORVS.	TITOMHS MORUS.
Il n’eſt pas temps.	Il n'est pas temps.
CLORIMENE.	CLORIMENE.
Lcs mar dleureun ronte te untoure preſts.	Lus mar dleureun ronte te untoure prêts.
THOMAS MORVS.	THOMAS MORUS.
v ous helces pas de ce nomore.	 vous hélées pas de ce nomore.
CILORIMENE.	CILORIMENE.
o1 ſe ieir luis auiourd nuy, vous m’en ferez demain.	o1 se ieir luis aujourd' en, vous m'en ferez demain.
THOMAS MORVS.	THOMAS MORUS.
Et apres demain auſſi Dieu peut ſonner voſtre retraite.	Et après demain aussi Dieu peut sonner vostre retraite.
CLORIMENE.	CLORIMENE.
C’eſt vous meſme qui la faites ſonner, puis que vous vous en allez.	C'est vous même qui la faites sonner, puis que vous vous en allez.
THOMAS	THOMAS
THOMAS MORVS.	THOMAS MORUS.
Le Ciel m'appelle.	Le Ciel m'appelle.
CLORIMENE.	CLORIMENE.
Le monde me chaſſe.	Le monde me chasse.
THOMAS MORVS.	THOMAS MORUS.
Prenez patience.	Prenez patience.
CLORIMENE.	CLORIMENE.
Vous me l’oſtez.	Vous me l'ôtez.
THOMAS MORVS.	THOMAS MORUS.
le lounſe contanmient noſtre ſeparation.	le lounse contanmient notre séparation.
CLORIMENE.	CLORIMENE.
Dieu vous en donne laforce, & la Naturem’en oſte le courage.	Dieu vous en donne laforce, et la Naturem'en ôte le courage.
I IOMAS MORVS.	I JOMAS MORUS.
Conſolez vous, ma Fille.	Consolez -vous, ma Fille.
CLORIMENE.	CLORIMENE.
Ne m’affligez plus, mon Pere.	Ne m'affligez plus, mon Père.
HOMAS MORVS.	HOMAS MORUS.
Comment vous puis-ie affliger dans l’heureuſe colidicion eu le laida.	Comment vous puis-je affliger dans l'heureuse colidicion eu le laida.
CLORIMENE.	CLORIMENE.
Et connene ille puinle conieier dans le miſerable eſtat où ie me treuue?	Et connène ille puinle conieier dans le misérable état où je me trouve?
THOMAS MORVS.	THOMAS MORUS.
Dieu ne vous abandonnera iamais;	Dieu ne vous abandonnera jamais;
que pouuez vous craindre?	que pouvez -vous craindre?
CLORIMENE.	CLORIMENE.
Et ſi vous m’abandonnez vous meſme, que dois-ie eſperer?	Et si vous m'abandonnez -vous -même, que dois-je espérer?
THOMAS MORVS.	THOMAS MORUS.
Ie vous ſeray plus vtile au Ciel qu’en la Terre:	Je vous serai plus utile au Ciel qu'en la Terre:
pourquoy ne voulez-vous pas que ie m’en aille?	pourquoi ne voulez-vous pas que sans m'en aille?
CLORIMENE.	CLORIMENE.
Vous m’eſtes neceſſaire en tous lieux;	Vous m'êtes nécessaire en tous lieux;
pourquoy me voulez vous quitter?	pourquoi me voulez -vous quitter?
THOMAS MORVS.	THOMAS MORUS.
I’y ſuis forcé, ma Fille, adieu, viuez heureuſe, puiſque ie meurs content.	J'y suis forcé, ma Fille, adieu, vivez heureuse, puisque ici meurs content.
CLORIMENE.	CLORIMENE.
Que ie viue heureuſe dans la preſſe de vos mal-heurs!	Que quelque vive heureuse dans la presse de vos malheurs!
que ie viue heureuſe à la veille de vos funerailles!	que ici vive heureuse à la veille de vos funérailles!
Non, non, cher Pere, puiſque mes veines ne ſont remplies que de voſtre ſang, ie le reſpandray glorieuſement, afin que les ruiſſeauxie Ioignene a ſeur fource.	Non, non, cher Père, puisque mes veines ne sont remplies que de votre sang, toujours le répandrai glorieusement, afin que les ruisseauxie Ioignène a sûr source.
Fin du quatrieſme Acte.	Fin du quatrième Acte.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
LE ROY, ET LA REINE.	LE ROY, ET LA REINE.
LE ROY.	LE ROY.
A DAME, vous voila Reine ſans diſpute.	À DAME, vous voilà Reine sans dispute.
La Iuſtice vous a donné ſa voix Mmne auſſi bien que l’Amour;	La Justice vous a donné sa voix Mémne aussi bien que l'Amour;
& vous entendriez deſia les cris d’allegreſſe de tous nos ſubiets enſemble, ſi par vn excés de ioye, elle meſme ne les rẽdoit muets.	et vous entendriez déjà les cris d'allégresse de tous nos sujets ensemble, si par un excès de joie, elle -même ne les rẽdoit muets.
Ne croyez pas que voſtre Beauté ſoit le ſeul obiet de mon Amour:	Ne croyez pas que votre Beauté soit le seul objet de mon Amour:
voſtre Vertu en a fait les plus fortés chaines:	votre Vertu en a fait les plus fortés chaines:
Ce qui vous doit perſuader que le Temps ny la Mort ne les rompront iamais.	Ce qui vous doit persuader que le Temps ni la Mort ne les rompront jamais.
ARTHENICE.	ARTHENICE.
Monſieur, voſtre bonté me comble auiourd’huy de tant de faueurs, & de tant de gloire, que la voix me défaut pour luy teſmoigner le iuſte reſſentiment qui m’en demeure.	Monsieur, votre bonté me comble aujourd'hui de tant de faveurs, et de tant de gloire, que la voix me défaut pour venir témoigner le juste ressentiment qui m'en demeure.
I’eſtois ſi petite, & elle m’a fait ſi grande, que ie me meſconnoiſtrois moy meſme, ſi ie ne portois touſiours auec la qualité de Reine, celle de voſtre Subiette.	J'étais si petite, et elle m'a fait si grande, que tu me méconnaîtrais moi -même, si ici ne portais toujours avec la qualité de Reine, celle de votre Subiette.
Ma Fortune eſtoit ſi baſſe, & vous l’auez ſi haut eſleuée;	Ma Fortune était si basse, et vous l'avez si haut élevée;
que ſon éclat m’ébloüiroit, ſi ie ne deſcendois iouuent de mon arome dalis mon imagination & dans ma penſée, pour me ietter à vos pieds, en reconnoiſſance de tant de graces.	que son éclat m'éblouirait, si je ne descendais jouvent de mon arôme dalis mon imagination et dans ma pensée, pour me jeter à vos pieds, en reconnaissance de tant de grâces.
