A MADAME DE BONNELLE.	À MADAME DE BONELLE.
CRISAVRE.	CRISAURE.
Non, ie te le promets.	Non, Seigneur te le promets.
STREPHON.	STREPHON.
I'auois à vous prier.	J'avais à vous prier.
I’auois vn autre poinct,	J'avais un autre point,
CRISAVRE Mais, dis-moy, voſtre Maiſtre N’en a-t’il rien appris?	CRISAURE Mais, dis-moi, votre Maître N'en a-t-il rien appris?
STREPHON.	STREPHON.
Il n’en fait rien paroiſtre;	Il n'en fait rien paraître;
Il eſt tranquille & net comme vn beau iour d’Eſté, Il me vient de charger d’vne inciuilité;	Il est tranquille et net comme un beau jour d'Été, Il me vient de charger d'une incivilité;
Vous luy pardonnerez, le bon homme vous prie Qu’il puiſſe voir vos bains & voſtre galerie, Il veut ſur ce modele inſtruire ſon Maçon, Pour en faire baſtir de la meſme façon.	Vous avait pardonnerez, le bon homme vous prie Qu'il puisse voir vos bains et votre galerie, Il veut sur ce modèle instruire son Maçon, Pour en faire bâtir de la même façon.
CRISAVRE.	CRISAURE.
Ouy des, des volontiers.	Oui des, des volontiers.
STREPHON.	STREPHON.
Il n’oſoit l’entreprendre.	Il n'osait l'entreprendre.
CRISAVRE.	CRISAURE.
Ma maiſon pour le moins, Strephon, n’eſt pas à vendre.	Ma maison pour le moins, Stréphon, n'est pas à vendre.
Il le ſçait bien.	Il le sait bien.
STREPHON.	STREPHON.
CRISAVRE.	CRISAURE.
Tu peux diſpoſer du logis.	Tu peux disposer du logis.
Mais quel eſt ſon deſſein?	Mais quel est son dessein?
STR PHON.	STR PHON.
Il veut pouruoir ſon Fils, Et luy faire ajuſter promptement pour ſa femme Vn bel appartement, c’eſt le ſoin qui l’enflâme;	Il veut pourvoir son Fils, Et Seigneur faire ajuster promptement pour sa femme Un bel appartement, c'est le soin qui l'enflamme;
Le voſtre a des beautez qu’on ne peut trop vanter, Auſſi voudroit-il bien les pouuoir imiter.	Le vôtre a des beautés qu'on ne peut trop vanter, Aussi voudrait-il bien les pouvoir imiter.
CRISAVRE.	CRISAURE.
Il ſe moque de moy, le mien n’eſt point commode.	Il se moque de moi, le mien n'est point commode.
STREPHON.	STREPHON.
C’eſt le plus beau deſſein, & le plus à la mode.	C'est le plus beau dessein, et le plus à la mode.
CRISAVRE.	CRISAURE.
Non, il a des defauts qu’on ne ſçauroit cacher, Vous ſeriez les premiers à me les reprocher;	Non, il a des défauts qu'on ne saurait cacher, Vous seriez les premiers à me les reprocher;
Le Soleil y répand ſa lumiere a toute heure, Ilen eſt importun.	Le Soleil y répand sa lumière a toute heure, Ilen est importun.
STREPHON.	STREPHON.
L’agreable demeure!	L'agréable demeure!
CRISAVRE.	CRISAURE.
Non, non, elle n’a point ces belles qualitez.	Non, non, elle n'a point ces belles qualités.
STREPHON.	STREPHON.
Il brule de deſir d’admirer ſes beautez.	Il brule de désir d'admirer ses beautés.
Luy promettrez-vous pas d’en repaiſtre ſa veuë?	Lui promettrez-vous pas d'en repaître sa vue?
CRISAVRE.	CRISAURE.
Oüy certe, & volontiers, s’il la trouue pourueuë De quelques ornemens dont vous puiſſiez vſer, Il eſt chez moy le maiſtre, il en peut diſpoſer.	Oui certe, et volontiers, s'il la trouve pourvue Pourvue quelques ornements dont vous puissiez user, Il est chez moi le maître, il en peut disposer.
STREPHON.	STREPHON.
Ie vais donc l’appeller:	Je vais donc l'appeler:
Mon Maiſtre, ô Periandre?	Mon Maître, ô Périandre?
bas.	bas.
Que l’on vante par tout les beaux faits d’Alexadre, Ie les mets au deſſous des exploits d’vn valet.	Que l'on vante par tout les beaux faits d'Alexadre, Je les mets au dessous des exploits d'un valet.
Voicy mon ſecond Aſne, ou mon ſecond Mulet, Ie m’envais le baſter, mais d’vn baſt d’importance;	Voici mon second Âne, ou mon second Mulet, Je m'envais le bâter, mais d'un bât d'importance;
C’eſt aſſez, taiſons-nous, Periandre s’auance.	C'est assez, taisons-nous, Périandre s'avance.
PERIANDRE.	PERIANDRE.
Hé bien, que dit Criſaure?	Hé bien, que dit Crisaure?
eſtoit-il empeſché?	était-il empêché?
STREPHON.	STREPHON.
Mille penſers faſcheux le tenoient attaché, Il ne peut digerer dans ſon ame abatuë Le marché qu’il a fait, c’eſt vn coup qui le tuë.	Mille pensers fâcheux le tenaient attaché, Il ne peut digérer dans son âme abattue Le marché qu'il a fait, c'est un coup qui le tue.
PERIANDRE.	PERIANDRE.
Pourquoy le faiſoit-il?	Pourquoi le faisait-il?
STREPHON.	STREPHON.
O Dieux qu’il eſt faſché;	Ô Dieux qu'il est fâché;
Il m’offre cinq cens francs pour rompre le marché.	Il m'offre cinq cents francs pour rompre le marché.
PERIANDRE.	PERIANDRE.
Ie ne le ferois pas, s’il m’en offroit deux milles.	Je ne le ferais pas, s'il m'en offrait deux mille.
STREPHON.	STREPHON.
Il pleure de regret.	Il pleure de regret.
PERIANDRE.	PERIANDRE.
Les pleurs ſont inutiles, Puis qu’il a fait marché, ie la veux poſſeder.	Les pleurs sont inutiles, Puis qu'il a fait marché, ie la veux posséder.
S’il la trouuoit ſi rare il la deuoit garder.	S'il la trouvait si rare il la devait garder.
amons ton lamanon.	amons ton lamanon.
STREPHON.	STREPHON.
Cnſaure eſt à la porte;	Cnsaure est à la porte;
Voyez, il vous attend.	Voyez, il vous attend.
h25 Le plaiſir le tranſporte.	h25 Le plaisir le transporte.
àCrij.	àCrij.
Monſieur, voicy mon Maiſtre.	Monsieur, voici mon Maître.
CRISAVRE.	CRISAURE.
Il eſt le bien venu.	Il est le bien venu.
2 Per Crete, mon cher voiſin, vous a bien retenu:	2 Per Crete, mon cher voisin, vous a bien retenu:
Mais enfin, grace aux Dieux, apres vn long voyage, Vous baiſez en repos voſtre natal riuage.	Mais enfin, grâce aux Dieux, après un long voyage, Vous baisez en repos votre natal rivage.
PERIANDRE.	PERIANDRE.
Oüy, grace à ces bons Dieux, enfin ils ont permis Moutetour en ces lleux pour ſeruir mes amis.	Oui, grâce à ces bons Dieux, enfin ils ont permis Moutetour en ces lleux pour servir mes amis.
Vous en eſtes du nombre.	Vous en êtes du nombre.
CRISAVRE.	CRISAURE.
Ha!	Ha!
ce diſcours m’honore:	ce discours m'honore:
Mais voulez-vous pas voir le logis?	Mais voulez-vous pas voir le logis?
PERIANDRE.	PERIANDRE.
Oüy, Criſaure, Au moins ſi l’on le peut ſans vous incommoder.	Oui, Crisaure, Au moins si l'on le peut sans vous incommoder.
CRISAVRE.	CRISAURE.
l’on n’incommode point où l’on peut cõmander.	l'on n'incommode point où l'on peut commander.
Le logis eſt à vous.	Le logis est à vous.
STREPHON bas à Periandre.	STREPHON bas à Périandre.
Au moins ie vous ſupplie N’aigriſſez point ſa bile & ſa melancolie;	Au moins ici vous supplie N'aigrissez point sa bile et sa mélancolie;
Il eſt au deſeſpoir du marché qu’il a fait, N’en parlez point du tout.	Il est au désespoir du marché qu'il a fait, N'en parlez point du tout.
PERIANDRE.	PERIANDRE.
Ie n’ay garde, en effet Ie ſerois inciuil.	Je n'ai garde, en effet Je serais incivil.
CRISAVRE.	CRISAURE.
Vſez-en librement.	Vsez-en librement.
Entrez, il eſt tout voſtre,	Entrez, il est tout votre,
PERIANDRE bas.	PERIANDRE bas.
Quel bonheur eſt le noſtre!	Quel bonheur est le nôtre!
Que Liſtan auiourd’huy m’oblige puiſſamment!	Que Listan aujourd'hui m'oblige puissamment!
CRISAVRE.	CRISAURE.
Voudriez-voꝰ point vn guide, vſez-en frãchement, nelogu dicà vous.	Voudriez-voꝰ point un guide, vsez-en franchement, nelogu dicà vous.
PERIANDRE.	PERIANDRE.
Ie le ſçay d’aſſeurance, Mais ie n’en dois vſer qu’auecques déference.	Je le sais d'assurance, Mais je n'en dois user qu'avecques déférence.
CRISAVRE.	CRISAURE.
Il eſt voſtre, vſez-en ſans aucun compliment, Il eſta vous enfin.	Il est notre, vsez-en sans aucun compliment, Il esta vous enfin.
PERIANDRE.	PERIANDRE.
Ie le ſçay conſtamment.	Je le sais constamment.
STREPHON à Pu Indre tausbus Au moins en ma faueur cachez voſtre alegreſſe, Et ne redoublez pas ſa fievre & ſa triſteſſe;	STREPHON à Pu Indre tausbus Au moins en ma faveur cachez votre alégresse, Et ne redoublez pas sa fièvre et sa tristesse;
Ne l’entretenez point du prix ny du marché.	Ne l'entretenez point du prix Seigneur du marché.
PER IANDRE.	PER IANDRE.
Ie n’ay garde, Strephon.	Je n'ai garde, Stréphon.
STREPHON.	STREPHON.
O Dieux!	Ô Dieux!
qu’il eſt faſché.	qu'il est fâché.
PERIANDRE.	PERIANDRE.
Ie m’en apperçoy bien.	Je m'en aperçois bien.
CRISAVRE crie à ſes valets.	CRISAURE crie à ses valets.
Quelqu’vn?	Quelqu'un?
hola Leandre?	holà Léandre?
Conduiſez au logis le Seigneur Periandre, Et qu’on luy faſſe voir le neuſ appartement.	Conduisez au logis le Seigneur Périandre, Et qu'on avait fasse voir le neus appartement.
PERIANDRE.	PERIANDRE.
non;	non;
Phuj orch tout ſeul.	Phuj orch tout seul.
CRISAVRE.	CRISAURE.
Vſez-en librement, Commandez-y par tout, vous en eſtes le maiſtte.	Vsez-en librement, Commandez-y par tout, vous en êtes le maistte.
PERIANDRE.	PERIANDRE.
Taunmeies deors.	Taunmeies deors.
STREPHON à Periandre.	STREPHON à Périandre.
Ils vous font bien paraiſtre Qu’il eſt dans les dedans ajuſté comme il faut.	Ils vous font bien paraître Qu'il est dans les dedans ajusté comme il faut.
CRISAVRE.	CRISAURE.
Viſitez, Periandre, & le bas & le haut.	Visitez, Périandre, et le bas et le haut.
PERIANDRE.	PERIANDRE.
Que ce portail eſt beau!	Que ce portail est beau!
Dieux qu’il eſt magnifique!	Dieux qu'il est magnifique!
Eſt-il Cornitnien, ou bien d’ordre Dorique?	Est-il Cornitnien, ou bien d'ordre Dorique?
Il m’a charmé les yeux, ie le veux obſeruer.	Il m'a charmé les yeux, tu le veux observer.
CRISAVRE.	CRISAURE.
Auſſi couſta-t’il bon pour lefaire éleuer.	Aussi coûta-t-il bon pour lefaire élever.
STREPHON à Periandre.	STREPHON à Périandre.
Auſſi couſta-t’il bon, eſcoutez les tendreſſes;	Aussi coûta-t-il bon, écoutez les tendresses;
Il va mourir d’ennuy.	Il va mourir d'ennui.
PERIANDRE.	PERIANDRE.
Va, ie plains ſes foibleſſes;	Va, Seigneur plains ses faiblesses;
Plus ie voy le logis, & plus i’en ſuis rauy.	Plus ie vois le logis, et plus j'en suis ravi.
STREPHON.	STREPHON.
Trois Marchands en offroient de l’argent à l’enuy;	Trois Marchands en offraient de l'argent à l'ennui;
Mais ie conclu pour vous.	Mais ici conclu pour vous.
PERIANDRE.	PERIANDRE.
O l’heureuſe auanture!	Ô l'heureuse aventure!
O le parfait logis!	Ô le parfait logis!
l’admirable ſtructure!	l'admirable structure!
CRISAVRE.	CRISAURE.
En eſtes-vous content?	En êtes-vous content?
PERIANDRE.	PERIANDRE.
Oüy certe auec raiſon.	Oui certe Roi raison.
CRISAVRE.	CRISAURE.
Entrez, & viſitez le cœur de la maiſon.	Entrez, et visitez le cœur de la maison.
Il crie chezluy.	Il crie chezlui.
Ho quelqu’vn conduiſez.	Ho quelqu'un conduisez.
PERIANDRE.	PERIANDRE.
Non, ie vous en conjure Tréue de ces façons, ie les prens pour injure,	Non, Seigneur vous en conjure Trêve de ces façons, Elle les prends pour injure,
CRISAVRE.	CRISAURE.
La maiſon eſt à vous, voyez.	La maison est à vous, voyez.
PERIANDRE.	PERIANDRE.
Ie le ſçay bien.	Je le sais bien.
Entre dedãs, Strephon, & prẽs bien garde au chien	Entre dedans, Stréphon, et prends bien garde au chien
STREPHON.	STREPHON.
Il dort, ne craignez point.	Il dort, ne craignez point.
PERIANDRE.	PERIANDRE.
Voy s’il eſt à la cheſne.	Vois s'il est à la chaîne.
CRISAVRE.	CRISAURE.
Vous y pouuez paſſer ſans frayeur & ſans peine, Il ne mordit iamais, il ne ſçait que japper.	Vous y pouvez passer sans frayeur et sans peine, Il ne mordit jamais, il ne sait que japper.
PERIANDRE.	PERIANDRE.
Attache-lé, Strephon, qu’il ne puiſſe échapper.	Attache-lé, Stréphon, qu'il ne puisse échapper.
STRÉPHON.	STRÉPHON.
Que vous eſtes poltron:	Que vous êtes poltron:
entrez ſans défiance.	entrez sans défiance.
PERIANDR.	PERIANDR.
C’eſt ce chien ſen ment qui ſait ma repugnance Entrons, ie le veux bien, mais ne me quitte pas.	C'est ce chien sen ment qui sait ma répugnance Entrons, personne le veux bien, mais ne me quitte pas.
STREPHON.	STREPHON.
Vous me verrez ſans ceſſe attaché ſur vos pas.	Vous me verrez sans cesse attaché sur vos pas.
Fin du troiſiéme Acte.	Fin du troisième Acte.
TE T SCENE PREMIERE.	TE T SCÈNE PREMIÈRE.
STREPHON, PERIANDRE.	STREPHON, PERIANDRE.
STREPHON.	STREPHON.
E' bien, qu’en dites-vous, Monſieur?	E' bien, qu'en dites-vous, Monsieur?
que IT vous en ſemble?	que IT vous en semble?
PERIANDRE.	PERIANDRE.
Icy la cymmetrie à la grace s’aſſemble, Icy l’art m’a fait voir de merueilleux e Ete.	Ici la cymettrie à la grâce s'assemble, Ici l'art m'a fait voir de merveilleux é Te.
que mes yeux, cher Strephon, ont eſté ſat sſaits;	que mes yeux, cher Stréphon, ont été sat saits;
Ha que i’en ſuis content:	Ha que j'en suis content:
STRPHON.	STRPHON.
Et le prix de la vente e trouuez-vous trop haut?	Et le prix de la vente e trouuez-vous trop haut?
FRIANDRE.	FRIANDRE.
Ne crains pas que i’intente, our le diminuer, ny cauſe ny procez:	Ne crains pas que j'intente, our le diminuer, ni cause fort procès:
e n’eſt qu’en la beauté que ie voy de l’excés.	Je n'est qu'en la beauté que je vois de l'excès.
STREPHON.	STREPHON.
luez-vous remarqué ces belles baluſtrades.	luez-vous remarqué ces belles balustrades.
es eſtuues, ces bains, & ces riches façades, es pilaſtres pompeux, & ſi bien arrangez?	es estuues, ces bains, et ces riches façades, ès pilastres pompeux, et si bien arrangez?
PERIANDRE.	PERIANDRE.
Empereurs Romains n'.	Empereurs Romains n'.
ſtoiet pas mieux logez Il n’en a pas payé ſeulement le portique.	stoyet pas mieux logez Il n'en a pas payé seulement le portique.
STREPHON.	STREPHON.
Il u'en a pas payé ſeulement vne brique;	Il u'en a pas payé seulement un brique;
C’eſt vn tres-grand marché.	C'est un très-grand marché.
PERIANDRE.	PERIANDRE.
Tres-grand, certainement, I'en ſuis tout hors de moy.	Très-grand, certainement, J'en suis tout hors de moi.
Si tout preſentement Criſaure me donnoit deux fois encor ma ſomme, Ie la refuſerois.	Si tout présentement Crisaure me donnait deux fois encor ma somme, Je la refuserais.
STREPHON.	STREPHON.
Vous parlez en braue homme.	Vous parlez en brave homme.
Mais vous n’auez enfin cette obligation, PERIANDRE.	Mais vous n'avez enfin cette obligation, PERIANDRE.
Que tu fis lors, Strephon, vne belle actiont Ne doute pas auſſi quę ie ne m’en ſouuienne.	Que tu fis lors, Stréphon, une belle actiont Ne doute pas aussi qu' âme ne m'en souvienne.
STREPHON.	STREPHON.
Al’affranchiray vous point?	Al'affranchirai vous point?
PERIANDRE.	PERIANDRE.
Si la mai on eſt mienne, Tu te peux aſſeurer d’auoir la liberté.	Si la mai on est mienne, Tu te peux assurer d'avoir la liberté.
STREPHON.	STREPHON.
En doutez-vous encore?	En doutez-vous encore?
en auez-vous douté?	en avez-vous douté?
I’en ay payé l'argent, ie l’ay pris de Cleandre;	J'en ai payé l'argent, Elle l'ai pris de Clandre;
Ce ſont les mille eſeus que vous luy deuez rendr Criſaute les toucha, que voulez-vous de plus?	Ce sont les mille eseus que vous lui devez rendr Crisaute les toucha, que voulez-vous de plus?
PERIANDRE.	PERIANDRE.
De ioye & de plaiſirmes ſens ſont ſuſpendus;	De joie et de plaisirmes sens sont suspendus;
Pardonne-moy, Strephon, cette fortune eſt Qu’elle a quaſi rendu mon eſprit infidelle.	Pardonne-moi, Stréphon, cette fortune est Qu'elle a quasi rendu mon esprit infidèle.
STREPHON.	STREPHON.
Vous n’en douterez plus quand vous y logerez;	Vous n'en douterez plus quand vous y logerez;
Mas pour les m'ile ecus-.	Mas pour les m'il us-.
PERIANDRE.	PERIANDRE.
Ils ſont bien aſſeurez;	Ils sont bien assurés;
Ne t'ẽ mets point en peine, auãt que ie me couche, Ie veux abſolument que Cleandre les touche.	Ne t'en mets point en peine, avant que personne me couche, Je veux absolument que Clandre les touche.
STREPHON.	STREPHON.
Si vous le trouuez bon, ie les luy porteray.	Si vous le trouvez bon, On les porte porterai.
PERIANDRE.	PERIANDRE.
Laiſſe m’en le ſoucy;	Laisse m'en le souci;
va, va, i’y pouruoiray.	va, va, j'y pourrai.
STREPHON.	STREPHON.
Pourriez-vous conceuoir la moindre défiance.	Pourriez-vous concevoir la moindre défiance.
PERIANDRE.	PERIANDRE.
Nõ pas cela, Strephon;	Nom pas cela, Stréphon;
mais pour plus d’aſſeurãce, Et pour plus de repos, ie les luy veux porter.	mais pour plus d'assurance, Et pour plus de repos, Elle les lui veux porter.
STREPHON.	STREPHON.
Il ſuion de moy pour vous en acquiter:	Il suon de moi pour vous en acquititer:
Iuſqu’icy, grace aux Dieux, ma foy vous eſt cõnuë, Et vous auez pû voir mon ame toute nuë;	Jusqu'ici, grâce aux Dieux, ma foi vous est cõnuë, Et vous avez pu voir mon âme toute nue;
lous n’auez pas ſujet de vous plaindre de moy.	lous n'avez pas sujet de vous plaindre de moi.
PERIANDRE.	PERIANDRE.
uſſi n’ay-je pas trop pris de creance en toy.	ussy n'ai-je pas trop pris de créance en toi.
STREPHON.	STREPHON.
que vous eſtes ingrat à tous mes bons oſſices!	que vous êtes ingrat à tous mes bons ossices!
PERIANDRE.	PERIANDRE.
Nõ, n6, ie m’en ſouuiẽs, mais ie crains les malices:	Nom, n6, ie m'en souuiẽs, mais tu crains les malices:
aſqu’icy, grace aux Dieux, ie t’ay mis en defaut, e veux continuer.	asqu'ici, grâce aux Dieux, tu t'ai mis en défaut, e veux continuer.
STREPHON.	STREPHON.
C’eſt préuoir comme il faut.	C'est prévoir comme il faut.
PERIANDR.	PERIANDR.
a ſomme en ce rencontre eſt aſſez d’importance, qui menite bien vn peu de preuoyance.	a somme en ce rencontre est assez d'importance, qui menite bien un peu de prévoyance.
STREPHON.	STREPHON.
Tout comme il vous plaira.	Tout comme il vous plaira.
PERIANDRE.	PERIANDRE.
Mais, Sttephon, va chercher Mon Fils, & promptement, va-t’en luy reprocher Que mon heureux retour luy donne peu de ioye, Et qu’il eſt pareſſeux quand le Ciel me renuoye;	Mais, Stéphon, va chercher Mon Fils, et promptement, va-t-en cy reprocher Que mon heureux retour lui donne peu de joie, Et qu'il est paresseux quand le Ciel me renvoie;
Ne reuiens point ſans luy, ie ne m’en puis paſſer.	Ne reviens point sans lui, ie ne m'en puis passer.
