A ROVEN, Chez THEODORE REINSART, pres le Palais, à l’Homme Aimé.	A ROUEN, Chez THEODORE REINSART, pres le Palais, à l'Homme Aimé.
» Aimer ou bien hair du tout ouuertement 9, Vn magnanime cœur temoigne enticrement.	" Aimer ou bien haïr du tout ouvertement 9, Un magnanime cœur témoigne enticrement.
Barcee.	Barcée.
2, Cacher ſa volonté la fraude & tromperie, „, Sent ent vne ame baſſe, en malice nourrie.	2, Cacher sa volonté la fraude et tromperie, „, Sent ent une âme basse, en malice nourrie.
Peredee.	Pèredée.
Mi fille, ma mignonne, & mon parfait ſoulas, Iamais de t’honorer tu ne me verras las, Que puiſſay-ie tomber au creux Acherontide Si iamais (ô beauté) tu me counois perſide.	Mi fille, ma mignonne, et mon parfait soûlas, Jamais de t'honorer tu ne me verras las, Que puissai-je tomber au creux Acherontide Si jamais (ô beauté) tu me counais perside.
Et ſi ie pry encor le puiſſant lupiter De ſon ſoudre beiſtint mon chef acrauanter Auſſi test que i’auray ma deuote penſee A d’autre obi et qu’à toy traitrenſement dreſſes, Mou ane et trop captiue en ſi belle priſon.	Et si ici pri encor le puissant lupiter De son soudre beistint mon chef acravanter Aussi test que j'aurai ma dévote pensée A d'autre objet et qu'à toi traitrensement dresses, Mou ane et trop captive en si belle prison.
Barcee.	Barcée.
Tes propos ont touſiours domné ma raiſon De ta ſi lelité nullement je n’ignore, Ta estout ſcul außi qu’en mon ame i’alore.	Tes propos ont toujours domné ma raison De ta si lelité nullement je n'ignore, Ta estout scul aussi qu'en mon âme j'alore.
Peredee.	Pèredée.
O parole agreable!	Ô parole agréable!
hé Dueu mon petit cœir Combien ton æ l bruſtint s'est rendu mon vainqueur!	hé Duv mon petit cœir Combien ton æ l brustint 'est rendu mon vainqueur!
Ie me paſme de ioye, & ton ame s'ennolle Dans ton ſein pommeleux au bal de ta parolle.	Je me pâme de joie, et ton âme s'ennolle Dans ton sein pommeleux au bal de ta parole.
Ma peute Angeline, encor rebaiſe moy Tu me peux accather toute ſorte d’eſmoy.	Ma peute Angeline, encor rebaise moi Tu me peux accather toute sorte d'émoi.
Que pu ſſay je touſiours egreable mignonne Ioüir de la faueur qu’auiourd’huy tu me donne.	Que pu sais je toujours égréable mignonne Ioüir de la faveur qu'aujourd'hui tu me donne.
Apres auoir cueilli ce doux anoureux fruit Ie le veux dans mou cœur ſauourer iour & nuit, Allons paſſer le temps mignarde colombelle, Mesdelices, mon teut, mon bien, ma toute belle.	Après avoir cueilli ce doux anoureux fruit Je le veux dans mou cœur savourer jour et nuit, Allons passer le temps mignarde colombelle, Mesdelices, mon teut, mon bien, ma toute belle.
Allons encor cueillir cette agreable fleur.	Allons encor cueillir cette agréable fleur.
Que l'Amour nous fait naiſtre, & neſtre aage eſBarcee.	Que l'Amour nous fait naître, et nêtre aage esBarcee.
Inai	Inai
l'eiedee.	l'eiedee.
C’eſt que de ton amour ie ſe is trop Idolaire.	C'est que de ton amour Dieux se is trop Idolaire.
Barcee.	Barcée.
Ce qui est tant commun est en fn prophané.	Ce qui est tant commun est en fn prophané.
Teredee.	Teredee.
Non ce riche threſor qui u'est ubandonné, Dont quand ie ſuis abſent, (tout à l’instant ie meue Que mon ame, & mou cœur ſont clez luy leur diMus ie te pnj' mabelle, allous donc vistement  Iouir à nostre gré de ce contentement, Car tout raut ie bruſle, & catte ardente ſlame Que tu peux moderer me conſumeroit l’aue.	Non ce riche thresor qui u'est Ubandonné, Dont quand femme suis absent, (tout à l'instant ie meue Que mon âme, et mou cœur sont clé même leur divis ainsi te pnj' mabelle, allous donc vite Jouir à notre gré de ce contentement, Car tout raut Car brûle, et catte ardente sle Quetu peux modérer me consumerait l'aue.
Baicee.	Baicée.
Pour te montrer touſiours combien i’ay de deſir En tout e occaſion te faire du plaiſir Ie veux à ton vouloir außi toſt ſuisſaire, Il faut donques d'ici promtement nous distraire Pour aller en vn lieu veuf de toute clarté, Qui ſoit außti de bruit, & ſoupçon écarté.	Pour te montrer toujours combien j'ai de désir En tout e occasion te faire du plaisir Je veux à ton vouloir aussi tôt suissaire, Il faut donc d'ici promitement nous distraire Pour aller en un lieu veuf de toute clarté, Qui soit aussi con bruit, et soupçon écarté.
La Reine a maintenans vne importante afaire E me donne loiſic ores de te complarre:	La Reine a maintenants une importante afaire E me donne loisic ores de te complarre:
Iεδαη, ſon Cabinet pourtons paſſer le tems, treudre tes deſirs par ce mo en contens.	Jon, son Cabinet pourtons passer le temps, trouvdre tes désirs par ce mo en contents.
e m'en vay mon cher cœir de te pas t’y atendre, Ie tarde douc beaucoup venic ton plaſir prendre.	Je m'en vais mon cher cœir de te pas t'y atendre, Je tarde douc beaucoup venic ton plasir prendre.
POLYCRITE.	POLYCRITE.
Stres qui ſlunboyez laus les Saphirs voûez.	Stres qui slunboyez laus les Saphirs vouez.
Hous derez limuen devo, beilo clanez.	Hous derez limuen devo, beilo clanez.
Et de qui nous voions l’ordinare inſluence Nous incliner au vice, ou bien à la prudence.	Et de qui nous voyons l'ordinare insluence Nous incliner au vice, ou bien à la prudence.
Soleil pere du lour!	Soleil père du lour!
Diane au front d’argent Quit noraehiturro polai de ſommeil charge.	Diane au front d'argent Quit norahiturro polai de sommeil charge.
nt.	naît.
Avez vous coeſpre la raine toalle Du grand Roy des Iombards, & de ſa Court Royalle?	Avez -vous coêpre la raine talle Du grand Roi des Jombards, et de sa Court Roialle?
Prenieitez vous dreſſec vn tel preparatif Pour le rendre bien toſt mnalheureux, & chetiſ?	Preniez -vous dressec un tel préparatif Pour le rendre bien tôt mnalheureux, et chétis?
Le ſoct eſt il laße de voir ſa vre heureuſe Pour le reudre batin de la Parque ludeuſe?	Le souct est il lasse de voir sa vre heureuse Pour le revdre batin de la Parque ludeuse?
O Pere des hamaias!	Ô Père des hamaias!
letoume le me hef Qui ſemble deſusteeux menæcer ſou baus chef.	letoume le me héf Qui semble désusteeux menæcer sou baus chef.
Apres qu’il s'eſt fait jour au trauers des annees, DO MOIS, & des Suſons aux Courſes empennees, Pic ſes genereux faits, belas !	Après qu'il s'est fait jour au travers des années, DO MOIS, et des Susons aux Courses empennées, Pic ses généreux faits, bêlas !
ehangeant deſtin Le rendras tu peruees d Atrope le batin.	Ehangeant destin Le rendras tu pervées d' Ope le batin.
Ie preuoy ie preuoy pourett e bien peu ſage De ſa ſemme, ou de luy quelque boroible carngge, Cur depuis quelques iours Roſemonde n’a ven Que de mille penſers ſon eſprit tout repen.	Je prévois autre preuai pourett -elle bien peu sage De sa semme, ou de peine quelque boroible carngge, Cur depuis quelques jours Rosemonde n'a ven Que de mille pensers son esprit tout répen.
M ilheureuſe eile ourdit ne ſç iy quelles menées &t contre ſon deſein ſe verront te minées.	M ilheureuse eile ourdit ne sais ji quelles menées ett contre son désein se verront te minées.
Elle braſſe en ſoa cœur à vengeance adonné Germe de ſes malheurs, vn deſir efrené » Et parce que touſiours c’eſt le propre du vice „2 En engendrer vn autre à tonte heure propice ,, Pour ſa punition, i’augure malgré moy Dieu que i’en ſois trompee, vn eſclandreux eſmoy La talonner de pres, ou qu'vn ſenglant deſaſtre Leur royalle grandeur vienne ſoudain abatre, I’ay taſché tant de fois ſon eſprit diuertir D’vn ſiniſire deſſein ſurieon d’vn repentir, Mais ſon courage enflé d’vne horrible vengeance A touſiours meſpri ſé ces aduis d’import ance, Et c’eff encor pourquoy ſoupçonneuſe ie crains Que ces embuſches ſoient dé leur but fort prochuins Depuis qu’à ce banquet le Royplein d’allegreſſe Se laiſſa tranſporter tellement à l’yureſſe Qu’il la contraguit boire au hanap fait de los Du chefdu Royſon Pere, au froid ſepulchre eucles Ie luy ay veu d’ennuis l’ame ſi tourmentet Qu'vn failli deſ ſprir l’a preſque ſurmontee.	Elle brasse en so eur à vengeance adonné Germe de ses malheurs, int des éfrené " Et parce que toujours c'est le propre du vice „2 En engendrer un autre à ton heure propice ,, Pour sa punition, j'augure malgré moi Dieu que j'en sois trompée, Un éclandreux émoi La talonner de pres, ou qu'-dire senglant des Leur royalle grandeur vienne soudain abatre, J'ai tâché tant de fois son esprit diuertir Aux sinisiredessein surieon s'un repentir, Mais son courage enflé d'une horrible vengeance A tousiours y ces aduis import ance, Et ô pourquoi soupçonneuse ie ran Que ces embûches soient leur but fort prochuins Depuis ce banquet le Royplein allégresse Se laissa transporter tellement ivresse il la ç boire A hanap fait de Du chefduRoyson Pere, ou froid sepulchre eucles Ie lui ay ennuis âme si tourmentet Qu' failli de sprir la presque surmontée'
Et n'estoit quelle ourdit vn Træique deſſein, D’vn poignard homicide elle eust ouuert ſon ſein, Elle ſait ô meſchef!	Et n'était quelle ourdit un Træique dessein, D'un poignard homicide elle eût ouvert son sein, Elle sait ô mèches!
elle ſuit inſenſee De venģeance vn deſic qui nourrift ſa penſee.	elle suit insensée De vengeance un désic qui nourrît sa pensée.
I’ay peur, ie crain, ie doute, & iuge dans mon tas Vn ſuneſte accident d’vne t'elle rancueur, Peredee, Alinachilde, & la poure Barcee Auec elle ont deſia la partie dreſſee, Onc elle n’a voulu domter ſapaſuon, Encor moins receuoir de conſolation.	J'ai peur, ie crain, on doute, et juge dans mon tas Venn suneste accident d'une t'elle rancueur, Pèredée, Alinachille, et la pôvre Barcée Avec elle ont déjà la partie dressée, Onc elle n'a voulu dompter sapasuon, Encor moins recevoir de consolation.
Tout conſeil luy est nul, toute aide elle reiette, Et couri ou ſon penſer laconduit indiſcreite.	Tout conseil cause est nul, toute aide elle rejette, Et couri ou son penser laconduit indiscréite.
Elle fait ioug à l’ire, au couroux, & au dueil	Elle fait joug à l'ire, au courroux, et au deuil
rtistes, Menuiſiersd'vn funereux cercueil.	rîtes, Ménuisiersd'un funreux cercueil.
De l’imbecilité nous ſommes bien l’exemple, D'ennais vn labyrinthe, vn champde tristeſſe ample, La dépouilledutems, de fortune vn ioü et Quelle tourne ſans ceſſe autour de ſon rouet.	De l'imbecilité nous sommes bien l'exemple, D'ennais un labyrinthe, un champde tristesse ample, La dépouilledutems, de fortune e ioü et Quelle tourne sans cesse autour de son rouet.
Que doy-ie ici reſpondret helas poure chetiue, ois ie mourir auant que ce deſastre arriue?	Que dois-je ici répondret hélas pôvre chétive, ois Seigneur mourir avant que ce désastre arrive?
on tu ne le dou pas, ainçois d'vn maſle cœur Biſter ta maistreſſe en ſon gauche malheur, n qu’elle meſme en ſoit la cruelle origine que dans ce Dedalle à clos yeux s’achemine u'elle ait prus à dedain mes admonitions apables de dompter ſes folles paſtions, t que comme ſemblant deraiſon depourueuë llle ſe precipite en la faſſe taumue.	on tu ne le dou pas, ainçois d'un mâle cœur Bîter ta maîtresse en son gauche malheur, n 'elle même en soit la cruelle origine que dans ce Dédale à clos yeux s'achemine elle ait prus dédain mes admonitions apables de dompter ses folles pâtions, que comme semblant déraison depourueuë llle se precipite en la fasse taumue.
Reſolument iam iisie ne la quitteray.	Résolument jam jisie ne la quitterai.
plus cruel malheur meſmne l’aſtiſteray.	plus cruel malheur mesmne l'astisterai.
A us la voici venir!	A us la voici venir!
hé bon D eu quel eſelandre lur ce Palais Royal ſinistre vadeſcendre, Vn Sceptre, & vne Epec elle tient en ſamiin raſſant quelque grand cas en ſon cœurinbumain:	hé bon D eu quel eselandre lur ce Palais Royal sinistre vadescendre, Un Sceptre, et une Épec elle tient en samiin rassant quelque grand cas en son cœurinbumain:
e me vay retirer en quelque lieu ſeullette our triſte deplorer ceſte prochaine perte.	Je me vais retirer en quelque lieu seullette our triste déplorer cette prochaine perte.
Roſem.	Rosem.
Pered.	Pèred.
Que tu aies donc eutait detemerité D’auoir terui le losde m'epudicite?	Que tu aies donc eutait detemerité D'avoir terui le losde m'épudicite?
Tu auras donc honny de mon mary la couche Et de ſalles baiſers polu machaſte bouche?	Tu auras donc honni de mon mari la couche Et de salles baisers polu machâte bouche?
A lultere impident!	À lulte impident!
telle preſumption Eofontera ſoudain vne ponition.	telle présomption Éofontera soudain une ponition.
plutoſt que d'endurer vne telle inſame, Ie ſentiroy l’eſſoit de la Darque bleſmie.	plutôt que d'endurer une telle insame, Je sentirais l'essait de la Darque blêmie.
Perfide qui n’a craint pour vn ſi court plaiſir Acompagner mies iours d’vn ir ſte déplaiſir.	Perfide qui n'a craint pour un si court plaisir Acompagner mies jours d'un ir sainte déplaisir.
Peredée.	Peredée.
O graud Dieuteut puiſſant, ou eſt or ce tonnerre Qui briſa quelquefois ces Enfaus de la terre?	Ô graud Dieuteut puissant, ou est or ce tonnerre Qui brisa quelquefois ces Enfaus de la terre?
Ou eſt ton foudre ardant?	Ou est ton foudre ardant?
ou ſont ces tourbillous Que rengent de Teihis les plemes par ſeillons, Que mon Chefmnaintenant außi tu ne foudroyes Oi qu’aux d’uſmes creux tout vif tu ne m'enuoyen Pourquoy m’as lu laiße iuſqu’ici viure heureux Pour acablur mon chef ſeuz vis ſoct malheureux?	ou sont ces tourbillous Que rengent de Téihis les plemes par seillons, Que mon Chefmnaintenant aussi tu ne foudroyes Oi qu'aux d’ûmes creux tout vif tu ne m'en Pourquoi m'as lu laisse jusqu'ici vre heureux Pour acablur mon chef seuz mis soct malheureux?
Que ne m'enuoyous tu la uort la plus cruelle Auparauant que d estee à mon Prince infidelle?	Que ne m'envoyous tu la uort la plus cruelle Auparauant que estee mon Prince infidelle?
Et vous Madame & vous Epouſe d’vn grand?	Et vous Madame et vous Épouse d'un grand?
A qui i’aucis garde ſi constammnent ma foy.	À qui j'aucis garde si constamnent ma foi.
Que ne me perciez vous de mille coups de lame Plutost que de commettre vn acte tans inſane?	Que ne me perciez -vous de mille coups de la Plutôt que de commettre un acte tans insane?
Plutost que d’Albeum i’ouſſe le lict ſouillé?	Plutôt que d'Albeum j'ousse le lit souillé?
