A MONSEIGNEVR 10 20 LE PRINCE.	À MONSEIGNEUR 10 20 LE PRINCE.
Salutaire conſeil qui mes projets ſeconde, Et n'en peut receuoir qu’vne gloire ſeconde, Reſolu de briguer à l’épous valeureux, Vn grade qui l’anime & le contente heureux, Qui tire ſon renom de l’ignoble poußiere, Employé quelque part bien loin ſur la frontiere Où ſa femme le ſuyue, éclipſant de mes yeux Ce beau pourtrait fatal aux plus religieux.	Salutaire conseil qui mes projets seconde, Et n'en peut recevoir qu'une gloire seconde, Résolu de briguer à l'épous valeureux, Un grade qui l'anime et le contente heureux, Qui tire son renom de l'ignoble poussiere, Employé quelque part bien loin sur la frontière Où sa femme le suive, éclipsant de mes yeux Ce beau pourtrait fatal aux plus religieux.
Le Comte.	Le Comte.
Plus digne occaſion, plus loüable, plus belle Ne vous ſçauroit venger d’vne dame rebelle, Vindicte que l’épous heureuſe éprouuera, Vindicte que chacun ioyeux approuuera, Comme propre à tirer vn genereux courage, De l’ombre du repoi jaineum quiu ontrage, Ainſi la cauſe atteint;	Plus digne occasion, plus louable, plus belle Ne vous saurait venger d'une dame rebelle, Vindicte que l'épous heureuse éprouvera, Vindicte que chacun joyeux approuvera, Comme propre à tirer un généreux courage, De l'ombre du repoi jaineum quiu ontrage, Ainsi la cause atteint;
mauuaiſe, vn bon effet, Ainſi le commun los payera ce bien-fait.	mauvaise, un bon effet, Ainsi le commun los payera ce bienfait.
Le Marquis.	Le Marquis.
22-22 Beaucoup, faute d’auoir qui leurs vertus appuie, Reſſemblent vn bon champ à qui manque la pluie, Reſſemblent aux boutons qui meurent ſans s’ouurir Alors que le ſoleil ne les peut découurir:	2222 Beaucoup, faute d'avoir qui leurs vertus appuie, Ressemblent un bon champ à qui manque la pluie, Ressemblent aux boutons qui meurent sans s'ouvrir Alors que le soleil ne les peut découvrir:
Déplorable malheur en l’homme que vous dites, Auquel iuſques icy les charges interdites Deuës à ſa valeur trop legitimement, Valeur que d’apparence vne honte dément, Valeur incompatible aux ruſes charlatanes Qui peuuent agrandir ces ames courtiſanes, (tir, Sous ombre de ſçauoir mieux flatter, mieux meaCheZ te Pninit tn teut tnou jaſei au repentir.	Déplorable malheur en l'homme que vous dites, Auquel jusques ici les charges interdites Deus à sa valeur trop légitimement, Valeur que d'apparence une honte dément, Valeur incompatible aux ruses charlatanes Qui peuvent agrandir ces âmes courtisanes, (tir, Sous ombre de savoir mieux flatter, mieux meChés te Pinit teut tou jou jasei au repentir.
Le Comte.	Le Comte.
Maxime indubitable & qui n’a de replique, Et qui le mal connu ſes remedes applique, Vous donc ſecond Hercul, ayant briſé les fers D’vn procez qui le tint captif dans ſes enfers, Faites, interceſſeur, que le Roy fauorable, Le tienne deſormais en rang plus honorable, Sa fortune ne peut qu'illuſtre deuenir, Reconnu ce qu’il eſt d’vn maître à l’auenir.	Maxime indubitable et qui n'a de réplique, Et qui le mal connu ses remèdes applique, Vous donc second Hercul, ayant brisé les fers D'un procès qui le tint captif dans ses enfers, Faites, intercesseur, que le Roi favorable, Le tienne désormais en rang plus honorable, Sa fortune ne peut qu'illustre devenir, Reconnu ce qu'il est d'un maître à l'avenir.
Le Marquis.	Le Marquis.
La moindre occaſion qui le merite offerte, Sans doute du paßé reparera la perte, Mon ſoin particulier l’arrête à ſon profit, Et ta ſimple entrem je ace jaire ſuſſit.	La moindre occasion qui le mérite offerte, Sans doute du passé réparera la perte, Mon soin particulier l'arrête à son profit, Et ta simple entrem je ace jaire sussit.
Or ce iour aſſeZ beau paſſon le tems enſemble, Au vol d’vne perdris, s’entend ſi bon vous ſemble.	Or ce jour assez beau passon le temps ensemble, Au vol d'une perdris, s'entend si bon vous semble.
Le Comte.	Le Comte.
Autre ébat quel qu’il ſoit ne ſe pourroit choiſir, A qui plus volontiers s’adonne mon loiſir, Incliné de nature à la fauconnerie, Qui la tien preferable à toute venerie:	Autre ébat quel qu'il soit ne se pourrait choisir, À qui plus volontiers s'adonne mon loisir, Incliné de nature à la fauconnerie, Qui la tien préférable à toute vénerie:
Le Marquis.	Le Marquis.
Allon, i'ay des oiſeaux & de leurre & de poin, Qui ſans prendre l’eſſor forçent tout au beſoin.	Allon, j'ai des oiseaux et de leurre et de poin, Qui sans prendre l'essor forçent tout au besoin.
SCENE II.	SCÈNE II.
DOM YVAN, FREGONDE, lIadne vnlloD.	DOM YVAN, FREGONDE, lIadne unlloD.
Dom Yuan.	Dom Yvan.
Vlle felicité n’apprõche de la mienne, I L’eſprit libre n’a plus qui captif le détienne, Vn que l’on doit nommer le Phœnix des amis, En ſon calme premier maintenant l’a remis, Vn Heros ſans pareil me redonne la vie, Et me fait triomfer de ce monſtre d’enuie;	Vlle félicité n'approche de la mienne, I L'esprit libre n'a plus qui captif le détienne, Un que l'on doit nommer le Phœnix des amis, En son calme premier maintenant l'a remis, Un Héros sans pareil me redonne la vie, Et me fait triomfer de ce monstre d'envie;
En quoy l’opinion ſiniſtre vous deçeut, Enquoy ma preuoyance vn heureux fruit conçeut, Qu’ores elle recueille à plein recompensée:	En quoi l'opinion sinistre vous déçut, Enquoi ma prévoyance un heureux fruit conçut, Qu'ores elle recueille à plein récompensée:
Tu n'as que repliquer là deſſus, ma pensee, Tu vois que tel bien-fait ne craint de repentir, anque vameni ne panfacamanair.	Tu n'as que répliquer là dessus, ma pensée, Tu vois que tel bienfait ne craint de repentir, anque vameni ne panfacamanair.
Fregonde.	Frégonde.
Certes ie ne voudroy la choſe encor à faire, Et n'auoir neanmoins conſeille le contraire.	Certes ici ne voudrais la chose encor à faire, Et n'avoir néanmoins conseille le contraire.
Dom Yuan.	Dom Yvan.
Comme tu t’acquitas d’vn pudique deuoir, Au deſaſtre pendant le mien me fit pouruoir.	Comme tu t'acquitas d'un pudique devoir, Au désastre pendant le mien me fit pourvoir.
Fregonde.	Frégonde.
Maintesfois le naufrage impitoyable arriue, Antepo que te ouiſſeuu teunt preſque ia riue.	Maintefois le naufrage impitoyable arrive, Antepo que te ouisseunt toujours ja rive.
Dom Yuan.	Dom Yvan.
La femme vertueufe onques n’apprehenda.	La femme vertueuse on n'appréhenda.
Fregonde.	Frégonde.
Et qui peût ſon renom bleſſer ne demanda.	Et qui put son renom blesser ne demanda.
Dom Yuan.	Dom Yvan.
Poutquoy rent faſpeet ut fetgneut magnanime;	Poutquoi rent faspeet ut fetgneut magnanime;
Sans la moindre apparence où cauſe legitime.	Sans la moindre apparence où cause légitime.
Fregonde.	Frégonde.
Certatne impreßion me demeure touſiours, Qui ne fait que s’accroître en la fuite des iours:	Certatne impression me demeure toujours, Qui ne fait que s'accroître en la fuite des jours:
Dom Yuan.	Dom Yvan.
Sur ce ſcrupule vain tu as voulu peut-eſtre, Choiſir loin de la cour vne maiſon champêtre.	Sur ce scrupule vain tu as voulu peut-être, Choisir loin de la cour une maison champêtre.
Tregonde, Mareputation cherche ou ſe conſeruer, Et où le mal préueu ne la puiſſe trouuer.	Trégonde, Mareputation cherche ou se conserver, Et où le mal prévu ne la puisse trouver.
Dom Yuan.	Dom Yvan.
Tu me faits remourir de cette folle crainte, Quel mal te reduirou a jemomoi comrainte?	Tu me faits remourir de cette folle crainte, Quel mal te réduirou a jemomoi comrainte?
l.	l.
Fregonde.	Frégonde.
Celuy, de voir chez nous familier introduit o moupires, dangereux à l’honneur qui le fuit.	Celui, de voir chez nous familier introduit ô moupires, dangereux à l'honneur qui le fuit.
Dom Yuan.	Dom Yvan.
Sa conuerſation te plairoit éprouuée, Et ſans doute à l’inſtant vertueuſe approuuëe.	Sa conversation te plaierait éprouvée, Et sans doute à l'instant vertueuse approuvée.
Fregonde.	Frégonde.
Le bruit me donne plus à craindre que l'effet.	Le bruit me donne plus à craindre que l'effet.
Dom Yuan.	Dom Yvan.
Ombrageuſe, n’offence vn amy ſi parfait, A qui ie te voudroyfier dans même couche.	Ombrageuse, n'offense un ami si parfait, A qui ie te voudraifier dans même couche.
Fregonde.	Frégonde.
Fiance ridicule & bonne à quelque ſouche, comjrutuſiecle en vices foiſonnant, Mais que veut ſi hâtif ce page maintenant?	Fiance ridicule et bonne à quelque souche, comjrutusiecle en vices foisonnant, Mais que veut si hâtif ce page maintenant?
Page.	Page.
Monſeigneur, quelque train de nobleſſe voiſine Qui vous vient viſiter au galop s’achemine, Chaſſeurs en petit nombre & l’oiſeau ſur le poin, Qu’on ne peut diſcerner pour être encore loin.	Monseigneur, quelque train de noblesse voisine Qui vous vient visiter au galop s'achemine, Chasseurs en petit nombre et l'oiseau sur le point, Qu'on ne peut discerner pour être encore loin.
Fregonde.	Frégonde.
O iuſtes cieux trompeZ mon ſiniſtre preſage.	Ô justes cieux trompez mon sinistre présage.
Dom Yuan.	Dom Yvan.
Vne frayeur de mort peinte ſur ton viſage, Meßied à l’action preſente & au deuoir, Ores qu’il faut gayment ſes hôtes receuoir, Va là dedans ma vie attendre leur venuë, Ta face de triſteſſe ainſi que l’âme nuë, I’iray tandis l’acueil au grade meſurer, Qui d’inciuil ne veuxle reproche endurer.	Une frayeur de mort peinte sur ton visage, Messied à l'action présente et au devoir, Ores qu'il faut gaîment ses hôtes recevoir, Va là dedans ma vie attendre leur venue, Ta face de tristesse ainsi que l'âme nue, J'irai tandis l'acueil au grade mesurer, Qui d'incivil ne veule reproche endurer.
2	2
SCENE III.	SCÈNE III.
INAN TROVPE DI f *	INAN TROUPE DI f *
Sinan.	Sinan.
I N belliqueux exploit, compagnons, nous at pelle A l’heureuſe moiſſon de ſa gloire immortelle, Exploit que le ſilence important au deſſein, M’a tenu ſous ſa clefreclus dedans le ſein, Car tout chefindiſcret en matiere de guerre, En ſon bruit ſans effet imite le tonnerre, Imite ces torrens effroyables d’abord, Mais dont la cheute romt & l’orgueil & l’effort:	I N belliqueux exploit, compagnons, nous at pelle A l'heureuse moisson de sa gloire immortelle, Exploit que le silence important au dessein, M'a tenu sous sa cléfreclus dedans le sein, Car tout chefiniscret en matière de guerre, En son bruit sans effet imite le tonnerre, Imite ces torrents effroyables d'abord, Mais dont la chute romt et l'orgueil et l'effort:
Ores l’occaſion fauorable attenduë, Par le tems à ſon point ſelon mes vœux renduë, Permet que vous ſcachiez, inuincibles guerriers, Le champ où ma conduite augmente vos lauriers, Ou la gloire Ottomane éclorra ſa lumiere, Et où vôtre valeur la portera premiere, Ou la Calabre peut du iour au lendemain, Adioûter au croiſſant l’antique aigle romain, Aſſeruie vne fois, les Gaules, les Eſpagnes Prennent le frein de nous voiſines & compagnes, L'Aleman, le Sarmate en ſuite ſubiuguez, d di lienee dacu F .	Ores l'occasion favorable attendue, Par le temps à son point selon mes vœux rendue, Permet que vous sachiez, invincibles guerriers, Le champ où ma conduite augmente vos lauriers, Ou la gloire Ottomane éclorra sa lumière, Et où votre valeur la portera première, Ou la Cabre peut du jour au lendemain, Adiouter au croissant l'antique aigle romain, Asservie une fois, les Gaules, les Espagnes Prennent le frein de nous voisines et compagnes, L'Aleman, le Sarmate en suite subiuguez, d' Ale à son LIen
Peuples l’vn contre l’autre à cette heure liguez, Vray moyen d’acheuer ſans peine l’entrepriſe:	Peuples l'un contre l'autre à cette heure liguez, Vrai moyen d'achever sans peine l'entreprise:
Ainſi qu’on a touſiours en la diſcorde épriſe Des Chrêtiens inſenſez nôtre empire étendu, Plus qu'où la force ouuerte, a le ſang répandu.	Ainsi qu'on a toujours en la discorde éprise Des Chrétiens insensés notre empire étendu, Plus qu'où la force ouuerte, a le sang répandu.
Troupe.	Troupe.
Pourſuy, braue Heros, ta pointe genereuſe, Certains de proſperer ſous ta conduite heureuſe, Nous ne connoiſſons point d’ennemis aſſez fors, Qui puiſſent ſoûtenir nos foudroyans effors, Nous ne connoiſſons point de perils à ta ſuite, Car ta dextre, affrontez, ſoudain les met en fuite, D’ailleurs, ta préuoyance outrepaſſe l’humain, dique de jeapieſtis aemrne amde cai Si qu’auec vn tel chefon court à la victoire, Qu'auec toy le butin accompagne la gloire.	Pours, brave Héros, ta pointe généreuse, Certains de prospérer sous ta conduite heureuse, Nous ne connaissons point d'ennemis assez fors, Qui puissent soutenir nos foudroyans essors, Nous ne connaissons point de périls à ta suite, Car ta dextre, affrontés, soudain les met en fuite, D'ailleurs, trouva prévoyance outrepasse l'humain, dique de jeapiétis aemrne amène a Si c'avec nos tel chefon court à la victoire, Qu'avec toi le butin accompagne la gloire.
Sinan.	Sinan.
Faites état, ſoldats, que le paßé n’eſt rien, Que mes autres explois, moins qu’vne ombre ie 2 tien Ce dernier comparé qui le luſtre leur donne, Qui l’ouurage en ſa fin glorieuſe, couronne, Allon donc reſolus de ne démordre pas, Plûtôt qu’vn deshonneur, ſouffrir mille trépas, Le principal icy conſiſte en la ſurpriſe, Et que chacun ſa vie indomtable mépriſe, Et que chacun ſon ſang auiſe à n’épargner, Lors qu’il faudra l’abord ſur les Chrêtiens gaigner.	Faites état, soldats, que le passé n'est rien, Que mes autres explois, moins qu'une ombre ie 2 tien Ce dernier comparé qui le lustre leur donne, Qui l'ouvrage en sa fin glorieuse, couronne, Allon donc résolus de ne démordre pas, Plutôt qu'un déshonneur, souffrir mille trépas, Le principal ici consiste en la surprise, Et que chacun sa vie indomtable méprise, Et que chacun son sang avise à n'épargner, Lors qu'il faudra l'abord ra l' Aborde gaigner.
SCENE IV.	SCÈNE IV.
NOVRRICE.	NOURRICE.
On Dieu le grand plaiſir, l’agreable ſpectacle, DComme amour en peu d’heure a ſçeu faire vr miracle, Celle qui n’étoit rien qu’orgueil, que cruauté, Qui comme vn monſtre tint recluſe ſa beauté, N’a ce ieune Seigneur ſi tôt veu, que charmée L’ancienne rigueur la quite deſarmée, Ses yeux fixes n’ont pas de regars à demy, Pour goûter les appas de ce doux ennemy:	On Dieu le grand plaisir, l'agréable spectacle, DComme amour en peu d'heure a su faire vr miracle, Celle qui n'était rien qu'orgueil, que cruauté, Qui comme un monstre tint recluse sa beauté, N'a ce jeune Seigneur si tôt vu, que charmée L'ancienne rigueur la quite désarmée, Ses yeux fixes n'ont pas de regars à demi, Pour goûter les appas de ce doux ennemi:
Modeſte elle contraint ſa bouche & ſon viſa Mais qui me tromperoit en ſemblable préſage, Vieille d’experience és cautelles d’amour, Plus que luy la pauurete eſt captiue à ſon tour, Vne viue étincelle a penetré dans l’ame, Qui de glace jadis la mettra toute en flame, Encore diroit-on, leurs geſtes oppoſez, Que ce ſont maintenant cors metamorphoſeZ, La paßion de l’vn à l’autre tranſportée, Seuls les voicy, tu peux leur nuire, confrontée, Aſſoir deſſur l’indice vn dernier iugement, Le plus aueugle peut lire ce changement.	Modeste elle contraint sa bouche et son visa Mais qui me tromperait en semblable présage, Vieille d'expérience ès cautelles d'amour, Plus que tu la pauvre est captive à son tour, Une vive étincelle a pénétré dans l'âme, Qui de glace jadis la mettra toute en flamme, Encore dirait-on, leurs gestes opposez, Que ce sont maintenant cors metamorphoseZ, La passion de l'vn à l'autre transportée, Seuls les voici, tu peux leur nuire, confrontée, Assoir dessur des vn dernier jugement, La plus a peut lire ce changement.
