A PARIS, 3 Chez C.	À PARIS, 3 Chez Ç.
Oüy, c’eſt une honteuſe & coupable foibleſſe, De trahir tous les ſoins, tous les bienfaits du Roy;	Oui, c'est une honteuse et coupable faiblesse, De trahir tous les soins, tous les bienfaits du Roy;
Oüy, c’eſt un crime affreux de diſpoſer de moy, Quand le Roy doit luy ſeul régler ma d ſtinée;	Oui, c'est un crime affreux de disposer de moi, Quand le Roi doit lui seul régler ma d stinée;
Oüy, c’eſt une fureur, une rage obſtinée, D'appiendre ſon amour, & de ne l’aimer pas;	Oui, c'est une fureur, une rage obstinée, D'appiendre son amour, et de ne l'aimer pas;
Oüy, c’eſt le plus cruel de tous les attentats, De trahir lâchement ſa plus douce eſpérance.	Oui, c'est le plus cruel de tous les attentats, De trahir lâchement sa plus douce espérance.
Auſſi de mes remords la juſte violence Me tourmente ſans ceſſe, & me rend à mes yeux Horrible, & digne encor des noms plus odicur	Aussi de mes remords la juste violence Me tourmente sans cesse, et me rend à mes yeux Horrible, et digne encor des noms plus odicur
DARIUS.	DARIUS.
Mais le Roy vous laiſſant diſpoſer de vous-meſme.	Mais le Roi vous laissant disposer de vous-même.
ASPASIE.	ASPASIE.
Mais eſt-ce à moy, Seigneur, à donner ce qu’il aime?	Mais est-ce à moi, Seigneur, à donner ce qu'il aime?
DARIUS.	DARIUS.
s’il faut vous obtenir du Roy, non pas de vous, Allons, Madame, allons embraſſer ſes genoux.	s'il faut vous obtenir du Roi, non pas de vous, Allons, Madame, allons embrasser ses genoux.
Je connois Artaxerce, un Roy ſi grand, ſi tendre, D’une juſte pitié ne ſçauroit ſe défendre.	Je connais Artaxerce, un Roi si grand, si tendre, D'une juste pitié ne saurait se défendre.
Allons luy préſenter deux cœurs ſi bien unis, La beauté toute en pleurs, & les douleurs d’un Fils;	Allons deux présenter deux cœurs si bien unis, La beauté toute en pleurs, et les douleurs d'un Fils;
Allons tous deux, allons par ce preſſant langage, Par des pleurs tout puiſſans, ammolir ſon courage.	Allons tous deux, allons par ce pressant langage, Par des pleurs tout -puissants, amolir son courage.
Il eſt Pere, & Monarque, il eſt Hêros vainqueur.	Il est Père, et Monarque, il est Hêros vainqueur.
moy par lmour du lang attendiinant ion cœur, Et vous de ces grands noms réveillant la mémoire, Nous en obtiendrons tout en faveur de ſa gloire.	moi par lmour du lang attendiinant ion cœur, Et vous de ces grands noms réveillant la mémoire, Nous en obtiendrons tout en faveur de sa gloire.
ASPASIE.	ASPASIE.
Claignez plutoit d’aigrir un Roy fier & jaloux.	Claignez plutait d'aigrir un Roi fier et jaloux.
Quel ſpéctacle pour luy!	Quel spéctacle pour lui!
quel ſujet de courroux, De voir contre ſa flâme unir toutes nos armes, Nos ſoins les plus ardens, nos prieres, nos larmes!	quel sujet de courroux, De voir contre sa flamme unir toutes nos armes, Nos soins les plus ardents, nos prières, nos larmes!
DARIUS.	DARIUS.
Mais le Roy vous attend.	Mais le Roi vous attend.
Vous devez aujourd’huy vous decialcle pour ion Tiis, ou pour luy.	Vous devez aujourd'hui vous decialcle pour ion Tiis, ou pour venir.
ASPASIE.	ASPASIE.
Que me demandez-vous?	Que me demandez-vous?
quelle eſt voſtre eſpérance?	quelle est votre espérance?
Ah!	Ah!
ne m’obligez pas de rompre le ſilence, Et n’eſpérez jamais de m’obtenir de moy.	ne m'obligez pas de rompre le silence, Et n'espérez jamais de m'obtenir de moi.
DARIUS.	DARIUS.
Mais ſi mes pleurs pouvoient vous obtenir du Roy, Ne me défendez pas dans un ſort ſi funeſte, Ce ſecours innocent, & le ſeul qui me reſte.	Mais si mes pleurs pouvaient vous obtenir du Roi, Ne me défendez pas dans un sort si funeste, Ce secours innocent, et le seul qui me reste.
Adieu, Seigneur.	Adieu, Seigneur.
ASPASIE.	ASPASIE.
DARIUS.	DARIUS.
Madame.	Madame.
ASPASIE.	ASPASIE.
Ah, que vous me preſſez!	Ah, que vous me pressez!
DARTOS.	DARTOS.
Vous ne me dites rien.	Vous ne me dites rien.
A!	À!
ASIE.	ASIE.
Tle feit ce pas aſſez?	Tle fit ce pas assez?
Fin du Troiſiéme Acte.	Fin du Troisième Acte.
2	2
ACTE I	ACTE I
SCENE LEIHILRE.	SCÈNE LEIHILRE.
LE ROY, MINDATE.	LE ROY, MINDATE.
L LE ROY.	 LE ROY.
Uoy, Mindate, Aſpaſie eſt encor en balance Sur un choix que j’attens avec impatience.	Uoi, Mindate, Aspasie est encor en balance Sur un choix que j'attends avec impatience.
C’eſtoit peu de rougir de mes feux;	C'était peu de rougir de mes feux;
faut-il voir Ce que ſans quelque horreur je ne puis concevoir?	faut-il voir Ce que sans quelque horreur je ne puis concevoir?
Mon amour abuſé.	Mon amour abusé.
Quoy, l’ingrate Aſpaſie Me rendroit le mépris, la fable de l’Aſie?	Quoi, l'ingrate Aspasie Me rendrait le mépris, la fable de l'Asie?
Ne me déguiſe rien;	Ne me déguise rien;
& le Peuple, & la Cour, Tout parle, tout eſt plein du bruit de mon amour.	et le Peuple, et la Cour, Tout parle, tout est plein du bruit de mon amour.
Fay-moy bien concevoir le reproche & le blâme Que va porter ſur moy la honte de ma flâme.	Fais-moi bien concevoir le reproche et le blâme Que va porter sur moi la honte de ma flamme.
MINDATE.	MINDATE.
Le Peuple eſt indiſcret, Seigneur, mais quelquefois Le Ciel e ſait parler pour avertir les Roys.	Le Peuple est indiscret, Seigneur, mais quelquefois Le Ciel e ait parler pour avertir les Rois.
LE ROY.	LE ROY.
Mais je veux tout ſçavoir.	Mais je veux tout sçavoir.
MINDATE.	MINDATE.
Vous oſeray-je dire Qu’on craint pour voſtre gloire autant que pour l’Empire?	Vous oserai-je dire Qu'on craint pour votre gloire autant que pour l'Empire?
Qu’eſtant Rival d’un Fils, on croit que vos amours Peuvent deſ-honorer le reſte de vos jours?	Qu'étant Rival d'un Fils, on croit que vos amours Peuvent des-honorer le reste de vos jours?
Les uns font éclater une audace indiſcrete;	Les uns font éclater une audace indiscrète;
Les autres font parler une douleur muete.	Les autres font parler une douleur muette.
On murmure en tous lieux, & les plus emportez Semblent pour Darius à demy revoltez.	On murmure en tous lieux, et les plus emportés Semblent pour Darius à demi révoltés.
Ariarathe inſtruit de tout ce qui ſe paſſe, Revient le cœur enfſé d’une nouvelle audace, Et voyant ce grand trouble entre ſon Frere & vous, Croit pouvoir tout promettre à ſon orgueil jaloux.	Ariarathe instruit de tout ce qui se passe, Revient le cœur enfsé d'une nouvelle audace, Et voyant ce grand trouble entre son Frère et vous, Croit pouvoir tout promettre à son orgueil jaloux.
DE ROY.	DE ROY.
Laiſſe-moy, cher Mindate, en ce deſordre extréme, Seul icy ſans témoins, m’interroger moy-meſme.	Laisse-moi, cher Mindate, en ce désordre extrême, Seul ici sans témoins, m'interroger moi-même.
Qu’on cherche Tiribaze.	Qu'on cherche Tiribaze.
SCENE II.	SCÈNE II.
LE ROY ſeul.	LE ROY seul.
TARtaxerce, tu vois Quels bruits ſoüillent en toy la Majeſté des Roys.	TARtaxerce, tu vois Quels bruits soüillent en toi la Majesté des Rois.
Tous les vœux des Perſans ſe changent en murmures, Et les cris de triomphes, en plaintes, en injures.	Tous les vœux des Persans se changent en murmures, Et les cris de triomphes, en plaintes, en injures.
Voy le profond abyme où l’amour t’a jetté.	Vois le profond abîme où l'amour t'a jeté.
La gloire de ton nom eſt-elle en ſûretér Par quel aveuglement te crois-tu préferable A ce jeune Rival, à ce Fils trop aimable?	La gloire de ton nom est-elle en sûretér Par quel aveuglement te crois-tu préférable À ce jeune Rival, à ce Fils trop aimable?
Succeſſeur de l’Empire, un nom ſi glorieux, Cette ſplendeur nouvelle attire tous les yeux.	Successeur de l'Empire, un nom si glorieux, Cette splendeur nouvelle attire tous les yeux.
La Princeſſe doit tout à l’eſpoir qui me flate.	La Princesse doit tout à l'espoir qui me flatte.
J’attens qu’elle s’explique;	J'attends qu'elle s'explique;
elle ſe taiſt, l’ingrate.	elle se taît, l'ingrate.
Quę la reconnoiſſance eſt un foible devoir, Quand l’amour ſur un cœur a pris trop de pouvoir;	Quant la reconnaissance est un faible devoir, Quand l'amour sur un cœur a pris trop de pouvoir;
Elle aime Darius;	Elle aime Darius;
n’aimons plus;	n'aimons plus;
mais nous ſommes Eſclaves de l’amour, comme les autres Hommes.	mais nous sommes Esclaves de l'amour, comme les autres Hommes.
O honte de mes jours, ne puis-je t’arracher, Lâche amour, en faveur d’un Fils qui m’eſt ſi cher?	Ô honte de mes jours, ne puis-je t'arracher, Lâche amour, en faveur d'un Fils qui m'est si cher?
Artaxerce n’eſt-il foible que quand il aime?	Artaxerce n'est-il faible que quand il aime?
Il a vaincu cent fois, il s’eſt vaincu luy-meſme.	Il a vaincu cent fois, il s'est vaincu lui-même.
Dans les plus grands ſuccés, dãs ma plus forte ardeur, ’ay vaincu ma fortune, & dompté ma valeur;	Dans les plus grands succès, dans ma plus forte ardeur, aay vaincu ma fortune, et dompté ma valeur;
J’ay vaincu la colere, étouffé la vengeance;	J'ai vaincu la colère, étouffé la vengeance;
J’ay vaincu la douleur, l’orgueil, l’impatience.	J'ai vaincu la douleur, l'orgueil, l'impatience.
Contre quels Ennemis ay-je en vailr coinbatu!	Contre quels Ennemis ai-je en vailr coinbattu!
Le ſeul amour eſt-il plus fort que ma vertu?	Le seul amour est-il plus fort que ma vertu?
Mais que veut cet aniour!	Mais que veut cet anjour!
veut il maſgré moyméme, Si mon Fils eſt aimé, luy ravir ce qu’il aime?	veut il masgré moyméme, Si mon Fils est aimé, Seigneur ravir ce qu'il aime?
SCENE III.	SCÈNE III.
LE ROY, MINDATE.	LE ROY, MINDATE.
MINDATE.	MINDATE.
DEigneur, le Prince eſt là, qui demande à vous voir.	DEigneur, le Prince est là, qui demande à vous voir.
Eſt-il ſeunx LE ROY.	Est-il seunx LE ROY.
MINDATE.	MINDATE.
Oüy, Seigneur, & plein de deſeſpoir, J’ay vû ſur ſon viſage une douleur mortelle.	Oui, Seigneur, et plein de désespoir, J'ai vu sur son visage une douleur mortelle.
LE ROY.	LE ROY.
Quand j’attens Aſpaſie, il vient triſte, & ſans elle.	Quand j'attends Aspasie, il vient triste, et sans elle.
Qu’il entre.	Qu'il entre.
Quel tranſport s’éleve dans mon cœur?	Quel transport s'élève dans mon cœur?
Quel mêlange confus de joye & de douleur?	Quel mêlange confus de joie et de douleur?
Je voy qu’a mon Rival Aſpaſie eſt contraire;	Je vois qu'a mon Rival Aspasie est contraire;
Mais s’il eſt malheureux, je ſuis toûjours ſon Pere.	Mais s'il est malheureux, je suis toujours son Père.
SCENEIV.	SCENEIV.
LE ROY, DARIUS.	LE ROY, DARIUS.
DARIUS.	DARIUS.
Y Ous voyez à vos pieds un Amant malheureux, V Qui ſe livre au pouvoir d’un Rival genéreux.	Y Ous voyez à vos pieds un Amant malheureux, V Qui se livre au pouvoir d'un Rival généreux.
La Princeſſe ſe taiſt, & mon amour extréme Ne ſçauroit l’obtenir, Seigneur, que de vous-meſme.	La Princesse se taît, et mon amour extrême Ne saurait l'obtenir, Seigneur, que de vous-même.
Elle ſçait voſtre amour, & connoiſt ſon devoir, Elle eſt à vous enhin;	Elle Fait votre amour, et connaît son devoir, Elle est à vous enhin;
& je nay plas d'erpoirA vant que tant d’amour fuſt entré dans mon ame, Helas!	et je nay plas d'erpoirA vant que tant d'amour fût entré dans mon âme, Hélas!
que n’ay-je pû découvrir voſtre flâme!	que n'ai-je pu découvrir votre flamme!
Que n’a-t-elle paru plutoſt pour mon ſecours!	Que n'a-t-elle paru plutôt pour mon secours!
Ou que n’eut-elle ſoin de ſe cacher toûjours!	Ou que n'eut-elle soin de se cacher toujours!
LE ROY.	LE ROY.
Mon Fils, en quelque temps que mon amour paroiſſe, Manque-t-il de vertu pour vaincre ſa foibleſſe?	Mon Fils, en quelque temps que mon amour paraisse, Manque-t-il de vertu pour vaincre sa faiblesse?
Je viens de vous nommer au Pouvoir ſouverain, Mon Sceptre doit paſſer un jour dans voſtre main;	Je viens de vous nommer au Pouvoir souverain, Mon Sceptre doit passer un jour dans votre main;
Je ne veux qu’Aſpaſie.	Je ne veux qu'Aspasie.
Un Prince qui ſoûpire, Vous demande-t-il trop pour le prix d’un Empire?	Un Prince qui soupire, Vous demande-t-il trop pour le prix d'un Empire?
DARIUS.	DARIUS.
Connoiſſez voſtre Fils.	Connaissez votre Fils.
Il n’eſt pas ſans vertu;	Il n'est pas sans vertu;
Ne me reprochez point d’avoir mal combatu.	Ne me reprochez point d'avoir mal combattu.
J’ay mis deuant mes yeux tout ce qu’aime & révere Le Sujet dans ſon Maiſtre, & le Fils dans ſon Pere.	J'ai mis devant mes yeux tout ce qu'aime et révère Le Sujet dans son Maître, et le Fils dans son Père.
Bien plus;	Bien plus;
je me ſuis dit que vous faites pour moy Plus qu’on n’obtint jamais & d’un Pere, & d’un Roy.	je me suis dit que vous faites pour moi Plus qu'on n'obtint jamais et d'un Père, et d'un Roi.
s’il faut combatre encor, je combatray ſans ceſſe;	s'il faut combattre encor, je combattrai sans cesse;
Mais, Seigneur, je connoy ma flâme, & mæfoibleſſe, Je rendray dans mon cœur mille cruels combats, Je combatray toûjours, & je ne vainciay pas.	Mais, Seigneur, je connais ma flamme, et mæfoiblesse, Je rendrai dans mon cœur mille cruels combats, Je combattrai toujours, et je ne vainciai pas.
LE ROY.	LE ROY.
C’eſt donc moy qui doy vaincre, & céder Aſpaſie;	C'est donc moi qui dois vaincre, et céder Aspasie;
C’eſt donc moy qui doy vaincre aux dépẽs de ma vie.	C'est donc moi qui dois vaincre aux dépens de ma vie.
Juſqu’icy je croyois avoir aſſez vaincu, Et pour vivre en repos, avoir aſſez vécu.	Jusqu'ici je croyais avoir assez vaincu, Et pour vivre en repos, avoir assez vécu.
Pour vous mieux aſſurer un Sceptre heréditaire, Il en coûte à mon Bras le trépas de mon Frere.	Pour vous mieux assurer un Sceptre héréditaire, Il en coûte à mon Bras le trépas de mon Frère.
Cet Empire ſi beau que je gardois pour vous, Cette immenſe grandeur qui fait tant de Jaloux, N’enferme-t-elle rien dans ſa vaſte étenduë Où voſtre ambition arreſte voſtre vûë?	Cet Empire si beau que je gardais pour vous, Cette immense grandeur qui fait tant de Jaloux, N'enferme-elle rien dans sa vaste étendue Où votre ambition arrête votre vue?
Voudrez-vous, ſoûtenu d’une cruelle Loy, M’arrachèr le ſeul bien que je gardois pour moy?	Voudrez-vous, soutenu d'une cruelle Loi, M'arrachèr le seul bien que je gardais pour moi?
DARIUS.	DARIUS.
Moy, je voudrois, Seigneur, en Amant teméraire, Arracher Aſpaſie à mon Maiſtre, à mon Pere!	Moi, je voudrais, Seigneur, en Amant téméraire, Arracher Aspasie à mon Maître, à mon Père!
La Loy m’avoit permis de vous la demander;	La Loi m'avait permis de vous la demander;
Et ſi ce cœur ingrat ne peut vous la céder, Au moins je puis mourir, & cela doit ſuffire.	Et si ce cœur ingrat ne peut vous la céder, Au moins je puis mourir, et cela doit suffire.
LE ROY.	LE ROY.
Ah!	Ah!
mon Fils, n’auez-vous autre choſe à me dire?	mon Fils, n'avez-vous autre chose à me dire?
DARIUS.	DARIUS.
Non, Seigneur, un cœur foible, un cœur comme le mien, Plein de trouble & d’effroy, n’eſt capable de rien.	Non, Seigneur, un cœur faible, un cœur comme le mien, Plein de trouble et d'effroi, n'est capable de rien.
Le voitre qui peut tout, le rend-il quand il aime?	Le voitre qui peut tout, le rend-il quand il aime?
Trouve-t-il tant de peine à ſe vaincre luy-meſme?	Trouve-t-il tant de peine à se vaincre ex-même?
LE ROY.	LE ROY.
N’ay-je pas ſçeu me vaincre, & n’ay-je pas foûmis Toutes mes paſſions, comme mes Ennemis?	N'ai-je pas su me vaincre, et n'ai-je pas soumis Toutes mes passions, comme mes Ennemis?
N’aimay-je pas toûjours une gloire ſi belle?	N'aimai-je pas toujours une gloire si belle?
Quand commencerez-vous à travailler pour elle?	Quand commencerez-vous à travailler pour elle?
Pour elle j’ay tout fait, & je n’ay pas beſoin De me tyranniſer pour la pouſſer plus loin.	Pour elle j'ai tout fait, et je n'ai pas besoin De me tyranniser pour la pousser plus loin.
Les Dieux à mon amour ont attaché ma vie.	Les Dieux à mon amour ont attaché ma vie.
DARIUS.	DARIUS.
Tle bieny vrveuy aMees ponedezMiipaise.	Tle bieni vrui aMes ponedezMiipaise.
LE ROY.	LE ROY.
Si tu veux que je vive, arreſte, & me fais voir Plus d’amour pour la vie, & moins de deſeſpoir.	Si tu veux que je vive, arrête, et me fais voir Plus d'amour pour la vie, et moins de désespoir.
DARIUS.	DARIUS.
J’y feray mes efforts;	J'y ferai mes efforts;
mais perdant Aſpaſie, Mon reſpect ne vous peut répondre de ma vie.	mais perdant Aspasie, Mon respect ne vous peut répondre de ma vie.
LE ROY.	LE ROY.
