Suivant la Copie imprimée A PARIS,	Suivant la Copie imprimée A PARIS,
Je ſçay ce que je fais, ne t’en mets point en peine, Et demain tiens-toy ſeur de voir ſelon tes vœux, Eucherius au Trône, & Stilicon heureux.	Je sais ce que je fais, ne t'en mets point en peine, Et demain tiens-toi sûr de voir selon tes vœux, Évcherius au Trône, et Stilicon heureux.
Fin du troiſéme Adte.	Fin du troiséme Adte.
ACTE	ACTE
ACTE IV.	ACTE IV.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
PLACIDIE, LUCILE.	PLACIDIE, LUCILE.
Lu CI LE.	Lu CY LE.
Que du moins le coupable à connoiſtre eſt facile, Et qu’il ſe cache en vain, lors qu’un heureux deſtin De Zenon dans Felix nous livre l’aſſaſſin.	Que du moins le coupable à connaître est facile, Et qu'il se cache en vain, lors qu'un heureux destin De Zenon dans Félix nous livre l'assassin.
LACIDIE.	LACIDIE.
ren4:	ren4:
quoy, cede mont eſt l’effet de ſa rage?	quoi, cède mont est l'effet de sa rage?
CILE.	CILE.
Flavie entroit alors dans cet obſcur paſſage, Qui s’arreſtaut au bruit, mais ſaus rien diſcerner,	Flavie entrait alors dans cet obscur passage, Qui s'arrêtaut au bruit, mais saus rien discerner,
Entend, & c’eſt Felix qui m’oſe aſſaſſiner.	Entend, et c'est Félix qui m'ose assassiner.
Interdite & tremblante, elle quitte la place, Rencontre d’heodot, luy dit ce qui ſe paſſe, Il l’oblige à s’en taire, & prudent & diſcret En vient à l’Empereur découvrir le ſecres;	Interdite et tremblante, elle quitte la place, Rencontre d'heodot, Seigneur dit ce qui se passe, Il l'oblige à s'en taire, et prudent et discret En vient à l'Empereur découvrir le secrères;
Luy que d’Eucherius le triſte ſort accable, Craint de voir un témoin qui convainc le coupable, Et mandant Stilicon, luy veut perſuader De pourvoir en ſecret à le faire évader;	Lui que d'Eucherius le triste sort accable, Craint de voir un témoin qui convainc le coupable, Et mandant Stilicon, lui veut persuader De pourvoir en secret à le faire évader;
Mais loin que Stilicon à cet ordre obeïſſe, Si ſon fils eſt coupable, il conſent qu’il periſſe, Et quoy que de Felix il doive redouter, C’eſt luy-meſme auſſi-toſt qui le fait arreſter.	Mais loin que Stilicon à cet ordre obéisse, Si son fils est coupable, il consent qu'il périsse, Et quoi que de Félix il doive redouter, C'est lui-même aussitôt qui le fait arrêter.
Voila de Mutian ce que je viens d’appreudre.	Voilà de Mutian ce que je viens d'approuvdre.
PLACIDIE.	PLACIDIE.
Mon cœur dans ce qu’il ſent apeine à ſe comprendre, La joye & le chagrin y viennent tour à tour Entretenir ma crainte, & flater mon amour;	Mon cœur dans ce qu'il sent apeine à se comprendre, La joie et le chagrin y viennent tour à tour Entre ma crainte, et flatter mon amour;
Mes vœux d’Eucherius embraſſent la deffence, ’en voudrois déja voir éclater l’innocence, Et par l’effet d’un charme auſſi doux que preſſant Je craius pour mon orgueil s’il ſe trouve innocent;	Mes vœux d'Eucherius embrassent la deffence, en voudrois déja voir éclater innocence, Et par effet un charme aussi doux que pressant Je craius pour mon orgueil il se trouve innocent;
A voir un malheureux que le Deſtin opprime, On laiſſe agir pour luy tout ce qu’on eut d’eſtime, Et quoy qu’aſſez ſouvent l’amour s’y trouve joint, La pitié l’authoriſe, on ne s’en deffend point;	À voir un malheureux que le Destin opprime, On laisse agir pour lui tout ce qu'on eut d'estime, Et quoi qu’assez souvent l'amour s'y trouve joint, La pitié l'autorise, on ne s'en défend point;
L’ame qu’elle ſéduit s’en laiſſant trop atteindre, Prend ſujet d’admirer ce qu’elle voit à plaindre, En vain dans cette ardeur on la veut refroidir, Elle ſe trouve émeuë, & s’en oſe applaudir, Et croyant d’elle-meſme eſtre toûjours Maiſtreſſe, Sur ſa compaſſion excuſe ſa tendreſſe, C’eſt par ce ſentiment qui ſembloit m’y forcer, Que pour Eucherius j’ay crû m’intereſſer;	L'âme qu'elle séduit s'en laissant trop atteindre, Prend sujet d'admirer ce qu'elle voit à plaindre, En vain dans cette ardeur on la veut refroidir, Elle se trouve émue, et s'en ose applaudir, Et croyant d'elle-même être toujours Maîtresse, Sur sa compassion excuse sa tendresse, C'est par ce sentiment qui semblait m'y forcer, Que pour Eucherius j'ai cru m'intéresser;
Sa vertu que ſoûtient l’éclat le plus inſigne, D’un ſoupçon lâche & bas me l’a fait voir indigne, Et pour en repouſſer l’injurieux abus, J’ay ſuivy de mon cœur le mouvement confus, Ce cœur s’eſt attendry, mais quoy qu’il en ſoûpire, je doute ſi jamais il s’en voudra dédire, Et ſi dans un Sujet ſon fier emportement Dédaignera toûjours d’advoüer un Amaut.	Sa vertu que soutient l'éclat le plus insigne, D'un soupçon lâche et bas me l'a fait voir indigne, Et pour en repousser l'injurieux abus, J'ai suivi de mon cœur le mouvement confus, Ce cœur s'est attendri, mais quoi qu'il en soupire, je doute si jamais il s’en voudra dédire, Et si dans un Sujet son fier emportement Dédaignera toujours d'advoüer un Amaut.
Lu CII.	Lu CII.
E.	E.
Quelque tendre pitié qui vous porte à le plaindre, Il n’eſt guere en eſtat de vous la faire craindre, La conjecture eſt forte, & l’indice preſſant;	Quelque tendre pitié qui vous porte à le plaindre, Il n'est guère en état de vous la faire craindre, La conjecture est forte, et l'indice pressant;
Tout le rend criminel.	Tout le rend criminel.
PLACIDIE.	PLACIDIE.
Mais il eſt innocent, E:	Mais il est innocent, E:
dequoy que ſon cœur pour regner fuſt capable, Quiconque oſe m’aimer ne peut eſtre coupable.	dequoy que son cœur pour régner fût capable, Quiconque ose m'aimer ne peut être coupable.
LuCILE.	LuCILE.
U'n ſi beau ſentiment ſeroit tout préſumer, Si l’on aimoit toujourt quand on jure d’aimer.	U'n si beau sentiment serait tout présumer, Si l'on aimait toujourt quand on jure d'aimer.
Il peut feindse avec vous.	Il peut feindse avec vous.
PLACIDIE.	PLACIDIE.
Mais, Lucile, je l’aime, su s’il peut feindre avec moy, puis-je feindre de meſme, Et crois-tu que mon cœur pûſt trahir ma ſierté Juſqu’à vouloir s'utendre avec ſa lâcheté?	Mais, Lucile, je l'aime, su s'il peut feindre avec moi, puis-je feindre de même, Et crois-tu que mon cœur put trahir ma sierté Jusqu'à vouloir s'utendre avec sa lâcheté?
Non, non, ces vains dehors d’une fauſſe tendreſſe N'ébloüiſſent jamais les yeux d’unc Princeſſe, Elle prend dans ſon ſang l’infaillible pouvoir.	Non, non, ces vains dehors d'une fausse tendresse N'éblouissent jamais les yeux d'unc Princesse, Elle prend dans son sang l'infaillible pouvoir.
De donner de l’amour avant qu’en recevoir, Incapable d’erreur dans les feux qu’elle excite, Elle y voit la vertu ſouſtenir le merite, Et ſur ces ſeuls garands ſe laiſſant enflamer, Eſt ſeure d’eſtre aimée alors qu’elle oſe aimer.	De donner de l'amour avant qu'en recevoir, Incapable d'erreur dans les feux qu'elle excite, Elle y voit la vertu soutenir le mérite, Et sur ces seuls garant se laissant enflammer, Est sûre d'être aimée alors qu'elle ose aimer.
LUCILE.	LUCILE.
Ce droit d’un ſang illuſtre eſt le vif caractere, Mais abſoudre le fils, c’eſt condamner le pere, Croirez-vous Stilicon capable d’attenter?	Ce droit d'un sang illustre est le vif caractère, Mais absoudre le fils, c'est condamner le père, Croirez-vous Stilicon capable d'attenter?
LACIDIE.	LACIDIE.
Il aime l'Empereur, on n'en ſçauroit douter, Ce qu’il a fait pour luy deffend qu’on le ſoupçonne:	Il aime l'Empereur, on n'en saurait douter, Ce qu'il a fait pour lui défend qu'on le soupçonne:
Mais dans ſa dureté ſon courage m’eſtonne, Et je ne comprens point quel jaloux deſeſpoir Immole Eucherius à ſon triſte devoir;	Mais dans sa dureté son courage m'étonne, Et je ne comprends point quel jaloux désespoir Immole Eucherius à son triste devoir;
Si l’Amour en ſecret m’en fait voir l’innocence, Le ſang pour l’éclairer n’a pas moins de puiſſance, Et ces douces clartez devroient également.	Si l'Amour en secret m'en fait voir l'innocence, Le sang pour l'éclairer n'a pas moins de puissance, Et ces douces clartés devraient également.
Luy répondre d’un fils comme à moy d’un amant,	Lui répondre d'un fils comme à moi d'un amant,
L'UCTLE.	L'UCTLE.
Voicy par qui ſçavoir qui des deux eſt à plaindre.	Voici par qui savoir qui des deux est à plaindre.
SCENE II.	SCÈNE II.
PLACIDIE, MARCELLIN, LUCILE.	PLACIDIE, MARCELLIN, LUCILE.
PL.	PL.
ACIDIE.	ÀCIDIE.
A perfidie enfin n’eſt-elle plus à craindie?	À perfidie enfin n'est-elle plus à craindie?
DErconnoit-on l’autheur?	DErconnait-on l'auteur?
Felix a-t'il parlé?	Félix a-t'-il parlé?
ARCET.	ARCET.
LIX.	LIX.
Le ſecret vient par luy d’en eſtre tevelé,	Le secret vient parfois d'en être tevelé,
Eucheritis.	Eucheritis.
TILICON,	TILICON,
LACIDIE.	LACIDIE.
Et bien?	Et bien?
Eucherius conſpire?	Eucherius conspire?
MARCELLIN.	MARCELLIN.
Felix s'eſt obſtiné long-temps à ne rien dire, De la mort de Zenon par Flavie accuſé, Ii ne peut s’émouvoir d’un crme ſuppoſé.	Félix s'est obstiné longtemps à ne rien dire, De la mort de Zenon par Flavie accusé, Ji ne peut s'émouvoir d'un crme supposé.
En vain pour ébranler ſon inſolente audace On fait agir d’abord & promeſſe & menace, Il tient ſon innocence un aſſez ferme appuy, Et ces divers efforts n’aureyent pû rien ſur luy, S’il n’euſt veu Stilicon par les plus rudes gênes Reſolu d’en tirer des lumieres certaines.	En vain pour ébranler son insolente audace On fait agir d'abord et promesse et menace, Il tient son innocence un assez ferme appui, Et ces divers efforts n'aureyent pu rien sur lui, S'il n'eût vu Stilicon par les plus rudes gênes Résolu d'en tirer des lumières certaines.
Il s’eſtonne, on le preſſe, & tremblant & confus, Il gauchit, parle, advoüe, & nomme Eucherius.	Il s'étonne, on le presse, et tremblant et confus, Il gauchit, parle, avoue, et nomme Eucherius.
Il l'accuſe?	Il l'accuse?
PLACIDIE.	PLACIDIE.
MARCELLIN.	MARCELLIN.
Ouy, Madame, & déteſtant ſon crime Nous apprend quel motif à conſpirer l’anime;	Oui, Madame, et détestant son crime Nous apprend quel motif à conspirer l'anime;
Qu’ayant veu voſtre cœur du Diadéme épris, Il croyoit parce charme ébloüir vos mépris;	Qu'ayant vu votre cœur du Diadème épris, Il croyait parce charme ébloüir vos mépris;
Que trahy par Zenon, un revers ſi contraire L’avoit fait auſſi-toſt ſonger à s’en deffaire, Et que pour ce grand coup d’un prompt ſuccez ſuivy.	Que trahi par Zenon, un revers si contraire L'avait fait aussitôt songer à s'en défaire, Et que pour ce grand coup d'un prompt succès suivi.
C’eſt ſon bras en ſecret dont il s’eſtoit ſervy.	C'est son bras en secret dont il s'était servi.
Ah, Lucile!	Ah, Lucile!
PLACIDIE.	PLACIDIE.
LUCILE.	LUCILE.
Madame.	Madame.
MARCELLIN.	MARCELLIN.
Enfin on les confronte;	Enfin on les confronte;
Eucherius rougit de colere & de honte, Quoy que Felix ſoûtienne, il oſe le nier, C’eſt un lâche apoſté pour le calomnier.	Évcherius rougit de colère et de honte, Quoi que Félix soutienne, il ose le nier, C'est un lâche aposté pour le calomnier.
Qu’on les expoſe enſemble aux plus cruels ſupplices, On verra l’impoſture, on ſçaura les Complices:	Qu'on les expose ensemble aux plus cruels supplices, On verra l'imposture, on saura les Complices:
C’eſt par là que Felix le convainc du forfait, Il s’offre à les nommer, & les nomme en effes;	C'est par là que Félix le convaincre du forfait, Il s'offre à les nommer, et les nomme en esses;
L'Empereur ſeul les ſçait, & leur rage l’eſtonre, Pour Pour les faire arreſter l’ordre ſecret ſe donne, Et comme ſi leur ſort ne regloit pas le ſien, Eucherius le voit, & ne confeſſe rien.	L'Empereur seul les sçait, et leur rage l'étonre, Pour Pour les faire arrêter l'ordre se se donne, Et comme si leur sort ne règlait pas le sien, Eucherius le voit, et ne confesse rien.
LACADIE.	LACADIE.
Ah, le traiſtre!	Ah, le traître!
il croit donc que ſes lâches Complices Sans trahir ſon ſecret braveront les ſupplicet, Que rien par leur rapport ne doit eſtre éclaircy?	il croit donc que ses lâches Complices Sans trahir son secret braveront les supplicet, Que rien par leur rapport ne doit être clairci?
MARCELLIN.	MARCELLIN.
Madame, l’Empereur va l’envoyer icy, Comme l’Amour peut tout vous aurez moins de peine A ſçavoir.	Madame, l'Empereur va l'envoyer ici, Comme l'Amour peut tout vous aurez moins de peine A sçavoir.
Mais déja le voicy qu’on amene, Chacun va s’éloigner, peut-eſtre ſans témoins Son cœur avecque vous ſe déguiſera moins.	Mais déjà le voici qu'on amène, Chacun va s'éloigner, peut-être sans témoins Son cœur avec vous se déguisera moins.
SCENE III.	SCÈNE III.
PLACIDIE, EUCHERIUS, LUCILE.	PLACIDIE, EUCHÉRIUS, LUCILE.
EUCHERIU S.	EUCHÉRIU S.
Uoy qu’on voye à l’envy l'impoſture & l'envie Attaquer tout enſemble & ma gloire & ma vie, La plus âpre rigueur d’un ſi cruel effort Laiſſe encor ma Princeſſe arbitre de mon ſort;	Madame qu'on voie à l'envi l'imposture et l'envie Attaquer tout ensemble et ma gloire et ma vie, La plus âpre rigueur d'un si cruel effort Laisse encor ma Princesse arbitre de mon sort;
Non que j’oſe douter quel ordre je doy ſuivre, Qui n’en pent eſtre aimé n’eſt point digne de vivre, Mais j’auray moins de peine à renoncer au jourQuand je croiray par là luy prouver mon amour, Et je ne craindray point de voir ternir ma gloire, Si je meurs aſſeuré de vivre en ſa memoire;	Non que j'ose douter quel ordre je crois suivre, Qui n'en pent être aimé n'est point digne de vivre, Mais j'aurai moins de peine à renoncer au jourQuand je croirai par là avoir prouver mon amour, Et je ne craindrai point de voir ternir ma gloire, Si je meurs asseuré de vivre en sa mémoire;
Un prix ſi relevé rendra mes vœux contens, Et c’eſt dans mon malheur le ſeul bien que j’attens.	Un prix si relevé rendra mes vœux contents, Et c'est dans mon malheur le seul bien que j'attends.
PLACIDIE.	PLACIDIE.
Vous pouvez l’eſperer aprés ce grand onvrage Q’entreprenoit pour moy vodre illuſtre coursge, C 5 Et	Vous pouvez l'espérer après ce grand onvrage Q entreprenait pour moi vodre illustre coursge, Ç 5 Et
Et j’aurois trop d’orgueil, s’il n’eſtoit adoucy Par l’horreur du forfait dont vous eſtes noircy.	Et j'aurais trop d'orgueil, s'il n'était adouci Par l'horreur du forfait dont vous êtes noirci.
EUCHERUIUAS.	EUCHÉRUIUAS.
Ah, Madame!	Ah, Madame!
il eſt vrays je commence à connoiſtre Qu’innocent juſqu’icy, je ceſſe enfin de l’eſtre, Puis que vous relâchant à ſoupçonner ma foy, Cette injuſtice en vous eſt un crime pour moy;	il est vrais je commence à connaître Qu'innocent jusqu'ici, je cesse enfin de l'être, Puis que vous relâchant à soupçonner ma foi, Cette injustice en vous est un crime pour moi;
De ma triſte vertu les preuves imparfaites Vous ont abandonnée à l’erreur où vous eſtes, Et dans un cœur ſi grand l’erreur qui le ſéduit Rend toûjours criminel quiconque l’y reduit.	De ma triste vertu les preuves imparfaites Vous ont abandonnée à l'erreur où vous êtes, Et dans un cœur si grand l'erreur qui le séduit Rend toujours criminel quiconque l'y réduit.
