LE TAIIINIL D’ALEXANDRE 22444 A HARDY, PARISIEN.	LE -TAIINIL D'ALEXANDRE 22444 A HARDY, PARISIEN.
E mon honneur flétry la funeſte complainte Uous découure ſa playe au fond de l’ame emprainte, Ie dy ſans paſſion, (les Dieux m'en ſont teſa moins) L’outrage perpetré d’vn qui vous priſe moins, Quelle comparaiſon s'imagine ſi baſſe?	E mon honneur flétri la funeste complainte Uous découvre sa plaie au fond de l'âme emprainte, Je dis sans passion, (les Dieux m'en sont tes moins) L'outrage perpétré d'un qui vous prise moins, Quelle comparaison s'imagine si basse?
Moins qu'vn ſouffle de vent, moins qu'vn ſone qui paſſe, La pompe en ſon endroit les cœurs diſſimulez, Les auares treſors d’vn ſiecle accumuleZ Depriment la vertu, triomphent deſſur elle;	Moins qu'un souffle de vent, moins qu'un sone qui passe, La pompe en son endroit les cœurs dissimulez, Les avares trésors d'un siècle accumulez Depriment la vertu, triomphent dessur elle;
Alors qu'en voſtre nom ie requis la pucelle, Enflé d'vn vain orgueil il me tint des propos, Qui me troublent depuis la douceur du repos, i ſe paiſſent Uautours, de l’ame bequetée, Reſolu de me faire vne ombre Acheruisée, Ou du ſecours des miens à l’extréme fruſtré, Mourir dans vn haZard ſi genereux entré, Ie l’iray de ſon thrõne arracher, ce barbare, L’immolant à Pluton qui le demande auare;	Alors qu'en votre nom ie requis la pucelle, Enflé d'un vain orgueil il me tint des propos, Qui me troublent depuis la douceur du repos, y se paissent Uautours, de l'âme bequetée, Résolu de me faire une ombre Acheruisée, Ou du secours des miens à l'extrême frustré, Mourir dans un hasard si généreux entré, Je l'irai de son trône arracher, ce barbare, L'immolant à Pluton qui le demande aucare;
I’iray de voſtre los la cheute releuer, mmmonue urmene peut de mes mains le ſau	J'irai de votre los la chute relever, mémonue urmène peut de mes mains le sau
uer.	Que.
Loncate.	Loncate.
Modere ce courroux genereux qui t'enflâme, Sur nous plus offencez redonderoit le blâme De l’outrage impuny de ſa ferocité:	Modère ce courroux généreux qui t'enflamme, Sur nous plus offensez redonderait le blâme De l'outrage impuni de sa ferocité:
Reprimer vn orgueil c'eſt ma felicité, Macente n'a pas moins de courage & de gloire, Il faut donc que nous deux diuiſions la victoire, Que l’vn & l’autre montre à ce tyran combien Peut de nôtre amitié l’inſcluble lien.	Reprimer un orgueil c'est ma félicité, Macente n'a pas moins de courage et de gloire, Il faut donc que nous deux divisions la victoire, Que l'un et l'autre montre à ce tyran combien Peut de notre amitié l'inscluble lien.
Macente.	Macente.
Mon ſang d’ire allumé petille dans ſes veines, D’vn dépit furieux i’ay les entrailles pleines, Tranſporté de moy-meſme, & quaſi hors du ſens, Que ja de ce braueur les membres palliſſans N'impriment par ma main la ſanglante pouſſiere, Un Eſclaue en nos noms rejetter ta priere?	Mon sang d'ire allumé petille dans ses veines, D'un dépit furieux j'ai les entrailles pleines, Transporté de moi-même, et quasi hors du sens, Que de ce braveur les membres pallissans N'impriment par ma main la sanglante poussière, Un Esclaue en nos noms rejetter ta prière?
Deſeſtimez de luy, ſoumis à tel affront, D'autant qu'vn Diadéme enuironne ſon front, Mais, de qui le tient-il, que de noſtre licence?	Désestimez de belle, soumis à tel affront, D'autant qu'un Diadème environne son front, Mais, de qui le tient-il, que de notre licence?
A pprenons-luy que vaut d’irriter l’innocence, Inſtruits ſur le moyen requis à ſon abord, Iupiter ne le peut guarantir de la mort,	À pprenons-lui que vaut d'irriter l'innocence, Instruits sur le moyen requis à son abord, Jupiter ne le peut guarantir de la mort,
Loncate.	Loncate.
L'impatience gaſte vne haute entrepriſe Eſcoute en mon eſprit la concluſion priſe, EZ couſtumes verſé du peuple Boſphoran, Ou ie perdray la teſte, ou celle du Tyran;	L'impatience gâte une haute entreprise Escoute en mon esprit la conclusion prise, EZ coutumes versé du peuple Bosphoran, Ou ie perdrai la tête, ou celle du Tyran;
Ie vous apporte icy d’expiable victime;	Je vous apporte ici d'expiable victime;
Toy, s’il auient (imbu de l’acte magnanime) Que ie frappe le but de mon intention, Secondant au labeur trouue l’inuention, Une embuſcade aupres des Malliens poſée, D'emmener en ſes mains pudique ſa Maſee, L'emmener en Scythie, à tel prix que ce ſoit, Une guerre de là funeſte s’apperçoit, Quoy que tourne le ſori, nor fetrtries rancunes Deſſous Mars attiſẽ ſe terininent communes, Toy pour y donner ordre, Arſacome tandis Entre nous Scythiens choiſis les plus hardis.	Toi, s'il avient (imbu de l'acte magnanime) Que femme frappe le but de mon intention, Secondant au labeur trouve l'invention, Une embuscade auprès des Maliens posée, D'emmener en ses mains pudique sa Mase, L'emmener en Scythie, à tel prix que ce soit, Une guerre de là funeste s'apperçoit, Quoi que tourne le sori, nor fetrtries rancunes Dessous Mars attisence se terinent communes, Toi pour y donner ordre, Arsacome tandis Les plus Scythiens nous les à hardis.
Demeure ſuppleant à choiſir vne armée, Deſſur le cuir de bœuf, ſeul à l’accouſtumée;	Demeure suppléant à choisir une armée, Dessur le cuir de bœuf, seul à l'accoutumée;
Qui l’exploit acheué nous rameine à bon port, Où qui puiſſe venger noſtre conſtante mort.	Qui l'exploit achevé nous ramène à bon port, Où qui puisse venger notre constante mort.
Macente.	Macente.
I’approuue ce conſeil, pourueu que l’on me dõne De pleger ſon ſupplice en ma propre perſonne, domaees que tevalbto peuux eurtue cijoijir Un Gendre qui luy plaiſe, & riche à ſon deſir.	J'approuve ce conseil, pourvu que l'on me donne De pleger son supplice en ma propre personne, domaces que tevalbto peuux eurtue cijoijir Un Gendre qui lui plaise, et riche à son désir.
Arſacome.	Arsacome.
Prodiguer voſtre vie au païs regrettable, M’arguëroit impieux de lâcheté notable.	Prodiguer votre vie au pays regrettable, M'argues impieux de lâcheté notable.
Iamais il n’auiendra, ie ne requiers de vous, Mes Manes de leur corps par lâcheté diſſous, Ne les gratifier, ſinon l’heure venuë, D'vne vindicte égale à l’injure connuë, Sinon que mille corps ennemis épouſer A ma tombe muette, & de ſang l’arrouſer, Ie le dy reſolu de faire à l’improuiſte, De faire à ce Tyran ce qu'Oreſte d’Egiſte Luy oſter la lumiere en me perdant apres, En quoy ie n'ay befoin de ſecours, ny d’appreſts.	Jamais il n'audra, Seigneur ne requiers de vous, Mes Manes de leur corps par lâcheté dissous, Ne les gratifier, sinon l'heure venue, D'une vindicte égale à l'injure connue, Sinon que mille corps ennemis épouser A ma tombe muette, et de sang l'arrouser, Je le dis résolu de faire à l'improuiste, De faire à ce Tyran ce qu'Oreste d'Égiste Ly ôter d' lumière en me perdant après, En quoi je n'ai besoin de secours, ni d’apprêts.
Loncate.	Loncate.
Nõ, nõ, tu ne dois plus la querelle entreprendre, A peine de vouloir vers l’amitié m'éprendre, L'injure deſormais nous demeure à punir, Nous deuons le fardeau du labeur ſouſtenir,	Notre, notre, tu ne dois plus la querelle entreprendre, À peine de vouloir vers l'amitié m'éprendre, L'injure désormais nous demeure à punir, Nous devons le fardeau du labeur soutenir,
Macente.	Macente.
Oüy, les plus outrageZ de ce Roy temeraire, Qui nous a reputeZ la fange d’vn vulgaire.	Oui, les plus outragez de ce Roy téméraire, Qui nous a réputez la fange d'un vulgaire.
Arſacome.	Arsacome.
Ie ne permettray pas qu'ardents a me vanger;	Je ne permettrai pas qu'ardents à me venger;
Uous-vous precipitiez au milieu du danger.	Uous-vous précipitiez au milieu du danger.
Loncate.	Loncate.
Tu ne diuertirois, non le reſte du monde, Fallût-il trauerſer les Cieux, la terre, & l’õde, Un genereux deſſein qu'anime l’équité, Ie dépite la mort, du deuoir acquité.	Tu ne divertirais, non le reste du monde, Fallut-il traverser les Cieux, la terre, et l'onde, Un généreux dessein qu'anime l'équité, Je dépite la mort, du devoir acquité.
Macente.	Macente.
En ta reſolution tu affirmes la mienne, L’orgueilleux châtié, ne mechaut qu’il auienne, Son Gendre compagnon de ſemblable deſtin, De démordre contraint & lâcher ce butin.	En ta résolution tu affirmes la mienne, L'orgueilleux châtié, ne mechaut qu'il avait, Son Gendre compagnon de semblable destin, De démordre contraint et lâcher ce butin.
Arſacome.	Arsacome.
Toûjours m’adjoindrez-vous au haZard qui ſe tente.	Toujours m'adjoindrez-vous au hasard qui se tente.
Loncate.	Loncate.
Neuuement;	Neuuement;
car l'exploit de nous deux fe con	car l'exploit de nous deux se con
tente, Arſacome.	tente, Arsacome.
Reſteray-je inutile, ocieux, caſanier, Et vous voir engloutis de l’encombre dernier?	Resterai-je inutile, ocieux, casanier, Et vous voir engloutis de l'encombre dernier?
Uous voir à mon ſujet preſts de faire naufraSans me mettre en deuoir de courir au riulage;	Uous voir à mon sujet prêts de faire naufraSants me mettre en devoir de courir au riulage;
Qu'vn trait de foudre aigu me conſomme imPhenx, Premier que de ſubir ce reproche honteux.	Qu'un trait de foudre aigu me consomme imPhenx, Premier que de subir ce reproche honteux.
Macente.	Macente.
Ta preſence ne peut, à l’ennemy ſuſpecte, Que traiſner du complot la ruine directe, Trop bien j’approuuerois ton ſecours de renfort, S’il eſtoit queſtion de proceder d’effort, Mais où ne s’emploiront d’armes que la cautelle, Où ſans bruit faut ouurir vne trappe mortelle, Tu ſers autant icy comme tuinmon, Tu peux icy bâtir ce que tu deſtruirois, Nous bâtir vn aſile, vne retraite ſeure Dans le camp amaßé, dont noſtre foy t’aſſeure.	Ta présence ne peut, à l'ennemi suspecte, Que traîner du complot la ruine directe, Trop bien j'approuverais ton secours de renfort, S'il était question de procéder d'effort, Mais où ne s'emploiront d'armes que la cautelle, Où sans bruit faut ouvrir notre trappe mortelle, Tu sers autant ici comme tuinon, Tu peux ici bâtir ce que tu détirais, Nous bâtirait un asile, une retraite sûre Dans le camp amassé, dont le camp ama:
Arſacome.	Arsacome.
Iupiter Phylien qui ſçais ma volonté, I'atteſte ta puiſſance, & ton alme bonté;	Jupiter Phylien qui sais ma volonté, J'atteste ta puissance, et ton âme bonté;
I'atteſte la ſplendeur de ta Cour aſſemblée, Que mon ame n'eſt point maniaque, troublée, Expoſant ſes amis au peril éminent, Sur le foible ſujet d’vn mal incontinent;	J'atteste la splendeur de ta Cour assemblée, Que mon âme n'est point maniaque, troublée, Exposant ses amis au péril éminent, Sur le faible sujet d'un mal incontinent;
La beauté de Maſée, encore que diuine, N’allume tant de feux en ma froide poitrine, L’opprobre du mépris, la honte du refus, Qui de chez l’inſolent m'expulſerent confus, L'injure ſur les miens commune redondée, Eſt où ma haine i'ay principale fondée.	La beauté de Masée, encore que divine, N'allume tant de feux en ma froide poitrine, L'opprobre du mépris, la honte du refus, Qui de chez l'insolent m'expulsèrent confus, L'injure sur les miens commune redondée, Est où ma haine j'ai principale fondée.
Toy donc Tere tonnant, qui punis les peruers, Al qui ſont nos deſſeins equitables ouuerts, Uueilles les aſſister d’vne proſpere iſſuë, Fay que noſtre eſperance heureuſement conceuë Paruienne à ſon attente, ou ſi quelque meſchef Nous menãce à tomber, que ce ſoit ſur mon chef	Toi donc Tere tonnant, qui punis les pervers, Al qui sont nos desseins équitables ouverts, Uueilles les assister d'une prospère issue, Fay que notre espérance heureusement conçue Parvienne à son attente, ou si quelque mèches Nous menance à tomber, que ce soit sur mon chef
Loncate.	Loncate.
Mettons nous vigilans en decent equippage, maupuiſaire au pluſteje teuefire coyage.	Mettons nous vigilants en décent équipage, maupuisaire au plusteje teufire coyage.
Macente.	Macente.
De tels exploits auſſi n'ayment pas le diſcours, Et celuy le ſuruend qui prolonge ſon cours.	De tels exploits aussi n'aiment pas le discours, Et celui le survend qui prolonge son cours.
SCENE II.	SCÈNE II.
NEPHELIE, MASEE, ADIMACHE.	NÉPHÉLIE, MAZÉ, ADIMACHE.
Nephelie.	Néphélie.
Ourquoy tant de beauteZ diſtillez-vous T en larmes?	Ourquoy tant de beautés distillez-vous T en larmes?
Que veulent ces ſouspirs?	Que veulent ces soupirs?
d’où viennent ces allarmes?	d'où viennent ces alarmes?
A quelle occaſion ſangloter maintenant, Que le jour nuptial en ſes bras vous tenant Ne reſpire que jeux, qu'esbats & qu'allegreſſe, Qu'vn illuſtre Heros vous adore Maiſtreße?	À quelle occasion sangloter maintenant, Que le jour nuptial en ses bras vous tenant Ne respire que jeux, qu'ébats et qu'allégresse, Qu'un illustre Héros vous adore Maistresse?
Certaine conjecture en mon ame redit, Ce que de reueler le respect m'interdit.	Certaine conjecture en mon âme redit, Ce que de révéler le respect m'interdit.
Madame, que l’oubly vous perde ceſte Idée, Iadis ſur l’apparence equitable guidée, Ores que commettroit vn impudique erreur, X Qui ne ſe ſentoit moins d'Amour que de fureur:	Madame, que l'oubli vous perde cette Idée, Jadis sur l'apparence équitable guidée, Ores que commettrait un impudique erreur, X Qui ne se sentait moins d'Amour que de fureur:
„ Les choſes ont leur temps, & quiconque outre-paſſe, » Des Dieux & des humains merite la diſgrace;	„ Les choses ont leur temps, et quiconque outre-passe, " Es Dieux et des humains mérite la disgrâce;
catuuulutu on en fait juſte comparaijeis, Ainſi que hors du trac diuin de la raiſon.	cattuculutu on en fait juste comparaijeis, Ainsi que hors du trac divin de la raison.
Maſée.	Masée.
L'incurable douleur qui reſide en mon ame, N'en ſortira jamais que ſous la froide lame, Un Hymen deſaſtreux m'achemine à la mort, De laquelle dépend mon vnique confort.	L'incurable douleur qui reside la mon âme, N'en sortira jamais que sous la froide la, Un Hymen désastreux m'achemine à la mort, De laquelle dépend mon unique confort.
Nephelie.	Néphélie.
Hé!	Hé!
bons Dieux, qui vous meut de pourſuiure inhumaine, Qui n'adore que vous;	bons Dieux, qui vous meut de poursuivre inhumaine, Qui n'adore que vous;
d’vne implacable haine?	d'une implacable haine?
Preferant à l’amour de ce futur Eſpous L'aiguillon de la mort, ſi redoutable à tous?	Préférant à l'amour de ce futur Épous L'aiguillon de la mort, si redoutable à tous?
Madame, purgez-vous ceſt humeur frenetique, Despouïllez, deſpouïlleZ vne rancœur inique, Sa feruente amitié vous oblige à l’aymer, Ueu meſme qu'il n'a rien qui ſe puiſſe blâmer.	Madame, purgez-vous cette humeur frénétique, Despouillez, dépouillez une rancœur inique, Sa fervente amitié vous oblige à l'aimer, Ueu même qu'il n'a rien qui se puisse blâmer.
Maſée.	Masée.
Ie ne le hay pas tant comme ie le deſire oepure de mes yeux, ov ſet de mon martyre;	Je ne le hai pas tant comme on le désire opure de mes yeux, ou et de mon martyre;
Nephelie.	Néphélie.
Loing de ſe ſeparer, vnis d’oreſnauant Uous n'eſtes plus qu'vne ame en deux corps ſe mouuant.	Loing de se parer, vnis d'oresnavant Uous n'êtes plus qu'une âme en deux corps se mouvant.
Maſée.	Masée.
La mienne vit uiueurs, e ceſt a luy folie D'eſperer que douceur ou careſſe me plie.	La mienne vit uiveurs, e est a toujours folie D'espérer que douceur ou caresse me plie.
