A MONSIEUR MONSIEUR HOURLIER.	À MONSIEUR MONSIEUR HOURLIER.
Et Simon le Tailleur jadis ſi recherché?	Et Simon le Tailleur jadis si recherché?
ALBERI.	ÀLBERI.
Et la potence miſe au milieu du marché.	Et la potence mise au milieu du marché.
MASCARILLE.	MASCARILLE.
Vous verrez confirmer par eux cet hymenée.	Vous verrez confirmer par eux cet hyménée.
ALBERT.	ALBERT.
Tu verras achever par eux ta deſtinée.	Tu verras achever par eux ta destinée.
MASCARILLE.	MASCARILLE.
Ce lont eux qu'ns ont plis pour temoins de ledrloy,	Ce lont eux qu'ns ont plis pour témoins de ledroi,
ALBERT.	ALBERT.
Ce ſont eux qui dans peu me vangeront de toy.	Ce sont eux qui dans peu me vengeront de toi.
MASCARELLE.	MASCARELLE.
Et ces yeux les ont veu s’entredonner parole.	Et ces yeux les ont vu s'entredonner parole.
ALBERT.	ALBERT.
Et ces yeux te verront faire la capriole.	Et ces yeux te verront faire la capriole.
MASCARILLE.	MASCARILLE.
Et, pour ſigne, Lucile avoit un voile noir.	Et, pour signe, Lucile avait un voile noir.
ALBERT.	ALBERT.
Et, pour ſigne, ton front nous le fait aſſez voir.	Et, pour signe, ton front nous le fait assez voir.
MASCARILLE.	MASCARILLE.
O!	Ô!
l'obſtiné vieillard !	l'obstiné vieillard !
ALBERT.	ALBERT.
O!	Ô!
le fourbe damnable!	le fourbe damnable!
Va, rend grace à mes ans qui me font incapable De punir ſur le champ l’affront que tu me fais;	Va, rend grâce à mes ans qui me font incapable De punir sur le champ l'affront que tu me fais;
Tu n’en pers que l’attente, & je te le promets.	Tu n'en pers que l'attente, et je te le promets.
SCENE XI.	SCÈNE XI.
VALERE, MASCARILLE.	VALÈRE, MASCARILLE.
VALERE.	VALÈRE.
E' bien coocuulutet que la derois produi1T re.	E' bien coccuulutet que la derais produi1T re.
MASCARILLE.	MASCARILLE.
J’entens à demy mot ce que vous voulez dire;	J'entends à demi mot ce que vous voulez dire;
Tout s’arme contre moy, pour moy de tous coſtez Je voy coups de baſton, & gibets appreſtez:	Tout s'arme contre moi, pour moi de tous côtés Je vois coups de bâton, et gibets apprêtez:
Auſſi, pour eſtre en paix dans ce deſordre extreme, Je me vais d’un rocher precipiter moy-meſme, on danoie dcleiponr dont moncœur cit outre, Je puis en rencontrer d’aſſez haut à mon gré.	Aussi, pour être en paix dans ce désordre extrême, Je me vais d'un rocher précipiter moi-même, on danoie dcleiponr dont moncœur cit outre, Je puis en rencontrer d'assez haut à mon gré.
Adieu, Monſieur.	Adieu, Monsieur.
VALERE.	VALÈRE.
Non, non;	Non, non;
ta fuite eſt ſuperfluë:	ta fuite est superflue:
Si tu meurs, je pretenus que ce loit u ma veuë.	Si tu meurs, je prétends que ce loit ue ma vue.
MASCARILLE.	MASCARILLE.
Je ne ſçaurois mourir quand je ſuis regardé, Et ſion Heipas dilli le velloit fetalde.	Je ne saurais mourir quand je suis regardé, Et si Heipas dilli le vellait fétalde.
ALERE.	ALÈRE.
Suy-moy, traitre, ſuy-moy;	Sui-moi, traître, suis-moi;
mon amour en furie Te fera voir ſi c’eſt matiere à raillerie.	mon amour en furie Te fera voir si c'est matière à raillerie.
MASCARILLE.	MASCARILLE.
Mal-heureux Maſcarille!	Malheureux Mascarille!
à quels maux aujourduy Te vois-tu condamné pour le peché d’autruy!	à quels maux aujourdui Te vois-tu condamné pour le péché d'autrui!
Fin du troiſiéme Acte.	Fin du troisième Acte.
ACTE	ACTE
2 P ACTE IV.	2 P ACTE IV.
CENE I.	CÈNE I.
ASCAGNE, FROSINE.	ASCAGNE, FROSINE.
ASCAGNE.	ÀSCAGNE.
Ah!	Ah!
ma chere Froſine, Le ſort abſolument a conclu ma ruïne:	ma chère Frosine, Le sort absolument a conclu ma ruine:
Cette affaire venuë au point où la voila N’eſt pas aſſeurément pour en demeurer là;	Cette affaire venue au point où la voilà N'est pas assurément pour en demeurer là;
Il faut qu’elle paſſe outre;	Il faut qu'elle passe outre;
& Lucile, & Valere, Surpris des nouveautez d’un ſemblable miſtere Voudront chercher un jour dans ces obſcuritez, Par qui tous mes projets ſe verront avortez.	et Lucile, et Valère, Surpris des nouveautés d'un semblable mystère Voudront chercher un jour dans ces obscurités, Par qui tous mes projets se verront avortez.
Caf, enſin, ſoit qu’Albert ait part au ſtratageme, Ou qu’avec tout le monde on l’ait trompé luy-meſme;	Caf, ensin, soit qu'Albert ait part au stratagème, Ou qu'avec tout le monde on l'ait trompé quelque-même;
S’il arrive une fois que mon ſort éclaircy Mette ailleurs tout le bien dont le ſien a groſſi, Jugez s’il aura lieu de ſouffrir ma preſence:	S'il arrive une fois que mon sort éclairci Mette ailleurs tout le bien dont le sien a grossi, Jugez s'il aura lieu de souffrir ma présence:
Son intereſt détruit me laiſſe à ma naiſſance;	Son intérêt détruit me laisse à ma naissance;
C’eſt fait de ſa tendreſſe, &, quelque ſentiment Où pour ma fourbe alors put eſtre mon amant, Voudra-t-il avoüer pour eſpouſe une fille Qu’il verra ſans apuy de biens & de famille?	C'est fait de sa tendresse, et, quelque sentiment Où pour ma fourbe alors put être mon amant, Voudra-t-il avouer pour épouse une fille Qu'il verra sans appui de biens et de famille?
ROSINE.	ROSINE.
Je trouve que c’eſt là raiſonné comme il faut:	Je trouve que c'est là raisonné comme il faut:
Mais ces reflexions devoient venir pluſtoſt.	Mais ces réflexions devaient venir plutôt.
Qui vous à juſqu’icy caché cette lumiere?	Qui vous à jusqu'ici caché cette lumière?
Il ne falloit pas eſtre une grande ſorciere, Pour voir, dés le moment de vos deſſeins pour luy, Tout Tout ce que voſtre eſprit ne voit que d’aujourduy.	Il ne fallait pas être une grande sorcière, Pour voir, dès le moment de vos desseins pour toujours, Tout Tout ce que votre esprit ne voit que d'aujourdui.
L’action le diſoit;	L'action le disait;
& dés que je l’ay ſceuë, je nenay plereu guele une meineule nde.	et dès que je l'ai sue, je nenai plereu gule une meineule nède.
ASCAGNE.	ÀSCAGNE.
Que doiſ-je faire enfin?	Que dois-je faire enfin?
mon trouble eſt ſans pareil;	mon trouble est sans pareil;
Mettez-vous en ma place, & me donnez conſeil.	Mettez-vous en ma place, et me donnez conseil.
FROSINE.	FROSINE.
Ce doit-eſtre à vous meſme, en prenant voſtre place, A me donner conſeil deſſus cette diſgrace:	Ce doit-être à vous -être, en prenant votre place, À me donner conseil dessus cette disgrâce:
ça, je ſuis maintenant vous, & vous eſtes moy;	ça, je suis maintenant vous, et vous êtes moi;
Conſeillez-moy, Froſine, au point où je me voy.	Conseillez-moi, Frosine, au point où je me vois.
Quel remede treuver?	Quel remède trouver?
dites, je vous en prie.	dites, je vous en prie.
ASCAGNE.	ÀSCAGNE.
Helas!	Hélas!
ne traitez point cecy de raillerie;	ne traitez point ceci de raillerie;
C'eſt prendre peu de part à mes cuiſans ennuis, Que de rire, & de voir les termes où j’en ſuis.	C'est prendre peu de part à mes cuisants ennuis, Que de rire, et de voir les termes où j'en suis.
FROSINE.	FROSINE.
Non vrayment, tout de bon;	Non vraiment, tout de bon;
voſtre ennuy m’eſt Pemese?	votre ennui m'est Pemese?
Et pour vous en tirer je ferois mon poſſible.	Et pour vous en tirer je ferais mon possible.
Mais, que puiſ-joapltotoui, je roy ioiepeu de jour A tourner cette affaire au gré de voſtre amour.	Mais, que puis-joapltotoui, je roy ioiepeu de jour A tourner cette affaire au gré de votre amour.
ASCAGNE.	ÀSCAGNE.
Si rien ne peut m’aider, il faut donc que je meure.	Si rien ne peut m'aider, il faut donc que je meure.
ROSINE.	ROSINE.
Ha!	Ha!
pour cela tousjours il eſt aſſez bonne heure;	pour cela toujours il est assez bonne heure;
La mort eſt un remede à trouver quand on veut, Et rons cir doit lervn ie plus laid que ron peut.	La mort est un remède à trouver quand on veut, Et rons cir doit ler ie doit laid que ron peut.
ASCAGNE.	ÀSCAGNE.
Non, non, Froſine, non;	Non, non, Frosine, non;
ſi vos conſeils propices Ne conduiſent mon ſort parmy ces precipices, Je m’abandonne toute aux traits du deſeſpoir.	si vos conseils propices Ne conduisent mon sort parmi ces précipices, Je m'abandonne toute aux traits du désespoir.
ROSINE.	ROSINE.
Sçavez-vous ma penſée?	Savez-vous ma pensée?
il faut que j’aille voir La.	il faut que j'aille voir La.
mais Eraſte vient qui pourroit nous diſtraire, Rn Nous pourrons en marchant parler de cette affaire;	mais Eraste vient qui pourrait nous distraire, Rn Nous pourrons en marchant parler de cette affaire;
Allons, retirons-nous.	Allons, retirons-nous.
SCENE II.	SCÈNE II.
ERASTE, GROS-RENE'.	ERASTE, GROS-RENE.
ERASTE.	ERASTE.
ENcore rebuté?	ENcore rebuté?
*ROSRENÉ.	*ROSRENÉ.
Jamais Ambaſſadeur ne fut moins écouté;	Jamais Ambassadeur ne fut moins écouté;
A peine ay-je voulu luy porter la nouvelle Du moment d’entretien que vous ſouhaitiez d’elle, Qu’elle m’a repondu tenant ſon quant-à-moy, Va, va, je fais état de luy, comme de toy:	À peine ai-je voulu lui porter la nouvelle Du moment d'entretien que vous souhaitiez d'elle, Qu'elle m'a répondu tenant son quant-à-moi, Va, va, je fais état de même, comme de toi:
Dy-luy qu’il ſe promene;	Dis-lui qu'il se promène;
& ſur ce beau langage, Pour ſuivre ſon chemin m’a tourné le viſage:	et sur ce beau langage, Pour suivre son chemin m'a tourné le visage:
Et Marinette auſſi, d’un dédaigneux muſeau, Laſchant un, laiſſe-nous, beau valet de carreau, M’a planté là comme elle, & mon ſort & le voſtre N’ont rien à ſe pouvoir reprocher l’un à l’autre.	Et Marinette aussi, d'un dédaigneux museau, Lâchant un, laisse-nous, beau valet de carreau, M'a planté là comme elle, et mon sort et le vôtre N'ont rien à se pouvoir reprocher l'un à l'autre.
ERASTE.	ERASTE.
L’ingrate!	L'ingrate!
recevoir avec tant de fierté Le prompt retour d’un cœur juſtement emporté!	recevoir avec tant de fierté Le prompt retour d'un cœur justement emporté!
Quoy!	Quoi!
le premier tranſport d’un amour qu’on abuſe Sous tant de vray-ſemblance eſt indigne d’excuſe?	le premier transport d'un amour qu'on abuse Sous tant de vraiisemblance est indigne d'excuse?
Et ma plus vive ardeur en ce moment fatal Devoit eſtre inſenſible au bon-heur d’un rival?	Et ma plus vive ardeur en ce moment fatal Devait être insensible au bonheur d'un rival?
Tout autre n’euſt pas fait meſme choſe en ma place?	Tout autre n'eût pas fait même chose en ma place?
Et ſe fut moins laiſſé ſurprendre à tant d’audace?	Et se fut moins laissé surprendre à tant d'audace?
De mes juſtes ſoupçons ſuis-je ſorty trop tard?	De mes justes soupçons suis-je sorti trop tard?
Je n’ay point attendu de ſermens de ſa part;	Je n'ai point attendu de serments de sa part;
Et, lors que tout le monde encor ne ſçait qu’en croi10 Ce cœur Impatient luy rend toute ſa gloire, Il cherche à s’excuſer, & le ſien voit ſi peu Dans ce profond reſpect la grandeur de mon feu ?	Et, lors que tout le monde encor ne sait qu'en crois0 Ce cœur Impatient deux rend toute sa gloire, Il cherche à s'excuser, et le sien voit si peu Dans ce profond respect la grandeur de mon feu ?
Loin d’aſſurer une ame, & luy fournir des armes;	Loin d'assurer une âme, et notre fournir des armes;
Contre ce qu’un rival luy veut donner d’alarmes, L’ingrate m’abandonne à mon jaloux tranſport, Et rejette de moy, meſſage, écrit, abord?	Contre ce qu'un rival lui veut donner d'alarmes, L'ingrate m'abandonne à mon jaloux transport, Et rejet de moi, message, écrit, abord?
Ha!	Ha!
ſans doute, un amour a peu de violence, Qu’eſt capable d’eteindre une ſi foible offence, Et ce dépit ſi prompt à s’armer de rigueur Deſcouvre aſſez pour moy tout le fond de ſon cœur, Et de quel prix doit eſtre à preſent à mon ame Tout ce dont ſon caprice a pû flater ma flame.	sans doute, un amour a peu de violence, Qu'est capable d'éteindre une si faible offense, Et ce dépit si prompt à s'armer de rigueur Découvre assez pour moi tout le fond de son cœur, Et de quel prix doit être à présent à mon âme Tout ce dont son caprice a pu flatter ma flame.
Non je ne pretens plus demeurer engagé aour dneneur, ou jevoy le peu de pait que j’ay;	Non je ne prétends plus demeurer engagé aour neneur, ou jevois le peu de paît que j'ai;
Et, puiſque l’on témoigne une froideur extréme A conſerver les gens, je veux faire de meſme.	Et, puisque l'on témoigne une froideur extrême A conserver les gens, je veux faire de même.
GROS-RENE’.	GROS-RENE'.
Et moy de meſme auſſi:	Et moi de même aussi:
ſoyons tous deux faſchez, Et mettons noſtre amour au rang des vieux pechez:	soyons tous deux fâchés, Et mettons notre amour au rang des vieux péchés:
Il faut apprendre à vivre à ce ſexe volage, Et luy faire ſentir que l’on a du courage.	Il faut apprendre à vivre à ce sexe volage, Et tu faire sentir que l'on a du courage.
Qui ſouffre ſes meſpris les veut bien recevoir, Si nous avions l’eſprit de nous faire valoir, Les femmes n’auroient pas la parole ſi haute.	Qui souffre ses mépris les veut bien recevoir, Si nous avions l'esprit de nous faire valoir, Les femmes n'auraient pas la parole si haute.
O!	Ô!
qu’elles nous ſont bien fieres par noſtre faute!	qu'elles nous sont bien fières par notre faute!
Je veux eſtre pendu, ſi nous ne les verrions Sauter à noſtre coû plus que nous ne voudrions, Sans tous ces vils devoirs, dont la pluſpart des hommes Les gatent tous les jours dans le ſiecle où nous ſommes.	Je veux être pendu, si nous ne les verrions Sauter à notre coû plus que nous ne voudrions, Sans tous ces vils devoirs, dont la plupart des hommes Les gâtent tous les jours dans le siècle où nous sommes.
ERASTE.	ERASTE.
Pour moy, ſur toute choſe, un mépris me ſurprend;	Pour moi, sur toute chose, un mépris me surprend;
Et, pour punir le ſien par un autre auſſi grand, Je veux mettre en mon cœur une nouvelle flame.	Et, pour punir le sien par un autre aussi grand, Je veux mettre en mon cœur une nouvelle flamme.
GROS-RENE.	GROS-RENE.
Et nous aymons bien mieux, nous autres gens d’étude, Et moy, je ne veux plus m’embaraſſer de femme;	Et nous aimons bien mieux, nous autres gens d'étude, Et moi, je ne veux plus m'embarrasser de femme;
A toutes je renonce, & crois, en bonne foy, Que vous feriez fort bien de faire comme moy.	À toutes je renonce, et crois, en bonne foi, Que vous feriez fort bien de faire comme moi.
Car, voyez-vous?	Car, voyez-vous?
la femme eſt, comme on dit, mon maiſtre, Un certain animal difficile à connoiſtre, Et de qui la nature eſt fort encline au mal:	la femme est, comme on dit, mon maître, Un certain animal difficile à connaître, Et de qui la nature est fort encline au mal:
Et comme un animal eſt tousjours animal, Et ne ſera jamais qu’animal, quand ſa vie Dureroit cent mil ans;	Et comme un animal est toujours animal, Et ne sera jamais qu'animal, quand sa vie Durerait cent mille ans;
auſſi, ſans repartie, La femme eſt tousjours femme, & jamais ne ſera Que femme, tant qu’entier le monde durera.	aussi, sans repartie, La femme est toujours femme, et jamais ne sera Que femme, tant qu'entier le monde durera.
D’où vient qu’un certain Grec dit, que ſa teſte paſſe Pour un ſable mouvant:	D'où vient qu'un certain Grec dit, que sa tête passe Pour un sable mouvant:
car, goutez bien, de grace, Ce raiſonnement-cy, lequel eſt des plus forts:	car, goûtez bien, de grâce, Ce raisonnement-cy, lequel est des plus forts:
Ainſi que la teſte eſt comme le chef du corps, Et que le corps ſans chef eſt pire qu’une beſte;	Ainsi que la tête est comme le chef du corps, Et que le corps sans chef est pire qu'une bête;
Si le chef n’eſt pas bien d’accord avec la teſte, Que tout ne ſoit pas bien reglé par le compas, Nous voyons arriver de certains embarras;	Si le chef n'est pas bien d'accord avec la tête, Que tout ne soit pas bien réglé par le compas, Nous voyons arriver de certains embarras;
La partie brutale alors veut prendre empire Deſſus la ſenſitive, & l’on voit que l’un tire A dia, l’autre a hurhaut;	La partie brutale alors veut prendre empire Dessus la sensitive, et l'on voit que l'un tire A dia, l'autre a hurhaut;
l’un demande du moû, L’autre du dur;	l'un demande du mou, L'autre du dur;
enfin tout va ſans ſçavoir ou:	enfin tout va sans savoir ou:
Pour montrer qu’icy bas, ainſi qu’on l’interprete, La teſte d’une femme eſt comme la girouette Au haut d’une maiſon, qui tourne au premier vent.	Pour montrer qu'ici bas, ainsi qu'on l'interprète, La tête d'une femme est comme la girouette Au haut d'une maison, qui tourne au premier vent.
C’eſt pourquoy, le couſin Ariſtote ſouvent La compare à la mer;	C'est pourquoi, le cousin Aristote souvent La compare à la mer;
d’ou vient qu’on dit qu’au monde On ne peut rien trouver de ſi ſtable que l’onde.	d'ou vient qu'on dit qu'au monde On ne peut rien trouver de si stable que l'onde.
