A MONSIEVR, RVTSTCOIEVT DE BELIN.	À MONSIEUR, RUTSTCOIEUT DE BELIN.
Mon Seigneur de la bouche, ou de l’œil ſeulement Retracte en ma faueur ce dur commandement Qui deffend le treſpas à ta chere Iſabelle, En vn temps que la vie eſt vn enfer pourelle:	Mon Seigneur de la bouche, ou de l'œil seulement Rétracte en ma faveur ce dur commandement Qui défend le trépas à ta chère Isabelle, En un temps que la vie est un enfer pourelle:
O Ciel!	Ô Ciel!
i'adreſſe en vain à celuy qui n'eſt plus Des diſcours douloureux autant que ſuperflus, La mort a fait ſur luy ſi peu de violence Qu'elle ſemble en ſa bouche vn gracieux ſilence, Et dans ſes yeux fermeZ vn paiſible ſommeil;	j'adresse en vain à celui qui n'est plus Des discours douloureux autant que superflus, La mort a fait sur lui si peu de violence Qu'elle semble en sa bouche un gracieux silence, Et dans ses yeux fermez un paisible sommeil;
Mais Dieu l’vn eſt ſans fin & l’autre ſans réueil, Difference mortelle!	Mais Dieu l'un est sans fin et l'autre sans réveil, Différence mortelle!
horrible circonſtance!	horrible circonstance!
Qui me priue à la fois d’eſpoir & de conſtance:	Qui me prive à la fois d'espoir et de constance:
Sus donc, puis qu’en mourant le malheureux Zerbin Me deffend en Seigneur d’accourcir mon deſtin, Et que l’expreſſe loy du vray Dieu que i'adore Auec plus de rigueur me le deffend encore:	Sus donc, puis qu'en mourant le malheureux Zerbin Me défend en Seigneur d'accourcir mon destin, Et que l'expresse loi du vrai Dieu que j'adore Avec plus de rigueur me le défend encore:
O!	Ô!
rage, ô!	rage, ô!
deſeſpoirs, ô!	désespoirs, ô!
tragiques tranſports, Boureaux de mon eſprit, ſoyeZ-le de mon corps, Eſpargnez, à ma main vn meurtre illegitime, Et mourant par vos coups que ie meure ſans crime;	tragiques transports, Boureaux de mon esprit, soyez-le de mon corps, Espargnez, à ma main un meurtre illégitime, Et mourant par vos coups que tu meure sans crime;
Quoy douleurs vos couteaux ne ſuffiront-ils pas A me donner ſur l’heure vn innocent treſpas;	Quoi douleurs vos couteaux ne suffiront-ils pas A me donner sur l'heure un innocent trépas;
Ayant deſia perdu la moitié de ma vie, L'autre auec peu d’effort me doit eſtre rauie.	Ayant déjà perdu la moitié de ma vie, L'autre avec peu d'effort me doit être ravie.
4	4
BUNIVICV L’HERMITE, BERTRANT.	BUNIVICU L'HÉRMITE, BERTRANT.
* la diia L’HERMITE.	* la diya L'HÉRMITE.
Aſtons-nous, & croyez que c’eſt l’Eſprit de Dieu, Qui pour vn grand ſujet vous ameine en ce lieu Où voſtre charité nous ſera neceſſaire.	Astons-nous, et croyez que c'est l'Esprit de Dieu, Qui pour un grand sujet vous âme en ce lieu Où votre charité nous sera nécessaire.
ISABELLE.	ISABELLE.
Ha!	Ha!
douleur trop cruel & trop lent aduerſaire, Veux-tu par ta rigueur qui tarde à me tuer Ou prolonger ma peine, ou la perpetuer?	douleur trop cruel et trop lent adversaire, Veux-tu par ta rigueur qui tarde à me tuer Ou prolonger ma peine, ou la perpétuer?
Non, non, voicy dequoy m’affranchir ſous la tombe l'eſpée Des maux ſous qui deſia ma conſtance ſuccombe, Et le Ciel, s’il luy plaiſt, quand ie perdray le iour, Excuſera ma rage, & Zerbin mon amour.	Non, non, voici dequoy m'affranchir sous la tombe l'épée Des maux sous qui déjà ma constance succombe, Et le Ciel, s'il avait plaît, quand Elle perdrai le jour, Excusera ma rage, et Zerbin mon amour.
L’HERMITEaccourant.	L'HÉRMITEaccourant.
Ha!	Ha!
ma fille, arreſtez cette main homicide, Penſez où vous conduit la fureur qui vous guide, Que vous allez d’vn coup tuer l’ame & le corps, ¶E---im-Ia -e H iij Et vous faire vn paſſage à d’immortelles morts.	ma fille, arrêtez cette main homicide, Pensez où vous conduit la fureur qui vous guide, Que vous allez d'un coup tuer l'âme et le corps, H Et vous faire passage immortelles morts.
ISABELLE.	ISABELLE.
Oüy, mon Pere, il eſt vray;	Oui, mon Père, il est vrai;
mais quoy qu’il en arriue Puiſque Zerbin eſt mort il faut que ie le ſuiue.	mais quoi qu'il en arrive Puisque Zerbin est mort il faut que je le suive.
L’HERMITE.	L'HÉRMITE.
Vous parleZ de le ſuiure, & vous courez deuant Quoy ne voyez-vous pas qu’il eſt encor viuant, Et que ſon œil qui craint & cherche la lumiere Ouure & ferme außi-toſt ſa peſante paupiere?	Vous parlez de le suivre, et vous courez devant Quoi ne voyez-vous pas qu'il est encor vivant, Et que son œil qui craint et cherche la lumière Ouvre et ferme aussitôt sa pesante paupière?
BERTRAND.	BERTRAND.
It faut d'vn peu a eau ſraiſene eueiuer ſes eſprits.	It faut d'un peu a eau sraisène eueiuer ses esprits.
ISABELLE.	ISABELLE.
Ha!	Ha!
Zerbin ma chere ame, es-tu ſourd à mes cris?	Zerbin ma chère âme, es-tu sourd à mes cris?
L’HERMITE.	L'HÉRMITE.
C eſt a fauté de ſang que ce guerrier expire, De meſme qu'vn flambeau meurt à faute de cire.	Ç est a fauté de sang que ce guerrier expire, De même qu'un flambeau meurt à faute de cire.
BERTRAND.	BERTRAND.
Portons-le chez mon frere a cent pas dans le bois.	Portons-le chez mon frère a cent pas dans le bois.
L’HERMITE.	L'HÉRMITE.
Fort bien, partageons donc la charge entre nous trois, De vos bras & des miens faiſons vne litiere, Et ſa triſte moitié le tiendra par derriere.	Fort bien, partageons donc la charge entre nous trois, De vos bras et des miens faisons toujours litière, Et sa triste moitié le tiendra par derrière.
Fin du troiſieſme Acte.	Fin du troisième Acte.
NCTE H SCENE PREMIERE.	NCTE H CÈNE PREMIÈRE.
ANGELIQVE cherchant Medor.	ANGELIQUE cherchant Médor.
P STANCES.	 STANCES.
Reuolution en amour non pareille, Au beau nom de Medor hppellé tant de fois, Les rochers les plus ſourds reſpondent à ma voix, Et celuy que i'appelle y fait la ſourde oreille;	Revolution en amour non pareille, Au beau nom de Médor hppellé tant de fois, Les rochers les plus sourds répondent à ma voix, Et celui que j'appelle y fait la sourde oreille;
Quelle indiſcretion pour vn nouuel Amant!	Quelle indiscrétion pour un nouvel Amant!
Sortir dés que le iour a ſa torche allumée, Et pour augmenter mon tourment Manquer de reuenir à l’heure accouſtumée.	Sortir dès que le jour a sa torche allumée, Et pour augmenter mon tourment Manquer de revenir à l'heure accoutumée.
Deſia tã procedure eſtoit bien rigoureuſe De me laiſſer au lict dans les bras du ſommeil, Et de m'abandonner au plus faſcheux réueil ui puiſſe ouurir les yeux d’vne femme amoureuſe:	Déjà toujours procédure était bien rigoureuse De me laisser au lit dans les bras du sommeil, Et de m'abandonner au plus fâcheux réueil puisse ouurir les yeux d'une femme amoureuse:
conn ye ſd Jac Ha!	conn ue séd Jac Ha!
trop cher ennemy de mon contentement, Sçachant l’extreme ardeur dont ie ſuis conſumée,	trop cher ennemi de mon contentement, Sachant l'extrême ardeur dont personne suis consumée,
Au moins apres te manquement, Il fattoil teueni ls vueure decempumee.	Au moins après te manquement, Il fattoil téveni lus vuure decempumee.
Ce n'eſt pas qu'en effect ie ne fuſſe blâmable De vouloir nuict & iour arreſter tabeauté, Ie ſçay bien que l’hymen ayme la liberté, Et que la liberté rend l’hymen plus aymable, On peut prendre ou chercher du diuertiſſement Ailleurs que dans le ſein de la perſonne aymée;	Ce n'est pas qu'en effet Seigneur ne fusse blâmable De vouloir nuit et jour arrêter tabeauté, Je sais bien que l'hymen aime la liberté, Et que la liberté rend l'hymen plus aimable, On peut prendre ou chercher du divertissement Ailleurs que dans le sein de la personne aimée;
Mais il ne faut pas d’vn moment Manquer de reuenir à l’heure accouſtumée.	Mais il ne faut pas d'un moment Manquer de revenir à l'heure accoutumée.
Cet Aſtre de beauté, ce miracle de grace, Ce beau viſage, Amour, que ta mere ayma tant, Tout mortel qu’il eſtoit l’abandonna pourtant Pour ſuiure quelques fois les plaiſirs de la chaſſe:	Cet Astre de beauté, ce miracle de grâce, Ce beau visage, Amour, que ta mère aima tant, Tout mortel qu'il était l'abandonna pourtant Pour suivre quelques fois les plaisirs de la chasse:
Mais outre que iamais ſur cet eſloignement Il ne laiſſa Venus la paupiere fermée Tous les iours cet objet charmant Alloit & reuenoit à l’heure accouſtumée.	Mais outre que jamais sur cet éloignement Il ne laissa Venus la paupière fermée Tous les jours cet objet charmant Allait et revenait à l'heure accoutumée.
A la fintoutes fois abbatu ſous la hure Du plus fier animal des foreſts d’alentour, Il manquade parole à la mere d’Amour, Qui meſla tant de pleurs au ſang de ſa bleſſeure;	À la fintoutes fois abattu sous la heure Du plus fier animal des forêts d'alentour, Il manquade parole à la mère d'Amour, Qui mêla tant de pleurs au sang de sa blessure;
Ha!	Ha!
Medor, que ie crains qu'vn ſanglier écumant, ----4 Qu	Medor, que ici crains qu'un sanglier écumant, -à-dire Quel
Ou d’vn mortel aſpic la dent enuenimée, Ne ſoit cauſe que iuſtement	Ou d'autre mortel aspic la dent envenimée, Ne soit cause que justement
Tu n'as pu reuenir à l’heure accouſtumée.	Tu n'as pu revenir à l'heure accoutumée.
Dieux quelle inquietude à l’eſprit d’vne Amante!	Dieux quelle inquiétude à l'esprit d'une Amante!
Que ce penſer me trouble, & que pour mon malheur Vn ſonge du matin & de triſte couleur En tous ſes accidens le confirme & l’augmente;	Que ce penser me trouble, et que pour mon malheur Un songe du matin et de triste couleur En tous ses accidents le confirme et l'augmente;
Mais que ie crains bienplus, & plus apparamment Que de tes doux regards quelque Nymphe charmée Ne t’ait traitté ſi doucement Qu’il ait fallu manquer à l’heure accouſtumée.	Mais que ici crains bienplus, et plus apparamment Que de tes doux regards quelque Nymphe charmée Ne t'ait traité si doucement Qu'il ait fallu manquer à l'heure accoutumée.
Que ſi de cette amour, dont le ſoupçon me preſſe, Ie découure à ce ſoir le veritable effait, Quelque eſſay de pla ſir que Medor en ayt fait, I'en ayde pius charmans que n'a cette maiſtreſſe;	Que si de cette amour, dont le soupçon me presse, Je découvre à ce soir le véritable effait, Quelque essai de pla sir que Médor en ait fait, J'en aide pius charmands que n'a cette maîtresse;
Ma legitime ardeur aura tant d’agrément Que ſi d’vne nature au vice confirmée Il n'ayme trop le changement, Il'ne manquera plus à l’heure accouſtumée.	Ma légitime ardeur aura tant d'agrément Que si d'une nature au vice confirmée Il n'aime trop le changement, Ilne manquera plus à l'heure accoutumée.
Mais ie voy Berenice, elle vient droit icy, Peut-eſtre ſon rapport m'oſtera de ſoucy.	Mais ici vois Berenice, elle vient droit ici, Peut-être son rapport m'ôtera de souci.
SCENEII.	SCENEII.
BERENICE, ANGELIQVE.	BERENICE, ANGELIQUE.
DEREſiens Adame Dieuvous garde.	DERÊiens Adame Dieuvous garde.
di HNOEENQVE.	di HNOENQUE.
Et vous machere hoſteſſe, Et vous oſte à iamais tout ſujet de triſteſſe.	Et vous machère hôtesse, Et vous ôte à jamais tout sujet de tristesse.
DelaEniaus Ce ſouhait non commun ſuiuy d’vn grand ſoupin Avionſre que voſtre cœur a quelque déplaiſir, Ne me le celez point, il en eſt quelque choſe?	DelaEniaus Ce souhait non commun suivi d'amour soupin Avions que votre cœur a quelque déplaisir, Ne me le celez point, il en est quelque chose?
ANGELIQVE.	ANGELIQUE.
Il eſt vray ie ſuis triſte, & Medoren eſt cauſe.	Il est vrai mot suis triste, et Médoren est cause.
Comment?	Comment?
BERENICE.	BERENICE.
ANGELIQVE.	ANGELIQUE.
Il eſt ſorty dés la pointe du iour.	Il est sorti dès la pointe du jour.
t- I.	t- I.
ſ --A	s 'A
BERENICE.	BERENICE.
Re Jyaypaeinsman depan.	Re Jypaeinsman dépane.
ANGELIQVE.	ANGELIQUE.
Iineje pas de retour;	Iineje pas de retour;
Ne l’auez-vous point veu dans la foreſt prochaine?	Ne l'avez-vous point vu dans la forêt prochaine?
BERENICE.	BERENICE.
Non, mais i’ay bien oüy de grands bruicts dans la Famire, Ce qui m'a fait iuger ſans m’émouuoir beaucoup Que c'eſtoient nos Bergers qui repouſſoient le loup.	Non, mais j'ai bien oui de grands bruits dans la Famire, Ce qui m'a fait juger sans m'émouvoir beaucoup Que c'étaient nos Bergers qui repoussaient le loup.
ANGELIQVE.	ANGELIQUE.
En ſin apres vn lieu dont ie ſuis deſia proche, Hors de noſtre fontaine, & hors de nostre roche, Ie ne ſçay plus d’endroit où le pouuoir chercher, Voyons donc ce Reduit ſi charmant & ſi cher.	En sin après un lieu dont je suis déjà proche, Hors de notre fontaine, et hors de notre roche, Je ne sais plus d'endroit où le pouvoir chercher, Voyons donc ce Réduit si charmant et si cher.
BERENICE.	BERENICE.
En effect haraßé du trauail de la chaſſe Il n'auroit pü choiſir vne plus belle place Pour prendre le repos, le frais & le ſommeil:	En effet harassé du travail de la chasse Il n'aurait pu choisir une plus belle place Pour prendre le repos, le frais et le sommeil:
Mais Dieux qui vit iamais vn deſordre pareil!	Mais Dieux qui vit jamais un désordre pareil!
Ces arbres par le fer eſtendus ſur la terre, Et ce roc emporté d’vn éclat de tonnerre Font voir auec horreur en ces aymables lieux Les courroux aſſemblez de la Terre & des Cieux.	Ces arbres par le fer étendus sur la terre, Et ce roc emporté d'être éclat de tonnerre Font voir avec horreur en ces aimables lieux Les courroux assemblés de la Terre et des Cieux.
ANGELIQVE.	ANGELIQUE.
Grand Dieu!	Grand Dieu!
c’eſt Durandal cette foudre de guerre Qui ſeule a detache ces grands quartiers de pierre, C’eſt elle qui n'aguere a tant d’arbres couppez, Et le bras d’vn jaloux a ces grands coups frappez:	c'est Durandal cette foudre de guerre Qui seule a détache ces grands quartiers de pierre, C'est elle qui n'aguère a tant d'arbres couppez, Et le bras d'un jaloux a ces grands coups frappez:
Ha!	Ha!
Roland, ha!	Roland, ha!
Medor, ie tremble & meurs de crainte Qu'il ne t’ait foudroyé d’vne mortelle attainte, Et que de ialouſie & de haine animé Il n’ait fait cent morceaux de ton corps bien-aymé.	Medor, Madame tremble et meurs de crainte Qu'il ne t'ait foudroyé d'une mortelle attainte, Et que de jalousie et de haine animé Il n'ait fait cent morceaux de ton corps bien-aimé.
BERENICE.	BERENICE.
Madame, venez votr, ie treuut encor ſur l'herbe Les armes que portoit ce Cheualier ſuperbe Qui demeura ſi triſte & ſi fort eſtonné A l’aſpect du preſent que vous m'auezdonné.	Madame, venez votr, votre trouvut encor sur l'herbe Les armes que portait ce Chalier superbe Qui demeura si triste et si fort étonné A l'aspect du présent que vous m'avezdonné.
ANGELIQVE.	ANGELIQUE.
Ce ne ſont point icy ces glorieuſes armes Qui par tout l’Orient ont cauſé tant d’allarmes, Au moins n’ont elles pas ce caſque merueilleux Qui fut du grand Almond l’ornement orgueilleux, Le Comte neantmoins les a priſes, peut-eſtre Pour auoir moins ſujet de ſe faire conneſtre, Et leur a fait donner cette obſcure couleur – Comme eſtant la propre à peindre ſa douleur:	Ce ne sont point ici ces glorieuses armes Qui par tout l'Orient ont causé tant d'alarmes, Au moins n'ont elles pas ce casque merveilleux Qui fut du grand Almond l'ornement orgueilleux, Le Comte néanmoins les a prises, peut-être Pour avoir moins sujet de se faire connaître, Et leur a fait donner cette obscure couleur Comme estant la propre peindre sa douleur:
Mais il s’eſt fait icy quelque horrible meſlée, La place tout autour eſt ſanglante & foulée;	Mais il s'est fait ici quelque horrible mêlée, La place tout autour est sanglante et foulée;
Helas!	Hélas!
à voir ce ſang fraiſchement répandu, Que peut s’imaginer mon eſprit éperdu?	à voir ce sang fraîchement répandu, Que peut s'imaginer mon esprit éperdu?
Si Roland a treuue la moitié de ma vie, Il ne faut pas douter qu’il ne me l’ait rauie:	Si Roland a trouve la moitié de ma vie, Il ne faut pas douter qu'il ne me l'ait ravie:
