A PHILISTE	À PHILISTE
Vous m’obligez encores trop, Madame il eſt bien vray que ſi vous ne m’aymiez que ſelon la rigueur du droict & de la raiſon, ie craindrois fort à ce cõpte de vous eſtre fort indifferent & il vaudroit beaucoup mieux pour moy que l’affection que vous me portez fuſt vne paſſion qu’vne vertu, & comme il ya des riuieres qui ne font iamais tant de bien au monde que quand elles ſe debordent, de meſ me l’amour n’a rien de meilleur que l’excez, commencés donc deſormais ie vous prie à ne garder ny regles, ny meſures aux faueurs que vous me ferez, à fin que ie ſois legitimement ingrat, eſtant infiniment obligé, ne me laiſſez pas meſme des paroles auec leſquelles ie vous puiſſe remercier, bref i’eſtime qu’on n’aime iamais aſſez Mounajinedp.	Vous m'obligez encore trop, Madame il est bien vrai que si vous ne m'aimiez que selon la rigueur du droit et de la raison, ie craindrois fort à ce compte de vous re fort indifférent et il vaudrait beaucoup mieux pour moi que l'affection que vous me portez fût été passion qu'une vertu, et comme il ya des rivières qui ne font jamais tant de bien au monde que quand elles se débordent, de mes me l'amour n'a rien de meilleur que l'excès, commencès donc désormais désormais vous prie à ne garder ni Elle, ni mesures aux faveurs que vous me ferez, à fin que ie sois légitimement ingrat, estant infiniment obligé, ne me laissez pas même des paroles auec lesquelles ie vous me ferez, à fin quon aime je les Mounajinedp.
CLORINDE.	CLORINDE.
Mais que voulez vous dire, tantoſt par vos conſeils?	Mais que voulez -vous dire, tantôt par vos conseils?
LEPALADIN.	LÉPALADIN.
Ie voulois dire, qu’il y a de certains petits mariages ſi peu contraints & ſi Iibres qu’on ne recherche pas meſme le conſentement de perſonne pour les conſommer, & de tous les myſteres ſecrets il n’y a point d’ordinaire d’autres teſmoings, que la nuict & le ſilence.	Je voulais dire, qu'il y a de certains petits mariages si peu contraints et si Jibres qu'on ne recherche pas même le consentement de personne pour les consommer, et de tous les mystères secrets il n'y a point d'ordinaire d'autres témoins, que la nuit et le silence.
CLORINDE.	CLORINDE.
Mais auſſi l’Egliſe ne les appreuue pas.	Mais aussi l'Église ne les approuve pas.
LE PALADIN.	LE PALADIN.
Si elle ne les approuue, elle ferme neantmoins les yeux pour faire ſemDianlt dene leapal tal.	Si elle ne les approuve, elle ferme néanmoins les yeux pour faire semDianlt dene leapal tal.
CLORINDE.	CLORINDE.
Et que diroit on de nous, ſi on nous trouuoit en cét eſtat.	Et que dirait on de nous, si on nous trouvait en cet état.
LE PALADIN.	LE PALADIN.
On ne croiroit pas que nous conſpiraſſions contre le Roy, ny que ie vous appriſſe la Magie, & certes il me ſemble qu’il ſeroit bien temps que nous commençaſſions l’Hiſtoire de nos aduantures, & que vous vouluſſiez vous éloigner de la tyrannie de vos Parens, c’eſt vn monſtre qu’il faut fuyr iuſques aux extremitez de la terre, & auec qui la paix meſme eſt dangereuſe, ie vous menerois aux pays des peintures, de la Muſique & de la Comedie, & où l’on porte autant de reſpect aux femmes qu’aux choſes ſainctes.	On ne croirait pas que nous conspirassions contre le Roi, ni que je vous apprisse la Magie, et certes il me semble qu'il serait bien temps que nous commençassions l'Histoire de nos aventures, et que vous voulussiez vous éloigner de la tyrannie de vos Parents, c'est un monstre qu'il faut fuir jusqu' aux extrémité de la terre, et qui avec la paix même est dangereuse, je vous mènerais aux pays des peintures, de la Musique et de la Comédie, et où l'on porte autant de respect aux femmes qu'aux choses saintes.
CLORINDE.	CLORINDE.
Ieſus, Monſieur, oſez vous bien me parler de ces longs pelerinages, à moy qui n’ay preſque des iambes que par bien-ſeance, & qui ay autant de peine d’aller d’vn bout de noſtre Iardin à l’autre, que s’il faloit trauerſer des montagnes & des riuieres, & qui ne rerois pas pius de enemu en vn iour qu’vn Courier boiteux en vne heure.	Jésus, Monsieur, osez vous bien me parler de ces longs pèlerinages, à moi qui n'ai presque des jambes que par bienséance, et qui ai autant de peine d'aller d'un bout de notre Jardin à l'autre, que s'il fallait traverser des montagnes et des rivières, et qui ne rerais pas pius de enemu en un jour qu'un Courier boiteux en une heure.
LE PALADIN.	LE PALADIN.
Madamoiſelle, pourueu que vous aymiez, toutes choſes vous ſeront ayſées, & vous n’aurez pas plus de peine à paſſer les Alpes qu’à monter voſtre degré, l’eau de la mer deuiendra douce ſi vous ne vous contentez qu’elle ſoit tranquille.	Madamaiselle, pourvu que vous aimiez, toutes choses vous seront aisées, et vous n'aurez pas plus de peine à passer les Alpes qu'à monter votre degré, l'eau de la mer deviendra douce si vous ne vous contentez qu'elle soit tranquille.
41	41
CLORINDE.	CLORINDE.
Monſieur, il n’eſt pas temps d’auoir de tels deſſeins, croyez moy, laiſſonsfaire à la Nature & au temps, ils nous vengeront bien toſt de nos ennemis, A dieu retirons nous, nous parlerons vne autrefois plus amplement de cẽt affaire.	Monsieur, il n'est pas temps d'avoir de tels desseins, croyez moi, laissonsfaire à la Nature et au temps, ils nous vengeront bien tôt de nos ennemis, A dieu retirons nous, nous parlerons quelque autrefois plus amplement de ciendáire.
LETHHHDIN.	LETHHÉDIN.
Allons Madamoiſelle.	Allons Madamaiselle.
CLORINDE.	CLORINDE.
Vous eſtes auſſi plein de ceremonies que le vieux Teſtament, ce ſera donc pour vous obeyr.	Vous êtes aussi plein de cérémonies que le vieux Testament, ce sera donc pour vous obéir.
QVATRIESME ACTE.	QUATRIÈME ACTE.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
Le docteur & ciorinde.	Le docteur et ciorinde.
LE DOCTEVR ’ERA-il touſiours plus ayſé d’alluOmer de la glace, que de vous don, ner de l’amour;	LE DOCTEUR 'ERA-il toujours plus aisé d'alluOmer de la glace, que de vous donne, ner de l'amour;
auray ie touſiours plus de peinea tiret de vous quelque bonne parole, que ie n’en aurois à obtenir trois Declarations du Roy, & autant de briefs de noſtre Sainct Pere;	aurai assez toujours plus de peinea tiret de vous quelque bonne parole, que je n'en aurais à obtenir trois Déclarations du Roi, et autant de briefs de notre Saint Père;
tout ce que ie vous ſçaurois dire, ne fera-il iamais aucune impreſſion ſur voſtre eſprit;	tout ce que je vous saurais dire, ne fera-il jamais aucune impression sur votre esprit;
toutesfois bien que vous me traictiez mal, & que vos meſpris me deuſ.	toutefois bien que vous me traitiez mal, et que vos mépris me dût.
ſent eſtre ſenſibles, i’ay reſolu de m’obſtiner à ſouffrir de vous, & de prendrepar force vos bonnes graces, s’il n’y a moyen de les gaigner legitimement, ie croy neantmoins que vous n’eſtes pas ſi ſauuuge, que tous n’enduriez qu’on vous ayme, ny ſi attachée à vous meſme, qu’il ne vous reſte quelque affection pour les choſes qui en ſont ſeparées, ſans faire le Poëte, ie vous puis aſſeurer que i’ay appris voſtre nom à tous les rochers de mon deſert, & qu’il eſt eſcrit ſur toutes les eſcorces de nos arbres, mais vous ne m’auez pas pourtant d’obligation de ce que ie vous ayme ſi parfaitement, c’eſt vne action qui ne depend plus de ma volonté ny de la liberté de mon franc-arbitre;	sent être sensibles, j'ai résolu de m'obstiner à souffrir de vous, et de prendrepar force vos bonnes grâces, s'il n'y a moyen de les gagner légitimement, je crois néanmoins que vous n'êtes pas si sauve, que tous n'enduriez qu'on vous aime, ni si attachée à vous même, qu'il ne vous reste quelque affection pour les choses qui en sont séparées, sans faire le Poète, je vous puis assurer que j'ai appris votre nom à tous les rochers de mon désert, et qu'il est écrit sur toutes les écorces de nos arbres, mais vous ne m'avez pas pourtant d'obligation de ce que ie vous aime si parfaitement, est action qui ne dépend plus de ma volonté ni de la liberté de mon franc-arbitre;
elle m'eſt auiourd’huy auſſi neceſſaire que toutes les autres, ſans leſquelles ie ne ſçaurois viure, & il faut bienque ie me laiſſe emporter à la force de mon inclination ( qu’vn autre appelleroit ſa deſtinée:	elle m'est aujourd'hui aussi nécessaire que toutes les autres, sans lesquelles homme ne saurais vivre, et il faut bienque je me laisse emporter à la force de mon inclination ( qu'un autre appelerait sa destinée:
ſoyez donc tant qu’il vous plaira mon ennemie, ie ne ſeray iamais autre que voſtre ſeruiteur;	soyez donc tant qu'il vous plaira mon ennemie, je ne serai jamais autre que votre serviteur;
toutesfois ie veux pluſtoſt croire pour la ſatisfaction de mon eſprit, que vous auez peut eſtre reſolu de m’aymer ſecrettement, à fin de ne donner de la jalouſie à perſonne, & qu’il y a plus d’artifice que de froideur en vn ſilence, autrement ſi cela eſtoit, & ſi ie me voyois toutà fait priué de l’honneur de vos bonnes graces, il eſt certain que ie ne voudrois pas vivre apres vn ſi ſenſible déplaiſir, & que ie penſerois n’auoir plus rien à conſeruer dans le monde apres auoir perdu meſmes l’elperance;	toutefois tu veux plutôt croire pour la satisfaction de mon esprit, que vous avez peut -être résolu de m'aimer secrètement, à fin de ne donner de la jalousie à personne, et qu'il y a plus d'artifice que de froideur en un silence, autrement si cela était, et si je me voyais toutà fait privé de l'honneur de vos bonnes grâces, il est certain que je ne voudrais pas vivre après un si sensible déplaisir, et que je penserois n'avoir plus rien à conserver dans le monde après avoir perdu mêmes l'elperance;
qui eſt le ſeul bien de ceux qui n’ont pas les autres.	qui est le seul bien de ceux qui n'ont pas les autres.
CLORINDE.	CLORINDE.
Voila qui eſt fort bien, mais on dit qu’il n’y a iamais grande difference entie voſtre ſanté & la maladie des autres, & que vous auez le corps ſi malfait & ſi debiſé qu’il ne faudroit que le ſouffler pour l’abattre.	Voilà qui est fort bien, mais on dit qu'il n'y a jamais grande différence entie votre santé et la maladie des autres, et que vous avez le corps si malfait et si débisé qu'il ne faudrait que le souffler pour l'abattre.
LE DOCTEVR.	LE DOCTEUR.
Sçachez, Madamoiſelle, que le Ciel de ce pays ne m’eſt pas tout a fait con traire, car de vous aſſeurer que ie me porte du tout bien, ie n’oſerois pas me hazarder iuſques là, ileſt vray que i’ay de bons interualles, quelques heures qui me lont renouuemt de ma premiere premiere ſante, & puis il y a d’excellens Medecins, qui m’ont promis de faire tout leur poſſible:	Sachez, Madamoiselle, que le Ciel de ce pays ne m'est pas tout a fait con traire, car de vous assurer que je me porte du tout bien, pleins me hasarderais pas me hasarder jusqu' à, ilest vrai que j'ai de bons intervalles, quelques heures qui me lont renouuemt de ma première première santé, et puis il y a d'excellends Médecins, qui m'ont promis de faire tout leur possible:
pour me refaire vn corps tout neuf, à tout le moins s’ils ne peuuent me guarir entieremẽt ils eſſayérõt de m’empeſcher de mourir, & faire durer mes maladies encores vne cinquantaine d’années, ie voudrois pourtant bien paſſer vn accord auec les Medecins, par lequel il fut dit que toutes les choſes bonnes fuſſent agreables, & qu’on ſe peut guarir ſentant des fleurs, au lięu que les remedes ſont de ſeconds maux qui viennent apres les autres, & toutesfois ſans beaucoup de temps & de peine ie me ſuis rendu aiſé tout ce qui me ſembloit au commencement impoſſible, & en l’eſtat où ie ſuis i’aualerois du feu ſi on me l’ordonnoit pour le bien de maſanté:	pour me refaire un corps tout neuf, à tout le moins s'ils ne peuvent me garir entièrement ils essayérõt de m'empêcher de mourir, et faire durer mes maladies encore avoir cinquantaine d'années, je voudrais pourtant bien passer un accord avec les Médecins, par lequel il fut dit que toutes les choses bonnes fussent agréables, et qu'on se peut guérir sentant des fleurs, au lięu que les remèdes sont de seconds maux qui viennent après les autres, et toutefois sans beaucoup de temps et de peine ie me suis rendu aisé tout ce qui me semblait au commencement impossible, et en l'état où on suis j'aualerois du feu si on me ordonnoit où le bien de masanté:
mais ie voy bien que ces paroles & ces attaques ne viennent pas directement de vous, elles ſortent ſans doubte d’vne bouche moins ſobre que celle d’vn Suiſſe, ie veux dire de mon riual, ie cognois à ce compte qu’il vous voit ſouuent, mais ie vous prie de croire que ce n’eſt pas volontairement que ie vous laiſſe ſi ſouuent entre ſes bras, & que ie ſouffre qu’il iouyſſe de mon bien ſans m’en rendre compte, tous les momens qu’il vous oblige de donner à ſes viſites, ſont autant d’vſurpations qu’il fait ſur moy tout ce que vous luy dites à l’oreille ſont autant de ſecrets que vous me cachez, & auoir voſtre conuerſation en mon abſence, c’eſt s’enrichir de mes pertes, ſi vous n’y prentz garde il deſrobera vos bonnes graces, car c’eſt le plus meſchant homme qui viue auiourd’huy ſoubs le Ciel, ie voy bien Clorinde qu’il faut que ie vous detrompe, & que ie faſſe l’hiſtoire de celuy que vous prenez pour vn ſi honneſte homme, il faut que vous croyez qu’il y a ſi long-temps qu’il fait du mal, qu’il ne ſe ſçauroit ſouuenir luy meſme du temps de ſoninnocence, & ila tellement appris dans le meſtier de la guerre les vices qui y ſont communs, qu’auiourd’huy meſme en pleine paix, il ne pardonne ny à âge ny à ſexe, ne penſez pas pourtant qu’il ſoit auſſi grãd guerrier qu’il ſe fait, & ſi par fois vous le voyez bleſſé au viſage, ne croyez pas que ce ſoient les marques de quelque combat, où il ait fait paroiſtre ſon courage, ce ſont ſeule ment les eſgratigneures de quelque Maiſtreſſe, il a toutes les paſſions & tous les deſſeins d’vn tyran, il ne luy en manque que la puiſſance pour les executer, & ſi le temps l’auoit chargé d’années, & des incommoditez de la vieilleſſe, ie crois qu’il voudroit encores voir auec des Lunettes, les choſes que les honneſtes gens fuient, & ſe faire porter aux lieux où il ne pourroit pas aller luy meſme honneſtemẽt;	mais ie bien que ces paroles et ces attaques ne viennent pas directement de vous, elles sortent sans doubte bouche moins sobre que celle Suisse, ie veux dire de mon riual, ie cognois ce compte il vous voit souuent, mais ie vous prie de croire que ce est pas volontairement que ie vous laisse si souuent entre ses bras, et que ie souffre il iouysse de mon bien sans en rendre compte, tous les momens il vous oblige de donner ses visites, sont autant vsurpations il fait sur moi tout ce que vous lui dites oreille sont autant de secrets que vous me cachez, et auoir vôtre conversation en mon absence, est enrichir de mes pertes, si vous y prentz garde il dérobera vos bonnes graces, car est le plus méchant homme qui viue auiourd’ soubs le Ciel, ie bien Clorinde il faut que ie vous detrompe, et que ie fasse histoire de celui que vous prenez pour si honnête homme, il faut que vous croyez il y a si long-temps il fait du mal, il ne se mais petit vois bien que ces de hommes, et ila tellement appris dans ce métier ala guerre ne vie qui y sont pas, dauiourd’emême en de vous, il les sorte ni s a ni doute, d' une pas bouche moil sobre aussi grãd celle d'un se fait, et si par lei vous le de m on rival, An croyez pas à ce soient les marques de quelque combat, ' il ait vous voit son courage, mais ainsi vous prie de croire de que Ce, il ' es les pas et tous les on ta, il re luiment que vous la isse si souvent exécuter, et si le temps auoit chargé as, et que incommodité entre ses bras, ie et quil Amère voir us des Lunettes' il jouiseaux m' en rendre fuient, et se , et aux lieux ' en re pourroit pas aller ç mesme vous;
