des Aydes.	des Aides.
Merueille des mortels, dont le puiſſant ſçauoir, A la recognoiſſance, oblige mon deuoir.	Merveille des mortels, dont le puissant sçauoir, À la reconnaissance, oblige mon devoir.
Ie ne ſçaurois iamais vous offrir vn ſalaire Eſgal à ce plaiſir que vous me venez faire:	Je ne saurais jamais vous offrir un salaire Égal à ce plaisir que vous me venez faire:
Car puis que toute choſe au monde vous pouuez, Ie ne vous puis offrir que ce que vous auez:	Car puis que toute chose au monde vous pouvez, Je ne vous puis offrir que ce que vous avez:
tontejui primcilea queie ron paijeue Que de moy, mes ſujects & de tout mon Empire, Vous pouuez dispoſer en toute liberté.	tonjui primilea queie ron paie Que de moi, mes sujects et de tout mon Empire, Vous pouvez disposer en toute liberté.
ISMIN.	ISMIN.
Tout ce que ie pretends de voſtre Majeſté, C’eſt d’auoir ce berger auec cette bergere Que vous croyez coupable & tenez priſonniere:	Tout ce que ici prétends de votre Majesté, C'est d'avoir ce berger avec cette bergère Que vous croyez coupable et tenez prisonnière:
Car ils ſont innocens, & ainſi la raiſon Cherche en voſtre pitié la fin de leur priſon.	Car ils sont innocents, et ainsi la raison Cherche en votre pitié la fin de leur prison.
{Tr Mais à peine les rais de ce luiſant Planete, Qui court la poſte au Ciel dedans vne charrette Auront donnè le iour quatre fois aux humains Que les vrays criminels ſeront entre vos mains:	UT Mais à peine les rais de ce luisant Planète, Qui court la poste au Ciel dedans grande charrette Auront donné le jour quatre fois aux humains Que les vrais criminels seront entre vos mains:
Car ie les veux forcer eux-meſmes des J rendre, Et vos gens n’auront pas la peine de les prendre:	Car ici les veux forcer eux-mêmes des rendre, Et vos gens n'auront pas la peine de les prendre:
Au pouuoir de mon art rien ne peut s’oppoſer,	Au pouvoir de mon art rien ne peut s'opposer,
L’EMPEREVR.	L'EMPEREUR.
I'aimerois mieux mourir que de vous réfuſer;	J'aimerais mieux mourir que de vous réfuser;
Ie vous rends auiourd’huy ma Couronne ſoubmiſe:	Je vous rends aujourd'hui ma Couronne soumise:
Commandez ſeulement, ie veux que ſans remiſe Ceux que vous demandez ſoient mis en liberté.	Commandez seulement, je veux que sans remise Ceux que vous demandez soient mis en liberté.
ISMIN.	ISMIN.
Ie rends grace tres-humble à voſtre Maieſté;	Je rends grâce très-humble à votre Majesté;
Ie veux premierement faiisfatre a tenute, Que i'ay de redonner à Philinte la vie, Citauray bien tost ſait.	Je veux premièrement faiisfatre a tenute, Que j'ai de redonner à Philinte la vie, Citaurai bien tôt sait.
L’EMPEREVR.	L'EMPEREUR.
Allez, ie vous attends.	Allez, Seigneur vous attends.
L’EMPEREVRICHl.	L'EMPEREURICHl.
Iamais tous mes deſirs ne furent ſi contens;	Jamais tous mes désirs ne furent si contents;
Parce qu'en meſme temps i’ay l’ame toute pleine De plaiſirs que nous dõne & l'amour & la haine.	Parce qu'en même temps j'ai l'âme toute pleine De plaisirs que nous dont et l'amour et la haine.
La haine en me vengeant de Licaſte, & l’amour Entenojamt laaiit en tijeantonr.	La haine en me vengeant de Licaste, et l'amour Entenojamt laaiit en tiétantonr.
DAMIS.	DAMIS.
On diroit que le Ciel vous donne cognoiſſance, Qu'il est vn des pays de voſtre obeiſſance.	On dirait que le Ciel vous donne connaissance, Qu'il est un des pays de votre obéissance.
L’EMPEREVR.	L'EMPEREUR.
Il eſt vray qu’auiourd’huy tout cede à mon pouuoir.	Il est vrai qu'aujourd'hui tout cède à mon pouvoir.
La terre par la force, & le Ciel par deuoir.	La terre par la force, et le Ciel par devoir.
Les Dieux vont reparer ce qu’a fait leur malice:	Les Dieux vont réparer ce qu'a fait leur malice:
Leur bonté n’agiſt pas ce n'eſt que leur Iuſtice, Enuoyans ce vieillard icy m’entretenir, De peur d’eſtre contrains eux meſmes d’y venir, Et ont auec raiſon voulu me ſatisfaire, Si toſt qu’ils ont cogneu que i’eſtois en colere.	Leur bonté n'agît pas ce n'est que leur Justice, Envoyant ce vieillard ici m'entretenir, De peur d'être contrains eux -mêmes d'y venir, Et ont avec raison voulu me satisfaire, Si tôt qu'ils ont connu que j'étais en colère.
D ll ſi Ro.	D ll si Ro.
La mort n’a peu ſouffrir Philinte en ſon ſejour;	La mort n'a peu souffrir Philte en son séjour;
Parce que ſes beaux yeux y donnoient trop de iour.	Parce que ses beaux yeux y donnaient trop de jour.
L’EMPEREVR.	L'EMPEREUR.
Ma fille va quitter la demeure immortelle;	Ma fille va quitter la demeure immortelle;
Parce que dans le Ciel rien n’eſtoit ſi beau qu'elle:	Parce que dans le Ciel rien n'était si beau qu'elle:
Mais comment tous ces Dieux qui vantent leur pouuoir 9 (voir.	Mais comment tous ces Dieux qui vantent leur pouvoir 9 (voir.
Pourroient-ils eſtre beaux, puis qu’on ne les peut - ---- -- -- Iamais ils n'ont peu deuenir impaßibles Que par l’inuention de ſe faire inuiſibles:	Pourraient-ils être beaux, puis qu'on ne les peut est -- -- -- y ils n'ont peu devenir impassibles Que par l'invention de se faire invisibles:
Car dinſt de mon bras ils euitent l'effort.	Car dinst de mon bras ils évitent l'effort.
ISM IN retournant.	ISM IN retournant.
Sire, i’ay fait pour vous vn affront à la mort, Et la viens de contraindre honteuſement de rendre La belle ame qu’à tort elle auoit osé prendre:	Sire, j'ai fait pour vous un affront à la mort, Et la viens de contraindre honteusement de rendre La belle âme qu'à tort elle avait osé prendre:
Car fans vons auoir jait des diſcours deceuans La Princeſſe & Lycaſte auiourd’huy ſont viuans,	Car sans vons avoir jait des discours décevants La Princesse et Lycaste aujourd'hui sont vivants,
Vn des GARDES qui auoit eſté auec iSMIN.	Un des GARDES qui avait été jus iSMIN.
L’ayant veu d’vne voix confuſement formée Coniurer des deux corps la maſſe inanimée, Außi toſt i’ay cogneu, non ſans eſtonnement Que leurs membres ont pris leur premier mouueliialley La Princeſſe ſur tout a mon ame rauie, Me monſtrant dans ſes yeux le retour de ſa vie,	L'ayant vu d'une voix confusément formée Conivrer des deux corps la masse inanimée, Aussi tôt j'ai connu, non sans étonnement Que leurs membres ont pris leur premier mouvelialley La Princesse sur tout à mon âme ravie, Me montrant dans ses yeux le retour de sa vie,
ISMIN.	ISMIN.
Ie ne manque iamais à ce que i’ay promis:	Je ne manque jamais à ce que j'ai promis:
Car l’impoßsible meſmeumonuit Cje ſoubmis:	Car l'impossible mémeumonuit Cje soumis:
Mais il ne faudra pas permettre à la lumiere Qu'elle approche ſi toſt de leur foible paupiere.	Mais il ne faudra pas permettre à la lumière Qu'elle approche si tôt de leur faible paupière.
Ce ſubit changement les pourroit eſtonner:	Ce subit changement les pourrait étonner:
m- O.	m- Ô.
I-----V ----- dicaneatanned faaaratamneque tortomner.	I-V -- dicaneatanned faaaratamneque tortomner.
L’EMPEREVR.	L'EMPEREUR.
Puiſſant Magicien qui ſur les choſes nées, Auez plus de pouuoir que n’ont les deſtinées:	Puissant Magicien qui sur les choses nées, Avez plus de pouuoir que n'ont les destinées:
E Vous m'auez auiourd’huy fait vn ſi grand plaiſir Qu'il m'oſte le moyen:	 Vous m'avez aujourd'hui fait un si grand plaisir Qu'il m'ôte le moyen:
mais non pas le deſir, De le pouuoir aſſez dignement recognoiſtre;	mais non pas le désir, De le pouvoir assez dignement reconnaître;
A toute occaſion ie vous feray paroiſtre que nen net ian que pons uedans mon ſouuenir, Et ce que i'ay promis ie vous le veux tenir.	À toute occasion je vous ferai paraître que nen net jan que pons uedans mon souvenir, Et ce que j'ai promis ie vous le veux tenir.
L’EMPEREVR parlant à ſes gens.	L'EMPEREUR parlant à ses gens.
Faictes donc promptement, allez, car ie commande Qu'on ouure les priſons à ceux qu’il me demande.	Faites donc promptement, allez, car on commande Qu'on ouvre les prisons à ceux qu'il me demande.
ISMIN.	ISMIN.
C’eſt ainſi que tous deux nous ſerons ſatisfaicts:	C'est ainsi que tous deux nous serons satisfaits:
L’EMPEREVR Nos ſatisfactions viennent de vos effects:	L'EMPEREUR Nos satisfactions viennent de vos effets:
Mais ie croy qu’il eſt temps qu'à part ie conſidere, Ce que vous auez fait & ce que ie doy faire, Entrons dedans le Louure.	Mais était cru qu'il est temps qu'à part ie considère, Ce que vous avez fait et ce que ici dois faire, Entrons dedans le Louvre.
Vn des GARDES demeurant auec ISMIN.	Un des GARDES demeurant apprendre ISMIN.
Et de noſtre coſté, A vos deux priſonniers donnons la liberté, -- ----- d ------------------- Vous voyez la priſon, & la clef que ie porte Cegnoiſt vientes reſſorßs qui jont ouurir ta porte.	Et de notre côté, À vos deux prisonniers donnons la liberté, -- -- -- Vous voyez la prison, et la clef que ie porte Cegnoist vientes ressorsss qui jont ouurir ta porte.
Tuis parlant aux Priſonniers.	Tuis parlant aux Prisonniers.
Approchez pauures gens, estes vous endormis;	Approchez pauvres gens, êtes -vous endormis;
Venez entre les mains d’vn de vos bons amis.	Venez entre les mains d'un de vos bons amis.
Sortez:	Sortez:
car c’eſt à luy que l’Empereur vous donne, On diroit à les voir que cela les eſtonne.	car c'est à vertu que l'Empereur vous donne, On dirait à les voir que cela les étonne.
Cependant ie m’en vais, & vous baiſe les mains.	Cependant Seigneur m'en vais, et vous baise les mains.
ISMIN parlant aux priſonniers.	ISMIN parlant aux prisonniers.
Nous pourrons à loiſir parler par les chemins, Suiuez moy viſtement.	Nous pourrons à loisir parler par les chemins, Suivez moi vitement.
PHILINTE.	PHILINTE.
Quoy, faut-il que ie meure.	Quoi, faut-il que ici meure.
MIN.	MIN.
Tous vos diſcours ſont bons, mais la fuite eſt meilleure.	Tous vos discours sont bons, mais la fuite est meilleure.
1 –	1 1
SCENE II.	SCÈNE II.
ANAXANDRE &LISIMAN.	ANAXANDRE ETLISIMAN.
LYSIMAN.	LYSIMAN.
Stes-vous reſolu de vous plaindre touſiours, E Sans que voſtre raiſon vous donne du ſecours.	Stes-vous résolu de vous plaindre toujours, E Ans que votre raison vous donne du secours.
Apres auoir cogneu que l’ingrate Philinte Des traicts de voſtre amour n’eut iamais l’ame atteinte, Et que tous ſes mespris vous font voir aisément Qu'elle a pris de l’amour le ſeul aueuglement, Et meſme apres auoir effacé par ſa fuite La reputation qu’auoit eu ſon merite.	Après avoir connu que l'ingrate Philinte Des traits de votre amour n'eut jamais l'âme atteinte, Et que tous ses mépris vous font voir aisément Qu'elle a pris de l'amour le seul aveuglement, Et même après avoir effacé par sa fuite La réputation qu'avait eu son mérite.
Excuſez moy, Monſieur, ſi ie dis librement Que pous falctes grand tort a voſtre iugement:	Excusez -moi, Monsieur, si on dis librement Que pous falctes grand tort a toujours jugement:
– Pour moy, ie ſuis d’humeur à cherir ma franchiſe, Et ie veux mespriſer tout ce qui me mespriſe,	– Pour moi, a suis d'humeur à chérir ma franchise, Et ie veux mépriser tout ce qui me méprise,
ANAXANDRE.	ANAXANDRE.
Ie voy bien que iamais tu ne fus amoureux.	Je vois bien que jamais tu ne fus amoureux.
LYSIMAN.	LYSIMAN.
Dieu me vueille garder d’eſtre ſi malheureux.	Dieu me veuille garder d'être si malheureux.
E ---	E --elle
ANAXANDRE.	ANAXANDRE.
Ainſi que les combats font naiſtre la victoire Des trauaux de l’amour nous tirons noſtre gloire:	Ainsi que les combats font naître la victoire Des travaux de l'amour nous tirons notre gloire:
Car on voit que la guerre & l’amour ſont eſgaux.	Car on voit que la guerre et l'amour sont égaux.
LYSIMAN.	LYSIMAN.
Ie le croy:	Je le crois:
car tous deux donnent beaucoup de maux Et aux combats d’amour cõme en ceux de la guerre:	car tous deux donnent beaucoup de maux Et aux combats d'amour comme en ceux de la guerre:
Ce ſont nos ennemis que nous iettons à terre, Mais l’ennemy ſe rend quand il eſt abbattu:	Ce sont nos ennemis que nous jetons à terre, Mais l'ennemi se rend quand il est abattu:
Au contraire en amour toute noſtre vertu, Ne ſçauroit faire rendre vne femme abbatuë, Son plus grand plaiſir eſt que ſouuent entu tue, Elle Je met ſoubs nous afin de nous tromper:	Au contraire en amour toute notre vertu, Ne saurait faire rendre une femme abattue, Son plus grand plaisir est que souvent que tue, Elle Je met sous nous afin de nous tromper:
Car nous ſommes battus à force de frapper:	Car nous sommes battus à force de frapper:
ANAXANDRE.	ANAXANDRE.
Cela ne ſe fait pas dans vne amitié ſaincte, Comme celle que i’ay pour ma chere Philinte.	Cela ne se fait pas dans une amitié sainte, Comme celle que j'ai pour ma chère Philinte.
LYSIMAN.	LYSIMAN.
Il eſt vray qu'elle eſt chert, iom couſte bien cher.	Il est vrai qu'elle est chert, jom coûte bien cher.
ANAXANDRE.	ANAXANDRE.
Iamais tous tes diſcours ne me ſçauroient toucher,	Jamais tous tes discours ne me sauraient toucher,
– 0 LYSIMAN.	 0 YSIMAN.
L’amour produit en vous des choſes nompareilles, Ayant fermé vos yeux il bouche vos oreilles:	L'amour produit en vous des choses nompareilles, Ayant fermé vos yeux il bouche vos oreilles:
Car quand auec raiſon ie vous veux conteſter Vous ne me voulez pas ſeulement eſcouter,  –	Car quand quelque raison je vous veux contester Vous ne me voulez pas seulement écouter, 
ANAXANDRE.	ANAXANDRE.
De ce que tu voudras:	De ce que tu voudras:
mais que penſes tu faire?	mais que penses -tu faire?
De mon affection ie ne me puis diſtraire, Rroy meſue en eſtoignant tonſtours ma gueriſon I'aualle auec plaiſir cet amoureux poiſon.	De mon affection rien ne me puis distraire, Rois mesue en étoignant tonstours ma guérison J'avalle avec plaisir cet amoureux poison.
LVSIMAN;	LUSIMAN;
Vn homme veut mourir alors qu’il s’empoiſonne.	Un homme veut mourir alors qu'il s'empoisonne.
ANAXANDRE.	ANAXANDRE.
Ce poiſon ſi plaiſant ne fait mourir perſonne.	Ce poison si plaisant ne fait mourir personne.
DREAIRAIROT Vous dictes quelquesfois qu'amour vous fait mourir.	DREIRAIROT Vous dites quelquefois qu'amour vous fait mourir.
ANAXANDRE.	ANAXANDRE.
Let ſoatnant te que c'eſt in n'en peux dijcourir.	Let southant te que c'est in n'en peux dijourir.
LYSIMAN.	LYSIMAN.
Ie cognois pourtãt bien que c’eſt, ſans vous deplaire.	Je connais pourtãt bien que c'est, sans vous déplaire.
L’entretien d’vn esprit qui n'agueres d’affaire.	L'entretien d'un esprit qui n'aguères d'affaire.
ANAXANDRE.	ANAXANDRE.
.	.
Les hommes plus prudens ont esté ſurmontez – 2 Auitasenaiimor puiſſain ſuu femmauamtes beautez	Les hommes plus prudents ont été surmonté s 2 Avitacenaiimor puissain su femmavamtes beautés
LYSIMAN.	LYSIMAN.
Iis nont tamats aime qu'en perdant leur prudence.	Jis nont tamats aime qu'en perdant leur prudence.
ANAXANDRE.	ANAXANDRE.
Mais le deſir d’aimer nous vient de la naiſſance.	Mais le désir d'aimer nous vient de la naissance.
LYSIMAN.	LYSIMAN.
Ouy, le deſir d’aimer pour iouyr ſeulement.	Oui, le désir d'aimer pour jouir seulement.
AcifliaRe.	AcifliaRe.
Cela s’appelleroit aimer brutalement.	Cela s'appelerait aimer brutalement.
LYSIMAN.	LYSIMAN.
L’espoir ſeul du plaiſir à l’amour nous engage.	L'espoir seul du plaisir à l'amour nous engage.
ANAXANDRE.	ANAXANDRE.
D’autres deſſeins plus purs menent au mariage.	D'autres desseins plus purs mènent au mariage.
LYSMAN.	LYSMAN.
L’amour n’a iamais fait de diuerſe leçon.	L'amour n'a jamais fait de diverse leçon.
Son ieu ſe fait par tout d’vne meſme façon:	Son jeu se fait par tout d'une même façon:
Comme on entre chez luy par vne meſme porte Un ne fait point d’enfans de differente ſorte.	Comme on entre chez autre par une même porte Un ne fait point d'enfants de différente sorte.
Et dans le mariage außsi bien qu’autrement L’homme veut receuoir meſme contentement.	Et dans le mariage aussi bien qu'autrement L'homme veut recevoir même contentement.
