A PARIS, FRANÇOIS POMERAY.	À PARIS, FRANÇOIS POMERAY.
CHOEVR.	CHOEUR.
CALYDON.	CALYDON.
AttendeZ-nous aupres de la Fontaine, Oronte s’y doit rendre, & Caliſte, & Phillis,	Attendez-nous auprès de la Fontaine, Oronte s'y doit rendre, et Caliste, et Phillis,
DINIS.	DINIS.
As-tu veut Palemon, ces viſages pallis?	As-tu veut Palemon, ces visages pallis?
TALEMON.	TALEMON.
C’eſt le teint des amans.	C'est le teint des amants.
DAPHNIS.	DAPHNIS.
Lycandre eſt le plus riche.	Lycandre est le plus riche.
Lemy pecenenmutrelnuromemienceriy ni la bicne,	Lemi pecenenmutrelnuromemienceriy ni la bicne,
DAPHNIS.	DAPHNIS.
A qui donne Damon la victoire auiourd’huy?	À qui donne Damon la victoire aujourd'hui?
DAMON.	DAMON.
S’il la pouuoit donner, il la prendroit pour luy.	S'il la pouvait donner, il la prendrait pour lui.
ACTE	ACTE
ACTE TROISIESME, SCENE SEPTIESME.	ACTE -TROISIÈME, SCÈNE SEPTIÈME.
Ex.	Ex.
ORONTE.	ORONTE.
Ergers infortunez, pauure troupe amoureuſe, DQuau prix de vos malheurs, ma fortune eſt heureuſe!	Ergers infortunés, pauvre troupe amoureuse, DQuau prix de vos malheurs, ma fortune est heureuse!
Qu’on vous trompe aisément!	Qu'on vous trompe aisément!
ô Dieux!	ô Dieux!
qu’ay-te entendi?	qu'ai-te entendi?
Par moy ſeule auiourd’huy l’eſpoir vous eſt rendu.	Par moi seule aujourd'hui l'espoir vous est rendu.
Qu’vn vif reſſentiment ſe flatte en l’indulgence Du ſouuerain plaiſir qu’il prend à la vengeance!	Qu'un vif ressentiment se flatte en l'indulgence Du souverain plaisir qu'il prend à la vengeance!
I’ay vos deſirs en main, & pour vous regler tous, I’ay le jort d’Alexis, d’Amaranthe, & de vous.	J'ai vos désirs en main, et pour vous régler tous, J'ai le jort d'Alexis, d'Amaranthe, et de vous.
C'eſt a moy deſormais d’eſtre douce, ou cruelle.	C'est à moi désormais d'être douce, ou cruelle.
C’eſt à moy de reſoudre, & de choiſir pour elle.	C'est à moi de résoudre, et de choisir pour elle.
De ſes vaines beauteZ, ie triomphe à ſouhait:	De ses vaines beautés, ie triomphe à souhait:
Et te la puis liurer à celuy qu'elle hait.	Et te la puis livrer à celui qu'elle hait.
Ie tien ce fier tyran, dont la loy m’importune:	Je tien ce fier tyran, dont la loi m'importune:
Il ne ſçauroit vſer de ſa bonne fortune:	Il ne saurait user de sa bonne fortune:
2 Et s’il apprend le choix qu’elle aura fait de luy, I faudra qu’il ſe cache, & qu’il meure d’ennuy, Et quand meſme à la chaſſe il a roit la victoire;	2 Et s'il apprend le choix qu'elle aura fait de deux, I faudra qu'il se cache, et qu'il meure d'ennui, Et quand que lque chasse il a roit la victoire;
Il aura peur qu’vn autre en rabbaiſſe la gloire:	Il aura peur qu'un autre en rabaisse la gloire:
Et de quelque ſucces qu’il ſoit accompagne, Gaignant tout, il croira qu’il n’aura rien gaigne.	Et de quelque succès qu'il soit accompagne, Gagnant tout, il croira qu'il n'aura rien gagne.
Il doutera touſiours:	Il doutera toujours:
Mais quoy, l’heure me preſſe:	Mais quoi, l'heure me presse:
Et puis qu’il eſt ſi plein de valeur, & d’adreſſe;	Et puis qu'il est si plein de valeur, et d'adresse;
Qu’il combat le malheur;	Qu'il combat le malheur;
qu’il a les pieds legers;	qu'il a les pieds légers;
Et qu’il l’emportera ſur les autres Bergers.	Et qu'il l'emportera sur les autres Bergers.
Ie feray mes efforts, les Dieux feront le reſte.	Je ferai mes efforts, les Dieux feront le reste.
nujques icy leur grace eſt toute manifeſte.	nujques ici leur grâce est toute manifeste.
Ils ont part à l’offence, & l’vn d’eux, que ie croy, Touché de ma douleur, ſe venge auecques moy.	Ils ont part à l'offense, et l'un d'eux, que tu crois, Touché de ma douleur, se venge auecques M.
ACTE TROISIESME.	ACTE -TROISIÈME.
SCENE HVICTIESME.	SCÈNE HVICTIESME.
AILRATS, BIBEIIE, TAMMAARTIIEe	ÀILRATS, BIBEIE, TAMMARTIEe
ALEXIS.	ALEXIS.
Eitez de ces bois, ſi voſtre eſcorce dure ONe vous empeſche point de voir ce que i'endure:	Eitez de ces bois, si votre écorce dure ONe vous empêche point de voir ce que j'endure:
Si vous oyeZ ma plainte, au fort de mes ennuis;	Si vous oyeZ ma plainte, au fort de mes ennuis;
Monſtrez moy le chemin des eternelles nuicts.	Montrez -moi le chemin des éternelles nuits.
Car d’apprendre de vous, qu’vn ſujet adorable, Qu'vne beauté diuine ait ſoin d’vn miſerable:	Car d'apprendre de vous, qu'une sujet adorable, Qu'une beauté divine ait soin d'H misérable:
Il ne faut pas l’attendre:	Il ne faut pas l'attendre:
vn eſpoir ſi hautain Ne vient pas deceuoir mon eſprit incertain.	Ah espoir si hautain Ne vient pas décevoir mon esprit incertain.
C eſt pour ceux qu'vn bon aſtre a cõblez de merite:	Ç est pour ceux qu'un bon astre a cõblez de mérite:
C’eſt pour les biẽ-heureux.	C'est pour les bea-heureux.
Ne voy-ie pas Mel ite?	Ne vois-je pas Mel ite?
Qui vient tout à propos pour m'en rendre eſclaircy?	Qui vient tout à propos pour m'en rendre éclairci?
MELITE.	MELITE.
quoy penſe Alexis de ſe tenir icy:	quoi pense Alexis de se tenir ici:
ALEXIS.	ALEXIS.
Ou veux tu donc que i’aille?	Ou veux tu donc que j'aille?
MELITE.	MELITE.
SA tousſts auſtes courent.	SA toussts austes courent.
ALEXIS.	ALEXIS.
Les autres ont leur conte;	Les autres ont leur conte;
ils chantent, ils diſcourẽt.	ils chantent, ils discourse.
MELITE.	MELITE.
Ils s’en vont a lachaſſe.	Ils s'en vont a lâchasse.
ALEXIS.	ALEXIS.
Ils ſont fort reſiouis:	Ils sont fort réjouis:
Et quoy que de fortloin, ie les aybien ouys.	Et quoi que de fortloin, ie les aibien ouïs.
Mais la chaſſe auiourd’huy m'eſt fort indifferéte.	Mais la chasse aujourd'hui m'est fort indifferéte.
MELITE.	MELITE.
Fay-tu ſi peu de cas de la loy d’Amaranthe?	Fais-tu si peu de cas de la loi d'Amaranthe?
E.	E.
ALEXIS.	ALEXIS.
Helas!	Hélas!
i'ignore tout.	j'ignore tout.
MELITE.	MELITE.
C’eſt là que des amans le deſtin ſe reſout.	C'est là que des amants le destin se résout.
Et la voicy qui vient?	Et la voici qui vient?
Ta froideur me fait rire.	Ta froideur me fait rire.
Quoy!	Quoi!
ne m'entens-tu pas?	ne m'entends-tu pas?
ALEXIS.	ALEXIS.
Qu'est ce que tu veuxdire?	Qu'est ce que tu veuxdire?
MELITE.	MELITE.
La victoire du Cerf decide vos debats.	La victoire du Cerf décide vos débats.
Và t’en, ſi tu m'en crois.	Và t'en, si tu m'en crois.
ALEXIS.	ALEXIS.
Ne te moques-tu pas?	Ne te moques-tu pas?
MELITE.	MELITE.
Comme ie te le dis, on me la fait entendre.	Comme grande te le dis, on me la fait entendre.
ALEXIS.	ALEXIS.
Quel eſt le rendeZ-vous?	Quel est le rendez-vous?
MELITE.	MELITE.
Droit au bois de Syluandre.	Droit au bois de Syluandre.
Plus ardent qu'Apollon de l’Amour offensé:	Plus ardent qu'Apollon de l'Amour offensé:
Et piun viſit qu'vnuaru par vn otyint eſlance, Le voila qui s'enfuit ou la gloire l’emporte.	Et piun visit qu'enfaru par un otyint élance, Le voilà qui s'enfuit ou la gloire l'emporte.
AMARANTHE.	AMARANTHÉE.
A qui panieMatine, & qui ſhit de la ſorte:	À qui panieMatine, et qui shit de la sorte:
MELITE.	MELITE.
Le Berger que tu doibs parfaittement aymer.	Le Berger que tu dois parfaitement aimer.
Alexis?	Alexis?
AMARANTHE.	AMARANTHÉE.
MELITE.	MELITE.
Ie t’y prens, ie te l’ay fait nommer.	Je t'y prends, Seigneur te l'ai fait nommer.
N iij Tuconfeſſen unuomles Oureujunoffensée,	 Nij Uconfessen unuomles Oureujunoffensée,
AMARANTHE.	AMARANTHÉE.
Pourquoy?	Pourquoi?
Ne faut-il pas:	Ne faut-il pas:
eſſ'endre à ta pensée?	ess'endre à ta pensée?
le cognor de ſong tempsſe party quein tiens.	le connor de song tempsse parti quein tiens.
MELITE.	MELITE.
Tu ſçais tous mes ſecrets, & i ignore les tiens.	Tu sais tous mes secrets, et y ignore les tiens.
AMARANTHE.	AMARANTHÉE.
Qui retardoit ſes pas?	Qui retardait ses pas?
MABETTE.	MABETTE.
La doute & l’ig norance.	La doute et l'ig norance.
AMARANTHE.	AMARANTHÉE.
Dequoy l’as tu payé?	Dequoy l'as -tu payé?
MELITE.	MELITE.
De chaſſe, & d’esperance.	De chasse, et d'espérance.
AMARANTHE.	AMARANTHÉE.
Que ie t'ayme.	Que ie t'aime.
MELITE.	MELITE.
Il ſembloit qu’il fuſt tombé des Cieux:	Il semblait qu'il fût tombé des Cieux:
Ou qu'il fuſt ſans esprit, ſans oreilles, ſans yeux, Et plus froid qu’vne glace, & plus dur qu'vne roche.	Ou qu'il fût sans esprit, sans oreilles, sans yeux, Et plus froid qu'une glace, et plus dur qu'une roche.
AMARANTHE.	AMARANTHÉE.
Tu l’as trompé, Melite, il t’en fera reproche.	Tu l'as trompé, Mélite, il t'en fera reproche.
Moy?	Moi?
trompé?	trompé?
MELITE.	MELITE.
A MARANTHE.	À MARANTHÉE.
Calydon, tes diſcours ſont bien longs.	Calydon, tes discours sont bien longs.
ALYDON.	ÀLYDON.
Ie parlois à Daphnis, allons, Nymphes, allons.	Je parlais à Daphnis, allons, Nymphes, allons.
H OE F	H HÉ 
2 Mour quand tes diuines flames Ont tant d’appas delicieux;	2 Mour quand tes divines flammes Ont tant d'appas délicieux;
1153 Et que l’eſpoir flatte les ames, Ie te croy deſcendudes Cieux.	1153 Et que l'espoir flatte les âmes, Je te crois descendudes Cieux.
,Mais quand les ſoupçons, les alarmes, , Les priſons, les feux, & les fers, ,Tirent de nos yeux tant de larmes, Ie te cruy ſorti des Enfers.	,Mais quand les soupçons, les alarmes, , Les prisons, les feux, et les fers, ,Tirent de nos yeux tant de larmes, Ie te cruy sorti des Enfers.
Quelle erreur dans la fantaiſie;	Quelle erreur dans la fantaisie;
,Quel trouble en ſon viſage peint, Porte l’infame lalouſie A chercher tout ce qu’elle craint?	,Quel trouble en son visage peint, Porte l'infâme lalousie A chercher tout ce qu'elle craint?
Ses yeux d’Argus, & de Lyncee, De veiller ne ſont iamais las;	Ses yeux d'Argus, et de Lynée, De veiller ne sont jamais las;
Non plus que ceux de ſa penſee, Qui luy font voir ce qui n’eſt pas,	Non plus que ceux de sa pensée, Qui Seigneur font voir ce qui n'est pas,
Tous Tous obiects excitent ſa plainte;	Tous Tous objets excitent sa plainte;
Son mal n'eſt ſujuy d’aucunbien:	Son mal n'est sujui d'aucunbien:
Elle eſt plus forte par ſa crainte;	Elle est plus forte par sa crainte;
Et le doute eſt ſon entretien, Le tour inille cauſes rameine Qui troublent ſes contentemens;	Et le doute est son entretien, Le tour inille causes ramène Qui troublent ses contentements;
Et la Nuict cache pour ſa peine, Les doux myſteres des amans.	Et la Nuit cache pour sa peine, Les doux mystères des amants.
Ellc accuſe d’vn meſme crime;	Ellec accuse d'un même crime;
Elle honore d’vn meſme prix, Ceux qu’elle croit dignes d’eſtime, Et ceux qu'elle tient à mespris.	Elle honore d'un même prix, Ceux qu'elle croit dignes d'estime, Et ceux qu'elle tient à mépris.
,Peſte aux amans inſuportable, Qui croit tout ſi facilement, Que le faux, & le veritable, ,Luy font du mal egalement,	,Peste aux amants insuportable, Qui croit tout si facilement, Que le faux, et le véritable, LUi font du mal également,
,Ceux qui ſouffrent ſon iniuſtice ,L ehencent renſionis maihilirei, Et iamais qu’a ſon preiudice Ne peuuent rire, ny pleurer.	,Ceux qui souffrent son injustice ,L ehencent rension raihilirei, Et jamais qu'a son préjudice Ne peuvent rire, ni pleurer.
,Elle eſt ſi contraire à ſoy-meſme, Que ſonhumeur, cent fois le iour, Luy faiſant hairce qu'elle ayme, Accorde la hayne a l’Amour.	,Elle est si contraire à soi-même, Que sonhumeur, cent fois le jour, Lui faisant hairce qu'elle aime, Accorde la haine à l'Amour.
Et ſa fureur qui tout offence Et de parolle, & d’action, Veut paſſer en noſtte croyance, Pour vn exceZ d’affection.	Et sa fureur qui tout offense Et de parole, et d'action, Veut passer en nostte croyance, Pour un excès d'affection.
,Mais quelle priſon, quelle chainé, Et quelle rigueur ſans pitié, Quelle vengeance, ou quelle hayne Eſt pire que cette amitié?	,Mais quelle prison, quelle chainé, Et quelle rigueur sans pitié, Quelle vengeance, ou quelle haine Est pire que cette amitié?
En quelque part qu'elle commande, Quel remede peut-on auoir, ,Que par vne berin fort grande, Ou par vn cruel deſespoir?	En quelque part qu'elle commande, Quel remède peut-on avoir, QUe par une berin fort grande, Ou par un cruel désespoir?
ACTE QVATRIESME.	ACTE QUATRIÈME.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
DAPHNIS, PALEMON.	DAPHNIS, PALÉMON.
DAPHNIS.	DAPHNIS.
Oy, qui du Ciel en terre apportes les nouuelles, Ramene Calydon, & preſte luy tes aiſles:	Oui, qui du Ciel en terre apportes les nouvelles, Ramène Calydon, et prête quelque aisles:
Si pour mon plus grand bien, pere des Meſſagers, Tu ne les veuxprester aux plus dignes Bergers.	Si pour mon plus grand bien, père des Messagers, Tu ne les veuxprêter aux plus dignes Bergers.
Afin que la victoire, ou tous veulent pretendre, Couronne en ma faueur Philidor, ou Lycandre.	Afin que la victoire, ou tous veulent prétendre, Couronne en ma faveur Philidor, ou Lycandre.
!	!
Tous les bruits, Palemon, de feuilles, & du vent, Me font tourner la teſte, & me trompent ſouuent.	Tous les bruits, Palemon, de feuilles, et du vent, Me font tourner la tête, et me trompent souvent.
Ces bois sõt à mes yeux pleins d’humaines figures.	Ces bois sont à mes yeux pleins d'humaines figures.
Les moindres mouuemens, & les plus doux murmures, En fin mon ombre meſme auiourd’huy veut paſſer Peur quelque auant-coureur qui me vient annõcer L'effet de mon deſir, ou celuy de ma crainte.	Les moindres mouvements, et les plus doux murmures, En fin mon ombre même aujourd'hui veut passer Peur quelque avant-coureur qui me vient annoncer L'effet de mon désir, ou celui de ma crainte.
PALEMOM.	PALEMOM.
A ce conte, Daphnis aura ſuiet de plainte Contre ies tmmortels qui preſident au ſort, Il aura quelque droit de leur donner le tort, Si partiſans d’vn autre, ils ne veulent eſlire L’vn de ces deux Bergers, qui en ſon ame il deſire.	À ce conte, Daphnis aura sujet de plainte Contre jes tortels qui président au sort, Il aura quelque droit de leur donner le tort, Si partisans d'un autre, ils ne veulent élire L'un de ces deux Bergers, qui en son âme il désire.
DAPHNIS.	DAPHNIS.
3AAernommes e des Dienx tequavic conſeit Ordonne que chacuns allie à ſon pareil.	3Aernommes e des Dienx tequavic conseit Ordonne que chacuns allie à son pareil.
Ie ne ſuis pas l’autheur d’vne loy ſi commune.	Je ne suis pas l'auteur d'une loi si commune.
PALEMON.	PALÉMON.
Mais Daphnis ne cognoiſt de pareils qu’en fortune;	Mais Daphnis ne connaît de pareils qu'en fortune;
Et pour luy la vertu qui n'a que peu de bien, -- N'eſt qu'vn nom ſpecieux qui ſe conte pour rien, Quoy?	Et pour nô la vertu qui n'a que peu de bien, -- N'est qu' nom spécieux qui se conte pour rien, Quoy?
ſi le Ciel puiſſant, & iuste en toute ſorte Permet a ceste fois que la valeur l’emporte?	si le Ciel puissant, et juste en toute sorte Permet à cette fois que la valeur l'emporte?
DAPHNIS.	DAPHNIS.
Le Ciel enſoit loue,	Le Ciel ensait loue,
PALEMON Qu’auroit donc merité Celui qui ten pourroit dire la verité?	PALÉMON Qu'aurait donc mérité Celui qui ten pourrait dire la vérité?
A l’inſtant?	À l'instant?
DMIARIS.	DMIARIS.
PALEMON.	PALÉMON.
A l’inſtant que ton cœur la ſouhaite.	À l'instant que ton cœur la souhaite.
DAPHNIS.	DAPHNIS.
Mais de ſçauoir la choſe auant qu’elle ſoit faitte, Il n’appartient qu'aux Dieux.	Mais de savoir la chose avant qu'elle soit faitte, Il n'appartient qu'aux Dieux.
PALEMON Si la ſçay-ie pourtant	PALÉMON Si la sais-je pourtant
DAPHNIS.	DAPHNIS.
Ne me cele donc point ce qui m'eſt important.	Ne me cèle donc point ce qui m'est important.
YALEMON.	YALEMON.
Quand le vainqueur ſeroit de celeſte origine, Pourrois-ie contenter l’humeur qui te domine?	Quand le vainqueur serait de celeste origine, Pourrais-je contenter l'humeur qui te domine?
O iij Source gallica.	Ô Ôjà Source galica.
bnf.	bnf.
fr 1E Cuutupures, Daphnis, quà des montaignes d’or.	fr 1E Cuutupures, Daphnis, quà des montagnes d'or.
DAPHNIS.	DAPHNIS.
Et quoy:	Et quoi:
te neſtuont pas Eytanuit, ou P'hilidor:	te nestuont pas Étanuit, ou P'hilidor:
PALEMON.	PALÉMON.
Tu peints deſſus les eaux;	Tu peints dessus les eaux;
tu ſemes ſur l’arene.	tu semes sur l'arène.
DAPHNIS.	DAPHNIS.
A tout le moins Tyrſis, Cloridan, ou Sirene.	À tout le moins Tyrsis, Cloridan, ou Sirène.
LLL MON.	LLL MON.
Non pas meſme Alcidon, Lyſis, ny Licidas.	Non pas même Alcidon, Lys, ni Licidas.
DATHRTS.	DATHRTS.
Ce qui reſte n'eſt rien,	Ce qui reste n'est rien,
PALEMON.	PALÉMON.
Ne le diſois-ie pas?	Ne le disais-je pas?
Que tu ferois paſſer la vertu pour vn ſonge:	Que tu ferais passer la vertu pour un songe:
Et que l’vnique ſoindes richeſſes te ronge?	Et que l'opique soindes richesses te ronge?
DAPHNIS.	DAPHNIS.
Si la faueur des Dieux ne ſe peut acquerir;	Si la faveur des Dieux ne se peut acquérir;
Acheue Palemon, de me faire mourir.	Achève Palemon, de me faire mourir.
PALEMON.	PALÉMON.
Ce n'eſt pas mon deſſein cherche qui te le die.	Ce n'est pas mon dessein cherche qui te le die.
Ce coup du ciel demande vn ame plus hardie.	Ce coup du ciel demande un âme plus hardie.
rm'en parler, ou ſois plus reſolu.	rm'en parler, ou sois plus résolu.
DAPHNIS.	DAPHNIS.
Il faut bien le vouloir, ſi les Dieux l’ont voulu.	Il faut bien le vouloir, si les Dieux l'ont voulu.
Dy le moy deſormais.	Dis le moi désormais.
La rigueur du ſilence Ana tauir tipallens,mer Pat faaunte,	La rigueur du silence Ana tavir tipalents, Pat faunte,
PALEMON.	PALÉMON.
Celuy dent le courage, autant que le bon heur, qmou lamatammne (y uoue, O nonneur, Eſt-il digne Daphnis, de quelque recompenſe?	Celui dent le courage, autant que le bon heur, qmou lamatamne ( uoue, Ô nonneur,Est-il digne Daphnis, de quelque recompense?
