A MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC DE NICIELIEC.	À MONSEIGNEUR MONSEIGNEUR LE CARDINAL DE NE NICIELIC.
ments Quand pourray-ie eſtouffer dans tes embraſſeL’erreur dont i’ay formé de ſi faux ſentiments?	mens Quand pourrai-je étouffer dans tes embrasseL'erreur dont j'ai formé de si faux sentiments?
Quand pourra mon amour baigner auec tendreſſe Ton front victorieux de larmes d’allegreſſe?	Quand pourra mon amour baigner avec tendresse Ton front victorieux de larmes d'allégresse?
VALERE.	VALÈRE.
Vos careſſes bien toſt pourront ſe deſployer, Le Roy dans vn moment vous le va renuoyer, Et remet à demain le pompeux ſacrifice Que nous deuons aux Dieux pour vn tel benefice, Auiourd’huy ſeulement on s’acquitte vers eux Par des chants de victoire & par de ſimples vœux;	Vos caresses bien tôt pourront se déployer, Le Roi dans un moment vous le va renvoyer, Et remet à demain le pompeux sacrifice Que nous devons aux Dieux pour un tel bénéfice, Aujourd'hui seulement on s'acquitte vers eux Par des chants de victoire et par de simples vœux;
C’eſt où le Roy le mene, & tandis il m’enuoye Faire office vers vous de douleur & de ioye, Mais cet office encor n’eſt pas aſſez pour luy, Il y viendra luy-meſme & peut-eſtre auiourd’huy.	C'est où le Roi le mène, et tandis il m'envoie Faire office vers vous de douleur et de joie, Mais cet office encor n'est pas assez pour un, Il y viendra lui-même et peut-même aujourd'hui.
Cette belle action ſi puiſſamment le touche, Qu’il vous veut rendre grace, & de ſa propre bouche, D’auoir donné vos fils au bien de ſon eſtat.	Cette belle action si puissamment le touche, Qu'il vous veut rendre grâce, et de sa propre bouche, D'avoir donné vos fils au bien de son état.
Le vieil HORACE.	Le vieil HORACE.
De teis remeiciements ont pour moy trop d’eſclat, Et ie me tiens deſia trop payé par les voſtres Du ſeruice de l’vn & du ſang des deux autres.	De teis reméiciements ont pour moi trop d'éclat, Et tu me tiens déjà trop payé par les vôtres Du service de l'une et du sang des deux autres.
VALERE.	VALÈRE.
Le Roy ne ſçait que c’eſt d’honorer à demy, Et ſon ſceptre arraché des mains de l’ennemy, Fait qu’il eſtime encor l’honneur qu’il vous veur faire;	Le Roi ne sait que c'est d'honorer à demi, Et son sceptre arraché des mains de l'ennemi, Fait qu'il estime encor l'honneur qu'il vous veut faire;
Au deſſous du merite & du fils & du pere.	Au dessous du mérite et du fils et du père.
ic vay luy temioiglier queis nooies ſentiments La vertu vous inſpire en tous vos mouuements, Et combien vous monſtrez d’ardeur pour ſon ſeruice.	ic vais beau temioiglier queis noères sentiments La vertu vous inspire en tous vos mouvements, Et combien vous montrez d'ardeur pour son service.
Le vieil HORACE.	Le vieil HORACE.
Ie vous deuray beaucoup pour vn ſi bon office.	Je vous devrai beaucoup pour un si bon office.
SCENE III.	SCÈNE III.
Levieil HORACE, CAMILLE.	Levieil HORACE, CAMILLE.
Le vieil HORACE.	Le vieil HORACE.
A fille, il n’eſt plus temps de reſpandre des M pleurs, (neurs, Il fied mal d’en verſer où l’on void rant d’honOn pleure iniuſtement des pertes domeſtiques C Malta Quand on en voit ſortir des victoires publiques.	À fille, il n'est plus temps de répandre des M pleurs, (neurs, Il sied mal d'en verser où l'on voit rant d'honOn pleure injustement des pertes domestiques Ç Alta Quand on en voit sortir des victoires publiques.
Rome triomphe d’Albe, & c’eſt aſſez pour nous, Tous nos maux à ce prix nous doiuẽt eſtre doux, En la mort d’vn amant vous ne perdrez qu’vn homme Dont la perte eſt aiſée à reparer dans Rome:	Rome triomphe d'Albe, et c'est assez pour nous, Tous nos maux à ce prix nous doivent être doux, En la mort d'un amant vous ne perdrez qu'Un homme Dont la perte est aisée à réparer dans Rome:
Apres cette victoire il n’eſt point de Romain Qui ne ſoit glorieux de vous donner la main.	Après cette victoire il n'est point de Romain Qui ne soit glorieux de vous donner la main.
Ie m’en vais à Sabine en porter la nouuelle, Ce coup ſera ſans doute aſſez rude pour elle, Et ſes trois freres morts par la main d’vn eſpoux Luy donneront des pleurs bien plus iuſtes qu’à vous:	Je m'en vais à Sabine en porter la nouvelle, Ce coup sera sans doute assez rude pour elle, Et ses trois frères morts par la main d'un époux Lui donneront des pleurs bien plus justes qu'à vous:
Mais i’eſpere aiſément en diſſiper l’orage, (rage, Et qu’vn peu de prudence aydant ſon grand couFera bien toſt regner ſur vn ſi noble cœur Le genereux amour qu’elle doit au vainqueur.	Mais j'espère aisément en dissiper l'orage, (rage, Et qu'un peu de prudence aidant son grand couffera bien tôt régner sur un si noble cœur Le généreux amour qu'elle doit au vainqueur.
Cependans eſtouffez cette laſche triſteſſe, Receuez le, s’il vient, auec moins de foibleſſe, Faites vous voir ſa ſœur, & qu’en vn meſme flanc Le Ciel vous a tous deux formez d’vn meſme ſang.	Cépendants étouffés cette lâche tristesse, Récevez le, s'il vient, avec moins de faiblesse, Faites vous voir sa sœur, et qu'en un même flanc Le Ciel vous a tous deux formez d'un autre sang.
SCENE IV.	SCÈNE IV.
CAMILLE.	CAMILLE.
Vy, ie luy feray voir par d’infallibles marques (ques Qu’vn veritable amout braue la main des ParEt ne prend point de loix de ces cruels tyrans Qu’vn aſtre iniurieux nous donne pour parens, Tu blaſmes ma douleur, tu l’oſes nommer laſche, Ie l’ayme d’autant plus que plus elle te faſche, Impitoyable pere, & par on iuſte effort Ie la veux rendre eſgale aux rigueurs de mon ſort.	Vi, ie luy ferai voir par d'infallibles marques (ques Qu'elle véritable amout brave la main des ParEt ne prend point de lois de ces cruels tyrans Qu'être astre injurieux nous donne pour parents, Tu blâmes ma douleur, tu l'oses nommer lâche, Je l'aime d'autant plus que plus elle te fâche, Impitoyable père, et par on juste effort Je la veux rendre égale aux rigueurs de mon sort.
En vit-on iamais vn dont les rudes traverſes Priſſent	En vit-on jamais un dont les rudes traverses Prissent
priſſent en moins de rien tant de faces diuerſes, Qui fuſt doux tant de fois, & tant de fois cruël.	prissent en moins de rien tant de faces diverses, Qui fût doux tant de fois, et tant de fois cruel.
Et portaſt tant de coups auant le coup mortel?	Et portât tant de coups avant le coup mortel?
Vit on iamais vne ame en iour plus atteinte De ioye & de douleur, d’eſperance & de crainte, Aſſeruie en eſclaue à plus d’euenements, Et le piteux ioüet de plus de changements?	Vit on jamais une âme en jour plus atteinte Deoise et de douleur, d'espérance et de crainte, Asservie en esclave à plus d'événements, Et le piteux jet de plus de changements?
Vn oracle m’aſſeure, vn ſong m'eſpouuante, La bataille m’effraye, & la paix me contente, Mon Hymen ſe prepare, & preſque en vn moment Pour combatre mon frere on choiſit mon amant, Les deux camps mutinez vn tel choix deſaduoüent, Ils rompent la partie, & les Dieux la renouent, Rome ſemble vaincuë & ſeul des trois Albains Curiace en mon ſang n’a point trempé ſes mains;	Un oracle m'assure, ainsi song m'épouvante, La bataille m'effraie, et la paix me contente, Mon Hymen se prépare, et presque en un moment Pour combattre mon frère on choisit mon amant, Les deux camps mutinez un tel choix desaduoüent, Ils rompent la partie, et les Dieux la renouent, Rome semble vaincue et seul des trois Albains Curiace en mon sang n'a point trempé ses mains;
Dieux!	Dieux!
ſentois-je point lors des douleurs trop legeres Pour le malheur de Rome, & la mort des deux freres?	sentais-je point lors des douleurs trop légères Pour le malheur de Rome, et la mort des deux frères?
Me flattoy-je point trop quand ie croyois pouuoir L’aymer encor ſans crime & nourrir quelque eſpoir?	Me flattoi-je point trop quand je croyais pouvoir L'aimer encor sans crime et nourrir quelque espoir?
Sa mort m’en punit bien, & la façon cruelle Dont mon ame eſperduë en reçoit la nouuelle, Son riual me l’apprend, & faiſant à mes yeux D’vn ſi triſte ſuccés le recit odieux, Il porte ſur le front vne allegreſſe ouuerte (perte, Que le bonheur public fait bien moins que ma Et baſtiſſant en l’air ſur le malheur d’autruy Auſſi bien que mon frere il triomphe de luy.	Sa mort m'en punit bien, et la façon cruelle Dont mon âme éperdue en reçoit la nouvelle, Son rival me l'apprend, et faisant à mes yeux D'un si triste succès le récit odieux, Il porte sur le front une allégresse ouuerte (perte, Que le bonheur public fait bien moins que ma Et bâtissant en l'air sur le malheur d'autrui Aussi bien que mon frère il triomphe de même.
Mais ce n’eſt encor rien au prix de ce qui reſte, On demande ma ioye en vn coup ſi funeſte, Il me faut applaudir aux exploits du vainqueur, Et baiſer vne main qui me perce le cœur En vn ſuiet de pleuts ſi grand, ſi legitime, Se plaindre eſt vne honte & ſouſpirer vn crime, Leur brutale vertu veut qu’on s’eſtime heureux, Et ſi l’on n’eſt barbare on n’eſt point genereux, Degenerons, mon cœur, d’vn ſi vertueux pere, Soyons indigne ſœur d’vn ſi genereux frere, C’eſt gloire de paſſer pour des cœurs abbatus Quand la brutalité fait les hautes vertus, (dre?	Mais ce n'est encor rien au prix de ce qui reste, On demande ma joie en un coup si funeste, Il me faut applaudir aux exploits du vainqueur, Et baiser une main qui me perce le cœur En un sujet de pleuts si grand, si légitime, Se plaindre est une honte et soupirer un crime, Leur brutale vertu veut qu'on s'estime heureux, Et si l'on n'est barbare on n'est point généreux, Dégénérons, mon cœur, mon vn si vertueux pereun Soyons indigne sœur d'un si généreux frère, C'est gloire de passer pour des cœurs abbatus Quand la me fait les hautes vertus, dre?
Eſclatés mes douleurs, à quoy bon vous contrainQuand on a tout perdu que ſçauroit-on plus craindre?	Esclatés mes douleurs, à quoi bon vous contrainuand on a tout perdu que saurait-on plus craindre?
Pour ce cruel vainqueur n’ayés point de reſpect, Loin d’éuiter ſes yeux croiſſez à ſon aſpect, Offenſez ſa victoire, irritez ſa colere, Et prenez s’il ſe peut, plaiſir à luy déplaire.	Pour ce cruel vainqueur n'ayez point de respect, Loin d'éviter ses yeux croissez à son aspect, Offensez sa victoire, irrités sa colère, Et prenez s'il se peut, plaisir à lui déplaire.
Il vient, preparons nous à monſtrer conſtamment Ce que doit vne amante à la mort d’vn amant.	Il vient, préparons nous à montrer constamment Ce que doit une amante à la mort d'un amant.
SCENE V.	SCÈNE V.
HORACE, CAMILLE, PROCVLE.	HORACE, CAMILLE, PROCULE.
& deux autres Soldats portant chacun vne eſpée des Curiaces.	et deux autres Soldats portant chacun ton épée des Curiaces.
HORACE.	HORACE.
A ſœur, voicy le bras qui vange nos deux freM res, Le bras qui rompt le cours de nos deſtins contraires, (bras urnous renu mhanttes d’Albe, en fin voicy le Qui ſeul fait auiourd’huy le ſort de deux Eſtats.	À sœur, voici le bras qui venge nos deux fréM rés, Le bras qui rompt le cours de nos destins contraires, (bras urnous renu mhantes d'Albe, en fin voicy le Qui seul fait aujourd'hui le sort de deux États.
voy ces marques d’honneur, ces teſoins de ma gloire, Et rends ce que tu dois à l’heur de ma victoire.	vois ces marques d'honneur, ces témoins de ma gloire, Et rends ce que tu dois à l'honneur de ma victoire.
CAMILLE.	CAMILLE.
Receuez donc mes pleurs, c’eſt ce que ie luy doibs.	Recez donc mes pleurs, c'est ce que ie cy doibs.
HORACE.	HORACE.
Rome n’en veut point voir aprés de tels exploits.	Rome n'en veut point voir après de tels exploits.
Et nos deux freres morts dans le malheur des armes, Sont trop payés de ſang pour exiger des larmes, Quand la perte eſt vangee on il a pitis rien perdu.	Et nos deux frères morts dans le malheur des armes, Sont trop payés de sang pour exiger des larmes, Quand la perte est venge on il a pitis rien perdu.
CAMILLE.	CAMILLE.
Puiſqu’ils ſont ſatisfaits par le ſang eſpandu, Ie ceſſeray pour eux de paroiſtre affligée, Et i’oublieray leur mort que vous auez vangée.	Puisqu'ils sont satisfaits par le sang épandu, Je cesserai pour eux de paraître affligée, Et j'oublierai leur mort que vous avez vengée.
Mais qui me varigera de cene d’vn amant Pour me faire oublier ſa perte en vn moment?	Mais qui me varigera de cène d'Hannant Pour me faire oublier sa perte en un moment?
HORACE.	HORACE.
Que dis tu malheureuſe?	Que dis tu malheureuse?
CAMILLE.	CAMILLE.
O mon chet Curiace!	Ô mon chet Curiace!
HORACE.	HORACE.
O d’vne indigne ſœur l’inſuportable audace!	Ô d'une indigne sœur l'insuportable audace!
D’vn ennemy public dont ie reuiens vainqueur Le nom eſt dans ta bouche, & l’amour dans ton cœur, Ton ardeur criminelle à la vangeance aſpire, Ta bouche la demande & ton cœur la reſpire, Suy moins ta paſſion, regle mieux tes deſirs, Ne me fay plus fougir d’entendre tes louipirs, Tes flames deſormais doiuent eſtre eſtouffées, Banny les de ton ame, & ſonge à mes trophées Qu’il, ſoient doreſnauant ton vnique entretien.	D'un ennemi public dont Seigneur reviens vainqueur Le nom est dans ta bouche, et l'amour dans ton cœur, Ton ardeur criminelle à la vengeance aspire, Ta bouche la demande et ton cœur la respire, Sui moins ta passion, règle mieux tes désirs, Ne me fais plus fougir d'entendre tes louipirs, Tes flammes désormais doivent être étouffées, Banni les de ton âme, et songe à mes trophées Qu'il, soient doresnauant ton unique entretien.
CAMILLE.	CAMILLE.
Donne moy donc, barbare, vn cœur cõme le tien, Et ſi tu veux enfin que ie t’ouure mon ame, Rends moy mon Curiace, ou laiſſe agir ma flame, Ma ioye & mes douleurs dependoient de ſon ſort, Ie l’adorois viuant, & ie le pleure mort.	Donne moi donc, barbare, un cœur comme le tien, Et si tu veux enfin que ie t'ouvre mon âme, Rends moi mon Curiace, ou laisse agir ma flamme, Ma joie et mes douleurs dépendaient de son sort, Je l'adorais vivant, et ainsi le pleure mort.
Ne cherche plus ta ſœur où tu l’auois laſſée, Tu ne reuois en moy qu’vne amante offenſée Qui comme vne furie attachée à tes pas Te veut inceſſamment reprocher ſon treſpas.	Ne cherche plus ta sœur où tu l'avais lassée, Tu ne rêvais en moi qu'une amante offensée Qui comme une furie attachée à tes pas Te veut incessamment reprocher son trépas.
TigrE Tigre affamé de ſang qui me deffends les larmes, Qui veux que dans ſa mort ie trouue encor des charmes, Et que iuſques au Ciel eſleuant tes exploits Moy meſme ie le tuë vne ſeconde fois.	TigrE Tigre affamé de sang qui me défends les larmes, Qui veux que dans sa mort avec trouve encor des charmes, Et que jusques au Ciel élevant tes exploits Moi mêmeait le tuë une seconde fois.
Puiſſent de tels malheurs accompagner ta vie Que tu tombes au point de me porter enuie, Et toy bien toſt ſoüiller par quelque laſcheté Cette gloire ſi chere à ta brutalité!	Puissent de tels malheurs accompagner ta vie Que tu tombes au point de me porter envie, Et toi bien tôt souiller par quelque lâcheté Cette gloire si chère à ta brutalité!
HORACE.	HORACE.
O Ciel, qui vit iamais vne pareille rage!	Ô Ciel, qui vit jamais une pareille rage!
Crois-tu donc que ie ſois inſenſible à l’outrage, Que ie ſouffre en mon ſang ce mortel deshonneur?	Crois-tu donc que ainsi sois insensible à l'outrage, Que tu souffre en mon sang ce mortel déshonneur?
