SL T ND LI MONSIEVR D.	SL T ND LI MONSIEUR D.
Apres auoir rendu des ſouſpirs & des pleurs, 5 Rõpant parmy ſon poil quelques bouquets de fleurs, Son viſage bleſmit d’vne paſleur mortelle, Venus pour ſon Berger en ſon dueil parut telle, Puis s’en va ſur la riue, où la premiere fois Tu la vis baigner nuë à l’ombrage des bois.	Après avoir rendu des soupirs et des pleurs, 5 Répant parmi son poil quelques bouquets de fleurs, Son visage blêmit d'une pâleur mortelle, Venus pour son Berger en son deuil parut telle, Puis s'en va sur la rive, où la première fois Tu la vis baigner nue à l'ombrage des bois.
Außi toſt i'apperçoy, car ie l’auois ſuiuie, Pour deſtourner l’ennuy d’attenter à ſa vie, Que ſa plainte s’emporte aux plus triſtes accens Dont iamais vn regret peut émouuoir les ſens, Et comme en liberté, l’œil triſte & le teint bleſme, Elle accuſe les Cieux, & s’accuſe elle meſme, Et teſmoignant qu'Amour receuoit tous ſes vœux, Meurtrit ſon front de neige, & rompt ſes blonds cheueux.	Aussi tost j'aperçois, car ainsi l'avais suivie, Pour détourner l'ennui d'attenter à sa vie, Que sa plainte s'emporte aux plus tristes accents Dont jamais un regret peut émouvoir les sens, Et comme en liberté, l'œil triste et le teint blême, Elle accuse les Cieux, et s'accuse elle -même, Et témoignant qu'Amour recevait tous ses vœux, Meurtrit son front de neige, et rompt ses blonds cheveux.
Que ſouuẽt, Lucilis ſa triſte voix t’appelle!	Que souvent, Lucilis sa triste voix t'appelle!
Ainſi dans nos foreſts on entend Philomelé, Lors que ſans nul remede elle a veu ſes petits Repaiſtre d’vn ſerpent les ſanglants appetits, Sur vne branche morte en douce violence Rompre durant la nuict le tenebreux ſilence.	Ainsi dans nos forêts on entend Philomelé, Lors que sans nul remède elle a vu ses petits Repaistre d'un serpent les sanglants appétits, Sur une branche morte en douce violence Rompre durant la nuit le ténébreux silence.
Or ie m’auance en fin pour finir ſon erreur:	Or ici m'avance en fin pour finir son erreur:
Mais cét abord luy cauſe vne paſle terreur, Penſant que i’euſſe encore vn rapport deteſtable Elle fait vn ſouspir & tombe ſur le ſable.	Mais cet abord vertu cause une pâle terreur, Pensant que j'eusse encore un rapport détestable Elle fait un soupir et tombe sur le sable.
Que tu n’eſtois point mort ie iure ſes beaux yeux, Et luy dis le ſujet du meſſage odieux.	Que tu n'étais point mort Je jure ses beaux yeux, Et grands dis le sujet du message odieux.
Mais voyant pour luy rendre vn ſalutaire office Qu’il euſt fallu la voix de l’Amant d’Eurydice, Et pleurant dans mon cœur ces malheurs apparens Ie m'en cours tout à l’heure aduertir ſes parens, Qui deſia ſans remede à leur faſcheuſe perte Pour clorre ce beau corps tiennent la tombe ouuerte.	Mais voyant pour lui rendre un salutaire office Qu'il eût fallu la voix de l'Amant d'Eurydice, Et pleurant dans mon cœur ces malheurs apparents Je m'en cours tout à l'heure avertir ses parents, Qui déjà sans remède à leur fâcheuse perte Pour clorre ce beau corps tiennent la tombe ouuerte.
LVCILYS.	LUCILYS.
Quoy, Cythere eſt donc morte?	Quoi, Cythère est donc morte?
ô Ciel!	ô Ciel!
ô mon deſtin!	ô mon destin!
Ses beaux yeux de leur nuict n’aurõt plus de matin.	Ses beaux yeux de leur nuit n'auront plus de matin.
As-tu peu ſupporter le trouble de ſes charmes, qui de regards mourans, de ſouspirs & de larmes Pouuoient fendre le marbre, & rompre vn dur eſcueil, Doux charmes renfermez au profond du cercueil?	As-tu peu supporter le trouble de ses charmes, qui de regards mourants, de soupirs et de larmes Pouvaient fendre le marbre, et rompre un dur écueil, Doux charmes renfermés au profond du cercueil?
Quoy donc iuſqu’à la tombe elle m'a voulu ſuiure?	Quoi donc jusqu'à la tombe elle m'a voulu suivre?
Cette rare beauté ne m'a donc peu ſuruiure?	Cette rare beauté ne m'a donc peu survivre?
O trespas clos mes yeux, l’eternel Occident M’a raui mon Soleil d’vn funeſte accident.	Ô trépas clos mes yeux, l'éternel Occident M'a ravi mon Soleil d'un este accident.
On te va donc conduire auec accens funebres Au ſejour du ſilence & des noires tenebres;	On te va donc conduire avec accents funèbres Au séjour du silence et des noires ténèbres;
Maintenant ſous la tombe où nul eſclat ne luit Tes yeux ſeront couuerts d’vne profonde nuit;	Maintenant sous la tombe où nul éclat ne luit Tes yeux seront couverts d'une profonde nuit;
Nymphe des triſtes morts tu frequentes les ombres, Te voilà pour iamais dans leurs demeures ſombres;	Nymphe des tristes morts tu fréquentes les ombres, Te voilà pour jamais dans leurs demeures sombres;
Aujourd’huy les deſtins, ces rigoureux tyrans, 41 Ma Bergere adorable ont trenché tes beaux ans.	Aujourd'hui les destins, ces rigoureux tyrans, 41 Ma Bergère adorable ont trenché tes beaux ans.
e peu ou à ton contentement le Ciel parut contraire De Alors que Lucilys ne penſa qu'à te plaire:	eu peu ou à ton contentement le Ciel parut contraire De Lors que Lucilys ne pensa qu'à te plaire:
Depuis ce iour fatal, quel mont ſi deſerté T’a veu l’ame & les yeux en pleine liberté?	Depuis ce jour fatal, quel mont si déserté T'a vu l'âme et les yeux en pleine liberté?
Encore à mon ſujet, helas!	Encore à mon sujet, hélas!
beauté ſi rare, plus de Des doux rayons du iour la tombe te ſepare.	beauté si rare, plus de Des doux rayons du jour la tombe te sépare.
Au profond du tombeau pardonne à mon malheur Diuin corps où la mort imprime ſa pâleur, La plus douce faueur des plus rares merueilles Ne m'euſt point fait laiſſer tes rigueurs nompareilles.	Au profond du tombeau pardonne à mon malheur Divin corps où la mort imprime sa pâleur, La plus douce faveur des plus rares merveilles Ne m'eût point fait laisser tes rigueurs nompareilles.
Pourrois-ie bien, chere ame, en ce triſte Printemps Regardant la lumiere auoir les yeux contens, Sçachant qu'à mon ſujet l’ombre éternelle enſerre Ton beau corps delicat ſous vne rude terre?	Pourrais-je bien, chère âme, en ce triste Printemps Regardant la lumière avoir les yeux contents, Sachant qu'à mon sujet l'ombre éternelle enserre Ton beau corps délicat sous une rude terre?
Helas ſi quelque iour la volonté d’vn Dieu M’emmenoit d’auanture en ce funeſte lieu, Où maintenãt ton corps peut moins que ſa peinture Nous figurer l’eſtat que donnoit la nature A tes puiſſans appas, à tes diuins threſors, O malheureux Amant que deuiendrois-je alors?	Hélas si quelque jour la volonté d'un Dieu M'emmenait d'aventure en ce funeste lieu, Où maintenãt ton corps peut moins que sa peinture Nous figurer l'état que donnait la nature À tes puissants appas, à tes divins trésors, Ô malheureux Amant que deviendrais-je alors?
Et rencontrant Cydippe aurois-ie du martyre, Si pleurant ſa compagne elle me venoit dire;	Et rencontrant Cydipe aurais-je du martyre, Si pleurant sa compagne elle me venait dire;
Qu'eſt deuenu Cythere en quittant ſes troupeaux, Nous ne la voyons plus deſſus nos verds coupeaux, Son depart a rendu noſtre foreſt deſerte, Nos Bergers deſolez ſouſpirent de ſa perte;	Qu'est devenu Cynthère en quittant ses troupeaux, Nous ne la voyons plus dessus nos verts coupeaux, Son départ a rendu notre forêt déserte, Nos Bergers désolés soupirent de sa perte;
Pan le Dieu des Paſteurs pleure dans ces foreſts, Et meſme ſon treſpas a comblé de regrets Tout le Ciel d’alentour, les ruiſſeaux, les fontaines, Les rochers, les couſtaux, les valons, & les plaines.	Pan le Dieu des Pasteurs pleure dans ces forêts, Et même son trépas a comblé de regrets Tout le Ciel d'alentour, les ruisseaux, les fontaines, Les rochers, les coûtaux, les valons, et les plaines.
Tout le monde en languit, & toy n'en meurs tu pas, Eſtant meſme accuſe de ſon faſcheux treſpas?	Tout le monde en languit, et toi n'en meurs tu pas, Étant été accuse de son fâcheux trépas?
Te penſant mort de viure elle a perdu l’enuie, Et toy tu la vois morte & n'en perds point la vie.	Te pensant mort de vivre elle a perdu l'envie, Et toi tu la vois morte et n'en perds point la vie.
Pourrois-je ſans mourir entendre ce diſcours?	Pourrais-je sans mourir entendre ce discours?
Mais alors mes malheurs auront finy leur cours, Car auant le moment qu’vn tel ennuy m'arriue, Mon ombre deſcendra ſur l’infernale riue.	Mais alors mes malheurs auront fini leur cours, Car avant le moment qu'un tel ennui m'arrive, Mon ombre descendra sur l'infernale rive.
Dieux regardez l’ennuy d’vn miſerable Amant, Et luy donnez la mort qu’il s’en va reclamant.	Dieux regardez l'ennui d'Han misérable Amant, Et lui donnez la mort qu'il s'en va réclamant.
Mais m'ayant tourmenté d’vne ſi grande iniure, Puis-je eſperer de vous l’heur dont ie vous coniure?	Mais m'ayant tourmenté d'une si grande injure, Puis-je espérer de vous l'heur dont ie vous conjure?
Non, m’oſtant ſa beauté mon vray ſouuerain bien, Vous m'auez tout rauy, de vous ie n'attends rien:	Non, m'ôtant sa beauté mon vrai souverain bien, Vous m'avez tout ravi, de vous avez n'attends rien:
D’ailleurs vn cœur hardy peut cõtraindre la parque es trous.	D'ailleurs un cœur hardi peut comtraindre la parque es trous.
A mettre ſa paſle ombre en l’infernale barque.	À mettre sa pâle ombre en l'infernale barque.
L’œil du Ciel dont l’eſclat s’en va deſia touchant Le tenebreux ſetour ces bornes au Couchant, Ne luira qu'vn rocher à mon deſſein propice, Ne m'ait veu rendre l’ame au fonds d’vn precipice.	L'œil du Ciel dont l'éclat s'en va déjà touchant Le ténébreux setour ces bornes au Couchant, Ne luira qu'un rocher à mon dessein propice, Ne m'ait vu rendre l'âme au fond d'un précipice.
THERMODON.	THÉRMODON.
spou Reſiſte, Lucilys, au ſubit mouuement lespaQ ue t'extes de tennu yuonnt aion ingement,	spou Résiste, Lucilys, au subit mouvement lespaQ ue t'extes de tennu yvonnt aion ingement,
LVCILTS.	LUCILTS.
Mon ame s’abandonne à l’excés de la rage, Au moins ne me ſuy plus ta preſence m'outrage.	Mon âme s'abandonne à l'excès de la rage, Au moins ne me suis plus ta présence m'outrage.
THERMODON.	THÉRMODON.
Qu'il s’enfuit de viſteſſe!	Qu'il s'enfuit de vîtesse!
helas!	hélas!
pour ſon cerueau Luy faudroit rencõtrer quelque Aſtolphe nouueau.	pour son cerveau Lui faudrait renctrer quelque Astolphe nouveau.
LA CYDIPPE,	LA CYDIPE,
SCENE II.	SCÈNE II.
MELINDOR.	MELINDOR.
SATT RE.	SATT RE.
TALEMON.	TALEMON.
MELINDOR.	MELINDOR.
N fin dans l’Vniuers voicy l’ombre eſtendué̈, L’ombre que deux Amans ont long-temps attẽduë;	N fin dans l'Univers voici l'ombre estendué̈, L'ombre que deux Amants ont longtemps attendue;
On n’entend plus de bruit, deſia les animaux Dans vn profond ſommeil adoucißẽt leurs maux;	On n'entend plus de bruit, déjà les animaux Dans un profond sommeil adoucissẽt leurs maux;
Philomele en repos s’eſt deſia voulu taire;	Philomèle en repos s'est déjà voulu taire;
Ie n’oy que les oiſeaux de la nuict ſolitaire, Et ne crains plus les yeux des Bergers d’alentour, qui regardant Cydippe empeſchoient ſon retour.	Je n'ois que les oiseaux de la nuit solitaire, Et ne crains plus les yeux des Bergers d'alentour, qui regardant Cydipe empêchaient son retour.
O nuict ſi fauorable aux plus cheres delices, qui rends de nos amours tes grãds voiles complices, Pourrois-ie recognoiſtre auec aſſez d’encens Les douces voluptez don imrimpur mes ſens?	Ô nuit si favorable aux plus chères délices, qui rends de nos amours tes grands voiles complices, Pourrais-je reconnaître a assez d'encens Les douces voluptés don imrimpur mes sens?
Compagne des plaiſirs ta courſe amene l’heure que Cydippe s'auance à quitter ſa demeure.	Compagne des plaisirs ta course amène l'heure que Cydipe s'avance à quitter sa demeure.
Dans ces bords reſonnans du mouuement des flots, Attendant qu’elle arriue, & que les matelots Conduiſent loin d’icy ma courſe vagabonde, e laiſſe mes ſouſpirs au murmure de l’onde.	Dans ces bords résonnants du mouvement des flots, Attendant qu'elle arrive, et que les matelots Conduisent loin d'ici ma course vagabonde, eût laisse mes soupirs au murmure de l'onde.
a fortune nous monſtre vn fauorable ſort, taire;	a fortune nous montre un favorable sort, aire;
Vous rendant le Ciel calme abandonnant le port, Ce départ eſt facile, vn doux vent le diſpoſe, Qui paſſe à trauers l’ombre où la mer ſe repoſe, ant d’aſtres tenebreux leur éclat aſſemblans Peluiſent deſſus l’onde à longs rayons tremblans, Et parmi leur grand nombre on remarque la Lune, ui va pergant la nuict d’vne lumiere brune.	Vous rendant le Ciel calme abandonnant le port, Ce départ est facile, un doux vent le dispose, Qui passe à travers l'ombre où la mer se repose, ant d'âtres ténébreux leur éclat assemblants Péluisent dessus l'onde à longs rayons tremblants, Et parmi leur grand nombre on remarque la Lune, va pergant la nuit d'une lumière brune.
Dieu dõt la main cõmande aux gouffres mariniers, ù le Soleil repaiſt ſes rouges limoniers, 'ethys que Iupiter a long temps deſiree;	Dieu dont la main commande aux gouffres mariniers, le Soleil repaît ses rouges limoniers, 'ethys que Iupiter a long temps désirée;
loro9 Nymphes, cheres ſœurs filles du vieux Neree;	loro9 Nymphes, chères sœurs filles du vieux Nère;
uous Tritons azurez, dont les ſons merueilleux li’alment dans l’Ocean les monts plus orgueilleux.	-vous Tritons assurés, dont les sons merveilleux li'alment dans l'Océan les monts plus orgueilleux.
Hencen auoriſez mes vœux cheres trouppes diuines, ui paſſez vos beaux ans ſous les vagues marines, Dù tournant l’œil en bas vous regardez les Cieux, omme l’air tranſparent le preſente à nos yeux:	Hencen auorisez mes vœux chères trouppes diuines, passez vos beaux ans sous les vagues es, a tournant y en bas vous regardez mes Cieux, omme air troupe le divine nos yeux,
reſeruez deux Amans deſſus l’onde ſalée	réservez deux Amants dessus l'onde salée
Des Syrtes, de Carybde, & du triſte Malée, Noms qui iettoiẽt la crainte en l’ame des Nochers, Quand pour voir vos ecueils ie laiſſay nos rochers;	Des Syrtes, de Caribde, et du triste Malée, Noms qui jetaient la crainte en l'âme des Nochers, Quand pour voir vos écueils ie laissai nos rochers;
Dieux aſſez de malheurs vont menaſſant ma vie, Qu'à nos contentemens aucun ne porte enuie.	Dieux assez de malheurs vont menaçant ma vie, Qu'à nos contentements aucun ne porte envie.
Retourne ma Cydippe, entrõs dans le vaiſſeau, La mer à tes regards plus calme qu’vn ruiſſeau, Perdant ſon naturel deuiendra doûce & claire, Ses Nymphes, ſes Tritons, ſes Dieux te voudront Ta voix amolira la face des écueils, ( plaire;	Retourne ma Cydienpe, entrõs dans le vaisseau, La mer à tes regards plus calme qu'un ruisseau, Perdant son naturel deviendra douce et claire, Ses Nymphes, ses Tritons, ses Dieux te voudront Ta voix amolira la face des écueils, ( plaire;
Où ſouuent les Nochers rencontrẽt leurs cercueils;	Où souvent les Nochers rencontrent leurs cercueils;
Neptune en te voyant ſur les vagues pareſtre, Penſera voir Venus deſſus l’onde renaiſtre, Ou la diuine Helene en l’eſtat où Pâris Fit conſentir ſon cœur à prendre deux maris:	Neptune en te voyant sur les vagues paraître, Pensera voir Venus dessus l'onde renaître, Ou la divine Hélène en l'état où Pâtris Fit consentir son cœur à prendre deux maris:
Et des parens faſcheux abandonnant la crainte Qui t'a gardé lõg temps l’œil & l’ame en cõtrainte, De voix & de regards nous-nous ferons ſçauoir L’ennuy de noſtre abſence, & l’aiſe de nous voir.	Et des parents fâcheux abandonnant la crainte Qui t'a gardé lõg temps l'œil et l'âme en comtrainte, De voix et de regards nous-nous ferons savoir L'ennui de notre absence, et eaise de nous voir.
Les plus grands immortels qui gouſtent l’ambroſie Sçachant mes voluptez mourront de jalouſie;	Les plus grands immortels qui goûtent l'ambrosie Sachant mes voluptés mourront de jalousie;
