A MADEMOISELLE	À MADEMOISELLE
DIANE.	DIANE.
Puiſque la Nymphe t’ayme, il faut flatter ſa peine, Autrement mon eſpoir ſe voyant enleué, Ie te perdtois encor apres t’auoir trouué;	Puisque la Nymphe t'aime, il faut flatter sa peine, Autrement mon espoir se voyant enlevé, Je te perdtais encor après t'avoir trouvé;
De la Nymphe itritée, il nous faudroit tout craindre	De la Nymphe itritée, il nous faudrait tout craindre
THERSANDRE.	THÉRSANDRE.
Tout nous reüſſira, puis qu’il ne faut que feindre.	Tout nous réussira, puis qu'il ne faut que feindre.
8 2	8 2
DIANE.	DIANE.
Iſmene cependant s’informe ſur le port, Quand ce vaiſſeau marchand ſortira de ſon bord, Par tout où nous voudrons, il pourra nous conduite;	Ismene cependant s'informe sur le port, Quand ce vaisseau marchand sortira de son bord, Par tout où nous voudrons, il pourra nous conduite;
Empeſchons iuſques là la Nymphe de nous nuire;	Empêchons jusques -là la Nymphe de nous nuire;
Elle ſe doir icy rendre dans vn moment, La voicy, diſſimule, & fais en bien l’amant, C’eſt de la leulement qu’il nous faut tout attendre.	Elle se doir ici rendre dans un moment, La voici, dissimule, et fais en bien l'amant, C'est de la leulement qu'il nous faut tout attendre.
{ FELICIE.	§ FELICIE.
DIANE.	DIANE.
THERSANDRE.	THÉRSANDRE.
FELICIE.	FELICIE.
TN mot, Diane vn mot, vous, attendez Therſaudre, Et bien as-tu leué cét obſtacle faſcheux, Qui veuoit s’oppoſer à l’eſpoir de mes feux?	TN mot, Diane un mot, vous, attendez Thersaudre, Et bien as-tu leué cet obstacle fâcheux, Qui veuait s'opposer à l'espoir de mes feux?
As tu pour eſtablir le repos de ma vie, De l’eſprit de ton frere effacé ſa Celie?	As tu pour établir le repos de ma vie, De l'esprit de ton frère effacé sa Célie?
DIANE.	DIANE.
Son cœur ſuit, où l'appelle, & ſa gloire, & ma voix, Et ſe laiſſe fleſchir à de ſi douces loix.	Son cœur suit, où l'appelle, et sa gloire, et ma voix, Et se laisse fléchir à de si douces lois.
FELICIE.	FELICIE.
O!	Ô!
d'vne ardente amour merueilleuſe inter prete, L’as-tu bien auerty de la tenie ſéciette.	d'une ardente amour merveilleuse inter préte, Las-tu bien averti de la ténie séciette.
Ce poinct m'eſt eſchappé, mais i'y ſatisferay, Et meſme deuant vous ie l’en aduertiray.	Ce point m'est échappé, mais j'y satisferai, Et même devant vous ie en aduertiray.
Trouuez bon cependant pour vous monſtrer ſon zele que ie l’aille querir:	Trouvez bon cependant pour vous montrer son zèle que je l'aille quérir:
feignez bien aupres d’ello.	feignez bien auprès d'élo.
THERSANDRE, bas à Diane.	THÉRSANDRE, bas à Diane.
Ie vais ſans que ſon cœur en deuienne ialoux, Ne parlet à ſes yeux que de vous, & qu’à vous.	Je vais sans que son cœur en devienne jaloux, Ne parlet à ses yeux que de vous, et qu'à vous.
Puis il dit à Felicie, à coſté de laquelle eſt Diane qu’il regarde.	Puis il dit à Félicie, à côté de laquelle est Diane qu'il regarde.
Auez vous pû douter, & ſetoit il poſſible Qu’à ma felicité mon cœut fut inſenſible, Que mon ſort eſt heutens, que l’orage m’eſt doux, Qui me donne ce port dont les Roys ſont jaloux, Prés d’vn ſi rare object & prés de tant de charmes, quel ſupetbe vainqueur ne tendroit pas les armes, Vn tocher inſenſible en ſeroit conſommé, Le marbre le plus ftoid en ſeroit allumé;	Avez -vous pu douter, et sétait -il possible Qu'à ma félicité mon cœut fut insensible, Que mon sort est heuts, que l'orage m'est doux, Qui me donne ce port dont les Rois sont jaloux, Prés d'un si rare object et près de tant de charmes, quel supétbe vainqueur ne tendroit pas les armes, Un tocher insensible en serait consommé, Le marbre le plus fûtoid en serait allumé;
ouy, Madame, vn bel œil ouute icy ſa paupiere, Ces lieux en ſont deſia tous remplis de lumiéte, Il eſt iour, & ce n’eſt qu’au Soleil de ſes yeux que les feux de la nuit ont paſly dans les Cieux.	oui, Madame, un bel œil ouute ici sa paupière, Ces lieux en sont déjà tous remplis de lumiète, Il est jour, et ce n'est qu'au Soleil de ses yeux que les feux de la nuit ont pasly dans les Cieux.
Ie confeſſeray donc, Madame, que ie l'ayme, Ie vis en cet object beaucoup plus qu’en moymeſme, Et d’vn heur ſans pareil mon eſprit eſt charmé, Quand ie penle que r’ayme, & que ie iuis aymé.	Je confesserai donc, Madame, que je l'aime, Je vis en cet object beaucoup plus qu'en moymesme, Et d'un heur sans pareil mon esprit est charmé, Quand ie ole que raime, et que je juis aimé.
FELICIE.	FELICIE.
ne rems tu point Aaymer, vens me le dite encore.	ne rems tu point Aïmer, vends me le dite encore.
THERSANDRE.	THÉRSANDRE.
o Dieux!	ô Dieux!
que dites vous?	que dites -vous?
i’ayme, ou plutoſt i'adore.	j'aime, ou plutôt j'adore.
FELICIE.	FELICIE.
Et ta celie enfin qui regnoit ſur ton cœur.	Et ta celie enfin qui régnait sur ton cœur.
THERSANDRE.	THÉRSANDRE.
l'ay mis ſes intereſt:	l'ai mis ses intérêt:
dans les mains de ma ſœur, Eile m’a bien promis d’accordet ma querelle, Et pous tour dire entin elle me reſpond d’efle.	dans les mains de ma sœur, Eile m'a bien promis d'accord ma querelle, Et pous tour dire entin elle me répond d'une.
E 3	 3
FELICIE.	FELICIE.
Tu m’as vanté ſes yeux l'object de ton amour.	Tu m'as vanté ses yeux l'object de ton amour.
Ils cheriſſent pour toy la lumiere du four, Et voudroient ſe couurir d'vne nuit éternelle, s’ils ceſſoient de te voir, ou viuant, ou fidelle:	Ils chérissent pour toi la lumière du four, Et voudraient se couvrir d'une nuit éternelle, s'ils cessaient de te voir, ou vivant, ou fidèle:
Penſe bien de ta part à ce que tu promets, Sois ferme, ſois conſtant, & n’y manque iamais, Ne conſidere point cette grandeur ſuprême, Sois tout à ton object, ayme-le pour luy meſme, Et ſans t’intereſſer pour ton ambition, Flatte toy de l’honneur de ſa poſſeſſion, Voy ſeulement s’il t’ayme, & non pas s’il te donne, La beauté que tu ſers doit eſtre ta couronne, Et tu ne dois iamais hors de ces deux liens Cherchet d'autres grandeurs, ny trouuer d'autres biens.	Pense bien de ta part à ce que tu promets, Sois ferme, sois constant, et n'y manque jamais, Ne considère point cette grandeur suprême, Sois tout à ton object, aime-le pour a même, Et sans t'intéresser pour ton ambition, Flatte toi de l'honneur de sa possession, Vois seulement s'il t'aime, et non pas s'il te donne, La beauté que tu sers doit être ta couronne, Et tu ne dois jamais hors de ces deux liens Cherchet d'autres grandeurs, ni trouver d'autres biens.
THERSANDRE.	THÉRSANDRE.
I'auray ces ſentimens, n’en doutez point, Madame, Et iamais les grandeurs n’aueugleront mon ame, De ce laſche intereſt ie purge mon amour, Et bruſle d'vn feu pur comme l’aſtre du ieur.	J'aurai ces sentiments, n'en doutez point, Madame, Et jamais les grandeurs n'aveugleront mon âme, De ce lâche intérêt ie purge mon amour, Et brûle d'un feu pur comme l'astre du jeur.
DIANE, à Felicie, De ce que i'oubliois i’auertiray mon ſrere?	DIANE, à Félicie, De ce que j'oubliais j'avertirai mon sre?
Si tu ſçais bien aymer;	Si tu sais bien aimer;
ſçache de plus te taire, Comme les auttes Dieux l’amour a ſes ſecrets, Souuént pour le ſetuir il veut des cœurs muets:	sçache de plus te taire, Comme les auttes Dieux l'amour a ses secrets, Souuént pour le setuir il veut des cœurs muets:
Garde toy d’irtiter ſa ialouſe puiſſance, Adore à ſes Autels, mais adore en ſilence, Le ſilencé fait part de ſa Religion, Et ſouuent ce Dieu fier s’offenſe de ſon nom.	Garde toi d'irtiter sa jalouse puissance, Adore à ses Autels, mais adore en silence, Le silencé fait part de sa Religion, Et souvent ce Dieu fier s'offense de son nom.
Tu perds tout ſi dans l’iſle on en ſçait quelque choſe, Ayme ſans en parler, c’eſt la loy qu’on t’impoſe, On t’aymera de meſiue, vſe bien du ſecret, Autrement Felicie en mourroit de regret, On connoiſt bien l'excez de l’amour qui te touche, Mais pour ton iutereſt mets le ſceau ſur ta bouche.	Tu perds tout si dans l'isle on en sait quelque chose, Aime sans en parler, c'est la loi qu'on t'impose, On t'aimera de miue, use bien du secret, Autrement Félicie en mourrait de regret, On connaît bien l'excès de l'amour qui te touche, Mais pour ton iuterest mets le sceau sur ta bouche.
FELICIE.	FELICIE.
Oïy, prens garde en effet qu’on s’en puiſſe douter, Ie veux prendre mon temps pour le faire eſclatter, Ie ſonge à ton repos qui le fait de ma vie, Cét aueu maintenant feroit naiſtre l’enuie, Et pour te diſputer ce que ie t’ay promis, De nos plus grans Heros feroit tes ennemiss.	Oui, prends garde en effet qu'on s'en puisse douter, Je veux prendre mon temps pour le faire éclater, Je songe à ton repos qui le fait de ma vie, Cet aveu maintenant ferait naître l'envie, Et pour te disputer ce que Un t'ai promis, De nos plus grans Héros ferait tes ennemiss.
luge donc de quer pr s ent ton ooeinance, Puiſque tout ton bon heur, dépend de ton ſileuce,	luge donc de quer prend d e ton opinance, Puisque tout ton bon heur, dépend de ton sileuce,
THERSANDRE.	THÉRSANDRE.
Les Dieux m’auroient puny d’vn grand aueuglement, 11emmandement;	Les Dieux m'auraient puni d'uni d' aueuglement, 11emandement;
I'obeïtay ſi bien, Madame, que vous meſme Douterez, ou ſi i’ayme, ou ſi c’eſt vous que i’ayme;	J'obéirai si bien, Madame, que vous -même Douterez, ou si j'aime, ou si c'est vous que j'aime;
FELICIE.	FELICIE.
Cependant de ta ſœur ie feray mon ſecours, Elle meſnageta nos communes amours;	Cependant de ta sœur on ferai mon secours, Elle ménageta nos communes amours;
Croy ce qu’elle dira, puiſqué ie la veux faire, Des ſecrets de mon cœur ſeule depoſitaire.	Crois ce qu'elle dira, puisquépris la veux faire, Des secrets de mon cœur seule dépositaire.
THERSANDRE.	THÉRSANDRE.
I'en vſeray de meſme.	J'en userai de même.
EATIEINIE, a PEHIJe.	EATIEINIE, a PEHIJe.
Vn Marchand de Bijoux Qui vient touſiours aux jeux, voudroit parler à tous.	Un Marchand de Bijoux Qui vient toujours aux jeux, voudrait parler à tous.
FELICIE.	FELICIE.
que Pon le lacc emter;	que Pon le lacc emter;
ce Matenand de seuille;	ce Matenand de séville;
Pour vẽdre & trafiquer tous les ans vient dans L’iſle.	Pour vendre et trafiquer tous les ans vient dans L'isle.
SCENE VI.	SCÈNE VI.
FELICIE.	FELICIE.
FABRICE.	FABRICE.
THERSANDRE.	THÉRSANDRE.
DIANE.	DIANE.
PHILINTE.	PHILINTE.
FELICIE.	FELICIE.
Erez vous blen long-temps encore à noſtte botà,	Erez -vous blen longtemps encore à nostte botà,
FABRICE.	FABRICE.
Ie n’attens pour ſortir que voſtre paſſe-port.	Je n'attends pour sortir que votre passe-port.
Mais tous les ans, Madame, en vſant dé la ſorte Ie ne rempotte rien de tout ce que i’apporte;	Mais tous les ans, Madame, en usant de la sorte Je ne rempotte rien de tout ce que j'apporte;
Vous vuidez ma caſſette, & ie viens vous monſtrer Ce qu’ailleuts qu’en mes mains, on ne peut rencontrer.	Vous videz ma cassette, et Seigneur viens vous montrer Ce qu'ailleuts qu'en mes mains, on ne peut rencontrer.
Voyons.	Voyons.
EELIOID.	ÉLIOID.
FABRICE.	FABRICE.
Ce diamant iette beaucoup de ſlamme.	Ce diamant jette beaucoup de slamme.
FELICLE.	FELICLE.
Ie Ie trouue fort beau.	Ie Je trouve fort beau.
FABRICE.	FABRICE.
Vous plairoit il, Madame.	Vous plaierait -il, Madame.
FELICIE.	FELICIE.
Ie le diray tantoſt, voyons tout à la foix, Puis ie verray ſut quoy j’arreſteray mon choix;	Je le dirai tantôt, voyons tout à la foix, Puis tu verrai sut quoi j'arrêterai mon choix;
Monſtrez moy ce corail.	Montrez -moi ce corail.
FABRICE.	FABRICE.
La piece en eſt fort belle, Voſtre late iuſqu’icy n’en a point veu de telle,	La pièce en est fort belle, Votre la jusqu'ici n'en a point vu de telle,
FELICIE.	FELICIE.
Et cette autre qu’eſt elle?	Et cette autre qu'est elle?
FABRICE.	FABRICE.
Vn morceau d’ambre gris, Madame, cette plece eſt rare, & de grand prix:	Un morceau d'ambre gris, Madame, cette plece est rare, et de grand prix:
I'ay bien coutu des mers pour en faite l’emplette, Seulle elle vaut le prix de teute ma caſſette.	J'ai bien coutu des mers pour en faite l'emplette, Seulle elle vaut le prix de teute ma cassette.
DIANE.	DIANE.
Et moy ne puis.	Et moi ne puis.
je tien détouurit de nouueus,	je tien détouurit de nouveus,
FABRICE, à Diane.	FABRICE, à Diane.
Bergere, ce filet de perles eſt fort beau, Elle vous feroient voit plus belle, & plus brillante,	Bergère, ce filet de perles est fort beau, Elle vous feraient voit plus belle, et plus brillante,
FELICIE.	FELICIE.
Sans ces beautez de l'art elle eſt aſſez charmante, Elle n’a pas beſoin d’ornemens eſtrangers, Elle feroit mourir icy tous nos bergers:	Sans ces beautés de l'art elle est assez charmante, Elle n'a pas besoin d'ornements étrangers, Elle ferait mourir ici tous nos bergers:
Mais Diane apres tout, quoy que belle ſans elles, Ie vous les veux donner, ſi vous les trouuez belles,	Mais Diane après tout, quoi que belle sans elles, Je vous les veux donner, si vous les trouvez belles,
DIANE, Madame, vos bontez.	DIANE, Madame, vos bontés.
FELICIE.	FELICIE.
Que I’on les mette à pare,	Que J'on les mette à pare,
PAARCCE.	PARCE.
Mais, Madame, voyez chef d’œuure de I'art, Ce portraict en petit du Roy d’Andalouſie.	Mais, Madame, voyez chef d'œuvre de J'art, Ce portrait en petit du Roi d'Andalousie.
FELICIE.	FELICIE.
Il eſt vn des mieux faits que ie vis de ma vies Et quel eſt celuy cy.	Il est un des mieux faits que ici vis de ma vies Et quel est celui celui.
FABRICE.	FABRICE.
c'eſt de ſon fauory, De Nearque, autreſois du Prince Pichety, Qui par vne beauté fatale par ſes charmes, Rendit à ſon riual, & la vie, & les armes, ne pun okegenur, enun petdiciolour:	c'est de son favori, De Narque, autresois du Prince Pichety, Qui par une beauté fatale par ses charmes, Rendit à son rival, et la vie, et les armes, ne pun okegenur, enun petdiciolour:
Dans l'eſclairciſſement que leur fit leur amout.	Dans l'éclaircissement que leur fit leur amout.
THERS ANDRE, bas le premier Vers, bois-je croſte, bols Dleux?	THÉRS ANDRÉ, bas le premier Vers, bois-je croste, bols Dleux?
à ce qu'il me remarque, lſtes vous bien certain de la mort de Nearque,	à ce qu'il me remarque, lâtes -vous bien certain de la mort de Narque,
FABRICE.	FABRICE.
Il reuint fort bleſſé comme chacun a ſçeu, Et moutut quatie louil apres s'ente batta.	Il revint fort blessé comme chacun a su, Et moutut quatie louil après s'ente batta.
FELICIE.	FELICIE.
Sa valeur ſemble peinte encor en ſon viſage.	Sa valeur semble peinte encor en son visage.
FABRICE.	FABRICE.
elu y qui le vainquit en eut bien dauantage;	élu y qui le vainquit en eut bien davantage;
n voicy le portraict.	n voici le portrait.
THERSANDRE.	THÉRSANDRE.
que monſtre-il encor.	que montre-il encor.
FELICIE.	FELICIE.
Eſt ce là ce vaillant, & ce Cleagenor.	Est -ce là ce vaillant, et ce Cléagenor.
FABRICE.	FABRICE.
Oüy, voila ſon portraict.	Oui, voilà son portrait.
BIsonenle E lc ay ouse O!	BIsonle E lc ai ouse Ô!
rencontre funeſte.	rencontre funeste.
FABRICE.	FABRICE.
De tous ceux que i'auois c’eſt le ſeul qui me reſte, Le Roy dan- ſon courroux par tout m’en fit portet, Pour le faire connoiſtre, afin de l’atreſter, Ayant pour deſrober ſa teſte à ſa pourſuitte, Apres ce grand combat ſur l’heure pris la fuitte.	De tous ceux que j'avais c'est le seul qui me reste, Le Roi dan- son courroux par tout m'en fit portet, Pour le faire connaître, afin de l'atrêter, Ayant pour dérober sa tête à sa poursuite, Après ce grand combat sur l'heure pris la fuite.
PELIOILe Therſandre, iamais rien ne vous reſſembla tant, Et voſtre ſœur ſans doute en dira tout autant.	PELIOILe Thersandre, jamais rien ne vous ressembla tant, Et votre sœur sans doute en dira tout autant.
THERSANDRE.	THÉRSANDRE.
La nature par fois ſe jouë en ſes ouurages, Et peut faire à peu pres reſſembler deux viſages.	La nature par fois se joue en ses ouvrages, Et peut faire à peu pres ressembler deux visages.
DEUIOIS.	DEUIOIS.
Ie croy que ce marchand eſt de mon ſentiment.	Je crois que ce marchand est de mon sentiment.
FABRICTe c'eſt la Cleagenor, Madame, aſſeurement,	FABRICTe c'est la Cléagénor, Madame, assurément,
THERSANDRE.	THÉRSANDRE.
Sur la foy d'vn pottraict, la choſe eſt peu cettaine,	Sur la foi d'un pottrait, la chose est peu celaine,
FABRICE.	FABRICE.
Ouy,vous l'entes, moneurne nen tuis plus en peine, Tout ce qui iuſqu’icy m’empeſchoit d’en iuger, Eſt le non de Therſandre, & l'habit de Berger.	Oui,vous l'entes, moneurne nen tuis plus en peine, Tout ce qui jusqu'ici m'empêchait d'en juger, Est le non de Thersandre, et l'habit de Berger.
THERSANDRE.	THÉRSANDRE.
Quoy moy, Cleagenor?	Quoi -moi, Cleagenor?
FABRICE.	FABRICE.
Ces dernieres années Ie vous ay veu, Monſieur, aux Iſles Fortunées, Et depuis quatre mois encor en Portugal, Seuille n’eſt il pas voſtre païs natal?	Ces dernières années Je vous ai vu, Monsieur, aux Isles Fortunées, Et depuis quatre mois encor en Portugal, Seuille n'est il pas votre pays natal?
Puiſque vous rencontrez icy voſtre aſſeurance, Il ne faut plus couurir ces choſes du ſilence.	Puisque vous rencontrez ici votre assurance, Il ne faut plus couvrir ces choses du silence.
FELICIE.	FELICIE.
Thetſandre, il lielaue poiutrceg e covaueu,	Thétsandre, il lielaue poiutrceg e covaueu,
THERSANDRE.	THÉRSANDRE.
Ie l'auouëray, Madame, oüy ie rougis vu peu, Non que mõ bras n’ait fait tout ce qu’il deuoit faire.	Je l'avouerai, Madame, oui ici rougis vu eu, Non que mon bras n'ait fait tout ce qu'il devait faire.
