De Voſtre Majeſté,	De Votre Majesté,
Puis-ie eſperer encore de reuoir ton viſage?	Puis-je espérer encore de revoir ton visage?
PARIS l’abordant.	PARIS l'abordant.
L’amour, chere beauté, vous fait reſuer ainſi:	L'amour, chère beauté, vous fait rêver ainsi:
I OSELIE.	I OSELIE.
Ouy, mais ce n'est pas vous qui cauſez ce ſoucy.	Oui, mais ce n'est pas vous qui causez ce souci.
ARIS.	ARIS.
Ie ſuis bien deliuré d’vne croyance telle, Le Roy vous promettant vne amour immortelle;	Je suis bien délivré d'une croyance telle, Le Roi vous promettant une amour immortelle;
Il eſt vray qu'autre fois ne vous pouuant toucher, Ie m'eſtonnois qu’amour fuſt ſi mauuais archer;	Il est vrai qu'autre fois ne vous pouvant toucher, Je m'étonnais qu'amour fût si mauvais archer;
Ie croyois iuſtement vous blaſmer d’iniustice, Quand ie vous faiſois ſeul des offres de ſeruice:	Je croyais justement vous blâmer d'injustice, Quand ie tu faisais seul des offres de service:
Mais depuis que le Roy s'eſt chargé de vos fers, Qu'à l'autel ou ie prie il a ſes vœux offerts, Ie ſuis reduit au point de ſouffrir ſans me plaindre, Sa ſeule qualité m’oblige a me contraindre:	Mais depuis que le Roi s'est chargé de vos fers, Qu'à l'autel ou apprendre prie il a ses vœux offerts, Je suis réduit au point de souffrir sans me plaindre, Sa seule qualité m'oblige a me contraindre:
Mon eſprit toutefois ne ſe peut dégager, I'ay pour vous vne amour que ie ne puis changer:	Mon esprit toutefois ne se peut dégager, J'ai pour vous un amour que je ne puis changer:
Et ie ne veux pour prix de ma perſeuerance Que la gloire d’aimer ſans aucune eſperance, Dauoir este vaincu de vos diuins aiiraits, Et de faire admirer le pouuoir de leurs traits.	Et petit ne veux pour prix de ma persévérance Que la gloire d'aimer sans aucune espérance, Davoir este vaincu de vos divins aiiraits, Et de faire admirer le pouvoir de leurs traits.
I OSELIE.	I OSELIE.
Combien que ie vous plaigne en ceste ardeur ſi forte, Vous m'obligez pourtant de viure de la ſorte;	Combien que je vous plaigne en cette ardeur si forte, Vous m'obligez pourtant de vivre de la sorte;
Et pour me teſmoigner que vous m'aimez ainſi, Monſieur, laiſſez moy ſeule entretenir icy.	Et pour me témoigner que vous m'aimez ainsi, Monsieur, laissez -moi seule entretenir ici.
Il s’en va.	Il s'en va.
ARGANT s’en allant.	ARGANT s'en allant.
O des ſots amoureux l’agreable modele!	Ô des sots amoureux l'agréable modèle!
Le voila bien payé d’vne amour ſi fidele.	Le voilà bien payé d'une amour si fidèle.
ROSELIE ſeule.	ROSELIE seule.
Ha!	Ha!
que ne peux-tu voir cher obiect de mes vœux?	que ne peux-tu voir cher objet de mes vœux?
Auec quelles froideurs ie me ris de leurs feux;	Avec quelles froideurs ie me ris de leurs feux;
Qu'icy tu receurois vne preuue aſſeuree, De l'estroite amitié que nous auons iuree!	Qu'ici tu recevrais une preuve assurée, De l'étroite amitié que nous avons jure!
Le Page Tu verrois que le Roy:	Le Page Tu verrais que le Roi:
Mais que veut celuy-c Le Page luy donnant la lettre.	Mais que veut celui-ç Le Page avait donnant la lettre.
t ons ie fpaut&, aviauume, & qui m'enuoye icy, ConſulteZ ce papier.	 tons ie ment, aviaume, et qui m'envoie ici, Consultez ce papier.
ROSELIE lit la lettre.	ROSELIE lit la lettre.
Contenu de la Lettre.	Contenu de la Lettre.
N’aimez plus vn ingrat, diuine Roſelie, Qui ne ſ çauroit briſer la chaine qui le lie, Un qui n'est plus à vous, vn qui n'est plus à ſoy, Qui cueille des plaiſirs en la couche d’vn autre, Et qui tienne vne loy Plus forte que la vostre.	N'aimez plus un ingrat, divine Roselie, Qui ne s aurait briser la chaîne qui le lie, Un qui n'est plus à vous, un qui n'est plus à soi, Qui cueille des plaisirs en la couche d'un autre, Et qui tienne une loi Plus forte que la vôtre.
Le Ciel s'est offensé qu’vn Monarque ſouſpire, Il veut que vos vaiſers auegent ſon martyre, Mon exemple a deſia dégagé vostre foy, Et la neceßité qui me donne à la Reine, Elle vous donne au Roy, Mettez, fin à ſa peine.	Le Ciel s'est offensé qu'un Monarque soupire, Il veut que vos vaisers auégent son martyre, Mon exemple a déjà dégagé votre foi, Et la necemité qui me donne à la Reine, Elle vous donne au Roi, Mettez, fin à sa peine.
ALCANDRE.	ÀLCANDRE.
Elle continuë, ayant leu.	Elle continue, ayant lue.
Il deuoit bien cherir des charmes ſi puiſſans;	Il devait bien chérir des charmes si puissants;
Adieu;	Adieu;
teſmoignez luy l'aiſe que i'en reſſens.	témoignez Seigneur l'aise que j'en ressens.
Il s’en va.	Il s'en va.
Elle continde eſtant ſeule.	Elle continde étant seule.
O le ſiecle diuin!	Ô le siècle divin!
que le ſiecle où nous ſommes:	que le siècle où nous sommes:
O la rare vertu que la vertu des hommes!	Ô la rare vertu que la vertu des hommes!
le le don au tonmge ajajataes Qu'elle a paru puiſſante en la neceſsité?	le le don au tonmge ajajataes Qu'elle a paru puissante en la nécessité?
Elle deſchire la lettre.	Elle déchire la lettre.
Papier, qu’il a noirçy de ſa main, l’infidele, Où i’apprens de mes maux la funeſte nouuelle Dois tu paroiſtre entier deuant mes yeux confus?	Papier, qu'il a noirçi de sa main, l'infidèle, Où j'apprends de mes maux la funeste nouvelle Dois tu paraître entier devant mes yeux confus?
Toy qui viens m'annoncer, que ſa foy ne l’eſt plus?	Toi qui viens m'annoncer, que sa foi ne l'est plus?
Papier, cent fois maudit, ſecretaire d’vn traiſtre!	Papier, cent fois maudit, secrétaire d'un traître!
Ha!	Ha!
que ne puis-ie ainſi dispoſer de ton maiſtre?	que ne puis-je ainsi disposer de ton maître?
Que ne m'eſt-il permis, apres ce que ie voy, De faire de ſon cœur ce que ie fais de toy?	Que ne m'est-il permis, après ce que ie cy, De faire de son cœur ce que ici fais de toi?
Ie cede à ces tranſports, & la voix m'eſt rauie;	Je cède à ces transports, et la voix m'est ravie;
Helas!	Hélas!
que puiſſent-ils m'oster außi la vie?	que puissent-ils m'ôter aussi la vie?
9 CENE VII.	9 CÈNE VII.
En Dalmatie.	En Dalmatie.
ALCANDRE, OGIER, MESSAGER.	ÀLCANDRE, OGIER, MESSAGER.
Autres ſeruiteurs.	Autres serviteurs.
ALCANDRE.	ÀLCANDRE.
Hecomjuno mui nems dont mes iours ſont combleZ Dis-tu qu’ils ſont deſia ſous l’Hymen aſſemble?	Hecomjuno nems dont mes iours sont combleZ Dis-tu ils sont desya sous nHymen assemble?
MESSAGER.	MESSAGER.
Ie fus preſent moy-meſme à la ceremonie, I’ay veu de ces amans l’allegreſſe infinie, D'vn agreable traict leurs eſprits ſont bleſſez, Leurs regards mutuels me l’apprirent aſſez, Chacun benit leurs feux, & leur rendit hommage:	Je fus présent moi-même à la cérémonie, J'ai vu de ces amants l'allégresse infinie, D'un agréable trait leurs esprits sont blessez, Leurs regards mutuels me l'apprirent assez, Chacun bénit leurs feux, et leur rendit hommage:
Mais ce papier, Monpient, com uir a uanantage.	Mais ce papier, Monient, com uir a uanantage.
ALCANDRE ouure la lettre & lit:	ÀLCANDRE ouvre la lettre et lit:
Contenu de la lettre.	Contenu de la lettre.
Partagez ma bonne fortune, Mon frere, Roſelie a finy ſes meſpris, Vn heureux mariage aſſemble nos eſprits, Et la rigueur du ſort ne m'eſt plus importune.	Partagez ma bonne fortune, Mon frère, Roselie a fini ses mépris, Un heureux mariage assemble nos esprits, Et la rigueur du sort ne m'est plus importune.
Vous poſſedez bien toſt la Reine:	Vous possédez bien tôt la Reine:
Careſſons à l’enuy ces obiects de nos vœux, Eime fongeons quu premue onougicable peine, A qui ſe donnera le premier des neueux.	Caressons à l'envi ces objets de nos vœux, Eime songeons quu premue onougicable peine, À qui se donnera le premier des neueux.
FERNAND.	FERNAND.
ALCANDRE continuë.	ÀLCANDRE continue.
Et puis, aſſeurons nous en leur ſexe perfide, Ou ſi viſiblement l’inconſtance preſide, Croyons que leurs diſcours ouurent leurs ſentimens;	Et puis, assurons nous en leur sexe perfide, Ou si visiblement l'inconstance préside, Croyons que leurs discours ouvrent leurs sentiments;
Eſperons en leur foy, reuerons leurs ſermens.	Espérons en leur foi, révérons leurs serments.
Helas!	Hélas!
que ma croyance eſtoit mal aſſeuree, Quelque fidelité que nous euſsions iuree, Que i’auois mal fondé mon eſpoir innocent?	que ma croyance était mal assurée, Quelque fidélité que nous eussions jure, Que j'avais mal fondé mon espoir innocent?
Que ſon eſprit eſt foible, & qu’vn Sceptre est puiſſant?	Que son esprit est faible, et qu'un Sceptre est puissant?
La femme priſe peu le titre de conſtante, Lors que celuy de Reine eſt l’appas qui la tente.	La femme prise peu le titre de constante, Lors que celui de Reine est l'appas qui la tente.
Donc, ce cruel tyran de mes affections, Meſure ſes plaiſirs à mes intentions!	Donc, ce cruel tyran de mes affections, Mesure ses plaisirs à mes intentions!
Il poſſede mon bien, il gouſte mes delices, Il cueille, l’inhumain, le fruit de mes ſeruices!	Il possède mon bien, il goûte mes délices, Il cueille, l'inhumain, le fruit de mes services!
Ce qu'Amour me donnoit, le Pouuoir l’a faict ſien, Il obtient toute choſe, & ie n'eſpere rien:	Ce qu'Amour me donnait, le Pouvoir l'a fait sien, Il obtient toute chose, et Ah n'espère rien:
Mais que me ſert, helas!	Mais que me sert, hélas!
cette inutile plainte, En la fidele ardeur dont mon ame est attainte, Mal-gré ſon changement i’adore ſes appas;	cette inutile plainte, En la fidèle ardeur dont mon âme est attainte, Mal-gré son changement j'adore ses appas;
Le deſſein que i'ay fait ne s’alterera pas:	Le dessein que j'ai fait ne s'altérera pas:
Ie releue d’vn Dieu plus fort que ma cholere:	Je relève d'Hommes Dieu plus fort que ma cholère:
Ie l’adorois conſtante, & ie l’aime legere;	Je l'adorais constante, et Seigneur l'aime légère;
Ie l’aimois la voyant, ie l’aime ſans la voir;	Je l'aimais la voyant, Seigneur l'aime sans la voir;
Ie l’aimois eſperant, ie l’aime ſans eſpoir.	Je l'aimais espérant, Seigneur l'aime sans espoir.
Peſant la qualité de l’appas qui la flatte, Ie pardonne mon mal à cette belle ingrate, Et ie veux dans ſes mains mal-gré tant de froideur, Conſirmner tes fermensu ont fracuc ardeur;	Pesant la qualité de l'appas qui la flatte, Je pardonne mon mal à cette belle ingrate, Et beau veux dans ses mains mal-gré tant de froideur, Consirmner tes fermentsu ont fracuc ardeur;
Partons ſecrettement en ce point deplorable, Le reſpect de la Reine eſt peu conſiderable:	Partons secrètement en ce point déplorable, Le respect de la Reine est peu considérable:
Il s’en va.	Il s'en va.
OGIER s’en allant, dit.	OGIER s'en allant, dit.
Retenez en ces lieux cét eſprit irrité:	Retenez en ces lieux cet esprit irrité:
Dieux!	Dieux!
ou ie ſuis à bout de ma Principauté?	ou ici suis à bout de ma Principauté?
On me craignoit deſia ſur la terre & ſur l’onde;	On me craignait déjà sur la terre et sur l'onde;
Ie m'estois proposé de conquerir le monde, Ie meditois deſia mille nouuelles loix:	Je m'étais proposé de conquérir le monde, Je méditais déjà mille nouvelles lois:
Mais ie preuoy dans peu ta ſus ue mescupions.	Mais ici preuoi dans peu ta sus ue mescupions.
ACTE CINQVIESME.	ACTE CINQUIÈME.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
Dans vne chambre.	Dans une chambre.
ROSELIE, FLORIS Nourrice.	ROSELIE, FLORIS Nourrice.
ROSELIE.	ROSELIE.
Ourquoy me parle tu de l’oublier, ce traipon extmple, Ports, m'oblige tel de l'eſtre.	Ourquoy me parle -tu de l'oublier, ce traipon extmple, Ports, m'oblige tel de l'être.
LORIS, Il vous iuſtifiera dans toute cette Cour.	LORIS, Il vous justifiera dans toute cette Cour.
OSELIE.	OSELIE.
Il est vray:	Il est vrai:
mais non pas dedans celle d’amour.	mais non pas dedans celle d'amour.
Iamais de nos ſermens ce Dieu ne nous dispenſe, Ie ne puis imiter vn crime ſans offenſe;	Jamais de nos serments ce Dieu ne nous dispense, Je ne puis imiter un crime sans offense;
Et les maux que le Ciel prepare à ſon forfait Ie les meriterois changeant comme il a fait.	Et les maux que le Ciel prépare à son forfait -je les mériterais changeant comme il a fait.
Ha!	Ha!
ceſſe d’irriter ma douleur violente, Souffre qu’il ſoit volage, & que ie ſois conſtante, Des regrets aſſez, forts ont mon cœur aſſailly, Sans y meſler encor celuy d’auoir failly.	cesse d'irriter ma douleur violente, Souffre qu'il soit volage, et que sans sois constante, Des regrets assez, forts ont mon cœur assailly, Sans y mêler encor celui d'avoir failli.
LORIS.	LORIS.
Mais depuis que l’amour nous oſte l’esperance, Oblige-t'il encore à la perſeuerance?	Mais depuis que l'amour nous ôte l'espérance, Oblige-t'-il encore à la persévérance?
ROSELIE.	ROSELIE.
Qui penſes tu blaſmer des ennuis que ie ſens?	Qui penses tu blâmer des ennuis que ie sens?
N'accuſe que l’ingrat qui m’a charmé les ſens;	N'accuse que l'ingrat qui m'a charmé les sens;
L’amour n'est pas autheur de cette perfidie;	L'amour n'est pas auteur de cette perfidie;
Ce puiſſant Dieu n'a pas ſon ame refroidie;	Ce puissant Dieu n'a pas son âme refroidie;
C'eſt bien m'entretenir de diſcours ſuperflus, Que de dire qu'amour nous porte à n'aimer plus.	C'est bien m'entretenir de discours superflus, Que de dire qu'amour nous porte à n'aimer plus.
FLORIS.	FLORIS.
Quelle fin aura donc vne amour ſi fidelle?	Quelle fin aura donc une amour si fidèle?
ROSELIE.	ROSELIE.
Elle n’en aura point puis qu'elle eſt immortelle.	Elle n'en aura point puis qu'elle est immortelle.
ORIS.	ORIS.
I'entendois, quel effect?	J'entendais, quel effet?
ROSELIE.	ROSELIE.
ma ſatisfaction, Le bien d’auoir ſuiuy mon inclination, De pouuoir quelque iour confondre ce volage, Et le faire rougir de ſon peu de courage.	ma satisfaction, Le bien d'avoir suivi mon inclination, De pouvoir quelque jour confondre ce volage, Et le faire rougir de son peu de courage.
Mais quelles gens Floris, dreſſent icy leurs pas?	Mais quelles gens Floris, dressent ici leurs pas?
CSNEIE LYSANOR, luy preſentant le baſſin où eſt la Couronne.	CSNEIE LYSANOR, lui présentant le bassin où est la Couronne.
Oyez chaste beauté le prix de vos appas, Si le Roy vous cherit, ſi ſon ame est ſans Et ſi l’intention qu’il a pour vous eſt ſaincte, Il vous preſſe par moy d’accepter ce preſent, Et de flatter d’vn mot ſon martyre euiſant;	Oyez chaste beauté le prix de vos appas, Si le Roi vous chérit, si son âme est sans Et si l'intention qu'il a pour vous est sainte, Il vous presse par moi d'accepter ce présent, Et de flatter d'un mot son martyre évisant;
Conſeruez vous, Madame, vn ſi puiſſant Monarque, Ne l’abandonnez pas au pouuoir de la parque;	Conservez -vous, Madame, un si puissant Monarque, Ne l'abandonnez pas au pouvoir de la parque;
Uos froideurs font en luy le plus ſenfible effort Qui fiſt iamais reſoudre vn amant à la mort.	Uos froideurs font en était le plus sensible effort Qui fît jamais résoudre un amant à la mort.
ROSELIE.	ROSELIE.
Le Roy m’honore trop, il ſçaura par moy meſme Comment ie ſuis ſenſible à cét honneur extréme.	Le Roi m'honore trop, il saura par moi -même Comment tu suis sensible à cet honneur extrême.
Lyſanor mettant le baſſin ſur vne table, dit:	Lysanor mettant le bassin sur une table, dit:
LYSANOR s’en allant.	LYSANOR s'en allant.
Madame, vous rendrez, ce Prince reſioüy Sans autres complimens que le ſeul mot d’oüy.	Madame, vous rendrez, ce Prince resioüy Sans autres compliments que le seul mot d'oui.
Ils s’en vont.	Ils s'en vont.
LORIS.	LORIS.
Et bien, refuſez vous vn bon-heur ſi ſenſible, Conſeruez vous encor vn courage inuincible?	Et bien, refusez -vous un bonheur si sensible, Conservez -vous encore un courage invincible?
Et ce dernier aſſaut ne vous peut-il dompter?	Et ce dernier assaut ne vous peut-il dompter?
Icy que la victoire eſt tant à redouter, Icy qu'elle vous oſte vne offre ſi parfaite, Icy que la Couronne honore la deffaite.	Ici que la victoire est tant à redouter, Ici qu'elle vous ôte une offre si parfaite, Ici que la Couronne honore la défaite.
