ARGVMENT DE LITAIEOM	ARGUMENT DE LITAIEOM
Dieux, qu’eſt-ce que j’entends, ſeroit-il bien poſſible Qu’Alexis eut vn cœur à l’amour inſenſible, Et qu’avec des appas qui peuvent tout charmer, Ar roulurerpnorer le doux plaiſinu tcliner.	Dieux, qu'est-ce que j'entends, serait-il bien possible Qu'Alexis eut un cœur à l'amour insensible, Et qu'avec des appas qui peuvent tout charmer, Ar roulurerpnorer le doux plaisinu tcliner.
Parlez donc, Alexis, répondez quelque choſe, Pour vous juſtifier de ce qu’on vous impoſe;	Parlez donc, Alexis, répondez quelque chose, Pour vous justifier de ce qu'on vous impose;
Mais ne déguiſez rien, & ſongez queles Dieux Eſclairent nos penſers du plus haut de leurs Cieux.	Mais ne déguisez rien, et songez queles Dieux Esclairent nos pensers du plus haut de leurs Cieux.
4 2 2 ALEXIS.	4 2 2 ALEXIS.
Ie ne me deffends point, Alcandre, d’vn tel crime, Quoy que le Ciels’irrite, & contre moy s’anime;	Je ne me défend point, Alcandre, d'un tel crime, Quoi que le Ciels'irrite, et contre moi s'anime;
I’ay mépriſé l’Amour, émouſſé tous ſes traits, Et cheri plus que luy la chaſſe & les foreſts:	J'ai méprisé l'Amour, émoussé tous ses traits, Et chéri plus que sans la chasse et les forêts:
Ie ſuis ce monſtre affreux, qui ſeul en la Nature Cache vn cœur de rocher, ſous l’humaine figure;	Je suis ce monstre affreux, qui seul en la Nature Cache un cœur de rocher, sous l'humaine figure;
Et qui, plus furieux que nos premiers Titans, M’efforce à deſerter l’Vnivers d’habitans.	Et qui, plus furieux que nos premiers Titans, M'efforce à déserter l'Univers d'habitants.
Puiſque je reconnois ma criminelle audace, Puniſſez-moy, Seigneur, je le demande en grace, Ie beniray mon fort, & moulray comore, Si ma mort peut ſauver mon païs deſolé.	Puisque je reconnais ma criminelle audace, Punissez-moi, Seigneur, je le demande en grâce, Je bénirai mon fort, et moulrai comore, Si ma mort peut sauver mon pays désolé.
ALCANDRE.	ÀLCANDRE.
Ce courage, Alexis, que vous faites paroiſtre, ſſtre, Ne fait point honte au ſang dont le Ciel vous ſit naiEt reſpond noblement à l’infaillible eſpoir, Que vos jeunes vertus nous faiſoient concevoir.	Ce courage, Alexis, que vous faites paraître, sustre, Ne fait point honte au sang dont le Ciel vous sit naiEt répond noblement à l'infaillible espoir, Que vos jeunes vertus nous faisaient concevoir.
Que ſi par nos ſouhaits les fieres deſtinées Conſentoient à regler le cours de vos années, Vous auriez, Alexis, des ſiecles de Neſtor, Et vos jours ne ſeroient filez que de pur or;	Que si par nos souhaits les fières destinées Consentaient à régler le cours de vos années, Vous auriez, Alexis, des siècles de Nestor, Et vos jours ne seraient filés que de pur or;
Mais puiſqu’enfin le Ciel nous demande vne hoſtie, Et que pour l’appaiſer il luy faut voſtre vie, Ne peruons pomt de temps, & dans ce meſme lieu Achevons promptement ce qu’a preſcrit le Dieu:	Mais puisque enfin le Ciel nous demande une hostie, Et que pour l'apaiser il lui faut votre vie, Ne pervons pompt de temps, et dans ce même lieu Achevons promptement ce qu'a prescrit le Dieu:
Vous, Damon, ayez ſoin de l’appareil funeſte, Que le bucher ſoit preſt, les torches, & le reſte.	Vous, Damon, ayez soin de l'appareil funeste, Que le bûcher soit prêt, les torches, et le reste.
E I	E I
SCENE II.	SCÈNE II.
ALCANDRE, TIRCIS, DAMON, ALEXIS, PHILENE, MELISSE, ORANTE, ANOVPE DE DERGERS II DERGERES.	ÀLCANDRE, TIRCIS, DAMON, ALEXIS, PHILENE, MÉLISSE, ORANTE, ANOUPE DE RGERS II DERGÈRES.
MELISSE.	MÉLISSE.
RANTE, monſtrons-nous, il me faut aujourQd’huy, Ou ſauver mon Berger, ou mourir avec luy.	RANTE, montrons-nous, il me faut aujourd'hui, Ou sauver mon Berger, ou mourir avec mieux.
Ah, Damon, arreſtez, Seigneur, que je vous puiſſe Dire vn mot ſeulement,	Ah, Damon, arrêtez, Seigneur, que je vous puisse Dire un mot seulement,
ALCANDRE.	ÀLCANDRE.
Depeſchez donc, Meliſſe.	Dépêchez donc, Mélisse.
MELISSE.	MÉLISSE.
Seigneur, ee fol Berger, qui d’vn aveugle erreur D’vn mal qu’il n’a point fait, ſe confeſſe l’autheur, N’eſt point aſſurément demandé par l’Oracle, Pour ſervir en ce lieu de tragique ſpectacle.	Seigneur, ce fol Berger, qui d'un aveugle erreur D'un mal qu'il n'a point fait, se confesse l'auteur, N'est point assurément demandé par l'Oracle, Pour servir en ce lieu de tragique spectacle.
Les Dieux ne voudroient pas, à moins qu’eſtre cruels, D’vn ſang d’vn innocent arroſer leurs Autels;	Les Dieux ne voudraient pas, à moins qu'être cruels, D'un sang d'un innocent arroser leurs Autels;
Ayant verſé ſur luy mille dons magnifiques, Dans ſon ame inſpiré des vertus Heroïques, Enrichi ſon eſprit de pretieux threſors, Et d’attraits nompareils embelli tout ſon corps;	Ayant versé sur lui cela dons magnifiques, Dans son âme inspiré des vertus Héroïques, Enrichi son esprit de prétieux thresors, Et d'attraits nompareils embelli tout son corps;
Voudroient-ils poſſedez d’vne jalouſe rage, Deſtruire ſans ſujet leur plus parfait ouvrage?	Voudraient-ils possédés d'une jalouse rage, Destruire sans sujet leur plus parfait ouvrage?
Eſt-ce vn crime ſi grand que de leur reſſembler, Et pour eſtre divin en doit-on plus trembler?	Est-ce un crime si grand que de leur ressembler, Et pour être divin en doit-on plus trembler?
Non, non, ce n’eſt point luy, dont l’humeur trop ſevere A ſur nous attiré la celeſte cholere;	Non, non, ce n'est point ainsi, dont l'humeur trop sévère A sur nous attiré la céleste chère;
Si de quelque Bergere il a cauſé l’ennuy Helas!	Si de quelque Bergère il a causé l'ennui Hélas!
c’eſt qu’il n’eſt rien qui ſoit digne de luy;	c'est qu'il n'est rien qui soit digne de notre;
Il l’a pû mépriſer ſans commettre de crime, L’Amour n’a point ſur luy de pouvoir legitime;	Il l'a pu mépriser sans commettre de crime, L'Amour n'a point sur Se de pouvoir légitime;
Qu’on ne l’accuſe point d’avoir aimé les bois, Pâris, le beau Pâris, s’y plaiſoit autrefois.	Qu'on ne l'accuse point d'avoir aimé les bois, Pâris, le beau Pâris, s'y plaisait autrefois.
Non, Seigneur, ce n’eſt point au prix de cette vie, Que doit eſtre achepté l’heur de la Theſſalie, arlous aviono cothimio vaHlloir accental, Le Soleil ne hiroit jamais ſur ce climat.	Non, Seigneur, ce n'est point au prix de cette vie, Que doit être acheté l'heur de la Thessalie, arlous aviono cothimio vaHlloir accent, Le Soleil ne hirait jamais sur ce climat.
ALCANDRE.	ÀLCANDRE.
Si ce n’eſt Alexis que l’Oracle demande, Duquel de nos Bergers voulez-vous qu’il s’entende?	Si ce n'est Alexis que l'Oracle demande, Duquel de nos Bergers voulez-vous qu'il s'entende?
MELISSE.	MÉLISSE.
Alcandre, ce n’eſt point par la mort d’vn Berger, Que nos triites fraileurs le dorvent ſoulager;	Alcandre, ce n'est point par la mort d'un Berger, Que nos triites fraileurs le dorvent soulager;
Mais par le chaſtiment d’vne ingratte Bergere, Queles Dieux ne ſçauroſent regarder qu’en cholere.	Mais par le châtiment d'une ingrate Bergère, Queles Dieux ne saurosent regarder qu'en colère.
ALCANDRE.	ÀLCANDRE.
Nommez-la nous ?	Nommez-la nous ?
MELISSE.	MÉLISSE.
Gere Moy.	Gère Moi.
ALCANDRE.	ÀLCANDRE.
Dieux, pourquoy voulez-vous Meliſſe, avoir du Ciel attiré le courroux ?	Dieux, pourquoi voulez-vous Mélisse, avoir du Ciel attiré le courroux ?
MELISSE.	MÉLISSE.
Alcandre, écoutez-moy, ce n’eſt point par caprice, Par vain deſir de gloire, ou par quelque artifice, Que je vous viens ici hautement découvrir .	Alcandre, écoutez-moi, ce n'est point par caprice, Par vain désir de gloire, ou par quelque artifice, Que je vous viens ici hautement découvrir .
D’ou naiſſent les malheurs que l’on nous voit ſouffrir:	D'ou naissent les malheurs que l'on nous voit souffrir:
Mais vn remords ſecret qui ſans ceſſe me ronge, Veut que la verité triomphe du menſonge, Et ne peut conſentir qu’vn innocent Berger Prodigue ſon beau ſang pour vn crime eſtras ger.	Mais un remords secret qui sans cesse me ronge, Veut que la vérité triomphe du mensonge, Et ne peut consentir qu'un innocent Berger Prodigue son beau sang pour crime étras ger.
C’eſt moy, c’eſt moy, Seigneur, dont l'inioiente audace Pour reſter impunie a fait noſtre diſgrace;	C'est moi, c'est moi, Seigneur, dont l'injaiente audace Pour rester impunie a fait notre disgrâce;
E iij I’ay tué nos troupeaux, & moy ſeule ay ſemé, Foul les Iallepein, vn luc envemſe.	 Ejà J'ai tué nos troupeaux, et moi seule ai semé, Foul les Jallepein, un luc envemse.
ALCANDRE.	ÀLCANDRE.
Meliſſe, expliquez-vous, s’il ſe peut davantage, Ie ne puis rien comprendre à tout voſtre langage.	Mélisse, expliquez-vous, s'il se peut davantage, Je ne puis rien comprendre à tout votre langage.
MELISSE.	MÉLISSE.
Seigneur, j’ay mépriſé l’Amour reſpectueux D'vn fidelle Berger, autant que vertueux:	Seigneur, j'ai méprisé l'Amour respectueux D'un fidèle Berger, autant que vertueux:
Ie n’ay payé ſes ſoins, ſa conſtance, & ſa peine, Que du lâche loyer de mépris, & de haine;	Je n'ai payé ses soins, sa constance, et sa peine, Que du lâche loyer de mépris, et de haine;
I’ay fui de le trouver, & lors que le hazard A voulu quelquefois qu’il m’ait jointe à l’eſcart, Qu’il m’ait entretenu de ſa dure ſouffrance, Et qu’il m’ait aſſuré de ſa perſeverance, Va Berger, ai-je dit, va conter ton amour, Aux ruiſſeaux, aux foreſts, aux rochers d’alentour;	J'ai fui de le trouver, et lors que le hasard A voulu quelquefois qu'il m'ait jointe à l'écart, Qu'il m'ait entretenu de sa dure souffrance, Et qu'il m'ait assuré de sa persévérance, Va Berger, ai-je dit, va conter ton amour, Aux ruisseaux, aux forêts, aux rochers d'alentour;
Laiſſe-moy, je ne puis t’écouter davantage, Et n’eſpere jamais que ton feu je ſoulage;	Laisse-moi, je ne puis t'écouter davantage, Et n'espère jamais que ton feu je soulage;
Lors que je t’aimeray, l’on verra les ruiſſeaux Remonter à leur ſource, & nager les oiſeaux.	Lors que je t'aimerai, l'on verra les ruisseaux Remonter à leur source, et nager les oiseaux.
Quoy que par ces diſcours ſi remplis d’arrogance Il deuſt ſe revolter ſelon toute apparence, Contre-moy s’emporter, & reprendre ſon cœur, Il n’a pourtant jamais rallenti ſon ardeur;	Quoi que par ces discours si remplis d'arrogance Il dût se révolter selon toute apparence, Contre-moi s'emporter, et reprendre son cœur, Il n'a pourtant jamais ralenti son ardeur;
Il m’a dit ſeulement aptés vn long ſilence, Qu’il auroit plus d’amour, que moy d’indifference.	Il m'a dit seulement aptés un long silence, Qu'il aurait plus d'amour, que moi d'indifférence.
Voilà de nos malheurs le principe aſſuré, Voilà ce qui des Dieux ala haine attiré, Et c’eſt moy ſeule auſſi que l’Oracle demande, Et dont vous luy devez faire vne prompte offrande.	Voilà de nos malheurs le principe assuré, Voilà ce qui des Dieux ala haine attiré, Et c'est moi seule aussi que l'Oracle demande, Et dont vous lui devez faire une prompte offrande.
Que ſi pour vous convaincre, il eſt encor beſoin D’vne preuve plus forte, ou de quelque témoin, Philene eſt là preſent, vous l’en devez bien croire, Tout ce que je vous dis, eſt noſtre pure hiſtoire.	Que si pour vous convaincre, il est encor besoin D'une preuve plus forte, ou de quelque témoin, Philène est là présent, vous l'en devez bien croire, Tout ce que je vous dis, est notre pure histoire.
ALCANDRE.	ÀLCANDRE.
Voici qui m’embaraſſe, & mon eſprit confus Ne voit de tous coſtez que ſentiers ambigus.	Voici qui m'embarrasse, et mon esprit confus Ne voit de tous côtés que sentiers ambigus.
Mais ce que dit Meliſſe, eſt-ce choſe aſſeurée?	Mais ce que dit Mélisse, est-ce chose assurée?
DAMON.	DAMON.
Elle eſt publique, & n’eſt de perſonne ignorée.	Elle est publique, et n'est de personne ignorée.
ALCANDRE.	ÀLCANDRE.
Qui donc choir des deux ?	Qui donc choir des deux ?
tous deux tont criminels, Et cependant vn ſeul ſuffit à nos Autels.	tous deux tont criminels, Et cependant un seul suffit à nos Autels.
ALEXIS.	ALEXIS.
Meliſſe, à quel deſſein de fureur emportée, Venez-vous traverſer vne choſe arreſtée?	Mélisse, à quel dessein de fureur emportée, Venez-vous traverser une chose arrêtée?
Vous croyez vainement nous ébloüir les yeux, Et ſuivant voſtre gré faire parler les Dieux.	Vous croyez vainement nous éblouir les yeux, Et suivant votre gré faire parler les Dieux.
Non, non, deſiſtez-vous de le vouloir pretendre, L’Oracle de moy ſeul, peut juſtement s’entendre, Puiſqu’on n’en peut trouver vn autre, dont le cœur Ait eſté moins ſenſible à l’amoureuſe ardeur.	Non, non, désistez-vous de le vouloir prétendre, L'Oracle de moi seul, peut justement s'entendre, Puisqu'on n'en peut trouver un autre, dont le cœur Ait été moins sensible à l'amoureuse ardeur.
I’expoſe librement ma vie à la cenſure, Ai-je eu quelque penchant, ai-je eu quelque bleſſure?	J'expose librement ma vie à la censure, Ai-je eu quelque penchant, ai-je eu quelque blessure?
Mais, Meliſſe, pour vous il n’en eſt pas ainſi, Et quoy qu’avec regrer je vous le dile ler, Voſtre cœur à l’Amour ne fut pas ſi rebelle;	Mais, Mélisse, pour vous il n'en est pas ainsi, Et quoi qu'avec regrer je vous le dile ler, Votre cœur à l'Amour ne fut pas si rebelle;
Qu’il n’en ait reſſenti du moins quelque eſtincelle.	Qu'il n'en ait ressenti du moins quelque étincelle.
Orante.	Orante.
MELISSE.	MÉLISSE.
Ingrat pourſui, dis meſme, ſi tu veux, Que je porte tes fers, que tu cauſes mes feux, Tu n’en obtiendras rien, puiſque toûjours mon cœur Pour vn fidelle Amant n’eut que haine & rigueur.	Ingrat poursui, dis même, si tu veux, Que je porte tes fers, que tu causes mes feux, Tu n'en obtiendras rien, puisque toujours mon cœur Pour un fidèle Amant n'eût que haine et rigueur.
ALEXIS.	ALEXIS.
Puiſque vous avoüez, Meliſſe, qu’en voſtre ame Vn Berger a du moins fait naiſtre quelque flamme, Accordez s’il ſe peut ces deux differens points, E iiij De n'entre pont remole, d d'anner neantmoins.	Puisque vous avouez, Mélisse, qu'en votre âme Un Berger à du moins fait naître quelque flamme, Accordez s'il se peut ces deux différents points, É iiij à n'entre pont remole, d 'anner néanmoins.
MELLSSE.	MELSSE.
De me perſuader vainement tu t’efforces, I’apperçoi ton adreſſe, & connois tes amorces;	De me persuader vainement tu t'efforces, J'apperçoi ton adresse, et connais tes amorces;
Ne jette point ici, pour nous embarraſſer, Des ſoupçons, que l’on peut aiſément renverſer.	Ne jette point ici, pour nous embarrasser, Des soupçons, que l'on peut aisément renverser.
Ie te le dis, Berger, la réponſe divine Ne te peut convenir, pour peu qu’on l’examine;	Je te le dis, Berger, la réponse divine Ne te peut convenir, pour peu qu'on l'examine;
Si tu n’as point connu ce que c’eſtoit qu’aimer, De l’avoir mépriſé l’on ne te peut blaſmer.	Si tu n'as point connu ce que c'était qu'aimer, De l'avoir méprisé l'on ne te peut blâmer.
Il ne s’eſt jamais veû que contre l’ignorance Les Loix ayent armé leur ſevere vengeance, Et ce que nous faiſons par quelque erreur ſurpris, Ne craint de chaſtiment que d’en eſtre repris.	Il ne s'est jamais vu que contre l'ignorance Les Lois aient armé leur sévère vengeance, Et ce que nous faisons par quelque erreur surpris, Ne craint de châtiment que d'en être repris.
Les Dieux qui ſont du droit la ſource originelle, Voudroient-ils violer cette loy ſolemnelle?	Les Dieux qui sont du droit la source originelle, Voudraient-ils violer cette loi solennelle?
Pour moy qui connoiſſant combien le ſort eſt doux Alors que nous aimons ce qui n’aime que nous, Ay fui qui m’adoroit, & par vn ſort bizarre Suivi qui me fuyoit, & qui m’eſtoit barbare, de dule leuld erprduver, par val juice trerpas, Les plus cruels tourmens ordonnez aux ingrats.	Pour moi qui connaissant combien le sort est doux Alors que nous aimons ce qui n'aime que nous, Aï fui qui m'adorait, et par un sort bizarre Suivi qui me fuyait, et qui m'était barbare, de dule le ver, par val juice trerpas, Les plus cruels tourments ordonnez aux ingrats.
ALEXIS.	ALEXIS.
Le Cieline fut jamais aux Amantes contraire.	Le Cieline fut jamais aux Amantes contraire.
MELISSE.	MÉLISSE.
Les Dieux ne veulent pas qu’vne ingrate proſpere.	Les Dieux ne veulent pas qu'une ingrate prospère.
