M BimN	M MimN
di aa dil las Je vous prie, Monſieur, de me dire un peu comment je ſuis.	di a dil las Je vous prie, Monsieur, de me dire un peu comment je suis.
M.	M.
DYAFOIRUS.	DYAFOIRUS.
Allons, Thomas, prenez l’autre bras de Monſieur, pour voir ſi vous ſçaurez porter un bon jugement de ſon poux.	Allons, Thomas, prenez l'autre bras de Monsieur, pour voir si vous saurez porter un bon jugement de son poux.
Quid dicis.	Qui dicis.
T.	T.
DYAFOIRUS.	DYAFOIRUS.
Duo, que le poux de Momeur eſt le poux d’un homme qui ne ſe porte point bien.	Duo, que le poux de Momeur est le poux d'un homme qui ne se porte point bien.
Bon.	Bon.
M.	M.
DYAFOIRUS.	DYAFOIRUS.
T.	T.
DYAFOIRUS.	DYAFOIRUS.
C’il eſt Durinſcule;	C'il est Durinscule;
pour ne pas dire dur.	pour ne pas dire dur.
M.	M.
DYAFOIRUS.	DYAFOIRUS.
TOIL DICH.	TOIL DICH.
T.	T.
DYAFOIRUS.	DYAFOIRUS.
Repouſſant.	Repoussant.
Bene.	Bene.
M.	M.
DYAFOIRUS.	DYAFOIRUS.
T.	T.
DYAFOIRUS.	DYAFOIRUS.
Et meſme un peu capriſant.	Et même un peu caprisant.
Optime.	Optime.
M.	M.
DYAFOIRUS.	DYAFOIRUS.
T.	T.
DYAFOIRUS.	DYAFOIRUS.
Ce qui marque une intemperie dans le Pafanchyme ſplenique, c’eſt à dire la ratte.	Ce qui marque une intempérie dans le Pafanchime splénique, c'est -à -dire la rate.
M.	M.
DYAFOIRUS.	DYAFOIRUS.
Fort bien.	Fort bien.
ARGAN.	ARGAN.
Ivon, Mronnem Purgon dit que ceſt mon foye qui eſt malade.	Juon, Mronnem Purgon dit que cet mon foie qui est malade.
M.	M.
DYAFOIRUS.	DYAFOIRUS.
Eh oüy, qui dit paranchyme dit l’un & l’autre à cauſe de l’étroite ſympathie qu’ils ont enlembie par le moyen du vas breve du pylore, & ſouvent des meats cholidoques.	Eh oui, qui dit paranchyme dit l'un et l'autre à cause de l'étroite sympathie qu'ils ont enlembie par le moyen du vas brève du pylore, et souvent des mats cholidoques.
Il vous ordonne lalls doute de hiangerforce lorcy.	Il vous ordonne lalls doute de hiangerforce lorcy.
ARGAN.	ARGAN.
Non, rien que du boüilly.	Non, rien que du boüilly.
M.	M.
DYAFOIRUS.	DYAFOIRUS.
Eh oüy roſty boüilly, meſme choſe.	Eh oui rôti boüilly, même chose.
Il vous ordonne fort prudemment, & vous ne pouvez eille en de ineineules mains.	Il vous ordonne fort prudemment, et vous ne pouvez eille en de ineineules mains.
ARGAN.	ARGAN.
Monſieur, combien eſt-ce qu’il faut mettre de grains de ſel dans un œuf.	Monsieur, combien est-ce qu'il faut mettre de grains de sel dans un œuf.
M.	M.
DYAFOIRUS.	DYAFOIRUS.
Six, huit, dix, par les nombres pairs, comme dans les medicamens par les nombres imepairs.	Six, huit, dix, par les nombres pairs, comme dans les médicamends par les nombres imepairs.
ARGAN.	ARGAN.
Juſques au revoir, Monſieur,	Jusqu' au revoir, Monsieur,
G iij	G jijà
SCENE VII.	SCÈNE VII.
DLEINE, ANOII.	DLEINE, ANOII.
BELINE.	BÉLINE.
E viens, mon Fils, avant que de ſortir, vous J donner avis d’une choſe, à laquelle il faut que vous preniez garde.	E viens, mon Fils, avant que de sortir, vous donner avis d'une chose, à laquelle il faut que vous preniez garde.
En paſſant pardevant la cilambre d'iingenque, j’ay veu uh jeune homme avec elle, qui s’eſt ſauvé d’abord qu’il m’a veuë.	En passant pardevant la cilèbre d'iingenque, j'ai vue h jeune homme avec elle, qui s'est sauvé d'abord qu'il m'a vue.
ARGAN.	ARGAN.
Un jeune homme avec ma Fille?	Un jeune homme avec ma Fille?
BELINE.	BÉLINE.
Oüy.	Oui.
Voſtre petite Fille Louyſon eſtoit avet eux, qui pourra vous en dire des nouvelles.	Votre petite Fille Louison était avet eux, qui pourra vous en dire des nouvelles.
ARGAN.	ARGAN.
Envoyez-la icy, ma Mour;	Envoyez-la ici, ma Mour;
envoyez-la icy.	envoyez-la ici.
Ah l’effrontée?	Ah l'effrontée?
Je ne m’étonne plus de ſa reſiſtance.	Je ne m'étonne plus de sa résistance.
SCENE VIII.	SCÈNE VIII.
EGOISON, ARONIS	ÉGOISON, ARONIS
LOUISON.	LOUISON.
U’eſt-ce que voulez, mon Papa, ma belleQMaman m’a dit que vous me demandez?	U’est-ce que voulez, mon Papa, ma belleQuaman m'a dit que vous me demandez?
ARGAN.	ARGAN.
Oüy, venez-ça, avancez-là.	Oui, venez-ça, avancez-là.
Tournez-vous, levez les yeux.	Tournez-vous, levez les yeux.
Regardez-moy.	Regardez-moi.
Eh!	Eh!
LOUISON.	LOUISON.
Quoy, mon Papa.	Quoi, mon Papa.
La ?	La ?
ARGAN.	ARGAN.
Quoy?	Quoi?
Ro olson	Ro olson
ARGAN.	ARGAN.
N’avez-vous rien à me dire?	N'avez-vous rien à me dire?
LOUISON.	LOUISON.
Je vous diray, ſi vous voulez, pour vous deſennuyer, le conte de peau-d’Aſne, ou bien la fable du Corbeau & du Renard, qu’on m’a apprile depuis peu.	Je vous dirai, si vous voulez, pour vous désennuyer, le conte de peau-d'Âne, ou bien la fable du Corbeau et du Renard, qu'on m'a apprile depuis peu.
ARGAN.	ARGAN.
Ce n’eſt pas là ce que je demande.	Ce n'est pas là ce que je demande.
Quoy donc?	Quoi donc?
LOUISON.	LOUISON.
ARGAN.	ARGAN.
Ah ruſée, vous ſçavez bien ce que je veux uire.	Ah rusée, vous savez bien ce que je veux veuire.
G iiij	G jijà
LOUISON, Pardonnez-moy, mon P'apa.	LOUISON, Pardonnez-moi, mon P'apa.
ARGAN.	ARGAN.
Eſt-ce-la comme vous m’obeïſſez?	Est-ce-la comme vous m'obéissez?
Quoy?	Quoi?
LOUISON.	LOUISON.
ARGAN.	ARGAN.
Ne vous ay-je pas recommandé de me venis dire d’abord tout ce que vous voyez.	Ne vous ai-je pas recommandé de me venis dire d'abord tout ce que vous voyez.
LOUISON.	LOUISON.
&ey yilonrapa.	eti yilonrapa.
ARGAN.	ARGAN.
L’avez-vous fait?	L'avez-vous fait?
Boesge li Oüy, mon Papa, je vous ſuis venu dire tout ce que j’ay veu.	Boge li Oui, mon Papa, je vous suis venu dire tout ce que j'ai vu.
ARGAN.	ARGAN.
Et n’avez-vous rien veu aujourd’huy?	Et n'avez-vous rien vu aujourd'hui?
HOGITON.	HOGITON.
Non, mon Papa.	Non, mon Papa.
Non?	Non?
ARGAN.	ARGAN.
LOUISON.	LOUISON.
Non, mon Papa.	Non, mon Papa.
Aſſeurément.	Assurément.
ARGAN.	ARGAN.
Aſſeurément.	Assurément.
LUUISON.	LUISON.
AR GAN.	AR GAN.
Il prend une poignée ue velges.	Il prend une poignée vue velges.
Oh ça, je m’en vay vous faire voir quelque choſe, moy.	Oh ça, je m'en vais vous faire voir quelque chose, moi.
LOUISON.	LOUISON.
Ah, mon Papa!	Ah, mon Papa!
ARGAN.	ARGAN.
Ah, ah, petite maſque, vous ne me dites pas que vous avez veu un homme dans la chambre de voſtre lœur.	Ah, ah, petite masque, vous ne me dites pas que vous avez vu un homme dans la chambre de votre lœur.
Mon Papa.	Mon Papa.
LOUISON.	LOUISON.
ARGAN.	ARGAN.
Voicy qui vous apprendra à mentir.	Voici qui vous apprendra à mentir.
LOUISON.	LOUISON.
Ah, mon Papa, je vous demande pardon?	Ah, mon Papa, je vous demande pardon?
c’eſt que ma Sœur m’avoit dit de ne pas vous le dire;	c'est que ma Sœur m'avait dit de ne pas vous le dire;
mais je m’en vay vous dire tout.	mais je m'en vais vous dire tout.
ARGAN.	ARGAN.
Ii faut premierement que vous ayez le foüer pour avoir menty;	Ji faut premièrement que vous ayez le fouer pour avoir menti;
puis apres nous verrons au reſte.	puis après nous verrons au reste.
LOUISON.	LOUISON.
Pardon, mon Papa.	Pardon, mon Papa.
Non, non.	Non, non.
ARGAN.	ARGAN.
EOUIGON.	EOUIGON.
Mon pauvre Papa, ne me donnez pas le foüet.	Mon pauvre Papa, ne me donnez pas le fouet.
Vous I’aurez.	Vous J'aurez.
ARGAN.	ARGAN.
LOUISON.	LOUISON.
Au nom de Dieu, mon Papa, que je ne l’aye pas.	Au nom de Dieu, mon Papa, que je ne l'aie pas.
ARGAN.	ARGAN.
Allons, allons.	Allons, allons.
LOUISON.	LOUISON.
Ah, mon Papa, vous m’avez bleſſée!	Ah, mon Papa, vous m'avez blessée!
attendez, je ſuis morte.	attendez, je suis morte.
Elle contrefait la morte.	Elle contrefait la morte.
ARGAN.	ARGAN.
Hola, qu’eſt-ce-là?	Holà, qu'est-ce-là?
Loüiſon, Loüiſon.	Louison, Louison.
Ah, mon Dieu!	Ah, mon Dieu!
Loüiſon.	Louison.
Ah, ma Fille!	Ah, ma Fille!
ah, malheureux, ma pauvre Fille eſt morte.	ah, malheureux, ma pauvre Fille est morte.
Qu’ay-je Tait miſerable!	Qu'ai-je Tait misérable!
ah, chiennes de Verges, la peſte ſoit des Verges.	ah, chiennes de Verges, la peste soit des Verges.
Ah, ma pauvre Fille!	Ah, ma pauvre Fille!
ma pauvre petite Loüiſon.	ma pauvre petite Loüison.
LOUISON.	LOUISON.
La, la, mon Papa, ne pleurez point tant, jo ne ſuis pas morte tout-à-fait.	La, la, mon Papa, ne pleurez point tant, jo ne suis pas morte tout-à-fait.
ARGAN.	ARGAN.
2 Voyez-vous la petite ruſée.	2 Voyez-vous la petite rusée.
Oh ça ça, js vous pardonne pour cette fois-cy, pourveu que vous me diſiez bien tout.	Oh ça ça, js vous pardonne pour cette fois-cy, pourvu que vous me disiez bien tout.
LOUISON.	LOUISON.
Ho oüy, mon Papa.	Ho oui, mon Papa.
ARGAN.	ARGAN.
Treliez-y bien garde, au moms;	Treliez-y bien garde, au moments;
cal voila un petit doigt qui ſçait tout, qui me dira ſi vous mentez.	cal voilà un petit doigt qui sait tout, qui me dira si vous mentez.
LOUISON.	LOUISON.
Mais, mon Papa, ne dites pas à ma Sœur qua je vous l’ay dit.	Mais, mon Papa, ne dites pas à ma Sœur qua je vous l'ai dit.
dvon, nonls ARGAN.	dvon, nonls ARGAN.
LOUISON.	LOUISON.
C’eſt, mon Papa, qu’il eſt venu un hommé dans la chambre de ma Sœur comme j’y eſtois.	C'est, mon Papa, qu'il est venu un hommmé dans la chambre de ma Sœur comme j'y étais.
Hé bien?	Hé bien?
ARGAN.	ARGAN.
DOUIMON.	DOUIMON.
Je luy ay demandé ce qu’il demandoit, & il mi a dit qu’il eſtoit ſon Maiſtre à chanter.	Je te ai demandé ce qu'il demandait, et il mi a dit qu'il était son Maître à chanter.
ARGAN.	ARGAN.
Hon, hon.	Hon, hon.
Voila l’affaire.	Voilà l'affaire.
Hé bien?	Hé bien?
LOUISON.	LOUISON.
Ma Sœur eſt venuë apres.	Ma Sœur est venue après.
Hé bien?	Hé bien?
ARGAN,	ARGAN,
LOUISON.	LOUISON.
Elle luy a dit;	Elle a a dit;
Sortez, ſortez, ſortez;	Sortez, sortez, sortez;
mon Dieu, fortez, vous me mettez au deſeſpoir.	mon Dieu, sortez, vous me mettez au désespoir.
Hé bien ?	Hé bien ?
ARGAN.	ARGAN.
EOUTJON.	EOUTJON.
Et luy, il ne vouloit point ſortir,	Et grands, il ne voulait point sortir,
NGAN.	NGAN.
Qu’eſt-ce qu’il luy diſoit?	Qu'est-ce qu'il lui disait?
LOUISON.	LOUISON.
orlayunole je ne ſçay combien de choſes.	orlaiunole je ne sais combien de choses.
ARGAN.	ARGAN.
Et quoy encore?	Et quoi encore?
LOUTSON.	LOUTSON.
Il luy diſoit tout-cy, tout-ça qu’il l’aimol bien, & qu’elle eſtoit la plus belle du monde.	Il te disait tout-cy, tout-ça qu'il l'aimol bien, et qu'elle était la plus belle du monde.
ARGAN.	ARGAN.
d fais apleo;	d fais apleo;
LOUISON.	LOUISON.
ne pais apres, il le mettoit a genoux devaut elle.	ne pais après, il le mettait à genoux devaut elle.
ARGAN.	ARGAN.
Et puis apres?	Et puis après?
LOUISON.	LOUISON.
Et puis apres il luy baiſoit les mains.	Et puis après il avait baisait les mains.
ANGAN.	ANGAN.
Et puis apres?	Et puis après?
LOUISON.	LOUISON.
Et puis apres, ma belle Maman eſt venuë à la porte & il s’eſt enfuy.	Et puis après, ma belle Maman est venue à la porte et il s'est enfui.
ARGAN.	ARGAN.
Il n’y a point autre choſe?	Il n'y a point autre chose?
LOUISON.	LOUISON.
Non, mon Papa,	Non, mon Papa,
ARGAN.	ARGAN.
Voila mon petit doigt pourtant qui gronde quelque choſe, attendez.	Voilà mon petit doigt pourtant qui gronde quelque chose, attendez.
Eh!	Eh!
ah, ah !	ah, ah !
oüy?	oui?
oh, oh!	oh, oh!
voila mon petit doigt qui me dit quelque choſe que vous avez veu, & que vous ne m’avez pas dit.	voilà mon petit doigt qui me dit quelque chose que vous avez vu, et que vous ne m'avez pas dit.
LOUISON.	LOUISON.
An mon P'apa, voitre petit doigt eſt un menteur.	An mon P'apa, voitre petit doigt est un menteur.
ARGAN.	ARGAN.
Prenez garde.	Prenez garde.
LOUISON.	LOUISON.
Non, mon Papa, ne le croyez pas, il ment je vous aſſeure.	Non, mon Papa, ne le croyez pas, il ment je vous assure.
ARGAN.	ARGAN.
Oh bien bien nous verrons cela allez, vous-en, & prenez bien garde à tout.	Oh bien bien nous verrons cela allez, vous-en, et prenez bien garde à tout.
Ah que d’affaires!	Ah que d'affaires!
je n’ay pas ſeulement le loiſir de ſonger à ma Maladie, en verité je n’en puis plus.	je n'ai pas seulement le loisir de songer à ma Maladie, en vérité je n'en puis plus.
MUAIEETA.	MUAIETA.
BERALDE, ARGAN.	BÉRALDE, ARGAN.
BERALDE.	BÉRALDE.
E bien, mon Frere, qu’eſt-ce comment H vous portez-vous.	E bien, mon Frère, qu'est-ce comment H vous portez-vous.
ARGAN.	ARGAN.
Ah mon Frere, fort mal.	Ah mon Frère, fort mal.
BERALDE.	BÉRALDE.
Comment fort mal?	Comment fort mal?
ARGAN.	ARGAN.
Oüy, je ſuis dans une foibleſſe ſi grande, que cela n’eſt pas croyable.	Oui, je suis dans une faiblesse si grande, que cela n'est pas croyable.
BERALDE.	BÉRALDE.
Voila qui eſt fâcheux.	Voilà qui est fâcheux.
ARGAN.	ARGAN.
je nay pas ſeulement la foite de pouvoir parler.	je nay pas seulement la faite de pouvoir parler.
BERALDE.	BÉRALDE.
J’eitois venu icy, mon Frere, vous propoſer un party pour ma Niéce Angelique.	J'éitais venu ici, mon Frère, vous proposer un parti pour ma Nièce Angélique.
ARGAN.	ARGAN.
Mon Frere, ne me parlez point de cette coquinerla, c’ent dne fiipome, une Ampertinente, une effrontée que je mettray dans un Couvent avant qu’il ſoit deux jours.	Mon Frère, ne me parlez point de cette coquinerla, c'ent d ipome, une Ampertinente, une effrontée que je mettrai dans un Couvent avant qu'il soit deux jours.
BERALDE.	BÉRALDE.
Ah voila qui eſt bien.	Ah voilà qui est bien.
Je ſuis bien aiſe que la force vous revienne un peu, & que ma viſite vous faſſe du bien.	Je suis bien aise que la force vous revienne un peu, et que ma visite vous fasse du bien.
Oh ça, nous parlerons d’affaires tantoſt.	Oh ça, nous parlerons d'affaires tantôt.
Je vous amene icy un divertiſſement que j’ay rencontré, qui diſſipera voſtre chagrin, & vous rendra l’ame mieux diſpoſée aux choſes que nous avons à dire.	Je vous amène ici un divertissement que j'ai rencontré, qui dissipera votre chagrin, et vous rendra l'âme mieux disposée aux choses que nous avons à dire.
Ce ſont des Egyptiens veſtus en Mores, qui font des danſes meſlées de chanſons, ou je ſuis ſeur que vous prendrez plaiſir, & cela vaudra bien une Ordonnance de Monſieus Purgon.	Ce sont des Égyptiens vêtus en Mores, qui font des danses mêlées de chansons, ou je suis sûr que vous prendrez plaisir, et cela vaudra bien une Ordonnance de Monsieur Purgon.
Allons.	Allons.
Fin du ſecond Acte.	Fin du second Acte.
SECOND INTERMEDE,	SECOND INTERMÈDE,
E Frere du Malade Imaginaire, luy amens Epour le divertir pluſieurs Egyptiens & Egyptiennes veſtus en Mores, qui font des Dances entre-meſlées de Chanſons.	 Frere du Malade Imaginaire, lui amens Épour le divertir plusieurs Égyptiens et Égyptiennes vêtus en Mores, qui font des Dances entre-meslées de Chansons.
Premiere Femme More.	Première Femme More.
Rofitez du Printemps De vos beaux ans, Aymable jeuneſſe?	Rofitez du Printemps De vos beaux ans, Aimmable jeunesse?
Profitez du Printemps, De vos beaux ans, Donnez-vous à la tendreſſe.	Profitez du Printemps, De vos beaux ans, Donnez-vous à la tendresse.
Les pruifers tes piumenurmans, Sans l’amoureuſe flâme, Pour contenter une ame N’ont point d’attraits aſſez puiſſans.	Les pruifers tes piumenurmands, Sans l'amoureuse flamme, Pour contenter une âme N'ont point d'attraits assez puissants.
E Profitez du Printemps De bes veaux ans, Aymable jeuneſſe?	E Profitez du Printemps De bes veaux ans, Aimable jeunesse?
Proſitez du Printemps De vos beaux ans, Donnez-vous à la tendreſſe.	Prositez du Printemps De vos beaux ans, Donnez-vous à la tendresse.
M Ne perdez point ces precieux momens La beauté paſſe, Le temps l’efface, L’âge de glace Vienr à ja plate.	M Ne perdez point ces précieux moments La beauté passe, Le temps l'efface, L'âge de glace Vienr à ja plate.
Qui nous oſte le gouſt de ces doux paſſe-temps.	Qui nous ôte le goût de ces doux passetemps.
Profitez du Printemps De vos beaux ans, Aymable jeuneſſe?	Profitez du Printemps De vos beaux ans, Aimmable jeunesse?
