LES PARFAITS DENGERS, THIRSIS ET VRANIE.	LES PARFAITS DENGERS, THIRSIS ET VRANIE.
A quoy reſues tu Yole, tu te chaſſes de deuant le viſage des mouches qui n’y ſont pas.	À quoi rêves -tu Yole, tu te chasses de devant le visage des mouches qui n'y sont pas.
YOLE, le chaſſe vne penſée qui m’importune, c’eſt que ie doute ſi ie deurois deſirer que tu n’euſſe point receu ce plaiſir puis que ie n’y eſtois pas en effet, ou s’il eſt mieux que tu l’ayes eu, puis que i’y eſtois aucunement en ta perſonne.	YOLE, le chasse une pensée qui m'importune, c'est que ie doute si ici devrais désirer que tu n'eusse point reçu ce plaisir puis que je n'y étais pas en effet, ou s'il est mieux que tu l'aies eu, puis que j'y étais aucunement en ta personne.
PHAON, Ie n’y ay ſenty qu’vne partie du contentement à cauſe de ton abſence, neantmoins puis que i’y eſtois en partie tu y auois ta part, & puis dis que l’amitié n'eſt pas vn miracle, d’vne perſonne elle en fait deux, en tat que celle qui ayme donne ſa meilleure moitié à la perſonne aymée, & de deux elle n’en faict u’vne, de la ſorte qu’elle les vnit en vertu de cette diuiſion, de maniere que qui ſeroit entier ſeroit infidelle.	PHAN, Je n'y ai senti qu'une partie du contentement à cause de ton absence, néanmoins puis que j'y étais en partie tu y avais ta part, et puis dis que l'amitié n'est pas un miracle, d'une personne elle en fait deux, en tat que celle qui aime donne sa meilleure moitié à la personne aimée, et de deux elle n'en fait , de la sorte elle les ai en vertu de cette diuision, de maniere que qui seroit entier serait infidelle.
SCENE SECONDE.	SCÈNE SECONDE.
VRANIE, PHILIS, PHILIDOR, jeunes enfans.	VRANIE, PHILIS, PHILIDOR, jeunes enfants.
TRANIE, Venez-ça Philis & V Philidor, qu’auez vous apris par cœur auiourd huy?	TRANIE, Venez-ça Philis et V Ilidor, qu'avez -vous appris par cœur aujourd' hui?
PH.	PH.
I’ay apris, mes yeux adorez vos.	J'ai appris, mes yeux adorés vos.
VRANIE, Pour recompenſe vous aurez tantoſt ce que ie vous ay promis, pourueu que vous ayez retenu voſtre leçon de la Philoſophie des Bergers, que Mopſe vous enſeigne.	VRANIE, Pour récompense vous aurez tantôt ce que je vous ai promis, pourvu que vous ayez retenu votre leçon de la Philosophie des Bergers, que Mopse vous enseigne.
Philis, a quoy eſt-ce qu’on connoiſt de loin qu’il y aura de la pluye?	Philis, a quoi est-ce qu'on connaît de loin qu'il y aura de la pluie?
PH.	PH.
Il ſe connoiſt à la paſleur de la	Il se connaît à la pâleur de la
VRANIE, Et Philis que ſçait elle?	VRANIE, Et Philis que Sait -elle?
PHIL.	PHIL.
A l’aide mes ſoupirs;	À l'aide mes soupirs;
& nous les ſçauons juſques au bout.	et nous les savons jusques au bout.
Lune, aux rengorgements des Corneilles, aux feſtus volans, aux paſſages des Hirondelles qui raſent les ondes, & aux filets gluants qui luiſent deſſus les guerets.	Lune, aux rengorgements des Corneilles, aux fétus volants, aux passages des Hirondelles qui rasent les ondes, et aux filets gluants qui luisent dessus les guérets.
Ie gage que mon ſeruiteur n’en dira pas tant?	Je gage que mon serviteur n'en dira pas tant?
VRANIE, Il y va du point d’honneur, Philidor, ta Maiſtreſſe te défie, dis moy, vne choſe qui eſt bonne en peut elle ſignifier vne mauuaiſe?	VRANIE, Il y va du point d'honneur, Philidor, ta Maîtresse te défie, dis moi, une chose qui est bonne en peut elle signifier une mauvaise?
PHILIDOR, Ouy quelquefois, ainſi l’abondance des violettes preſage la contagion, ainſi la quantité des Rohignois preuit la mortanté des Preſtres, ainſi le chant du Cigne annoncé ſa fin.	PHILIDOR, Oui quelquefois, ainsi l'abondance des violettes présage la contagion, ainsi la quantité des Rohignais prévit la mortanté des Prêtres, ainsi le chant du Cigne annoncé sa fin.
PHILIS, Ainſi la trop viue ardeur du Soleil, ou ſon leuer trop doré, deſigne l’orage, ainſi le temps qui eſt trop beau nous promet du changement.	PHILIS, Ainsi la trop vive ardeur du Soleil, ou son lèver trop doré, designe l'orage, ainsi le temps qui est trop beau nous promet du changement.
VRANIE, Philidor elle te ſurmonte, il eſt vray que les filles & les femmes ayment a parler, ça que diras tu encore?	VRANIE, Philidor elle te surmonte, il est vrai que les filles et les femmes aiment à parler, ça que diras tu encore?
PHILID.	PHILID.
Ie n’ay pas donné de la cheneuotte à mon Chardonneret.	Je n'ai pas donné de la chenotte à mon Chardonneret.
VRANIE, En punition de ce qu’il badine au lieu de ſe picquer du deſir de s’inſtruire, Philis, ne luy permets de plus d’vne heure d’icy de te baiſer les mains.	VRANIE, En punition de ce qu'il badine au lieu de se picquer du désir de s'instruire, Philis, ne lui permets de plus d'une heure d'ici de te baiser les mains.
PHILID.	PHILID.
Et non ma Mignonne, ie reciteray ſi bien les vers que Thirſis compoſa hier pour ma Maiſtreſſe & pour moy.	Et non ma Mignonne, on réciterai si bien les vers que Thyris composa hier pour ma Maîtresse et pour moi.
VRANIE, Quels vers ſont-ce, recité les.	VRANIE, Quels vers sont-ce, recité les.
PHILIDOR.	PHILIDOR.
VRAN.	VRAN.
Luy meſme te les a baillés?	Lui même te les a baillés?
PH.	PH.
Luy meſme.	Lui -même.
Ha!	Ha!
que cét aage eſt doux, ſi nous ſommes enfans amour eſt comme nous:	que cet âme est doux, si nous sommes enfants amour est comme nous:
Ma mignonne qu’eſt-ce qu’amour?	Ma mignonne qu'est-ce qu'amour?
RANIE, C’eſt vne folie.	RANIE, C'est une folie.
PHILID.	PHILID.
Thirſis n’en parleroit pas ſis en eſtoit vne, qu'eſt-ce donc?	Thyris n'en parlerait pas sis en était une, qu'est-ce donc?
VRANIE, Amour eſt vn oyſeau.	VRANIE, Amour est un oiseau.
PHILID.	PHILID.
N’y auroit-il pas moyen de l’attraper auec de la glu?	N'y aurait-il pas moyen de l'attraper auec de la glu?
VRANIE, C’eſt luy qui attrape les autres, tous deux retenez bien cecy;	VRANIE, C'est lui qui attrape les autres, tous deux retenez bien ceci;
Amour eſtoit vn iour deſſus vn pommier où il ne monſtroit que les aiſles.	Amour était un jour dessus un pommier où il ne montrait que les ailes.
Pſaphon ſe voulut meſler de le prendre, & il en fut ſi bien pris qu’il en a pour toute ſa vie.	Psaphon se voulut mêler de le prendre, et il en fut si bien pris qu'il en a pour toute sa vie.
Pſaphon eſtoit alors le nom de Thirſis que ſon exemple nous ſace ſages, l’Aigle deſchire les Agneaux, les Meſanges auallent les Abeilles, ſemblablement amour eſt vn oyſeau de proye qui deuore iour & nuict le corps & l’ame des ieunes gens.	Psaphon était alors le nom de Thyris que son exemple nous sace sages, l'Aigle déchire les Agneaux, les Mésanges avalent les Abeilles, semblablement amour est un oiseau de proie qui dévore jour et nuit le corps et l'âme des jeunes gens.
PHILID.	PHILID.
Ma mignonne i’ay grand peur.	Ma mignonne j'ai grand peur.
VRANIE, Et dequoy?	VRANIE, Et dequoy?
Lll.	Lll.
Tay peur de crontre, de peur d’aymer.	Tais peur de crontre, de peur d'aimer.
VRANIE, Ha!	VRANIE, Ha!
tu dis mieux que tu ne penſes, viendra poſſible le tẽps que tu pleureras a chaudes larmes la perte de l’enfance, ie rachepterois volontiers au prix de tout ce que i’ay en ce monde l’humeur & l’innocence où i’eſtois alors:	tu dis mieux que tu ne penses, viendra possible le temps que tu pleureras a chaudes larmes la perte de l'enfance, ie rachepterois volontiers au prix de tout ce que j'ai en ce monde l'humeur et l'innocence où j'étais alors:
pleût aux Dieux qu’il me fut encor bien-ſeant de m’imaginer que le bout de ma veuë eſt le bout du monde, & qu’il ne faut que monter deſſus vne colline pour toucher aux eſtoilles:	plet aux Dieux qu'il me fut encor bienséant de m'imaginer que le bout de ma vue est le bout du monde, et qu'il ne faut que monter dessus une colline pour toucher aux étoilles:
pleût à Dieu que ie fuſſe encore celle que i'eſtois lors que l’eau me ſembloit contenir ce qu’elle repreſente, deuſſé-je craindre de rechef de tomber dans le Ciel & ſur les nues:	plet à Dieu que je fusse encore celle que j'étais lors que l'eau me semblait contenir ce qu'elle représente, dussé-je craindre de rêches de tomber dans le Ciel et sur les nues:
mais ces enfans icy ſont-ils comme i’eſtois en leur aage, venez ça, ne penſez vous pas quelquefois que le Ciel eſt dedaris ſesrdiſieaux ou ie bord de là riuiere?	mais ces enfants ici sont-ils comme j'étais en leur âge, venez ça, ne pensez vous pas quelquefois que le Ciel est dédaris sesrdisieaux ou Madame bord de là rivière?
PH.	PH.
Et nous le voyons tous les iours.	Et nous le voyons tous les jours.
roit les biens de la fortune, ſuy- moy, nous en aurons d’autres.	roit les biens de la fortune, suis- moi, nous en aurons d'autres.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
VRANIE, MENALQVE, THIRSIS delgune.	VRANIE, MENALUQUE, THIRS délgune.
TRANIE, Menalque, ne ſçauV rois-je point qui a recouuert mon Hilas?	TRANIE, Ménalque, ne sauU rois-je point qui a recouvert mon Hilas?
il eſt iuſte que ie le remercie, on dit qu’il a rendu vn combat ſignalé pour cét effet, ce qui m’oblige d’autant plus qu’il a hazardé ſa vie pour l’amour de moy ſans qu’il me connuſſe.	il est juste que Dieu le remercie, on dit qu'il a rendu un combat signalé pour cet effet, ce qui m'oblige d'autant plus qu'ils a hasardé sa vie pour l'amour de moi sans qu'il me connusse.
C’eſt donc la raiſon que ie luy teſmoigne qu’il n’a pas ſerui vne ingratte, & que ſi ie ne m’en puis reuencher, au moins ie m’en puis reſſentir.	C'est donc la raison que ielui témoigne qu'il n'a pas servi une ingrate, et que si ici ne m'en puis revencher, au moins personne m'en puis ressentir.
MENALQVE, Ie n’oſois te l’amener auec les enuelopes qu’il a ſur le viſage à cauſe de ſa bleſſeure, joinct que luy meſme ne le vouloit pas, ſe contentant de te voir ſans en eſtre aperceu, c’eſt pourquoy il s’eſt tenu caché derriere ces arbres attendant ta venuë, mais puis que tu en ordonnes autrement, ie l’appelleray;	MENALQUE, Je n'osais te l'amener avec les enveloppes qu'il a sur le visage à cause de sa blessure, joint que tu même ne le voulait pas, se contentant de te voir sans en avoir aperçu, c'est pourquoi il s'est tenu caché derrière ces arbres attendant ta venue, mais puis que tu en ordonnes autrement, Seigneur l'appellerai;
Braue Berger ( il nous a touſiours celé ſon nom & ſon origine) braue Berger viens faire la reuerence à la Reyne des belles.	Brave Berger ( il nous a toujours celé son nom et son origine) brave Berger viens faire la révérence à la Reine des belles.
VRANIE, Mon Berger ne te mets point en peine de me parler, tes bons offices le font pour toy, ie me cõfeſſe ta redeuable & te proteſte que la publicatiõ en cõſeruera la memoire, il me ſemble que ton nom deuroit eſtre auſſi conneu & vanté que ton courage, toutefois les prieres ne sõt pas des geſnes, ie ſoubſmets ma curioſité à ta diſcretion;	VRANIE, Mon Berger ne te mets point en peine de me parler, tes bons offices le font pour toi, je me confesse ta redevable et te proteste que la publicatiõ en conservera la mémoire, il me semble que ton nom devrait être aussi connu et vanté que ton courage, toutefois les prières ne sont pas des gênes, ie soubsmets ma curiosité à ta discrétion;
Mais qui a eu ſoing de luy?	Mais qui a eu soing de ton?
qui a penſé ſa playe?	qui a pensé sa plaie?
MENALQVE, I’ay appreſté l’appareil, Thirſis n’a iamais permis que autre que luy y mit la main.	MENALQUE, J'ai apprêté l'appareil, Tir n'a jamais permis que autre que mille y mit la main.
Au demeurant en ton abſence nous auons pris ſur nous la charge de cette obligation, atteſtée par les preſens que nous luy auons faits.	Au demeurant en ton absence nous avons pris sur nous la charge de cette obligation, attestée par les présents que nous lui avons faits.
Helenor luy a donné vne gondole de racine de lierre, où Alcidamas a graué les amours des Nereides, on y voit autant de feux qui brulent dans l’eau.	Hélenor lui a donné une gondole de racine de lierre, où Alcidamas a gravé les amours des Nereides, on y voit autant de feux qui brûlent dans l'eau.
Chorilas luy a apporté vne ſerpe hiſtoriée des figures de Venus & de Mars ſurpris enſemble, l’artifice en eſt tel qu’on iugeroit que Venus r’enuoye à Mars, Mars à Cupidon & Cupidon au Soleil la neceſſité de rougir.	Chorilas a a apporté une serpe historiée des figures de Venus et de Mars surpris ensemble, l'artifice en est tel qu'on jugerait que Venus r’ renvoie à Mars, Mars à Cupidon et Cupidon au Soleil la nécessité de rougir.
Licandre luy a faict preſent d’vn poignard enchanté où ſe liſent ces mots, le premier coup ſauue fon maiſtre.	Licandre amour a fait présent d'un poignard enchanté où se lisent ces mots, le premier coup sauve son maître.
Ie l'ay forcé d’accepter vne houlette où i’ay releué en boſſe les paſſions de Vulcain, qui auſſi bien ne va iamais ſans baſton, Thirſis a l'heure que nous en parlons cherche auſſi le moyen de le laiſſer fort ſatisfait.	Je l'ai forcé d'accepter une houlette où j'ai relevé en bosse les passions de Vulcain, qui aussi bien ne va jamais sans bâton, Tir a l'heure que nous en parlons cherche aussi le moyen de le laisser fort satisfait.
VRANIE, Quel preſent luy feray- je, moy à qui robigation proprement s’adreſſe?	VRANIE, Quel présent était ferai- je, moi à qui robigation proprement s'adresse?
MENALQVE, S’il eſt permis à ſon conducteurd’eſtre ſon truchement, ie penſe qu’il n’en veut point d’autre que l’honneur de t’auoir ſeruie.	MENALQUE, S'il est permis à son conducteurd'être son truchement, ie pense qu'il n'en veut point d'autre que l'honneur de t'avoir servie.
VRANIE, Menalque tire le à part & Tegarde ce qui luy agrecroit dauantage de tout ce que ie luy puis offrir.	VRANIE, Ménalque tire le part et Tégarde ce qui était agrécrait davantage de tout ce que ie luy puis offrir.
MENALQVE, Sa reſponſe eſt, que ce qu’il te demande s’entend ſans le dire, & reſte à qui le donne.	MENALQUE, Sa réponse est, que ce qu'il te demande s'entend sans le dire, et reste à qui le donne.
VRANIE, Sans doute c’eſt le ſouuenir, de mon coſté il n’en peur douter, du ſien i’en douterois ſi ie ne taſchois de le meriter par quelque reconnoiſſance, interroge le encore vn coup?	VRANIE, Sans doute c'est le souvenir, de mon côté il n'en peur douter, du sien j'en douterais si je ne tâchais de le mériter par quelque reconnaissance, interroge le encore un coup?
MENALQVE, Souffrirois-tu la vede de la Dleldre;	MENALQUE, Souffrirais-tu la vède de la Dlèdre;
VRANIE, Il en ſouffre bien la douleur.	VRANIE, Il en souffre bien la douleur.
