LES SECONDES OEVVRES POETITES ET TRAGIQVES de Iehan Preuoſt Aduocat en la baſſe Marche.	LES SECONDES OEUVRES POTITES ET TRAGIQUES de Jehan Preuost Aduocat en la basse Marque.
Quoy, la palle terreur te ternit le viſage, Empoigne cette torche, & d’vn meſme courage.	Quoi, la palle terreur te ternit le visage, Empoigne cette torche, et d'un Ah courage.
Que tu me vois giſant ne doute d’aprocher, Le feu qui me doit ardre autour de ce buſcher.	Que tu me vois gisant ne doute d'approcher, Le feu qui me doit ardre autour de ce bûcher.
Ie voydus ja monpere.	Je voitus ja monpère.
& l'entends qui m’appelle, Pour aller habiter ſa demeure eternelle:	et l'entends qui m'appelle, Pour aller habiter sa demeure éternelle:
Pere me voicy preſt, ſon viſage en parlam	Père me voici prêt, son visage en parlam
Plus qu'à l’accouſtumé ſembloit eſtincelant, Adonc ie prends la torche, & d’ine main tremblante Viens au tour du buſcher poſer la ſlame ardante:	Plus qu'à l'accoutumé semblait étincelant, Adonc homme prends la torche, et d'ine main tremblante Viens au tour du bûcher poser la slamme ardante:
Le ſapin ſeretire, & les feux allumez Ont horreur de toucher ſes membres entamez:	Le sapin secrétire, et les feux allumés Ont horreur de toucher ses membres entamés:
Mais Hercule les ſuit, & ceux qui le regardent Penſent voir Pinde, Athos, ou Caucaſe qui ardent Tant il eſt aſſeuré, ſa voix tant ſeulement Ne s’eſtiamais rompuë en nul gemiſſement.	Mais Hercule les suit, et ceux qui le regardent Pensent voir Pinde, Athos, ou Caucase qui ardent Tant il est assuré, sa voix tant seulement Ne s'étiamais rompue en nul gémissement.
Sans plus le ſeu gemit, les entrailles ardantus Sifflent en petillant ſous les flames merdantes.	Sans plus le seu gémit, les entrailles ardantus Sifflent en pétillant sous les flammes merdantes.
Typhon en ce braſier ſans gemir n’euſt duré, Et le ſier Encelade onc ne l’euſt enduré.	Typhon en ce brasier sans gémir n'eût duré, Et le sier Encelade onc ne l'eût enduré.
Luy ſans peur, enſlamé, s'y tient en meſme ſorte, Tout cuit, tout deſcharné, ſans qu’vn ſouſpir luy ſorte.	Lui sans peur, enslammé, s'y tient en même sorte, Tout cuit, tout décharné, sans qu'H soupir Seigneur sorte.
Ma mere, c’eſt ainſi qu’il te faut endurer, C’eſt ainſi qu’ilte faut ton Hercule plorer, (Ce dit-il à ſa mere,) & parmla fumee, Et les noires vapeurs de la Pyre enflamee Se tient en meſme eſtat, & ſans point ſe mouuoir Admoneſte vn chacun d’y faire ſon deuoir:	Ma mère, c'est ainsi qu'il te faut endurer, C'est ainsi qu'ilte faut ton Hercule plorer, (Ce dit-il à sa mère,) et parmla fumée, Et les noires vapeurs de la Pryre enflamèse Se tient en même état, et sans point se mouvoir Admoneste un chacun d'y faire son devoir:
Il attiſe le bois, noſtre bande affigee Voyant ſon grand courage en eſt encouragie.	Il attise le bois, notre bande affige Voyant son grand courage en est encouragie.
Le monde s’en eſtonne, & en le regardant A grand peine croit-il que le feu ſoit ardant, Tant eſt ſa face calme, & tant Alcide graue Au ſerein de ſon front vne maieſté graue!	Le monde s'en étonne, et en le regardant A grand peine croit-il que le feu soit ardant, Tant est sa face calme, et tant Alcide grave Au serein de son front une maiesté grave!
Il ne ſe haſte point, pour ſortir de torment De faire ardre la ſlame, & bruſler viſtement, Ains luy donne du temps, mais quand la mort trouute Eut aſſez ſa valeur, & ſa force eſprouuee, Saus craindre, ſans changer, tout le bois il a pris Qui giſoit au coſté où le feu n’eſt eſpris, Puis le trrant à ſoy deça delà, l’enuoye Au milieu du braſier, où plus la ſlame ondoye.	Il ne se hâte point, pour sortir de torment De faire ardre la slâme, et brûler vitement, AH luy donne du temps, mais quand la mort trouve Eut assez sa valeur, et sa force éprouvée, Saus craindre, sans changer, tout le bois il a pris Qui gisoit au côté où le feu n'est épris, Puis le trrant à soi deça delà, l'envoie Au milieu du brasier, où plus la slâme ondoie.
Sa borche i'en emplit, la barbe en flamboyant Enuoye aux yeux vn feu grillant & tournoyant.	Sa borche j'en emplit, la barbe en flamboyant Envoie aux yeux un feu grillant et tournoyant.
Qui rend vne ſenteur, mais combien que la flame Luy monte iuſqu’au front, & que ſon chef s’enflame, Il n’a ſermé les yeux, mais quoy, ievoy venir Sa miſerable mere, & triſte ſorſtenir En ſon giron chenu les cendres Herculees, Laſſaut au gré du vent ſes treſſes deſolees.	Qui rend une senteur, mais combien que la flamme Lui monte jusqu'au front, et que son chef s'enflamme, Il n'a sermé les yeux, mais quoi, ievoy venir Sa misérable mère, et triste sorstenir En son giron chenu les cendres Hercule, Lassaut au gré du vent ses très désolées.
ALCMENE.	ÀLCMENE.
PHILOCTETE.	PHILOCTETTE.
CHGVR.	CHGUR.
Lombre D’HERCVLE.	Lombre D'HÉRCULE.
Yoyez ο Dieux du Ciel, ſoibles diuinitez V Qui veus allez fiant en vos eternitez, Veyez cegrand Hercule, & la cendre menuë Où de te fergeant la maſſe eſt deuenuë, Tunx que mon giron fient comme vn faix leger Cciuy qui l’vniuers ſur ſon dos put charger, El veus porter deſſus:	Yoyez „ Dieux du Ciel, soibles divinités V Qui veux allez fiant en vos éternités, Veyez cegrand Hercule, et la cendre menue Où de te fergeant la masse est devenue, Tunx que mon giron fient comme un faix léger Cci qui viuers sur son dos put charger, Él us porter dessus:
voyez ie vous ſupplie Qu'vnt petite cruche à peine en eſtremplie, Comme ce vaſe eſtroit, l'emlreſſe & le contient, Comme vne main vicillotte aiſement le ſouſtient, Ioyex le, & aprenez, puiſſances eſtonnees, A nedouter l’effort des hautes deſtinees.	voyez ie vous supplie Qu'int petite cruche à peine en êtremplie, Comme ce vase étroit, l'emlresse et le contient, Comme une main vicillotte aisément le soutient, Joyex le, et apprenez, puissances étonnez, À nedouter l'effort des hautes destinées.
Vous deſcendiez iadis, ô mon fls, mou fils preux, Pour remonter apres, dant les tartares Creux, Ores c’eſt faict de vous, voſtre dolente mere Ce retour deſormais de Cocyte n’eſpere, Vous n’en reuiendrez plas:	Vous descendiez jadis, ô mon fls, mou erez preux, Pour remonter après, dant les tartares Creux, Ores c'est fait de vous, votre dolente mère Ce retour désormais de Cocyte n'espère, Vous n'en reviendrez plas:
le chien cent foit teſto, Les deſteurs ondoyanti de Styx neuf foistortu Vous retiendront là bas, mere, ah!	le chien cent soit têto, Les desteurs ondoyanti de Styx neuf foistortu Vous retiendront là bas, mère, ah!
mere deſpite, En quel gouſſre faut ilque ie me precipire Pour chercher le chemin de me clenre le iour?	mère dépite, En quel goussre faut -ilque ie me précipire Pour chercher le chemin de me clenre le jour?
O mort, ô douce mort, où fais tu ton ſeiour!	Ô mort, ô douce mort, où fais tu ton séjour!
Que ne me viens tu poindre, & toy vie obſtinee	Que ne me viens tu poindre, et toi vie obstinée
Que n'as tala elarté do iour abandounee?	Que n'as tala élarté do jour abandounée?
Pourquoy dures tu tant?	Pourquoi dures -tu tant?
ab folle peuſes tu, Produire encore vn fils de ſirare vertu?	ab olle peuxes -tu, Produire encore un fils de sirare vertu?
Ton ſlanc ne ſrauroit plus conceuoir d’autre Aleido, Heureux Amphitryon que le dard homicide De la mort aſſena, ton enfant floriſſant, Car ie cron que l’enfer pour vn ſils ſi puiſſant.	Ton slanc ne saurait plus concevoir d'autre Aléido, Heureux Amphitryon que le dard homicide De la mort assena, ton enfant florissant, Car ie cron que l'enfer pour un sils si puissant.
Te fut reſpectueux, bien que ce nom de pere, Au Dieu ſeul apartient qui les foudres tempere.	Te fut respectueux, bien que ce nom de père, Au Dieu seul appartient qui les foudres tempère.
En quel antre ſecret, en quels deſerts des champs Iras tu te cacher, vieille, que les meſchants Pourſuiuent à la mort, pour le moins i’il en reſte Eſchappe des coups durs de ſa maſſe funeſte.	En quel antre secret, en quels déserts des champs Iras tu te cacher, vieille, que les méchants Poursuivent à la mort, pour le moins j'il en reste Échappe des coups durs de sa masse funeste.
Chetiue que ie ſuis, les fils qui gemiront Leurs peres treſpaſſeZ oves me puniront.	Chétive que on suis, les fils qui gémiront Leurs pères trépassez oves me puniront.
Pour ſe vanger de luy, Si quel que autre Buſire, Quelque nouuel Antee encore en ſon empire, Aux inſidelles lieux, entendanti ce deſtin, Tous tous me courront ſus, & m’auront pour butinSi quelqu’vn des haras de Thrace encore a cure, Il me viendra rauir pour eſby leur paſture.	Pour se venger de belle, Si quel que autre Busire, Quelque nouvel Ante encore en son empire, Aux insidelles lieux, entendanti ce destin, Tous tous me courront sus, et m'auront pour butinSi quelqu'un des haras de Thrace encore a cure, Il me viendra ravir pour ébi leur pâture.
Iunon qui ne ſçau plus où ſon ire employer, Viendra tout ſon courroux, ſur mon chef deſployer.	Junon qui ne sau plus où son ire employer, Viendra tout son courroux, sur mon chef déployer.
Quand ſon haineux eſt mort, ſa colere diuine, Se viendra deſcharger ſur ceſte concubine Ce fils que i’enfantay rend mon ventre infecond, On craint qu’il ne conçoiue vn Hercule ſecond.	Quand son haineux est mort, sa colère divine, Se viendra décharger sur cette concubine Ce fils que j'enfantai rend mon ventre infécond, On craint qu'il ne conçoive un Hercule second.
Où fuiray te pauurette, ou peus-je miſerable, Où peux ie trouuer lieu qui me ſoit fauorable.	Où fuirai te pauvrette, ou pussy-je misérable, Où peux toujours trouver lieu qui me soit favorable.
Pour viure en ſeureté?	Pour vivre en sûreté?
Si ie vay aborder En Argos, Euryſtee eſt la pour tommender:	Si ici vais aborder En Argos, Eurystée est la pour tommender:
A Thebes, ie ne puis, ie nepuis veſue Alemeus Voir la ville douayriere, & les riues d’iſmene.	À Thebes, ie ne puis, je nepuis veue Alemus Voir la ville douayriere, et les rives d'ismene.
Celict (doux lict nopcier) ou i’eus l’honneur de vir Deſendre Iupiter, ne me veus neceuor.	Celict (doux lit nopcier) ou j'eus l'honneur de vir Desendre Jupiter, ne me veux neceuor.
Ie n'en ſuis plus capaple, beureuſe & trop heureuſe.	Je n'en suis plus caple, beureuse et trop heureuse.
Si r'euſſe ven ſa ſoudre en ma couche amoureuſe, Que ſes bnllants eſclars m’euſſent faict auortes, Qu’ils m’enſſent faict mourir den aut que d'enfanter, Et que l'auertranchant d vn raſoir homicide.	Si reusse ven sa soudre en ma couche amoureuse, Que ses bnllants éclars m'eussent fait auortes, Qu'ils m'enssent fait mourir den aut que d'enfanter, Et que l'avertranchant dès un rasoir homicide.
Euſt de mon flanc ouueri tire le tendre Aleide.	Eut de mon flanc ouveri tire le tendre Alide.
Que de ſon geniteur en la cuiſſe enfermé, Il euſtattendu la le terme accouſtumé.	Que de son géniteur en la cuisse enfermé, Il eûtattendu la le terme accoutumé.
Ie n’euſſe iamais veu, malheureuſe aduenture!	Je n'eusse jamais vu, malheureuse aventure!
Aupair de Iupiter marcher ma geniture, Egaler ſa grandeur, & des l’heure euſſe apris Que ſur luy les deſtins pouuoient auoir le prix.	Aupair de Jupiter marcher ma géniture, Égaler sa grandeur, et des l'heure eusse après Que sur lui es destins pouvaient avoir le prix.
Quel peuple maintenant, quelle gent obligee Aura compaſion de ta mere obligee?	Quel peuple maintenant, quelle gent oblige Aura compasion de ta Mère oblige?
Chacun de tes biens faiti la memoire perdra, Tout le monde eſtingrat, nul ne me ſaruiendra.	Chacun de tes biens faiti la mémoire perdra, Tout le monde étingrat, nul ne me saruiendra.
M’iray ie retirer aux peuples d’Areadie, Teme par ta valeur ſi ſouuent ennoblie, Où mourut le ſerpent de ta ſlame etouffé, Où le tion ſlambant dans le ciel eſchaiffe.	M'irai dit retirer aux peuples d'Areadie, Teme par ta valeur si souvent ennoblie, Où mourut le serpent de ta slamme étouffé, Où le tion slambant dans le ciel échaiffe.
Qui void ores refait de ſa deſconſiture Son vainqueur aterré ſous vne ſepulture.	Qui voit ores refait de sa desconsiture Son vainqueur aterré sous une sépulture.
Mais quelque part que i’aille, ou ils ſeront ingratu, Ou ils me receuront & me tendront les bras.	Mais quelque part que j'aille, ou ils seront ingrattu, Ou ils me recevront et me tendront les bras.
Car tous luy ſont tenus, ſoit ois la froide glace, Ende le cours haſté des riuiere, de Thrace:	Car tous deux sont tenus, soit ois la froide glace, Ende le cours hâté des rivière, de Thrace:
Soit où Phœbus ſe couche, où n’as tu point außy, Faict ſentir les effortide t n bras endurcy.	Soit où Phœbus se couche, où n'as tu point aussi, Fait sentir les effortide tas bras endurci.
Sur le chef des meſchans?	Sur le chef des méchants?
chaſſe mal, chaſſe guerre, Où ſera ton ſepuſcre?	chasse mal, chasse guerre, Où sera ton sépuscre?
or que toute la terre.	or que toute la terre.
Debate à qui l’aura:	Débate à qui l'aura:
Quon dreſſe des Autels, Qu’on te face des vœux ainſi qu’aux immortels.	Quon dresse des Autels, Qu'on te face des vœux ainsi qu'aux immortels.
Qu’on t’exibedes ieux, des temples ediſie, Qu’on reclame ton aide.	Qu'on t'exibedes jeux, des temples édisie, Qu'on réclame ton aide.
& qu’on te ſacfie.	et qu'on te sacfie.
Les oſtres te ſont deus, & l'vuiuers entier	Les ôtres te sont dus, et l'éviuers entier
Soit pourjl'auoir acquis, ou ſoit comme heritier.	Soit pourjl'avoir acquis, ou soit comme héritier.
Pourquoy tremble tu vieille.	Pourquoi tremble tu vieille.
& fremis tu decrainte Embraſſe moy ces os, tient cette cendre eſtreinte, Les reliques d’Hercule, & ſes ſaints oſſements res deſfenſes ſeront, & tes confortements.	et frémis tu décrainte Embrasse -moi ces os, tient cette cendre étreinte, Les reliques d'Hercule, et ses saints ossements rés défenses seront, et tes confortements.
Son nom, ſon ombre ſeule en toutes les prouinces Sera l’eſpouuentail, & la terreur des Princes.	Son nom, son ombre seule en toutes les provinces Sera l'espouuentail, et la terreur des Princes.
Cho.	Cho.
Mere du grand Alcide, appaiſez vos douleurs, ReteneZ ces ſouſpirs, ces regrets, & ces pleurs, Celuy n’eſt regretable à qui la vertu braue Dans le Ciel etornel vn nouueau ſentier graue En deſpit de la mort, le ſort detgenereux Deffend qu’on let regrette, & qu’onpleure poureux.	Mère du grand Alcide, appaisez vos douleurs, ReteneZ ces soupirs, ces regrets, et ces pleurs, Celui n'est regretable à qui la vertu brave Dans le Ciel étornel un nouveau sentier grave En dépit de la mort, le sort detgenereux Deffend qu'on let te, et qu'onpleure poureux.
Alc.	Alc.
Que ie ne plore point, ne verſe point de plaintes?	Que Ne ne plore point, ne verse point de plaintes?
Que i’arreſte le cours de mes larmes contraintes?	Que j'arrête le cours de mes larmes contraintes?
Moy qui mere ay perdu celuy qui deffendoit La terre, & les deux meri ou le Soleil ardoit?	Moi qui mère ai perdu celui qui défendait La terre, et les deux mery ou le Soleil ardait?
Gombien valoit d'enfant, ce fruict de mes entrailles, Combien de morts en luy, combien de funerailles!	Gombien valait d'enfant, ce fruit de mes entrailles, Combien de morts en était, combien de funérailles!
Ie viuois ſans royaume.	Je vivais sans royaume.
& ſi ie departois Ainſi qu’il me plaiſoit let royaumes aux Rois.	et si ici départais Ainsi qu'il me plaisait let royaumes aux Rois.
Tant que mon ſils veſquit, vnique entre les meres Ie n’allois point au Ciel adreſſer mes prieres, Mes væux giſſoient en luy, ſa vertu, ſon ardeur Me pouuoient octroyer tout ce que la grandeur Du Ciel m’euſt refusé.	Tant que mon sils véquit, unique entre les mères Je n'allais point au Ciel adresser mes prières, Mes vœux gissaient en lui, sa vertu, son ardeur Me pouvaient octroyer tout ce que la grandeur Du Ciel m'eût refusé.
Quelle mere mortelle Se peuſt iamus douloir de perte ſi cruelle?	Quelle mère mortelle Se pût jamus douloir de perte si cruelle?
