Par J.	Par Y.
Outra celey veyan que j’ai trop courtez ale Per m’envola ſi haut, é m’y fat ben ſongié, r ieitadieo de bon cour, que vo fuſſia bergié, Mon pare incontinen voz iriet à l encontra, Et ſarion tou pet no cellou que no ſont contra.	Outra cèley veyan que j'ai trop courtés ale Per m'envola si haut, é m'y fat ben songié, r ieitadieo de bon cour, que vo ussia bergié, Mon pare incontinen z iriét à l' encontra, Et sarion tou pet ô celou que nô sont contra.
AMTIDOR.	AMTIDOR.
Ie voudrois d’un troupeau eſtre le vray tuteur, Pour emporter le prix d’un loyal lerviteur.	Je voudrais d'un troupeau était le vrai tuteur, Pour emporter le prix d'un loyal lerviteur.
Mais ma condition n’eſt du deſtin l’ouvrage, Que pour eſtre ſans fin expoſé à l’orage.	Mais ma condition n'est du destin l'ouvrage, Que pour être sans fin exposé à l'orage.
LHAUDA.	LHAUDA.
E ne faut pa penſa, que lou peu pendoidu, Ie ſorto de chié no devant la fin de l’an, Que per quoque Bergié qui gagnirat mon Pare:	E ne faut pa pensa, que lou peu pendoidu, Je sorto de chié nô devant la fin de l'an, Que per quoque Bergié qui gagnirat mon Pare:
Mais qu’au que ſet, de mi u n’aurat pa topare.	Mais qu'au que set, de mi u n'aurat pa topare.
AM IDOR.	AM IDOR.
Mais cepchuant je vois mon eſpoir condamné, He dieux ne ſuis je pas moins heureux qu’un dãné	Mais cepchant je vois mon espoir condamné, He dieux ne suis je pas moins heureux qu'un dãné
LHAUDA.	LHAUDA.
Ne voz metta pa tant celley din la cervella, Gnat ren de bon guari qu’una playi nouvella.	Ne voz metta pay tant celley din la cervela, Génat ren de bon gary qu'una plaii nouvela.
AMIDOR.	AMIDOR.
Me parler de guerir c’eſt m’oſter le ſecours, le n'en puis plus, le mal me tranche le diſcours.	Me parler de guérir c'est m'ôter le secours, le n'en puis plus, le mal me tranche le discours.
LHAUDA.	LHAUDA.
Ie creyo que ceci ne ſarat pa de moque, V l’ét evanaüy lo deipleiſi l’aſſoque:	Je creyo que ceci ne sarat pa de moque, V otre evanaüy lo deipleisi l'assoque:
V l'at de forci autant qu’una pata molliat, Luy faut vito jita d’eyga avec un folliat.	V l'at de forci autant qu'una pâta molliat, Lui faut vito jita d'éga avec un folliat.
Volé-vo ben (Monſieu) afin que je tombeiſo, Mori entre me man ore que je vo beiſo?	Volé-vo ben (Monsieu) afin que je tombeiso, Mori entre me man ore que je vœux béiso?
Parla-me donq un po?	Parla-même donc un pô?
eyet pro ſouſpira, Voz auri à la fin ce que vo deſira.	Eiet pro soupira, Voz auri à la fin ce que vo désira.
AMTDSR.	AMTDSR.
Voulez-vous à la mort diſpurer la victoire, Ce ſeroit me ravir la plus inſigne gloire.	Voulez-vous à la mort dispurer la victoire, Ce serait me ravir la plus insigne gloire.
LHAUDA.	LHAUDA.
Ne parla ren de mort, j’amo mieu vey lou vi, Baillié-me ſou la man, & allon prendre avi V pied de ceu fayar tout frizonna de mouſſa, Comme no chaſſiron de noſtrouz eyu la pouſſa.	Ne parla ren de mort, j'amo mieu vei lou vi, Baillième sous la man, et allon prendre avi V pied de ceu far tout frisonna de moussa, Comme nô chassiron de nostrouz eiu la poussa.
Aſſeton-no icy, & prenon la freichou, Tandi que lo Soley bucle tou juſqu’u chou.	Asseton-nô ici, et prenon la fréichou, Tandi que lo Soley bucle tou jusqu'u chou.
Ie me ſeu aviſa (inco que mal appreiſa,) Que per veni à bout de noſtron entrepreiſa, E faudriet que veitu comm’un genti bergié, Vo veniſſia deman dedin noſtron vergié, A l’hora que mon pare eicoute ſur ſon agi L’izel que je vodrin tem deum ina cagl, I qui faſſan ſemblan de cherchié qu’oquare y Eigara du tropel, qui n’at pa ſon parey.	Je me seu isa (inco que mal apprisa,) Que per veni à bout de nostron entrepreisa, E audriét que vitu comm'un genti bergié, Vo venissia deman dedin nos vergié, A l'hora que mon pare eicoute sur son agi zél que je vodrin tem deum ina cagla I qui Javan semblan de cherchié qu'oquare y Éigara du trop ta du n’, qui son parey.
Et pui de poà po de parol’en parola, Vo mettant plu en trein qu’un borlio ſur ſa viola;	Et puy de poà pô de parola, parolea, Vo mettant plu en trein qu'un borlio sur sa viola;
Vo ventaria ſouven tou ce qu’u l’at planta, Lou pommié, lou perié qu’u l’at ſi ben enta.	Vo ventaria souven tou ce qu' h'at planta, Lou pommié, lou perié qu'u l'at si ben enta.
Sou prunié qui n’ont pa una meichanta rama, Et ſou biau cireiſié, ſen deiſala la gama.	Sou prunié qui n'ont pa una meichanta rama, Et sou iau cireisié, sen devisala la gama.
Adonqua de plaiſi vo lo faria ſauta Comm’un joeino mouton, qu’at envey de jouta.	Adonqua de plaisi vo lo faria sauta Comm'un joieino mouton, qu'at envei de jouta.
V l’auriet ſi grand joey de voſtra cogneuſſanci, Que luy ſariet avi qu’u reprendriet naiſſanci.	V l'auriét si grand joey de vostra connussanci, Que lui sariét avi au reprendriet ancy.
Voſtron francillimen (langageo ben pigna) Lo fariet jaqueta, inſi qu’un geay deigna.	Vostron francillymen (langageo ben pigna) Lo fariét aqueta, insi qu'un geay deigna.
V voz entrétindriet du ſiego de la Mura, Du ma que lou Carvin firon à noſtra Cura.	V Vous entrétindriet du siègo de la Mura, Du ma que lou Carvin firon à nostra Cura.
Duz Suiſſe groſſe gen qu’ont la teſta d’un vel, Qui furon tout deifat entre Euriageo & Revel.	Duz Suisse grosse gen qu'ont la testa d'un vel, Qui furon tout deifat entre Euriageo et Revel.
Et de la pou avoey que firon le chatagne, V tem que l’ennemi couriet per le montagne.	Et de la pou avoètei que firon le chatagne, V em que l'ennemi couriét per le montagne.
V voz attiteriet, & vo l’enjoularia, Quand à ſon taborin vo voz accordaria.	V Vous attiterjet, et vo l'enjoularia, Quand à son taborin vo z accordaria.
Lla mare d’autro flan ben fait'u badinageo Ioüiriet comme faut per no ſon perſonageo, 3i oen que no porrion ien pia glanda chanſon No prendre, & jita lo froc ſur lo boiſſon.	Lla mare d'autro flan ben fait badinageo Ioüiriet comme faut per nô son personageo, 3i ô que nô orrion yen pia glanda chanson No prendre, et jita lo froc sur lo boisson.
AMTDOR.	AMTDOR.
Salutaire conſeil tu reſtablis ma force,	Salutaire conseil tu rétablis ma force,
JANIN.	JANIN.
I’entend’ilay quoqu’un qui de parla s’eiforce.	J'entend'ilai quoqu'un qui de parla s'éiforce.
AMIDOR.	AMIDOR.
Belle de voſtre avis je ſuis trop ſatisfait, Car voſtre volonté ne doit rien à l’effet.	Belle de votre avis je suis trop satisfait, Car votre volonté ne doit rien à l'effet.
ANIN.	ANIN.
Per le matnon eyet ceu qu’embraſſe la Lhauda, Tu t’en mordres lou dey vileina china chauda.	Per le matnon eiet ceu qu'embrasse la Lhauda, Tu t'en mordrez lou dey vileina china chauda.
Ma que vo deguiſi lo ca de voſtron flan, Per marchie pul per tout noz auron lou pied blant	Ma que vo deguisi lo ca de vostron flan, Per marchie pul per tout noz auron lou pieds blant
AMIDOR.	AMIDOR.
Ie ſuivray cét eſpoit que vous faites renaiſtre, Plus joyeux qu’un captif qui trouve ſa feneſtre, Aanii que vouu vejee, en quittant les vergers, Que ma feinte n’eſtoit qu’en l’habit des beigers.	Je suivrai cet espoit que vous faites renaître, Plus joyeux qu'un captif qui trouve sa fenêtre, Aani que voue vue, en quittant les vergers, Que ma feinte n'était qu'en l'habit des beigers.
LHAUDA.	LHAUDA.
L’affare eirat prou ben, prenes ſouqua courageo.	L'affare eirat pro ben, prenez souqua courageo.
ANIN.	ANIN.
Ie crevo de deipit, de collera j’enrageo.	Je crévo de déjpit, de collera j'enrage.
AMIDOR.	AMIDOR.
Le courage eſt à ceux qui ſe voyent ſecourir, Lors qu’ns font fur ſe poit de vamere ou de mourit?	Le courage est à ceux qui se voient secourir, Lors qu'ns font fur se poit de vamère ou de mourit?
Ainſi ſous vos faveurs, dont mon ame eſt ravie, Ie vaincray le malheur, ou je perdray la vie.	Ainsi sous vos faveurs, dont mon âme est ravie, Je vaincrai le malheur, ou je perdrai la vie.
JANIN.	JANIN.
Quey-to ce que me tin que je n’alo d’un cop Eicervela ceu bougro, ou luy rompre lo cot?	Quei-to ce que me tin que je n'alo d'un cop Eicervela ceu bougro, ou ainsi rompre lo cot?
EAnaEne Egnarat que Janin que troubleize le nopce.	ÉNaEne Egnarat que Janin que troubleize le noce.
AMIDOR.	AMIDOR.
S’il y penle à mes pieds il trouvera ſa foſſe.	S'il y penle à mes pieds il trouvera sa fosse.
JANIN.	JANIN.
Faquin qu’at lo courageo auſſi fret que lo glat, Ie te farey ſenti ma franda ou mon eyglat.	Faquin qu'at lo courageo aussi fret que lo glat, Je te farey senti ma franda ou mon églat.
AMIDOR.	AMIDOR.
D'où vient ce coup de pierre, y a-tu.	D'où vient ce coup de pierre, y a-tu.
querqu’ebuche?	querqu'ébuche?
LHAUDA.	LHAUDA.
Sen douta ceu Janin cacha derrié le ruche, A frandaya ceu cop de mala jalouſi.	Sen douta cv Janin cacha derrié le ruche, À frandaya ceu cop de mala jalousi.
JANIN	JANIN
AMIDOR.	AMIDOR.
Où eſt-il ce pendart, oſeroit-il paroitte, Ie crois qu’il eſt hardy cõm’un Moine en ſon cloitre.	Où est-il ce pendard, oserait-il paraite, Je crois qu'il est hardi comm'un Moine en son cloitre.
JANIN.	JANIN.
vC.	vC.
Ie creigno ſon eipéa autant que ſon fourrel, Et je me chau de leu autant que du Borrel.	Je creigno son eipéa autant que son fourrel, Et je me chau de leu autant que du Borrel.
AMIDOR.	AMIDOR.
Le feu de mon courroux me rend la face rouge.	Le feu de mon courroux me rend la face rouge.
LHAUDA.	LHAUDA.
10r DCIOO Tomon-noz aſſetta gnat perſonna que bouge.	10r DCIOO Tomon-noz assetta gnat personna que bouge.
ANIN.	ANIN.
IVELo Vo voz accoubla ben, mais teſta d’un linot, Ie vo decoublarey devant que ſeyé not.	IVELo Vo vos accoubla ben, mais testa d'un linot, Je vo decoublarey devant que seyé not.
AMIDOR.	AMIDOR.
DIOV:	DIOU:
Maraud, qui que tu ſois, tu conſpires ta perte, Où es-tu, viens à moy, ma poitrine eſt ouverte.	Maraud, qui que tu sois, tu conspires ta perte, Où es-tu, viens à moi, ma poitrine est ouverte.
Coquin, tu n’oſerois ſoutenir cét affront, Ton courage eſt caché auſſi bien que ton front.	Coquin, tu n'oserais soutenir cet affront, Ton courage est caché aussi bien que ton front.
Iaioux, punque le mar de Pentiu te preſſe, Tu devrois avoir peur d’offenſer ma maitreſſe.	Jaioux, punque le mar de Pentiv te presse, Tu devrais avoir peur d'offenser ma maîtresse.
Attache-toy à moy, ſors de ce lieu ſuſpect, Si ta rage ne peut obeir au relpect.	Attache-toi à moi, sors de ce lieu suspect, Si ta rage ne peut obéir au relpect.
LHAUDA.	LHAUDA.
Retiron-no d’icy de pou de quoque piera, Vn meſchen cou abat l’audaci la plus fiera.	Retiron-nô d'ici de pou de quoque piera, Un méchen cou abat l'audaci la plus fiera.
AM I DOR.	AM I DOR.
Ie n’apprehende rien qu’un ſiniſtre accident, Dont vos beaux yeux pourtoient pancher à l’occidõt Car d’un coup inhumain vous pourriez eſtre attein Retirons-nous avant que la terre ſoit peinte D’une même couleur, i’eſpere que demain Ce ruſtre ſentira le fardeau de ma main.	Je n'appréhende rien qu'un sinistre accident, Dont vos beaux yeux pourraient pencher à l'occidõt Car d'un coup inhumain vous pourriez être attein Retirons-nous avant que la terre soit peinte D'une même couleur, j'espère que demain Ce rustre sentira le fardeau de ma main.
JANIN.	JANIN.
Vo vené per lou bœy que la mana afroſe, Mais voz i trovari d’eurtié mey que de roſe.	Vo vené per lou bœi que la mana afrose, Mais voz y trovari d'eurtié mei que de rose.
Voſtrez amour faron comme mi petafin, Et comme lou peiſſon qui ſuivon lou Dauphin.	Votrez amour faron comme mi petafin, Et comme lou péisson qui suivon lou Dauphin.
Ie farey, je farey en tant de lieu de trape, Que faudrat qu’en paſſan l’un de vou dou s’atrape.	Je farei, je farei en tant de lieu de trape, Que faudrat qu'en passan l'un de vou dou s'atrape.
Vo ne trovari ren de ſado ni de dou, 1 Me crevarei un eyu per voz en creva dou.	Vo ne trovari ren de sado ni de dou, 1 Me crevarei un Eyu per voz en creva douva.
I’eimuſſiray lou chin contra vou ( leyda coubla) La fontana per vo ſarat à la fin troubla.	J'estimussirai lou chin contra vou ( leyda coubla) La fontana per vo sarat à la fin troubla.
Je farey en façon que vo vo quittari, Ie volo contra vo uſa d’enchantari.	Je farei en façon que vo vo quittari, Je volo contra vo usa d'enchantari.
Ie vœy de cetteu pa trova la feitureiri, Qui u petiz efan fat pou per le charreiri, Qui fat piſſié le gen contra la traveiſon, Et qui fat de per ley tou lou jour reveiſon.	Ie de cetteu troua la feitureiri, Qui petiz efan fat pou per le Je, Qui fat pissié de cet contra la traveison, Va la fit de ur leyitu lou jour y.
114 421	114 421
CHANSON.	CHANSON.
Ergere, je ſuis ſi content 1 O De voir dans un’ame nos ames, 1e Xuoh Que mon cœur n’eſt point repentant De l’avoir preferé aux Dames, Puiſque tes regards amoureux Veulent quę les miens ſoient pour eux.	Ergère, je suis si content 1 Ô De voir dans une âme nos âmes, 1e Xvoh Que mon cœur n'est point repentant De l'avoir préféré aux Dames, Puisque tes regards amoureux Veulent qu ' eau soient pour eux.
[ Inco ben que vo me flatta, Monſieu, en voſtron amitanci Vo ne ſari pa barata, - Car j’aurey per vo de conſtanci, Mey que le Dame qui d’amour N’ont ſolamen que per un jour.	[ Inco ben que vo me flatta, Monsieur, en vostron amitanci Vo ne sari a barata, - Car j'aurei per vo de constanci, Mey que le Dame qui d'amour N'ont solamen que per un jour.
ciaſtal131 102 l2OV3HOC 211 4	ciâtal131 102 l2OU3HOC 211 4
La conſtancé n’a point d’autels Que pour l’offrande des fidelles, Ia mais les amours immorrels Ne ſortent de ſes citadelles;	La constancé n'a point d'autels Que pour l'offrande des fidèles, Ita mais les amours immorrels Ne sortent de ses citadelles;
Ainſi mon amour & ma foy Seront toûjours fermes pour toy.	Ainsi mon amour et ma foi Seront toujours fermes pour toi.
I Comme lou dou dey de la man Vivon louz amoirou fidello.	I Comme lou dou dey de la man Vivon louz amou fidelo.
Et comme lo fer & l’eyman, Iamey u ne ſe groſon d’ello, Ni ne povon ſe vey de loin, Tant l’un at de l’autro lo ſoin.	Et comme lo fer et l'eiman, Iamei u ne se grozon d'ello, Ni ne pouvon se vei de loin, Tant l'un at de l'autro lo soin.
Iamais la ſeparation Ne fait deux vies de leur vie, L’un perd la teſpiration Quand l’autre meurt, car leur envie Ne s’allume que d’un flambeau, Et ne s’eſteint qu’en un tombeau.	Jamais la séparation Ne fait deux vies de leur vie, L'un perd la tespiration Quand l'autre meurt, car leur envie Ne s'allume que d'un flambeau, Et ne s'éteint qu'en un tombeau.
Amour de dou cour en fat un, Mais d’un u ne pot fare coubla:	Amour de dou cour en fat un, Mais d'un u ne pot sare coubla:
Entre louz vraiz Aman nengun N’a dou vouley, ni l'arma doubla:	Entre louz vraiz Aman nengun N'a dou vouley, ni l'arma doubla:
L’un fat tout ce que l’autro vou, Car uene ſont qu’un ellou-dou.	L'un fat tout ce que l'autro vou, Car uene sont qu'un éloudou,
Ainſi ton deſir eſt le mien, Et dé tes ſoupirs je ſoupire, Tu es à moy, & je ſuis tien, Parce qu’amour tient ſont empire Au milieu de ce cœur parfait, Que noſtre volonté s’eſt fait.	Ainsi ton désir est le mien, Et de tes soupirs je soupire, Tu es à moi, et je suis tien, Parce qu'amour tient sont empire Au milieu de ce cœur parfait, Que notre volonté s'est fait.
I Beiſon-no donq ſen fare ma Comme l’honou no recolhmande, L01 17 A 1111 Et noſtron amour affama Auta lo pleiſi qu’u demande;	I Béison-nô donq sen sare ma Comme l'honou nô recolhmande, L01 17 A 1111 Et nostron amour affama Auta lo pleisi qu' demande;
Lo baiſié à l’amour ſouzrit, et Painoul de leu le nouie	Lo baisié à l'amour souzrit, et Painoul de lu le nouvie
ACTE QUATRIEME.	ACTE QUATRIÈME.
SCENE PREMIERE,	SCÈNE PREMIÈRE,
PIERO.	PIERO.
Ve ſarat-to cécy, tout lo mondo me piche, Ma fena contra mi de mal en pi s’affiche, I brut mey qu’un molen qui ne pot tempora, Ma filli d’autro flan ne fat ren que ploura.	Ve sarat-to céci, tout lo mondo me piche, Ma fena contra mi de mal en pi Jaffiche, I me mey qu'un molen qui ne pot tempora, Ma filli d'autro flan ne fat ren que ploura.
D’un flan l’on n’ot que brut de la Dana Pernetta, De l’autro que caquet de la Dana Iappetta.	D'un flan l'on n'ot que brut de la Dana Pernetta, De l'autro que caquet de la Dana Jappeta.
Maugra non de le fene, i me font enragié, 1 L’una me romp la teſta, à poin de m’outragié:	Maugra non de le fène, y j' ont enragié, 1 L'un me romp la testa, à poin de m'outragié:
L’autro ne cherche ren qu’a m’eimoda querella, Ma fille maugra mi vou eſtre Dameiſella, Et u lieu qu’y devriet en eſtre marcora, Ie crey qu’y ſe treirat lou douz eyu de plora.	L'autro ne cherche ren qu'a m'eimoda querella, Ma fille maugra mi vou être Dameisela, Et u lieu qu'y devriet en être marcore, Je cri qu'y se treirat lou douz eiu de plora.
I’ei biau la menaſſié, à toute fine force, Eilli vou ceu Monſieu, que per l’avey s’eiforce.	J'é jau la menassié, à toute fine force, Eilli vou ce Monsieu, que per l'avei s'eiforce.
