A PARIS, Chez PIERRE DAVID, ſur le Perron en entrant dans la grande Salle du Palais.	À PARIS, Chez PIERRE DAVID, sur le Perron en entrant dans la grande Salle du Palais.
Mais ſa mort & la mienne en vengeant ſon offence Comtre tes meuiſans feront a madeffence	Mais sa mort et la mienne en vengeant son offense Comtre tes meuisants feront a madeffense
DIANE.	DIANE.
ASTREE.	ASTRE.
Ma ſœur que dites vous?	Ma sœur que dites -vous?
La puré verite.	La puré vérité.
DIANE Celadon iouït donc encorde la clarté.	DIANE Céladon jouit donc encorde la clarté.
ASTREE.	ASTRE.
Ie ne ſçay car ayant cognu ſa tromperie, Fachee iuſtement de ſon effronterie, Soudain mon deplaiſir la deteſte ſi fort, Que mon commandemant a prononcé ſa mort.	Je ne sais car ayant connu sa tromperie, Fachèse justement de son effronterie, Soudain mon déplaisir la déteste si fort, Que mon commandemant a prononcé sa mort.
De ſorte que ie croy que ſon obeiſſance A deſia par ſa mort vengé mon innocence, IugeZ de là ma ſœur ſi ie doy recourir.	De sorte que je crois que son obéissance A desya par sa mort vengé mon innocence, Jugez de là ma sœur si ici dois recourir.
A d'aurt auegemeni qu'à me ſaire mourir.	À d'aurt auégemeni qu'à me zaïre mourir.
DIANE.	DIANE.
Il eſt vray, vos douleurs ont tant de violence Qu'on ne les peuſt ſouffrir & garder le ſilence, Mais elles ne ſont pas dans cette extremité, Que leur excés doiue estre en la mort limité.	Il est vrai, vos douleurs ont tant de violence Qu'on ne les put souffrir et garder le silence, Mais elles ne sont pas dans cette extrémité, Que leur excès doive être en la mort limité.
ASTREE.	ASTRE.
C'eſt pourtant le plus ſeur, & le plus doux remede, Qui dans ce triste eſtat ſe preſente à mon aide.	C'est pourtant le plus sûr, et le plus doux remède, Qui dans ce triste état se présente à mon aide.
DIANE.	DIANE.
Vous eſtes donc ma ſœur, reſolue au treſpas.	Vous êtes donc ma sœur, résolue au trépas.
Tout à faict, ASTREE.	Tout à fait, ASTRE.
DIARE.	DIARE.
Et moy d’eſtre attachee à vos pas, Et veux auecques vous dans la fin de ma vie Trouuer la fin des maux dont ie ſuis pourſuiuie.	Et moi d'être attachée à vos pas, Et veux avec vous dans la fin de ma vie Trouver la fin des maux dont tu suis poursuivie.
ASTREE.	ASTRE.
Ie ne veux pas pourtant que mmjouonleur, Meſle voſtre fortune auecques mon malheur.	Je ne veux pas pourtant que mémouonleur, Mêle votre fortune avec mon malheur.
DIANE.	DIANE.
DIANE.	DIANE.
La mort est ma fortune außi bien que la voſtre, Vous auez vn ſubiet, i’en ay de meſme vn autre, Et puis que mon destin me cõtraint auiourd’huy De quitter mon Siluandre, ou mourir auec luy, Que le ciel pour compagne à Paris m'a donnee Dois-ie pas par ma mort rompre cét Himenee?	La mort est ma fortune aussi bien que la vôtre, Vous avez un sujet, j'en ai de même un autre, Et puis que mon destin me confraint aujourd'hui De quitter mon Siluandre, ou mourir a luy, Que le ciel pour compagne à Paris m'a donnée Dois-je pas par ma mort rompre cet Himenee?
La mort dernier eſpoir que le ciel peuſt offrir, A ceux qui ſont laſſeZ de trop longtẽps ſouffrir.	La mort dernier espoir que le ciel pût offrir, À ceux qui sont lassez de trop longtẽps souffrir.
ARSIREEe Sans perdre donc le temps en des paroles vaines, Allons par noſtre mort donner fin à nos peines.	ARSIREEe Sans perdre donc le temps en des paroles vaines, Allons par notre mort donner fin à nos peines.
DIANE.	DIANE.
Allons, mais il faudroit quelque treſpas choiſir, Qui ſe trouue conforme à noſtre deſplaiſir.	Allons, mais il faudrait quelque trépas choisir, Qui se trouve conforme à notre déplaisir.
ASTREE.	ASTRE.
La fontaine d’amour icy pres enchantee Par noſtre deſeſpoir des auiourd’huy tentee.	La fontaine d'amour ici pres enchantée Par notre désespoir des aujourd'hui tente.
Nous fournira dequoy nos triſtes iours finir, Et rendre noſtre nom durable à l’aduenir, Que ſi par le treſpas d’vne fidelle amante Nous deuõs voir la fin du pouuoir qui l’enchãte, Ie receuray ce bien de ma fidelité, De ia remre acteßible à la poſterité,	Nous fournira dequoy nos tristes jours finir, Et rendre notre nom durable à l'avenir, Que si par le trépas d'une fidèle amante Nous devons voir la fin du pouvoir qui l'enchette, Je recevrai ce bien de ma fidélité, De ja remère actemible à la postérité,
DIANE.	DIANE.
Les lyons de ſa garde & les fortes licornes Nous feront bien ſentir leurs ongles & leurs cornes:	Les lions de sa garde et les fortes licornes Nous feront bien sentir leurs ongles et leurs cornes:
Mais que par nostre mort on puiſſe librement Voir dans ſon froid criſtal les ruſes d’vn amant, Nullement puis qu’il faut qu’vn amoureux fidludaa Reçoiue auecques nous leur bleſſure mortelle Et le fidelle amant ne ſe retrouue pas.	Mais que par notre mort on puisse librement Voir dans son froid cristal les ruses d'un amant, Nullement puis qu'il faut qu'une amoureux fidéluda Reçoive avec nous leur blessure mortelle Et le fidèle amant ne se retrouve pas.
ASTREE.	ASTRE.
L’effort plus grand eſt fait auecques mon treſpas Mais vous, ma chere ſœur, perdeZ cette manie.	L'effort plus grand est fait avec mon trépas Mais vous, ma chère sœur, perdez cette manie.
DIANE.	DIANE.
Non, non, ie veux mourir en voſtre compagnie.	Non, non, ie veux mourir en votre compagnie.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
SILVANDRE, ALEXIS,	SILVANDRE, ALEXIS,
SILVANDRE ſeul.	SILVANDRE seul.
Ve l’estat des mortels conduit aueuglément, Montre en moy les effects de ſon dereiglement, Puis qu’on n’eſtime point l’homme auſiecle où nous ſommes, Que par les biens tous ſeuls qui ne ſont point aux hommes, Paris, parce qu’il est de naiſſance puiſſant, Que ſon pere eſt d’honneurs, & de biens iouyſſant, (Tant le monde auiourd’huy tient le party des vices) Doit cueillir ſans trauail le fruict de mes ſeruices, Et moy pour n’eſtre pas ny riche, ny cogneu, Apres beaucoup de ſoin en dois demeurer nu.	Ve l'état des mortels conduit aveuglément, Montre en moi les effets de son dérèglement, Puis qu'on n'estime point l'homme ausiecle où nous sommes, Que par les biens tous seuls qui ne sont point aux hommes, Paris, parce qu'il est de naissance puissant, Que son père est d'honneurs, et de biens jouïssant, (Tant le monde aujourd'hui tient le parti des vices) Doit cueillir sans travail le fruict de ans services, Et moi pour n'être pas con riche, ni cogneu, Apres beaucoup de soin en dois demeurer nu.
O Diane, ô Bellinde, ô ciel impitoyable!	Ô Diane, ô Bellinde, ô ciel impitoyable!
De quel crime en naiſſant me trouuay-ie coupable, Que tu m’ayes touſiours depuis perſecuté!	De quel crime en naissant me trouvai-je coupable, Que tu m'ayes toujours depuis persécuté!
Mais, ô grãds Dieux en fin vous l’auez arreſté, Diane eſt à Paris voſtre arreſtimmuable, L’a faite conſentir à ce coup deteſtable, Comme il me fait außi conſentir à ma mort, Qui m’offre en ce malheur ſon fauorable port:	Mais, ô grande Dieux dont enfin vous l'avez arrêté, Diane est à Paris votre arrêtimmuable, L'a faite consentir à ce coup détestable, Comme il me fait aussi consentir à ma mort, Qui m'offre en ce malheur son favorable port:
Le fer & le poiſon me ſont vn bon remede Mais leur effort eſt lent, & douteuſe leur ayde, Ce roc en precipice vn autre regardant, M'offre le ſeul ſecours que ie ſuis attendant.	Le fer et le poison me sont un bon remède Mais leur effort est lent, et douteuse leur aide, Ce roc en précipice un autre regardant, M'offre le seul secours que je suis attendant.
ALEXIS.	ALEXIS.
A la fin me voila ſans autre compagnie, Que le ſeul deſeſpoir, & mon mauuais genie:	À la fin me voilà sans autre compagnie, Que le seul désespoir, et mon mauvais génie:
En fin rien ne m'empeſche icy de me donner Le treſpas que mon Astre a voulu m'ordonner:	En fin rien ne m'empêche ici de me donner Le trépas que mon Astre a voulu m'ordonner:
Meurs, dit-elle, Alexis, helas cette parole, Quoy que dure pourtant, maintenant me conſole, Ie puis executant fon cruel mandement Finir les longs ennuis d’vn malheureux amant:	Meurs, dit-elle, Alexis, hélas cette parole, Quoi que dure pourtant, maintenant me console, Je puis exécutant son cruel mandement Finir les longs ennuis d'un malheureux amant:
Mourons, mais pour mourir comme l’on m'a veu viure Ie veux que ma mort ſerue aux vrays amants d’vn liure.	Mourons, mais pour mourir comme l'on m'a vu vivre Je veux que ma mort serve aux vrais amants d' liure.
SILVANDRE.	SILVANDRE.
Ce rocher eſt bien rude & faſcheux à monter, Il faut ſon aspreté toutefois ſurmonter.	Ce rocher est bien rude et fâcheux à monter, Il faut son âpreté toutefois surmonter.
ALEXIS.	ALEXIS.
B Et me rendre aux mortels à iamais memorable, En rendant au public vn ſeruice notable, La fontaine d’amour offre à ma loyauté, Le ſalaire & l’honneur que i'enay merité.	B Et me rendre aux mortels à jamais mémorable, En rendant au public un service notable, La fontaine d'amour offre à ma loyauté, Le salaire et l'honneur que j'enai mérité.
Mon ſang la rendra libre, & deſormais ſa glace Terd voir dans le cuur te qu'on cacne en la face Vn ſeul doute pourtant me retient en ſuſpens.	Mon sang la rendra libre, et désormais sa glace Terd voir dans le cuur te qu'on cacne en la face Un seul doute pourtant me retient en suspens.
SILVANDRE.	SILVANDRE.
Courage, me voila tantoſt ou ie pretens.	Courage, me voilà tantôt ou ainsi prétends.
ALEXIS.	ALEXIS.
L’enchantement eſt tel, qu’il faudroit qu’vne belle, Qui touſiours euſt bruſlé d’vne flamme fidelle, G iij.	L'enchantement est tel, qu'il faudrait qu'une belle, Qui toujours eût brûlé d'une flamme fidèle, G ij.
Mouruſt pour le finir comme moy conſtamment Et l'on void ces beauteZ parêtre rarement.	Mourut pour le finir comme moi constamment Et l'on voit ces beautés paraître rarement.
SILVANDRE.	SILVANDRE.
En fin Siluandre, en fin voicy le precipice, Qui te doit deliurer de ton cruel ſupplice:	En fin Silvandre, en fin voi le précipice, Qui te doit délivrer de ton cruel supplice:
En ſin voie yte roe, d'ou te precipitant, Tu vas de ton deſtin les efforts abbatant.	En sin voie yte roe, d'ou te précipitant, Tu vas de ton destin les efforts abattant.
ALEXIS.	ALEXIS.
La reſolution en eſt toutefois priſe, I’auray l’hõneur d’auoir commencé l’entrepriſe.	La résolution en est toutefois prise, J'aurai l'honneur d'avoir commencé l'entreprise.
SILVANDRE.	SILVANDRE.
Diane ſi ma mort vient iuſqu'à vous vn iour, DonneZ-luy pour le moins quelques larmes d’amour.	Diane si ma mort vient jusqu'à vous un jour, Donnez-lui pour le moins quelques larmes d'amour.
ALEXIS.	ALEXIS.
Mon oreille me trõpe, où i’entens quelque plainte	Mon oreille me trope, où j'entends quelque plainte
SILVANDRE.	SILVANDRE.
Et ſoyez de pitié pour mon ſubiect atteinte.	Et soyez de pitié pour mon sujet atteinte.
ALEXIS.	ALEXIS.
Mais que voy-ie, ô grands Dieux, qu’eſt-ce que peut chercher Siluandre en ſe pleignant ſur cet affreux rocher?	Mais que vois-je, ô grands Dieux, qu'est-ce que peut chercher Siluandre en se pleignant sur cet affreux rocher?
SILVANDRE.	SILVANDRE.
Que!	Que!
demon ennemy ſi long temps me retarde?	demon ennemi si long temps me retarde?
ALEXIS.	ALEXIS.
Son œil tout eſgaré deçà delà regarde, *rAentonsjui te veener ajuua disemuer Le treſpas que ie croy qu’il ſe vueille donner.	Son œil tout égaré deçà delà regarde, *rentonsjui te veener ajua disemuer Le trépas que je crois qu'il se veuille donner.
SILVANDRE.	SILVANDRE.
O Bellinde de qui l’extreme tyrannie, Sa iuſte recompenſe à mon ame denie;	Ô Bellinde de qui l'extrême tyrannie, Sa juste récompense à mon âme dénie;
Si vous ſçauez vn iour la cauſe de ma mort, Ne donnez point de pleurs à mon malheureux fort;	Si vous savez un jour la cause de ma mort, Ne donnez point de pleurs à mon malheureux fort;
C’eſt aſſz, c'eſt aſſeZ, que ce rocher me pleure, Et que rouge à iamais de mon ſang il demeure.	C'est assez, c'est assez, que ce rocher me pleure, Et que rouge à jamais de mon sang il demeure.
ALEXIS.	ALEXIS.
Tout beau, tout beau, Siluandre, arreſtez vous les Dieux omuuoujui rous leurs fauorables yeux.	Tout beau, tout beau, Silvandre, arrêtés -vous les Dieux omuuoujui rous leurs favorables yeux.
SILVANDRE.	SILVANDRE.
Pitoyable Alexis, quel demon peu propice Me fait rendre par vous hors de temps cét office?	Pitoyable Alexis, quel démon peu propice Me fait rendre par vous hors de temps cet office?
G iiij	G jijà
ALEXIS.	ALEXIS.
Sans aoute le demon le plus ſoigneux de vous.	Sans aoûté le démon le plus soigneux de vous.
SILVANDRE.	SILVANDRE.
Mais pluſtoſt l’ennemy de mon repos plus doux	Mais plutôt l'ennemi de mon repos plus doux
aa an dalda Quoy que s'en ſoit en fin ie rõpray voſtre enuie.	aa an daleda Quoi que s'en soit en fin Dieux rapprai votre envie.
SILVANDRE.	SILVANDRE.
Que vous me faites tort de prolonger ma vie, Puis que vous ſçauez biẽ que voſtre frere obtiẽt Le bien qui par amour à moy ſeul appartient.	Que vous me faites tort de prolonger ma vie, Puis que vous savez bien que votre frère obtiment Le bien qui par amour à moi seul appartient.
ALEXIS.	ALEXIS.
Siluandre mon habit en ſa fauſſe apparence, Sous le nom d’Alexis contre voſtre eſperance 1 Vous monſtre Celadon, qu’on a creu fauſſement Eſtre mort ſous l’effort du liquide element, Et qui contre ſon gré preſeruéde ſa rage, A conjerne ſa vie auec peu de courage:	Silvandre mon habit en sa fausse apparence, Sous le nom d'Alexis contre votre espérance 1 Vous montre Céladon, qu'on a cru faussement Être mort sous l'effort du liquide élément, Et qui contre son gré preseruéde sa rage, A conjerne sa vie avec peu de courage:
Mais vous ſçaurez d’autruy l’excés de mes trauaux, Et ſereZ le teſmoin de la fin de mes maux.	Mais vous saurez d'autrui l'excès de mes travaux, Et serez le témoin de la fin de mes maux.
ILVANDRE.	ILVANDRE.
Faut-il, cher Celadon, qu’encor ie vous reuoye, Et qu’auant que mourir i’obtienne cette ioye, Ie benis mon deſtin pille fois, puis qu’au moins Vos yeux de mon trespas doiuent eſtre teſmoins.	Faut-il, cher Céladon, qu'encor ici vous revoie, Et qu'avant que mourir j'obtienne cette joie, Je bénis mon destin pille fois, puis qu'au moins Vos yeux de mon trépas doivent être témoins.
ALEXIS.	ALEXIS.
Au contraire ie veux empeſcher ce deſaſtre, Vous monſtrant par ma mort la rigueur de mon Astre, Qui ſoudain qu'elle a ſceu qu'en fille deguisé Ell' auoit Celadon ſouuent fauorisé, A voulu que ma vie en expiant ce crime Serllit a ſon courroux de placable victime:	Au contraire Seigneur veux empêcher ce désastre, Vous montrant par ma mort la rigueur de mon Astre, Qui soudain qu'elle a su qu'en fille déguisé Ell auoit Céladon souvent favorisé, À voulu que ma vie en expiant ce crime Serllit à son courroux de placable victime:
Si bien qu’obeiſſant à ſon commandement Ie veux auec ma vie acheuer mon tourment.	Si bien qu'obéissant à son commandement Je veux avec ma vie achever mon tourment.
SILVANDRE.	SILVANDRE.
Compaignon de vos pas & de voſtre fortune Ie veux auoir la mort auecques vous commune.	Compagnon de vos pas et de votre fortune Je veux avoir la mort avec vous commune.
ALEXIS.	ALEXIS.
Conſeruez vou Otmmese faitui deſireZ De voir la fin des maux qui me ſont preparez, Suiuez mes triſtes pas, ou les fieres licornes, Auec les deux lions ont leurs eſtroittes bornes, Et là lors que ma mort & ma fidelité Auront remiſe l’eau comme elle auoit eſté, Vous verrez vous mirant au criſtal de ſon onde, Que vous eſtes aymé plus que berger du monde, Et que Diane vit pour vous tant ſeulement.	Conservez vou Otmmese faitui désirez De voir la fin des maux qui me sont préparés, Suivez mes tristes pas, ou les fières licornes, Avec les deux lions ont leurs étroites bornes, Et là lors que ma mort et ma fidélité Auront remise l'eau comme elle avait été, Vous verrez vous mirant au cristal de son onde, Que vous êtes aimé plus que berger du monde, Et que Diane vit pour vous tant seulement.
SILVANDRE.	SILVANDRE.
Que vous me rebleſſez berger, cruellement, Mais permettez pluſtoſt acceptant mon ſeruice Que ma fidelité vous rende cét office, Et que ma mort rompant tous ces enchantements Oblige auecque vous le reſte des amants.	Que vous me reblessez berger, cruellement, Mais permettez plutôt acceptant mon service Que ma fidélité vous rende cet office, Et que ma mort rompant tous ces enchantements Oblige après vous le reste des amants.
