TRAGICOMEDIE PASTORALLE,	TRAGICOMEDIE PASTORALLLE,
Ie ne ſçay car ayant cognu ſa tromperie, Fachee iuſtement de ſon effronterie, Soudain mon deplaiſir la dereſté ſi fort, Que mon commandement a prononcé ſa mort.	Je ne sais car ayant connu sa tromperie, Fachèse justement de son effronterie, Soudain mon déplaisir la deresté si fort, Que mon commandement a prononcé sa mort.
De ſorte que ie croy que ſon obeiſſance Aueſia par ja mort Venge mon innocence, Iugez de la ma ſœur ſi ie doy recourir A d’autre allegement qu'à me faire mourir.	De sorte que je crois que son obéissance Auesia par ja mort Venge mon innocence, Jugez de la ma sœur si grande dois recourir A d'autre allégement qu'à me faire mourir.
Diane.	Diane.
Il eſt vray, vos douleurs ont tunt de rictence Qu'on ne les peuſt ſouffrir & garderle ſilence, Mais elles ne ſont pas dans cette extremité, Que leûr exces doiue eſtre en la mort limite.	Il est vrai, vos douleurs ont tunt de rictence Qu'on ne les pût souffrir et garderle silence, Mais elles ne sont pas dans cette extrémité, Que leûr excès doive donner en la mort limite.
Aſtree.	Astreée.
C'est pourtant le plus ſeur, & le plus doux remede, Qui dans ce triſte eſtat ſe preſente à mon aide.	C'est pourtant le plus sûr, et le plus doux remède, Qui dans ce triste état se présente à mon aide.
Diane.	Diane.
20 Vous eſtes donc ma ſœur, reſolue au treſpas.	20 Vous êtes donc ma sœur, résolue au trépas.
Aſtree.	Astreée.
Dianc.	Dianc.
Tour à faict, & moy d’eſtre attachee à vos pas, Et veux auecques vous dans la fin de ma vie Trouuer la fin des maux dont ie ſuu pourſuiuie.	Tour à fait, et moi d'être attachée à vos pas, Et veux avec vous dans la fin de ma vie Trouver la fin des maux dont votre sujet poursuivie.
Aſtree.	Astreée.
Ie ne veux pas pourtant que ma iuſte douleur Meſle voſtre fortune auecques mon malheur.	Je ne veux pas pourtant que ma juste douleur Mêle votre fortune avec mon malheur.
Diane.	Diane.
La mort eſt ma fortune auſsi bien que la voſtre.	La mort est ma fortune aussi bien que la vôtre.
Vous auez vn ſubiet, i’en ay de meſme vn autre, Et puis que mon deſtin me contraint auiourd’huy De quitter mon Siluandre, ou mourir auec luy, Que le ciel pour compagne à baris m’a donnee Don ie purparmamurrompre cét Himenee?	Vous avez un sujet, j'en ai de même un autre, Et puis que mon destin me contraint aujourd'hui De quitter mon Silvandre, ou mourir quelque homme, Que le ciel pour compagne à baris m'a donnée Don on purparmamurrompre cet Himenee?
La mort dernier eſpoir que le ciel peuſt offrir, A ceux qui font laſjez de trop long temps ſouffrir.	La mort dernier espoir que le ciel pût offrir, À ceux qui font lasjez de trop long temps souffrir.
Auree.	Aurée.
Sans perdre donc le temps en des paroles vainei, Allons par noſtre mort donner fin à nos peines.	Sans perdre donc le temps en des paroles vainei, Allons par notre mort donner fin à nos peines.
Diane.	Diane.
Allons, mais il faudroit quelque treſpas choiſir, Qui ſe tuouue conforme à noſtre deſplaiſir,	Allons, mais il faudrait quelque trépas choisir, Qui se tuoue conforme à notre déplaisir,
Aſtree.	Astreée.
La fontaine d’amour icy pres enchantee Par noſtre deſeſpoir des auiourd’huy tentee.	La fontaine d'amour ici pres enchantée Par notre désespoir des aujourd'hui tente.
Nous fournira dequoy nos triſtes iours finir, Et rendre noſtre nom durable à l’aduenir, Que ſi par le treſpas d’vne fidelle amante Nous deuons voir la fin du pouuoir qui l’en chante, Ie receuray ce bien de ma fraeute, De la rendre acceſsible à la poſterite.	Nous fournira dequoy nos tristes jours finir, Et rendre notre nom durable à l'avenir, Que si par le trépas d'une fidèle amante Nous devons voir la fin du pouvoir qui l'en chante, Je recevrai ce bien de ma fraîte, De la rendre accessible à la postérité.
Diane.	Diane.
Les lyons de ſa garde & les fortes licornes Nous feront bien ſentir leurs ongles & leurs cornes;	Les lions de sa garde et les fortes licornes Nous feront bien sentir leurs ongles et leurs cornes;
Mais que par noſtre mort on puiſſe librement Voir dans ſon froid criſtal les ruſes d’vn amant, Nullement puis qu’il faut qu’vn amoureux fidelle Reçoine auecques nous leur bleſſeure mortellé:	Mais que par notre mort on puisse librement Voir dans son froid cristal les ruses d'un amant, Nullement puis qu'il faut qu'un amoureux fidèle Reine avec nous leur blessure mortellé:
Et le fidelle amant ne ſe retrouue pas.	Et le fidèle amant ne se retrouve pas.
Aſtree.	Astreée.
L'effort plus grand eſt fait auecques mon trespas, Mais vous, ma chere ſœur, perte ceite manie.	L'effort plus grand est fait avec mon trépas, Mais vous, ma chère sœur, perte ceite manie.
Dianc.	Dianc.
Non, non, ie veux mourir en voſtre compagnie.	Non, non, ie veux mourir en votre compagnie.
SCENN IROISTESME.	SCEN JROISTESME.
Siluandre, Alexis.	Silvandre, Alexis.
Siluandre ſeul.	Silvandre seul.
Ve l'eſtat des mortels conduit aueuglement, Mõtre en moy les effects de ſon dereiglemẽt:	Ve l'état des mortels conduit aveuglement, Maître en moi les effets de son dérèglement:
Puis qu'on n’eſtime point l’homme au ſiecle où nous ſommes, Que par les biens tous ſeuls qui ne ſont point aux hommes, Paris, parce qu’il est de naiſſance puiſſant, Que ſon pert eſt d’honneurs, & de biens iouyſſane (Tant le monde auiourd’huy tient le party des vices Doit cueillir ſans trauail le fruict de mes ſeruices, Et moy pour n'eſtre pas ny riche, ny cognu, Apres beaucoup de ſoin en dois demeurer nu.	Puis qu'on n'estime point l'homme au siècle où nous sommes, Que par les biens tous seuls qui ne sont point aux hommes, Paris, parce qu'il est de naissance puissant, Que son pert est d'honneurs, et de biens jouissane (Tant le monde aujourd'hui tient le parti des vices Doit cueillir sans travail le fruit de mes services, Et moi pour n'être pas ni rive, ni connu, Après beaucoup de soin en dois demeurer nu.
O Diane, ô Bellinde, ô ciel impitoyable!	Ô Diane, ô Bellinde, ô ciel impitoyable!
De quel crime en naiſſant me trouuay-ie coupable Que tu m'ayes touſiours depuis perſecuté?	De quel crime en naissant me trouvai-je coupable Que tu m'ayes toujours depuis persécuté?
Mais, ô grands Dieux en fin vous l’auez arreſté, Diane eſt à Paris voſtre arreſt immuable, L’a faite corſentir à ce coup deteſtable, Comme il me fait außi conſentir à ma mort, Qui m’offre en ce malheur ſon fauorable port:	Mais, ô grands Dieux en fin vous l'avez arrêté, Diane est à Paris votre arrêt immuable, L'a faite corsentir à ce coup détestable, Comme il me fait aussi consentir à ma mort, Qui m'offre en ce malheur son favorable port:
Le fer & le poiſon me ſont vn bon remede, Mais leur effort eſt lent, & douteuſe leur ayde, Ce roc en precipice vn autre regardant, m’offre le ſeul ſecours que ie ſuis atrendant.	Le fer et le poison me sont un bon remède, Mais leur effort est lent, et douteuse leur aide, Ce roc en précipice un autre regardant, m'offre le seul secours que je suis atrendant.
Alexis.	Alexis.
A la fin me voila ſans autre compagnie, Que le ſeul deſeſpoir, & mon mauuais genie:	À la fin me voilà sans autre compagnie, Que le seul désespoir, et mon mauvais génie:
En fin rien ne m'empeſche icy de me donner Le treſpas que mon Aſtre a voulu m'ordonner:	En fin rien ne m'empêche ici de me donner Le trépas que mon Astre a voulu m'ordonner:
Meurs, dit-elle, Alexis, helas cette parole, Quoy que dure pourtant, maintenant me conſole, Ie puis executant ſon cruel mandement Finir les longs ennuis d’vn malheureux amant:	Meurs, dit-elle, Alexis, hélas cette parole, Quoi que dure pourtant, maintenant me console, Je puis exécutant son cruel mandement Finir les longs ennuis d'un malheureux amant:
Mouros, mais pour mourir çõme l’on m'a veu viur Ie veux que ma mort ſerue aux vrays amants d’vn liure.	Mouros, mais pour mourir çõme l'on m'a vu vivr Je veux que ma mort serve aux vrais amants d' liure.
Siluandre.	Silvandre.
Ce rocher eſt bien rude & faſcheux à monter, Il faut ſon aſpreté toutefois ſurmonter.	Ce rocher est bien rude et fâcheux à monter, Il faut son âpreté toutefois surmonter.
Alexis.	Alexis.
Et me rendre aux mortels à iamais memorable, En rendant au public vn ſeruice notable, La fontaine d’amour offre à ma loyaute, Le ſalaire & l’honneur que i’en ay merité.	Et me rendre aux mortels à jamais mémorable, En rendant au public un service notable, La fontaine d'amour offre à ma loyauté, Le salaire et l'honneur que j'en ai mérité.
Mon ſang la rendra libre, & deſormais ſa glace Fera voir dans le cœur ce qu’on cache en la face:	Mon sang la rendra libre, et désormais sa glace Fera voir dans le cœur ce qu'on cache en la face:
Vijent donit pourtant mnelerient en fagpens.	Vijent doncit pourtant mnelerient en fagpens.
Siluandre.	Silvandre.
Courage, me voila tantoſt où ie pretens.	Courage, me voilà tantôt où tu prétends.
Alexis.	Alexis.
L'enchantement eſt tel, qu’il faudroit qu’vne belle, Qui touſiours euſt bruſté d’vne flamme fidelle, Mouruſt pour le finir comme moy conſtamment, Et l’on void ces beautez parétre rarement.	L'enchantement est tel, qu'il faudrait qu'une belle, Qui toujours eût brusté d'une flamme fidèle, Mourut pour le finir comme moi constamment, Et l'on voit ces beautés paraître rarement.
Siluandre.	Silvandre.
Enfen Siluandre, enfin voicy le precipice, Qui te doit deliurer de ton cruel ſupplice:	Enfens Siluandre, enfin voici le précipice, Qui te doit délivrer de ton cruel supplice:
Enfin voicy le roc, d’où te precipitant, Ta vas de ton deſtin les efforts abbatant.	Enfin voici le roc, d'où te précipitant, Ta vas de ton destin les efforts abattant.
Alexis.	Alexis.
La reſolution en oſt toutefois priſe, I’auray l’honneur d’auoir commencé l’entrepriſe.	La résolution en ost toutefois prise, J'aurai l'honneur d'avoir commencé l'entreprise.
Siluandre.	Silvandre.
Diane ſi ma mort vient iuſqu’à vous vn iour, Dõnez-luy pour le moins quelques larmes d’amour	Diane si ma mort vient jusqu'à vous un jour, Donnez-lui pour le moins quelques larmes d'amour
Alexis.	Alexis.
Mon oreille me trompe, où i’entens quelque plainte.	Mon oreille me trompe, où j'entends quelque plainte.
NR.	NR.
Et ſoyez de pitié pour mon ſubiect atteinte.	Et soyez de pitié pour mon sujet atteinte.
Alexis.	Alexis.
chercher Mais que voy-ie, ô grands Dieux, qu'eſt-ce que peis Siluandre en ſe pleignant ſur cet affreux rocher?	chercher Mais que vois-je, ô grands Dieux, qu'est-ce que peis Silvandre en se pleignant sur cet affreux rocher?
Siluandre.	Silvandre.
Quel demon ennemy ſi longtemps me retarde?	Quel démon ennemi si longtemps me retarde?
Alexis.	Alexis.
Son œil tout égare deça dela regarde, Montons ſur le rocher afin de détourner Le trespas que ie croy qu'il ſe vueille donner.	Son œil tout égare deça déla regarde, Montons sur le rocher afin de détourner Le trépas que sans crois qu'il se veuille donner.
Siluandre.	Silvandre.
O Bellinde de qui l’extreme tyrannie, Sa iuste recompenſe à mon amour denie;	Ô Bellinde de qui l'extrême tyrannie, Sa juste récompense à mon amour dénie;
Si vous ſçauez vn iour la cauſe de ma mort, Ne donnez point de pleurs à mon malheureux fort.	Si vous savez un jour la cause de ma mort, Ne donnez point de pleurs à mon malheureux fort.
C’eſt aſſez, c'eſt aſſez, que ce rocher me pleure, Et que rouge à iamais de mon ſang ildemeure, Alexis.	C'est assez, c'est assez, que ce rocher me pleure, Et que rouge à jamais de mon sang ildemeure, Alexis.
Dieux Tout beau, tout beau Siluandre, arreſtez vous, les	Dieux Tout beau, tout beau Siluandre, arrêtés -vous, les
Ont ietté deſſus vous leurs fauorables yeux.	Ont jeté dessus vous leurs favorables yeux.
Siluandre.	Silvandre.
.	.
Pitoyable Alexis, quet uemon peu propice Me fait rendre par vous bors de temps cet office?	Pitoyable Alexis, quet uémon peu propice Me fait rendre par vous bors de temps cet office?
Alexis.	Alexis.
Sans doute le demon le plus ſoigneux de vous.	Sans doute le démon le plus soigneux de vous.
Siluandre.	Silvandre.
Mais plustoſt l’ennemy de mon repos plus doux.	Mais plutôt l'ennemi de mon repos plus doux.
allentas Quoy que s'en ſoit enfin ie rompray voſtre enuie.	allentas Quoi que s'en soit enfin un romprai votre envie.
Siluandre.	Silvandre.
Que vous me faites tort de prolonger ma vie, Puis que vous ſçauez bien que voſtre frere obtient Le bien qui par amour à moy ſeul appartient.	Que vous me faites tort de prolonger ma vie, Puis que vous savez bien que votre frère obtient Le bien qui par amour à moi seul appartient.
Alexis.	Alexis.
Siluandre mon habit en ſa fauſſe apparence, Sous le nom d’Alexis contre vostre esperance Vous monſtre Celadon, qu’on a creu fauſſement Eſtre mort ſous l’effort du liquide element, Et qui contre ſon gré preſerué de ſa rage, A conſerué ſa vie auec peu de courage:	Silvandre mon habit en sa fausse apparence, Sous le nom d'Alexis contre votre espérance Vous montre Céladon, qu'on a cru faussement Étre mort sous l'effort du liquide élément, Et qui contre son gré preservé de sa rage, A conservé sa vie avec peu de courage:
Mais vous ſçaurez d’autruy l’excés de mes trauaux, Et ſerez le teſmoin de la fin de mes maux.	Mais vous saurez d'autrui l'excès de mes travaux, Et serez le témoin de la fin de mes maux.
Siluandre.	Silvandre.
Faut il, cher Celadon, qu’encor ie vous reuoye, Et qu’auant que mourir i’obtienne cette ioye, Ie benis mon deſtin mille fois, puis qu’au moins Vos yeux de mon trespas doiuent eſtre teſmoins.	Faut -il, cher Céladon, qu'encor ici vous revoie, Et qu'avant que mourir j'obtienne cette joie, Je bénis mon destin mille fois, puis qu'au moins Vos yeux de mon trépas doivent être témoins.
Alexis, Au contraire ie veux empeſcher ce deſaſtre, Vous monſtrãt par ma mort la rigueur de mõ Aſtre,	Alexis, Au contraire quelque veux empêcher ce désastre, Vous monstrãt par ma mort la rigueur de mon Astre,
K iij Qui ſoudain qu'elle a ſceu qu’en fille deguisé Ell’auoit Celadon ſouuent fauorisé, A voulu que ma vie en expiant ce crime Seruit à ſon courroux de placable victime:	À jij Qui soudain qu'elle a su qu'en fille déguisé Ell auoit Céladon souvent favorisé, À voulu que ma vie en expiant ce crime Servit à son courroux de placable victime:
uu oren quedeijanna puummanuement Ie veux auec ma vie acheuer mon tourment.	uu oren quedeijanna puummanuement Je veux été ma vie achever mon tourment.
Siluandre.	Silvandre.
Compaignan de vos pas & de voſtre fortune Ie veux auoir la mort aueques vous commune.	Compagnan de vos pas et de votre fortune Je veux avoir la mort aueques vous commune.
Aſtree.	Astreée.
Conſeruez vous Siluandre, & ſi vous deſirez De voir la fin des maux qui me ſont preparez Suiuez mes triſtes pas, ou les fieres licornes, Auec les deux lyons ont leurs eſtoittes bornes, Et là lors que ma mort & ma fidelité Auront remiſe l’eau comme elle auoit eſté, Vous verrez vous mirant au criſtal de ſon onde, Que vous eſtes aymé plus que berger du monde, Et que Diane vit pour vous tant ſeulement.	Conservez -vous Siluandre, et si vous désirez De voir la fin des maux qui me sont préparez Suivez mes tristes pas, ou les fières licornes, Avec les deux lions ont leurs estoittes bornes, Et là lors que ma mort et ma fidélité Auront remise l'eau comme elle avait été, Vous verrez vous mirant au cristal de son onde, Que vous êtes aimé plus que bergères du monde, Et que Diane vit pour vous tant seulement.
