A MONSEIGNEVR DE MONTMORENCY, Duc, Pair, & prallu frullhrar de France, &c.	À MONSEIGNEUR DE MONTMORENCY, Duc, Pair, et prallu frullhrar de France, etc.
Et c'eſt par où pluſtoſt la mienne doit finir, Mon ſalut & le leur giſt à les bien punir, A leur faireſentir vne peine exemplaire Qui les remette apres au ſoucy de me plaire, A quoy ſe reſoudra mon eſprit balancé, Si ie la fais mourir ſon treſpas auancé.	Et c'est par où plutôt la mienne doit finir, Mon salut et le leur gît à les bien punir, À leur fairesentir quelque peine exemplaire Qui les remette après au souci de me plaire, A quoi se résoudra mon esprit balancé, Si tu la fais mourir son trépas avancé.
Pourra porter mon fils à des termes tragiques, Il vaut mieux ſe ſeruir des remedes magiques, Ce beau couple amoureux en fin ne mourra pas, Mais ce qu’il doit ſouffrir eſt plus que le trespas;	Pourra porter mon fils à des termes tragiques, Il vaut mieux se servir des remèdes magiques, Ce beau couple amoureux en fin ne mourra pas, Mais ce qu'il doit souffrir est plus que le trépas;
Car pour rendre la peine à la faute aſſortie L’eſprit en ſouffrira la meilleure partie.	Car pour rendre la peine à la faute assortie L'esprit en souffrira la meilleure partie.
.	.
.	.
.	.
4 ------	4 -ce-
SCENE II.	SCÈNE II.
TDEMDTIIE.	TDEMDTIE.
THELAME.	THÉLAME.
Iie t’euſſe treuuee encore ce matin ſti OEn ta mauuaiſe humeur, i’acheuois mon de Ce n'eſt pas du pouuoir des Parques qu’il releu En toy ſeule il commence, en toy ſeule il s'acheu Bons Dieux, quãd ie t’ouys parler ſi froidemen Quand ie vis mon amour traitté ſi rudement, De combien de couleurs me fut la face peinte:	Jie t'eusse trouve encore ce matin sti ONt ta mauvaise humeur, j'achevais mon de Ce n'est pas du pouvoir des Parques qu'il relu En toi seule il commence, en toi seule il s'ache Bons Dieux, quand ie t'ouï parler si froidemen Quand ie vis mon amour traité si rudement, De combien de couleurs me fut la face peinte:
LVIE.	LVIE.
Ne te doutois-tu point que ce fuſt vne feinte?	Ne te doutais-tu point que ce fût une feinte?
THELAME.	THÉLAME.
Non, car ie le croyois, ignorant que i’eſtois Du ſujet pour lequel tu me perſecutois:	Non, car tu le croyais, ignorant que j'étais Du sujet pour lequel tu me persecutois:
Mais dés que i’eus pris garde aux traicts de ton viſage, P'entray dans les frayeurs d’vn ſiniſtre preſage, Sur tout ie cognus bien que c’eſtoit tout à bon H pors que tu t'enfoncas dans le petit vallon, Ilors certes alors tu fus mal aſſeuree de la ſueiue que letauoniuree.	Mais dès que j'eus pris garde aux traits de ton visage, P'entrai dans les frayeurs d'un sinistre présage, Sur tout tu connus bien que c'était tout à bon H ors que tu t'enfonças dans le petit vallon, Ilors certes alors tu fus mal assurée de la sue que letauoniuree.
SYLVIE.	SYLVIE.
Il eſt vray que i’eus tort, mais ne t’ay-ie pas dit Comme quoy par les yeux ma raiſon ſe perdit, Quamue uequelle main la fraude fut tiſſue?	Il est vrai que j'eus tort, mais ne t'ai-je pas dit Comme quoi par les yeux ma raison se perdit, Quamue équelle main la fraude fut tissue?
En vn mot tu ſçais bien comme ie fus deceue.	En un mot tu sais bien comme ie fus déçue.
THELAME.	THÉLAME.
Apres tout ie ſon mon, ſe le tonrn'eſt ſhorit, Et ſi l’autheur außi n’a l’eſprit bien gentil.	Après tout personne son mon, se le tonrn'est shorit, Et si l'auteur aussi n'a l'esprit bien gentil.
SYLVIE.	SYLVIE.
Ce diſcours a duré trop long temps ce me ſemble, Cepum te puint tn tont ene nons somes enſemble Il a continue touſiours iuſques icy, Finiſſons-le mõcœur.	Ce discours a duré trop long temps ce me semble, Cépum te puint t ont ene nons somes ensemble Il a continue toujours jusques ici, Finissons-le moncœur.
TH.	TH.
Ie le veux mon ſoucy.	Je le veux mon souci.
SYLVIE.	SYLVIE.
Iche, Mõ Prince vous réuez, quelque choſe vous faſSi vous m’aimez encor faittes que ie le ſçache, Et que ie participe à voſtre affliction.	Iche, Mo Prince vous réuez, quelque chose vous fasSi vous m'aimez encor faites que ie le éclache, Et que ie participe à votre affliction.
THELAME.	THÉLAME.
Ma triſtreſſe ne vientque d’apprehenſon, I'ay peur que de noſtre heur le deſtin ne s’ennuïe Et qu’apres le beau tẽps ne nous vienne la pluïe La propoſition que i'ay receue du Roy Et ſon front menaçant me donnent de l’effroy.	Ma tristresse ne vient d'appréhenson, J'ai peur que de notre heur le destin ne s'ennue Et qu'après le beau temps ne nous vienne la pluie La proposition que j'ai reçue du Roy Et on front menaçant me donnent de l'effroi.
YLVIE.	YLVIE.
Que veut le Roy de vous?	Que veut le Roi de vous?
THEL.	THEL.
Ce qu’il en doit attendre Mais ce que mon humeur me defend de luy rer dre.	Ce qu'il en doit attendre Mais ce que mon humeur me défend de Seigneur rer ère.
SYLVIE.	SYLVIE.
Il vous veut marier.	Il vous veut marier.
TH.	TH.
Il veut ce que iama Il n’aura de Thelame, & ie te le promets, Syluie, auparauant que ce malheur m’arriue, Auant qu’vn autre object de ta beauté me priue Ces monſtrueux tõbeaux que nous voyons là ba Où giſent les autheurs de ces fameux combats Qui iuſques dans les Cieux eſleuerent l’audact Au lieu du feu qu’ils ont n’aurõt que de la glace Croy que la paßion que i’ay pour ta beauté Eſt bien loing de la feinte & de la nouueauté.	Il veut ce que jama Il n'aura de Thélame, et tu te le promets, Sylvie, auparavant que ce malheur m'arrive, Avant qu'un autre object de ta beauté me prive Ces monstrueux tombeaux que nous voyons là ba Où gisent les auteurs de ces fameux combats Qui jusques dans les Cieux élevèrent l'audact Au lieu du feu qu'ils ont n'auront que de la glace Croi que la passion que j'ai pour ta beauté Est bien loing de la feinte et de la nouveauté.
Et que ie ne ſuis point de ceux là qui pour gage De leur affection n’ont rien que le langage, Courtiſans effrontez, hypocrites, menteurs.	Et que personne ne suis point de ceux -là qui pour gage De leur affection n'ont rien que le langage, Courtisans effrontés, hypocrites, menteurs.
De qui l'amour conſiſte en des termes flateurs, Le mien aſſeurément eſt bien d’autre nature, Le temps qui mange tout luy fert de nourriture,	De qui l'amour consiste en des termes flatteurs, Le mien assurément est bien d'autre nature, Le temps qui mange tout seule sert de nourriture,
SYLVIE.	SYLVIE.
L’authorité du Roy pourra beaucoup ſur vous.	L'autorité du Roi pourra beaucoup sur vous.
THELAME.	THÉLAME.
I'ay de la ſympathie auecque les cailloux, Ie iette plus de feu lors que plus on me choque.	J'ai de la sympathie auecque les cailloux, Je jette plus de feu lors que plus on me choque.
SYLVIE.	SYLVIE.
Et le bien de l’Eſtat.	Et le bien de l'État.
THEL.	THEL.
C'eſt de quoy ie me mocque, I’aime bien mes ſubiets, ie ferois tout pour eux, Mais par raiſon d’Eſtat me rẽdre malheureux, C’eſt le dernier effect d’vne imprudence extreme Que tu ne voudrois pas me conſeiller toy meſme:	C'est de quoi je me moque, J'aime bien mes sujets, Elle ferais tout pour eux, Mais par raison d'État me rendre malheureux, C'est le dernier effet d'une imprudence extrême Que tu ne voudrais pas me conseiller toi -même:
Crois-tu que pour ſe voir dans vn Troſne doré D’vne preſſe idolatre à genoux adoré, On nage pour cela dans vn fleuue de ioye, Franche des mouuemens que la douleur enuoye?	Crois-tu que pour se voir dans un Trône doré D'une presse idolâtre à genoux adoré, On nage pour cela dans un fleuve de joie, Franche des mouvements que la douleur envoie?
Non non, fort peu ſouuent les ſolides bon-heurs Se fondent ſur l’eſclat des biens & des honneurs, Les vrais contentemens attachez aux perſonnes Ne ſuiuent que de loing la pompe des Couronnes, De moy quãd aujourd’huy ie me verrois chãge?	Non non, fort peu souvent les solides bonheurs Se fondent sur l'éclat des biens et des honneurs, Les vrais contentements attachés aux personnes Ne suivent que de loin la pompe des Couronnes, De moi quand aujourd'hui ie me verrais changé?
Ma qualité de Prince en celle de Berger, Pourueu qu’auecques toy ie coulaſſe la vie, Les Roys les plus contents me porteroient enuie, Außi quand on verroit l’vn & l’autre Soleil Faire dans mes pays ſon ſomme & ſon reſueïl, Gunstoy quefuiste tout uc mnu conne poriunt, Cette vaine grandeur me ſeroit importune.	Ma qualité de Prince en celle de Berger, Pourvu qu'avec toi était coulasse la vie, Les Rois les plus contents me porteraient envie, Aussi quand on verrait l'Un et l'autre Soleil Faire dans mes pays son somme et son resueïl, Guntoi quefuiste tout uc mu conne poriunt, Cette vaine grandeur me serait importune.
YLVIE.	YLVIE.
Sur tout que l’amitié que vous auez pour moy N’attire point ſur vous la colere du Roy.	Sur tout que l'amitié que vous avez pour moi N'attire point sur vous la colère du Roi.
THELAME.	THÉLAME.
Le conſeil en eſt pris, ie n'en ſçaurois deſmordre, l'iſpert que les Orene yuonneiont vonordre.	Le conseil en est pris, une n'en saurais démordre, l'ispert que les Orène yvonneiont vonordre.
Le chaud eſt violent, haſtons-nous de choiſir Quelque ombre où nous puißions nous parler à YLVIE.	Le chaud est violent, hâtons-nous de choisir Quelque ombre où nous pussy nous parler à YLVIE.
ſloiſir.	sloisir.
Ce vieux orme eſcarté nous preſente la ſienne, Comme la plus ſecrette & la plus ancienne.	Ce vieux orme écarté nous présente la sienne, Comme la plus secrète et la plus ancienne.
THELAME.	THÉLAME.
Que me ſeruent ces lieux de rafraichiſſement, Helas, puiſque par tout ie bruſle egalement?	Que me servent ces lieux de rafraîchissement, Hélas, puisque par tout apprendre brûle également?
Vois-tu comme cet' eau ſubtilement ſe roule, C’eſt de meſme façon que noſtre âge s’eſcoule, C’eſt ainſi que le temps s’enfuit d’vn pied leger, Si nous n’auons le ſoin de le bien meſnager, De feureijaguamens qui nous deuroient inſtrui	Vois-tu comme cet eau subtilement se roule, C'est de même façon que notre âge s'écoule, C'est ainsi que le temps s'enfuit d'à -dire léger, Si nous n'avons le soin de le bien ménager, De feureijaguamens qui nous devraient instrui
SYLVIE.	SYLVIE.
Ire.	Ire.
Malicieux, i'entends ce que vous voulez dire, Mais donneZ vous loiſir d’eſcouter vn diſcours Qui ne ſera ſinon de matiere d’amours:	Malicieux, j'entends ce que vous voulez dire, Mais donnez -vous loisir d'écouter un discours Qui ne sera sinon de matière d'amours:
Au temps que la Nature habille les bocages, Vn Paſteur eſtranger vint en nos paſturages, La beauté d’vn pays & d’vn climat ſi deux Außi toſt l’obligea de viure parmy nous, Le bruit de ſes vertus & de ſon bon meſnage Le fit bien toſt cognoiſtre à tout le voiſinage, Chacun le cheriſſoit, & les biens à foiſon En tout temps cõme flots couloient dãs ſa maiſon:	Au temps que la Nature habille les bocages, Un Pasteur étranger vint en nos pâturages, La beauté d'un pays et d' climat si deux Aussi tôt l'obligea de vivre parmi nous, Le bruits de ses vertus et de son bon ménage Le fit bien tôt connaître à tout le voisinage, Chacun le chérissait, et les biens à foison En tout temps comme flots coulaient dans sa maison:
Il auint que le iour d’vne certaine feſte, Où des plus belles fleurs chacun couure ſa teſte, Où ſans ſe ſoucier d’aigneaux ny de brebis Tout le monde ſe met en ſes plus beaux habits, Amour luy fit ietter les yeux ſur vn viſage nide taucerie iuyſ perdret vjage.	Il auint que le jour d'une certaine fête, Où des plus belles fleurs chacun couvre sa tête, Où sans se soucier d'aigneaux ni de brebis Tout le monde se met en ses plus beaux habits, Amour lui fit jeter les yeux sur un visage nide taucerie juis perdre vjage.
THELAME.	THÉLAME.
A propos n’as-tu point taſche de retenir Soigneuſement leurs noms dedans ton ſouuent	À propos n'as-tu point tâche de retenir Soigneusement leurs noms dedans ton souvent
Y LVIE.	Y LVIE.
Le Berger auoit nom le fortuné Nicandre.	Le Berger avait nom le fortuné Nicandre.
Et la fille Delie.	Et la fille Délie.
Or acheuez d’entendre, Ce nouuel amoureux ſe retire touché Du pire traict qu'Amour ait iamais decoché:	Or achevez d'entendre, Ce nouvel amoureux se retire touché Du pire trait qu'Amour ait jamais décoché:
Voila qu’il perd le ſoin de ſa meſnagerie, Il n’a plus l’œil ouuert deſſus ſa Bergerie, Les troupeaux & le maiſtre empirent peu à peu Il bruſle nuict & iour d’vn inuiſible feu, C’eſt à regret qu’il boit, c’eſt à regret qu’il mãge On ne ſçait d’où luy vient ce chãgement eſtrãge En fin ne prenant plus ny ſommeil ny repos.	Voilà qu'il perd le soin de sa ménagerie, Il n'a plus l'œil ouvert dessus sa Bergerie, Les troupeaux et le maître empirent peu à peu Il brûle nuit et jour d'un invisible feu, C'est à regret qu'il boit, c'est à regret qu'il menge On ne sait d'où lui vient ce chãgement étrange En fin ne prenant plus nisommeil ny repos.
Vn ſoir il rencontra ſa Bergere à propos, Le mal qui le preſſoit l’obligea de luy dire D’vne tremblante voix l'excez de ſon martyre La priant à genoux d’auoir pitié de luy, Autrement que la mort gueriroit ſon ennuy	Un soir il rencontra sa Bergère à propos, Le mal qui le pressait l'obligea de jours dire D'une tremblante voix l'excès de son martyre La priant à genoux d'avoir pitié de lui, Autrement que la mort guérirait son ennui
En vn mõt il fit tant que la ſimple Bergere Agrea ſur le champ ſon amour paſſageres 95 Il chaſſe tout chagrin, & traitte auecques ſoin Ses troupeaux, qui ſans doute en auoiẽt bõ beſoin:	En un mont il fit tant que la simple Bergère Agréa sur le champ son amour passagères 95 Il chasse tout chagrin, et traite auecques soin Ses troupeaux, qui sans doute en avaient bo besoin:
Cet amour eſclata ſi fort en ſa naiſſance Que preſque tout le mõde en eut la cognoiſſance, Leurs moutons qu’ils menoient aux lieux plus reculez Ainſi que leurs penſers eſtoient touſiours meſlez:	Cet amour éclata si fort en sa naissance Que presque tout le monde en eut la connaissance, Leurs moutons qu'ils menaient aux lieux plus reculez Ainsi que leurs pensers étaient toujours mêlés:
On ne voyoit graué ſur mainte eſcorce tendre Que le nom de Delie & celuy de Nicandre.	On ne voyait gravé sur mainte écorce tendre Que le nom de Délie et celui de Nicandre.
Parmy ces priuautez il arriua qu’vn iour Nicandre trauaillè du feude ſon amour Preſſa fort viuement l’honneur de ſa Bergere Auec tous les diſcours que la fraude ſuggere, Elle de qui l’eſprit n’eſtoit pas des plus forts Se rendit à la fin à de ſi longs efforts:	Parmi ces privautés il arriva qu'un jour Nicandre travailler du feude son amour Pressa fort vivement l'honneur de sa Bergère Avec tous les discours que la fraude sugère, Elle de qui l'esprit n'était pas des plus forts Se rendit à la fin à de si longs efforts:
Depuis de ſon Berger l’ardeur ſi violente Se perdoit chaque iour & deuenoit plus lente, Si bien qu’en peu de tẽps par vn certain dégouſs Ce trompeur deſloyal ne l’aima plus du tout.	Depuis de son Berger l'ardeur si violente Se perdait chaque jour et devenait plus lente, Si bien qu'en peu de temps par un certain dégouss Ce trompeur déloyal ne l'aima plus du tout.
Ie vous laiſſe à penſer ſi la melancholie Ne mit pas hors du ſens l’imprudente Delie.	Je vous laisse à penser si la mélancolie Ne mit pas hors du sens l'imprudente Délie.
