A.	A.
mais voyos queceſt que ceſi, Phálerine, le creſpenoir dont ce coffre eſt enuelopé me faict croire que c’eſt quelque choſe de lugubre, voicy ie ne ſçay quoy d’eſcrit, Angeralde Que ie liſe, Pilandre, I'enés Ncœur le Roy des cœurs, des ames, ues eſprits,	mais voyos quecêt que cezy, Phlerine, le crépenoir dont ce coffre est enveloppé me fait croire que c'est quelque chose de lugubre, voic ie ne sais quoi qu'écrit, Angeralde Que ainsi lise, Pilandre, J'ensez Ncœur le Roi des cœurs, des âmes, esprits,
F iinj 1 qui ne fut iamais pris & qui pouuoit tout prendre, Vn'flambeau tout bruſlant ores en peu de cendre, Par ceſte vrne eſt compris Paſſant ce cœur icy autre-fois andompté Estima la vertu, & detesta le vice, Iuge que te diſant, c'est celuy de Phenice Ce qu'il n'a poinct esté  Miſerable, [Phalerine O dieux il eſt mort, quel funeſte accident!	 Finjà 1 qui ne fut jamais pris et qui pouvait tout prendre, Vn'flambeau tout brûlant ores en peu de cendre, Par cette vrne est compris Passant ce cœur ici autre-fois andompté Estima la vertu, et détesta le vice, Juge que te disant, c'est celui de Phénice Ce qu'il n'a point été Misérable, [Phalerine Ô dieux il est mort, quel funeste accident!
aides moy à leſecourir, Antrult ris tu poulxas tuvie?	aides -moi à lesecourir, Antrult ris tu poulas tuvie?
Phalerine.	Phalerine.
Coures promptement à ceſte fon.	Coures promptement à cette son.
mreſelpere.	mreselpère.
taine, iecrains que l'excez dela douleur ne l’aye eſtouſèdieux qu’ail euquiluyayẽpeu cauſer vn ſi ſoudain ſpame?	taine, Seigneur que l'excès déla douleur ne l'aie estousèdieux qu'ail euquiluyayẽpeu causer un si soudeur spame?
ie veux voir helas ceſt le cœur de Phenice, ô trop triſte & fun eſte rencontre, ô cœur trop fatal aux miſeres de ce gentil Paſteur tauvie la geſne ta mont le tue, Philandre voicy de l’eau, Phalerine, Artouſe luy legerement le viſage, ie luy vay hauſſer la teſteſſur mes genoux, Floridor.	ie veux voir hélas cette le cœur de Phénice, ô trop triste et fun este rencontre, ô cœur trop fatal aux misères de ce gentil Pasteur tauvie la gêne ta mont le tue, Philandre voici de l'eau, Phalerine, Artouse lui légèrement le visage, ie luy vais hausser la testessur mes genoux, Floridor.
Quel accident eſt cercy?	Quel accident est cerci?
ce Satire à il mis ce Paſteur en l’eſtat où ie le voy?	ce Satire à il mis ce Pasteur en l'état où tu le vois?
Phalerine non non autre que luy ne pouuoit triomphero de duy l’excés, de F y ſon amour, & la miſerable rencontre du cœur de Phenice, que la Nimphe qu’il a deliurée d’entre les mains de ce Satire, portoit ſur le poinct qu’il ſembloit à demy reſolu de quiter ces cruelles illuſions la mis en l’eſtat ou tu le vois.	Phalerine non non autre que lui ne pouvait triomphero de dui l'excès, de FAL y son amour, et la misérable rencontre du cœur de Phénice, que la Nymphe qu'il a délivrée d'entre les mains de ce Satire, portait sur le point qu'il semblait à demi résolu de quit ces cruelles illusions la mis en l'état ou tu le vois.
Floridor.	Floridor.
Miſerable fexe, ce ſont là des effects de voſtre pouuoir, ce Paſteur eſtà plaindre.	Misérable sexe, ce sont là des effets de votre pouvoir, ce Pasteur està plaindre.
Il euſt eſte a deſirer qu’il euſt eu plus de prudence & moins d’amour !	Il eût été a désirer qu'il eût eu plus de prudence et moins d'amour !
Panſatonde Et quoy ceſt homme meurt d’amour!	Pansatonde Et quoi cet homme meurt d'amour!
Philandre.	Philandre.
Helas!	Hélas!
il meurt d’amour & de regret.	il meurt d'amour et de regret.
Panſatonde, Et dequoy?	Pansatonde, Et dequoy?
Phiſandre, d’auon peidu cene L * T F C- - .	Phisandre, d'avon pidu cène L * T* T' EST- - .
Deſeſpere qu’il aymoit mieux que ſa vie.	Désespère qu'il aimait mieux que sa vie.
Panſatonde.	Pansatonde.
Eſtoit-ce vne femme?	Était-ce une femme?
Philandre.	Philandre.
Et quoy donc?	Et quoi donc?
les termes où ie te par le te le doiuent faire colliger Panſatonde, N’y en ailplus en ce pais?	les termes où ie te par le te le doivent faire colliger Pansatonde, N'y en ailus en ce pais?
Floridon.	Floridon.
Que trop.	Que trop.
Panſatonde, Voila vne magnifique follie, mourir poun la mort d’vne femme, mourir d’amour pour vne choſe morte, ſans poulx, ſans mouuement & ſans cognoiſſance, ie ne m'eſtonne pas ſi l’on mange ſi peu en ces deſerts, puis que l’on y a le cerueau ſu vuide?	Pansatonde, Voilà P magnifique follie, mourir poun la mort d'une femme, mourir d'amour pour une chose morte, sans poulie, sans mouvement et sans connaissance, tu ne m'étonne pas si l'on mange si peu en ces déserts, puis que l'on y a le cerveau su vid?
Ie n’ay iamais eſté ſur le 3 poinct de deſeſpoir qu’vne ſois.	Je n'ai jamais été sur le 3 point de désespoir qu'une sois.
, mais c’eſtoit pour choſe - qui en valloit la peine, mon maiſtre m’auoit dõné vn bon chapon, & ainſi comme ie me preparois à le manger, vn leurier vint me le rauir du plat, i’eſſayé de luydonner de mon couſteau, & ayant failly mon coup ieu le bras leué pour me le planter dans le ſeing, neantmoings ie me retins, [Floridor] Voila vn grand ſubject de deſeſpoir.	, retour c'était pour chose - aisein ait la peine, mon maître m'avait donné un bon chapon, et ainsi comme tu me préparais à le manger, un leur vint me le ravir du plat, j'essayé de luydonner de mon coûteau, et ayant failly mon coup jeu le bras lué pour me le planter dans le seing, neantmoings des me retins, [Floridor] Voilà un grand sujet de désespoir.
Phalerine,) Allés, allés n’affliges point les affligés.	Phalerine,) Allz, assez n'affliges point les affligés.
Panſatonde, ] Nayés peur que I le vous tiẽne plus long temps compagnie, la triſteſſe repugnante à mon humeur & la faim qui me tenaille les entrailles m’enpene les iambes, - - - -e-d - - ---:	Pansatonde, ] Nayez peur que I le vous tienne plus long temps compagnie, la tristesse répugnante à mon humeur et la faim qui me tenaille les entrailles m'enpène les jambes, - - - - - --:
i’ay trop peur que là maladie dont meurt celuy la, ne ſoit contagieuſe pour m’en approcher.	j'ai trop peur que là maladie dont meurt celui la, ne soit contagieuse pour m'en approcher.
Allons Floridor, tiens moy la promeſſe que tu m’as faicte de me remettre en chemin.	Allons Floridor, tiens -moi la promesse que tu m'as faite de me remettre en chemin.
Floridor,) Allons, à Dieu grande Phée, & vous paſteurs ie ſupplie le ciel qu’il vous redonne ce que i’eſtime bien eſgaré, Phalerine, A Dieu, vne compagnie peu charitable en afflictio eſt plus propre a fomenter la douleur qu’a la guerir, continue de luy arroſer le viſa ge Philandre Philandre, Cela n’y faict rien, ie le croy mort, Phalerine, Non non ſe le viens de ſentir treſ-  dMhut v 24 ſaillit?	Floridor,) Allons, à Dieu grande Phée, et vous pasteurs ie supplie le ciel qu'il vous redonne ce que j'estime bien égaré, Phalerine, À Dieu, une compagnie peu charitable en afflictio est plus propre a fomenter la douleur qu'a la guérir, continue de Seigneur arroser le visa ge Philandre Philandre, Cela n'y fait rien, je le crois mort, Phaline, Non non se le viens de sentir es- dMhut y 24 saillit?
Mais ne voy-ie pas venir ceſt miſerablenimphe qui arecouſſe?	Mais ne vois-je pas venir cet miserablenimphe qui arecousse?
ie la penſe cognoiſtre, Pilandre, Ceſt philine a mon aduis, Phalerine, C’eſt elle de vray, Philine, Le ciel vous comble de bon heur, nimphe & vous paſteur, me ſcauriez vous dire où eſt ce berger à qui ie doy la vie & l’honneur & dont la main genereuſe & pitoyable m’a arrachée d’entre les bras de ce cruel Satire?	Les la pense connaître, Pilandre, Cest philine à mon avis, Phalerine, C'est elle de vrai, Philine, Le ciel vous comble de bon heur, nymphe et vous pasteur, me sauriez vous dire où est ce berger à qui ie vo la vie et l'honneur et dont la main généreuse et pitoyable m'a arrachée d'entre les bras de ce cruel Satire?
Phalerine Tu luy voy Philine, l’ame ſur les yeux pourt’auoir rendu ceſt office, Philine.	Phalerine Tu par vois Philine, l'âme sur les yeux pourt-avoir rendu cet office, Philine.
A il eſté bleſſé en ce conflict, moy miſerable qui cauſe, la mort à qui me dorllle lx Ve Thad H  lerine.	À il été blessé en ce conflict, moi misérable qui cause, la mort à qui me dorle l' Une Thad H érine.
Non, ce que tu portois, & que le Satire te fit tomber, eſtla cauſe de ce malheur.	Non, ce que tu portais, et que le Satire te fit tomber, étla cause de ce malheur.
Philine.	Philine.
C’eſt le cœur de Phenice, l'honneur, la gloire, & l’amour de ces foreſts.	C'est le cœur de Phénice, l'honneur, la gloire, et l'amour de ces forêts.
Angeralde.	Angeralde.
ha!	ha!
Philine) il vient de ſouſpirer, Phalerine:	Philine) il vient de soupirer, Phalerine:
i’ay bien peur que ce ne ſoit pour la dernierefois (Philine) mais n’e-ſce pas Angeralde?	j'ai bien peur que ce ne soit pour la dernièrefois (Philhine) mais n'e-ce pas Angeralde?
Ie penſe le recognoiſtre plutoſt par des faueurs que Phenice luy donna à ſa derniere veuë, qu’a nulle autre choſe:	Je pense le reconnaître plutôt par des faveurs que Phénice avait donna à sa dernière vue, qu'a nulle autre chose:
car veritablemẽt il n’a plus rien de vif, ny de recognoiſſable.	car véritablement il n'a plus rien de vif, ni de reconnaissable.
Philandre.	Philandre.
c’eſt luy.	c'est lui.
Philine.	Philine.
ha miſerable!	ha misérable!
quel deſaſtre t’a guidé pour tuer LO LLA -  auec ce Berger, toutes les vertus & les graces Quelle fatalité t’a conduit à priuer du iout, celuy pour la prolonga tion deſquelles tu auois preci pité ton voyage, ſi les eſprits ſeparès de nos corps ont quel.	quel désastre t'a guidé pour tuer LO LA - âme ce Berger, toutes les vertus et les grâces Quelle fatalité t'a conduit à priver du jout, celui pour la prolonga tion desquelles tu avais precy pité ton voyage, si les esprits séparés de nos corps ont quel.
que ſouuenir de ce qu’ilt laiſſent, s’ils ſont efmeuz de nos aecidens & paſſibles, quel re gret te touchera Phenice 2 quand tu ſçauras que i’ay oſté la vie à celuy dont tu m’auois ſi ardemment recommandé le ſalut:	que souvenir de ce qu'ilt laissent, s'ils sont efmeuz de nos aecidents et passibles, quel re gret te touchera Phénice 2 quand tu sauras que j'ai ôté la vie à celui dont tu m'avais si ardemment recommandé le salut:
tu craignois ſa mort plus que la tienne.	tu craignais sa mort plus que la tienne.
Tu t’afligeois de ſon dueil, & non de te voir mouriren lafleur de tes ans, bien que tu Iun t'enuie, l’admiration, & l’amour de tõ ſiecle, & mo mal’heur avou lu que le dictame que ie luy penſois aporter de ta part, luy aye ſeruy d’aconit, eſcoute ô Angeralde, ſi tu as encore quel que moment de vie, ſcaches que Phenice eſt ſeulle dignede toy, ſi la vertu ſe rencontroit auec la fortune, comme toy ſeul digne d’elle.	Tu t'afligeais de son deuil, et non de te voir mouriren lafleur de tes ans, bien que tu Jun t'envie, l'admiration, et l'amour de temps siècle, et mo malheur avou lu que le dictame que ie ans pensais apporter de ta part, lui aie servi d'aconit, écoute ô Angeralde, si tu as encore quel que moment de vie, scaches que Phénice est seulle dignede toi, si la vertu se rencontrait avec la fortune, comme toi seul digne 'elle.
Angeralde.	Angeralde.
ha miſerable, as tu veuë, as tu vie, ce nom adoré des mortels, ce nom par qui ſe nommoit en abbregé tout ce que le Ciel, & la nature auoient d’exquis, te reuocque il en ce corpsmal’heureux?	ha misérable, as tu vue, as tu vie, ce nom adoré des mortels, ce nom par qui se nommait en abrégé tout ce que le Ciel, et la nature avaient d'exquis, te revocque il en ce corpsmalheureux?
he laiſſes moy mourir.	hé laisses -moi mourir.
Philandre, Angeralde, ouure les yeux & voy ceſte eſplofée Philine que tu ſçais auoir ſceu les plus importans ſecrêts de ta chere Phenice preſte a s’immoler pres de toy, de qui elle vient encore de receuoirl’hõneur & la vie, ouſr tu es determine ata mort, voy moy en punir la cauſe, & entens quellesfurentles dernieres volõtez de Phenice, Angeralde, Ha!	Philandre, Angeralde, ouure les yeux et vois cette esplofée Philine que tu sais avoir su les plus importants secrêts de ta chère Phénice preste a s'immoler pres de toi, de qui elle vient encore de recevoirl'honneur et la vie, ousr tu es termine ata mort, vois moi en punir la cause, et entends quellesfurentles dernières volontés de Phénice, Angeralde, Ha!
Philine volõtiers quellea eſcri.	Philine volonstiers quellea écri.
tes de la main affin que tu n’ignoraſſes ny de ſon amour ny du deſir qu’elle auoit que tu la ſuruequiſſe, ie t’en coiure & proteſte de t’accuſer deuant les iuſtes dieux où elle eſt maintenant bien heureuſe d’auoir faict violance à ces derniers deſirs & a ta vie:	tes de la main afin que tu n'ignorasses ton de son amour ni du désir qu'elle avait que tu la suruequisse, Seigneur t'en coivre et proteste de t'accuser devant les justes dieux où elle est maintenant bien heureuse d'avoir fait violance à ces derniers désirs et a ta vie:
ie m’aſſeure qu’elle reuiendroit icy bas s’il luy eſtoit permis pour te prier de viure.	Elle m'assure qu'elle reviendrait ici bas s'il lui avait permis pour te prier de vivre.
Angeralde, de viure qu’elle inelemence?	Angeralde, de vivre qu'elle inèlemence?
Philine, Elle a ſouhaité cela de toy pour vne der niere & extreme preuue de tõ amour, conſideres que le maquement que tu y feras hhira ta gloire & l’honneur que t’a acquis ton obeiſſance & fidelité:	Philine, Elle a souhaité cela de toi pour une der nière et extrême preuve de tomb amour, considères que le maquement que tu y feras hira ta gloire et l'honneur que t'a acquis ton obéissance et fidélité:
ſi tu ne veux viure pour toyque ce ſoit pour ce qu’elle l’a ordonné faiſant voir que viue & morte ſes volontés te ſont inuiolables.	si tu ne veux vivre pour toique ce soit pour ce qu'elle l'a ordonné faisant voir que vive et morte ses volontés te sont inviolables.
Angeralde, Viure ha quelle vie!	Angeralde, Vivre ha quelle vie!
Phalerine.	Phalerine.
Trouuons moyen de l’oſter d’icy & enuoyons querir Targante Philandre, C’eſt bien dict le repos le pourra r’amener.	Trouvons moyen de l'ôter d'ici et envoyons quérir Targante Philandre, C'est bien dict le repos le pourra ramener.
