LA DRIADE AMOVREVSE, PASTORALLE.	LA DRYADE AMOUREUSE, PASTORALLE.
Or puis que nous auons entendu bons propos, Allons paracheuer nostre amour en repos.	Or puis que nous avons entendu bons propos, Allons parachever notre amour en repos.
TROISTEBME ACTEZ	TROISTEBME ACTE
SCENE I.	SCÈNE I.
Melice.	Mélice.
Satyre.	Satire.
Cidon.	Cidon.
Melice.	Mélice.
Vis que ie recognois qu’en cette terre baſſe Tout le plus grand plaiſir, ainſi que vent, ſe puſſe, Et que tout le trauail qu’on prend a l’acquerir, Aprez ne le peut-pas empeſcher de perir:	Vis que ici reconnais qu'en cette terre basse Tout le plus grand plaisir, ainsi que vent, se pusse, Et que tout le travail qu'on prend à l'acquérir, Aprez ne le peut-pas empêcher de périr:
Que celà qui commence enfin est tranſitoire, Et que le faulx du temps a ſur luy la victoire, Eſtant l’arreſt d’aimant du grand Dieu de tout bien, Qui iadis compoſa cet vniuers de rien, Et qui ſans ceſſe encor par ſa vertu diuine, L’empeſche de tomber en deſordre & ruyne:	Que celà qui commence enfin est transitoire, Et que le faulx du temps a sur même la victoire, Étant l'arrêt d'aimant du grand Dieu de tout bien, Qui jadis composa cet univers de rien, Et qui sans cesse encor par sa vertu divine, L'empêche de tomber en désordre et ruine:
Et que nous ne gouſtons vn plaiſir ſi comblé De ioye, qu’il ne ſoit à tous moments troublé De diuers accidents, & que la peine priſe, Ne domte la douceur en ſe ſubiet acquiſe.	Et que nous ne goûtons un plaisir si comblé De joie, qu'il ne soit à tous moments troublé De divers accidents, et que la peine prise, Ne domte la douceur en se sujet acquise.
Parquoyſi l’on eſtoit & ſage, & bien apris, L’on ne mettroit ſi fort à nul bien ſes eſpris:	Parquoisi l'on était et sage, et bien appris, L'on ne mettrait si fort à nul bien ses épris:
L’on le poſſederoit ſans ſe donner de peine, s’il ſentoit les efforts de la fortune humaine, Nen-plus que l’on auoit pour ce d’affliction	L'on le posséderait sans se donner de peine, s'il sentait les efforts de la fortune humaine, Nen-plus que l'on avait pour ce d'affliction
Auant qu’il fuſt tombé en la poſſeßion:	Avant qu'il fût tombé en la passion:
Non qu’il faille en ce fait vſer de negligence, Pour en auoir aprez vne triſte indigence:	Non qu'il faille en ce fait user de négligence, Pour en avoir aprez une triste indigence:
Mais il faut le preuoir deuant faire marcher, Puis aprez s’il ſe pert, il ne faut s’en faſcher, Mais quoy, que dy-ie?	Mais il faut le prévoir devant faire marcher, Puis apprès s'il se pert, il ne faut s'en fâcher, Mais quoi, que dis-je?
las!	las!
le mortel miſerable, De ſi grande vertu n’est-pas aſſez capable:	le mortel misérable, De si grande vertu n'est-pas assez capable:
Bien que celuy qui tient le ciel pour ſa maiſon, L’ait fait participant de diuine raiſon Sur tout autre animal, voulant qu’en ſon ouurage, I’homme tant ſeullement fut ſon viuant image.	Bien que celui qui tient le ciel pour sa maison, L'ait fait participant de divine raison Sur tout autre animal, voulant qu'en son ouvrage, J'homme tant seullement fut son vivant image.
Nous allons reſſemblant au Medecin qui ſain, Guarit le patient qui a la mort au ſein:	Nous allons ressemblant au Médecin qui sain, Guarit le patient qui a la mort au sein:
Mais qui ſe voyant pris de quelque maladie, Pour ſe guarir luy meſine, a la main engourdie, Et perdant le courage est le but d’Atropos, Encor qu’au parauant il eust braues propos.	Mais qui se voyant pris de quelque maladie, Pour se garir lui mesine, à la main engourdie, Et perdant le courage est le but d'Atropos, Encore qu'au paravant il eût braves propos.
4 Ha que Dieu nous eust faitsaux ennuis incenſibles Pour, helas!	4 Ha que Dieu nous eût faitsaux ennuis incensibles Pour, hélas!
ne ſentir des tourmens ſi terribles, Qui maintenant me fant à tous moments mourir, Sans auoir le pouuoir, las!	ne sentir des tourments si terribles, Qui maintenant me fant à tous moments mourir, Sans avoir le pouvoir, las!
de me ſecourir:	de me secourir:
Mais il ne la voulu, afin que noſtre race Ne prist d’vn ſi grand bien, vne trop fole audaces Or bien puis que ſe fut ſa bonne volonté Que l’humain fust ſubiet à toute aduerſité, Iuſqu’à tant que ſon corps fust giſant ſous la lame, Et qu’en l’Olimpe ſaint ſoit bourgeoiſe ſon ame.	Mais il ne la voulu, afin que notre race Ne prît d'un si grand bien, une trop sole audaces Or bien puis que se fut sa bonne volonté Que l'humain fût sujet à toute aduersité, Jusqu'à tant que son corps fut gisant gît la sou, La n'en l'Olimpe saint soit bourgeoise son âme.
Ie veux pour n’endurer deſormais de l’ennuy, Aller ſeruir Diane, & meſmes ce iourdhuy, Prucuuſſer du tout, las!	Je veux pour n'endurer désormais de l'ennui, Aller servir Diane, et mêmes ce iourdhuy, Prucusser du tout, las!
cette vie actiue, N’aymant d’oreſnauant que la contemplatiue.	cette vie active, N'aimant d'oresnavant que la contemplative.
Adiou done monde, adieu, pipeur & menſonger, Protheen inconſtant plus que le vent leger, Qui ne peut demeurer vn iour en vne forme, ij Non-plus que ne le peut la Deeſſe Triforme, Et toy Terpin ſubiet de ma conuertion, Qui cruel as trompé ma naifue affection, Reçois außi l’adieu de Melice fidelle, Bien que tu ſois abſent maintenant, & loin d’elle.	Ajoute done monde, adieu, pipeur et mensonger, Prothéne inconstant plus que le vent léger, Qui ne peut demeurer un jour en une forme, ij Non-plus que ne le peut la Déesse Triforme, Et toi Terpin sujet de ma convertion, Qui cruel as trompé ma naifue affection, Reçois aussi l'adieu de Mélice fidèle, Bien que tu sois absent maintenant, et loin d'elle.
Satyre.	Satire.
Ha, ha, ha, que voicy de haz ard en ce lieu, Quand pour moy, ie ne veux encor vous dire adieu, Ie n’entens-pas celà, mais pluſtoſt ie deſire Ie cours de quelque temps auecque vous me rire, Me donner du plaiſir & du contentement, Car ce n’eſt moy qui veux viure ſi triſtement.	Ha, ha, ha, que voici de has ard en ce lieu, Quand pour moi, toujours ne veux encor vous dire adieu, Je n'entends-pas celà, mais plutôt été désire Je cours de quelque temps avec vous me rire, Me donner du plaisir et du contentement, Car ce n'est moi qui veux vivre si tristement.
Melice.	Mélice.
O deſtin rigoureux!	Ô destin rigoureux!
& constant a me nuire, Veux-tu pour m’acheuer, que ce villain Satyre, Las!	et constant à me nuire, Veux-tu pour m'achever, que ce villain Satire, Las!
me vienne rauir, ribaut, ma chasteté, ceiajquiorayimje entoute nettetes Satyre que veux-tu?	me vienne ravir, ribaut, ma chasteté, ceiajquiorayimje entoute nettes Satyre que veux-tu?
quelle fureur teporte A me tenir, villain, propos de telle ſorte?	quelle fureur teporte À me tenir, villain, propos de telle sorte?
Satyre.	Satire.
C’est la rage à imom qui oromile mon cerueau Au temperé retour de ce doux renouueau, Atendez, demeurez, & ne fuyez arriere:	C'est la rage à imom qui oromile mon cerveau Au tempéré retour de ce doux renouveau, Atendez, demeurez, et ne fuyez arrière:
Ie voh vous acoler d’i ne braue maniere.	Je voh vous acoler d'y ne brave manière.
Melice.	Mélice.
A l'aide Deitez qui viuez en ces bois, Venez me ſecourir oyant ma triſte voix.	À l'aide Ditez qui vivez en ces bois, Venez me secourir oyant ma triste voix.
catyre.	catire.
Ha, ha, vous criez dõc premier que lon vous touche Et que voir commencer l’amoureuſe eſcarmouche, Ho vrayment ie vous vois tantoſt bien apaiſer:	Ha, ha, vous criez dõc premier que lon vous touche Et que voir commencer l'amoureuse escarmouche, Ho vraiment avec vous vois tantôt bien apaiser:
Hé vous ne gaignez rien d’ainſi me refuſer.	Hé vous ne gagnez rien d'ainsi me refuser.
Melice.	Mélice.
Satyre, & mon Satyre, & pour le moimsejtomij Ce que ie te veua dire, & point ne le deboute.	Satire, et mon Satire, et pour le moimsejtomij Ce que ie te veua dire, et point ne le déboute.
Satyre.	Satire.
Ha c’eſt bien eſcouté, allons, hattons le pas Pour voir ce que l’on fait en mon antre là-bas, Marchez ſi ne voulez qu’en mes bras ie vous porte, Cu bien deſſus mon dos.	Ha c'est bien écouté, allons, hattons le pas Pour voir ce que l'on fait en mon antre là-bas, Marchez si ne voulez qu'en mes brasrit vous porte, Cu bien dessus mon dos.
M.	M.
Il a mon Dieu ie ſuis mori	Il a mon Dieu Dieu suis mory
Saryre.	Sarire.
Ie ne le ſuis-pas moy, mon cœur est encor bon, bien qu’il ſoit embraſé du ſeu de Cupidon, Tour vous aymer par trop, & voire outre meſure, E plus grande que n’est nostre grand mere dure:	Je ne le suis-pas moi, mon cœur est encor bon, bien qu'il soit embrasé du de Cupidon, Tour vous aimer par trop, et voire outre mesure, E plus grande que n'est notre grand mère dure:
Ie vous iure ma foy que ie vous ayme mieux Que le triste ſetourdu manoir Stigieux, Neque le loup ne fait la brebis ou la cheure, Le renard le conil, le chien-courant le lieure.	Je vous jure ma foi que je vous aime mieux Que le triste setourdu manoir Stigieux, Neque le loup ne fait la brebis ou la chèvre, Le renard le conil, le chiencourant le lièvre.
Melice.	Mélice.
Auecques tout le mal que tu me fais ſouffrir, Vumocquer indiſeret tu me viens donc offrir, Tu i’en repentiras, ou les Dieux & Deeſſes, N’auront-plus de ſoucy de vanger les oppreſſes Que les malicieux donnent aux gens de bien.	Avec tout le mal que tu me fais souffrir, Vumocquer indisèret tu me viens donc offrir, Tu j'en repentiras, ou les Dieux et Déesses, N'auront-plus de souci de venger les oppresses Que les malicieux donnent aux gens de bien.
duprer Hastons, haſtons le pas, & ne cauſe plus, vien, Voilà l’huis tout ouuert de ma ſombre cauerne, Entre dedans afin qu’vn peu ie ty gouuernt.	duprer Hâtons, hâtons le pas, et ne cause plus, vien, Voilà l'huis tout ouvert de ma sombre caverne, Entre dedans afin qu'un peu Seigneur ty gouvernt.
Melice.	Mélice.
Non, ie n’entreray-pas, pluſtoſt ie veux mourir;	Non, Seigneur n'entrerai-pas, plutôt tu veux mourir;
O Nymphes de ces bois venez-moy ſecourir.	Ô Nymphes de ces bois venez-moi secourir.
Cydon.	Cydon.
Fa Dieu!	Fa Dieu!
i’entens crier ma gentille Melice, Que qu’vn luy pourroit-bien faire quelque malice:	j'entends crier ma gentille Mélice, Que qu'un Prince pourrait-bien faire quelque malice:
Ha Setyre laſcif, ie te tiens au colet, Ie pluneray ton crin comme on fait vn poulei, Ie te ronpray les os.	Ha Setire lascif, on te tiens au collet, Je plunérai ton crin comme on fait un poulei, Je te ronprai les os.
S.	S.
i’ay la teſte fenduë:	j'ai la tête fendue:
A l’aiue, Pan, Siluains, au meſehant queme meD iiij Ias!	À l'aive, Pan, Silvains, au mesehant que meD jijà Jas!
c’eſt fait ie ſuis mert, i’ay les os tous moulus, Et me ſembleia voir les infernaux Palus, Et que te ſuis dedans.	c'est fait esprit suis mert, j'ai les os tous moulus, Et me semblejà voir les infernaux Palus, Et que te suis dedans.
Cy.	Chi.
Mais gaigne au pied Satyre, Si tu n’as volonté qu’il t’auienne encor pire.	Mais gagne au pied Satire, Si tu n'as volonté qu'il t'avienne encor pire.
Et vous mon cœur, mon tout, allons nous repoſer Dedans ce bois ombreux, afin de m’expoſer A loiſir le diſcours de cette forfaiture Que pençoit vous braſſer ce monſtre de laidure.	Et vous mon cœur, mon tout, allons nous reposer Dedans ce bois ombreux, afin de m'exposer A loisir le discours de cette forfaiture Que pençoit vous brasser ce montre de laidure.
SCENE II.	SCÈNE II.
Arbas.	Arbas.
Herlin.	Herlin.
Paſquiſe.	Pasquise.
Arbas.	Arbas.
Dipeur des humains!	Dipeur des humains!
eſpoir tu m’as deſçeu,  Depuis vn peu de temps ie l’ay bien aperçeu, Tu m’allois prometant qu’aprez grand peine priſe A ſeruir cenſtamment la gentille Paſquiſe, Qu’en fin elle prendroit de moy compaßion, Et qu’vn iour ie l’aurois en ma poceßion, Tour temperer l’ardeur que ſa beauté parfaite, Par le ſeu de ſes yeux, en ma poictrine a faite.	espoir tu m'as déçu, Depuis un peu de temps où l'ai bien aperçu, Tu m'allais prometant qu'aprez grand peine prise A servir censtamment la gentille Pasquise, Qu'en fin elle prendrait de moi compassion, Et qu'à jour ie l'aurais en ma passion, Tour tempérer l'ardeur que sa beauté parfaite, Par le seu de en ma en ma poitrine a faite.
Mais las!	Mais las!
je recognois que i’ay mon temps perdu, Et mon aage plus beau en celà deſpendu, Ne la trouuant nonplus à m’aymer diſpoſee, Que le iour que mon ame en ſut tant embraſee:	je reconnais que j'ai mon temps perdu, Et mon âge plus beau en cela pendu, Ne la trouvant nonplus à m'aimer dispose, Que le jour que mon âme en sut tant embrasée:
Tour ce fuy ten de moy eſpoir trop menſonger, Et va chercher ailleurs hoste pour te loger:	Tour ce fuis ten de moi espoir trop mensonger, Et va chercher ailleurs hôte pour te loger:
Ie veux trouner ſecours en quelque autre manieie, Que plustoſt i’iray querre en la maiſon derniere Des paliſſans eſprits, genez par Alecton, Cerbere à triple cheſ, minſtre de Pluton, celidon l’autre iour m’enſeigna la cauerne De l’vn de ceux qui font honneur au noir Auerne?	Je veux trouner secours en quelque autre manie, Que plutôt j'irai querre en la maison dernière Des palissants esprits, gênez par Alecton, Cerbère à triple chez, montre de Pluton, celidon l'autre jour m'enseigna la caverne De l'un de ceux qui font honneur au noir Auerne?
Qui forcent par leur art de nature le cours, Et font naiſtre & mourir quand ils veulent les iours, A qui rien n’est trouué iamais trop impoßible, Tant leur art a de force, & tant il eſt terrible.	Qui forcent par leur art de nature le cours, Et font naître et mourir quand ils veulent les jours, À qui rien n'est trouvé jamais trop impossible, Tant leur art a de force, et tant il est terrible.
Ie m’en vois le trouuer, il s’appelle Herlin, Ie plus aymé de tous, du caut eſprit malin.	Je m'en vois le trouver, il s'appelle Herlin, Je plus aimé de tous, du caut esprit malin.
Cheminon promtement, pour enfin qu’en peu d’heure Ie paruiennes au lieu de ſa triſte demeure:	Cheminon promtement, pour enfin qu'en peu d'heure Je parviennes au lieu de sa triste demeure:
Ie croy, que ſi i’ay bien le chemin retenu, Qu’en ſon piteux ſeiour ie ſuis or paruenu:	Je crois, que si j'ai bien le chemin retenu, Qu'en son piteux seiour se suis or parvenu:
13 Ie recognois l’enſeigne & vois l’huis de ſa porte, Or ie m’en vois taper, à ce lle fin qu’il ſorte.	13 Je reconnais l'enseigne et vois l'huis de sa porte, Or ie m'en vois taper, à ce l fin 'il sorte.
HexIM.	HexIM.
Qui va-là, qui va-là qui trouble mon repos, Si ie ſors aprez vous ie vous romprayles os.	Qui va-là, qui va-là qui trouble mon repos, Si ici sors aprez -vous content vous romprailes os.
