LE DICTATEVR ROMAIN.	LE DICTATEUR ROMAIN.
Mon Pere rompt ſa foy, ie veux tenir la mienne Et pour la bien tenir, compagne de ſon ſort, Puis qu’il s’en va mourir, ie n’attens que la dſciaa.	Mon Père rompt sa foi, je veux tenir la mienne Et pour la bien tenir, compagne de son sort, Puis qu'il s'en va mourir, ie n'attends que la dscia.
LVCILLE.	LUCILE.
Ce ſentiment eſt iuſte, encore que trop tendre:	Ce sentiment est juste, encore que trop tendre:
Dans vn ſort ſi cruel vous la duez attendre:	Dans un sort si cruel vous la duez attendre:
Mais l’attendre, ma Fille, & non pas preuenir Par elle le trépas d’vn qu’on ne peut punir;	Mais l'attendre, ma Fille, et non pas prévenir Par elle le trépas d'un qu'on ne peut punir;
Le Senat, toute Rome obligée à ſa gloire Maintiendra lo Vainqueur, admirant la victoire;	Le Sénat, toute Rome obligée à sa gloire Maintiendra lo Vainqueur, admirant la victoire;
Ou ſon propre deſtin s’eſtendant deſſus nous Me fera ſuiure vn Gendre, & vous ſuiure vn Epoux:	Ou son propre destin s'étendant dessus nous Me fera suivre un Gendre, et vous suivre un Époux:
Mais faut-il preuenir nous-meſmes ſon ſupplice?	Mais faut-il prévenir nous-mêmes son supplice?
Vous ſçauez qu’on prepare au Temple vn ſacrifice;	Vous savez qu'on prépare au Temple un sacrifice;
Allons faire rougir en?	Allons faire rougir en?
ce dernier reſſort, Les Autels pour ſa vie, ou les Dieux pour ſa mort :	ce dernier ressort, Les Autels pour sa vie, ou les Dieux pour sa mort :
On les verra fléchis par nos vœux legitimes, Ou nous meſmes ſeruir de dernieres victimes;	On les verra fléchis par nos vœux légitimes, Ou nous mêmes servir de dernières victimes;
Noſtre ſang va brauer, à la face des Dieux, Le courroux de Papyre, & la haine des Cieux;	Notre sang va braver, à la face des Dieux, Le courroux de Papyre, et la haine des Cieux;
Nous ſçaurons.	Nous saurons.
SCENE II.	SCÈNE II.
LVCILLE, ADAVIAIEATRIE,	LUCILE, ADAVIAIEATRIE,
LVCILLE.	LUCILE.
Ais enfin que ſçaurons-nous, Flauie?	Ais enfin que saurons-nous, Flavie?
FLAVIE.	FLAVIE.
Qu’il reſte quelque eſpoir encore pour ſa vie:	Qu'il reste quelque espoir encore pour sa vie:
N’eſtant par le Senat abſous ny condamné Fabie en eit au peuple, & l’Appel eſt donné:	N'étant par le Sénat absous ni condamné Fabie en eit au peuple, et l'Appel est donné:
C’eſt toute la faueur qu’on a faite à ſon Pere.	C'est toute la faveur qu'on a faite à son Père.
PAPYRIE.	PAPYRIE.
Qui flatte vn peu nos maux, & qui n’eſt que legere.	Qui flatte un peu nos maux, et qui n'est que légère.
LEnvIm Comme en allant au peuple annoncer ce decret Me l’a dit vers le Temple, où deſia tout eſt preſt.	LEnvIm Comme en allant au peuple annoncer ce décret Me l'a dit vers le Temple, où déjà tout est prêt.
LVCILLE.	LUCILE.
Le peuple aura le ſoin de conſeruer ſa vie.	Le peuple aura le soin de conserver sa vie.
PAPYRIE.	PAPYRIE.
Papyre pour le perdre encore a plus d’enuie?	Papire pour le perdre encore a plus d'envie?
Le Senat tout puiſſant n’ayant pû le ſauuer, Rome pour ſon ſalut ne peut plus rien treuner:	Le Sénat tout puissant n'ayant pu le sauver, Rome pour son salut ne peut plus rien treuner:
Non, le Peuple eſt trop foible, il a trop d’inconſtance, Mon Pere eſt trop entier, il a trop de puiſſance:	Non, le Peuple est trop faible, il a trop d'inconstance, Mon Père est trop entier, il a trop de puissance:
L’vn donc eſtant trop fort, l’autre mal deffendu, Fabie eſt mort, Helas!	L'un donc étant trop fort, l'autre mal défendu, Fabie est mort, Hélas!
mon Epoux eſt perdu :	mon Époux est perdu :
Qu’attendois-je du peuple?	Qu'attendais-je du peuple?
ô deſtin!	ô destin!
ô mon Pere!	ô mon Père!
Ah!	Ah!
ie voy l’vn & l’autre également ſeuere;	Ne vois l'un et l'autre également sévère;
Digne Amant, noble Epoux, Vainqueur plus giolleun , Rien ne te peut ſauuer.	Digne Amant, noble Époux, Vainqueur plus giolleun , Rien ne te peut sauver.
LVCILLE.	LUCILE.
ii iente encor les Dieux;	ji yente encor les Dieux;
Aiſpiorons donc le Cici, & fecouronis aux Temples;	Aispiorons donc le Cici, et fecouronis aux Temples;
On a de leur faueur d’auſſi rares exemples.	On a de leur faveur d'aussi rares exemples.
PAPYRIE.	PAPYRIE.
Vn mal ſi proche attend vn plus prochain ſecours, Ie n’en eſpere rien!	Un mal si proche attend un plus prochain secours, Je n'en espère rien!
Mais ayons-y recours.	Mais ayons-y recours.
Que demander au Ciel, pour n’eſtre pas proſpere Ou la honte, ou l’honneur, d’vn Epoux, ou d’vn Pere?	Que demander au Ciel, pour n'être pas prospère Ou la honte, ou l'honneur, d'un Époux, ou d'un Père?
L’vn & l’autre en ce iour doit vaincre, ou doit ceder, Aucun bien ſans vn mal ne me peut ſucceder;	L'un et l'autre en ce jour doit vaincre, ou doit céder, Aucun bien sans un mal ne me peut succéder;
Si Fabie eſt plus fort, Papyre enfin ſuccombe:	Si Fabie est plus fort, Papyre enfin succombe:
L’vn vainqueur, l’autre meurt, l’vn ſauué l’autre tombe:	L'un vainqueur, l'autre meurt, l'un sauvé l'autre tombe:
Soûtenez-les tous deux, & pour m’eſtre plus doux, Dieux, appaiſez mon Pere;	Soutenez-les tous deux, et pour m'être plus doux, Dieux, apaisez mon Père;
& ſauuez mon Epoux.	et sauvez mon Époux.
LVCILLE.	LUCILE.
Allons pour vn tel bien implorer leur puiſſance.	Allons pour un tel bien implorer leur puissance.
Mais les voicy tous deux:	Mais les voici tous deux:
éuitons leur preſence.	éviterons leur présence.
Toy viens nous par ſa vie oſter vn grand deſſein, Ou plonger par ſa mort vn poignard dans le ſein, Voy tout ce qui ſe paſſe, & nous le viens redire.	Toi viens nous par sa vie ôter un grand dessein, Ou plonger par sa mort un poignard dans le sein, Vois tout ce qui se passe, et nous le viens redire.
Qui doit ceder;	Qui doit céder;
des Dieux, de nous, ou de Patre?	des Dieux, de nous, ou de Pattre?
SCENE III.	SCÈNE III.
EATTRE, FADIE IIS.	EATTRE, SADIE IIS.
PAPYRE.	PAPYRE.
Erez-vous comme vne ombre attachée à mes S pas?	Erez-vous comme une ombre attachée à mes S pas?
Dans la enamole, en ce neu, quoy d ne ne quitter pas?	Dans la enamole, en ce neu, quoi d ne ne quitter pas?
FABIE Fils.	FABIE Fils.
Non, que ie n’aye enfin obtenu cette grace Qu’il faut qu’en ſa colere vn Ennemy me faſſe:	Non, que ici n'aie enfin obtenu cette grâce Qu'il faut qu'en sa colère un Ennemi me fasse:
Vn Ennemy?	Un Ennemi?
que dy-je?	que dis-je?
vn Pere, vn Souuerain;	Un Père, un Souverain;
Dont mon deſtin implore ou le cœur, ou la main;	Dont mon destin implore ou le cœur, ou la main;
Le coup, ou la pitié;	Le coup, ou la pitié;
la mort, ou la tendreſſe;	la mort, ou la tendresse;
Ie ne doy qu’à vous ſeul, à vous ſeul ie m’addreſſe:	Je ne dois qu'à vous seul, à vous seul homme m'adresse:
En vain i’ay veu pour moy le Senat agité:	En vain j'ai vu pour moi le Sénat agité:
Flatté par mille Amis, par mon Pere excité, Encor que mon reſpect vous déplaiſe, & l’offenſe, Ie n’ay pas daigné dire vn mot en ma deffenſe;	Flatté par mille Amis, par mon Père excité, Encor que mon respect vous déplaise, et l'offense, Je n'ai pas dagné dire un mot en ma défense;
Deffendrois-je mon ſang, ſi vous le demandez?	Défendrais-je mon sang, si vous le demandez?
Attendrois-je vn Arreſt, ſi vous ne le rendez?	Attendrais-je un Arrêt, si vous ne le rendez?
Le Senat reſpectant ma teſte, & voſtre foudre;	Le Sénat respectant ma tête, et votre foudre;
Ne m’a pû condamner, & n’oſe pas m’abſoudre, Comme il n’aocorde rien, il n’a rien refuſé;	Ne m'a pu condamner, et n'ose pas m'absoudre, Comme il n'aocorde rien, il n'a rien refusé;
Quoy qu’il m’ait par priere enuers vous excuſé, Quand mes Iuges ſoûmis prioyent pour le coûpable I’accuſois dedans moy leur zele fauorable;	Quo qu’il m'ait par prière envers vous excusé, Quand mes Juges soumis priaient pour le soupable J'accusais dedans moi leur zèle favorable;
Ils cherchoiẽt mon ſalut;	Ils cherchaient mon salut;
& mon cœur genereu x Dans ces cõmuns ſouhaits eſtoit meſme contre eux;	et mon cœur généreu x Dans ces communs souhaits était même contre eux;
Eux regardoient ma vie, & moy voſtre colere, Sçachant que ie ne puis & viure, & vous déplaire:	Eux regardaient ma vie, et moi votre colère, Sachant que je ne puis et vivre, et vous déplaire:
Que ſant rentrer en grace, & dans voſtre amitié, Le iour m’eſt odieux, ainſi que leur pitié;	Que sant rentrer en grâce, et dans votre amitié, Le jour m'est odieux, ainsi que leur pitié;
Vn ſeul moyen rendra leur aſſiſtance vaine:	Un seul moyen rendra leur assistance vaine:
Demeurez en colere, & ma mort eſt certaine :	Demeurez -en colère, et ma mort est certaine :
Quoy!	Quoi!
perdre Papyrie, & perdre mon amour?	perdre Papyrie, et perdre mon amour?
C’eſt pis que perdre enſemble & la gloire & le iour:	C'est pis que perdre ensemble et la gloire et le jour:
Eſt-ce de voſtre foy ce que ie dûs attendre?	Est-ce de votre foi ce que ici dus attendre?
Qu'eſt deuenu ce cœur qui fut pour moy ſi tendre ?	Qu'est devenu ce cœur qui fut pour moi si tendre ?
Luy qui m’a tant aymé, pourroit-il me hayr?	Lui qui m'a tant aimé, pourrait-il me haïr?
PAPYRE.	PAPYRE.
Qu’eſt deuenu ce cœur, qui deuoit m’obeyr?	Qu'est devenu ce cœur, qui devait m'obéir?
Luy que i’obligeay tant, & dont ie dûs attendre La foy d’vn Lieutenant, comme la foy d’vn Gendre:	Lui que j'obligeai tant, et dont votre dus attendre La foi d'un Lieutenant, comme la foi d'H Gendre:
Luy, de qui le reſpect & l’amour me flattoit Pouuoit-il m’offenſer alors qu’il combattoit?	Lui, de qui le respect et l'amour me flattait Pouvait-il m'offenser alors qu'il combattait?
Pour rendre ma puiſſance & ma gloire étoufés N’auez-vous pas brûlé les armes, les trophée Croyant dans la fumée obſcurcir mon renon Et deſſous cette cendre enſeuelir mon Nom?	Pour rendre ma puissance et ma gloire étouffés N'avez-vous pas brûlé les armes, les trophée Croyant dans la fumée obscurcir mon renon Et dessous cette cendre ensevelir mon Nom?
Ce nom pourra ſans vous, paſſer à la memoir Ce Nom peut honorer la plus belle victoire Des infracteurs des loix ennemy capital Ce Nom doit triompher, & vous eſtre fatal,	Ce nom pourra sans vous, passer à la mémoir Ce Nom peut honorer la plus belle victoire Des infrateurs des lois ennemi capital Ce Nom doit triompher, et vous chang fatal,
FABIE Fils.	FABIE Fils.
Ce Nom m’eſt venerable autant que vous ſes uere :	Ce Nom m'est vénérable autant que vous ses ouvre :
Ie l’honorois au Camp, icy ie le reuere:	Je l'honorais au Camp, ic ie le révère:
Ie deuois à ce Nom ce qu’vn zele pieux Par vn vœu ſolemnel me fit donner aux Dieux, Les dépoüilles d’vn Camp ſur l’Ennemy tirées Pour cét heureux ſuccez leur furent conſacrées.	Je devais à ce Nom ce qu'un zèle pieux Par un vœu solennel me fit donner aux Dieux, Les dépouilles d'un Camp sur l'Ennemi tirées Pour cet heureux succès leur furent consacrées.
PAPYRE.	PAPYRE.
O le maſque pieux d’vn courage zelé, Qui forge aux Dieux vn droict, lors qu’il l’a vlele  Que la Religion, qui couure ſon offence, Détournoit de combattre autant que ma det fence.	Ô le masque pieux d'une courage zélé, Qui forge aux Dieux un droit, lors qu'il l'a veule Que la Religion, qui couvre son offense, Détournait de combattre autant que ma dét sence.
FABIE Fils.	FABIE Fils.
L’auantage de Rome onert prelq e a mes yeux	L'avantage de Rome onert prelq e a mes yeux
Ne me ſembloit venir que de la main des Dieux, Et contre vn ordre étroit ayant l’ame trop haûte, I’ay crû qu’vne victoire effaceroit ma faute.	Ne me semblait venir que de la main des Dieux, Et contre un ordre étroit ayant l'âme trop haûte, J'ai cru qu'une victoire effacerait ma faute.
Mais puis que ie ne puis éuiter le trépas:	Mais puis que ici ne puis éviter le trépas:
Que la loy, comme vous, eſt ſourde & n’entend pas, Que ſans rien expliquer elle ordonne, & décide:	Que la loi, comme vous, est sourde et n'entend pas, Que sans rien expliquer elle ordonne, et décide:
Qu’elle & vous me deffend d’eſtre mon homicide:	Qu'elle et vous me défend d'être mon homicide:
Quittez ce grand courroux, armez-vous de la loy!	Quittez ce grand courroux, armez-vous de la loi!
Et ie vay contenter vous, les Dieux, elle, & moy.	Et ici vais contenter vous, les Dieux, elle, et moi.
Pour montrer qu’on m’en veut, & non pas à ma gloire, Puniſſez donc mon crime, & non pas ma memoire, Il eſt, vous le ſçauez, noble & victorieux:	Pour montrer qu'on m'en veut, et non pas à ma gloire, Punissez donc mon crime, et non pas ma mémoire, Il est, vous le savez, noble et victorieux:
Que ie ſouffre vn trépas, comme luy glorieux, Eloignons-en ces noms de honte & de ſupplice;	Que était souffre un trépas, comme lui glorieux, Éloignons-en ces noms de honte et de supplice;
En vainqueur i’ay failly, qu’en vainqueur ie periſſe;	En vainqueur j'ai failli, qu'en vainqueur Elle périsse;
Que ie meure en Fabie, & qu’il me ſoit permis D’aller chercher la mort parmy nos Ennemis;	Que mille meure en Fabie, et qu'il me soit permis D'aller chercher la mort parmi nos Ennemis;
Ainſi que i’ay failly, que ie meure en grand homme;	Ainsi que j'ai failli, que ie meure en grand homme;
Que mon dernier ſoûpir donne vn triomphe à Rome;	Que mon dernier soupir donne un triomphe à Rome;
Que j’aioûte en mourant, quelque luſtre à ſon ſort :	Que j'aioûte en mourant, quelque lustre à son sort :
Qu’elle admire ma vie, & profite en ma mort:	Qu'elle admire ma vie, et profite en ma mort:
Les Samnites encor de reſte ont quelque Ville, Que i’aille les forcer iuſques dans leur azile, Expirer au deſſus de leurs derniers remparts, Percé comme couuert de picques & de dars;	Les Samnites encor de reste ont quelque Ville, Que j'aille les forcer jusques dans leur asile, Expirer au dessus de leurs derniers remparts, Percé comme couvert de piques et de dars;
Que ſur vn tas de morts le dernier des Fabies Tombe auec ce grand Nom qui les veut pou hoſties;	Que sur un tas de morts le dernier des Fabies Tombe avec ce grand Nom qui les veut pou hosties;
Sous voſtre ordre vne fois combattant à vo yeux Que j’aille demander vn trépas glorieux A ceux que i’ay vaincus contre voſtre deffenſe Que ma valeur expie vn crime de vaillance, Puis qu’il faut par la loy perir, ie periray;	Sous votre ordre une fois combattant à v yeux Que j'aille demander un trépas glorieux À ceux que j'ai vaincus contre votre défense Que ma valeur expie un crime de vaillance, Puis qu'il faut par la loi périr, je périrai;
vous ſelel Iatislait, & le triompneray ?	vous zèle Iatislait, et le triompnerai ?
Souffrez.	Souffrez.
PAPYRE.	PAPYRE.
Quoy!	Quoi!
ce triomphe?	ce triomphe?
il n’eſt pas legitime;	il n'est pas légitime;
Ce ſeroit couronner non pas punir le crime, Voila, pour vous flatter vn grand & vain effort;	Ce serait couronner non pas punir le crime, Voilà, pour vous flatter un grand et vain effort;
C’eſt choiſir vn naufrage, & chercher vn beau port, Vn Criminel iamais s’eſt-il fait ſon ſupplice?	C'est choisir un naufrage, et chercher un beau port, Un Criminel jamais s'est-il fait son supplice?
La vertu ſeule attend ce qu’il donne à ſon vice:	La vertu seule attend ce qu'il donne à son vice:
C’eſt gloire que d’auoir des remparts à forcer:	C'est gloire que d'avoir des remparts à forcer:
La loy nous doit punir, non pas recompenſer Ces portes de la Mer, ces Villes des Samnites.	La loi nous doit punir, non pas récompenser Ces portes de la Mer, ces Villes des Samnites.
Matieres de triomphe à ma charge preſcrites;	Matières de triomphe à ma charge prescrites;
Attendent que mon bras qui portera leur ſort Faſſe en ces lieux voler & noſtre Aigle, & la mort;	Attendent que mon bras qui portera leur sort Fasse en ces lieux voler et notre Aigle, et la mort;
Et m’offrent vn triomphe, & des honneurs ſuprémes,	Et m'offrent un triomphe, et des honneurs suprêmes,
dontre elles i’arme auſſi, non ma ſeuerité, lais les loix, pour punir voſtre temerité?	dontre elles j'arme aussi, non ma sévérité, lais les lois, pour punir votre témérité?
ſon ſang n’eut par ſa mort qu’vn combat à lauer :	son sang n'eut par sa mort qu'un combat à lauer :
Ce n’eſt pas qu’en effect mon amitié bleſſée Ne combatte pour vous encore en ma penſée;	Ce n'est pas qu'en effet mon amitié blessée Ne combatte pour vous encore en ma pensée;
le ſçay ce que ie perds, & Rome en vous perdant, Mais Rome & moy perdrions bien plus en vous gardant.	le sais ce que vertu perds, et Rome en vous perdant, Mais Rome et moi perdrions bien plus en vous gardant.
I’oy la force des loix, qui languit & ſoûpire:	J'ois la force des lois, qui languit et soupire:
Le pouuoir ſouuerain, l’intereſt de l’Empire Gemit par cét aduis dans mon cœur entendu:	Le pouvoir souverain, l'intérêt de l'Empire Gémit par cet avis dans mon cœur entendu:
Perds vn’homme, Papyre:	Perds un homme, Papire:
ou bien tout eſt perdu.	ou bien tout est perdu.
O loix!	Ô lois!
appaiſez-vous, ſa perte eſt aſſeurée, L’empire la demande, & mon cœur l’a iurée, Voſtre victime attend, & le ſupplice eſt preſt.	apaisez-vous, sa perte est assurée, L'empire la demande, et mon cœur l'a jurée, Votre victime attend, et le supplice est prêt.
Mais Dieux!	Mais Dieux!
mon amitié s’oppoſe à mon arreſt:	mon amitié s'oppose à mon arrêt:
