A LA REYNE ANNE DAVSTRICHE	À LA REINE ANNE DAUSTRICHE
ALMTEII Que ton ambition prenne mieux ſes meſures, Cherche quelque autre prix à te recompenſer;	ÀLMTEII Que ton ambition prenne mieux ses mesures, Cherche quelque autre prix à te récompenser;
MELIDOR.	MELIDOR.
Clarimonde eſt le ſeul ou ie pouuois penſer.	Clarimonde est le seul ou ie pouvais penser.
ALMAZAN.	ÀLMAZAN.
Clarimonde eſt le ſeul qu’Almazan te refuſe, Ne m’en parle iamais ta vanité s’abuſe, De croire l’emporter contre mon ſentiment.	Clarimonde est le seul qu'Almazan te refuse, Ne m'en parle jamais ta vanité s'abuse, De croire l'emporter contre mon sentiment.
MELIDOR ſe retirant.	MELIDOR se retirant.
Quand i’ay creu l’emporter ie l’ay creu iuſtement, Mais s’il eſt ordonné qu’vn autre la poſſede n juudra qu’a l’amour le deſeſpoir ſaccede, Que ie rendray funeſte a qui ne le croit pas.	Quand j'ai cru l'emporter ger Qu'ai cru iustement, Mais s'il est ordonné qu'un autre la possède n juudra qu'a l'amour le désespoir sacède, Que me rendrai funeste à qui ne le croit pas.
ALMAZAN.	ÀLMAZAN.
Tu murmures encor?	Tu murmures encor?
va, mais ſors de ce pas	va, mais sors de ce pas
ARGIRAN.	ARGIRAN.
Sire, il eſt deſia loing, & Clarimonde approche,	Sire, il est déjà loing, et Clarimonde approche,
NE III AIMAZAN,CLARINONDE, LYDI NE ARGIRAN.	NE III AIMAZAN,CLARINONDE, LYDI NE ARGIRAN.
ALMAZAN.	ÀLMAZAN.
Tbien ame de ſer, cœur de lrronzeoude recis D'y eſt ulvien ſoube le Ciel qui te puiſſe amollu?	Tbien âme de ser, cœur de lronzeoude recis D'y est ulvien soupe le Ciel qui te puisse amollu?
Ca corpe que la Nuturea pris ſoing d'embellir, Doibi ilpaulile tparda de mace iſus Cacher tant de riqueur & tant cetyranmte, Et ſaire ſoubs l'eſclat d’vn charme deceuant, Regner la cruaute dans vn troſne viuant?	Ça corpe que la Nuturea pris soin d'embellir, Doibi ilpaulile tparda de mace isus Cacher tant de riqueur et tant cetyranmette, Et zaïre sous l'éclat d'un charme décevant, Regner la cruauté dans un trône vivant?
Parle, beauté fatale, au plus grãd des Monarques Pourton propre iutereſt ſuy loffice des Parques, He ſçaches qu'atiomnd hcypus l'aneſt de toufhot Tu tiens en ton pouuoir& tavie & tamoit Si ton cœur adoucy contribueama ioye, Tu couleras des iours filez doree de ſore, Et dans le counceſgal detesa oſperites, Tu verras par l'effect tes deſirs ſumontez Mais ſi malgiemes vœux ta rigueur perſeuere, Tu verras a ta honte eſclater ma colere, Ouy, croy que ie mettraypourpunir ton erreur, Dans vn meſme degré ta hayne, & ma fureur.	Parle, beauté fatale, au plus grãd dés Monarques Pourton propre iuterest suivie loffice des Parques, He saches qu'atiomnd hcipus l'anest de toufothot Tu tiens en ton pouuoiret tavie et tamait Si ton cœur adouci contribueama joie, Tu couleras des jours fils dorée de sore, Et dans le councesgal detesa ospérites, Tu verras par l'effet tes désirs sumontez Mais si malgumes vœux ta rigueur perseuere, Tu verras a ta honte éclater ma colère, , croy que la mettraypourpunir te erreur,Dans te degré ma haine, et ma fureur,
CLARIMONDE.	CLARIMONDE.
En l’eſtat deplorable où le Ciel m’a reduitte, Ie crains oſire fieut moins que voſtre pourſuitte, Ie n'ayme point la uie, & de m’en voir priuer, N'aiſtra le plus grand bien qui me puſt arriuer.	En l'état déplorable où le Ciel m'a réduite, Je crains osire fût moins que votre poursuite, Je n'aime point la uie, et de m'en voir priver, N'aistra le plus grand bien qui me pût arriver.
Quel moyen d’adorer vne main violente, Du ſang de mes ſubiets encor toute ſanglante, Et qui pourteaoupier tes maux qu'ns ont ſoufferts Tient leur Princeſſe eſclaue, & leur Roy ſoubs les fers.	Quel moyen d'adorer une main violente, Du sang de mes sujets encor toute sanglante, Et qui pourteaoupier tes maux qu'ns ont soufferts Tient leur Princesse esclaue, et leur Roi sous les fers.
ALMAZAN.	ÀLMAZAN.
De leur captiuitéveux turompre les chaiſnes?	De leur captiuitéveux turompre les chaînes?
Montre toy fauorable & ſenſiblea mes peynes, Vn ſeul trait de tes yeux ſi charmants & ſi doux Peut auiourd’huy briſer les traits de mon courroux.	Montre toi favorable et sensiblea mes peines, Un seul trait de tes yeux si charmants et si doux Peut aujourd'hui briser les traits de mon courroux.
CLARIMONDE.	CLARIMONDE.
A vos contentements mes diſgraces reſiſtent, De voſtre hoſtilité trop de marques ſubſiſtent, Quel moyen d’eſtouffer ce faſcheux ſouuenir, Et de recompenſer celuy qu'on doibt punir?	À vos contentements mes disgrâces résistent, De votre hostilité trop de marques subsistent, Quel moyen d'étouffer ce fâcheux souvenir, Et de récompenser celui qu'on doibt punir?
ALMAZAN.	ÀLMAZAN.
Ceſſe de m’accuſer, ô beauté que i'adore, De tes Palais bruſlez la cendre fume encore, Mais ſois mienne vnmoment & ie te les promets Plus niches & plus beaux qu’ils ne farent iamais.	Cesse de m'accuser, ô beauté que j'adore, De tes Palais brûlés la cendre fume encore, Mais sois mienne vnmoment et Seigneur te les promets Plus niches et plus beaux qu'ils ne farent jamais.
Cet or dont ils brilloient, ces Domes, ces Portiques, Ces ſ'iperbes Lambris, & ces tours magnifiques, Pourront de ma grandeur les effects eſprouuer, Et qui les abbatit les ſcaura releuer, Außi bienc’eſt en vainque tu voudrois pretendre, Que ma ſlame cedaſt à la flame dAlcandre, Puiſque par ſon orgueil cet ingrats'est perdu.	Cet or dont ils brillaient, ces Domes, ces Portiques, Ces s'iperbes Lambris, et ces tours magnifiques, Pourront de ma grandeur les effets éprouver, Et qui les abattit les saura relever, Aussi bienc'est en vainque tu voudrais prétendre, Que ma splame cédât à la flamme dAlcandre, Puisque par son orgueil cet ingrats'est perdu.
la henjȩautatataente fetoursurtenda.	la henjȩautatataente fetoursurtenda.
CLARIMONDE.	CLARIMONDE.
Alcandre s’est perde, quelle estrange nouuelle?	Alcandre s'est perde, quelle étrange nouvelle?
ALMAZAN.	ÀLMAZAN.
Ouy ie tiens ſoubs mes fers cette ame criminelle, De qui le deſeſpoir condamnant mon amour, A toulu me priuer de la clarté du iour, De ſon deſguiſement la cauſe m'eſt cogneuë	Oui quelque tiens soups mes fers cette âme criminelle, De qui le désespoir condamnant mon amour, A lu me priver de la clarté du jour, De son déguisement la cause m'est connue
CLARIMONDE.	CLARIMONDE.
O Sainte verité montre toy toute nuë, Vien Deeſſe immortelle, & donne à l’innocent, Contre la calomnie vn- Azyle puiſſant, Sire, n'imputez rien au genereux Alcandre, Bien loing de vous trahir il a ſçeu vous deffendre, Et s'il n’euſt auiourd huy mes deſirs combatus.	Ô Sainte vérité montre toi toute nue, Vien Déesse immortelle, et donne à l'innocent, Contre la calomnie un- Azyle puissant, Sire, n'imputez rien au généreux Alcandre, Bien loin de vous trahir il a su vous défendre, Et s'il n'eût auiourd huy mes désirs combattus.
Solimont ſeroit libre & cous ne ſeriez plus.	Solimont serait libre et cous ne seriez plus.
ALMAZAN.	ÀLMAZAN.
Tuveux de cet ingrat deſtourner l’infortune, Par vne mnuention trop foible & trop commune.	Tuveux de cet ingrat détourner l'infortune, Par une ménuention trop faible et trop commune.
Et c’eſt inſolemment de ma grace abuſer, Que te feindre coupable afin de l’excuſer.	Et c'est insolemment de ma grâce abuser, Que te feindre coupable afin de l'excuser.
Ce forfait aueré merite le ſupplice, Sil n’en est pas l’autheur il en eſt le complice, Il mourra Clarimonde, & ne te ſlatte pas, Tu n'as qu un ſeulmoyen d cſoigner ſon treſpas.	Ce forfait averé mérite le supplice, Sil n'en est pas l'auteur il en est le complice, Il mourra Clarimonde, et ne te slatte pas, Tu n'as qu ' seulmoyen ds coigner son trépas.
Quel?	Quel?
CLARIMONDE.	CLARIMONDE.
AEMAen1.	AEMA1.
De ſouffrir la lyy que ma flamet impoſe:	De souffrir la li que ma flammet impose:
CLARIMONDE.	CLARIMONDE.
Ceremede & ſa mort ſeroient la meſme choſe.	Cèremède et sa mort seraient la même chose.
ALMAZAN.	ÀLMAZAN.
Il peut ſoubs ta faueur ma clemence eſprouuer.	Il peut sous ta faveur ma clémence éprouver.
CLARIMONDE.	CLARIMONDE.
Ma faueurle perdroit au lieu de le ſauuer,	Ma faveurle perdrait au lieu de le sauver,
ALMAZAN.	ÀLMAZAN.
Tu meré fuſes donc ?	Tu méré fuses donc ?
o barbare!	ô barbare!
CLARIMONDE.	CLARIMONDE.
O pariure!	Ô parjure!
ALMAZAN.	ÀLMAZAN.
Femre tiuns tonueuon,joulage ma bleſſure, Et pour n’eſtre à toy méme ingratte extremement, Exempte du tombeau ton pere & ton Amant.	Femre tiuns tonueuon,joulage ma blessure, Et pour n'être à toi -même ingrate extrêmement, Exempte du tombeau ton père et ton Amant.
CLARIMONDE.	CLARIMONDE.
Peut-gire ils ne ſont pliis.	Peut-gire ils ne sont pliis.
ALMAZAN.	ÀLMAZAN.
Ils viuent, Clarimonde.	Ils vivent, Clarimonde.
CLARIMONDE.	CLARIMONDE.
Ouy dans mon ſouuenir, mais non pas dãs le mõde.	Oui dans mon souvenir, mais non pas dans le monde.
ALMAZAN.	ÀLMAZAN.
Qu’on les ameine icy, ieveux te preſenter Ces obiets que ton ame a droit de conſulter, Quand tu les auras veus i’apprendray de ta bouche, Si comme leur ſalut ma paßion te touche, Je veux auiourd’huy meſme ou les perdre ou guerir, Reſous toy d'eſtre mienne ou de les voir mourir.	Qu'on les âme ici, ieveux te présenter Ces objets que ton âme a droit de consulter, Quand tu les auras vus j'apprendrai de ta bouche, Si comme leur salut ma passion te touche, Je veux aujourd'hui même ou les perdre ou guérir, Résous toi d'être mienne ou de les voir mourir.
CLARIMONDE.	CLARIMONDE.
Dures conditions ou ie ſuis engagée, Iuſtes Dieux ſi l’eſtat de mon ame affligée, D'vn ſeul traitde pitié touche vos ſentiments Inſpirez dans mon cœur de iuſtes mouuements, El toy ma Eſaianc aydemoy te te prie, Viens guider ma raiſon dans l’aueugle furie, Où ce laſche Tyran la voudroit abyſmer.	Dures conditions ou ainsi suis engagée, Justes Dieux si l'état de mon âme affligée, D'un seul traitde pitié touche vos sentiments Inspirez dans mon cœur de justes mouvements, Él toi ma Esaianc demoi te te prie, Viens guider ma raison dans l'aveugle furie, Où ce lâche Tyran la voudrait abîmer.
LYDIANE.	LYDIANE.
Le chemin le plus court ce ſeroit de l’aymer.	Le chemin le plus court ce serait de l'aimer.
CLARIMONDE.	CLARIMONDE.
Ce conſeil eſt imuſte außt bten qu'impeßible.	Ce conseil est imuste aussi bten qu'impessible.
LYDIANE.	LYDIANE.
Le mal de Solimont vous doibt rendre ſenſible, Il faut ſauuer vn pere.	Le mal de Solimont vous doibt rendre sensible, Il faut sauver un père.
CLARIMONDE.	CLARIMONDE.
Il faut perdre vneſpoux?	Il faut perdre vnespoux?
LYDIANE.	LYDIANE.
Le ſang & le deuoir combattent contre vous.	Le sang et le devoir combattent contre vous.
K iij.	K iij.
CLARIMONDE.	CLARIMONDE.
Mon amour & ma ſoy s’arment a ma deffenſe	Mon amour et ma soi s'arment a ma défense
LYDIANE Ou ſeroit voſtre honneur?	LYDIANE Ou serait votre honneur?
CLARIMONDE.	CLARIMONDE.
Ou ſeroit ma conſtance?	Ou serait ma constance?
BInInnen.	BInInen.
Par des larmes de ſang Solimont autound’la Vous demande le iour que vous tenez dee liy.	Par des larmes de sang Solimont autound'la Vous demande le jour que vous tenez dee li.
CLARIMONDE.	CLARIMONDE.
Pap ues fouſpirs ut patme alteuuart ineconiure D’eſgaler pour le moins l’Amour & la Nature;	Pap Œues fouspirs ut patme aleteuvart ineconiure D'égaler pour le moins l'Amour et la Nature;
LYDIANE.	LYDIANE.
Que reſoudrez vous donc dans vn combat ſi grand?	Que résoudrez -vous donc dans un combat si grand?
CLARIMONDE.	CLARIMONDE.
Ma mort decidera ce faſcheux differend.	Ma mort décidera ce fâcheux différend.
Mais i’apperçoy mon pere, ô douleur ſans ſeconde, Ses fers me font mourir.	Mais j'aperçois mon père, ô douleur sans seconde, Ses fers me font mourir.
SCENE IY SOLIMONT ſuiuy de quelques gardes CLARIMONDE, LYDIANE.	SCÈNE IY SOLIMONT suivi de quelques gardes CLARIMONDE, LYDIANE.
SOLIMONT.	SOLIMONT.
A Pproche Clarimonde.	À Pproche Clarimonde.
A fais ſi tu n'as deſſein d’augmenter mes douleurs, Retiens pour quelque temps tes ſouſpits & tes pleurs;	À fais si tu n'as dessein d'augmenter mes douleurs, Retiens pour quelque temps tes soupits et tes pleurs;
I'excuſed’Almaz anl’extreme tyrannié, Puiſque malgré l'exces de ſa hayne infinié, Au moins auant mamort il m’accorde cebien D’vnir encor vn coup tonbeau corps & le mien.	J'excused'Almaz anl'extrême tyrannié, Puisque malgré l'excès de sa haine infinié, Au moins avant mamort il m'accorde célieu D'unir encor un coup tonbeau corps et le mien.
Ouure tes bras cheris, embraſſehelas, embraſſe Ce pere infortuné, dont la fameuſe race, Est preſte de s’eſteindre, & n’a plus auiourd huy Que ta ſeule vertu d’eſperance & d'appuy.	Ouvre tes bras chéris, embrassehélas, embrasse Ce père infortuné, dont la fameuse race, Est prête de s'éteindre, et n'a plus aujourd hui Que ta seule vertu d'espérance et d'appui.
CLARIMONDE.	CLARIMONDE.
Ie cognois mon deuoir, & ſçay bien qu’il m’ordonne D’obſeruer quelques loix que mon pere me donne, Mais vn reſſentiment que ie ne puis trahir Me force pour ce coup à luy deſobeyr.	Je connais mon devoir, et sais bien qu'il m'ordonne D'observer quelques lois que mon père me donne, Mais un ressentiment que je ne puis trahir Me force pour ce coup à quelques désobéir.
Pourrois-ie m'en deffendre & refuſer des larmes, Au funeſte ſuccés de vos dernieres armes.	Pourrais-je m'en défendre et refuser des larmes, Au funeste succès de vos dernières armes.
Et n’accompagner pas de ſanglots redoublez Da mortut eus Duitetsfoubs ta ſouurt accablez?	Et n'accompagner pas de sanglots redoublés Da mortut eus Duitetsfoubs ta souvrt accablez?
Laiſſez moy ſouſpirer;	Laissez -moi soupirer;
SOLIMONT.	SOLIMONT.
Ah ta douleur m’outrage, C'eſt dementir ton ſang que manquer de courage, Regarde nos malheurs d’vn œil ferme & conſtant, Pour les voir terminer il ne faut qu’vn inſtant.	Ah ta douleur m'outrage, C'est démentir ton sang que manquer de courage, Regarde nos malheurs d'un œil ferme et constant, Pour les voir terminer il ne faut qu'un instant.
CLARIMONDE.	CLARIMONDE.
Quoy celuy de la mort?	Quoi celui de la mort?
SOLIMONT.	SOLIMONT.
Ouy dans cette eſperance, Les maux les plus cruels perdent leur violence,	Oui dans cette espérance, Les maux les plus cruels perdent leur violence,
CLARIMONDE.	CLARIMONDE.
Vn remede pourtant, mais Alcandre paroiſt.	Un remède pourtant, mais Alcandre paraît.
SCENE IV	SCÈNE IV
SCENE V ALCANDRE ſuiuy de quelques gardes CLARIMONDE SOLIMONT LYDIANE.	SCÈNE V ALCANDRE suivi de quelques gardes CLARIMONDE SOLIMONT LYDIANE.
E viens belle Princeſſe executer l’Arreſt, IPar qui l’iniuſte Ciel veut que ie vous preſente D’vn homme deſia mort la deſpoüille viuante.	E viens belle Princesse exécuter l'Arrêt, IPar qui l'injuste Ciel veut que je vous présente D'un homme déjà mort la dépouille vivante.
Que recherche Almaz an?	Que recherche Almaz an?
n’eſt ce point ſon deſſein Que vous plongiez vous meſme vn poignard dans mon ſein?	n'est ce point son dessein Que vous plongiez vous même un poignard dans mon sein?
Veut il que dans mon ſang voſtre main ſoit lauée?	Veut -il que dans mon sang votre main soit lauée?
Et qu’arrachant ce cœurou vous eſtes grauée, Vous donniez a ſa flame ou bien à ſon courroux, Le pourtrait le plus beau qu’on fist iamais de vous?	Et qu'arrachant ce cœurou vous êtes gravée, Vous donniez à sa flamme ou bien à son courroux, Le pourtrait le plus beau qu'on fît jamais de vous?
CLARIMONDE.	CLARIMONDE.
Chaſſe cette penſée, Alcandreſi tu m'aymes, Souuiens toy toutefois que les rigueurs extrémes Qu'excite dans ſon ame vn feu continuel, N'ont pas contre ta vie vn deſſein moins cruel.	Chasse cette pensée, Alcandresi tu m'aimes, Souviens toi toutefois que les rigueurs extrêmes Qu'excite dans son âme un feu continuel, N'ont pas contre ta vie un dessein moins cruel.
Sire il faut qu’en trois mots, ah ce penſer me tuel	Sire il faut qu'en trois mots, ah ce penser me tuel
SOLIMONT .	SOLIMONT .
1.	1.
i ure trtu terte entreueue.	y jure tru terte entrevue.
Et quel en est l’obiect?	Et quel en est l'objet?
CLARIMONDE.	CLARIMONDE.
Trop pour ma gueriſon.	Trop pour ma guérison.
En vn mot le Tyran qui vous tient en priſon;	En un mot le Tyran qui vous tient en prison;
Me preſente ſes vœux, me menace, me preſſe, Il me traitte en eſclaue, il me traitte en maiſtreſſe, Et dans ſa paßion, reſolu de guerir, Il veut me poſſeder ou vous faire perir.	Me présente ses vœux, me menace, me presse, Il me traite en esclave, il me traite en maîtresse, Et dans sa passion, résolu de guérir, Il veut me posséder ou vous faire périr.
aviau it n pantaimerte Ijran, te perfide, Qui du ſang& de l’oreſgalement auide, Ayant parſon bon heur le voſtre ſurmonté, Triomphe inſolemment de noſtre liberté.	aviau it n éantaimerte Ijran, te perfide, Qui du sanget de l'orégalement aujde, Ayant parson bon heur le vôtre surmonté, Triomphe insolemment de notre liberté.
SOLIMONT.	SOLIMONT.
