A MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC E RICHELIEU.	À MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC E RICHELIEU.
I’en viens d’immoler deux aux Manes de mes freres, Rome aura le dernier de mes trois aduerſaires, C’eſt à ſes intereſts que ie vay l’immoler, (Dit-il) & tout d’vn temps on le voit y voler, La victoire entr’eux deux n’eſtoit pas incertaine, L’Albain percé de coups ne ſe traiſnoit qu’à peine Et comme vne victime aux marches de l’Autel, Il ſembloit preſenter ſa gorge au coup mortel:	J'en viens d'immoler deux aux Manes de mes frères, Rome aura le dernier de mes trois adversaires, C'est à ses intérêts que sans vais l'immoler, (Dit-il) et tout d'un temps on le voit y voler, La victoire entr'eux deux n'était pas incertaine, L'Albain percé de coups ne se traînait qu'à peine Et comme une victime aux marches de l'Autel, Il semblait présenter sa gorge au coup mortel:
Auſſi le reçoit-il, peu s’en faut, ſans deffence, Et ſon treſpas de Rome eſtablit la puiſſance.	Aussi le reçoit-il, peu s'en faut, sans défense, Et son trépas de Rome établit la puissance.
Le vieil HORAGE.	Le vieil HORAGE.
O mon fils, ô ma ioye, ô l’honneur de nos iours!	Ô mon fils, ô ma joie, ô l'honneur de nos jours!
O d’vn eſtat panchant l’ineſperé ſecours!	Ô d'un état penchant l'inespéré secours!
Vertu digne de Rome, & ſang digne d’Horace, Appuy de ton pays & gloire de ta race!	Vertu digne de Rome, et sang digne d'Horace, Apui de ton pays et gloire de ta race!
ments Quand pourray-ie eſtouffer dans tes embraſſeL’erreur dont i’ay formé de ſi faux ſentiments?	mens Quand pourrai-je étouffer dans tes embrasseL'erreur dont j'ai formé de si faux sentiments?
Quand pourra mon amour baigner auec tendreſſe Ton front victorieux de larmes d’allegreſſe?	Quand pourra mon amour baigner avec tendresse Ton front victorieux de larmes d'allégresse?
VALERE.	VALÈRE.
Vos careſſes bien toſt pourront ſe deſployer, Le Roy dans vn moment vous le va renuoyet, Et remet à demain le pompeux ſacrifice Qu Que nous deuons aux Dieux pour vn tel benefice, Auiourd’huy ſeulement on s’acquitte vers eux Par des chants de victoire & par de ſimples vœux:	Vos caresses bien tôt pourront se déployer, Le Roi dans un moment vous le va renvoyet, Et remet à demain le pompeux sacrifice Qu Que nous devons aux Dieux pour tel bénéfice, Aujourd'hui seulement on s'acquitte vers eux Par des chants de victoire et par de simples vœux:
C’eſt où le Roy le mene, & tandis il m’enuoye Faire office vers vous de douleur & de ioye, Mais cet office encor n’eſt pas aſſez pour luy, Il y viendra luy-meſme & peut-eſtre auiourd’huy.	C'est où le Roi le mène, et tandis il m'envoie Faire office vers vous de douleur et de joie, Mais cet office encor n'est pas assez pour un, Il y viendra lui-même et peut-même aujourd'hui.
Cette belle action ſi puiſſamment le touche, Qu’il vous veut rendre grace, & de ſa propre bouche, D’auoir donnẽ vos fils au bien de ſon eſtat.	Cette belle action si puissamment le touche, Qu'il vous veut rendre grâce, et de sa propre bouche, D'avoir donné vos fils au bien de son état.
Le vieil HORACE.	Le vieil HORACE.
De tels remercieliuts ont pourioy uop d'eſclat.	De tels remercieliuts ont pourjoi op d'éclat.
Et ie me tiens deſia trop payé par les voſtres Du ſeruice de l’vn, & du ſang des deux autres.	Et personne me tiens déjà trop payé par les vôtres Du service de l'Un, et du sang des deux autres.
VALERE.	VALÈRE.
Le Roy ne ſçait que c’eſt d’honorer à demy.	Le Roi ne sait que c'est d'honorer à demi.
Et ſon ſceptre arraché des mains de l’ennemy, Fait qu’ileſtime encor l’honneur qu’il vous veut faire;	Et son sceptre arraché des mains de l'ennemi, Fait qu'ilestime encor l'honneur qu'il vous veut faire;
Au deſſous du merite & du fils & du pere.	Au dessous du mérite et du fils et du père.
le vay luy tennoigner quels nobles ſentiments La vertu vous inſpire en tous vos mouuements, Et combien vous monſtrez d’ardeur pour ſon ſeruice.	le vais était tennoigner quels nobles sentiments La vertu vous inspire en tous vos mouvements, Et combien vous montrez d'ardeur pour son service.
Le vieil HORACE.	Le vieil HORACE.
de toue deuſuy beuueoup pour vun pon oiice.	de toue dusui bueoup pour vun pon oiice.
SCENE III.	SCÈNE III.
Le vieil HORACE, CAMILLE.	Le vieil HORACE, CAMILLE.
41 Le vieil HORACE.	41 Le vieil HORACE.
IA fille, il n’eſt plus temps de reſpandre des M pleurs, (neurs, l ſied mal d’en verſer où l'on void tant d’honon pleure iniuſtement des pertes domeſtiques C Quand	JA fille, il n'est plus temps de répandre des M pleurs, (neurs, l sied mal d'en verser où l'on voit tant d'hon pleure injustement des pertes domestiques Ç Quand
Quand on en voit ſortir des victoires publiques, Rome triomphe d’Albe, & c’eſt aſſez pour nous Tous nos maux à ce prix nous doiuent eſtre doux.	Quand on en voit sortir des victoires publiques, Rome triomphe d'Albe, et c'est assez pour nous Tous nos maux à ce prix nous doivent être doux.
En la mort d’vn amant vous ne perdrez qu’vn homme Dont la perte eſt aiſée à reparer dans Rome:	En la mort d'un amant vous ne perdrez qu'un homme Dont la perte est aisée à réparer dans Rome:
Apres cette victoire il n’eſt point de Romain Qui ne ſoit glorieux de vous donner la main, Ie m’en vais à Sabine en porter la nouuelle, Ce coup ſera ſans doute aſſez rude pour elle, Et ſes trois freres morts par la main d’vn eſpoux Luy donneront des pleurs bien plus iuſtes qu’à vous :	Après cette victoire il n'est point de Romain Qui ne soit glorieux de vous donner la main, Je m'en vais à Sabine en porter la nouvelle, Ce coup sera sans doute assez rude pour elle, Et ses trois frères morts par la main d' Houx Luy donneront des pleurs bien plus justes qu'à vous :
Mais i’eſpere aiſément en diſſiper l’orage, (rage, Et qu’vn peu de prudence aydant ſon grand couFera bien toſt regner ſur vn ſi noble cœur Le genereux amour qu’elle doit au vainqueur.	Mais j'espère aisément en dissiper l'orage, (rage, Et qu'un peu de prudence aidant son grand couffera bien tôt régner sur un si noble cœur Le généreux amour qu'elle doit au vainqueur.
Cependans eſtouffez cette laſche triſteſſe, Receuez le, s’il vient, auec moins de foibleſſe, Faites vous voir ſa ſœur, & qu’en vn meſme flanc Le Ciel vous a tous deux formez d’vn meſme ſang.	Cépendants étouffés cette lâche tristesse, Récevez le, s'il vient, avec moins de faiblesse, Faites vous voir sa sœur, et qu'en un même flanc Le Ciel vous a tous deux formez d'un autre sang.
SCENE IV.	SCÈNE IV.
CAMILLE.	CAMILLE.
Vy, ie luy feray voir par d’infallibles marques (ques, Qu’vn veritable amour braue la main des PatEt ne prend point de loix de ces cruels tyrans Qu’vn aſtre iniurieux nous donne pour parens, Tu blaſmes ma douleur, tu l’oſes nommmer laſche.	Vi, ie luy ferai voir par d'infallibles marques (ques, Qu'une véritable amour brave la main des PatÉt ne prend point de lois de ces cruels tyrans Qu'être astre injurieux nous donne pour parents, Tu blâmes ma douleur, tu l'oses nommer lâche.
Ie l’ayme d’autant plus que plus elle te faſche, Impitoyable pere, & par vn iuſte effort Ie la veux rendre eſgale aux rigueurs de mon ſort.	Je l'aime d'autant plus que plus elle te fâche, Impitoyable père, et par un juste effort Je la veux rendre égale aux rigueurs de mon sort.
En vit-on iamais vn dont les rudes traverſes Priſſent	En vit-on jamais un dont les rudes traverses Prissent
Priſſent en moins de rien tant de faces diuerſes, Qui fuſt doux tant de fois, & tant de fois cruel, Et portaſt tant de coups auant le coup mortel?	Prissent en moins de rien tant de faces diverses, Qui fût doux tant de fois, et tant de fois cruel, Et portât tant de coups avant le coup mortel?
Vit-on iamais vne ame en vn iour plus atteinte 45 De ioye & de douleur, d’eſperance & de crainte, Aſſeruie en eſclaue à plus d’euenements, Et le piteux ioüet de plus de changements?	Vit-on jamais une âme en un jour plus atteinte 45 De joie et de douleur, d'espérance et de crainte, Asservie en esclave à plus d'événements, Et le piteux jet de plus de changements?
Vn oracle m’aſſeure, vn ſonge m’eſpouuante, La bataille m’effraye, & la paix me contente, Mon Hymen ſe prepare, & preſque en vn moment Pour combatre mon frere on choiſit mon amant, Les deux camps mutinez vn tel choix deſaduoüent, Ils rompent la partie, & les Dieux la renoüent, Rome ſemble vaincuë & ſeul des trois Albains Curiace en mon ſang n’a point trempé ſes mains;	Un oracle m'assure, un songe m'épouvante, La bataille m'effraie, et la paix me contente, Mon Hymen se prépare, et presque en un moment Pour combattre mon frère on choisit mon amant, Les deux camps mutinez un tel choix desaduoüent, Ils rompent la partie, et les Dieux la renoüent, Rome semble vaincue et seul des trois Albains Curiace en mon sang n'a point trempé ses mains;
Dieux!	Dieux!
ſentois-je point lors des douleurs trop legeres Pour le malheur de Rome, & la mort des deux freres?	sentais-je point lors des douleurs trop légères Pour le malheur de Rome, et la mort des deux frères?
Me flattoy-je point trop quand ie croyois pouuoir L’aymer encor ſans crime & nourrir quelque eſpoir?	Me flattoi-je point trop quand je croyais pouvoir L'aimer encor sans crime et nourrir quelque espoir?
Sa mort m’en punit bien, & la façon cruelle Dont mon ame eſperduë en reçoit la nouuelle, Son riual me l’apprend, & faiſant à mes yeux D'vn ſi triſte ſuccés le recit odieux, Il porte ſur le front vne allegreſſe ouuerte (perte, Que le bonheur public fait bien moins que ma Et baſtiſſant en l’air ſur le malheur d’autruy Auſſi bien que mon frere il triomphe de luy.	Sa mort m'en punit bien, et la façon cruelle Dont mon âme éperdue en reçoit la nouvelle, Son rival me l'apprend, et faisant à mes yeux D'un si triste succès le récit odieux, Il porte sur le front une allégresse ouuerte (perte, Que le bonheur public fait bien moins que ma Et bâtissant en l'air sur le malheur d'autrui Aussi bien que mon frère il triomphe de même.
Mais ce n’eſt encor rien au prix de ce qui reſte, On demande ma ioye en vn coup ſi funeſte, Il me faut applaudir aux exploits du vainqueur, Et baiſer vne main qui me perce le cœur En vn ſuiet de pleurs ſi grand, ſi legitime, Se plaindre eſt vne honte & ſouſpirer vn crime.	Mais ce n'est encor rien au prix de ce qui reste, On demande ma joie en un coup si funeste, Il me faut applaudir aux exploits du vainqueur, Et baiser une main qui me perce le cœur En un sujet de pleurs si grand, si légitime, Se plaindre est une honte et soupirer un crime.
Leur brutale vertu veut qu’on s’eſtime heureux, Et ſi l’on n’eſt barbare, on n’eſt point genereux, Degenerons, mon cœur, d’vn ſi vertueux pere, Soyons indigne ſœur d’vn ſi genereux frere, C’eſt gloire de paſſer pour des cœurs abbatus Quand la brutalité fait les hautes vertus, (dre?	Leur brutale vertu veut qu'on s'estime heureux, Et si l'on n'est barbare, on n'est point généreux, Dégénérons, mon cœur, d'un si vertueux père, Soyons indigne sœur d'un si généreux frère, C'est gloire de passer pour des cœurs abatus Quand la brutalité fait les hautes vertus, (dre?
Eſclatés mes douleurs, à quoy bon vous contrainQuand on a tout perdu, que ſçauroit-on plus craindre?	Esclatés mes douleurs, à quoi bon vous contrainuand on a tout perdu, que saurait-on plus craindre?
Pour ce cruel vainqueur n’ayés point de reſpect, Loin d’éuiter ſes yeux croiſſez à ſon aſpect, Offenſez ſa victoire, irritez ſa colere, Et prenez s’il ſe peut, plaiſir à luy déplaire.	Pour ce cruel vainqueur n'ayez point de respect, Loin d'éviter ses yeux croissez à son aspect, Offensez sa victoire, irrités sa colère, Et prenez s'il se peut, plaisir à lui déplaire.
Il vient, preparons nous à monſtrer conſtamment Ce que doit vne amante à la mort d’vn amant.	Il vient, préparons nous à montrer constamment Ce que doit une amante à la mort d'un amant.
SCENE V.	SCÈNE V.
HORACE, CAMILLE, PROCVLE, & deux autres Soldats portant chacun vne eſpée des Curiaces.	HORACE, CAMILLE, PROCULE, et deux autres Soldats portant chacun une épée des Curiaces.
HORACE.	HORACE.
A ſœur, voicy le bras qui vange nos deux fre- mi M res, Le bras qui rompt le cours de nos deſtins contraires, (bras Qui nous feiidi ianittes d inde grenmn voicy le Qui ſeul fait auiourd’huy le ſort de deux Eſtats:	À sœur, voici le bras qui venge nos deux frère- mi M es, Le bras qui rompt le cours de nos destins contraires, (bras Qui nous feiidi janites d inde grenmn voici le Qui seul fait aujourd'hui le sort de deux États:
Voy ces marques d’honneur, ces telmoins de ma aie gloire, Et rends ce que tu dois à l’heur de ma victoire.	Vois ces marques d'honneur, ces telmoins de ma aie gloire, Et rends ce que tu dois à l'heur de ma victoire.
CAMILLE.	CAMILLE.
Receuez donc mes pleurs, c’eſt ce que ie luy doibs.	Recez donc mes pleurs, c'est ce que ie cy doibs.
HORACE.	HORACE.
Rome n’en veut point voir, apres de tels exploits.	Rome n'en veut point voir, après de tels exploits.
Et nos deux freres morts dans le malheur des armes, Sont trop payés de ſang pour exiger des larmes, Quand la perte eſt vangee, on n’a plus rien perdu,	Et nos deux frères morts dans le malheur des armes, Sont trop payés de sang pour exiger des larmes, Quand la perte est venge, on n'a plus rien perdu,
CAMILLE.	CAMILLE.
Puiſqu’ils ſont ſatisfaits par le ſang eſpandu, Ie ceſſeray pour eux de paroiſtre affligée, Et i’oublieray leur mort que vous auez vangée.	Puisqu'ils sont satisfaits par le sang épandu, Je cesserai pour eux de paraître affligée, Et j'oublierai leur mort que vous avez vengée.
Mais qui mie vangera de celle d’vn amant Pour me faire oublier ſa perte en vn moment?	Mais qui mie vengera de celle d'un amant Pour me faire oublier sa perte en un moment?
HORACE.	HORACE.
Que dis-tu malheureuſe?	Que dis-tu malheureuse?
CAMILLE.	CAMILLE.
O mon cher Curiace!	Ô mon cher Curiace!
HORACE.	HORACE.
O d’vne indigne ſœur l’inſuportable audace!	Ô d'une indigne sœur l'insuportable audace!
D’vn ennemy public dont ie reuiens vainqueur Le nom eſt dans ta bouche, & l’amour dans ton cœur, Ton ardeut criminelle à la vangeance aſpire, Ta bouche la demande, & ton cœur la reſpire, Suy moins ta paſſion, regle mieux tes deſirs, Ne inle fay plus fougit d'entendie tes iouipnis, Tes flames deſormais doiuent eſtre eſtouffées, Banny les de ton ame, & ſonge à mes trophées Qu’ils ſoient doreſnauant ton vnique entretien.	D'un ennemi public dont Seigneur reviens vainqueur Le nom est dans ta bouche, et l'amour dans ton cœur, Ton ardeut criminelle à la vengeance aspire, Ta bouche la demande, et ton cœur la respire, Sui moins ta passion, règle mieux tes désirs, Ne inle fais plus fougit d'entendie tes jouipnis, Tes flammes désormais doivent être étouffées, Banni les de ton âme, et songe à mes trophées Qu'ils soient doresnauant ton unique entretien.
CAMILLE.	CAMILLE.
Donne moy donc, barbare, vn cœur cõme le tien, Et ſi tu veux enfin que ie t’ouure mon ame, Rends moy mon Curiace, ou laiſſe agir ma flame, Ma ioye & mes douleurs dependoient de ſon ſort, Ie l’adorois viuant, & ie le pleure mort.	Donne moi donc, barbare, un cœur comme le tien, Et si tu veux enfin que ie t'ouvre mon âme, Rends moi mon Curiace, ou laisse agir ma flamme, Ma joie et mes douleurs dépendaient de son sort, Je l'adorais vivant, et ainsi le pleure mort.
Ne cherche plus ta ſœur où tu l’auois laiſſée, Tu ne reuois en moy qu’vne amante offenſée Qui comme vne furie attachée à tes pas Te veut inceſſamment reprocher ſon treſpas c 3 Iigre Tigre affamé de ſang qui me deffends les larmes Qui veux que dans ſa mort ie trouue encor des charmes, Et que iuſques au Ciel eſleuant tes exploits Moy meſme ie le tuë vne ſeconde fois.	Ne cherche plus ta sœur où tu l'avais laissée, Tu ne rêvais en moi qu'une amante offensée Qui comme une furie attachée à tes pas Te veut incessamment reprocher son trépas ç 3 Jigre Tigre affamé de sang qui me défends les larmes Qui veux que dans sa mort ie trouve encor des charmes, Et que jusqu' au Ciel élevant tes exploits Moi -même ie le tue seconde fois.
