A MADAMOISELLE DE BOVRBON.	À MADAMOISELLE DE BOURBON.
Sexe fallacieux, Sirenes captieuſes, Dommageables beautez, & trop pernicieuſes?	Sexe fallacieux, Sirène captieuses, Dommageables beautés, et trop pernicieuses?
Ha!	Ha!
que vous monſtrez bien que cét Aſtre inconſtant, La Lune vous regit, que vous eſtimez tant, L’Enfer a les trois ſœurs pour ſes forceneries, Et comme luy le monde a de belles furies:	que vous montrez bien que cet Astre inconstant, La Lune vous régit, que vous estimez tant, L'Enfer a les trois sœurs pour ses forcénéries, Et comme lui le monde a de belles furies:
Mais c’eſt trop retarder, tout homme courageux Peut ſortir librement d’vn deſaſtre orageux, Cependant que ie ſuy les roûtes inconnuës, Vn rocher chaſtié pour s’approcher des nuës Dont le chef ſemble choir & ſe precipiter, M’apprend qu’en ſa poſture il me faut l’imiter, Oiajor toſt quet anray de ce ferjecourable Dépeint auec mon ſang ce malheur déplorable, Vous Demons de ces lieux entendez mes clameurs, Ie vais mourir conſtant nonobſtant ſes humeurs.	Mais c'est trop retarder, tout homme courageux Peut sortir librement d'être désastre orageux, Cependant que je suis les routes inconnues, Un rocher châtié pour s'approcher des nues Dont le chef semble choir et se précipiter, M'apprend qu'en sa posture il me faut l'imiter, Ojàjor tôt que anraí de ce ferjecjourable Dépeint avec mon sang ce malheur déplorable, Vous Demons de ces lieux entendez mes clameurs, Je vais mourir constant nonobstant ses humeurs.
Echo.	Écho.
meurs.	meurs.
Quelle voix fauorable oy-ie qui me conſeille, Lors qu’au ſein de la nuict toute choſe ſommeille, Profitables conſeils, ſalutaires auis, Ie ne ſuis plus à moy, tous mes ſens ſont rauis.	Quelle voix favorable ois-je qui me conseille, Lors qu'au sein de la nuit toute chose sommeille, Profitables conseils, salutaires avis, Je ne suis plus à moi, tous mes sens sont ravis.
ECHO.	ECHO.
STANCES.	STANCES.
Emon qui que tu ſois, dont la voix precieuſe & Minuue aueiuiſſer ma vie iniurieuſe, Que ie te ſuis tenu de reſpondre à mes cris.	Emon qui que tu sois, dont la voix précieuse et Minuve a ma vi iniurieuse, Que ie te suis tenu de répondre mes cris.
Echo.	Écho.
eſcri Bien que la conſequence en ſoit trop importune, Pour eſtre obeïſſant à tes diuins eſprits I'eſcriray de mon ſang toute mon infortune.	écri Bien que la conséquence en soit trop importune, Pour être obéissant à tes divins esprits J'écrirai de mon sang toute mon infortune.
EcHo.	ÉcHo.
D'elle, adorable voix, ſeroit-il bien poſſible d’elle Qu’vn iour à mes ſouſpirs elle deuint ſenſible, Ou ce que tu m'apprens l’aurois tu bien oüy.	D'elle, adorable voix, serait-il bien possible d'elle Qu'un jour à mes soupirs elle devint sensible, Ou ce que tu m'apprends l'aurais tu bien oui.
Echo.	Écho.
ouj Si ce bien m'eſt certain, rauy hors de moy meſme, Aſſeure toy Demon qu'en cét heur inoüy I'eſtimeray dés lors mon amour à l'extreme.	ouj Si ce bien m'est certain, ravi hors de moi -même, Assure toi Démon qu'en cet heur inouï J'estimerai dès lors mon amour à l'extrême.
Echo.	Écho.
ayme.	aime.
Ie l’aymeray touſiours malgré ceſte diſgrace, Quelque odieux tourment que ſa rigueur me trace;	Je l'aimerai toujours malgré cette disgrâce, Quelque odieux tourment que sa rigueur me trace;
De ſorte qu'en mourant i’inuoqueray ſon nom.	De sorte qu'en mourant j'invoquerai son nom.
Echo.	Écho.
Que ie ne meure pas aprés qu’en cét iniure ſue a tant outrage mon amoureux renom, Ne m’en deſtourne point, amy ie t’en coniure.	Que personne ne meure pas après qu'en cet injure sue a tant outrage mon amoureux renom, Ne m'en détourne point, ami ainsi t'en conjure.
non.	non.
Echo.	Écho.
Quel beſoin de iurer elle eſt aſſez certaine, iure.	Quel besoin de jurer elle est assez certaine, jure.
apres tant de ferueurs que ma foy n’eſt pas vaine:	après tant de ferveurs que ma foi n'est pas vaine:
Que luy ſemble-ie donc, dy le pour m’alleger?	Que avait semble-je donc, dis le pour m'alléger?
Echo.	Écho.
nie.	nie.
Ielas!	Jélas!
pourquoy nier, que le malheur m’opprime ſi contre mon deuoir i’ay commis quelque crime, Ie malheureux conſeil, cher amy que voila.	pourquoi nier, que le malheur m'opprime si contre mon devoir j'ai commis quelque crime, Je malheureux conseil, cher ami que voilà.
Echo.	Écho.
Voy la.	Vois la.
La voir?	La voir?
ne ſçais-tu pas que cette iniurieuſe Dans l’iniuſte ſoupçon qui la pouſſe à cela, iie la penſe voir deuiendra furieuſe.	ne sais-tu pas que cette injurieuse Dans l'injuste soupçon qui la pousse à cela, jie la pensée voir deviendra furieuse.
Echo.	Écho.
rieuſe.	rieuse.
lais apprend moy de grace eſprit incomparable, e coup d'affliction eſt-il irreparable?	lais apprend moi de grâce esprit incomparable, e coup d'affliction est-il irréparable?
Echo.	Écho.
S’il est vray bon Genie, il faut que ie confeſſe Que ſi ie puis ſçauoir cet importun hay Mon deſir de mourir auſſi tost prendra ceſſe.	S'il est vrai bon Génie, il faut que je confesse Que si tu puis savoir cet importun hai Mon désir de mourir aussi tôt prendra cesse.
Echo.	Écho.
L’affliction ceſſant ie n’auray plus d’enuie De preuenir mon ſort en finiſſant ma vie, ceſſe.	L'affliction cessant ici n'aurai plus d'envie De prévenir mon sort en finissant ma vie, cesse.
En voyant tout d’vn coup tous mes malheurs rauis.	En voyant tout d'un coup tous mes malheurs ravis.
Echo.	Écho.
c’eſt l’air.	c'est l'air.
Tel ſon ſemble ſortir d'vne roche ancienne Que ma voix a produit, qui iailliſſant de l’aiM’abuſe, il ne faut pas que cela me retienne:	Tel son semble sortir d'une roche ancienne Que ma voix a produit, qui jaillissant de l'aiM'abuse, il ne faut pas que cela me retienne:
Inſenſé que ie ſuis dois-ie icy quereller Des cailloux endurcis que i’apprens à parler:	Insensé que ici suis dois-je ici quereller Des cailloux endurcis que j'apprends à parler:
C’eſt l’Echo, car ma voix qui treuue là ſon centre Fait qu’elle me répond du milieu de cet antre:	C'est l'Écho, car ma voix qui trouve là son centre Fait qu'elle me répond du milieu de cet antre:
montens aencenaquntana jorcala utentonr, Vous viuez en aymant, & moy ie meurs d’amour.	montens aencenaquntana jorcala utentonr, Vous vivez en aimant, et moi -même meurs d'amour.
ESLANS.	ÉLANS.
Chere voix de ma voix qui fais parler les roches Qui groſſiſſent les flancs de ces montagnes proches, Appren luy mes diſcours de la bouche de l’air.	Chère voix de ma voix qui fais parler les roches Qui grossissent les flancs de ces montagnes proches, Appren cy mes discours de la bouche de l'air.
Helas!	Hélas!
quelle folie Cette melancholie Veut qu’elle me reſponde, & ie ne puis parler.	quelle folie Cette mélancolie Veut qu'elle me réponde, et notre ne puis parler.
Fidelle ſang qui peins d’vne trace homicide Vn ruiſſeau ſerpentant d’vn beau corail liquide:	Fidèle sang qui peins d'une trace homicide Un ruisseau serpentant d'un beau corail liquide:
Vray teſmoin rougiſſant de mon peu de rigueur En cette triſte place Preſente luy ta glace Le ſang est le miroir où ſe voit la rigueur.	Vrai témoin rougissant de mon peu de rigueur En cette triste place Présente te ta glace Le sang est le miroir où se voit la rigueur.
Tu t’abuſes encore en ta vermeille courſe:	Tu t'abuses encore en ta vermeille course:
Car l'endroit d’où tu ſors n’est pas ta vraye ſource, Mais l’ingrate Vranie en qui tout est parfaict:	Car l'endroit d'où tu sors n'est pas ta vraie source, Mais l'ingrate Vranie en qui tout est parfait:
Coule toy doncques vers elle O beau ſang trop fidelle, Puis qu’au prés de la cauſe on doit treuuer l’effect.	Coule toi donc vers elle Ô beau sang trop fidèle, Puis qu'au prés de la cause on doit trouver l'effect.
Vn ſoupçon chimerique, vn vent, vne fumee, Vne affection morte auſſi tost qu’allumee La reudent tributaire à la deſloyauté.	Un soupçon chimérique, un vent, une fumée, affection morte aussi tôt allumée La reudent tributaire la desloyauté.
Le change la fit naiſtre, Ce qui me fait coneſtre D’où vient le nom de femme à l’infidelité.	Le change la fit naître, Ce qui me fait conêtre D'où vient le nom de femme à l'infidélité.
A la fin le deſtin ſenſible à mon martire, Fait que mon foible eſprit peu à peu ſe retire, Mon ſens ſort de mon ſang, ma vie de mon flanc.	À la fin le destin sensible à mon martyre, Fait que mon faible esprit peu à peu se retire, Mon sens sort de mon sang, ma vie de mon flanc.
Tourmens ie ſuis de glace, Voſtre hoſte qui treſpaſſe Vous force à vous noyer dedans ſon propre ſang.	Tourments Seigneur suis de glace, Votre hôte qui trépasse Vous force à vous noyer dedans son propre sang.
SCENE II.	SCÈNE II.
VRANIE ADAMANTE.	VRANIE ADAMANTE.
I.	I.
PESCHEVR, 2.	PÉCHEUR, 2.
PESCHEVR.	PÉCHEUR.
PLAINTES D'VRANIE, Oncques le prince des perfides, DCe cœur remply de trabiſon, A voulu rompre ſa priſon Pour eſtre au rang des homicides.	PLAINTES D'URANIE, Oncques le prince des perfides, DCe cœur rempli de trabison, À voulu rompre sa prison Pour être au rang des homicides.
Ingrat à ſes ſouſpirs paſſez, Il croit que ce n’eſtpas aſſez, Que ma fortune ſoit rauie, Il veut arbitre de mon ſort, Comme il a gouuerné ma vie, Liurer mon deſeſpoir au pouuoir de la mort.	Ingrat à ses soupirs passez, Il croit que ce n'estpas assez, Que ma fortune soit ravie, Il veut arbitre de mon sort, Comme il a gouverné ma vie, Livrer mon désespoir au pouvoir de la mort.
Qu’il a bien changé de nature Quand pour luy couſeruer ma foy Ie trahis mon bon-heur & moy Pour partager ſon auanture, Lors que ſon infidelité Sceut charmer ma credulité, Ses diſcours m’eſtoient des oracles Tant ſes feintes perfections Que i’auoüois pour des miracles Sçauoient bien triompher de mes affections.	Qu'il a bien changé de nature Quand pour lui couserver ma foi Je trahis mon bonheur et moi Pour partager son aventure, Lors que son infidélité Sut charmer ma crédulité, Ses discours m'étaient des oracles Tant ses feintes perfections Que j'auoüois pour des miracles Savaient bien triompher de mes affections.
Malgré l’inimitié cruelle Qu’il treuuoit en noſtre maiſon:	Malgré l'inimitié cruelle Qu'il trouvait en notre maison:
Malgré mon ſens & ma raiſon Il m'eſprouua touſiours fidelle:	Malgré mon sens et ma raison Il m'éprouva toujours fidèle:
La ſaincte ferueur de mes vœux, L’exceßiue ardeur de mes feux Le luy firent aſſez coneſtre:	La sainte ferveur de mes vœux, L'excessiue ardeur de mes feux Le lui firent assez conêtre:
En vn mot ſans tant diſcourir Ie quittay l’autheur de mon eſtre Pour ſuiure vn qui me fuit, & qui me fait mourir.	En un mot sans tant discourir Je quittai l'auteur de mon être Pour suivre un qui me fuit, et qui me fait mourir.
Beau ſujet de mon eſperance, Diſoit cét Amant deſloyal, Que ce cœur tout à fait Royal Conſulte ma perſeuerance, Que vos yeux voyent dans les miens Que vos cheueux mes beaux liens M'attacherent à vos merites, Ie vous iure que mon amour	Beau sujet de mon espérance, Disait cet Amant déloyal, Que ce cœur tout à fait Royal Consulte ma persévérance, Que vos yeux voient dans les miens Que vos cheveux mes beaux liens M'attachèrent à vos mérites, Je vous jure que mon amour
Qui ne conoiſt point de limites Viura quand l’Vniuers verra ſon dernier iour, Faiſons tant qu’au ſein des naufrages cét Amour rencontre le port, Et qu’il ſe mocque de l’effort Des tourmentes & des orages, Qu’il croiſſe parmy les malheurs, Qu'il dure parmy les douleurs, Que les ialoux le faſſent viure, Qu’il cheriſſe l’infinité, Et que l’on graue ſur le cuiure Qu’il fut riual des Dieux & de l’Eternité.	Qui ne conoist point de limites Vivra quand l'Univers verra son dernier jour, Faisons tant qu'au sein des naufrages cet Amour rencontre le port, Et qu'il se moque de l'effort Des tourmentes et des orages, Qu'il croisse parmi les malheurs, Qu'il dure parmi les douleurs, Que les jaloux le fassent vivre, Qu'il chérisse l'infinité, Et que l'on grave sur le cuivre Qu'il fut rival des Dieux et de l'Eternité.
Cher entretien de mes penſees Pourſuiuoit ce malicieux, Dont les ſouſpirs pernicieux Rendoient mes flames offenſees:	Cher entretien de mes pensées Poursuivait ce malicieux, Dont les soupirs pernicieux Rendaient mes flammes offensées:
Tout mon bon-heur depend du tien, Ma gloire n’a d’autre ſouſtien Que de viure dans ta memoire:	Tout mon bonheur dépend du tien, Ma gloire n'a d'autre soutien Que de vivre dans ta mémoire:
C’eſt toy qui me fais proſperer, Et croy que ma plus grande gloire Ne vient que du bon beur que i’en dois eſperer.	C'est toi qui me fais prospérer, Et crois que ma plus grande gloire Ne vient que du bon beur que j'en dois espérer.
Qui m'euſt dit voyant ces careſſes Que ces mots n’eſtoient que du vent, Et que ce diſcours deceuant Seroit l’obiect de mes triſteſſes, N’euſt rien emporté ſur mes ſens, Tant mes ſentimens innocens	Qui m'eût dit voyant ces caresses Que ces mots n'étaient que du vent, Et que ce discours décevant Serait l'objet de mes tristesses, N'eût rien emporté sur mes sens, Tant mes sentiments innocents
Croyent	Croient
Croyoient à ſes vaines paroles, Et i’euſſe touſiours conteſté Quand pour me les monſtrer friuolles La raiſon me l’euſt dit ou bien la verité.	Croyaient à ses vaines paroles, Et j'eusse toujours contesté Quand pour me les montrer friuolles La raison me l'eût dit ou bien la vérité.
Helas!	Hélas!
que ces ſermens pariures Me font voir de triſtes effaits, Et que mes feux mal ſatis faits Ont ſouffert d’eſtranges iniures Depuis ces preſſentes ardeurs, Ne ſont plus rien que des froideurs, Il me diſoit vne Deeſſe, Ses vœux m'eſleuoient des autels, Maintenant au dueil qui me preſſe Ie doute ſi ie ſuis au nombre des mortels.	que ces serments parjures Me font voir de tristes effaits, Et que mes feux mal satî faits Ont souffert d'étranges injures Depuis ces pressentes ardeurs, Ne sont plus rien que des froideurs, Il me disait une Déesse, Ses vœux m'élevaient des autels, Maintenant au deuil qui me presse Je doute si tu suis au nombre des mortels.
Pauures Amantes abuſees Ne croyez plus à ces trompeurs, Dont les ſouſpirs vains & pipeurs Vous ont tant de ſois meſpriſees:	Pauvres Amantes abuse Ne croyez plus à ces trompeurs, Dont les soupirs vains et pipeurs Vous ont tant de sois méprises:
Bien que leurs diſcours ſoient charmants La feinte conduit leurs ſerments, La froideur ſuit de prés leurs flames:	Bien que leurs discours soient charmants La feinte conduit leurs serments, La froideur suit de près leurs flammes:
Quand ils iurent d’aymer touſiours Ils entendent dedans leurs ames 4 D'aymer le changement en matiere d’amours.	Quand ils jurent d'aimer toujours Ils entendent dedans leurs âmes 4 D'aimer le changement en matière d'amours.
Partagez les maux que i’endure Chaſtes diuinitez des bois Ne refuſez point voſtre voix A mon affliction ſi dure:	Partagez les maux que j'endure Chastes divinités des bois Ne refusés point quelque voix À mon affliction si dure:
Roches ie ſuis ainſi que vous L'object du celeste courroux:	Roches beau suis ainsi que vous L'object du céleste courroux:
Ruiſſeaux ie me fonds toute en larmes:	Ruisseaux ie me fonds toute en larmes:
Echo ie ne ſçaurois parler, Beau criſtal i’ay perdu mes charmes, Zephirs ie ne ſuis plus qu’vn fantoſme de l’air.	Écho ie ne saurais parler, Beau cristal j'ai perdu mes charmes, Zéphirs ie ne suis plus qu' fantôme de l'air.
Mais treſpas ie ne ſuis pas morte Pour faire viure mes ennuis, En peu de iours beaucoup de nuicts Forment l’horreur qui me tranſporte, Vien faire mourir auec moy La haine, la fureur, l’effroy Fay que tes coups me ſoient propices, Ie te vay treuuer en ce lieu, Et marchant deſſous tes auſpices La Lune ne pareſt que pour me dire adieu.	Mais trépas beau ne suis pas morte Pour faire vivre mes ennuis, En peu de jours beaucoup de nuits Forment l'horreur qui me transporte, Viens faire mourir avec moi La haine, la fureur, l'effroi Fais que tes coups me soient propices, Je te vais trouver en ce lieu, Et marchant dessous aux auspices La Lune ne par que pour me dire adieu.
