NCTEVRS.	NCTEURS.
Ou par vne nouuelle & certaine aſſeurance, AAonent cruſſermer mu nounerte eſperunce .	Ou par une nouvelle et certaine assurance, AAonent crussermer mu nouvnerte espérunce .
Caliſte ayant gagné Dorothée à nos Dieux, Dy moy ſi mon ami pour moy n'a point fait mieux?	Caliste ayant gagné Dorothée à nos Dieux, Dy moi si mon ami pour moi n'a point fait mieux?
LAVIEN.	LAVIEN.
Voſire ami x’a rien fait auſſi peu que Caliſie.	Vosire ami x'a rien fait aussi peu que Calisie.
A tous deux Dorothée également reſiſte, Ou pour vous en parler encor plus franchement, Ette tel aeulntas tons dena egalemtnr.	À tous deux Dorothée également résiste, Ou pour vous en parler encor plus franchement, Éte tel aeulntas tons dena égalemnr.
RICE.	RICE.
Elle les a vaincus?	Elle les a vaincus?
Ha!	Ha!
tu me veux ſurprendre, En déguiſant ainſi ce que tu viens m’aprendre.	tu me veux surprendre, En déguisant ainsi ce que tu viens m'apprendre.
LAVIEN.	LAVIEN.
Ne vous y trompeZ pas, ie ne déguize point.	Ne vous y trompez pas, Seigneur ne déguise point.
Non, le déguizement ſieroit mal en ce point.	Non, le déguisement siérait mal en ce point.
Neantmoins pleuſt aux Dieux qu’il fuſt en ma puiſſance, De pecher en cela contre la bien ſeance.	Néanmoins pleût aux Dieux qu'il fût en ma puissance, De pécher en cela contre la bien séance.
Mais helas!	Mais hélas!
mon diſcours niſt que trop ferithes Comme Comme il n'eſt que trop vray, pour vous & pour nos Dienx.	mon discours nît que trop ferithes Comme Comme il n'est que trop vrai, pour vous et pour nos Dienx.
APRICE.	APPRICE.
Quoy?	Quoi?
vrayement Dorothée emporte la victoire?	vraiment Dorothée emporte la victoire?
Tion y prend, ly ce billet, voy ſi ie le dois croire.	Tion y prend, li ce billet, vois si ici le dois croire.
Athemodore vient d’en eſtre le porteur.	Athéodore vient d'en être le porteur.
FLAVIEN.	FLAVIEN.
Il m'eſt auſſi ſuſpect que ce faux ſeruiteur.	Il m'est aussi suspect que ce faux serviteur.
Ie tiens que l’vn & l’autre eſt rempli d’artifice.	Je tiens que l'un et l'autre est rempli d'artifice.
Voyons le toutesfois.	Voyons le toutefois.
Billet de Caliſte.	Billet de Caliste.
Au Genereux APRICE.	Au Généreux APRICE.
Illuſtre & genereux Ami, Nous auons enfin la victoire, Vien prendre part à noſtre gloire.	Illustre et généreux Ami, Nous avons enfin la victoire, Viens prendre part à notre gloire.
Sans toy nous ne pouuons en iouïr qu’à demi.	Sans toi nous ne pouvons en jouir qu'à demi.
Caiſte.	Caiste.
APRICE.	APPRICE.
Qu'en dis-tu?	Qu'en dis-tu?
parle, dy, que t’en ſemble?	parle, dis, que t'en semble?
FLAVIEN.	FLAVIEN.
I'en demeure & confus & raui tout enſemble.	J'en demeure et confus et ravi tout ensemble.
Si Caliſte a vaincu pour vous & pour nos Dieux, It me faut dementir mon oreille & mes yeux.	Si Caliste a vaincu pour vous et pour nos Dieux, It me faut démentir mon oreille et mes yeux.
Ie voy dans ce papier ſa viToire aſſeZ claire, Cette boette pourtant m’aſſeure du contraire.	Je vois dans ce papier sa viToire assez claire, Cette bette pourtant m'assure du contraire.
* Tenez, prenez, onurez, & vous m’anoüereZ, Apres cela, Seigneur, ce que vous en croireZ.	* Tenez, prenez, onurez, et vous m'anoüereZ, Après cela, Seigneur, ce que vous en croirez.
APRICE.	APPRICE.
Dieux!	Dieux!
quel faſcheux objet ſe preſente à ma veuë, baillar un junu mieu ues emeftens c’eſt la figure nuë.	quel fâcheux objet se présente à ma vue, baillar un ju mieu emeftens est la figure nuë.
FLAVIEN.	FLAVIEN.
He Tbien, qu'en croyez-vous?	He Tbien, qu'en croyez-vous?
APRICE.	APPRICE.
Peut eſtre les deux ſœurs Par leurs raiſonnemens ou bien par leurs douceurs, Auec bien du bonneurtont enfon emportet.	Peut être les deux sœurs Par leurs raisonnements ou bien par leurs douceurs, Avec bien du bonneurtont enfon emportet.
Et triomphé par là d’elle & de Dorothée.	Et triomphé par là d'elle et de Dorothée.
FLAVIEN.	FLAVIEN.
I'auois tantoſt moy meſme vn pareil ſentiment, Mais i’ay vû que la choſe en va tout autrement;	J'avais tantôt moi -même un pareil sentiment, Mais j'ai vu que la chose en va tout autrement;
Et qu’il ne faut iamais eſtablir ſa creance Deſſus vne legere & trompeuſe aparence.	Et qu'il ne faut jamais établir sa créance Dessus une légère et trompeuse apparence.
En effet pour monſtrer que ma ſincerité Ne s’accorde pas mal à ma fidelité;	En effet pour montrer que ma sincérité Ne s'accorde pas mal à ma fidélité;
Aprenez, ô Seigneur, la ſuite infortunée De la commiſſion que vous m’auiez donnée.	Apprenez, ô Seigneur, la suite infortunée De la commission que vous m'aviez donnée.
L’ardeur de voſtre amour & l’intereſt des Dieux M’ayant donc obligé de venir en ces lieux, I apprend que voſtre ami, les ſœurs & la maiſtreſſe ue vous voudriez guerir & qui pourtãt vous bleſDans le iardin prochain ſi commode à l’amour, (ſe Sont allez pour ioüir de la beauté du iour.	L'ardeur de votre amour et l'intérêt des Dieux M'ayant donc obligé de venir en ces lieux, I apprend que votre ami, les sœurs et la maîtresse ue vous voudriez guérir et qui pourtãt vous blesDants le jardin prochain si commode à l'amour, (se Sont allez pour jouir de la beauté du jour.
Iy vay, i’entre d’abord dans vne grande allée, Où la branche du Mirthe au verd l’aurier meſlée, Firme en toute ſaiſon vn ſi ſombre berceau, Que le iour le plus clair y trouue ſon tombeau.	Ii vais, j'entre d'abord dans une grande allée, Où la branche du Mirte au verd l'aurier mêlée, Firme en toute saison un si sombre berceau, Que le jour le plus clair y trouve son tombeau.
Vers lequel i’apperçoy que i’auance Chriſtine.	Vers lequel j'aperçois que j'avance Christine.
Io m’auance apres elle & marchant ſur ſes pas, I'y trouue ce portrait que ie ne cherchois pas.	Jo m'avance après elle et marchant sur ses pas, J'y trouve ce portrait que ici ne cherchais pas.
Dez que i’ouure la boëtte vn rayon d’eſperance, Per Perçant dans mon eſprit, le met en aſſeurance, Et luy fait, quoy qu’à faux, porter ce iugement, Que c’eſt d’vn bon ſuccez vn bon commencement;	Dez que j'ouvre la boîte un rayon d'espérance, Per Perçant dans mon esprit, le met en assurance, Et avait fait, quoi qu’à faux, porter ce jugement, Que c'est d'un bon succès un bon commencement;
Que les ſœurs ont enfin gagné ſur leur amie Cet objet criminel de ſon idolatrie;	Que les sœurs ont enfin gagné sur leur amie Cet objet criminel de son idolâtrie;
Qu'elles l’arracheront bien toſt de ſon eſprit, Et que vous y tiendrez le lieu de Ieſus-Chriſt.	Qu'elles l'arracheront bien tôt de son esprit, Et que vous y tiendrez le lieu de Jésus-Christ.
Auec cette penſée, auec cetie eſperance, Vers l’obſcur cabinet cependant ie m’auance:	Avec cette pensée, avec cetie espérance, Vers l'obscur cabinet cependant ie m'avance:
Et i’allois pour entrer faire le dernier pas, Quand quelque bon Demon ne me le permet pas;	Et j'allais pour entrer faire le dernier pas, Quand quelque bon Démon ne me le permet pas;
Et par ſon mouuement fait que ie me diſpoſe, Auant que me monſtrer, d’aprendre quelque choſe.	Et par son mouvement fait que on me dispose, Avant que me montrer, d'apprendre quelque chose.
Ie n'en aprens que trop pour mon affliction.	Je n'en apprends que trop pour mon affliction.
dour soppoſe, Seighenr, à voſtre paſion.	dour soppose, Seighenr, à votre pasion.
Dorothée?	Dorothée?
Mais las!	Mais las!
eſpargneZ moy le reſte, Car enfin le recit vous en ſeroit funeſte.	épargnez -moi le reste, Car enfin le récit vous en serait funeste.
APRICE.	APPRICE.
Nimporte, Flauien, parle ſans te troubler, Frappe, frappe le coup qui me doit accabler.	Nymporte, Flavien, parle sans te troubler, Frappe, frappe le coup qui me doit accabler.
Dorothée?	Dorothée?
Pourſuy, qu’a donc fait cette belle?	Poursui, qu'a donc fait cette belle?
LAVIEN.	LAVIEN.
Elle a dans ce ſeul iour tout peruerti comme elle.	Elle a dans ce seul jour tout perverti comme elle.
Les ſœurs, l’ami, leurs gens, tout helas?	Les sœurs, l'ami, leurs gens, tout hélas?
iout enfin A ſuini ce puiſſant, mais malheureux deſtin.	jout enfin A suini ce puissant, mais malheureux destin.
Les deux ſœurs en ont fait vn aueu de leur bouche;	Les deux sœurs en ont fait un aveu de leur bouche;
Anuiue qui pinamepionnto de qui plus me touche, C’eſt que pour j’acquerir tout a fait voſtre ami, Et ne commettre pas ce grand crime à demi, Elle a fait ſous ces mots choiſis auec adreſſe A cet heurenx amant la derniere promeſſe.	Anuive qui pinamepionnâto de qui plus me touche, C'est que pour j'acquérir tout a fait votre ami, Et ne commettre pas ce grand crime à demi, Elle a fait sous ces mots choisis Seigneur adresse À cet heurenx amant la dernière promesse.
Oüy, ie te promets auant la fin du iour uoeo neurs de ces irufts dignes de ton amour;	Oui, Seigneur te promets avant la fin du jour ô neurs de ces irufts dignes de ton amour;
PRICE, Ha!	PRICE, Ha!
Flauien, ce coup me perce iuſqu’à l’ame, re tombe, ſouſtien moy, ie n’en puis plus, ie paſme.	Flavien, ce coup me perce jusqu'à l'âme, réplombe, soutien moi, quelque n'en puis plus, une âme.
LAVIEN.	LAVIEN.
Pour remettre vos droits, Se gneur, remetteZ vous, Changez cette foibleſſe en vn iuſte courroux.	Pour remettre vos droits, Se gneur, remettez -vous, Changez cette faiblesse en un juste courroux.
Meſi tomps de pournvir eneure à certe aſfaire:	Mé jomps de pournvir enure à certe asfaire:
Cet infidelle ami n’a pas ce qu’il eſpere.	Cet infidèle ami n'a pas ce qu'il espère.
APRICE.	APPRICE.
a ſe le.	à se le.
Il en a la promeſſe.	Il en a la promesse.
* Halſuiuons mon tranſport.	* Halsuivons mon transport.
Mais doy-ie m’en fier à ton cruel rapport?	Mais dois-je m'en fier à ton cruel rapport?
LAVIEN.	LAVIEN.
Voſtre facilité, ſeroit ſans doute extréme.	Votre facilité, serait sans doute extrême.
Non, ne vous en fiez ſeulement qu’à vous-meſme, Leur arriuée icy pourra dans vn moment De ce que ie vous dis vous inſtruire amplement.	Non, ne vous en fiez seulement qu'à vous-même, Leur arrivée ici pourra dans un moment De ce que je vous dis vous instruire amplement.
Pour moy, quoy que cela paroiſſe vn peu bien rude, I'en ſuis pourtant certain de toute certitude.	Pour moi, quoi que cela paraisse un peu bien rude, J'en suis pourtant certain de toute certitude.
Ce que ie viens d’ouïr n’a fait que confirmer La creance où i’eſtois qu’ils ſe déuoient aimer.	Ce que ici viens d'ouïr n'a fait que confirmer La créance où j'étais qu'ils se devaient aimer.
En effet deZ long-temps Theophile l’adore, Il s’eſt en la ſeruant, ſerui d’Athemodore;	En effet deZ longtemps Théophile l'adore, Il s'est en la servant, servi d'Athémodore;
Et comme elle à receu mille marques d’amour, Indubitablement elle l’aime à ſon tour.	Et comme elle à reçu mille marques d'amour, Indubitablement elle l'aime à son tour.
Apres des veritez qui me ſembloient ſi claires, I’ay creu que voſtre ami feroit mal vos affaires;	Après des vérités qui me semblaient si claires, J'ai cru que votre ami ferait mal vos affaires;
Et qu'aiouſtant la fourbe ue vipucine, Il tromperoit enfin voſtre credulité.	Et qu'aioustant la fourbe ue vipucine, Il tromperait enfin votre crédulité.
I’auois pourtant caché iuſqu’icy ma pensée, Mais voyant que la choſe eſt ſi fort auancée, Ie ſerois criminel beaucoup plus que diſcret, Si ie ne d'couurois cet important ſecret.	J'avais pourtant caché jusqu'ici ma pensée, Mais voyant que la chose est si fort avancée, Je serais criminel beaucoup plus que discret, Si tu ne d'couurois cet important secret.
Oonge (y dont , Seignenr, Tneophile vons joue.	Oonge (y dont , Seignenr, Tophile vons joue.
ICE.	ICE.
Ha!	Ha!
le Traiſtre!	le Traître!
il eſt vray, ie le croy, ie l’auouë, Ce perfide abuzant de ma ſincerité, Et blaſmoit & faiſoit vne infidelité.	il est vrai, venir le crois, je l'avoue, Ce perfide abuzant de ma sincérité, Et blasmoit et faisait une infidélité.
Mais qu’il ſçache à preſent que pour me ſatisfaire, Il n’eſt rien que ie craigne & que ie n’oZe faire.	Mais qu'il sache à présent que pour me satisfaire, Il n'est rien que ie craigne et que ie écloZe faire.
Pour me venger de luy quand ie déurois perir, Il doit abſolument ſe reſoudre à mourir.	Pour me venger de Rome quand ie déurois périr, Il doit absolument se résoudre à mourir.
Mais quoy, noſtre amitié ſera-t'elle brisée?	Mais quoi, notre amitié sera-t'-elle brisée?
Mais comment, mon amour ſera donc meſprisée?	Mais comment, mon amour sera donc méprisée?
Non non, il m’a luy meſme apris que l’amitié Agit moins que l’amour de plus de la moitié.	Non non, il m'a luiprendre unis que l'amitié Agit moins que l'amour de plus de la moitié.
Rompons puis qu’il le veut, & qu’il commence à rom* Eſrenſpons vumitrt qu'ut fe piuit u cortompre.	Rompons puis qu'il le veut, et qu'il commence à rom* Esrentspons vumitrt qu'ut se piuit u cortompre.
Et par vn coup eſtrange & bien iuſte pourtant, Puniſſons le, ce laſche, en le rendant content.	Et par un coup étrange et bien juste pourtant, Punissons le, ce lâche, en le rendant content.
FLAVIEN.	FLAVIEN.
ModereZ vos tranſports, les voicy qu’ils arriuent.	Modérez vos transports, les voici qu'ils arrivent.
APRICE.	APPRICE.
Redoublons les pluſtoſt, ne ſouffrons plus qu’ils viuent.	Redoublons les plutôt, ne souffrons plus qu'ils vivent.
Ha!	Ha!
non, deuant ces yeux ie ſens que mon courroux Cede à des mouuemens plus tendres & plus doux.	non, devant ces yeux ie sens que mon courroux Cède à des mouvements plus tendres et plus doux.
SCENE	SCÈNE
SCENE IV.	SCÈNE IV.
APRICE.	APPRICE.
DOROTHE’E.	DOROTHÉÉE.
CALISTE.	CALISTE.
CHRISTINE.	CHRISTINE.
THEOPHILE.	THÉOPHILE.
FLAVIEN.	FLAVIEN.
APRICE, TE'!	APRICE, TÉPE!
bien, mon ame eſtant également atteinte ſte II D’amour & de douleurs, d’eſperance & de crainte, A qui dois-ie de vous ajouſter quelque foy?	bien, mon âme étant également atteinte sainte II D'amour et de douleurs, d'espérance et de crainte, À qui dois-je de vous ajouter quelque foi?
1.	1.
Eſt-ce à vous?	Est-ce à vous?
2.	2.
Eſt-ce à vous?	Est-ce à vous?
5.	5.
Eſt-ce à vous?	Est-ce à vous?
a Eſt-ce à toy?	a Est-ce à toi?
5.	5.
Eſt-ce à ce vain billet?	Est-ce à ce vain billet?
6.	6.
Eſt-ce à cette Peinture?	Est-ce à cette Peinture?
Doro.	Doro.
7.	7.
Eſt-ce à voſtre promeſſe?	Est-ce à votre promesse?
8.	8.
Eſt-ce à ta flâme impure?	Est-ce à ta flamme impure?
Aux deux 9.	Aux deux 9.
Eſt-ce à voſtre eloquence?	Est-ce à votre éloquence?
10.	10.
A voſtre changement?	À votre changement?
11.	11.
A ta feinte?	A ta feinte?
A ta fourbe?	A ta fourbe?
A ton déguiſement?	À ton déguisement?
Aux deux 12.	Aux deux 12.
Eſt-ce à voſtre foibleſſe?	Est-ce à votre faiblesse?
13.	13.
Eſt-ce à voſire victoire?	Est-ce à vosire victoire?
A Doro- A mon bien?	À Doro- A mon bien?
A mon mal?	À mon mal?
A ma honte?	À ma honte?
A ma gloire?	À ma gloire?
Comblez ou diſſipez de ſi cruels ennuis, Theo- Tirez moy promptement du deſordre où ie ſuis.	Comblez ou dissipez de si cruels ennuis, Théo- Tirez moi promptement du désordre où tu suis.
1.	1.
Parle donc, faux ami, 2.	Parle donc, faux ami, 2.
parlez donc ô Chriſtine.	parlez donc ô Christine.
3.	3.
Caliſte, parlez donc.	Caliste, parlez donc.
4.	4.
ParleZ, beauté diuine.	Parlez, beauté divine.
DOROTHE’E.	DOROTHÉÉE.
Doro- Ouy, ie m’en vay parler, Aprice, au nom de tous;	Doro- Oui, ie m'en vais parler, Aprice, au nom de tous;
Et vous rendre enuieux de mon aimable eſpoux.	Et vous rendre envieux de mon aimable époux.
Croyez * Croyez à ce billet, prenez part à leur gloire:	Croyez * Croyez à ce billet, prenez part à leur gloire:
Les deux ſœurs ont enfin remporté la victoire.	Les deux sœurs ont enfin remporté la victoire.
Mais c’eſt ſur vn Aprice aimable & menaçant, * Mais c’eſt par la veriu de ce Dieu tout-puiſſant.	Mais c'est sur un Aprice aimable et menaçant, * Mais c'est par la vériv de ce Dieu tout-puissant.
luy pr	Ne prêle
APRICE.	APPRICE.
Que voy-ie, ô iuſtes Dieux?	Que vois-je, ô justes Dieux?
DOROTHE’E.	DOROTHÉÉE.
Du ſeul vray la peinture.	Du seul vrai la peinture.
AFRICE.	AFRICE.
O Dieux iuſtes!	Ô Dieux justes!
