A MONSIEVR DE MONTORON.	À MONSIEUR DE MONTORON.
Cinna, tu me trahis!	Cinna, tu me trahis!
Polyclete, écoutez.	Polycrète, écoutez.
POnIOLETEo Tous vos ordres, Seigneur, ſeront executez.	POnIOLETEo Tous vos ordres, Seigneur, seront exécutés.
AVGVSTE.	AUGUSTE.
Qu’Eraſte en meſme temps aille dire à Maxime Qu’il vienne reçeuoir le pardon de ſon crime.	Qu'Écraste en même temps aille dire à Maxime Qu'il vienne recevoir le pardon de son crime.
EVPHORRE.	EUPHORE.
Il l’a iugé trop grand pour ſe le pardonner.	Il l'a jugé trop grand pour se le pardonner.
A peine du Palais il a pû retourner, Que de tous les coſtez lançant vn œil farouche, Le cœur gros de ſoûpirs, les ſanglots à la bouche, Il deteſte ſa vie, & ce complot maudit, M’en apprẽd l’ordre entier tel que ie vous l’ay dit, Et m’ayant commandé que ie vous aduertiſſe, Il adiouſte:	À peine du Palais il a pu retourner, Que de tous les côtés lançant un œil farouche, Le cœur gros de soupirs, les sanglots à la bouche, Il déteste sa vie, et ce complot maudit, M'en apprend l'ordre entier tel que ie vous l'ai dit, Et m'ayant commandé que ici vous avertisse, Il ajoute:
Dy luy que ie me fais iuſtice, Qelelignore pas ce quelay meilte, Puis ſoudain dans le Tibre il s’eſt precipité, Et l’eau groſſe & rapide & la nuit ſuruenuë L’ont deſrobé ſur l’heure à ma debile veuë.	Disiblé que je me fais justice, Qèlelignore pas ce quelle à ma Puis soudain dans le Tibre il s'est précipité, Et l'eau grosse et rapide et la nuit survenue L'ont dérobé sur l'heure à ma débile vue.
AVGVSTE.	AUGUSTE.
Sous ſes iuſtes remords il a trop ſuccombé Et s’eſt à mes bontez luy-ferine tientobe, Ir n’eſt crime enuers moy qu’vn repentir n’effaces Mais puis qu’il a voulu renoncer à ma grace, Allez pouruoir au reſte, & faites qu’on ait ſoin De tenir en lieu ſeur ce fidelle témoin.	Sous ses justes remords il a trop succombé Et s'est à mes bontés nous-serine tientobe, Jr n'est crime envers moi qu'un repentir n'effaces Mais puis qu'il a voulu renoncer à ma grâce, Allez pourvoir au reste, et faites qu'on ait soin Mes tenir en lieu sûr ce fidèle témoin.
SCENE II.	SCÈNE II.
AVGVSTE.	AUGUSTE.
viel, à qui voulez-vous deſormais que ie fre OLe ſecret de mon ame, & le ſoin de ma vie?	viel, à qui voulez-vous désormais que votre frère OLe secret de mon âme, et le soin de ma vie?
C Re	Ç Re
Reprenez le pouuoir que vous m’auez commis Si donnant des ſuiets il oſte les amis, Si tel eſt le deſtin des grandeurs ſouueraines Que leurs plus grands bienfaits n’attirent que des haines, Et ſi voſtre rigueur les condamne à cherir Ceux que vous animez à les faire perir.	Reprenez le pouvoir que vous m'avez commis Si donnant des sujets il ôte les amis, Si tel est le destin des grandeurs souveraines Que leurs plus grands bienfaits n'attirent que des haines, Et si votre rigueur les condamne à chérir Ceux que vous animez à les faire périr.
Pour elles rien n’eſt ſeur, qui peut tout, doit tout craindre.	Pour elles rien n'est sûr, qui peut tout, doit tout craindre.
Rentre en toy-meſme, Octaue, & ceſſe de te plaindre, Quoy, tu veux qu’on t’épargne, & n’as rien épargné!	Rentre en toi-même, Octave, et cesse de te plaindre, Quoi, tu veux qu'on t'épargne, et n'as rien épargné!
Songe aux fleuues de ſang où ton bras s’eſt baigné, De combien ont rougy les champs de Macedoine, Combien en a verſé la défaite d’Antoine, Combien celle de Sexte, & reuoy tout d’vn temps Perouſe au ſien noyée & tous ſes habitans, Remets dans ton eſprit apres tant de carnages De tes proſcriptions les ſanglantes images Où toy-meſme des tiens deuenu le bourreau Au ſein de ton tuteur enfonças le couſteau, Et puis oſe accuſer ton deſtin d’iniuſtice (ce, Si les tiens maintenant s’arment pour ton ſuppliEt ſi par ton exemple à ta perte guidez Ils violent les droits que tu n’as pas gardez.	Songe aux fleume des sang où ton bras s'est baigné, De combien ont rougi les champs de Macédoine, Combien en a versé la défaite d'Antoine, Combien celle de Sexte, et revoi tout d'un temps Perouse au sien noyée et tous ses habitants, Remets dans ton esprit après tant de carnages De tes proscriptions les sanglantes images Où toi-même des tiens devenu le bourreau Au sein de ton tuteur enfonças le couteau, Et puis ose accuser ton destin d'injustice , Si les tiens maintenant s'arment pour ton suppli si par ton me nt perte guidez Ils violent les droits ur tuonas pas gardez.
Leur trahiſon eſt iuſte & le Ciel l’autoriſe, Quitte ta dignité comme tu l’as acquiſe, Rends vn ſang infidelle à l’infidelité Et ſouffre des ingrats apres l’auoir eſté.	Leur trahison est juste et le Ciel l'autorise, Quitte ta dignité comme tu l'as acquise, Rends un sang infidèle à l'infidélité Et souffre des ingrats après l'avoir été.
muls que mon iugement au beſoin m’abandonne!	muls que mon jugement au besoin m'abandonne!
Quelle fureur, Cinna, m’accuſe & te pardonne?	Quelle fureur, Cinna, m'accuse et te pardonne?
Toy dont la trahiſon me force à retenir Ce pouuoir ſouuerain dont tu me veux punir, Me traite en criminel en fait ſeule mon crime, Releue pour l’abatre vn trône illegitime,	Toi dont la trahison me force à retenir Ce pouvoir souverain dont tu me veux punir, Me traite en criminel en fait seule mon crime, Relever pour l'abattre un trône illégitime,
Et d’vn zele effronté couurant ſon attentat S’oppoſe pour me perdre au bon-heur de l’Eſtat?	Et d'un zèle effronté couvrant son attentat S'oppose pour me perdre au bonheur de l'État?
Donc iuſqu’à l’oublier ie pourrois me cõtraindre!	Donc jusqu'à l'oublier Seigneur pourrais me coûtraindre!
Tu viurois en repos apres m’auoir fait craindre!	Tu vivrais en repos après m'avoir fait craindre!
Non, non, ie me trahis moy-meſme d’y penſer, Qui pardonne aiſément inuite à l’offenſer, Puniſſons l’aſſaſſin, proſcriuons les complices.	Non, non, je me trahis moi-même d'y penser, Qui pardonne aisément inuite à l'offenser, Punissons l'assassin, proscrivons les complices.
Mais quoy!	Mais quoi!
touſiours du ſang, & touſiours des ſupplices!	toujours du sang, et toujours des supplices!
Ma cruauté ſe laſſe & ne peut s’arreſter, Ie veux me fait craindre, & ne fais qu’irriter;	Ma cruauté se lasse et ne peut s'arrêter, Je veux me fait craindre, et ne fais qu'irriter;
Rome a pour ma ruine vne Hydre trop fertile, Vne teſte coupée en fait renaiſtre mille, Et le ſang répandu de mille coniurez Rend mes iours plus maudits & non plus aſſeurez Octaue, n’attends plus le coup d’vn nouueau Brute, Meurs, & deſtobe-luy la gloire de ta cheute, Meurs, tu ferois pour viure vn lâche & vain effort Si tant de gẽs de cœur font des vœux pour ta mort, Et ſi tout ce que Rome a d’illuſtre ieuneſſe Pour te faire perir tour à tour s’intereſſe, Meurs, puiſque c’eſt vn mal que tu ne peux guerir, Meurs en fin puis qu’il faut ou tout perdre ou mourir.	Rome a pour ma ruine une Hydre trop fertile, Venne tête coupée en fait renaître mille, Et le sang répandu de mille conjurés Rend mes jours plus maudits et non plus assurés Octave, n'attends plus le coup d'un nouveau Brute, Meurs, et destobe-lui la gloire de ta chute, Meurs, tu ferais pour vivre un lâche et vain effort Si tant de gants de cœur font des vœux pour ta mort, Et si tout ce que Rome a d'illustre jeunesse Pour te faire périr tour à tour s’ interesse, Meurs, puisque c'est un mal que tu ne peux guérir, Meurs en fin puis qu'il faut ou tout perdre ou mourir.
La vie eſt peu de choſe, & le peu qui t’en reſte Ne vaut pas l’acheter par vn prix ſi funeſte, Meurs, mais quitte du moins la vie auec éclat, Eſteins-en le flambeau dans le ſang d’vn ingrat, A toy-meſme en mourant immole ce perfide, Contentant ſes deſirs puny ſon parricide, Fais vn tourment pour luy de ton prepre trepas En faiſant qu’il le voye & n’en iouyſſe pas:	La vie est peu de chose, et le peu qui t'en reste Ne vaut pas l'acheter par un prix si funeste, Meurs, mais quitte du moins la vie avec éclat, Éteins-en le flambeau dans le sang d'un ingrat, A toi-même en mourant immole ce perfide, Contentant ses désirs puni son parricide, Fais un tourment pour lui de ton prépre trépas En faisant qu'il le voie et n'en jouisse pas:
Mais iouyſſons pluſtoſt nous-meſme de ſa peine, Et ſi Rome nous haït, triomphons de ſa haine, O Romains, ô vengeance, ô pouuoir abſolu, O rigoureux combat d’vn cœur irreſolu.	Mais iouyssons plutôt nous-même de sa peine, Et si Rome nous hait, triomphons de sa haine, Ô Romains, ô vengeance, ô pouuoir absolu, Ô rigoureux combatndan cœur absolu,
Qui fuït en meſme temps tout ce qu’il ſe propoſe, D’vn Prince mal-heureux ordõnez quelque choſe, Qui des deux dois-ie ſuyure, & duquel m’éloigner, Ou ſamez-moy pernt, ou famter moy regner.	Qui fuit en même temps tout ce qu'il se propose, D'un Prince malheureux ordonnez quelque chose, Qui des deux dois-je suivre, et duquel m'éloigner, Ou samez-moi pernt, ou famter moi régner.
SCENE III.	SCÈNE III.
AVGVSTE, LIVIE.	AUGUSTE, LIVIE.
AVGVSTE.	AUGUSTE.
adame, on me trahit, & la main qui me tuë MRend ſous mes déplaiſirs ma conſtance abbatuë, Cinna, Cinna le traiſtre.	adame, on me trahit, et la main qui me tue MRend sous mes déplaisirs ma constance abattue, Cinna, Cina le traître.
LIVIE.	LIVIE.
Euphorbe m’a tout dit, Seigneur, & i’ay pâly cent fois à ce recit.	Euphorbe m'a tout dit, Seigneur, et j'ai pâli cent fois à ce récit.
Mais écouteriez-vous les conſeils d’vne femme?	Mais écouteriez-vous les conseils d'une femme?
AVGVSTE.	AUGUSTE.
Helas!	Hélas!
de quel conſeil eſt capable mon ame?	de quel conseil est capable mon âme?
LIVIE.	LIVIE.
Seigneur, iuſques icy voſtre ſeuerité A fait beaucoup de bruit & n’a rien profité, Par les peines d’vn autre aucun ne s’intimide, Saluidien à bas a ſouleué Lepide, Murene a ſuccedé, Cepion l’a ſuiuy, Le iour a tous les deux dans les tourmens rauy N’a point mis de frayeur dedans l’eſprit d’Egnace Dont Cinna maintenant oſe imiter l’audace, Et dans les plus bas rangs les noms les plus abiets Ont voulu s’ennoblir par de ſi hauts proiets.	Seigneur, jusques ici votre sévérité A fait beaucoup de bruit et n'a rien profité, Par les peines d'Hommes autre aucun ne s'intimide, Salidien à bas a souleué Lépide, Murène a succédé, Cépion l'a suivi, Le jour a tous les deux dans les tourments ravi N'a point mis de frayeur dedans l'esprit d'Egnace Dont Cinna maintenant ose imiter l'audace, Et dans les plus bas rangs les noms les plus abiéts Ont voulu s'ennoblir par de si hauts proiets.
Apres auoir en vain puny leur inſolence Eſſayez ſur Cinna ce que peut la clemence, Faites ſon chaſtiment de ſa confuſion, Cherchez le plus vtile en cette occaſion, Sa peine peut aigrir vne ville animée, Son pardon peut ſeruir à voſtre renommée, Et Et ceux que vos rigueurs ne font qu’effaroucher peut- eſtfe a vos bontez le lameront toucner.	Après avoir en vain puni leur insolence Essayés sur Cinna ce que peut la clémence, Faites son châtiment de sa confusion, Cherchez le plus utile en cette occasion, Sa peine peut aigrir une ville animée, Son pardon peut servir à votre renommée, Et Et ceux que vos rigueurs ne font qu'effaroucher peut- fée à vos bonté le lameront toucner.
AVGVSTE.	AUGUSTE.
Gaignons-les tout à fait en quittant cet Empire Qui nous rend odieux, contie qui l’on conſpire, I’ay trop par vos aduis conſulté la deſſus, Ne m’en parlez iamais, ie ne conſulte plus.	Gagnons-les tout à fait en quittant cet Empire Qui nous rend odieux, contie qui l'on conspire, J'ai trop par vos avis consulté la dessus, Ne m'en parlez jamais, ainsi ne consulte plus.
Ceſſe de ſoûpirer, Rome, pour ta franchiſe, Si ie t’ay miſe auxfers, moy-meſme ie les briſe, Et te rends ton Eſtat apres l’auoir conquis Plus paiſible & plus grand que ie ne te l’ay pris.	Cesse de soupirer, Rome, pour ta franchise, Si tu t'ai mise auxfers, moi-même ie les brise, Et te rends ton État après l'avoir conquis Plus paisible et plus grand que mille ne te l'ai pris.
Si tu me veux haïr, hay moy ſans plus rien feindre, omume reuxeymnerjayme moy lano me craindre:	Si tu me veux haïr, ha moy sans plus re feindre, hé reuxeymnerjayme moi lano me craindre:
De tout ce qu’eut Sylla de puiſſance & d’honneur, Laſſé comme il en fut, i’aſpire à ſon bon heur.	De tout ce qu'eut Sylla de puissance et d'honneur, Lassé comme il en fut, j'aspire à son bon heur.
LIVIE.	LIVIE.
Aſſez & trop long-temps ſon exemple vous flate, Mais gardez que ſur vous le contraire n’éclate:	Assez et trop longtemps son exemple vous flatte, Mais gardez que sur vous le contraire n'éclate:
Ce bon-heur ſans pareil qui conſerua ſes iours Ne ſeroit pas bon heur s’il atriuoit touſiours.	Ce bonheur sans pareil qui conserva ses jours Ne serait pas bon heur s'il atrivait toujours.
AVGVSTE.	AUGUSTE.
hum dedanis la place od le ni eu vay deiceildre I’abandonne mon ſang à qui voudra l’épandre:	hum dedanis la place od le ni eu vais deiceildre J'abandonne mon sang à qui voudra l'épandre:
Apres vn long orage il faut trouuer vn port, Et ie n’en voy que deux, le repos ou la mort.	Après un long orage il faut trouver un port, Et ici n'en vois que deux, le repos ou la mort.
LIVIE.	LIVIE.
Quoy!	Quoi!
vous voulez quitter le fruit de tant de peines!	vous voulez quitter le fruit de tant de peines!
AVGVSTE Quoy!	AUGUSTE Quoi!
vous voulez garder l’obiet de tãt de haines!	vous voulez garder l'objet de tant de haines!
LIVIE.	LIVIE.
Seigneur, vous emporter à cette extremité C’eſt pluſtoſt deſeſpoir que generoſité.	Seigneur, vous emporter à cette extrémité C'est plutôt désespoir que générosité.
AVGVSTE.	AUGUSTE.
Regner & careſſer vne main ſi traiſtreſſe Au lieu de ſa vertu c’eſt monſtrer ſa foibleſſe.	Regner et caresser une main si traîtresse Au lieu de sa vertu c'est montrer sa faiblesse.
Ak	Ak
LIVIE.	LIVIE.
C’eſt regner ſur vous meſme, & par vn noble choix Pratiquer la vertu la plus digne des Rois.	C'est régner sur vous même, et par un noble choix Pratiquer la vertu la plus digne des Rois.
AVGVSTE.	AUGUSTE.
me, Vous m’auiez bien promis des conſeils d’vne femVous me tenez parole, & c’en ſont-là, Madame.	me, Vous m'aviez bien promis des conseils d'une femVous me tenez parole, et c'en sont-là, Madame.
Apres tant d’ennemis à mes pieds abbatus Depuis vingt ans ie regne & i’en ſçay les vertus, Ie ſçay les ſoins qu’vn Roy doit auoir de ſa vie, A quoy le bien public en ce cas le conuie, Tout ſon peuple eſt bleſſé par vn tel attentat, Et la ſeule penſée eſt vn crime d’Eſtat, Vne offence qu’on fait à toute ſa Prouince, Dont il faut qu’il la venge, ou ceſſe d’eſtre Prince.	Après tant d'ennemis à mes pieds abattus Depuis vingt ans ici règne et j'en sais les vertus, Je sais les soins qu'un Roi doit avoir de sa vie, À quoi le bien public en ce cas le convie, Tout son peuple est blessé par un tel attentat, Et la seule pensée est un crime d'État, Ône offense qu'on fait à toute sa Province, Dont il faut qu'il la venge, ou cesse d'être Prince.
LIVIE.	LIVIE.
Donnez moms de croyaiſce à voſtre paſſion.	Donnez moments de croisée à votre passion.
AVGVSTE.	AUGUSTE.
Ayez moins de foibleſſe, ou moiſis d’ambition.	Ayez moins de faiblesse, ou moisis d'ambition.
LIVIE.	LIVIE.
Tte truiton plus il mal vn conſeil ſalutaire.	Tte truiton plus il mal un conseil salutaire.
AVGVSTE.	AUGUSTE.
Le Ciel m’inſpirera ce qu’icy ie dois faire, Adieu, nous perdons temps.	Le Ciel m'inspirera ce qu'ic ie dois faire. Adieu, nous perdons temps.
