A TRESILLVSTRE ET TRES-GENEREVX Prince Monſeigneur de Vaudemont.	À TRESILLVSTRE ET TRÈS-GÉNÉREUX Prince Monseigneur de Vaudemont.
C’eſt pour cacher l’horreur de ſa deloyauté Qu'il porte le front plein, & que la belle image De vertu, ſemble luire au rond de ſon viſage, La roſe aux cheueux d’or, au viſage pourpré Pour mieux cacher le poind de ſon dard aceré Luret monjerc uc jon teinct qui les paſſans alleche Puis leur faict dans la main vne poignante breche	C'est pour cacher l'horreur de sa déloyauté Qu'il porte le front plein, et que la belle image De vertu, semble luire au rond de son visage, La rose aux cheveux d'or, au visage pourpré Pour mieux cacher le point de son dard aceré Luret monjerc uc jon teinct qui les passants allèche Puis leur fait dans la main était poignante brèche
PIERRE.	PIERRE.
Encore qu’il auroit, ardemment ſuſeité Par des Soudars flateurs, ou ceux de la cité	Encore qu'il aurait, ardemment suse Par des Sourdars flatteurs, ou ceux de la cité
Subſeris à leurs deſir comme il eſt foible d’aage Faudroit il pour cela großir voſtre courage.	Subseris à leurs désir comme il est faible d'âge Faudrait il pour cela grognir votre courage.
N'eſt-ce pas voſtre fils, ieune, tendre foiblet.	N'est-ce pas votre fils, jeune, tendre faiblet.
P'oſtre ſort, & le ſien pend à meſme plet Meſme ennuy d’vn ſeul coup vos poitrines entame Jous n'eſtes dans deux corps qu’vn eſprit, & qu'vne (ame.	P'otre sort, et le sien pend à même plet Même ennui d'un seul coup vos poitrines entame Jous n'êtes dans deux corps qu'un esprit, et qu'une (ame.
MAVNICE.	MAUNICE.
Ilme le monſtre bien, le traiſtre, le meſchant,	Ilme le montre bien, le traître, le méchant,
PIERRE.	PIERRE.
I'estime quant à moy qu’il en eſt i nocent, Et que vous luy deuez pardonner pitoyabté Encore qu’il ſeroit de ce crime coupable.	J'estime quant à moi qu'il en est y jocent, Et que vous lui devez pardonner pitoyabté Encore qu'il serait de ce crime coupable.
MAVRICE.	MAURICE.
Pardonner, ah!	Pardonner, ah!
pluſtost les loups hoſtes des bois Ne craignans des matins les nocturnes abois Vendront ſe ioindre a eux pour d’vne meſme proye Enſemble ſe donner la nourriſſante ioye, En vain auroy-ie pris c’eſt armet effroyant Et planté dans mon poing ce glaiue foudroyanc Afn que Prestre ſainct j’immole ceste hoſtie A la iuſte douleur qui mon ame à ſaiſie.	plutôt les loups hôtes des bois Ne craignants des matins les nocturnes abois Vendront se joindre a eux pour d'une même proie Ensemble se donner la nourrissante joie, En vain auroi-je pris c'est armet effroyant Et planté dans mon poing ce glaive foudroyanc Afle que Prêtre saint j'immole cette hostie A la juste douleur qui mon âme à saisie.
LARDY.	LARDY.
Las!	Las!
le voicy venir triſte, deconforté, Pay craincte qu’il l'offence à preſent irrité Il ſe iette à ſes pieds, & la tendre rouſée D'vn larmoyeux ruiſſeau, à ſa face arroujée Son Dieu le cœur me fend de veoir ce lys Reyzi Agté par le vent d’vn ſour çon deſloyal, Bar Ier ainſi le chef, comme quant la tempes.	le voici venir triste, déconforté, Pay crainte qu'il l'offense à présent irrité Il se jette à ses pieds, et la tendre rousée D'être larmoyeux ruisseau, à sa face arroujée Son Dieu le cœur me fend de voir ce lys Reyzi Agté par le vent d'un sour çon déloyal, Bar Ier ainsi le chef, comme quant la tempes.
Du lys au teinct d’argent acrauante la teſte	Du lys au teinct d'argent acravante la tête
SCENE QVATRIESME, MAVRICE.	SCÈNE QUATRIÈME, MAURICE.
THEODOSE.	THÉODOSE.
TADRCMMCHHAHDHIQVE	TADRCMMCHHAHDHIQVE
THEODOSE.	THÉODOSE.
&& Acrée Maiesté, Pere, Seigneur, & Roy QEſcoutez les accens de ma dolente voix.	et Acrée Majesté, Père, Seigneur, et Roi QÉcoutez les accents de ma dolente voix.
Ne poſez voſtre cœur comme vn rocher en l’onde Pour n’ouyr les regrets dont mon esprit abonde».	Ne posez votre cœur comme un rocher en l'onde Pour n'ouïr les regrets dont mon esprit abonde ".
MAVRICE.	MAURICE.
Meſchant, traistre, infidel, violateur de foy Cruel, rebelle, ingrat, coniuré contre moy Oſe tu m’appeller par ce ſainct nom de Pere Qui te monſtre enuers moy pire qu'vne vipere?	Méchant, traître, infidél, violateur de foi Cruel, rebelle, ingrat, conjuré contre moi Ose tu m'appeler par ce saint nom de Père Qui te montre envers moi pire qu'une vipère?
Ca ie veus iuſticier auant que te laiſſer, Entre mes bras vengeurs, te faire treſpaſſer Celuy qui te fit voir du monde la demeure T’enuoyera la bas ou le trespas demeure,	Ca grande vus iusticier avant que te laisser, Entre mes bras vengeurs, te faire trépasser Celui qui te fit voir du monde la demeure T'envoyera la bas ou le trépas demeure,
THEODOSE.	THÉODOSE.
Monſeigneur, par celuy qui faict mouuoir les Cieux, Iettés l’eau ſur le feu qui flambe dans vos yeux, Et preſtez tant ſoit peu, vostre oreille Emperiere Sans reietter ainſi ma tremblante priere.	Monseigneur, par celui qui fait mouvoir les Cieux, Iettés l'eau sur le feu qui flambe dans vos yeux, Et prêtez tant soit peu, votre oreille Emperière Sans rejetter ainsi ma tremblante prière.
MAVRICE.	MAURICE.
Veus tu par tes propos, veus tu meſchant, veus tu Habiller ton peché en guiſe de vertu Et par tes vains diſcours, vainement faire croire Que la neige au flos blans eſt de teinture noire.	Vous tu par tes propos, veus tu méchant, veux tu Habiller ton péché en guise de vertu Et par tes vains discours, vainement faire croire Que la neige au flot blans est de teinture noire.
THEODOSE.	THÉODOSE.
Lo-te ſub innocent decetraijtre joijaielx	Lote sujet innocent decetraijtre joijaielx
MAVRICE.	MAURICE.
ronviſage, & ton front diſent que tu l’as faict.	ronvisage, et ton front disent que tu l'as fait.
THEODOSE.	THÉODOSE.
Si mon viſage est peinct d’vne couleur marbrine C'eſt la craincte de vous qui gele ma poitrine.	Si mon visage est peinct d'une couleur marbrine C'est la crainte de vous qui gèle ma poitrine.
MAVRICE.	MAURICE.
» Vn meſchant de forfaicts vilainement taché » Porte deſſus ſon front vn Demon attaché » Qui luy cauſe la peur, & ſa douteuſe vie » Luy est cent fois le iour par la craincte rauie, „ Il voit deuant ſes yeux mille fantoſmes vains » Bourreaus continuels de ſes faicts inhumains » Mille eſpris furieus bourdonnent dans ſa teſte, „ Il voit le noir flambeau du furieux Oreſte » Et iamais le Soleil n’allentiſt ſes trauaux » Iuſque à ce que l’enfer ait engloutis ſes maux.	" Nous méchant de forfaits vilainement taché " Porte dessus son front un Démon attaché " Qui avait cause la peur, et sa douteuse vie " Lui est cent fois le jour par la crainte ravie, „ Il voit devant ses yeux mille fantômes vains " Bourreaus continuels de ses faits inhumains " Mille épris furieus bourdonnent dans sa tête, „ Il voit le noir flambeau du furieux Oreste » Et iamais le Soleil allentist ses trauaux » Iusque ce que enfer ait engloutis ses maux.
THEODOSE.	THÉODOSE.
» Ie ne crains que pour vous, car vne ame innocente „ Encore que le Ciel luy darde ſa tourmente, » Et que les vens ſoufleurs l’vn l’autre depitez » Raze les fondemens d’vn monde de citez, » Elle demeurera ſans attainctes peureuſes, » Aſſeurée au milieu des cheutes ruyneuſes », Vn tyran eſchaufé ne l’eſtonnera pas » Luy propoſant cruel vn monde de trespas » Ceſt vn rampart d’airain deuant la confcience » De ne ſentir en elle aucun faict qui l’offence.	" Je ne crains que pour vous, car ainsi âme innocente „ Encore que le Ciel lui darde sa tourmente, " Et que les vents souffleurs l'unité l'autre dépitez " Raze les fondements d'un monde de cités, " Elle demeurera sans attaintes peureuses, " Asseurée au milieu des cheutes ruineuses ", Un tyran échauffé ne l'étonnera pas » " proposant cruel un monde de trépas » Cest rampart dairain deuant la conscience » De ne ' en elleaucun faict qui offence.
MAVRICE.	MAURICE.
Aefjecet pueepencer a tfrre traiſtre à ſon Roy?	Aefecet pueepencer à tfrre traître à son Roi?
THEODOSE.	THÉODOSE.
Iamais ie n’ay penſe de vous rompre la foy,	Jamais ici n'ai pense de vous rompre la foi,
MAVRICE.	MAURICE.
Teſmoings de tes Soudarts la traiſtre ſignature,	Témoings de tes Soudarts la traître signature,
IHEODOSL.	JHÉODOSL.
Ie ne voulus iamais conſentir à l’iniure,	Je ne voulus jamais consentir à l'injure,
MAVRICE.	MAURICE.
Phocas m'en aduertiſt quoy qu’il ſoit mon hayneux,	Phocas m'en avertît quoi qu’il soit mon haineux,
THEODOGE.	THÉODOGE.
Atta jarertont eapuespam merenute odieux.	Atta jarertont eappuespam merenute odieux.
MAVRICE.	MAURICE.
Quel profit pouuoit il esperer de ta hayne,	Quel profit pouvait -il espérer de ta haine,
THEODOSE.	THÉODOSE.
Qu’il vous pouroit combatre auecque moins de peine, C’il qui veut le laurier ſur ſa teſte enuoyer Ne va precipité l’ennemy gueroyer Lors qu’il le voit vny en ſa force plus grande, Mais il attend le temps qui plus il ſe desbande, Et te mone peſeneut pont tromper tes poiſſons Iette à profict ſon poil recourbe d’hameçons Lors que le clair miroüer de la plaine ſalée Par les vens pluuieux à la face troublée.	Qu'il vous pourrait combattre avec moins de peine, C'il qui veut le laurier sur sa tête envoyer Ne va précipité l'ennemi guéroyer Lors qu'il le voit uni en sa force plus grande, Mais il attend le temps qui plus il se débande, Et te mone peseneut pont tromper tes poissons Jette à profict son poil recourbe d'hameçons Lors que le clair miroüer de la plaine salée Par les viens pluvieux à la face troublée.
MAVRICE.	MAURICE.
Tes diſcours allechans ne t’exempterent pas (I’en atteſte le Ciel) du merité trespas, Ie feray ce iourd’huy dans la funebre lame Vesir ton corps priſonnier abſenté de ton ame, It ce braue Germain te ſera compagnonrour deſcenere auec toy aux caues de l'luton.	Tes discours alléchants ne t'exemptèrent pas (Ien atteste le Ciel) du mérité trépas, Je ferai ce jour'hui dans la funèbre la Vomesir ton corps prisonnier absenté de ton âme, It ce brave Germain te sera compagnonrour descénére ux toi aux caves de l'luton.
THEODOSE.	THÉODOSE.
» Vn bon cœur n’a ſoucy quand innocent il meure,	" n bon cœur n'a souci quand innocent il meure,
MAVRICE.	MAURICE.
» La Iuſtice ne faict à l’innecent iniure.	" La Justice ne fait à l'incent injure.
THEODOSE.	THÉODOSE.
» Non, mais le plus ſouuent ſoubs ombre d’equité » L'on faict mourir celuy qui ne l’a merité, » Car le vice tortu de telle reſemblance " Imite la vertu, que l’humaine puiſſance n A peine peut iuger les plus iuſtes chemins n Poſez tous au milieu de deux vices voiſins, » Ainſi cuidant ſouuent prendre la droicte voye »Nous ſuiuons du pecbé le ſentier qui deuoye.	" Non, mais le plus souvent sous ombre d'équité " L'on fait mourir celui qui ne l'a mérité, " Car le vice tortu de telle résemblance " Imite la vertu, que l'humaine puissance n' Y peine ut juger les plus justes chemins n Osez tous au milieu de deux vices voisins, " Ainsi cuidant souvent prendre la droite voie »Nous suivons du pecbé le sentier qui dévoie.
MAVRICE.	MAURICE.
Tu vas cherchant la nuict au perleux Orient, Et le berceau d’Aurore aux coſtes d’Occident, Tuparle aux Aquilons, tu ttinaumtesmies, Tu ſeme tes propos ſur les ondes boßües, Nén ne me peut tollir mon vouloir obſtiné Tu mouras de ma main, ton ſort eſt deſtiné,	Tu vas cherchant la nuit au perleux Orient, Et le berceau d'Aurore aux côtes d'Occident, Tuparle aux Aquilons, tu ttinaumtesmies, Tu ferme tes propos sur les ondes bossües, Nén ne me peut tollir mon vouloir obstiné Tu mouras de ma main, ton sort est destiné,
THEODOSE.	THÉODOSE.
Ie ſeray purement donné en ſacrifice A celuy qui me ſçait eſtre exempt de ce vice, Et pleuſt à l’Eternel que ceste oblation Serue au courrous du Ciel de ſatisfaction.	Je serai purement donné en sacrifice À celui qui me sait être exempt de ce vice, Et plut à l'Eternel que cette oblation Serve au courrous du Ciel de satisfaction.
MAVRICE.	MAURICE.
Qu'on me l’empoigne toſt ceſte beſte enragée, Et que deuant mes yeux elle ſoit eſgorgée Mais auant que mourir ie veus que ſans repos Auec des foüets ſonnans on imprime ſon dos, Pour teſmoing qne ſon faict ſi grandement m'irrite Que ie veus que ſur luy mon ire ſoit eſcripte, Deuinneo y purdomme tom u jon enfant plus cher „ Si ce n’est quant il veut à ſon ſceptre toucher:	Qu'on me l'empoigne tôt cette bête enragée, Et que devant mes yeux elle soit égorgée Mais avant que mourir assez vus que sans repos Avec des foncets sonnants on imprime son dos, Pour témoing q son fait si grandement m'irrite Que tu veux que sur jour mon ire soit écripte, Deuinneo y purdomme tom „ jon enfant plus cher „ Si ce n'est quant il veut à son sceptre toucher:
PHILIPIQVE.	PHILIPIQUE.
Fuyez Princes fuyez, fuyez Roy deplorableMagazin des malheurs, Roy le plus lamentable, Qui iamais œillada l’azuré baſtiment, Et de ſes pieds preſſa, le plus bas element.	Fuyez Princes fuyez, fuyez Roi déplorableMagazin des malheurs, Roi le plus lamentable, Qui jamais œillada l'assuré bâtiment, Et de ses pieds pressa, le plus bas élément.
Voila des Bizançois la triomphante ville, Que pour vous maſſacrer ſon coutelas affile, Voila que ſes bourgeois en poinctes herißez De iauelots, & dars horriblement dreſſez, Decochans ſur vos gens vne rouge tempeſte, Deſirent furieus rencontrer voſtre teſte, Le fer ſonne par tout, & les feux indomptez Au Palais de Lardy riblent de tous coſtez Meſme de ces muims voſtre maifon eſt cemnete, Et l’image de mort dans la ville depeincte, Fuyez Prince fuyez, euitez pour ces durs coups Le dard enuenimé d’vn mutiné courrous.	Voilà des Bizançois la triomphante ville, Que pour vous massacrer son coutelas affile, Voilà que ses bourgeois en pointes hérissez De iauelots, et dars horriblement dressez, Décochants sur vos gens une rouge tempête, Désirent furieus rencontrer votre tête, Le fer ne par tout, et les feux indompté Au Palais de Lardy riblent de tous côtés Mesme de ces muits votre maifon est cemneté, Et l'image de mort dans la ville dépeincte, Fuyez Prince Fuyez, évitez pour ces durs coups Le dard urs d urs courrous.
MAVRICE.	MAURICE.
Allons, oppoſons nous à leurs traiſtres alarmes, Et pour le moins mourons ayant au poing les armes, » Ce nous eſt vn confort auant que de mourir " De veoir auecque nous toutes choſes perir.	Allons, opposons nous à leurs traîtres alarmes, Et pour le moins mourons ayant au poing les armes, " Ce nous est un confort avant que de mourir " De voir auecque nous toutes choses périr.
Chœur.	Chœur.
On dict que la Dame Nature, Eors que Pyrrhe derrier ſon dos Iettoit vne ſemence dure Dont tous les humains ſont eſelos.	On dit que la Dame Nature, Eors que Pyrrhe derrier son dos Jettait une semence dure Dont tous les humains sont eselos.
