A PARIS, .	À PARIS, .
Trãſports, cheres fureurs quigouuernez mõ ſort Faut-il d’autres chemins pour aller à la mort?	Transports, chères fureurs quigouvernés mon sort Faut-il d'autres chemins pour aller à la mort?
Allons où vous voudrez, vn antre, vn precipice A mon affection ſera touſiours propice.	Allons où vous voudrez, un antre, un précipice À mon affection sera toujours propice.
Mais qu'eſt-ce que i'entends:	Mais qu'est-ce que j'entends:
ACTE III.	ACTE III.
OCEIVEMI.	OCIVEMI.
FILIN.	FILIN.
CELIE.	CELIE.
FILIN.	FILIN.
Deſtins rigoureux, O perte irreparable, ô Filin malheureux;	Destins rigoureux, Ô perte irréparable, ô Fin malheureux;
DE leure pleure Celie.	DE lèvre pleure Célie.
SCIRE.	SCIRE.
CELIE.	CELIE.
Helas, que peux-tu dire Qui puiſſemamenat angmemer monmartyre.	Hélas, que peux-tu dire Qui puissemenat angèmemer monmartyre.
FILIN.	FILIN.
Adiouſte ſeulement ta plainte à mes douleurs, Et ne demande point le ſujet de mes pleurs.	Ajoute seulement ta plainte à mes douleurs, Et ne demande point le sujet de mes pleurs.
CELIE.	CELIE.
Dgiaten ſpuisyna meuforthne Depuis ſi peu de temps eſt à tous deux cõmune.	Dégiaten spuisina meuforthne Depuis si peu de temps est à tous deux commune.
FILIN.	FILIN.
Ce beau petit agneau que tu cheriſſois tant, Helas le puis-ie dire, eſt mort en vn inſtant.	Ce beau petit agneau que tu chérissais tant, Hélas le puis-je dire, est mort en un instant.
CELIE.	CELIE.
Qui l’a donc fait mourir?	Qui l'a donc fait mourir?
AEBIR.	ÀEBIR.
Vne herbe en cette plaine A terminé ſa vie, & fait naiſtre ma peine.	Une herbe en cette plaine A terminé sa vie, et fait naître ma peine.
CELIE.	CELIE.
O pitoyables Dieux, en ſin vous m’obligez D’offrir vn bon remede à mes ſens affligez:	Ô pitoyables Dieux, en sin vous m'obligez Doffrir un bon remède à mes sens affligez:
Que ce chemin eſt court pour aller où t’eſpere:	Que ce chemin est court pour aller où t'espère:
Mais conte moy la mort d’vne beſte ſi chere.	Mais conte moi la mort d'une bête si chère.
FILIN.	FILIN.
Sur le milieu du iour i’eſtois proche de l’eau Dedans ces petits prez dont l’eſmail eſt ſi beau, Et loing de mes moutõs qui repoſoient à l’ombre, Ie m'eſtois arreſté ſous vn fueillage ſombre, Pendant que ton agneau folaſtroit à mes yeux Deſſus le vert naiſſant qui paroiſt en ces lieux, Et ſembloit à deſſein fouler d’vnpied ſuperbe L’eſmail des belles fleurs qui naiſſoient parmy l'herbe:	Sur le milieu du jour j'étais proche de l'eau Dedans ces petits près dont l'émail est si beau, Et loin de mes moutons qui reposaient à l'ombre, Je m'étais arrêté sous un fueillage sombre, Pendant que ton agneau folâtrait à mes yeux Dessus le vert naissant qui paraît en ces lieux, Et semblait à dessein fouler d'vnpied superbe L'esmail des belles fleurs qui naissaient parmi l'herbe:
Iamais tãt de plaiſirs n’ont touché tous mes ſens Qu'à l’heure que i’ay veu ces eſbats innocens:	Jamais tant de plaisirs n'ont touché tous mes sens Qu'à l'heure que j'ai vu ces ébats innocents:
Mon troupeau l’admiroit, & l’eau prés de ſa ſource Arreſtoit pour le voir ſa vagabonde courſe.	Mon troupeau l'admirait, et l'eau prés de sa source Arrestoit pour le voir sa vagabonde course.
a daaMe Halque tum’entretiens de diſcours ſuperflus, Deſpeſche viſtement, dy moy s’il ne vit plus.	a daMe Halque tum'entretiens de discours superflus, Despêche vitement, dis -moi s'il ne vit plus.
FILIN.	FILIN.
En fin eſtant laßé de courir de la ſorte, Il valoing de mes yeux où ſon deſir le porte, Et treuue prés de l’eau cet endroit malheureux Qui cache dans vne herbe vn poiſon dangereux:	En fin étant lassé de courir de la sorte, Il valoing de mes yeux où son désir le porte, Et treuue près de l'eau cet endroit malheureux Qui cache dans une herbe un poison dangereux:
	
Ma ioye incontinent endouleur eſt changée, Il tombe ſur le pré ſi toſt qu’il l’a mangée, Ses membres languiſſans, ſes yeux à demy clos, Me font en l’approchant pouſſer mille ſanglots, Ie le voy ſans vigueur eſtendu ſur la place, Et treuue en le touchant qu’il eſt froid comme	Ma joie incontinent endouleur est changée, Il tombe sur le pré si tôt qu'il esa mangée, Ses membres languissants, ses yeux à demi clos, Me font en l'approchant pousser mille sanglots, Je le vois sans vigueur étendu sur la place, Et trouve en le touchant qu'il est froid comme
CELIE.	CELIE.
Mais qui ne iugeroit apres t’auoir ouy glace.	Mais qui ne jugerait après t'avoir oui glace.
L Qu'en ce promt accident il n’eſt qu’eſuanoüy.	 Qu'en ce promt accident il n'est qu'esuanoüy,
FILIN.	FILIN.
Tvareite, te biciuara ſiprudent &t ſi ſage Eſt teſmoin de ſa mort, que veux-tu dauantage.	Tvareite, te bicivara siprudent ett si sage Est témoin de sa mort, que veux-tu davantage.
CELIE.	CELIE.
Allons Filin, allons, il n’en faut plus doûter, meneude qu conn muan de quiter.	Allons Filin, allons, il n'en faut plus douter, meneude qu' conn ous de quitter.
Pourquoy?	Pourquoi?
FILIN.	FILIN.
CELIE.	CELIE.
Pour retreuuer cette herbe iniurieuſe, Cela doit contenter ton humeur curieuſe.	Pour retrouver cette herbe injurieuse, Cela doit contenter ton humeur curieuse.
FILIN.	FILIN.
O Dieux!	Ô Dieux!
pourray-ie voir en vn lieu ſi fatal La cauſe de ſa perte & l’objet de mon mal?	pourrai-je voir en un lieu si fatal La cause de sa perte et l'objet de mon mal?
CELIE.	CELIE.
M Ei estrs.	M Mi estrs.
FIL.	FIL.
Attend, voicy Nerée, Que ieoimtuema piuinte a popaivie aitiree.	Attend, voici Nerée, Que ieoimtuema pivinte à popaivie aitire.
CELIE.	CELIE.
Euite ſarencontre, & ſuy moy promptement.	Euite sarencontre, et suis -moi promptement.
FILIN.	FILIN.
Bergere ie le veux, attends-moy ſeulement.	Bergère était le veux, attends-moi seulement.
NISE.	NISE.
Ve me dis-tu Nerée?	Ve me dis-tu Nerée?
ô Dieuxleſt-il poſſible Que tu treuues Celie à mes vœux inſenſible?	ô Dieuxlêt-il possible Que tu trouves Celie à mes vœux insensible?
Et que mon ame ſouffre vn feu ſi violent, Sãs que ce beau ſoleil s’eſchauffe en me bruſlant?	Et que mon âme souffre un feu si violent, Sans que ce beau soleil s'échauffe en me brûlant?
Aminte vnicobjet d’vne amitié parfaite, Helas!	Aminte vnicobjet d'une amitié parfaite, Hélas!
ſi tu ſçauois comment eue me trattie.	si tu sais comment eue me trattie.
NER.	NER.
Ie t’aſſeure, Berger, qu’il a ſceu ton malheur, Et qu’il en eſt touché d’vne extreme douleur, Ie l’ay tout à propos rencontré dans la plaine, Toutiuy uire ex vn mor queuceſtoirinamaine.	Je t'assure, Berger, qu'il a su ton malheur, Et qu'il en est touché d'une extrême douleur, Je l'ai tout à propos rencontré dans la plaine, Touti ère ex un mór queucestoirinamaine.
NISE.	NISE.
Mais que reſpondit-elle à tes premiers diſcours, Qui pour mõ allegeance imploroient ſon ſecours?	Mais que répondit-elle à tes premiers discours, Qui pour mon allégeance imploraient son secours?
NER.	NER.
Qu’aucun, ſoit eſtranger ou Paſteur de cette Iſle, Ne bruſle à mon ſujet d’vn deſir inutile, Et s’il ne veut ſouffrir vn meſpris rigoureux, Qu'il ne me tienne point de diſcours amoureux, Qu’il parle à ces rochers du tourniẽt qu’il endure, Et qu’il ſoit aſſeuré que mon ame eſt plus dure.	Qu'aucun, soit étranger ou Pasteur de cette Isle, Ne brûle à mon sujet d'un des inutile, Et s'il ne veut souffrir épris rigoureux, Qu'il ne me tienne point de discours amoureux, Qu'il parle à ces rochers du tourniẽt qu'il endure, Et qu'il soit assuré que mon âme est plus dure.
Apres ie connu bien qu’vn nouueau mouuement Agitoit là deſſus ſon eſprit viuement, Et bien qu’elle vouluſt cacher ſa violence, Ses yeux parloient aſſez au milieu du ſilence, Ses ſens dans la triſteſſe eſtoient enſeuelis, Les roſes de ſon teint ſe changerent en lis, Et dans l’émotion qui troubloit ſa pensée Ie voyois aisément qu’elle eſtoit offencée:	Après grands connu bien qu'Han nouueau mouvement Agitait là dessus son esprit vivement, Et bien qu'elle voulût cacher sa violence, Ses yeux parlaient assez au milieu du silence, Ses sens dans la tristesse étaient ensevelis, Les roses de son teint se changèrent en lis, Et dans l'émotion qui troublait sa pensée Je voyais aisément qu'elle était offensée:
Außi cette Beauté iettant ſon dard en l’air nuu pluſtoſt diſparu que n'euſt fait vn eſclair.	Aussi cette Beauté jetant son dard en l'air nu plutôt disparu que n'eût fait un éclair.
NISE.	NISE.
Hâ cruelle reſponſe, inhumaine contrainte, De cauſer le tourmẽt, et d’empeſcher la plainte:	Hâ cruelle réponse, inhumaine contrainte, De causer le tourment, et d'empêcher la plainte:
Rigoureuſe Celie, helas à quel deſſein N’as-tu pas eſlancé ton dard contre mon ſein?	Rigoureuse Célie, hélas à quel dessein N'as-tu pas élancé ton dard contre mon sein?
Mauuaiſe repren-le, i'attendray ta venuë Si tu veux l’enfoncer dans ma poictrine nuë.	Mauvaise reprenfo-le, j'attendrai ta venue Si tu veux l'enfoncer dans ma poictrine nue.
Exerce deſſur moy cet effort inhumain, Ie ſeray ſatisfait de mourir de ta main, Porte le dans ma playe, elle eſt encore ouuerte, Et ne differe plus le moment de ma perte.	Exerce dessur moi cet effort inhumain, Je serai satisfait de mourir de ta main, Porte le dans ma plaie, elle est encore ouverte, Et ne diffère plus le moment de ma perte.
IER.	JER.
Paſteur, ta peine eſt grande, il le faut confeſſer, Mais il eſt bien aisé de la faire ceſſer;	Pasteur, ta peine est grande, il le faut confesser, Mais il est bien aisé de la faire cesser;
Ne deſeſpere point, tu verras que ſon ame Deſſous vn froid mépris cache vne ardãte flame, Et que cette Beauté dont tu crains la rigueur A la haine à la bouche & l’amour dans le cœur.	Ne désespère point, tu verras que son âme Dessous un froid mépris cache une ardante flamme, Et que cette Beauté dont tu crains la rigueur A la haine à la bouche et l'amour dans le cœur.
ts Dames ſçauent feindre außi toſt qu’elles naiſſent, Iamais en leurs diſcours ieutsutfſeinnt paraiſſent, Et depuis quelque temps l’artifice en amour Leur eſt außi commun que l’vſage du iour:	ts Dames savent feindre aussi tôt qu'elles naissent, Jamais en leurs discours ieutsutfseinnt paraissent, Et depuis quelque temps l'artifice en amour Leur est aussi commun que l'usage du jour:
Mais qu’elle feigne ou non, il n’eſt pas impoßsible Que ta fidelité la rende vn iour ſenſible.	Mais qu'elle feigne ou non, il n'est pas impossible Que ta fidélité la rende un jour sensible.
Neptune quelquefois fait peur aux matelots, Le Ciel couure d’horreur le viſage des flots, Et quelquefois außi tous les vents ſont en bride, Le Ciel eſt ſans nuage, et Neptune eſt ſans ride;	Neptune quelquefois fait peur aux matelots, Le Ciel couvre d'horreur le visage des flots, Et quelquefois aussi tous les vents sont en bride, Le Ciel est sans nuage, et Neptune est sans ride;
eitapoMauautuuronucuuouedonuug eient De taperſeuerance & de ton iugement.	eitapoMauautuuronucuuouedonuug eient De taperserance et de ton jugement.
ISF.	ISF.
Miſerable Berger, quel conſeil dois-tu ſuiure?	Misérable Berger, quel conseil dois-tu suivre?
Tu commences d’aimer, & tu ceſſes de viure.	Tu commences d'aimer, et tu cesses de vivre.
NER.	NER.
Eſpere toutesfois que l’amour & le temps Te rendront poſſeſſeur du bien que tu pretens:	Espère toutefois que l'amour et le temps Te rendront possesseur du bien que tu prétends:
Si tu peux eſperer ta fortune eſt heureuſe, Et le repos ſuiura ta langueur amoureuſe, Mais puiſque tes ſouſpirs ont ſi peu de pouuoir Que tes cris et tes pleurs ne ſçauroiẽt l’émouuoir, Afin de ſoulager ta paßion fidelle, Cherchõs d’autres moyẽs pour fléchir rette belle, Fay luy quelque preſent.	Si tu peux espérer ta fortune est heureuse, Et le repos suivra ta langueur amoureuse, Mais puisque tes soupirs ont si peu de pouvoir Que tes cris et tes pleurs ne sauraient l'émouuoir, Afin de soulager ta passion fidèle, Cherchõs d'autres moyens pour fléchir rette belle, Fa lui quelque présent.
NISE.	NISE.
O Dieux!	Ô Dieux!
que me dis-tu, Voudrois-tu de la ſorte attaquer ſa vertu?	que me dis-tu, Voudrais-tu de la sorte attaquer sa vertu?
Si ce mauuais deſſein tomboit en ma pensée Certe ieunt Dergere en ſeroit offentée.	Si ce mauvais dessein tombait en ma pensée Certe jeunt Dergère en serait offentée.
NER.	NER.
Tu te trõpes, Berger,les dons ſont bien puiſſans, Ils forcent les eſprits, ils captiuent les ſens, L’enfer en eſt charmé, le Ciel reſſent leur force, Et tout le monde cede à leur premiere amorce, Amour les a treuuez biẽ plus forts que ſes traits, Puis qu’il à ſi ſouuent emprunté leurs attraits, Il ne peut quelquefois vaincre vn eſprit farouché, Mais ordinairement le moindre don le touche.	Tu te trôpes, Berger,les dons sont bien puissants, Ils forcent les esprits, ils captivent les sens, L'enfer en est charmé, le Ciel ressent leur force, Et tout le monde cède à leur première amorce, Amour les a trouvez biages plus forts que ses traits, Puis qu'il à si souvent emprunté leurs attraits, Il ne peut quelquefois vaincre un esprit farouché, Mais ordinairement le moindre don le touche.
NISE.	NISE.
Fauorable Bergere, helas ſi les preſens danotent pont tuſtethindes appuu feſſuan,, Ie luy donne mon cœur, mon eſpoir & ma vie, Et qu'elle ſoit propice à ma fidelè enuie.	Favorable Bergère, hélas si les présents danotent pont tûtethindes appu fessuan, Je avait donne mon cœur, mon espoir et ma vie, Et qu'elle soit propice à ma fidélé envie.
NER.	NER.
Nonnon, ie ne veux pas que tu luy donnes tant, Vne moindre faueur la peut toucher autant.	Nonnon, Seigneur ne veux pas que tu lui donnes tant, Une moindre faveur la peut toucher autant.
NISE.	NISE.
riendõc pour luy dõner ce beau dard que ie porte, donſer Urolen akn, jammipe eſe drone ce jorte.	riendõc pour lui donner ce beau dard que je porte, donser Urolen al, jammipe eze drone ce jorte.
NER.	NER.
Ie voy bien qu’il eſt bon, & qu’il eſt des mieux faits, Mais pour ſes tendres mains c’eſt vnbien rude E faix.	Je vois bien qu'il est bon, et qu'il est des mieux faits, Mais pour ses tendres mains c'est unbien rude E faix.
NISE.	NISE.
Donneluy ce cornet.	Donnelui ce cornet.
NER.	NER.
Que veux-tu qu’elle en faſſes Elle en porte vn plus beau tous les iours à la chaſſe.	Que veux-tu qu'elle en fasses Elle en porte un plus beau tous les jours à la chasse.
NISE, en monſtrant ſon cercle.	NISE, en montrant son cercle.
muuen,bergere, atten, i'ay quelque choſe icy Qui la peut eontenter, & m’oſter de ſoucy:	muen,bergère, atten, j'ai quelque chose ici Qui la peut eontenter, et m'ôter de souci:
8 Ce preſent eſt-il beau?	8 Ce présent est-il beau?
penſe-tu qu’il luy plaiſe?	penses-tu qu'il as plaise?
NER.	NER.
Donne moy le moyen de le voir à mon aiſe, Tire-le de ton ſein.	Donne -moi le moyen de le voir à mon aise, Tire-le de ton sein.
Hâ qu’il eſt precieux, unuuu cuuuepuoumue pummuames yeux.	Hâce qu'il est précieux, unu cuuuepuoumue pummuames yeux.
NISE.	NISE.
Beau cercle, vnique objet de magloire paßée, --.	Beau cercle, unique objet de magloire passée, --.
E¬ A.	ELLE A.
E iu Agreable entretien de ma triſte pensée, Souuenir de mon bien, cher gage de ma foy, Va, que le Ciel te donne vn ſort meilleur qu’à Tien, le voila Nerée.	E ju Agréable entretien de ma triste pensée, Souvenir de mon bien, cher gage de ma foi, Va, que le Ciel te donne un sort meilleur qu'à Tien, le voilà Nerée.
