RAPINIER OU L'INTERESSE', COMEDIE.	RAPINIER OU L'INTERÈSSE', COMÉDIE.
Servir, aſſûtément eſt un métier fâ cheux.	Servir, assûtément est un métier fât cheux.
DORANTE à part.	DORANTE à part.
Bien des gens l’ont trouvé pourtant avantageux.	Bien des gens l'ont trouvé pourtant avantageux.
BEATRIX.	BEATRIX.
Quiconque à commne mol, la conicience boune, Aimer encor mieux ſervir, que de voler perſonne.	Quiconque à commne mol, la conjience boune, Aimer encor mieux servir, que de voler personne.
FERNAND.	FERNAND.
Nous vous allons, Monſieur, laiſſer ma ſœur & moiAchever vôtre accord en liberté,	Nous vous allons, Monsieur, laisser ma sœur et moiAchever votre accord en liberté,
LA RAPINIERE.	LA RAPINIERE.
Ma foi, Vous en ſerez tous deux:	Ma foi, Vous en serez tous deux:
lanollation prête Vous invite là haut d’aſſiſter à la fête.	lanollation prête Vous invite -là haut d'assister à la fête.
Et ſignant au Contract en qualité d’amis, Vous ferez l’un & l’autre, honneur à mon Commis Cette fête ſans vous, ne ſeroit pas entiere.	Et signant au Contrat en qualité d'amis, Vous ferez l'un et l'autre, honneur à mon Commis Cette fête sans vous, ne serait pas entière.
FERNAND.	FERNAND.
Je ne puis refuſer rien à vôtre priere.	Je ne puis refuser rien à votre prière.
Dorante eſt mon ami, je croi que c’eſt à lui Que je dois tout l'honneur qu’on me fait aujour d’hui;	Dorante est mon ami, je crois que c'est à lui Que je dois tout l'honneur qu'on me fait aujour d'hui;
Il ſçait ce qu'hier au ſoir je luy promis de faire.	Il sais ce qu'hier au soir je lui promis de faire.
Cela ſuffit.	Cela suffit.
Aua DdCCe.	Ava DdCCe.
On croid ne faite qu’une aſfaire Souvent, & quelquefois on en fait deux ou trois,	On crois ne faite qu'une asfaire Souvent, et quelquefois on en fait deux ou trois,
Il eſt vrai, cela m’eſt arrivé quelquefois.	Il est vrai, cela m'est arrivé quelquefois.
ISABELLE.	ISABELLE.
Oui?	Oui?
cela pourroit bien vous arriver encore;	cela pourrait bien vous arriver encore;
Et j’en prens à témoins Doiante & Léonoie.	Et j'en prends à témoins Doiante et Léonoie.
Duoun Iellamemdu deo uouvcace dcmain.	Duoun Iellamemdu de uouvcace dcmain.
LA PAPINIERE.	LA PAPINIÈRE.
Nous le verrons, Dorante, appellez du Jaſmin, Et qu’il faſe ici bas deſcendre le Notaire.	Nous le verrons, Dorante, appelez du Jasmin, Et qu'il fase ici bas descendre le Notaire.
LEONORE bas.	LEONORE bas.
Beatrix, juſqu’au bout ſoûtiens ton caractere.	Beatrix, jusqu'au bout soutiens ton caractère.
DPTRIX bas.	DPTRIX bas.
Allez, laiſſez-moi faire, il eſt pris comme un ſot.	Allez, laissez-moi faire, il est pris comme un sot.
LA RAPINIERE.	LA RAPINIERE.
Au clececy, Scatrix;	Au clèceci, Scatrix;
quoi, vous ne dltes mot?	quoi, vous ne dltes mot?
Vous devez toûjours rite, en l’état où vous êtes.	Vous devez toujours rite, en l'état où vous êtes.
BEATRIX.	BEATRIX.
Et ſçavons-nous, Monſieur, nous autres pauvres bêtes, Ce que nous allons faire en ſignant un Contract?	Et sçavons-nous, Monsieur, nous autres pauvres bêtes, Ce que nous allons faire en signant un Contrat?
Tel croid faire un beau coup, qui ſouvent prend un rat.	Tel croid faire un beau coup, qui souvent prend un rat.
Qund on y reumt, c'en grana coupd'avantule.	Qund on y revumt, c'en grana coupd'aventule.
SCENE VII.	SCÈNE VII.
LA RAPINIERE, FERNAND, LLONORE, DUENNIE, ISABELLE, JASMIN, BEATRIX, LE CLERC du Notaire.	LA RAPINIÈRE, FERNAND, LLONORE, DUENIE, ISABELLE, JASMIN, BEATRIX, LE CLERC du Notaire.
EBOLENC.	EBOLENC.
Onſieur, deſirez-vous entendre la lecture Ctuu préſeut Contrad?	Onsieur, désirez-vous entendre la lecture Cu préseut Contrad?
LA RAPINIERE.	LA RAPINIERE.
Je le lirai, donnez.	Je le lirai, donnez.
LE CLERC.	LE CLERC.
Comment ?	Comment ?
eſt-ce Monſieur, que vous me ſouptonnez?	est-ce Monsieur, que vous me souptonnez?
COMEDIE.	COMÉDIE.
voui de ſçauriez me faire un plus ſenſible outrage.	voui de sauriez me faire un plus sensible outrage.
LA RAPINIERE.	LA RAPINIERE.
Non;	Non;
mais je ne me fie aux gens, que ſur bon gage:	mais je ne me fie aux gens, que sur bon gage:
Et j’en ferois autant à l’homme le plus ſaint, Quand il s’agit d’écrire & d’appliquer mon ſeing.	Et j'en ferais autant à l'homme le plus saint, Quand il s'agit d'écrire et d'appliquer mon seing.
Je ſçai trop les bons tours, qu’on fait avec la plume.	Je sais trop les bons tours, qu'on fait avec la plume.
LE CLERC.	LE CLERC.
Ce procédé, Monſieur, offenſe la coûtume;	Ce procédé, Monsieur, offense la coutume;
Et ſi Monſieur Feal étoit lui-même ici, Il leroit mnal content faſsdoute, de ceci;	Et si Monsieur Feal était lui-même ici, Il lerait mnal content fassoute, de ceci;
Et je ſuis aſſuré, qu’il en fera ſa plainte.	Et je suis assuré, qu'il en fera sa plainte.
LA KAPINIERE.	LA APINIÈRE.
Soit, mais quaud j’aurai lû, je ſignerai ſans crainte;	Soit, mais quaud j'aurai lu, je signerai sans crainte;
Sans cela, mon ami, je ne ſignerai rien.	Sans cela, mon ami, je ne signerai rien.
LECLERC.	LECLERC.
Tenez Monſieur, liſez.	Tenez Monsieur, lisez.
à Dorante & Fernand, Meſſieurs, cela va bien.	à Dorante et Fernand, Messieurs, cela va bien.
DORANTE à Fernand.	DORANTE à Fernand.
Sçavez-vous bien pouiquoi, pendant la promeuade, Le Notaire eſt ſorti?	Savez-vous bien pouiquoi, pendant la promuade, Le Notaire est sorti?
FERNAND.	FERNAND.
C’eſt pour quelque malade.	C'est pour quelque malade.
DORANTE.	DORANTE.
Non;	Non;
mais c’eſt pour avoir, dit-il, lieu d’ignorer.	mais c'est pour avoir, dit-il, lieu d'ignorer.
Qu'on ait ſurpris quelqu’un, & d’en pouvoir jurer, Au beſoin.	Qu'on ait surpris quelqu'un, et d'en pouvoir jurer, Au besoin.
FERNAND.	FERNAND.
Ceie oseu dis	Cevie oseu dis
DORANTE.	DORANTE.
Ce Clere qui ſçait l’affaire, La fera réüſſir, mieux qu’il n’auroit pû faire:	Ce Clère qui sait l'affaire, La fera réussir, mieux qu'il n'aurait pu faire:
Cachant vôtre Contract, il montrera le leur.	Cachant votre Contrat, il montrera le leur.
ISABELLE.	ISABELLE.
Par avance, je ris dans le fond de mon cœur, De l’apparent ſuccés d’une telle avanture.	Par avance, je ris dans le fond de mon cœur, De l'apparent succès d'une telle aventure.
LE CLERCAlE Rabiniem.	LE CLERCAlE Rabiniem.
En avex-vous, Monſieur, fait entiere lecture?	En avex-vous, Monsieur, fait entière lecture?
Plaît-il?	Plaît-il?
LA RAPINIERE.	LA RAPINIERE.
Oui, je l’ai lû deux fois de bour en bout.	Oui, je l'ai lu deux fois de bour en bout.
LE CLERC.	LE CLERC.
He bien, que vous en ſemble?	He bien, que vous en semble?
LA RAPINIERE.	LA RAPINIERE.
Il eſt fort à mon goûc.	Il est fort à mon goûc.
Il eſt dreſſé ſelon la coûtume & l’uſage, Et Tun & J’autre y trouve un égal avantage.	Il est dressé selon la coutume et l'usage, Et Tun et J'autre y trouve un égal avantage.
Futurs époux, ſignez.	Futurs époux, signez.
JASMIN.	JASMIN.
Nous ſçavons trop, Monſieur, Ce que les ſerviteurs doivent à leur Seigneur, Pour colſeitie euveis vous une faute ſi grande.	Nous sçavons trop, Monsieur, Ce que les serviteurs doivent à leur Seigneur, Pour colitie euveis vous une faute si grande.
LA RAPINTERE.	LA RAPINTERE.
Ah, lignez.	Ah, lignez.
Mais Monſieur.	Mais Monsieur.
d3s Eu lle dde ddsedt Mais je vous le commande,	d3s Eu dde dde dût Mais je vous le commande,
Odule.	Odule.
JaeM Il.	JaM Il.
En tout autre fait, nous vous obéïrons.	En tout autre fait, nous vous obéirons.
BEATRTX.	BEATRTX.
Quand vous aurez ſigné, Monſieur, nous ſignerons.	Quand vous aurez signé, Monsieur, nous signerons.
LA RAPINIERE au Clerc Dites-moi, ces reſpects ſont-ils de la coûtume?	LA RAPINIÈRE au Clerc Dites-moi, ces respects sont-ils de la coutume?
LR CLERC.	LR CLERC.
Oui Monſieur, par honneur.	Oui Monsieur, par honneur.
LA RAPINIERE.	LA RAPINIERE.
Donnez-moi donc la plume, Puiſque c’eſt l'ordre;	Donnez-moi donc la plume, Puisque c'est l'ordre;
mocu, antotistemuee a bas.	mocu, antotistemuee a bas.
*Le Clerc laiſſe exprés tomoer la plume, en la preſentant à la Rapiniere;	*Le Clerc laisse exprès tomoer la plume, en la présentant à la Rapinière;
& pendant que colui-ci le naaaſſe.	et pendant que colvi-cy le naasse.
l'aurre met un auir Couinas en le plecs de cslui qui étoit ſur la table.	l'aurre met un avir Couinas en le plecs de clui qui était sur la table.
Peſte	Peste
COMEDIE.	COMÉDIE.
Felte un mum adion.	Felte un mum aion.
LE CLERC.	LE CLERC.
Monfieur, ne bougez pas.	Monfieur, ne bougez pas.
LA RAPINIERE aprés avoir ſigné.	LA RAPINIÈRE après avoir signé.
Etes-vous ſatisfaits?	Êtes-vous satisfaits?
JASMIN.	JASMIN.
Oui, Monſieur, & de reſte	Oui, Monsieur, et de reste
du de sa da ad Au d d sa ds.	du de sa da ad Au d sa ds.
Allons donc,ſſignez tous, dépêchez, preſte, preſte.	Allons donc,ssignez tous, dépêchez, prête, prête.
BEATRIX.	BEATRIX.
Que j’ai ſujet, Monſieur, de me loüer de vous!	Que j'ai sujet, Monsieur, de me louer de vous!
Fernand & Léonore s’en vont avec le Clerc, qui emporte le Contract.	Fernand et Léonore s'en vont avec le Clerc, qui emporte le Contrat.
LA RAPINIERE.	LA RAPINIERE.
Léonore vous donne aujourd’hui cét époux.	Léonore vous donne aujourd'hui cet époux.
DEATRTA.	DEATRTA.
Avant qu’il ſoit trois jours, en revanche j’eſpere, Qu’elle s’en pourra voir un par mon miniſtere.	Avant qu'il soit trois jours, en revanche j'espère, Qu'elle s'en pourra voir un par mon ministère.
LA RAPINIERE.	LA RAPINIERE.
J'attens avec ardeur ce bien de vos bons ſoins.	J'attends avec ardeur ce bien de vos bons soins.
BEATRIX.	BEATRIX.
Souvent pour ne rien dire, on n’en penſe pas moins.	Souvent pour ne rien dire, on n'en pense pas moins.
Si vous ſçaviez, Monſieur, ce qu’auprés de Madamé, J’ai fait pour vous.	Si vous saviez, Monsieur, ce qu'auprès de Madamé, J'ai fait pour vous.
SCENE VIII.	SCÈNE VIII.
LA RAPINIERE, DORANTE, ISABELLE, JASMIN, BEATRIX, ALA ROCHE, UNE PAYSANE iee un grunu paniers	LA RAPINIÈRE, DORANTE, ISABELLE, JASMIN, BEATRIX, ALA ROCHÉ, UNE PAYSANE ione un grun paniers
HI.	HI.
EPA ROCHE.	EPA ROCHÉ.
IE viens de ſaiſir cette femme, 116bo g nd panier plein d’œufs frais.	JE viens de saisir cette femme, 116bo g d panier plein d'œufs frais.
LA RAPINIERE.	LA RAPINIERE.
Mal-adroit, Dites donc qu’ils ſont vieur, ſieon je perds mon droit.	Mal-adroit, Dites donc qu'ils sont vieur, sièon je perds mon droit.
C’eſt un poinct qu’a reglé l’Office de Saint George.	C'est un point qu'a réglé l'Office de Saint George.
LA PAYSANE.	LA PAYSANE.
Prend-on ainſi, Monſieur, les femmes à la gorge?	Prend-on ainsi, Monsieur, les femmes à la gorge?
Si j’avois été ſeule, & ſans témoins, je eroi Qun auron enepns quelque chole ſul mol.	Si j'avais été seule, et sans témoins, je erai Qun auron enépns quelque chole sul mol.
Quel homme!	Quel homme!
LA RAPINIERE.	LA RAPINIERE.
DTuuse On ne fait point ici de violence	DTuuse On ne fait point ici de violence
LA ROCHE.	LA ROCHÉ.
Et pourquoi faites-vous reſiſtance?	Et pourquoi faites-vous résistance?
LATAIJANE.	LATAIJANE.
On ne doit point de droits ici, pour des oeuſs frais, Et de mémoire d’homme, on n’en paya jamais,	On ne doit point de droits ici, pour des œuss ais, Et de mémoire d'homme, on n'en paya jamais,
LA RAPINIERE.	LA RAPINIERE.
On tou.	On tou.
dit qu’ils ſont vieux.	dit qu'ils sont vieux.
LA PAYSANE.	LA PAYSANE.
Vieux?	Vieux?
oui, d’une journée, Et j’en apporte ainſi pendant toute l’année.	oui, d'une journée, Et j'en apporte ainsi pendant toute l'année.
LAXANINIERE.	LAXANINIERE.
Combien en avez vous?	Combien en avez vous?
C’eſt la mon intérêt.	C'est la mon intérêt.
A Aeides LA PAYSANE	A Aeides LA PAYSANE
LA RAPINIERE Il ſuſfit, allez, ils ſont vieux par arret.	LA RAPINIERE Il susfit, allez, ils sont vieux par arrêt.
Nous les tenons nolveaux, juiques à la douzaine;	Nous les tenons nolveaux, juiques à la douzaine;
Mais s’ils excedent, vieux.	Mais s'ils excédent, vieux.
LA PAYSANE Sauvons nous, à part.	LA PAYSANE Sauvons nous, à part.
Que le diable téntraine	Que le diable tentraine
DORANTE.	DORANTE.
A Fεπιωί.	À Fεπιωί.
COMEDIE.	COMÉDIE.
A1 eutend Mols res ruitonis, q’un ſour	A1 eutend Mols rés ruitonis, qun sour
LA RAPINIERE.	LA RAPINIERE.
Mais la Roche, voyons:	Mais la Roche, voyons:
Ce panier eſt bien lour Ce double fond ſans doute y cache quelque cho La fortune a mon grél, de ſes tréſors diſpoſe, nuti v'eſt aſſurément quelque etoffe de prix.	Ce panier est bien lour Ce double fond sans doute y cache quelque cho La fortune à mon grel, de ses trésors dispose, nuti v'est assurément quelque etoffe de prix.
Un enfant!	Un enfant!
comment donc?	comment donc?
M a ds ddae dn0 Le voila bien ſurpr	M Mais digne ddae dn0 Le voilà bien surpr
EMRMEINIENE.	ÉMRMEINIENE.
La Roche, allez, courez aprés cette vilaine.	La Roche, allez, courez après cette vilaine.
JASMIN.	JASMIN.
Monſieur, vn œuf ſi gros vaut plus d’vne d’ouzain 1l dolt fajer nss	Monsieur, un œuf si gros vaut plus d'une d'ouzain 1l dolt fajer nus
LA RAPINIERE.	LA RAPINIERE.
C’eſt vn tour qu’on me fai	C'est un tour qu'on me fait
ISADELEI.	ISADELEI.
Mais Monſieur, j’apperçois ce me ſemble, vn bill Peut-être poutrons nous en découvrir le pere.	Mais Monsieur, j'aperçois ce me semble, un bill Peut-être poutrons nous en découvrir le père.
LA RAPINIERE.	LA RAPINIERE.
Sans doute, ça voyons, expliquons ce Miſtere, Peut-être ſans raiſon, je me ſuis allarmé.	Sans doute, ça voyons, expliquons ce Mistère, Peut-être sans raison, je me suis alarmé.
Ah Ciel!	Ah Ciel!
dans mes ſoupçons je ſuis trop conſirmé	dans mes soupçons je suis trop consirmé
ILLIT, T'ay trouvé l’adroite maniere De rendre ce qu’on m’a donné:	ILLIT, T'ai trouvé l'adroite manière De rendre ce qu'on m'a donné:
Le pere de ce nouveau né Eſt Monſieur de la Rapiniere.	Le père de ce nouveau né Est Monsieur de la Rapinière.
L’effrontée!	L'effrontée!
DORANTE.	DORANTE.
Il le faut nourrir.	Il le faut nourrir.
LA RAPINIERE.	LA RAPINIERE.
Ouy?	Oui?
Nous verron Tantet plus à loifir, ce que nous en ferons.	Nous verron Tantet plus à loisir, ce que nous en ferons.
Où donc eſt vôtre ſœur?	Où donc est votre sœur?
Où done eſt vôtre frere, Madame!	Où donc est votre frère, Madame!
all ſe trouve un enfant dans li panier.	all se trouve un enfant dans li panier.
Ii	Ji
ISABELLE.	ISABELLE.
Ils ſont ſortis avecque le Notaire, Et viennent de inonter en caigne tous ciols.	Ils sont sortis avec le Notaire, Et viennent de inonter en caigne tous ciols.
LA RAPINIERE.	LA RAPINIERE.
En caroſſe?	En carosse?
ma niece?	ma nièce?
Ah Ciel!	Ah Ciel!
quoy donc les droits, Que ſur elle, en mourant m’avoit laiſſez ſa mere, Seront impunément violez?	quoi donc les droits, Que sur elle, en mourant m'avait laissez sa mère, Seront impunément violés?
DORANTE.	DORANTE.
Ce Miſtere Se peut facilement expliquer entre nous.	Ce Miste Se peut facilement expliquer entre nous.
LA RAFINIERE.	LA RAFINIÈRE.
He, Comment?	He, Comment?
DORANTE.	DORANTE.
Léonore eſt avec ſon êpoux:	Léonore est avec son êpoux:
LA RAPINIERE.	LA RAPINIERE.
con epou, erquidencs.	con épou, erquidencs.
DORANTE.	DORANTE.
Fernand.	Fernand.
LA RAPINIERE.	LA RAPINIERE.
Ciel!	Ciel!
quel ſupplice!	quel supplice!
Ah!	Ah!
perſide neveu, Vous en etes complice:	perside neveu, Vous en êtes complice:
Et vous m’avez exprés, leurré d’vn vain eſpoir, Amn de mecioun ee imcar me deccvonQuoy?	Et vous m'avez exprès, leurré d'un vain espoir, Amn de mecioun ce imcar me deccvonQuoy?
la religion d’vne prudente mere.	la religion d'une prudente mère.
Oui fait vn teſtament.	Oui fait un testament.
ſa volonté derniere.	sa volonté dernière.
Qui doit être ſacrée.	Qui doit être sacrée.
Ah Ciel!	Ah Ciel!
Vn ſcélérat.	Un scélérat.
DORANTE.	DORANTE.
Mais vous avez figné vous même leur Contract.	Mais vous avez signé vous -même leur Contrat.
LA RAPINIERE.	LA RAPINIERE.
Leur Contrast?	Leur Contrât?
DORANTE.	DORANTE.
Ouy Monſieur.	Oui Monsieur.
LA RAPINIERE.	LA RAPINIERE.
He!	He!
quand donc?	quand donc?
DORANTE.	DORANTE.
Tout à l’heure.	Tout à l'heure.
LA RAVINIERE.	LA RAVINIÈRE.
Buy, u emune Dojuimnres Beutin.	Bui, emune Dojuimnres Beutin.
DORANTE.	DORANTE.
Je meure.	Je meure.
Si vous n’avez ſigné celuy d’entre Fernand Et Léonore.	Si vous n'avez signé celui d'entre Fernand Et Léonore.
LA RAPINIERE.	LA RAPINIERE.
Oh Dieu!	Oh Dieu!
je connois maintenant, Que je ſuis pris pour dupe.	je connais maintenant, Que je suis pris pour dupe.
Ah!	Ah!
malheureux fauſſaire!	malheureux faussaire!
Fiuube, traître, aſſaſſin, ſacrilege Notaire!	Fiuube, traître, assassin, sacrilège Notaire!
Tu mas joüé ſans doute, vn tour de ton mêtiez.	Tu mas joué sans doute, un tour de ton mêtiez.
Mais ma foy, je te vais pourſuivre ſans quartier, Et tu ſeras pendu, comme tu le mérites.	Mais ma foi, je te vais poursuivre sans quartier, Et tu seras pendu, comme tu le mérites.
LLANTE.	LLANTE.
Monſieur, penſez vous bien à tout ce que vous dites?	Monsieur, pensez -vous bien à tout ce que vous dites?
C’eſt moy qu’il faut puuir, ſi l'on punit quelqu’vn.	C'est moi qu'il faut puvir, si l'on punit quelqu'vn.
LA RACINIERL.	LA RACINIERL.
