POLYEVCTE, Seigneur d’Armenie, gendre de Felix,	POLYEUCTE, Seigneur d'Arménie, gendre de Félix,
MINIA qou Slus oihoν M no qoij fo iii sm 1061 s qmel 3imo siane l enpu.	MINIA qou Slus oihoù M nô qoij fo ji sm 1061 s qmel 3imo siane l enpu.
csniol e veleis	csniol é levis
NTT TICTI 2107 casiiel am ob esꝗ unꝗ uoy en ol 714 SCENE PREMIERE.	NTT TICTI 2107 casiiel amès ob é unꝗ uoi en ol 714 SCÈNE PREMIÈRE.
disMna e siid audunoqs!	disMna e id audunoqs!
sis dsg enilonp (ois al FOLIEVCIEE, CENVNVVMNIE 102 Trois autres Gardes.	sis dsg enilonp (ais al FOLIEUCIE, CENVNUMNIE 102 Trois autres Gardes.
POLLYENCTE.	POLYENCTE.
Ib' anpliu 1TOVIYIO.	Ib' anpliv 1TOUIIO.
1B2er Fi Fi MMATIMMMEI.	1B2er Fi Fi MATIMMEI.
VH) 4 Ardes, que me veut-omamle 1	VH) 4 Ardes, que me veut-amle 1
CLEON.	CLEON.
43128  Pauline vous demande.	43128 Pauline vous demande.
12 BOLYEVGTE.	12 BOLYEUGTE.
O preſence, ô combat que ſur tout j’apprehende?	Ô présence, ô combat que sur tout j'appréhende?
Felix, dans la priſon i’ay triomphé de toy, I’ay ry de ta menace & t’ay veu ſans effroy, Tu prends pour t’en venger de plus puiſſantes armes, Ie craignois beaucoup moins tes bourreaux que ſes larmes.	Félix, dans la prison j'ai triomphé de toi, J'ai ri de ta menace et t'ai vu sans effroi, Tu prends pour t'en venger de plus puissantes armes, Je craignais beaucoup moins tes bourreaux que ses larmes.
Seigneur, qui vois icy les perils que ie cours;	Seigneur, qui vois ici les périls que ie cours;
En ce preſſant beſoin redouble ton ſecours, Et toy qui tout ſortant encorlde la victoire D iij Regardes mes trauaux du ſejour de la gloire.	En ce pressant besoin redouble ton secours, Et toi qui tout sortant encorlde la victoire DO iij Regardes mes travaux du séjour de la gloire.
Cher Nearque, pour vaincre vn ſi fort ennemy Preſte du haut du Ciel la main à ton amy.	Cher Nearque, pour vaincre un si fort ennemi Preste du haut du Ciel la main à ton ami.
Gaides, oſeriez-vous me rendre vn bon office?	Gagnes, oseriez-vous me rendre un bon office?
CLEON.	CLEON.
cvoue luinna pruo, ceigueur s vouotenldre aucun ſȩruict.	coue luinna pruo, ceigueur s vouotenldre aucun sȩruict.
POLYEVCTE.	POLYEUCTE.
Ie ne vous parle pas de me faire éuader, Mais comme il ſuffira de trois à me garder, L’autre m’obligéroit d'aller querirt Seuere, Ie croy que ſans peril cela ſe peut bien faire, Si i’auois pû luy dire vn ſecret important Il vimon pius neureux & le mounois content.	Je ne vous parle pas de me faire évader, Mais comme il suffira de trois à me garder, L'autre m'obligéroit d'aller quérirt Seuere, Je crois que sans péril cela se peut bien faire, Si j'avais pu lui dire un secret important Il vimon pius neureux et le mounais content.
CLEON.	CLEON.
Puiſque c’eſt pour Seuere à tout ie me diſpenſe.	Puisque c'est pour Sévère à tout notre me dispense.
POLYEVCTE.	POLYEUCTE.
Luy-meſme à mon defaut ſera ta recompenſe.	Lui-même à mon défaut sera ta récompense.
de piuton taut le miedur ja donc, & promptement.	de piuton taut le miedur ja donc, et promptement.
MAMbEOV CLEON.	MAMbEOU CLEON.
I’y cours & vous m’aurez icy daus vn moment.	J'y cours et vous m'aurez ici daus un moment.
SCENE II.	SCÈNE II.
POLYEVCTE ſeut.	POLYEUCTE seut.
Ses gardes s’eſtant retirez aux coins dla anclseros	Ses gardes s'étant retirés aux coins dla anclseros
Ource delicieuſe en miſeres feeonde, QQue voulez-vous de moy flatteuſes voluptez?	Ource délicieuse en misères feonde, QQue voulez-vous de moi flatteuses volupté?
Honteux atrachemens de la chair & du monde Que ne me quittez-vous quand ie vous ay quit2?	Honteux atrachements de la chair et du monde Que ne me quittez-vous quand ie vous ai quit2?
Allez honneurs, plaiſirs, qui me liurez la guerre, Toute voſtre felicité Sujette à l’inſtabilité En moins de rien tombe par terre, Et comme elle a l’éclat du verre.	Allez honneurs, plaisirs, qui me livrez la guerre, Toute votre félicité Sujet à l'instabilité En moins de rien tombe par terre, Et comme elle a l'éclat du verre.
Elle en a la fragilité.	Elle en a la fragilité.
Ainſi n’eſperez pas qu’apres vous ie ſoûpire, Vous eſtalez en vain vos charmes impuiſſans.	Ainsi n'espérez pas qu'après vous porte soupire, Vous étalez en vain vos charmes impuissants.
Vous me monſtrez en vain paz tout ce vaſte Empire.	Vous me montrez en vain pays tout ce vaste Empire.
Les ennemis de Dieu pompeux & ſloriſſans:	Les ennemis de Dieu pompeux et slorissants:
Il eſtale à ſon tour des reuers equitubles Par qui les grands ſont confondus, Et les glaiues qu’il tient pendus Deſſus ces illuſtres coupables Sont d’autant plus inéuitables D iiij	Il étale à son tour des revers équitubles Par qui les grands sont confondus, Et les glaiues qu'il tient pendus Dessus ces illustres coupables Sont d'autant plus inéuitables D iiij
Que leurs coups ſont moins attendus.	Que leurs coups sont moins attendus.
Tigre affamé de ſang, Decie impitoyable, Ce Dieu t’a trop long-temps abandonné les ſiens, De ton heureux deſtin voy la ſuite effroyable.	Tigre affamé de sang, Decie impitoyable, Ce Dieu t'a trop longtemps abandonné les siens, De ton heureux destin vois la suite effroyable.
Le Scythe va venger la Perſe & les Chreſtiens.	Le Scythe va venger la Perse et les Chrétiens.
Encor vn peu plus outre & ton heure eſt venuë:	Encor un peu trop outre et ton heure est venue:
Rien ne t’en ſçauroit garantir, Et la foudre qui va partir Toute preſte à creuer la nuë Ne peut plus eſtre retenuë Par l’attente du repentir, Que cependant Felix m’immole à ta colere, Qu’vn riual plus puiſſant luy donne dans les yeux;	Rien ne t'en saurait garantir, Et la foudre qui va partir Toute prête à crêver la nue Ne peut plus être retenue Par l'attente du repentir, Que cependant Félix m'immole à ta colère, Qu'un rival plus puissant tu donne dans les yeux;
Qu’aux dépens de ma vie il s’en faſſe beau-pere;	Qu'aux dépens de ma vie il s'en fasse beau-père;
Et qu’à tiltre d’eſclaue il commande en ces lieux, Ie conſens ou plutoſt i’aſpire à ma ruine, Vains appas, vous ne m’eſtes rien, Ie porte en vn cœur tout Chreſtien Vne flame toute diuine, Et ie ne regarde Pauline Que comme vn obſtacle à mon bien.	Et qu'à titre d'esclaue il commande en ces lieux, Je consens ou plutôt j'aspire à ma ruine, Vains appas, vous ne m'êtes rien, Je porte en un cœur tout Chrétien âme toute divine, Et ie ne regarde Pauline Que comme un obstacle à mon bien.
Saintes douceurs du Ciel adorables Idées, Vous rempliſſez vn cœur qui vous peut receuoir, De vos ſacrez attraits les ames poſſedées Ne conçoiuent plus rien qui les puiſſe émoûuoir:	Saintes douceurs du Ciel adorables Idées, Vous remplissez un cœur qui vous peut recevoir, De vos sacrez attraits les âmes possédées Ne conçoivent plus rien qui les puisse émouvoir:
Vous promettez beaucoup, & donnez dauantage Vos biens ne ſont point inconſtans, Et l’heureux trépas que j’attens Ne vous ſert que d’vn doux paſſage Pour nous introduire au partage Qui nous rend à iamais contens, 2 200V C'eſt vous, ô feu diuin que rien de peut!	Vous promettez beaucoup, et donnez davantage Vos biens ne sont point inconstants, Et l'heureux trépas que j'attends Ne vous sert que d'un doux passage Pour nous introduire au partage Qui nous rend à jamais contents, 2 00U C'est vous, ô feu divin que rien de peut!
eſteindre 10 oflov oupermonxo suploup Qui m’allez faire voit Pauline ſans la craindre, le la voy, mais mon cœur d'vn ſainct azelé enflammé 2iii ov enoiſs 2abnsg20 N’en gouſte plus l’appas dont il eſtoit charmé, Et mes yeux éclairez des celeſtes lumieres.	éteindre 10 offlov oupermonxo suploup Qui m'allez faire voit Pauline sans la craindre, le la vois, mais mon cœur d'un saint azélé enflammé 2i ou enoiss 2abnsg20 N'en goûte plus l'appas dont il était charmé, Et mes yeux éclairez des célestes lumières.
Ne trouuent plus aux ſiens leurs graces cou– ſtumieres:	Ne trouvent plus aux siens leurs grâces couang stumières:
ia iuo yoits Iuoq 1bo nod nv1	ja yvo yaits Juoq 1bo nod nu1
111941 4 4yaybda d13 SCENE MIone 4 POLYEVCTEYFRVLINE, IODOIURUE 23 Gardes?	111941 4 4yaibda d13 SCÈNE MIone 4 POLYEUCTEYFRULINE, JODOIURUE 23 Gardes?
mebm!	mébm!
POLYEVCTE.	POLYEUCTE.
*9edsu onvid sah filp edne jamion'n Adame, quel deſſein vous fait me deM mander?	*9edsu onvid sah ilp edne jamion Audame, quel dessein vous fait me deM ander?
Eſt ce pour me combattre ou pour me ſeconder Et l'effort genereux de cetre amour parfaite, Vient-il à mon ſecours ou bien à ma deffaite Apportez vous icy la haine ou l’amitié m„ Comme mon ennemié ou ma chere moitié?	Est -ce pour me combattre ou pour me seconder Et l'effort généreux de cet amour parfaite, Vient-il à mon secours ou bien à ma défaite Apportez -vous ici la haine ou l'amitié m„ Comme mon ennemié ou ma chère moitié?
AVLINE.	AULINE.
Vous n’auez point icy d’ennemis que voüsmeſme, d ipe aun.	Vous n'avez point ici d'ennemis que voüsmesme, d ipe aun.
muarar a ur ou mune da ne i DY Vous ſeul vous hayſſez lors qne chacun vous ayme,s bouU0N 1 Vous ſeul executez tout ce que i’ay reſue, Ne vueillez pas vous perdre, & vous eſtes ſauué, A quelque extremité que voſtre crime paſſe Vous eſtes innocent ſi vous vous faites grace;	muar a ur ou mune da ne j' Y Vous seul vous haïssez lors q chacun vous aime,s bouU0N 1 Vous seul exécutez tout ce que j'ai rêve, Ne veuillez pas vous perdre, et vous êtes sauvé, À quelque extrémité que votre crime passe Vous êtes innocent si vous vous faites grâce;
Daignez conſiderer le ſang dont vous ſortez, Vos grandes actions, vos rares qualitez.	Daignez considérer le sang dont vous sortez, Vos grandes actions, vos rares qualités.
01 Chery de tout le peuple, eſtimé chez de Prince, Gendre du Gouuerneur de toute la Prouince;	01 Cheri de tout le peuple, estimé chez de Prince, Gendre du Gouverneur de toute la Province;
Ie ne vous conte à rien le nom de mon époux, C’eſt vn bon-heur pour moy qui n’eſt pas grand pour vous, Mais apres vos exploits, apres voſtre naiſſance Apres voſtre pouuoir, voyez noſtre eſperance, Et n’abandonnez pas à la main d’vn bourreau Ce qu’à nos iuſtes vœux promet vn ſort ſi beau.	Je ne vous compte à rien le nom de mon époux, C'est un bonheur pour moi qui n'est pas grand pour vous, Mais après vos exploits, après votre naissance Après votre pouuoir, voyez notre espérance, Et n'abandonnez pas à la main d'un bourreau Ce qu'à nos justes vœux promet un sort si beau.
POHYEVCTE.	POHYEUCTE.
YI Ie conſidere plus, ie ſçay mes auantages, Et l’eſpoir que ſur eux forment les grands courages, Ils n’aſpirent enfin qu’à des biens paſſagers.	YI Je considère plus, je sais mes avantages, Et l'espoir que sur eux forment les grands courages, Ils n'aspirent enfin qu'à des biens passagers.
Que troublent les ſoucys, que ſuiuent les dangers;	Que troublent les soucis, que suivent les dangers;
84 La mort nous les rauit, la fortune s’en joüe, Aujourd’huy dans le throſne, & demain dans da boüe, .	84 La mort nous les ravit, la fortune s'en joue, Aujourd'hui dans le trône, et demain dans da bête, .
22 Lao (OHIEl 1 Er leur plus haut éclat fait tant de mécontens Que peu de vos Ceſars en ont joüy long-temps, I’ay de l’ambition, mais plus noble & plus be lle, Cette grandeur perit, i’en veux vne immortelle, Vn bon-heur aſſeuré, ſans meſure.	22 La (OHIEl 1 Er leur plus haut éclat fait tant de mécontens Que peu de vos Césars en ont joui longtemps, J'ai de l'ambition, mais plus noble et plus be lèle, Cette grandeur périt, j'en veux une immortelle, Un bonheur assuré, sans mesure.
& ſans fin, Au deſſus de l’enuie, au deſſus du deſtin.	et sans fin, Au dessus de l'envie, au dessus du destin.
Eſt-ce trop l’achepter que d’vne triſte vie, Qui tantoſt, qui ſoudain me peut eſtre rauie, Qui ne me fait jouyr que d’vn inſtant qui fuit, Et ne peut m’aſſeurer de celuy qui le ſuit?	Est-ce trop l'achepter que d'une triste vie, Qui tantôt, qui soudain me peut être ravie, Qui ne me fait jouir que d'un instant qui fuit, Et ne peut m'assurer de celui qui le suit?
PAVLINE.	PAULINE.
Voilà de vos Chreſtiens les ridicules ſonges, Voilà iuſqu’à quel point vous charment leurs menſonges, Tout voſtre ſang eſt peu pour vn bon-heur ſi doux, Mais pour en diſpoſer ce ſang eſt-il à vous?	Voilà de vos Chrestiens les ridicules songes, Voilà jusqu'à quel point vous charment leurs mensonges, Tout votre sang est peu pour un bonheur si doux, Mais pour en disposer ce sang est-il à vous?
Vous n’auez pas la vie ainſi qu’vn heritage, Le ſour qui vous la donne en memie temps l'engage, Vous la deuez au Prince, au public, à l’Eſtat.	Vous n'avez pas la vie ainsi qu'un héritage, Le sour qui vous la donne en mémie temps l'engage, Vous la devez au Prince, au public, à l'État.
POLYEVCTE.	POLYEUCTE.
Ie la voudrois pour eux perdre dans vn combat, Ie ſçay quel en eſt l'heur, & quelle en eſt la gloire;	Je la voudrais pour eux perdre dans un combat, Je sais quel en est l'heur, et quelle en est la gloire;
Des ayeuls de Decie on vante la memoire, Et ce nom precieux encor à vos Romains Au bout de ſix ceus ans luy met l’Empire aux mains, Ie dois ma vie au peuple, au Prince, à ſa Couronne, Mais ie la dois bien plus au Dieu qui me la donne, Si mourir pour ſon Prince eſt vn illuſtre ſort, Quand on meurt pour ſon Dieu, quelle ſera la mort?	Des aïeuls de Décie on vante la mémoire, Et ce nom précieux encor à vos Romains Au bout de six ceus ans grands met l'Empire aux mains, Je dois ma vie au peuple, au Prince, à sa Couronne, Mais ainsi la dois bien plus au Dieu qui me la donne, Si mourir pour son Prince est vn illustre sort, Quand on meurt pour son Dieu, quelle sera la mort?
Quel Dleu.	Quel Dlu.
PAVLINE.	PAULINE.
POLYEVCTE.	POLYEUCTE.
Tout beau, Pauline, il entend vos paroles, Et ce n’eſt pas vn Dieu comme vos.	Tout beau, Pauline, il entend vos paroles, Et ce n'est pas un Dieu comme vos.
Dieux friuoles, Infenſibles & ſourds, impuiſſans, mutilez, le voulez :	Dieux frivoles, Infensibles et sourds, impuissants, mutilez, le voulez :
C’eſt le Dieu des Chreſtiens, c’eſt le mien, c’eſt le voſtre, Et la terre & le Ciel n’en connoiſſent point d’autre.	C'est le Dieu des Chrétiens, c'est le mien, c'est le vôtre, Et la terre et le Ciel n'en connaissent point d'autre.
PAVLINE.	PAULINE.
Aublez-le dans I’ame & n’en temoignez rien,	Aublez-le dans J'âme et n'en témoignez rien,
POLYEVCTE.	POLYEUCTE.
Que ie ſois tout enſemble idolâtre & Chreſtien!	Que quelque sois tout ensemble idolâtre et Chrétien!
PAVLINE.	PAULINE.
Ne feiz ez qu’vn moment, laiſſez partir Seuere, Et de inez lieu d’agir aux bontez de mon pere.	Ne féis ez qu'Hommes moment, laissez partir Sevère, Et de inez lieu d'agir aux bontés de mon père.
POLYEVCTE.	POLYEUCTE.
Les bontez de mon Dieu ſont bien plus à cherir, Il m’oſte des perils que i’aurois pû courir, Et ſans me laiſſer lieu de tourner en arriere Sa faueur me couronne entrant dans la carriere, Du premier coup de vent il me conduit aujport Et ſortant du Bapteſme il m’enuoye à la mort Si vous pouuiez comprendre & le peu qu’eſt la vie Et de quelles deuceurs cette mort eſt ſuiuie.	Les bontés de mon Dieu sont bien plus à chérir, Il m'ôte des périls que j'aurais pu courir, Et sans me laisser lieu de tourner en arrière Sa faveur me couronne entrant dans la carrière, Du premier coup de vent il me conduit aujport Et sortant du Baptême il m'envoie à la mort Si vous pouviez comprendre et le peu qu'est la vie Et de quelles déceurs cette mort est suivie.
, Mais que ſerr de parler de ces threeſors cachez A des eſprirs que Dieu n’a pas encor touchez.	, Mais que serr de parler de ces trésors cachez A des éprirs que Dieu n'a pas encor touchez.
PAVLINE.	PAULINE.
Cruel, car il eſt temps que ma douleur éclate, Et qu’vn iuſte reproche accable vne ame ingrate.	Cruel, car il est temps que ma douleur éclate, Et qu'elle juste reproche accable une âme ingrate.
Eſt-ce là ce beau feu?	Est-ce là ce beau feu?
ſont-ce là tes ſermens?	sont-ce là tes serments?
Témoignes-tu pour moy les moindres ſentimens?	Témoignes-tu pour moi les moindres sentiments?
e11 Ie ne te parlois point de l’Eſtat déplorable Où ta mort va laiſſer ta femme inconſolable, Ie croyois que l’amour t’en parleroit aſſez Et ie ne voulois pas de ſentimens forcez, Mais cette amour ſi ferme & ſi bien meritée Que tu m’auois promiſe & que ie t’ay portée, Quand tu me veux quitter, quand tu me fais mourir.	e11 Je ne te parlais point de l'État déplorable Où ta mort va laisser ta femme inconsolable, Je croyais que l'amour t'en parlerait assez Et sans ne voulais pas de sentiments forcés, Mais cette amour si ferme et si bien méritée Que tu m'avais promise et que ie t'ai portée, Quand tu me veux quitter, quand tu me fais mourir.
