2 TuE LES TESEDROVL L Man.	2 TuE LES TESEDROUL L An.
Que c’eſt vn grapd treſor que noſtre liberté, Qu'on la compare mal au bien de la clartè, Que l’vſage en est doux, & qu’au temps où nous ſommes, Vn bien qui vient du Ciel ſe vend mal à des hommes, Le liberal arbitre eſt vn don precieux Par où nous esprouuons la clemence des Dieux, Vn eſprit franc & libre où la raiſon abonde Enne poſſedant rien, poſſede tout le monde, Il ne deſpend iamais de tant d’eſprits diuers, Au lieu d’vne maiſon il a tour l’Vnisſers, Sa richeſſe le ſuit, & l’ame, ſans contrainte, Peut auoir la vertu dans ſon viſage empreinte,	Que c'est un grapd trésor que notre liberté, Qu'on la compare mal au bien de la clartète, Que l'usage en est doux, et qu'au temps où nous sommes, Un bien qui vient du Ciel se vend mal à des hommes, Le libéral arbitre est un don précieux Par où nous éprouvons la clémence des Dieux, Un esprit franc et libre où la raison abonde Enne possédant rien, possède tout le monde, Il ne dépend jamais de tant d'esprits divers, Au lieu d'une maison il a tour d'Unissers, Sa richesse le suit, et l'âme, sans contrainte, Sans auoir ai vertu sans con visage empreinte,
LES PASSTONS Luy-meſme fait ſes loix, & ſes affections Commandent librement aux bonnes actions;	LES PÂTONS Lui-même fait ses lois, et ses affections Commandent librement aux bonnes actions;
Mais quand noſtre vouloir eſt ſouſmis à la geſne, Que noſtre ame deuient eſclaue de la peine, La pauuretè nous ſuit au milieu des treſors, Auant que de mourir nous ſommes deſia morts, Ou bien, ſi nous viuons, ce n'eſt que d’vne vie Qui du bonheur d’autruy compoſe ſon enuie:	Mais quand notre vouloir est soumis à la gêne, Que notre âme devient esclaue de la peine, La pauvretée nous suit au milieu des trésors, Avant que de mourir nous sommes déjà morts, Ou bien, si nous vivons, ce n'est que d'une vie Qui du bonheur d'autrui compose son envie:
Mais quoy, noſtre fortune a touſiours des reuers, Dont ſon aueuglement menace l’Vniuers, L’inconſtance est ſon Phare, & ſon cours neceſſaire A fait vœu de tout temps d’affliger & desplaire, Tout eſt ſur le panchant de viure ou de mourir, Et la ſeule vertu ne doit tamats perir:	Mais quoi, notre fortune a toujours des revers, Dont son aveuglement menace l'Univers, L'inconstance est son Phare, et son cours nécessaire A fait vœu de tout temps d'affliger et déplaire, Tout est sur le penchant de vivre ou de mourir, Et la seule vertu ne doit tamats périr:
Mais la neceßité dans ſa force ſupreſme N’aiamais recogneu d’autre loy que ſoi-meſme, Elle fait nos deſtins, & l’aſtre rigoureux ui preſide aux malheurs, ne ſouffre point d’heureux, L’exemple de ces maux afflige Calyante De la meſme façon que ſouffre ſen Amante, Leurs priſons ſont des lieux où du ſoir au matin Et la vie & la mort partagent leur butin, Quatre ſources de pleurs cultiuent leur martyre, Et tout leur deſespoir c’est, qu’ils ne l’oſent dire.	Mais la necemité dans sa force suprême N'aiamais reconnu d'autre loi que soi-même, Elle fait nos destins, et l'astre rigoureux ui préside aux malheurs, ne souffre point d'heureux, L'exemple de ces maux afflige Calyante De la même façon que souffre sen Amante, Leurs prisons sont des lieux où du soir au matin Et la vie et la mort partagent leur butin, Quatre sources de pleurs cultiuent leur martyre, Et tout leur désespoir çest, 'ils ne l'osent dire.
Puiſqu’il joint ſa miſere auec mon amitie, L excez de ſon ennuy me doit faire pitié;	Puisqu'il joint sa misère avec mon amitié, excès de son ennui me doit faire pitié;
Rien ne bleſſe ſi ſort vne ame encore ſaine, Que quand on a perſonne à qui dire ſa peine, Il l’entretient ſecrettement à la grille de ſa priſon.	Rien ne blesse si sort une âme encore saine, Que quand on a personne à qui dire sa peine, Il l'entretient secrètement à la grille de sa prison.
SCENE III.	SCÈNE III.
Vn Magicien du coſté de l’armée.	Un Magicien du côté de l'armée.
Que c’eſt vn grand malheur que noſtre liberté, Ou vn homme a de bonheur en perdant la clarté, Que ſon vſage nuiſt, & qu'au temps où nous ſommes, Elle a bien l’aſcendant ſur les esprits des hommes, Nostre prosperite ne cherit que le corps, Et ne penſe tamais que le temps fait des morts, Parce que la douceur où noſtre ame respire, Peut commander aux cœurs auecque ſon empire;	Que c'est un grand malheur que notre liberté, Ou un homme a de bonheur en perdant la clarté, Que son usage nuist, et qu'au temps où nous sommes, Elle a bien l'ascendant sur les esprits des hommes, Notre prospérité ne chérit que le corps, Et ne pense tamais que le temps fait des morts, Parce que la douceur où notre âme respire, Peut commander aux cœurs auecquetaît empire;
Si iamais la fortune auecque ſes reuers, N’alteroit le bonheur où regne l’Vniuers, L’ame demeureroit dans les ſens endormie, Et voudroit touſiours eſtre à ſoi-meſme ennemie;	Si jamais la fortune auecque ses revers, N'altérait le bonheur où règne l'Univers, L'âme demeurerait dans les sens endormie, Et voudrait toujours être à soi-même ennemie;
Sans les aduerſitez qui nous donnent du fiel, La ſenſualité renonceroit au Ciel, La liberté viendroit dans le libertinage, Le paillard n’aimeroit que ſon concubinage, L’orgueilleux croiroit tout au deſſous de ſes yeux, On feroit des autels à l’auaricieux,	Sans les adversité qui nous donnent du fiel, La sensvalité renoncerait au Ciel, La liberté viendrait dans le libertinage, Le paillard n'aimerait que son concubinage, L'orgueilleux croiroit tout au dessous de ses yeux, On ferait des autels à l'avaricieux,
L'enuie auroit des dents, & noſtre gloutonnie Deuoreroit les cœurs auec ſa tyrannie, La fureur des mortels feroit la guerre aux Dieux, Et le feu de la terre allumeroit les Cieux:	L'envie aurait des dents, et notre gloutonnie Dévorerait les cœurs était sa tyrannie, La fureur des mortels ferait la guerre aux Dieux, Et le feu de la terre allumerait les Cieux:
Mais quand nostre vouloir eſt ſouſmis à la peine, Le courage en eſt mieux, & l’ame en eſt plusſaine, Le cœur aſpire au Ciel auecque des ſouspirs, Et nostre patience ertge des martirs;	Mais quand notre vouloir est soumis à la peine, Le courage en est mieux, et l'âme en est plussaine, Le cœur aspire au Ciel auecque des soupirs, Et notre patience ertge des martyrs;
C’est la noble vigueur & la douce energie Qui donne à mon ſçauoir le bien de la Magie, C’eſt par là que les Dieux reuelent les ſecrets Dont l’immortalite compoſe ſes decrets, C’est par où i’ay cogneu que l’ame d’Artenice Erige des autels à ſon prõpre ſupplice:	C'est la noble vigueur et la douce énergie Qui donne à mon savoir le bien de la Magie, C'est par là que les Dieux révèlent les secrets Dont l'immortalité compose ses décrets, C'est par où j'ai connu que l'âme d'Artenice Erige des autels à son prompre supplice:
Cet exemple d’amour & de fidelité A capttué le Ciel dans ſa captiuité, Amour ſouffre cõmme elle, & ſa belle puiſſance A dedié mes ſoins à ſon obenſſance.	Cet exemple d'amour et de fidélité À captué le Ciel dans sa captivité, Amour souffre commême elle, et sa belle puissance A dédié mes soins à son obensance.
e.	e.
h.	h.
224 Il entretient, Artenice ſecrettement à la grille de ſa priſon.	224 Il entretient, Artenice secrètement à la grille de sa prison.
Calyante.	Calyante.
Mets-toy dans ce hazard, où la mienne eſt rauie.	Mets-toi dans ce hasard, où la mienne est ravie.
Guilladhe.	Guilladhe.
Adieu, conſolez-vous dans ma fidelité.	Adieu, consolez-vous dans ma fidélité.
Calyante.	Calyante.
Adieu, donne remede à ma capttuité, SAIrail s el las	Adieu, donne remède à ma capttuité, SAIrail s el las
Le Magicien dit à Artenice.	Le Magicien dit à Artenice.
C’est trop peu que la mort pour m’oſter le courage;	C'est trop peu que la mort pour m'ôter le courage;
Tout vieillard que ie ſuis, ie m’en vais faire rage, Donnez le diamant, & dites qu’vn tyran A l’hostel de Neron aura bien-tost ſon rang, La mort eſt vn remede à toutes les traûerſes, Amour, voicy l’appas du poiſon que tu verſes.	Tout vieillard que je suis, ie m'en vais faire rage, Donnés le diamant, et dites qu'un tyran A l'hôtel de Neron aura bientôt son rang, La mort est un remède à toutes les traûerses, Amour, voici l'appas du poison que tu verses.
Il monſtre vne fiole de charmes.	Il montre une fiole de charmes.
Fetcemiee aueuliemiette rertrpusclſe de conceuoir le deſſein de fairè mourir tant d’hommés auec ſes ennemis.	Fetcemie aveuliemiette rertrpusclse de concevoir le dessein de fairè mourir tant d'hommés ies ses ennemis.
Pardonnez, iuſtes Cieux, au crime que ie faits, Et toy pardonne amour à tes propres forfaits.	Pardonnez, justes Cieux, au crime que sans faits, Et toi pardonne amour à tes propres forfaits.
Magicien, en mettant le charme au diamant.	Magicien, en mettant le charme au diamant.
Le charme est violent, fuſt ce le Diable meſme Ie tramerois ſa mort, ſi ce n’eſt que ie l’aime, Adieu, confiez tout en ma ſaincte amitié.	Le charme est violent, fût ce le Diable même Je tramerais sa mort, si ce n'est que ie haime, Adieu, confiez tout en ma sainte amitié.
Artenice.	Arténice.
Les effects feront voir ſi ie vous faits pitié.	Les effets feront voir si ici vous faits pitié.
L iij	 Lijà
ASSIONS Guillaume reuient lentement en ruminant & ſe grattant la teſte, & dit à Calyante.	ASSIONS Guillaume revient lentement en ruminant et se grattant la tête, et dit à Calyante.
I’ay penſe du depuis que hazarder ſa vie C’eſt vn mauuais deſſein, dont te n’ay guere enuie, Ie veux encore viure du delà de l'eſté.	J'ai pense du depuis que hasarder sa vie C'est un mauvais dessein, dont te n'ai guère envie, Je veux encore vivre du delà de l'été.
Calyante.	Calyante.
ReJais mlxal, Cene sedas 7.	ReJais mêlxal, Cène sédas 7.
Des noires laſchetez que ie te vois commettre.	Des noires lâchetés que je te vois commettre.
Guillaume.	Guillaume.
Amour commande-t’il de maſſacrer mon maiſtre, Qu’il deſcende en perſonne, & me face ſçauoir S’il me veut conſeiller de trahir mon deuoir, Il y va de ma vie.	Amour commande-t-il de massacrer mon maître, Qu'il descende en personne, et me face Savoir S'il me veut conseiller de trahir mon devoir, Il y va de ma vie.
Calyante.	Calyante.
O nature traistreſſe!	Ô nature traîtresse!
Guillaume.	Guillaume.
Faire mourir vn Maiſtre & perdre ma Maiſtreſſe Pour maintenir amour, c’eſt faire vn attentat, Vous ſgauez que ie ſuis neceſſaire a tEſtar, Pour faire autruy, me defendre de viure, Ie veux bien conſentir qu’vn autre vous deliure.	Faire mourir un Maître et perdre ma Maîtresse Pour maintenir amour, c'est faire un attentat, Vous savez que personne suis nécessaire a tÉtar, Pour faire autrui, me défendre de vivre, Je veux bien consentir qu'un autre vous délivre.
Calyante.	Calyante.
Ah, infame trompeur, ſi tu ne faits plus cas De mes commandemens, rends moy donc mes ducats;	Ah, infâme trompeur, si tu ne faits plus cas De mes commandements, rends moi donc mes ducats;
Guillaume.	Guillaume.
Ie m’en garderay bien, c’eſt vn tour de ſoupleſſe, Tromper pour de largent cen eſt que gentitteſſe.	Je m'en garderai bien, c'est un tour de souplesse, Tromper pour de largent cen est que gentittesse.
Calyante furieux dans ſa priſon.	Calyante furieux dans sa prison.
El faut que tu periſſe auec la trahiſon.	El faut que tu périsse avec la trahison.
Guillaume en ſe mocquant de ſon impuiſſance.	Guillaume en se moquant de son impuissance.
Si vous estes mauuais, vous irez en priſon, Demeurez en repos, ce que ie veux commettre N’est pas vol, ce n’eſt rien qu’vn changement de Maiſtre, Nous duppons tous les iours bien d’autres gens que vous, Nous ſommes deuenus Gentils-hommes filoux, La fraude nous anime à la loy des Apostres, Que tous biens ſont communs, nous en ſçauons bien d’autres, Nous volons toute nuict, nous dormons tout le iour, Au matin on s’enyure, au ſoir on fait l’amour, Tantoſt nous ſommes gueux, & tantoſt comme Princes, Nous cheſſons dans les bois de toutes les Prouinces, Nous ſommes grands Seigneurs, & ſi nous n’auons rien, Si quelque bon paſſant nè nous donne ſon bien, Tout le monde nous craint, rien n’est noſtre aduer	Si vous êtes mauvais, vous irez en prison, Demeurez en repos, ce que ie veux commettre N'est pas vol, ce n'est rien qu'unité changement de Maître, Nous dupons tous les jours bien d'autres gens que vous, Nous sommes devenus Gentilshommes filsoux, La fraude nous anime à la loi des Apôtres, Que tous biens sont communs, nous en savoir bien d'autres, Nous volons toute nuit, nous dormons tout le jour, Au matin au matenivre, au savoir on fait l'amour, Tantôt nous sommes gueux, et tantôt comme Princes, Nous chessons dans les bois de toutes les Provinces, Et sommes grands Seigneurs, et si nous n'es rien, Si quelque bon pas nous donne son bien, Tout le monde nous si, rien nest ô us
L’appas de cent ducats fait taire vn Commiſſaire, Nous-meſmes en derobant, nous crions, ô larrons Ou bien noſtre ſalut despend d’eſtre poltron, L’addreſſe de nos pieds nous peut ſauuer la vie, Les meilleurs poſtillons leur portent de l’enute, Nous troublons tout le monde & ſommes en repos, La pluſpart des manteaux ſont chez nous en depos, Nous auons droict de prendre, & les autres de pendre, Et noſtre penitence eſt de iamais ne rendre, Nous ſommes grands volleurs, & tres-deuotieux, Nous perdons le renom d’eſtre auaricieux, Nostre categorie eſt grandement auſtere, Car nous viuons ſouuent dans vn bois ſolitatre, Nous n’auons rien qu’vn mal, quand nos iours ſont 117 C’eſt que l’on nous defend d’eſtre canoniſez Il s’en va.	L'appas de cent ducats fait taire un Commissaire, Nous-mêmes en dérobant, nous crions, ô larrons Ou bien notre salut dépend d'être poltron, L'adresse de nos pieds nous peut sauver la vie, Les meilleurs postillons leur portent de l'enute, Nous troublons tout le monde et sommes en repos, La plupart des manteaux sont chez nous en défauts, Nous avons droit de prendre, et les autres de pendre, Et notre pénitence est de jamais ne rendre, Nous sommes grands volleurs, et très-deuotieux, Nous perdons le renom être yeux, Nous per est dons le, Carnous viuons souuent ca bois solitatre, Notre çauonsire mal, Ca nos iours go 117 RIest que on es défend gêtre ande Il men va.
Calyante à demy deſeſpere.	Calyante à demi désespère.
O malheurs infinis qui dérobez ma vie, Que la fin de mes iours ſeroit digne d’enuie, Que i’aurois de bonheur ſi la grace du ſort Eſtoit la fin des maux qui me donnent la mort, Rien ne peut nous ourdir vne mortelle trame, A l’eſgal d’vn regret qui conſomme noſtre ame, La triſteſſe nous tuë, & l’ennuy ſeulement A droict de marier vn homme au monument.	Ô malheurs infinis qui dérobez ma vie, Que la fin de mes jours serait digne d'envie, Que j'aurais de bonheur si la grâce du sort Était la fin des maux qui me donnent la mort, Rien ne peut nous ourdir une mortelle trame, A l'égal d'un regret qui consomme notre âme, La tristesse nous tue, et l'ennui seulement A roit de marier un homme au monument.
Dieux, Dieux!	Dieux, Dieux!
que ne ſuis je aueugle, ou bien que mon ſupplice Ne me fait-il martyr des rigueurs d’Artenice?	que ne suis je aveugle, ou bien que mon supplice Ne me fait-il martyr des rigueurs d'Artenice?
